time,New York,pts.away,score,pts.home,Memphis
3:24.0,Defensive rebound by K. O'Quinn,,24-23,,
3:16.0,Shooting foul by M. Chalmers (drawn by K. O'Quinn),,24-23,,
3:16.0,K. O'Quinn misses free throw 1 of 2,,24-23,,
3:16.0,Offensive rebound by Team,,24-23,,
3:16.0,J. Grant enters the game for J. Calderon,,24-23,,
3:16.0,K. O'Quinn makes free throw 2 of 2,1,25-23,,
3:00.0,,,25-23,,Shooting foul by A. Afflalo (drawn by M. Gasol)
3:00.0,,,25-24,1,M. Gasol makes free throw 1 of 2
3:00.0,L. Galloway enters the game for A. Afflalo,,25-24,,
3:00.0,,,25-24,,M. Gasol misses free throw 2 of 2
2:58.0,Defensive rebound by K. O'Quinn,,25-24,,
2:36.0,L. Thomas misses 2-pt shot from 22 ft,,25-24,,
2:34.0,Offensive rebound by L. Galloway,,25-24,,
2:30.0,,,25-24,,Personal foul by M. Gasol (drawn by D. Williams)
2:30.0,New York full timeout,,25-24,,
2:30.0,,,25-24,,V. Carter enters the game for C. Lee
2:30.0,,,25-24,,E. Williams enters the game for M. Chalmers
2:30.0,D. Williams makes free throw 1 of 2,1,26-24,,
2:30.0,D. Williams makes free throw 2 of 2,1,27-24,,
2:12.0,,,27-24,,V. Carter misses 2-pt shot from 5 ft
2:10.0,Defensive rebound by K. O'Quinn,,27-24,,
1:45.0,L. Thomas misses 2-pt shot from 4 ft,,27-24,,
1:42.0,,,27-24,,Defensive rebound by M. Barnes
1:37.0,,,27-26,2,M. Gasol makes 2-pt shot from 1 ft (assist by M. Barnes)
1:23.0,K. O'Quinn misses 2-pt shot from 18 ft,,27-26,,
1:22.0,,,27-26,,Defensive rebound by E. Williams
1:12.0,,,27-26,,Turnover by M. Gasol (bad pass; steal by D. Williams)
1:07.0,D. Williams misses 2-pt shot from 1 ft,,27-26,,
1:07.0,,,27-26,,Defensive rebound by Team
1:07.0,K. Seraphin enters the game for K. O'Quinn,,27-26,,
0:53.0,,,27-28,2,V. Carter makes 2-pt shot from 23 ft (assist by M. Gasol)
0:36.0,L. Galloway misses 3-pt shot from 25 ft,,27-28,,
0:35.0,Offensive rebound by L. Galloway,,27-28,,
0:25.0,K. Seraphin makes 2-pt shot from 15 ft (assist by L. Galloway),2,29-28,,
0:08.0,,,29-28,,Turnover by V. Carter (bad pass; steal by D. Williams)
0:01.0,L. Thomas makes 2-pt shot from 3 ft,2,31-28,,
0:00.0,,,31-28,,J. Green misses 3-pt shot from 44 ft
0:00.0,,,31-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,D. Williams misses 3-pt shot from 24 ft,,31-28,,
11:40.0,,,31-28,,Defensive rebound by E. Williams
11:24.0,,,31-30,2,J. Green makes 2-pt shot from 7 ft
11:17.0,J. Grant misses 2-pt shot from 14 ft,,31-30,,
11:12.0,,,31-30,,Defensive rebound by J. Green
10:57.0,,,31-32,2,J. Green makes 2-pt shot from 12 ft (assist by E. Williams)
10:33.0,Shooting foul by M. Barnes (drawn by D. Williams),,31-32,,
10:33.0,D. Williams misses free throw 1 of 2,,31-32,,
10:33.0,Offensive rebound by Team,,31-32,,
10:33.0,D. Williams makes free throw 2 of 2,1,32-32,,
10:13.0,,,32-35,3,J. Green makes 3-pt shot from 24 ft (assist by M. Barnes)
10:04.0,,,32-35,,Personal foul by E. Williams (drawn by J. Grant)
10:04.0,A. Afflalo enters the game for D. Williams,,32-35,,
9:51.0,A. Afflalo misses 3-pt shot from 22 ft,,32-35,,
9:51.0,Offensive rebound by Team,,32-35,,
9:35.0,K. Seraphin misses 2-pt shot from 2 ft (block by J. Green),,32-35,,
9:34.0,,,32-35,,Defensive rebound by J. Green
9:20.0,,,32-37,2,J. Green makes 2-pt shot from 14 ft
9:00.0,A. Afflalo misses 2-pt shot from 18 ft,,32-37,,
8:59.0,,,32-37,,Defensive rebound by J. Green
8:44.0,,,32-37,,V. Carter misses 2-pt shot from 1 ft (block by K. Seraphin)
8:41.0,Defensive rebound by K. Seraphin,,32-37,,
8:35.0,New York full timeout,,32-37,,
8:35.0,K. Porzingis enters the game for J. Grant,,32-37,,
8:35.0,J. Calderon enters the game for K. Seraphin,,32-37,,
8:35.0,,,32-37,,T. Allen enters the game for V. Carter
8:20.0,Shooting foul by M. Barnes (drawn by A. Afflalo),,32-37,,
8:20.0,A. Afflalo makes free throw 1 of 2,1,33-37,,
8:20.0,A. Afflalo makes free throw 2 of 2,1,34-37,,
8:11.0,,,34-37,,Shooting foul by K. Porzingis (drawn by J. Green)
8:11.0,,,34-38,1,J. Green makes free throw 1 of 2
8:11.0,,,34-38,,J. Green misses free throw 2 of 2
8:10.0,Defensive rebound by K. Porzingis,,34-38,,
7:54.0,L. Thomas makes 2-pt shot from 22 ft,2,36-38,,
7:32.0,,,36-38,,J. Green misses 2-pt shot from 2 ft
7:32.0,,,36-38,,Offensive rebound by J. Green
7:32.0,Personal foul by J. Calderon (drawn by J. Green),,36-38,,
7:32.0,,,36-39,1,J. Green makes free throw 1 of 2
7:32.0,D. Williams enters the game for L. Thomas,,36-39,,
7:32.0,,,36-39,,J. Green misses free throw 2 of 2
7:32.0,Defensive rebound by D. Williams,,36-39,,
7:16.0,A. Afflalo misses 2-pt shot from 9 ft,,36-39,,
7:13.0,,,36-39,,Defensive rebound by J. Green
7:02.0,,,36-39,,J. Green misses 2-pt shot from 16 ft
7:01.0,Defensive rebound by J. Calderon,,36-39,,
6:43.0,L. Galloway misses 2-pt shot from 9 ft,,36-39,,
6:41.0,,,36-39,,Defensive rebound by M. Barnes
6:33.0,,,36-39,,Turnover by J. Green (offensive foul)
6:33.0,,,36-39,,Offensive foul by J. Green
6:33.0,,,36-39,,Z. Randolph enters the game for M. Barnes
6:19.0,K. Porzingis makes 2-pt shot from 19 ft (assist by L. Galloway),2,38-39,,
6:04.0,Personal foul by A. Afflalo (drawn by J. Green),,38-39,,
6:04.0,,,38-39,,M. Chalmers enters the game for E. Williams
6:04.0,R. Lopez enters the game for K. Porzingis,,38-39,,
6:04.0,,,38-39,,Memphis full timeout
6:03.0,Personal foul by R. Lopez (drawn by Z. Randolph),,38-39,,
6:03.0,K. Porzingis enters the game for R. Lopez,,38-39,,
5:48.0,,,38-39,,Z. Randolph misses 2-pt shot from 18 ft
5:47.0,Defensive rebound by Team,,38-39,,
5:26.0,D. Williams makes 2-pt shot from 1 ft,2,40-39,,
5:26.0,Shooting foul by J. Green (drawn by D. Williams),,40-39,,
5:26.0,,,40-39,,M. Gasol enters the game for J. Green
5:26.0,K. O'Quinn enters the game for L. Galloway,,40-39,,
5:26.0,D. Williams makes free throw 1 of 1,1,41-39,,
5:16.0,,,41-39,,Turnover by M. Chalmers (bad pass; steal by K. Porzingis)
5:11.0,D. Williams makes 2-pt shot from 2 ft (assist by K. Porzingis),2,43-39,,
4:59.0,,,43-39,,M. Chalmers misses 2-pt shot from 6 ft
4:56.0,,,43-39,,Offensive rebound by T. Allen
4:56.0,,,43-41,2,T. Allen makes 2-pt shot from 2 ft
4:34.0,A. Afflalo makes 2-pt shot from 17 ft (assist by D. Williams),2,45-41,,
4:16.0,,,45-41,,M. Gasol misses 2-pt shot from 11 ft
4:15.0,Defensive rebound by D. Williams,,45-41,,
4:05.0,Turnover by K. O'Quinn (traveling),,45-41,,
3:50.0,,,45-41,,J. Green misses 2-pt shot from 17 ft
3:49.0,,,45-41,,Offensive rebound by T. Allen
3:31.0,,,45-41,,M. Chalmers misses 2-pt shot from 3 ft
3:29.0,,,45-41,,Offensive rebound by Z. Randolph
3:29.0,,,45-43,2,Z. Randolph makes 2-pt shot at rim
3:02.0,K. O'Quinn makes 2-pt shot from 18 ft (assist by J. Calderon),2,47-43,,
2:43.0,,,47-43,,T. Allen misses 2-pt shot from 8 ft
2:41.0,Defensive rebound by K. Porzingis,,47-43,,
2:35.0,Turnover by J. Calderon (bad pass),,47-43,,
2:35.0,,,47-43,,Memphis full timeout
2:35.0,,,47-43,,C. Lee enters the game for J. Green
2:21.0,,,47-43,,T. Allen misses 2-pt shot from 2 ft
2:20.0,,,47-43,,Offensive rebound by M. Gasol
2:20.0,,,47-45,2,M. Gasol makes 2-pt shot at rim
2:06.0,A. Afflalo misses 2-pt shot from 10 ft,,47-45,,
2:03.0,,,47-45,,Defensive rebound by Z. Randolph
1:52.0,,,47-47,2,Z. Randolph makes 2-pt shot from 15 ft (assist by M. Chalmers)
1:37.0,A. Afflalo makes 3-pt shot from 24 ft (assist by J. Calderon),3,50-47,,
1:18.0,L. Amundson enters the game for K. Porzingis,,50-47,,
1:10.0,,,50-49,2,M. Chalmers makes 2-pt shot from 14 ft
0:50.0,D. Williams makes 2-pt shot from 3 ft,2,52-49,,
0:32.0,,,52-49,,Turnover by C. Lee (traveling)
0:14.0,K. O'Quinn makes 2-pt shot from 9 ft (assist by J. Calderon),2,54-49,,
0:02.0,,,54-52,3,C. Lee makes 3-pt shot from 24 ft (assist by M. Chalmers)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,J. Calderon makes 2-pt shot from 19 ft,2,56-52,,
11:16.0,,,56-54,2,M. Gasol makes 2-pt shot from 17 ft (assist by C. Lee)
10:49.0,K. Porzingis misses 2-pt shot from 6 ft,,56-54,,
10:47.0,,,56-54,,Defensive rebound by T. Allen
10:39.0,,,56-56,2,Z. Randolph makes 2-pt shot from 4 ft (assist by M. Gasol)
10:22.0,Turnover by R. Lopez (lost ball; steal by C. Lee),,56-56,,
10:20.0,,,56-56,,Turnover by M. Chalmers (lost ball)
10:06.0,R. Lopez misses 2-pt shot from 6 ft (block by M. Gasol),,56-56,,
10:06.0,Offensive rebound by Team,,56-56,,
9:57.0,A. Afflalo misses 2-pt shot from 11 ft,,56-56,,
9:54.0,,,56-56,,Defensive rebound by M. Chalmers
9:41.0,,,56-58,2,M. Gasol makes 2-pt shot from 9 ft
9:29.0,J. Calderon makes 2-pt shot from 2 ft,2,58-58,,
9:10.0,,,58-58,,M. Gasol misses 2-pt shot from 16 ft
9:10.0,Defensive rebound by J. Calderon,,58-58,,
9:00.0,J. Calderon misses 2-pt shot from 16 ft,,58-58,,
8:59.0,,,58-58,,Defensive rebound by T. Allen
8:48.0,,,58-58,,Z. Randolph misses 2-pt shot from 20 ft
8:48.0,Defensive rebound by K. Porzingis,,58-58,,
8:35.0,R. Lopez makes 2-pt shot from 4 ft (assist by J. Calderon),2,60-58,,
8:16.0,,,60-60,2,M. Gasol makes 2-pt shot from 15 ft (assist by M. Chalmers)
7:44.0,K. Porzingis misses 2-pt shot from 4 ft,,60-60,,
7:43.0,,,60-60,,Defensive rebound by T. Allen
7:40.0,,,60-63,3,M. Chalmers makes 3-pt shot from 24 ft (assist by T. Allen)
7:40.0,New York full timeout,,60-63,,
7:15.0,R. Lopez misses 2-pt shot from 4 ft (block by M. Gasol),,60-63,,
7:15.0,Offensive rebound by Team,,60-63,,
7:15.0,Turnover by Team (shot clock),,60-63,,
6:53.0,,,60-63,,T. Allen misses 2-pt shot from 7 ft (block by A. Afflalo)
6:53.0,,,60-63,,Offensive rebound by Z. Randolph
6:53.0,,,60-63,,Shooting foul by R. Lopez (drawn by Z. Randolph)
6:53.0,Violation by Team (delay of game),,60-63,,
6:53.0,,,60-63,,Z. Randolph misses free throw 1 of 2
6:53.0,,,60-63,,Offensive rebound by Team
6:53.0,,,60-64,1,Z. Randolph makes free throw 2 of 2
6:41.0,K. Porzingis makes 2-pt shot from 17 ft (assist by A. Afflalo),2,62-64,,
6:19.0,,,62-66,2,M. Gasol makes 2-pt shot from 6 ft
6:02.0,K. Porzingis makes 2-pt shot from 16 ft,2,64-66,,
5:42.0,,,64-66,,M. Gasol misses 2-pt shot from 2 ft (block by A. Afflalo)
5:42.0,Defensive rebound by Team,,64-66,,
5:42.0,K. O'Quinn enters the game for R. Lopez,,64-66,,
5:23.0,K. O'Quinn makes 2-pt shot from 10 ft (assist by L. Galloway),2,66-66,,
5:05.0,,,66-66,,Turnover by T. Allen (bad pass)
4:55.0,Turnover by K. Porzingis (traveling),,66-66,,
4:48.0,,,66-66,,M. Chalmers misses 2-pt shot from 19 ft
4:48.0,Defensive rebound by A. Afflalo,,66-66,,
4:42.0,L. Galloway makes 2-pt shot from 18 ft (assist by A. Afflalo),2,68-66,,
4:28.0,,,68-66,,M. Gasol misses 2-pt shot from 14 ft
4:27.0,,,68-66,,Offensive rebound by Z. Randolph
4:13.0,,,68-66,,Z. Randolph misses 2-pt shot from 13 ft
4:12.0,Defensive rebound by J. Calderon,,68-66,,
4:00.0,,,68-66,,Personal foul by M. Chalmers (drawn by J. Calderon)
4:00.0,,,68-66,,E. Williams enters the game for M. Chalmers
3:46.0,L. Galloway misses 3-pt shot from 24 ft,,68-66,,
3:46.0,,,68-66,,Defensive rebound by E. Williams
3:34.0,,,68-68,2,M. Gasol makes 2-pt shot from 11 ft (assist by C. Lee)
3:10.0,K. Porzingis misses 3-pt shot from 25 ft,,68-68,,
3:09.0,,,68-68,,Defensive rebound by T. Allen
3:04.0,,,68-68,,Turnover by T. Allen (bad pass; steal by K. Porzingis)
3:02.0,,,68-68,,Personal take foul by T. Allen (drawn by L. Galloway)
3:02.0,L. Amundson enters the game for K. Porzingis,,68-68,,
3:02.0,,,68-68,,J. Green enters the game for T. Allen
3:02.0,,,68-68,,M. Barnes enters the game for Z. Randolph
2:57.0,Turnover by A. Afflalo (step out of bounds),,68-68,,
2:57.0,,,68-68,,Memphis full timeout
2:57.0,D. Williams enters the game for A. Afflalo,,68-68,,
2:57.0,L. Thomas enters the game for J. Calderon,,68-68,,
2:57.0,J. Grant enters the game for K. O'Quinn,,68-68,,
2:42.0,,,68-68,,J. Green misses 2-pt shot from 18 ft
2:40.0,Defensive rebound by D. Williams,,68-68,,
2:24.0,J. Grant misses 2-pt shot from 4 ft,,68-68,,
2:21.0,,,68-68,,Defensive rebound by M. Barnes
2:12.0,Personal foul by L. Amundson,,68-68,,
2:02.0,,,68-70,2,C. Lee makes 2-pt shot from 15 ft (assist by E. Williams)
1:38.0,L. Thomas makes 3-pt shot from 24 ft (assist by L. Galloway),3,71-70,,
1:16.0,,,71-72,2,M. Gasol makes 2-pt shot from 12 ft (assist by J. Green)
1:16.0,,,71-72,,Shooting foul by L. Amundson (drawn by M. Gasol)
1:16.0,,,71-73,1,M. Gasol makes free throw 1 of 1
0:53.0,D. Williams misses 2-pt shot from 3 ft,,71-73,,
0:52.0,,,71-73,,Defensive rebound by M. Barnes
0:48.0,,,71-73,,C. Lee misses 3-pt shot from 24 ft
0:45.0,Defensive rebound by J. Grant,,71-73,,
0:35.0,L. Galloway makes 2-pt shot from 3 ft,2,73-73,,
0:14.0,,,73-73,,M. Gasol misses 2-pt shot from 11 ft
0:12.0,Defensive rebound by L. Galloway,,73-73,,
0:00.0,J. Grant misses 2-pt shot from 6 ft (block by C. Lee),,73-73,,
0:00.0,,,73-73,,Defensive rebound by M. Gasol
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,73-73,,M. Barnes misses 2-pt shot from 1 ft (block by J. Grant)
11:36.0,Defensive rebound by L. Thomas,,73-73,,
11:30.0,L. Thomas misses 2-pt shot from 20 ft,,73-73,,
11:29.0,Offensive rebound by D. Williams,,73-73,,
11:23.0,D. Williams misses 2-pt shot from 2 ft,,73-73,,
11:22.0,,,73-73,,Defensive rebound by M. Gasol
11:14.0,,,73-75,2,M. Gasol makes 2-pt shot from 18 ft (assist by M. Barnes)
11:01.0,L. Galloway misses 2-pt shot from 18 ft,,73-75,,
10:59.0,Offensive rebound by L. Galloway,,73-75,,
10:56.0,D. Williams misses 3-pt shot from 24 ft,,73-75,,
10:55.0,,,73-75,,Defensive rebound by J. Green
10:42.0,,,73-75,,E. Williams misses 2-pt shot from 18 ft
10:39.0,Defensive rebound by L. Galloway,,73-75,,
10:33.0,Turnover by L. Galloway (traveling),,73-75,,
10:33.0,A. Afflalo enters the game for L. Galloway,,73-75,,
10:25.0,Personal foul by J. Grant (drawn by E. Williams),,73-75,,
10:25.0,,,73-75,,T. Allen enters the game for C. Lee
10:15.0,,,73-77,2,M. Gasol makes 2-pt shot from 2 ft (assist by J. Green)
9:53.0,K. O'Quinn makes 2-pt shot from 2 ft,2,75-77,,
9:53.0,Technical foul by Team,,75-77,,
9:53.0,,,75-78,1,M. Gasol makes technical free throw
9:31.0,,,75-78,,M. Gasol misses 2-pt shot from 11 ft
9:29.0,,,75-78,,Offensive rebound by E. Williams
9:29.0,,,75-78,,Turnover by Team (shot clock)
9:05.0,J. Grant misses 3-pt shot from 25 ft,,75-78,,
9:05.0,Offensive rebound by Team,,75-78,,
9:05.0,Turnover by Team (shot clock),,75-78,,
8:52.0,,,75-80,2,J. Green makes 2-pt shot from 9 ft
8:36.0,Shooting foul by M. Gasol (drawn by K. O'Quinn),,75-80,,
8:36.0,New York full timeout,,75-80,,
8:36.0,J. Calderon enters the game for J. Grant,,75-80,,
8:36.0,K. O'Quinn makes free throw 1 of 2,1,76-80,,
8:36.0,K. O'Quinn makes free throw 2 of 2,1,77-80,,
8:14.0,,,77-80,,M. Gasol misses 2-pt shot from 7 ft
8:13.0,,,77-80,,Offensive rebound by T. Allen
8:12.0,Flagrant foul type 1 by K. O'Quinn (drawn by M. Gasol),,77-80,,
8:12.0,R. Lopez enters the game for K. O'Quinn,,77-80,,
8:12.0,,,77-81,1,M. Gasol makes flagrant free throw 1 of 2
8:12.0,,,77-82,1,M. Gasol makes flagrant free throw 2 of 2
8:12.0,K. Porzingis enters the game for L. Thomas,,77-82,,
8:01.0,,,77-82,,J. Green misses 3-pt shot from 22 ft
8:00.0,Defensive rebound by R. Lopez,,77-82,,
7:42.0,Turnover by A. Afflalo (lost ball; steal by E. Williams),,77-82,,
7:37.0,,,77-84,2,T. Allen makes 2-pt shot at rim (assist by J. Green)
7:07.0,R. Lopez makes 2-pt shot from 7 ft,2,79-84,,
6:43.0,,,79-87,3,E. Williams makes 3-pt shot from 24 ft
6:25.0,J. Calderon misses 3-pt shot from 24 ft,,79-87,,
6:24.0,,,79-87,,Defensive rebound by M. Gasol
6:16.0,,,79-87,,Memphis full timeout
6:16.0,L. Galloway enters the game for D. Williams,,79-87,,
6:02.0,,,79-89,2,M. Gasol makes 2-pt shot from 14 ft (assist by M. Barnes)
5:46.0,,,79-89,,Personal foul by T. Allen (drawn by A. Afflalo)
5:32.0,J. Calderon misses 2-pt shot from 19 ft,,79-89,,
5:32.0,Offensive rebound by Team,,79-89,,
5:32.0,Turnover by Team (shot clock),,79-89,,
5:15.0,,,79-89,,M. Chalmers enters the game for E. Williams
5:08.0,,,79-89,,M. Gasol misses 2-pt shot from 19 ft
5:08.0,Defensive rebound by R. Lopez,,79-89,,
4:56.0,,,79-89,,Personal foul by M. Barnes (drawn by K. Porzingis)
4:50.0,K. Porzingis misses 3-pt shot from 24 ft,,79-89,,
4:49.0,,,79-89,,Defensive rebound by T. Allen
4:35.0,,,79-89,,J. Green misses 3-pt shot from 25 ft
4:32.0,,,79-89,,Offensive rebound by Team
4:13.0,,,79-89,,M. Gasol misses 2-pt shot from 19 ft
4:12.0,,,79-89,,Offensive rebound by M. Barnes
4:09.0,,,79-89,,M. Barnes misses 2-pt shot from 22 ft
4:08.0,,,79-89,,Offensive rebound by M. Chalmers
4:04.0,,,79-91,2,M. Chalmers makes 2-pt shot at rim
4:04.0,New York full timeout,,79-91,,
4:04.0,D. Williams enters the game for R. Lopez,,79-91,,
3:48.0,L. Galloway misses 3-pt shot from 25 ft,,79-91,,
3:47.0,,,79-91,,Defensive rebound by M. Barnes
3:27.0,,,79-91,,M. Gasol misses 2-pt shot from 6 ft
3:25.0,,,79-91,,Offensive rebound by M. Barnes
3:22.0,,,79-94,3,M. Chalmers makes 3-pt shot from 23 ft (assist by M. Barnes)
3:08.0,,,79-94,,Flagrant foul type 1 by M. Barnes (drawn by K. Porzingis)
3:08.0,K. Porzingis makes flagrant free throw 1 of 2,1,80-94,,
3:08.0,K. Porzingis misses flagrant free throw 2 of 2,,80-94,,
3:08.0,Offensive rebound by Team,,80-94,,
3:08.0,J. Grant enters the game for J. Calderon,,80-94,,
2:56.0,Shooting foul by M. Chalmers (drawn by A. Afflalo),,80-94,,
2:56.0,A. Afflalo makes free throw 1 of 2,1,81-94,,
2:56.0,A. Afflalo makes free throw 2 of 2,1,82-94,,
2:39.0,,,82-94,,M. Barnes misses 3-pt shot from 24 ft
2:38.0,Defensive rebound by L. Galloway,,82-94,,
2:32.0,A. Afflalo misses 3-pt shot from 24 ft,,82-94,,
2:29.0,,,82-94,,Defensive rebound by M. Barnes
2:26.0,,,82-96,2,T. Allen makes 2-pt shot from 1 ft (assist by M. Chalmers)
2:26.0,New York full timeout,,82-96,,
2:26.0,S. Vujacic enters the game for A. Afflalo,,82-96,,
2:26.0,K. O'Quinn enters the game for K. Porzingis,,82-96,,
2:05.0,S. Vujacic makes 3-pt shot from 23 ft (assist by J. Grant),3,85-96,,
1:51.0,,,85-98,2,J. Green makes 2-pt shot at rim (assist by M. Gasol)
1:31.0,K. O'Quinn makes 2-pt shot from 3 ft (assist by L. Galloway),2,87-98,,
1:12.0,,,87-98,,M. Gasol misses 2-pt shot from 2 ft
1:11.0,Defensive rebound by K. O'Quinn,,87-98,,
1:11.0,,,87-98,,Personal foul by M. Gasol (drawn by K. O'Quinn)
1:11.0,K. O'Quinn makes free throw 1 of 2,1,88-98,,
1:11.0,,,88-98,,E. Williams enters the game for T. Allen
1:11.0,,,88-98,,J. Green enters the game for M. Gasol
1:11.0,K. O'Quinn makes free throw 2 of 2,1,89-98,,
0:52.0,,,89-98,,E. Williams misses 2-pt shot from 17 ft
0:50.0,Defensive rebound by K. O'Quinn,,89-98,,
0:41.0,L. Galloway makes 3-pt shot from 23 ft (assist by S. Vujacic),3,92-98,,
0:31.0,Personal take foul by D. Williams (drawn by J. Green),,92-98,,
0:30.0,Personal take foul by L. Galloway (drawn by E. Williams),,92-98,,
