time,Sacramento,pts.away,score,pts.home,Phoenix
7:50.0,,,23-34,,T. Chandler enters the game for A. Len
7:50.0,,,23-34,,M. Teletovic enters the game for J. Leuer
7:39.0,D. Collison makes 2-pt shot from 16 ft,2,25-34,,
7:28.0,,,25-37,3,D. Booker makes 3-pt shot from 25 ft
7:06.0,Turnover by R. Gay (lost ball; steal by R. Price),,25-37,,
7:01.0,Personal foul by M. Belinelli (drawn by D. Booker),,25-37,,
7:01.0,,,25-37,,B. Knight enters the game for R. Price
7:01.0,,,25-37,,M. Morris enters the game for T. Warren
7:01.0,J. Anderson enters the game for O. Casspi,,25-37,,
6:56.0,,,25-37,,D. Booker misses 2-pt shot from 20 ft
6:54.0,Defensive rebound by D. Collison,,25-37,,
6:49.0,D. Collison makes 2-pt shot from 1 ft (assist by J. Anderson),2,27-37,,
6:36.0,,,27-37,,M. Morris misses 3-pt shot from 25 ft
6:34.0,Defensive rebound by M. Belinelli,,27-37,,
6:15.0,M. Belinelli makes 2-pt shot at rim,2,29-37,,
5:56.0,Personal block foul by D. Collison (drawn by B. Knight),,29-37,,
5:56.0,,,29-37,,Phoenix full timeout
5:41.0,,,29-37,,Turnover by Team (shot clock)
5:29.0,Shooting foul by B. Knight (drawn by D. Collison),,29-37,,
5:29.0,D. Collison misses free throw 1 of 2,,29-37,,
5:29.0,Offensive rebound by Team,,29-37,,
5:29.0,B. McLemore enters the game for M. Belinelli,,29-37,,
5:29.0,,,29-37,,E. Bledsoe enters the game for D. Booker
5:29.0,D. Collison makes free throw 2 of 2,1,30-37,,
5:18.0,,,30-37,,B. Knight misses 2-pt shot from 18 ft
5:16.0,Defensive rebound by W. Cauley-Stein,,30-37,,
5:09.0,B. McLemore misses 2-pt shot from 2 ft,,30-37,,
5:05.0,,,30-37,,Defensive rebound by M. Morris
5:02.0,,,30-37,,Turnover by B. Knight (lost ball)
5:02.0,,,30-37,,P. Tucker enters the game for M. Teletovic
4:50.0,Turnover by D. Collison (bad pass; steal by B. Knight),,30-37,,
4:39.0,Personal foul by B. McLemore (drawn by M. Morris),,30-37,,
4:39.0,K. Koufos enters the game for W. Cauley-Stein,,30-37,,
4:27.0,,,30-37,,E. Bledsoe misses 2-pt shot from 20 ft
4:25.0,,,30-37,,Offensive rebound by T. Chandler
4:18.0,,,30-39,2,M. Morris makes 2-pt shot from 2 ft (assist by B. Knight)
4:16.0,,,30-39,,Violation by Team (delay of game)
3:52.0,R. Gay makes 2-pt shot from 2 ft,2,32-39,,
3:42.0,,,32-39,,M. Morris misses 2-pt shot from 3 ft (block by R. Gay)
3:42.0,R. Rondo enters the game for D. Collison,,32-39,,
3:41.0,Jump ball: R. Gay vs. M. Morris (P. Tucker gains possession),,,,Jump ball: R. Gay vs. M. Morris (P. Tucker gains possession)
3:41.0,,,32-39,,Offensive rebound by Team
3:34.0,,,32-39,,Turnover by P. Tucker (bad pass; steal by R. Gay)
3:32.0,R. Gay misses 2-pt shot at rim,,32-39,,
3:30.0,Offensive rebound by R. Gay,,32-39,,
3:30.0,R. Gay misses 2-pt shot at rim,,32-39,,
3:28.0,,,32-39,,Defensive rebound by B. Knight
3:23.0,,,32-39,,B. Knight misses 2-pt shot from 1 ft (block by K. Koufos)
3:21.0,Defensive rebound by K. Koufos,,32-39,,
3:09.0,K. Koufos makes 2-pt shot from 2 ft (assist by R. Rondo),2,34-39,,
2:54.0,Personal foul by B. McLemore (drawn by M. Morris),,34-39,,
2:54.0,Sacramento full timeout,,34-39,,
2:54.0,,,34-40,1,M. Morris makes free throw 1 of 2
2:54.0,,,34-41,1,M. Morris makes free throw 2 of 2
2:34.0,K. Koufos makes 2-pt shot from 5 ft (assist by R. Rondo),2,36-41,,
2:19.0,,,36-41,,E. Bledsoe misses 2-pt shot at rim
2:16.0,Defensive rebound by R. Gay,,36-41,,
1:56.0,J. Anderson misses 3-pt shot from 23 ft,,36-41,,
1:53.0,Offensive rebound by K. Koufos,,36-41,,
1:42.0,J. Anderson misses 2-pt shot from 1 ft,,36-41,,
1:38.0,,,36-41,,Defensive rebound by T. Chandler
1:34.0,,,36-43,2,E. Bledsoe makes 2-pt shot from 17 ft
1:12.0,B. McLemore makes 2-pt shot at rim,2,38-43,,
0:59.0,,,38-43,,Shooting foul by R. Gay (drawn by T. Chandler)
0:59.0,,,38-44,1,T. Chandler makes free throw 1 of 2
0:59.0,,,38-45,1,T. Chandler makes free throw 2 of 2
0:49.0,J. Anderson misses 3-pt shot from 24 ft,,38-45,,
0:47.0,Offensive rebound by K. Koufos,,38-45,,
0:41.0,K. Koufos makes 2-pt shot from 11 ft (assist by B. McLemore),2,40-45,,
0:29.0,Personal block foul by R. Gay (drawn by E. Bledsoe),,40-45,,
0:29.0,,,40-45,,E. Bledsoe misses free throw 1 of 2
0:29.0,,,40-45,,Offensive rebound by Team
0:29.0,O. Casspi enters the game for R. Gay,,40-45,,
0:29.0,,,40-46,1,E. Bledsoe makes free throw 2 of 2
0:11.0,R. Rondo misses 2-pt shot from 4 ft,,40-46,,
0:09.0,Offensive rebound by K. Koufos,,40-46,,
0:05.0,J. Anderson misses 3-pt shot from 24 ft,,40-46,,
0:05.0,Offensive rebound by Team,,40-46,,
0:05.0,Turnover by Team (shot clock),,40-46,,
0:00.0,,,40-49,3,P. Tucker makes 3-pt shot from 23 ft (assist by B. Knight)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,Turnover by Team (shot clock),,40-49,,
11:25.0,,,40-49,,Turnover by B. Knight (bad pass; steal by J. Anderson)
11:19.0,Turnover by D. Collison (bad pass; steal by T. Chandler),,40-49,,
11:07.0,,,40-51,2,M. Morris makes 2-pt shot at rim (assist by E. Bledsoe)
10:41.0,Turnover by D. Collison (bad pass; steal by E. Bledsoe),,40-51,,
10:27.0,,,40-51,,Turnover by E. Bledsoe (bad pass; steal by R. Rondo)
10:23.0,D. Collison misses 2-pt shot from 4 ft (block by B. Knight),,40-51,,
10:23.0,Offensive rebound by Team,,40-51,,
10:13.0,R. Gay makes 2-pt shot from 15 ft (assist by J. Anderson),2,42-51,,
9:54.0,,,42-51,,E. Bledsoe misses 2-pt shot from 13 ft
9:52.0,,,42-51,,Offensive rebound by T. Chandler
9:52.0,,,42-51,,T. Chandler misses 2-pt shot at rim
9:49.0,Defensive rebound by R. Gay,,42-51,,
9:42.0,J. Anderson makes 3-pt shot from 23 ft (assist by D. Collison),3,45-51,,
9:26.0,,,45-53,2,B. Knight makes 2-pt shot from 20 ft
9:06.0,J. Anderson makes 3-pt shot from 26 ft (assist by R. Gay),3,48-53,,
8:57.0,Personal foul by R. Gay (drawn by M. Morris),,48-53,,
8:57.0,K. Koufos enters the game for W. Cauley-Stein,,48-53,,
8:54.0,Personal foul by J. Anderson (drawn by E. Bledsoe),,48-53,,
8:38.0,,,48-53,,M. Morris misses 2-pt shot from 15 ft
8:35.0,Defensive rebound by R. Rondo,,48-53,,
8:33.0,R. Gay makes 2-pt shot at rim (assist by R. Rondo),2,50-53,,
8:26.0,,,50-53,,Shooting foul by K. Koufos (drawn by T. Chandler)
8:26.0,,,50-54,1,T. Chandler makes free throw 1 of 2
8:26.0,,,50-55,1,T. Chandler makes free throw 2 of 2
8:04.0,J. Anderson makes 3-pt shot from 24 ft,3,53-55,,
7:48.0,,,53-55,,Turnover by E. Bledsoe (bad pass; steal by J. Anderson)
7:43.0,D. Collison makes 2-pt shot from 1 ft (assist by R. Rondo),2,55-55,,
7:42.0,,,55-55,,Phoenix full timeout
7:22.0,,,55-58,3,B. Knight makes 3-pt shot from 25 ft (assist by P. Tucker)
6:58.0,R. Gay misses 3-pt shot from 24 ft,,55-58,,
6:56.0,,,55-58,,Defensive rebound by E. Bledsoe
6:51.0,,,55-58,,Turnover by E. Bledsoe (bad pass; steal by K. Koufos)
6:46.0,D. Collison misses 2-pt shot from 17 ft,,55-58,,
6:44.0,,,55-58,,Defensive rebound by E. Bledsoe
6:44.0,Personal foul by K. Koufos (drawn by E. Bledsoe),,55-58,,
6:44.0,Technical foul by K. Koufos (drawn by E. Bledsoe),,55-58,,
6:44.0,,,55-59,1,M. Morris makes technical free throw
6:24.0,,,55-59,,E. Bledsoe misses 3-pt shot from 23 ft
6:23.0,Defensive rebound by Team,,55-59,,
6:13.0,Turnover by J. Anderson (traveling),,55-59,,
6:13.0,O. Casspi enters the game for R. Gay,,55-59,,
5:54.0,,,55-62,3,P. Tucker makes 3-pt shot from 24 ft (assist by B. Knight)
5:33.0,J. Anderson misses 3-pt shot from 25 ft,,55-62,,
5:31.0,,,55-62,,Defensive rebound by Team
5:16.0,,,55-64,2,B. Knight makes 2-pt shot from 17 ft
5:11.0,Turnover by R. Rondo (bad pass),,55-64,,
5:11.0,M. Belinelli enters the game for R. Rondo,,55-64,,
5:01.0,,,55-64,,E. Bledsoe misses 2-pt shot from 1 ft
4:57.0,,,55-64,,Offensive rebound by B. Knight
4:55.0,,,55-66,2,B. Knight makes 2-pt shot at rim
4:55.0,Sacramento full timeout,,55-66,,
4:36.0,K. Koufos makes 2-pt shot from 9 ft (assist by O. Casspi),2,57-66,,
4:14.0,,,57-69,3,P. Tucker makes 3-pt shot from 23 ft (assist by E. Bledsoe)
4:03.0,M. Belinelli misses 2-pt shot from 20 ft,,57-69,,
4:01.0,,,57-69,,Defensive rebound by E. Bledsoe
3:55.0,,,57-71,2,E. Bledsoe makes 2-pt shot from 5 ft
3:55.0,Shooting block foul by D. Collison (drawn by E. Bledsoe),,57-71,,
3:55.0,B. McLemore enters the game for J. Anderson,,57-71,,
3:55.0,,,57-71,,T. Warren enters the game for M. Morris
3:55.0,,,57-71,,E. Bledsoe misses free throw 1 of 1
3:54.0,Defensive rebound by O. Casspi,,57-71,,
3:43.0,O. Casspi makes 3-pt shot from 24 ft,3,60-71,,
3:33.0,,,60-71,,P. Tucker misses 3-pt shot from 23 ft
3:31.0,Defensive rebound by O. Casspi,,60-71,,
3:23.0,B. McLemore makes 2-pt shot from 5 ft (assist by D. Collison),2,62-71,,
3:13.0,,,62-71,,B. Knight misses 3-pt shot from 25 ft
3:11.0,Defensive rebound by B. McLemore,,62-71,,
3:08.0,Turnover by B. McLemore (bad pass; steal by P. Tucker),,62-71,,
3:03.0,,,62-73,2,E. Bledsoe makes 2-pt shot from 18 ft
2:48.0,K. Koufos misses 2-pt shot from 8 ft,,62-73,,
2:46.0,,,62-73,,Defensive rebound by T. Chandler
2:38.0,,,62-75,2,E. Bledsoe makes 2-pt shot from 5 ft
2:30.0,O. Casspi misses 2-pt shot from 5 ft,,62-75,,
2:28.0,,,62-75,,Defensive rebound by T. Chandler
2:16.0,,,62-75,,Shooting foul by B. McLemore (drawn by P. Tucker)
2:16.0,,,62-75,,P. Tucker misses free throw 1 of 3
2:16.0,,,62-75,,Offensive rebound by Team
2:16.0,,,62-75,,P. Tucker misses free throw 2 of 3
2:16.0,,,62-75,,Offensive rebound by Team
2:16.0,,,62-75,,A. Len enters the game for T. Chandler
2:16.0,,,62-75,,R. Price enters the game for E. Bledsoe
2:16.0,,,62-76,1,P. Tucker makes free throw 3 of 3
2:05.0,D. Collison makes 2-pt shot from 15 ft,2,64-76,,
1:49.0,,,64-76,,A. Len misses 2-pt shot from 8 ft
1:47.0,Defensive rebound by B. McLemore,,64-76,,
1:41.0,Turnover by B. McLemore (lost ball; steal by T. Warren),,64-76,,
1:36.0,,,64-78,2,T. Warren makes 2-pt shot at rim (assist by P. Tucker)
1:17.0,O. Casspi makes 3-pt shot from 26 ft (assist by D. Collison),3,67-78,,
1:00.0,,,67-81,3,B. Knight makes 3-pt shot from 24 ft (assist by A. Len)
0:52.0,,,67-81,,Personal foul by T. Warren (drawn by O. Casspi)
0:42.0,K. Koufos makes 2-pt shot at rim (assist by D. Collison),2,69-81,,
0:32.0,,,69-81,,B. Knight misses 2-pt shot from 15 ft
0:30.0,Defensive rebound by M. Belinelli,,69-81,,
0:06.0,K. Koufos misses 2-pt shot from 12 ft,,69-81,,
0:04.0,,,69-81,,Defensive rebound by A. Len
0:00.0,,,69-81,,B. Knight misses 3-pt shot from 48 ft
0:00.0,,,69-81,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Personal block foul by K. Koufos (drawn by B. Knight),,69-81,,
11:30.0,,,69-81,,R. Price misses 3-pt shot from 24 ft
11:28.0,Defensive rebound by O. Casspi,,69-81,,
11:13.0,O. Casspi misses 2-pt shot from 5 ft,,69-81,,
11:12.0,,,69-81,,Defensive rebound by T. Warren
10:55.0,,,69-84,3,B. Knight makes 3-pt shot from 24 ft
10:39.0,M. Belinelli makes 2-pt shot from 1 ft,2,71-84,,
10:26.0,,,71-84,,Shooting foul by B. McLemore (drawn by J. Leuer)
10:26.0,,,71-84,,J. Leuer misses free throw 1 of 2
10:26.0,,,71-84,,Offensive rebound by Team
10:26.0,W. Cauley-Stein enters the game for K. Koufos,,71-84,,
10:26.0,R. Gay enters the game for B. McLemore,,71-84,,
10:26.0,,,71-84,,J. Leuer misses free throw 2 of 2
10:25.0,Defensive rebound by O. Casspi,,71-84,,
10:22.0,Turnover by O. Casspi (bad pass; steal by A. Len),,71-84,,
10:19.0,,,71-86,2,A. Len makes 2-pt shot at rim
10:04.0,R. Rondo makes 2-pt shot from 2 ft,2,73-86,,
9:57.0,,,73-86,,T. Warren misses 2-pt shot from 20 ft
9:52.0,Defensive rebound by W. Cauley-Stein,,73-86,,
9:48.0,M. Belinelli makes 3-pt shot from 23 ft (assist by R. Gay),3,76-86,,
9:31.0,,,76-88,2,A. Len makes 2-pt shot at rim (assist by B. Knight)
9:13.0,M. Belinelli misses 2-pt shot from 20 ft,,76-88,,
9:11.0,,,76-88,,Defensive rebound by Team
8:59.0,,,76-88,,B. Knight misses 2-pt shot from 4 ft
8:57.0,,,76-88,,Offensive rebound by A. Len
8:55.0,,,76-88,,Turnover by A. Len (lost ball; steal by M. Belinelli)
8:55.0,,,76-88,,Personal foul by J. Leuer (drawn by O. Casspi)
8:55.0,Official timeout,,76-88,,
8:55.0,,,76-88,,E. Bledsoe enters the game for B. Knight
8:43.0,M. Belinelli makes 3-pt shot from 24 ft (assist by R. Rondo),3,79-88,,
8:24.0,,,79-90,2,A. Len makes 2-pt shot at rim (assist by T. Warren)
8:12.0,O. Casspi misses 2-pt shot from 1 ft,,79-90,,
8:11.0,,,79-90,,Defensive rebound by A. Len
8:06.0,,,79-93,3,R. Price makes 3-pt shot from 26 ft (assist by E. Bledsoe)
7:52.0,R. Rondo makes 3-pt shot from 25 ft (assist by M. Belinelli),3,82-93,,
7:36.0,,,82-96,3,R. Price makes 3-pt shot from 25 ft
7:25.0,Turnover by R. Rondo (bad pass; steal by R. Price),,82-96,,
7:21.0,,,82-98,2,T. Warren makes 2-pt shot at rim (assist by E. Bledsoe)
7:20.0,Sacramento full timeout,,82-98,,
7:20.0,K. Koufos enters the game for W. Cauley-Stein,,82-98,,
7:20.0,D. Collison enters the game for O. Casspi,,82-98,,
7:04.0,R. Gay misses 2-pt shot from 7 ft,,82-98,,
7:03.0,,,82-98,,Defensive rebound by J. Leuer
7:03.0,Personal foul by R. Gay (drawn by J. Leuer),,82-98,,
6:41.0,,,82-98,,A. Len misses 2-pt shot from 6 ft
6:38.0,Defensive rebound by K. Koufos,,82-98,,
6:34.0,Turnover by M. Belinelli (bad pass),,82-98,,
6:11.0,,,82-100,2,A. Len makes 2-pt shot from 18 ft (assist by E. Bledsoe)
5:51.0,K. Koufos makes 2-pt shot from 6 ft (assist by D. Collison),2,84-100,,
5:26.0,,,84-102,2,A. Len makes 2-pt shot from 8 ft (assist by T. Warren)
5:09.0,R. Rondo misses 2-pt shot from 19 ft,,84-102,,
5:07.0,,,84-102,,Defensive rebound by E. Bledsoe
5:05.0,Personal foul by R. Rondo (drawn by T. Warren),,84-102,,
5:05.0,S. Curry enters the game for R. Rondo,,84-102,,
4:59.0,,,84-102,,E. Bledsoe misses 2-pt shot from 4 ft
4:57.0,,,84-102,,Offensive rebound by A. Len
4:57.0,,,84-104,2,A. Len makes 2-pt shot at rim
4:57.0,,,84-104,,Shooting foul by M. Belinelli (drawn by A. Len)
4:57.0,,,84-104,,B. Knight enters the game for R. Price
4:57.0,,,84-105,1,A. Len makes free throw 1 of 1
4:46.0,S. Curry makes 3-pt shot from 24 ft (assist by M. Belinelli),3,87-105,,
4:27.0,,,87-105,,A. Len misses 2-pt shot from 13 ft
4:23.0,Defensive rebound by R. Gay,,87-105,,
4:14.0,M. Belinelli misses 3-pt shot from 29 ft,,87-105,,
4:12.0,,,87-105,,Defensive rebound by Team
4:01.0,,,87-108,3,J. Leuer makes 3-pt shot from 24 ft (assist by B. Knight)
3:51.0,D. Collison makes 2-pt shot from 1 ft,2,89-108,,
3:32.0,,,89-108,,E. Bledsoe misses 2-pt shot from 20 ft
3:31.0,,,89-108,,Offensive rebound by A. Len
3:31.0,,,89-108,,Shooting foul by K. Koufos (drawn by A. Len)
3:31.0,,,89-108,,A. Len misses free throw 1 of 2
3:31.0,,,89-108,,Offensive rebound by Team
3:31.0,J. Anderson enters the game for R. Gay,,89-108,,
3:31.0,Q. Acy enters the game for D. Collison,,89-108,,
3:31.0,B. McLemore enters the game for M. Belinelli,,89-108,,
3:31.0,,,89-108,,M. Teletovic enters the game for J. Leuer
3:31.0,,,89-108,,A. Goodwin enters the game for E. Bledsoe
3:31.0,,,89-109,1,A. Len makes free throw 2 of 2
3:20.0,E. Moreland enters the game for K. Koufos,,89-109,,
3:17.0,B. McLemore makes 2-pt shot from 15 ft (assist by S. Curry),2,91-109,,
