time,Cleveland,pts.away,score,pts.home,New Orleans
7:05.0,J. Smith misses 3-pt shot from 25 ft,,15-9,,
7:04.0,,,15-9,,Defensive rebound by A. Davis
6:55.0,,,15-9,,Turnover by T. Evans (traveling)
6:44.0,Turnover by L. James (bad pass; steal by A. Davis),,15-9,,
6:41.0,,,15-9,,Shooting foul by M. Dellavedova (drawn by A. Gee)
6:41.0,,,15-9,,A. Gee misses free throw 1 of 2
6:41.0,,,15-9,,Offensive rebound by Team
6:41.0,,,15-10,1,A. Gee makes free throw 2 of 2
6:20.0,J. Smith misses 2-pt shot from 18 ft,,15-10,,
6:18.0,,,15-10,,Defensive rebound by Team
6:01.0,,,15-12,2,A. Davis makes 2-pt shot from 10 ft (assist by A. Gee)
5:39.0,,,15-12,,Personal foul by O. Asik (drawn by T. Mozgov)
5:39.0,T. Thompson enters the game for K. Love,,15-12,,
5:39.0,,,15-12,,R. Anderson enters the game for O. Asik
5:33.0,Turnover by M. Dellavedova (bad pass),,15-12,,
5:15.0,,,15-12,,R. Anderson misses 2-pt shot from 15 ft
5:14.0,Defensive rebound by J. Smith,,15-12,,
5:14.0,,,15-12,,Loose ball foul by A. Gee (drawn by J. Smith)
5:14.0,J. Jones enters the game for T. Mozgov,,15-12,,
5:03.0,Shooting foul by R. Anderson (drawn by L. James),,15-12,,
5:03.0,L. James makes free throw 1 of 2,1,16-12,,
5:03.0,L. James makes free throw 2 of 2,1,17-12,,
4:42.0,,,17-12,,T. Evans misses 2-pt shot from 2 ft
4:40.0,,,17-12,,Offensive rebound by R. Anderson
4:38.0,,,17-14,2,R. Anderson makes 2-pt shot from 2 ft
4:22.0,J. Smith makes 3-pt shot from 25 ft (assist by J. Jones),3,20-14,,
4:08.0,,,20-14,,Shooting foul by T. Thompson (drawn by A. Davis)
4:08.0,,,20-14,,A. Davis misses free throw 1 of 2
4:08.0,,,20-14,,Offensive rebound by Team
4:08.0,M. Williams enters the game for M. Dellavedova,,20-14,,
4:08.0,,,20-14,,A. Davis misses free throw 2 of 2
4:07.0,Defensive rebound by J. Smith,,20-14,,
3:45.0,J. Smith misses 3-pt shot from 27 ft,,20-14,,
3:44.0,,,20-14,,Defensive rebound by A. Davis
3:33.0,,,20-14,,A. Gee misses 2-pt shot at rim
3:29.0,,,20-14,,Offensive rebound by A. Davis
3:29.0,,,20-14,,A. Davis misses 2-pt shot at rim
3:28.0,Defensive rebound by J. Jones,,20-14,,
3:26.0,Offensive foul by L. James,,20-14,,
3:26.0,Turnover by L. James (offensive foul),,20-14,,
3:26.0,,,20-14,,J. Holiday enters the game for T. Evans
3:26.0,R. Jefferson enters the game for L. James,,20-14,,
3:12.0,Personal foul by J. Smith (drawn by R. Anderson),,20-14,,
3:12.0,,,20-15,1,R. Anderson makes free throw 1 of 2
3:12.0,,,20-16,1,R. Anderson makes free throw 2 of 2
3:02.0,J. Smith makes 3-pt shot from 24 ft (assist by T. Thompson),3,23-16,,
2:51.0,,,23-19,3,E. Gordon makes 3-pt shot from 24 ft (assist by J. Holiday)
2:30.0,M. Williams misses 3-pt shot from 24 ft (block by A. Davis),,23-19,,
2:28.0,Offensive rebound by T. Thompson,,23-19,,
2:23.0,J. Jones misses 3-pt shot from 23 ft,,23-19,,
2:22.0,,,23-19,,Defensive rebound by J. Holiday
2:13.0,,,23-19,,R. Anderson misses 3-pt shot from 24 ft
2:12.0,Defensive rebound by J. Smith,,23-19,,
1:52.0,Shooting foul by A. Gee (drawn by J. Jones),,23-19,,
1:52.0,Cleveland full timeout,,23-19,,
1:52.0,,,23-19,,D. Cunningham enters the game for A. Gee
1:52.0,J. Jones makes free throw 1 of 2,1,24-19,,
1:52.0,J. Jones makes free throw 2 of 2,1,25-19,,
1:42.0,,,25-19,,Turnover by E. Gordon (lost ball)
1:28.0,M. Williams misses 2-pt shot from 18 ft,,25-19,,
1:27.0,,,25-19,,Defensive rebound by R. Anderson
1:17.0,,,25-19,,J. Holiday misses 2-pt shot from 7 ft
1:14.0,,,25-19,,Offensive rebound by J. Holiday
1:14.0,,,25-19,,J. Holiday misses 2-pt shot from 1 ft
1:13.0,Defensive rebound by R. Jefferson,,25-19,,
1:00.0,J. Jones misses 3-pt shot from 25 ft,,25-19,,
0:59.0,,,25-19,,Defensive rebound by Team
0:48.0,,,25-19,,D. Cunningham misses 3-pt shot from 23 ft
0:47.0,Defensive rebound by T. Thompson,,25-19,,
0:36.0,Turnover by M. Williams (bad pass),,25-19,,
0:22.0,Personal foul by R. Jefferson (drawn by A. Davis),,25-19,,
0:22.0,,,25-20,1,A. Davis makes free throw 1 of 2
0:22.0,,,25-21,1,A. Davis makes free throw 2 of 2
0:04.0,M. Williams makes 2-pt shot from 19 ft,2,27-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,27-21,,Personal foul by N. Cole (drawn by M. Williams)
11:36.0,M. Williams misses 3-pt shot from 25 ft,,27-21,,
11:34.0,,,27-21,,Defensive rebound by D. Cunningham
11:17.0,,,27-21,,Turnover by R. Anderson (lost ball; steal by J. Jones)
11:16.0,Jump ball: R. Anderson vs. J. Jones (J. Holiday gains possession),,,,Jump ball: R. Anderson vs. J. Jones (J. Holiday gains possession)
11:16.0,Turnover by J. Jones (lost ball; steal by R. Anderson),,27-21,,
11:07.0,,,27-23,2,J. Holiday makes 2-pt shot from 1 ft
10:46.0,M. Williams misses 2-pt shot from 23 ft,,27-23,,
10:45.0,Offensive rebound by R. Jefferson,,27-23,,
10:42.0,R. Jefferson misses 2-pt shot from 9 ft,,27-23,,
10:42.0,,,27-23,,Defensive rebound by J. Holiday
10:34.0,,,27-25,2,J. Holiday makes 2-pt shot from 8 ft
10:34.0,,,27-25,,Shooting foul by J. Jones (drawn by J. Holiday)
10:34.0,M. Dellavedova enters the game for J. Jones,,27-25,,
10:34.0,K. Love enters the game for R. Jefferson,,27-25,,
10:34.0,,,27-25,,L. Babbitt enters the game for A. Davis
10:34.0,,,27-26,1,J. Holiday makes free throw 1 of 1
10:12.0,K. Love makes 2-pt shot from 10 ft,2,29-26,,
9:59.0,,,29-26,,N. Cole misses 2-pt shot from 21 ft
9:57.0,Defensive rebound by L. James,,29-26,,
9:51.0,K. Love makes 2-pt shot from 7 ft (assist by L. James),2,31-26,,
9:51.0,Shooting foul by L. Babbitt (drawn by K. Love),,31-26,,
9:51.0,K. Love makes free throw 1 of 1,1,32-26,,
9:32.0,,,32-26,,L. Babbitt misses 3-pt shot from 24 ft
9:31.0,,,32-26,,Offensive rebound by Team
9:31.0,Loose ball foul by T. Thompson (drawn by R. Anderson),,32-26,,
9:21.0,,,32-28,2,R. Anderson makes 2-pt shot from 15 ft
8:56.0,K. Love misses 2-pt shot from 8 ft (block by D. Cunningham),,32-28,,
8:54.0,,,32-28,,Defensive rebound by J. Holiday
8:39.0,,,32-28,,L. Babbitt misses 3-pt shot from 25 ft
8:38.0,Defensive rebound by K. Love,,32-28,,
8:31.0,Shooting foul by L. Babbitt (drawn by K. Love),,32-28,,
8:31.0,Official timeout,,32-28,,
8:31.0,T. Mozgov enters the game for T. Thompson,,32-28,,
8:31.0,,,32-28,,A. Davis enters the game for L. Babbitt
8:31.0,K. Love makes free throw 1 of 2,1,33-28,,
8:31.0,K. Love misses free throw 2 of 2,,33-28,,
8:30.0,,,33-28,,Defensive rebound by J. Holiday
8:14.0,,,33-28,,N. Cole misses 2-pt shot from 20 ft
8:13.0,Defensive rebound by K. Love,,33-28,,
8:07.0,M. Williams makes 2-pt shot from 16 ft (assist by L. James),2,35-28,,
7:52.0,,,35-30,2,A. Davis makes 2-pt shot from 16 ft (assist by N. Cole)
7:30.0,K. Love misses 3-pt shot from 22 ft,,35-30,,
7:29.0,Offensive rebound by L. James,,35-30,,
7:25.0,K. Love misses 3-pt shot from 24 ft,,35-30,,
7:22.0,Offensive rebound by Team,,35-30,,
7:14.0,K. Love misses 2-pt shot from 20 ft,,35-30,,
7:14.0,Offensive rebound by Team,,35-30,,
7:14.0,,,35-30,,Loose ball foul by R. Anderson (drawn by T. Mozgov)
7:14.0,,,35-30,,O. Asik enters the game for R. Anderson
6:57.0,K. Love misses 2-pt shot from 10 ft,,35-30,,
6:56.0,,,35-30,,Defensive rebound by A. Davis
6:46.0,,,35-32,2,A. Davis makes 2-pt shot at rim (assist by D. Cunningham)
6:17.0,M. Dellavedova makes 3-pt shot from 25 ft (assist by L. James),3,38-32,,
6:06.0,,,38-34,2,J. Holiday makes 2-pt shot from 15 ft
5:52.0,,,38-34,,New Orleans full timeout
5:52.0,J. Smith enters the game for M. Williams,,38-34,,
5:52.0,,,38-34,,T. Evans enters the game for J. Holiday
5:45.0,L. James misses 2-pt shot from 13 ft,,38-34,,
5:44.0,,,38-34,,Defensive rebound by A. Davis
5:23.0,,,38-36,2,D. Cunningham makes 2-pt shot from 18 ft (assist by O. Asik)
5:05.0,T. Mozgov makes 2-pt shot from 2 ft (assist by M. Dellavedova),2,40-36,,
4:48.0,,,40-36,,A. Davis misses 2-pt shot from 12 ft
4:46.0,,,40-36,,Offensive rebound by D. Cunningham
4:40.0,,,40-38,2,N. Cole makes 2-pt shot from 1 ft (assist by D. Cunningham)
4:16.0,L. James makes 3-pt shot from 28 ft (assist by K. Love),3,43-38,,
4:08.0,Personal foul by T. Mozgov (drawn by A. Davis),,43-38,,
4:08.0,,,43-38,,New Orleans full timeout
4:08.0,,,43-38,,R. Anderson enters the game for A. Davis
4:08.0,A. Varejao enters the game for T. Mozgov,,43-38,,
4:00.0,,,43-38,,O. Asik misses 2-pt shot at rim (block by L. James)
3:59.0,Defensive rebound by M. Dellavedova,,43-38,,
3:50.0,K. Love makes 2-pt shot from 9 ft,2,45-38,,
3:33.0,,,45-38,,Shooting foul by L. James (drawn by R. Anderson)
3:33.0,Technical foul by L. James (drawn by R. Anderson),,45-38,,
3:33.0,,,45-39,1,R. Anderson makes technical free throw
3:33.0,,,45-40,1,R. Anderson makes free throw 1 of 2
3:33.0,,,45-40,,E. Gordon enters the game for N. Cole
3:33.0,,,45-40,,R. Anderson misses free throw 2 of 2
3:32.0,Defensive rebound by K. Love,,45-40,,
3:15.0,J. Smith misses 3-pt shot from 25 ft,,45-40,,
3:14.0,,,45-40,,Defensive rebound by T. Evans
3:09.0,,,45-42,2,D. Cunningham makes 2-pt shot at rim (assist by T. Evans)
2:52.0,L. James makes 2-pt shot at rim (assist by M. Dellavedova),2,47-42,,
2:29.0,,,47-42,,Shooting foul by J. Smith (drawn by R. Anderson)
2:29.0,Cleveland full timeout,,47-42,,
2:29.0,,,47-42,,A. Davis enters the game for O. Asik
2:29.0,,,47-43,1,R. Anderson makes free throw 1 of 2
2:29.0,,,47-44,1,R. Anderson makes free throw 2 of 2
2:09.0,L. James misses 3-pt shot from 29 ft,,47-44,,
2:08.0,,,47-44,,Defensive rebound by E. Gordon
1:55.0,,,47-44,,Shooting foul by J. Smith (drawn by T. Evans)
1:55.0,,,47-44,,T. Evans misses free throw 1 of 2
1:55.0,,,47-44,,Offensive rebound by Team
1:55.0,M. Williams enters the game for J. Smith,,47-44,,
1:55.0,,,47-45,1,T. Evans makes free throw 2 of 2
1:35.0,L. James misses 2-pt shot from 10 ft,,47-45,,
1:34.0,,,47-45,,Defensive rebound by T. Evans
1:28.0,,,47-47,2,T. Evans makes 2-pt shot from 1 ft
1:07.0,K. Love makes 2-pt shot from 16 ft (assist by M. Williams),2,49-47,,
1:00.0,,,49-50,3,E. Gordon makes 3-pt shot from 26 ft (assist by T. Evans)
0:49.0,M. Dellavedova misses 2-pt shot from 2 ft,,49-50,,
0:48.0,,,49-50,,Defensive rebound by T. Evans
0:42.0,,,49-52,2,A. Davis makes 2-pt shot at rim (assist by D. Cunningham)
0:32.0,Shooting foul by A. Davis (drawn by A. Varejao),,49-52,,
0:32.0,A. Varejao makes free throw 1 of 2,1,50-52,,
0:32.0,R. Jefferson enters the game for L. James,,50-52,,
0:32.0,A. Varejao makes free throw 2 of 2,1,51-52,,
0:22.0,,,51-52,,Turnover by D. Cunningham (bad pass; steal by R. Jefferson)
0:17.0,Cleveland full timeout,,51-52,,
0:17.0,,,51-52,,A. Gee enters the game for R. Anderson
0:17.0,L. James enters the game for A. Varejao,,51-52,,
0:01.0,K. Love makes 2-pt shot from 4 ft (assist by L. James),2,53-52,,
0:00.0,,,53-52,,A. Gee misses 3-pt shot from 42 ft
0:00.0,,,53-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,53-52,,Personal foul by A. Gee (drawn by L. James)
11:37.0,M. Dellavedova makes 2-pt shot from 16 ft,2,55-52,,
11:25.0,,,55-55,3,A. Davis makes 3-pt shot from 24 ft (assist by E. Gordon)
11:08.0,T. Mozgov makes 2-pt shot at rim (assist by L. James),2,57-55,,
10:48.0,,,57-55,,T. Evans misses 2-pt shot from 6 ft
10:47.0,Defensive rebound by J. Smith,,57-55,,
10:40.0,,,57-55,,Personal foul by A. Gee (drawn by K. Love)
10:40.0,,,57-55,,D. Cunningham enters the game for A. Gee
10:29.0,J. Smith makes 3-pt shot from 25 ft,3,60-55,,
10:04.0,,,60-55,,E. Gordon misses 2-pt shot from 3 ft
10:03.0,Defensive rebound by M. Dellavedova,,60-55,,
9:54.0,K. Love misses 3-pt shot from 26 ft,,60-55,,
9:53.0,,,60-55,,Defensive rebound by T. Evans
9:50.0,,,60-55,,Shooting foul by M. Dellavedova (drawn by A. Davis)
9:50.0,,,60-55,,A. Davis misses free throw 1 of 2
9:50.0,,,60-55,,Offensive rebound by Team
9:50.0,,,60-56,1,A. Davis makes free throw 2 of 2
9:37.0,J. Smith misses 3-pt shot from 23 ft,,60-56,,
9:36.0,Offensive rebound by K. Love,,60-56,,
9:27.0,L. James misses 2-pt shot from 8 ft,,60-56,,
9:26.0,Offensive rebound by K. Love,,60-56,,
9:23.0,,,60-56,,Personal foul by D. Cunningham (drawn by T. Mozgov)
9:09.0,L. James misses 2-pt shot at rim,,60-56,,
9:08.0,Offensive rebound by T. Mozgov,,60-56,,
9:08.0,T. Mozgov makes 2-pt shot at rim,2,62-56,,
8:56.0,,,62-58,2,E. Gordon makes 2-pt shot from 21 ft (assist by T. Evans)
8:43.0,L. James misses 2-pt shot from 2 ft,,62-58,,
8:42.0,,,62-58,,Defensive rebound by O. Asik
8:36.0,,,62-58,,E. Gordon misses 3-pt shot from 26 ft
8:35.0,,,62-58,,Offensive rebound by D. Cunningham
8:21.0,,,62-58,,Shooting foul by L. James (drawn by O. Asik)
8:21.0,,,62-58,,O. Asik misses free throw 1 of 2
8:21.0,,,62-58,,Offensive rebound by Team
8:21.0,,,62-59,1,O. Asik makes free throw 2 of 2
8:05.0,J. Smith misses 3-pt shot from 24 ft,,62-59,,
8:04.0,,,62-59,,Defensive rebound by O. Asik
7:58.0,,,62-61,2,T. Evans makes 2-pt shot from 1 ft
7:42.0,Shooting foul by O. Asik (drawn by K. Love),,62-61,,
7:42.0,K. Love makes free throw 1 of 2,1,63-61,,
7:42.0,M. Williams enters the game for M. Dellavedova,,63-61,,
7:42.0,K. Love misses free throw 2 of 2,,63-61,,
7:42.0,,,63-61,,Defensive rebound by A. Davis
7:21.0,,,63-63,2,E. Gordon makes 2-pt shot from 7 ft
7:04.0,T. Mozgov misses 2-pt shot from 2 ft,,63-63,,
7:03.0,,,63-63,,Defensive rebound by A. Davis
6:58.0,,,63-63,,Turnover by E. Gordon (bad pass; steal by K. Love)
6:40.0,K. Love misses 2-pt shot from 17 ft,,63-63,,
6:39.0,,,63-63,,Defensive rebound by D. Cunningham
6:33.0,,,63-66,3,E. Gordon makes 3-pt shot from 25 ft (assist by T. Evans)
6:32.0,Cleveland full timeout,,63-66,,
6:32.0,T. Thompson enters the game for T. Mozgov,,63-66,,
6:24.0,,,63-66,,Personal foul by T. Evans (drawn by L. James)
6:24.0,L. James misses free throw 1 of 2,,63-66,,
6:24.0,Offensive rebound by Team,,63-66,,
6:24.0,L. James makes free throw 2 of 2,1,64-66,,
6:00.0,,,64-68,2,A. Davis makes 2-pt shot from 18 ft
5:33.0,L. James misses 2-pt shot from 20 ft,,64-68,,
5:32.0,Offensive rebound by T. Thompson,,64-68,,
5:24.0,L. James misses 2-pt shot from 1 ft,,64-68,,
5:24.0,,,64-68,,Defensive rebound by D. Cunningham
5:18.0,,,64-70,2,T. Evans makes 2-pt shot from 1 ft
5:11.0,Shooting foul by D. Cunningham (drawn by L. James),,64-70,,
5:11.0,L. James makes free throw 1 of 2,1,65-70,,
5:11.0,,,65-70,,J. Holiday enters the game for T. Evans
5:11.0,L. James makes free throw 2 of 2,1,66-70,,
5:00.0,,,66-70,,Offensive foul by O. Asik
5:00.0,,,66-70,,Turnover by O. Asik (offensive foul)
5:00.0,M. Dellavedova enters the game for J. Smith,,66-70,,
4:40.0,Turnover by L. James (bad pass; steal by O. Asik),,66-70,,
4:32.0,,,66-70,,Shooting foul by M. Williams (drawn by J. Holiday)
4:32.0,,,66-71,1,J. Holiday makes free throw 1 of 2
4:32.0,,,66-71,,R. Anderson enters the game for O. Asik
4:32.0,R. Jefferson enters the game for L. James,,66-71,,
4:32.0,,,66-71,,J. Holiday misses free throw 2 of 2
4:31.0,Defensive rebound by K. Love,,66-71,,
4:12.0,M. Williams misses 2-pt shot from 16 ft,,66-71,,
4:11.0,,,66-71,,Defensive rebound by D. Cunningham
4:04.0,,,66-73,2,A. Davis makes 2-pt shot from 9 ft (assist by J. Holiday)
3:50.0,Turnover by M. Dellavedova (lost ball; steal by J. Holiday),,66-73,,
3:36.0,,,66-76,3,R. Anderson makes 3-pt shot from 25 ft (assist by E. Gordon)
3:20.0,Turnover by M. Dellavedova (bad pass; steal by D. Cunningham),,66-76,,
3:18.0,Personal foul by M. Williams (drawn by A. Davis),,66-76,,
3:18.0,,,66-76,,L. Babbitt enters the game for D. Cunningham
3:18.0,J. Jones enters the game for K. Love,,66-76,,
3:08.0,,,66-76,,A. Davis misses 3-pt shot from 25 ft
3:08.0,Defensive rebound by M. Williams,,66-76,,
3:03.0,,,66-76,,Personal foul by J. Holiday (drawn by J. Jones)
3:03.0,J. Jones makes free throw 1 of 2,1,67-76,,
3:03.0,J. Jones makes free throw 2 of 2,1,68-76,,
2:53.0,,,68-79,3,E. Gordon makes 3-pt shot from 23 ft (assist by J. Holiday)
2:31.0,M. Williams makes 2-pt shot from 11 ft,2,70-79,,
2:18.0,,,70-82,3,R. Anderson makes 3-pt shot from 25 ft (assist by J. Holiday)
2:01.0,J. Jones makes 3-pt shot from 26 ft (assist by M. Williams),3,73-82,,
1:43.0,,,73-82,,Turnover by A. Davis (bad pass)
1:43.0,,,73-82,,New Orleans full timeout
1:33.0,M. Williams makes 2-pt shot from 19 ft,2,75-82,,
1:10.0,,,75-82,,A. Davis misses 2-pt shot from 8 ft
1:09.0,,,75-82,,Offensive rebound by R. Anderson
1:08.0,,,75-82,,R. Anderson misses 2-pt shot from 2 ft
1:06.0,,,75-82,,Offensive rebound by J. Holiday
1:05.0,,,75-82,,Turnover by J. Holiday (bad pass; steal by R. Jefferson)
0:57.0,Offensive foul by T. Thompson,,75-82,,
0:57.0,Turnover by T. Thompson (offensive foul),,75-82,,
0:57.0,,,75-82,,N. Cole enters the game for E. Gordon
0:44.0,,,75-84,2,N. Cole makes 2-pt shot from 3 ft
0:21.0,M. Williams misses 2-pt shot from 17 ft,,75-84,,
0:20.0,Offensive rebound by T. Thompson,,75-84,,
0:19.0,T. Thompson makes 2-pt shot from 2 ft,2,77-84,,
0:02.0,,,77-84,,J. Holiday misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by J. Jones,,77-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,77-84,,R. Anderson misses 2-pt shot from 9 ft
11:42.0,Defensive rebound by L. James,,77-84,,
11:24.0,T. Thompson misses 2-pt shot from 6 ft,,77-84,,
11:23.0,,,77-84,,Defensive rebound by Team
11:13.0,,,77-84,,Shooting foul by R. Jefferson (drawn by O. Asik)
11:13.0,,,77-84,,O. Asik misses free throw 1 of 2
11:13.0,,,77-84,,Offensive rebound by Team
11:13.0,,,77-85,1,O. Asik makes free throw 2 of 2
10:51.0,T. Thompson makes 2-pt shot from 2 ft (assist by M. Williams),2,79-85,,
10:34.0,,,79-87,2,O. Asik makes 2-pt shot at rim (assist by N. Cole)
10:20.0,Turnover by L. James (bad pass; steal by J. Holiday),,79-87,,
10:14.0,,,79-87,,Offensive charge foul by R. Anderson
10:14.0,,,79-87,,Turnover by R. Anderson (offensive foul)
10:03.0,L. James misses 3-pt shot from 26 ft,,79-87,,
10:02.0,,,79-87,,Defensive rebound by O. Asik
9:55.0,Personal foul by R. Jefferson (drawn by N. Cole),,79-87,,
9:40.0,,,79-87,,N. Cole misses 2-pt shot from 22 ft
9:39.0,Defensive rebound by L. James,,79-87,,
9:34.0,J. Jones misses 3-pt shot from 25 ft,,79-87,,
9:32.0,,,79-87,,Defensive rebound by J. Holiday
9:26.0,,,79-87,,J. Holiday misses 2-pt shot from 8 ft
9:24.0,Defensive rebound by T. Thompson,,79-87,,
9:18.0,,,79-87,,Personal foul by J. Holiday (drawn by L. James)
9:18.0,M. Dellavedova enters the game for M. Williams,,79-87,,
9:12.0,L. James makes 2-pt shot from 1 ft,2,81-87,,
9:00.0,,,81-87,,N. Cole misses 2-pt shot from 8 ft
8:59.0,,,81-87,,Offensive rebound by O. Asik
8:58.0,,,81-87,,Shooting foul by R. Jefferson (drawn by O. Asik)
8:58.0,Official timeout,,81-87,,
8:58.0,J. Smith enters the game for R. Jefferson,,81-87,,
8:58.0,,,81-87,,A. Davis enters the game for R. Anderson
8:58.0,,,81-87,,T. Evans enters the game for J. Holiday
8:58.0,,,81-88,1,O. Asik makes free throw 1 of 2
8:58.0,,,81-89,1,O. Asik makes free throw 2 of 2
8:43.0,L. James misses 3-pt shot from 25 ft,,81-89,,
8:42.0,,,81-89,,Defensive rebound by A. Davis
8:23.0,,,81-89,,T. Evans misses 2-pt shot from 4 ft
8:22.0,Defensive rebound by T. Thompson,,81-89,,
8:13.0,J. Jones misses 3-pt shot from 24 ft,,81-89,,
8:12.0,,,81-89,,Defensive rebound by D. Cunningham
7:59.0,,,81-89,,A. Davis misses 2-pt shot from 19 ft
7:58.0,,,81-89,,Offensive rebound by O. Asik
7:39.0,,,81-92,3,A. Davis makes 3-pt shot from 26 ft (assist by T. Evans)
7:16.0,Turnover by L. James (bad pass; steal by A. Davis),,81-92,,
7:15.0,Personal foul by J. Jones (drawn by T. Evans),,81-92,,
7:15.0,,,81-92,,R. Anderson enters the game for O. Asik
7:15.0,K. Love enters the game for J. Jones,,81-92,,
6:52.0,,,81-94,2,D. Cunningham makes 2-pt shot from 20 ft (assist by T. Evans)
6:32.0,L. James misses 2-pt shot from 1 ft,,81-94,,
6:31.0,Offensive rebound by K. Love,,81-94,,
6:23.0,L. James makes 2-pt shot from 2 ft,2,83-94,,
5:59.0,,,83-94,,N. Cole misses 3-pt shot from 25 ft
5:58.0,Defensive rebound by L. James,,83-94,,
5:44.0,Shooting foul by A. Davis (drawn by L. James),,83-94,,
5:44.0,,,83-94,,New Orleans full timeout
5:44.0,,,83-94,,E. Gordon enters the game for N. Cole
5:44.0,L. James makes free throw 1 of 2,1,84-94,,
5:44.0,L. James makes free throw 2 of 2,1,85-94,,
5:27.0,,,85-96,2,T. Evans makes 2-pt shot from 1 ft
5:17.0,,,85-96,,Personal foul by T. Evans (drawn by J. Smith)
5:01.0,L. James makes 2-pt shot at rim,2,87-96,,
4:46.0,,,87-96,,R. Anderson misses 3-pt shot from 23 ft
4:45.0,Defensive rebound by T. Thompson,,87-96,,
4:31.0,L. James makes 2-pt shot from 1 ft,2,89-96,,
4:11.0,,,89-96,,Turnover by T. Evans (bad pass; steal by T. Thompson)
4:02.0,M. Dellavedova makes 3-pt shot from 24 ft (assist by L. James),3,92-96,,
4:02.0,,,92-96,,New Orleans full timeout
3:51.0,Personal foul by J. Smith (drawn by T. Evans),,92-96,,
3:51.0,,,92-97,1,T. Evans makes free throw 1 of 2
3:51.0,,,92-97,,O. Asik enters the game for R. Anderson
3:51.0,,,92-98,1,T. Evans makes free throw 2 of 2
3:36.0,T. Thompson misses 2-pt shot from 5 ft,,92-98,,
3:35.0,,,92-98,,Defensive rebound by A. Davis
3:20.0,,,92-98,,T. Evans misses 3-pt shot from 25 ft
3:20.0,,,92-98,,Offensive rebound by Team
3:20.0,,,92-98,,R. Anderson enters the game for O. Asik
3:08.0,,,92-98,,R. Anderson misses 3-pt shot from 25 ft
3:07.0,Defensive rebound by T. Thompson,,92-98,,
3:01.0,L. James makes 2-pt shot from 3 ft,2,94-98,,
2:47.0,,,94-98,,A. Davis misses 3-pt shot from 22 ft
2:43.0,,,94-98,,Offensive rebound by T. Evans
2:39.0,,,94-98,,Turnover by T. Evans (bad pass; steal by L. James)
2:39.0,L. James makes 2-pt shot from 2 ft,2,96-98,,
2:39.0,Shooting foul by D. Cunningham (drawn by L. James),,96-98,,
2:39.0,L. James makes free throw 1 of 1,1,97-98,,
2:26.0,,,97-98,,Turnover by R. Anderson (bad pass)
2:26.0,Cleveland full timeout,,97-98,,
2:26.0,,,97-98,,O. Asik enters the game for R. Anderson
2:17.0,L. James misses 2-pt shot from 5 ft,,97-98,,
