time,Detroit,pts.away,score,pts.home,Phoenix
3:58.0,,,12-9,,E. Bledsoe misses 2-pt shot from 4 ft (block by R. Jackson)
3:58.0,,,12-9,,Offensive rebound by Team
3:52.0,,,12-9,,S. Weems misses 2-pt shot from 6 ft
3:52.0,Defensive rebound by K. Caldwell-Pope,,12-9,,
3:37.0,Turnover by S. Johnson (bad pass; steal by E. Bledsoe),,12-9,,
3:34.0,,,12-9,,Turnover by E. Bledsoe (bad pass)
3:16.0,K. Caldwell-Pope makes 2-pt shot from 10 ft,2,14-9,,
3:16.0,Shooting foul by S. Weems (drawn by K. Caldwell-Pope),,14-9,,
3:16.0,K. Caldwell-Pope makes free throw 1 of 1,1,15-9,,
2:54.0,,,15-9,,Turnover by E. Bledsoe (offensive foul)
2:54.0,,,15-9,,Offensive foul by E. Bledsoe
2:54.0,,,15-9,,Phoenix full timeout
2:54.0,,,15-9,,R. Price enters the game for E. Bledsoe
2:54.0,M. Morris enters the game for K. Caldwell-Pope,,15-9,,
2:54.0,S. Blake enters the game for R. Jackson,,15-9,,
2:31.0,Turnover by S. Blake (bad pass; steal by T. Warren),,15-9,,
2:16.0,Personal block foul by M. Morris (drawn by T. Warren),,15-9,,
2:03.0,,,15-9,,R. Price misses 3-pt shot from 26 ft
2:03.0,Defensive rebound by S. Johnson,,15-9,,
1:59.0,S. Johnson misses 2-pt shot from 3 ft (block by R. Price),,15-9,,
1:59.0,Offensive rebound by Team,,15-9,,
1:55.0,S. Blake makes 2-pt shot from 17 ft (assist by M. Morris),2,17-9,,
1:37.0,,,17-12,3,M. Teletovic makes 3-pt shot from 24 ft (assist by R. Price)
1:14.0,A. Drummond makes 2-pt shot from 7 ft,2,19-12,,
1:01.0,,,19-12,,T. Warren misses 2-pt shot from 13 ft
1:00.0,,,19-12,,Offensive rebound by T. Chandler
0:59.0,,,19-14,2,T. Chandler makes 2-pt shot at rim
0:42.0,S. Johnson misses 3-pt shot from 24 ft,,19-14,,
0:41.0,,,19-14,,Defensive rebound by S. Weems
0:33.0,,,19-14,,Turnover by S. Weems (bad pass; steal by A. Drummond)
0:27.0,S. Johnson makes 2-pt shot from 2 ft (assist by S. Blake),2,21-14,,
0:05.0,,,21-14,,T. Chandler misses 2-pt shot from 16 ft
0:04.0,Defensive rebound by S. Johnson,,21-14,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,21-14,,Turnover by A. Len (traveling)
11:32.0,,,21-14,,Def 3 sec tech foul by A. Len
11:32.0,S. Johnson misses technical free throw,,21-14,,
11:32.0,Offensive rebound by Team,,21-14,,
11:21.0,A. Tolliver misses 3-pt shot from 23 ft,,21-14,,
11:20.0,,,21-14,,Defensive rebound by R. Price
10:58.0,,,21-14,,S. Weems misses 2-pt shot from 16 ft
10:58.0,Defensive rebound by A. Tolliver,,21-14,,
10:50.0,M. Morris misses 2-pt shot from 9 ft,,21-14,,
10:50.0,,,21-14,,Defensive rebound by S. Weems
10:37.0,,,21-16,2,T. Warren makes 2-pt shot at rim (assist by R. Price)
10:27.0,,,21-16,,Personal foul by T. Warren (drawn by M. Morris)
10:27.0,,,21-16,,B. Knight enters the game for S. Weems
10:19.0,,,21-16,,Personal foul by R. Price (drawn by M. Morris)
10:05.0,S. Johnson misses 3-pt shot from 24 ft,,21-16,,
10:04.0,,,21-16,,Defensive rebound by A. Len
9:50.0,,,21-16,,B. Knight misses 3-pt shot from 26 ft
9:49.0,,,21-16,,Offensive rebound by T. Warren
9:49.0,,,21-18,2,T. Warren makes 2-pt shot from 1 ft
9:30.0,K. Caldwell-Pope enters the game for S. Johnson,,21-18,,
9:20.0,S. Blake makes 3-pt shot from 22 ft (assist by K. Caldwell-Pope),3,24-18,,
9:06.0,,,24-18,,J. Leuer misses 3-pt shot from 24 ft
9:06.0,Defensive rebound by K. Caldwell-Pope,,24-18,,
8:53.0,S. Blake makes 3-pt shot from 23 ft (assist by A. Baynes),3,27-18,,
8:50.0,,,27-18,,Phoenix full timeout
8:42.0,,,27-18,,Turnover by J. Leuer (bad pass; steal by A. Baynes)
8:31.0,A. Tolliver misses 3-pt shot from 24 ft,,27-18,,
8:29.0,Offensive rebound by M. Morris,,27-18,,
8:29.0,M. Morris makes 2-pt shot at rim,2,29-18,,
8:12.0,,,29-18,,T. Warren misses 2-pt shot from 2 ft
8:12.0,,,29-18,,Offensive rebound by A. Len
8:12.0,,,29-18,,A. Len misses 2-pt shot from 1 ft
8:12.0,,,29-18,,Offensive rebound by Team
8:12.0,Loose ball foul by A. Baynes (drawn by A. Len),,29-18,,
8:12.0,,,29-18,,E. Bledsoe enters the game for T. Warren
8:12.0,,,29-18,,P. Tucker enters the game for R. Price
8:07.0,,,29-20,2,B. Knight makes 2-pt shot from 17 ft
7:52.0,S. Blake misses 2-pt shot from 3 ft,,29-20,,
7:51.0,,,29-20,,Defensive rebound by A. Len
7:43.0,,,29-20,,P. Tucker misses 3-pt shot from 22 ft
7:43.0,Defensive rebound by A. Tolliver,,29-20,,
7:29.0,M. Morris misses 2-pt shot from 5 ft,,29-20,,
7:29.0,,,29-20,,Defensive rebound by A. Len
7:19.0,,,29-20,,J. Leuer misses 2-pt shot from 1 ft
7:18.0,,,29-20,,Offensive rebound by A. Len
7:18.0,,,29-22,2,A. Len makes 2-pt shot at rim
7:05.0,M. Morris misses 2-pt shot from 8 ft,,29-22,,
7:04.0,,,29-22,,Defensive rebound by A. Len
6:56.0,,,29-22,,B. Knight misses 2-pt shot from 18 ft
6:55.0,Defensive rebound by A. Tolliver,,29-22,,
6:47.0,A. Tolliver misses 3-pt shot from 26 ft,,29-22,,
6:47.0,,,29-22,,Defensive rebound by J. Leuer
6:31.0,,,29-25,3,J. Leuer makes 3-pt shot from 25 ft (assist by E. Bledsoe)
6:24.0,Detroit full timeout,,29-25,,
6:24.0,E. Ilyasova enters the game for A. Tolliver,,29-25,,
6:24.0,R. Jackson enters the game for S. Blake,,29-25,,
6:24.0,A. Drummond enters the game for A. Baynes,,29-25,,
6:09.0,K. Caldwell-Pope misses 2-pt shot from 16 ft,,29-25,,
6:08.0,,,29-25,,Defensive rebound by A. Len
6:02.0,,,29-25,,E. Bledsoe misses 2-pt shot from 20 ft
5:59.0,,,29-25,,Offensive rebound by J. Leuer
5:53.0,,,29-25,,Turnover by J. Leuer (bad pass; steal by K. Caldwell-Pope)
5:38.0,A. Drummond makes 2-pt shot from 2 ft (assist by R. Jackson),2,31-25,,
5:38.0,,,31-25,,Shooting block foul by A. Len (drawn by A. Drummond)
5:38.0,,,31-25,,T. Chandler enters the game for A. Len
5:38.0,,,31-25,,M. Morris enters the game for J. Leuer
5:38.0,A. Drummond misses free throw 1 of 1,,31-25,,
5:37.0,,,31-25,,Defensive rebound by P. Tucker
5:25.0,Shooting block foul by R. Jackson (drawn by E. Bledsoe),,31-25,,
5:25.0,,,31-26,1,E. Bledsoe makes free throw 1 of 2
5:25.0,,,31-27,1,E. Bledsoe makes free throw 2 of 2
5:10.0,R. Jackson makes 2-pt shot from 17 ft,2,33-27,,
4:45.0,,,33-29,2,E. Bledsoe makes 2-pt shot from 2 ft
4:25.0,M. Morris makes 3-pt shot from 25 ft,3,36-29,,
4:19.0,Personal foul by E. Ilyasova (drawn by M. Morris),,36-29,,
4:03.0,,,36-31,2,M. Morris makes 2-pt shot from 7 ft (assist by E. Bledsoe)
3:50.0,E. Ilyasova misses 2-pt shot from 7 ft,,36-31,,
3:50.0,,,36-31,,Defensive rebound by P. Tucker
3:44.0,,,36-33,2,E. Bledsoe makes 2-pt shot from 11 ft
3:25.0,Turnover by E. Ilyasova (lost ball; steal by E. Bledsoe),,36-33,,
3:22.0,,,36-33,,E. Bledsoe misses 2-pt shot at rim
3:18.0,Defensive rebound by R. Jackson,,36-33,,
3:15.0,R. Jackson misses 2-pt shot from 3 ft,,36-33,,
3:14.0,,,36-33,,Defensive rebound by M. Morris
3:06.0,,,36-33,,M. Morris misses 2-pt shot from 19 ft
3:05.0,Defensive rebound by M. Morris,,36-33,,
2:52.0,M. Morris makes 3-pt shot from 26 ft (assist by R. Jackson),3,39-33,,
2:31.0,Personal foul by R. Jackson (drawn by M. Morris),,39-33,,
2:31.0,Official timeout,,39-33,,
2:31.0,S. Blake enters the game for R. Jackson,,39-33,,
2:20.0,,,39-33,,M. Morris misses 2-pt shot from 13 ft
2:20.0,Defensive rebound by A. Drummond,,39-33,,
1:59.0,K. Caldwell-Pope makes 2-pt shot from 12 ft,2,41-33,,
1:38.0,,,41-36,3,B. Knight makes 3-pt shot from 25 ft (assist by E. Bledsoe)
1:15.0,,,41-36,,Personal foul by T. Chandler (drawn by A. Drummond)
1:05.0,M. Morris misses 2-pt shot from 11 ft,,41-36,,
1:05.0,Offensive rebound by A. Drummond,,41-36,,
1:05.0,A. Drummond misses 2-pt shot from 2 ft (block by B. Knight),,41-36,,
1:03.0,,,41-36,,Defensive rebound by T. Chandler
0:54.0,,,41-38,2,E. Bledsoe makes 2-pt shot from 7 ft
0:39.0,S. Blake misses 2-pt shot from 20 ft,,41-38,,
0:38.0,,,41-38,,Defensive rebound by B. Knight
0:32.0,,,41-40,2,B. Knight makes 2-pt shot from 1 ft
0:22.0,Shooting foul by B. Knight (drawn by A. Drummond),,41-40,,
0:22.0,A. Drummond misses free throw 1 of 2,,41-40,,
0:22.0,Offensive rebound by Team,,41-40,,
0:22.0,,,41-40,,J. Leuer enters the game for T. Chandler
0:22.0,A. Drummond makes free throw 2 of 2,1,42-40,,
0:03.0,,,42-40,,E. Bledsoe misses 2-pt shot from 19 ft
0:00.0,Defensive rebound by S. Blake,,42-40,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,42-40,,M. Morris misses 2-pt shot from 7 ft
11:44.0,Defensive rebound by R. Jackson,,42-40,,
11:29.0,Turnover by A. Drummond (3 sec),,42-40,,
11:22.0,,,42-40,,E. Bledsoe misses 2-pt shot from 3 ft
11:20.0,Defensive rebound by E. Ilyasova,,42-40,,
11:13.0,R. Jackson makes 2-pt shot from 2 ft,2,44-40,,
10:59.0,,,44-40,,Turnover by M. Morris (lost ball; steal by E. Ilyasova)
10:55.0,M. Morris makes 2-pt shot from 1 ft (assist by R. Jackson),2,46-40,,
10:55.0,,,46-40,,Phoenix full timeout
10:48.0,Personal foul by E. Ilyasova (drawn by M. Morris),,46-40,,
10:37.0,,,46-40,,M. Morris misses 2-pt shot from 1 ft
10:33.0,Defensive rebound by A. Drummond,,46-40,,
10:23.0,A. Drummond misses 2-pt shot from 1 ft,,46-40,,
10:21.0,,,46-40,,Defensive rebound by P. Tucker
10:14.0,,,46-40,,B. Knight misses 2-pt shot from 2 ft
10:13.0,Defensive rebound by A. Drummond,,46-40,,
10:05.0,R. Jackson misses 2-pt shot at rim,,46-40,,
10:05.0,,,46-40,,Defensive rebound by P. Tucker
9:46.0,,,46-42,2,M. Morris makes 2-pt shot at rim
9:26.0,R. Jackson misses 2-pt shot from 16 ft,,46-42,,
9:26.0,,,46-42,,Defensive rebound by Team
9:26.0,Loose ball foul by A. Drummond (drawn by T. Chandler),,46-42,,
9:17.0,,,46-42,,B. Knight misses 2-pt shot from 18 ft
9:15.0,Defensive rebound by A. Drummond,,46-42,,
9:06.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,48-42,,
8:45.0,,,48-44,2,M. Morris makes 2-pt shot from 14 ft (assist by B. Knight)
8:28.0,Turnover by A. Drummond (offensive foul),,48-44,,
8:28.0,Offensive charge foul by A. Drummond,,48-44,,
8:14.0,,,48-44,,M. Morris misses 3-pt shot from 25 ft
8:12.0,Defensive rebound by A. Drummond,,48-44,,
8:00.0,R. Jackson misses 3-pt shot from 24 ft,,48-44,,
7:59.0,,,48-44,,Defensive rebound by T. Chandler
7:49.0,,,48-46,2,M. Morris makes 2-pt shot at rim (assist by E. Bledsoe)
7:49.0,R. Jackson misses 2-pt shot from 1 ft,,48-46,,
7:49.0,Offensive rebound by A. Drummond,,48-46,,
7:32.0,A. Drummond makes 2-pt shot from 3 ft,2,50-46,,
7:21.0,,,50-46,,E. Bledsoe misses 3-pt shot from 26 ft
7:21.0,Defensive rebound by E. Ilyasova,,50-46,,
7:08.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by R. Jackson),3,53-46,,
6:51.0,,,53-49,3,P. Tucker makes 3-pt shot from 25 ft (assist by B. Knight)
6:35.0,R. Jackson makes 2-pt shot from 6 ft,2,55-49,,
6:23.0,,,55-49,,E. Bledsoe misses 2-pt shot at rim (block by A. Drummond)
6:22.0,Defensive rebound by A. Drummond,,55-49,,
6:20.0,Turnover by A. Drummond (bad pass; steal by E. Bledsoe),,55-49,,
6:15.0,,,55-51,2,B. Knight makes 2-pt shot from 4 ft
6:00.0,,,55-51,,Personal foul by E. Bledsoe (drawn by R. Jackson)
6:00.0,S. Johnson enters the game for M. Morris,,55-51,,
5:53.0,A. Drummond misses 2-pt shot from 3 ft,,55-51,,
5:51.0,Offensive rebound by E. Ilyasova,,55-51,,
5:35.0,E. Ilyasova misses 3-pt shot from 23 ft,,55-51,,
5:35.0,Offensive rebound by A. Drummond,,55-51,,
5:30.0,A. Drummond makes 2-pt shot from 8 ft,2,57-51,,
5:05.0,,,57-53,2,E. Bledsoe makes 2-pt shot from 14 ft
4:56.0,Turnover by E. Ilyasova (bad pass),,57-53,,
4:56.0,,,57-53,,Phoenix full timeout
4:56.0,A. Tolliver enters the game for E. Ilyasova,,57-53,,
4:56.0,,,57-53,,T. Warren enters the game for P. Tucker
4:38.0,,,57-53,,E. Bledsoe misses 3-pt shot from 25 ft
4:38.0,Defensive rebound by A. Drummond,,57-53,,
4:29.0,R. Jackson makes 2-pt shot from 2 ft,2,59-53,,
4:19.0,,,59-53,,Turnover by B. Knight (bad pass; steal by A. Drummond)
4:14.0,R. Jackson misses 2-pt shot at rim,,59-53,,
4:11.0,,,59-53,,Defensive rebound by T. Warren
4:10.0,Personal block foul by A. Tolliver (drawn by T. Warren),,59-53,,
4:10.0,,,59-53,,J. Leuer enters the game for T. Chandler
3:57.0,,,59-55,2,M. Morris makes 2-pt shot from 6 ft
3:43.0,A. Tolliver misses 3-pt shot from 25 ft,,59-55,,
3:42.0,,,59-55,,Defensive rebound by E. Bledsoe
3:28.0,,,59-55,,M. Morris misses 3-pt shot from 24 ft
3:27.0,Defensive rebound by S. Johnson,,59-55,,
3:11.0,Shooting foul by M. Morris (drawn by A. Drummond),,59-55,,
3:11.0,A. Drummond misses free throw 1 of 2,,59-55,,
3:11.0,Offensive rebound by Team,,59-55,,
3:11.0,A. Drummond misses free throw 2 of 2,,59-55,,
3:10.0,,,59-55,,Defensive rebound by J. Leuer
2:55.0,,,59-57,2,E. Bledsoe makes 2-pt shot at rim
2:32.0,S. Johnson makes 2-pt shot at rim,2,61-57,,
2:27.0,,,61-57,,Shooting foul by S. Johnson (drawn by T. Warren)
2:27.0,Detroit full timeout,,61-57,,
2:27.0,,,61-57,,R. Price enters the game for E. Bledsoe
2:27.0,S. Blake enters the game for K. Caldwell-Pope,,61-57,,
2:27.0,M. Morris enters the game for R. Jackson,,61-57,,
2:27.0,,,61-57,,T. Warren misses free throw 1 of 2
2:27.0,,,61-57,,Offensive rebound by Team
2:27.0,,,61-58,1,T. Warren makes free throw 2 of 2
2:11.0,M. Morris makes 2-pt shot from 2 ft,2,63-58,,
1:55.0,,,63-58,,J. Leuer misses 2-pt shot from 16 ft
1:55.0,,,63-58,,Offensive rebound by J. Leuer
1:50.0,,,63-61,3,B. Knight makes 3-pt shot from 25 ft (assist by J. Leuer)
1:35.0,,,63-61,,A. Len enters the game for M. Morris
1:35.0,Jump ball: J. Leuer vs. A. Tolliver (S. Blake gains possession),,,,Jump ball: J. Leuer vs. A. Tolliver (S. Blake gains possession)
1:19.0,Turnover by Team (shot clock),,63-61,,
1:01.0,,,63-61,,B. Knight misses 2-pt shot from 21 ft
1:00.0,,,63-61,,Offensive rebound by T. Warren
0:59.0,,,63-61,,T. Warren misses 2-pt shot from 2 ft
0:59.0,Defensive rebound by A. Tolliver,,63-61,,
0:59.0,,,63-61,,Personal foul by T. Warren (drawn by A. Tolliver)
0:58.0,,,63-61,,Personal take foul by A. Len (drawn by A. Drummond)
0:58.0,A. Drummond misses free throw 1 of 2,,63-61,,
0:58.0,Offensive rebound by Team,,63-61,,
0:58.0,A. Drummond makes free throw 2 of 2,1,64-61,,
0:46.0,,,64-61,,Shooting foul by A. Drummond (drawn by A. Len)
0:46.0,,,64-62,1,A. Len makes free throw 1 of 2
0:46.0,A. Baynes enters the game for A. Drummond,,64-62,,
0:46.0,,,64-63,1,A. Len makes free throw 2 of 2
0:38.0,Shooting foul by J. Leuer (drawn by S. Johnson),,64-63,,
0:38.0,S. Johnson misses free throw 1 of 2,,64-63,,
0:38.0,Offensive rebound by Team,,64-63,,
0:38.0,S. Johnson makes free throw 2 of 2,1,65-63,,
0:29.0,,,65-63,,Turnover by A. Len (lost ball; steal by S. Johnson)
0:24.0,M. Morris makes 2-pt shot at rim (assist by S. Johnson),2,67-63,,
0:01.0,,,67-63,,B. Knight misses 3-pt shot from 25 ft
0:00.0,,,67-63,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,A. Baynes makes 2-pt shot at rim (assist by S. Blake),2,69-63,,
11:15.0,,,69-63,,E. Bledsoe misses 2-pt shot at rim
11:13.0,Defensive rebound by M. Morris,,69-63,,
11:06.0,Shooting foul by E. Bledsoe (drawn by A. Baynes),,69-63,,
11:06.0,A. Baynes makes free throw 1 of 2,1,70-63,,
11:06.0,,,70-63,,M. Morris enters the game for A. Len
11:06.0,A. Baynes makes free throw 2 of 2,1,71-63,,
10:52.0,,,71-63,,R. Price misses 2-pt shot from 3 ft
10:50.0,Defensive rebound by A. Tolliver,,71-63,,
10:40.0,S. Blake misses 3-pt shot from 25 ft,,71-63,,
10:39.0,,,71-63,,Defensive rebound by Team
10:38.0,,,71-63,,P. Tucker enters the game for R. Price
10:18.0,,,71-63,,T. Warren misses 2-pt shot from 4 ft
10:16.0,Defensive rebound by A. Tolliver,,71-63,,
10:02.0,A. Tolliver makes 3-pt shot from 23 ft,3,74-63,,
9:50.0,,,74-65,2,E. Bledsoe makes 2-pt shot at rim
9:50.0,,,74-65,,Shooting foul by A. Baynes (drawn by E. Bledsoe)
9:50.0,,,74-65,,T. Chandler enters the game for J. Leuer
9:50.0,,,74-65,,E. Bledsoe misses free throw 1 of 1
9:49.0,Defensive rebound by M. Morris,,74-65,,
9:32.0,Turnover by S. Johnson (bad pass; steal by P. Tucker),,74-65,,
9:28.0,Personal foul by S. Johnson (drawn by E. Bledsoe),,74-65,,
9:17.0,,,74-65,,Turnover by E. Bledsoe (bad pass; steal by M. Morris)
9:14.0,Shooting foul by T. Warren (drawn by M. Morris),,74-65,,
9:14.0,M. Morris makes free throw 1 of 2,1,75-65,,
9:14.0,M. Morris misses free throw 2 of 2,,75-65,,
9:13.0,,,75-65,,Defensive rebound by M. Morris
8:51.0,,,75-65,,E. Bledsoe misses 2-pt shot from 20 ft
8:51.0,,,75-65,,Offensive rebound by Team
8:51.0,Loose ball foul by A. Baynes (drawn by T. Chandler),,75-65,,
8:51.0,Official timeout,,75-65,,
8:36.0,,,75-65,,Turnover by P. Tucker (bad pass)
8:25.0,,,75-65,,Personal foul by M. Morris (drawn by A. Baynes)
8:25.0,,,75-65,,B. Knight enters the game for T. Warren
8:12.0,M. Morris misses 3-pt shot from 26 ft,,75-65,,
8:11.0,,,75-65,,Defensive rebound by T. Chandler
8:03.0,,,75-65,,Turnover by B. Knight (lost ball)
7:52.0,Turnover by M. Morris (bad pass; steal by M. Morris),,75-65,,
7:47.0,Personal block foul by S. Johnson (drawn by B. Knight),,75-65,,
7:47.0,R. Jackson enters the game for M. Morris,,75-65,,
7:47.0,K. Caldwell-Pope enters the game for S. Blake,,75-65,,
7:41.0,,,75-67,2,M. Morris makes 2-pt shot from 4 ft (assist by P. Tucker)
7:27.0,K. Caldwell-Pope makes 2-pt shot from 1 ft,2,77-67,,
7:07.0,,,77-69,2,M. Morris makes 2-pt shot from 16 ft
6:54.0,Offensive charge foul by S. Johnson,,77-69,,
6:54.0,Turnover by S. Johnson (offensive foul),,77-69,,
6:54.0,A. Drummond enters the game for A. Baynes,,77-69,,
6:33.0,,,77-69,,M. Morris misses 2-pt shot from 20 ft
6:33.0,Defensive rebound by S. Johnson,,77-69,,
6:22.0,Offensive foul by R. Jackson,,77-69,,
6:22.0,Turnover by R. Jackson (offensive foul),,77-69,,
6:07.0,,,77-69,,Turnover by M. Morris (dbl dribble)
5:54.0,R. Jackson makes 2-pt shot from 2 ft,2,79-69,,
5:48.0,Personal foul by K. Caldwell-Pope (drawn by B. Knight),,79-69,,
5:48.0,,,79-69,,Phoenix full timeout
5:48.0,,,79-70,1,B. Knight makes free throw 1 of 2
5:48.0,,,79-71,1,B. Knight makes free throw 2 of 2
5:41.0,Shooting foul by E. Bledsoe (drawn by R. Jackson),,79-71,,
5:41.0,R. Jackson misses free throw 1 of 2,,79-71,,
5:41.0,Offensive rebound by Team,,79-71,,
5:41.0,R. Jackson makes free throw 2 of 2,1,80-71,,
5:25.0,,,80-74,3,B. Knight makes 3-pt shot from 24 ft (assist by P. Tucker)
5:11.0,R. Jackson makes 2-pt shot from 10 ft,2,82-74,,
4:49.0,,,82-74,,Shooting foul by S. Johnson (drawn by M. Morris)
4:49.0,,,82-74,,M. Morris misses free throw 1 of 2
4:49.0,,,82-74,,Offensive rebound by Team
4:49.0,M. Morris enters the game for S. Johnson,,82-74,,
4:49.0,,,82-74,,M. Morris misses free throw 2 of 2
4:48.0,Defensive rebound by A. Drummond,,82-74,,
4:37.0,Turnover by R. Jackson (lost ball; steal by T. Chandler),,82-74,,
4:32.0,,,82-76,2,B. Knight makes 2-pt shot from 1 ft
4:07.0,K. Caldwell-Pope makes 3-pt shot from 27 ft,3,85-76,,
3:51.0,,,85-76,,E. Bledsoe misses 3-pt shot from 25 ft
3:51.0,,,85-76,,Offensive rebound by P. Tucker
3:40.0,,,85-78,2,M. Morris makes 2-pt shot from 6 ft
3:21.0,M. Morris makes 2-pt shot from 20 ft,2,87-78,,
3:09.0,,,87-80,2,E. Bledsoe makes 2-pt shot from 1 ft
3:05.0,,,87-80,,Personal take foul by T. Chandler (drawn by A. Drummond)
3:05.0,A. Drummond misses free throw 1 of 2,,87-80,,
3:05.0,Offensive rebound by Team,,87-80,,
3:05.0,A. Drummond misses free throw 2 of 2,,87-80,,
