time,Dallas,pts.away,score,pts.home,Toronto
7:18.0,W. Matthews makes 2-pt shot from 4 ft,2,29-37,,
7:06.0,,,29-37,,Turnover by Team (back court)
6:58.0,,,29-37,,Def 3 sec tech foul by B. Biyombo
6:58.0,D. Williams makes technical free throw,1,30-37,,
6:58.0,,,30-37,,D. DeRozan enters the game for T. Ross
6:49.0,R. Felton misses 2-pt shot from 4 ft,,30-37,,
6:49.0,,,30-37,,Defensive rebound by L. Scola
6:30.0,,,30-39,2,K. Lowry makes 2-pt shot from 18 ft
6:16.0,W. Matthews misses 3-pt shot from 25 ft,,30-39,,
6:15.0,,,30-39,,Defensive rebound by B. Biyombo
5:56.0,,,30-39,,D. Wright misses 2-pt shot from 1 ft
5:56.0,Defensive rebound by D. Williams,,30-39,,
5:49.0,C. Villanueva misses 3-pt shot from 24 ft,,30-39,,
5:49.0,,,30-39,,Defensive rebound by K. Lowry
5:40.0,Personal block foul by W. Matthews (drawn by K. Lowry),,30-39,,
5:40.0,Official timeout,,30-39,,
5:40.0,C. Parsons enters the game for W. Matthews,,30-39,,
5:40.0,Personal foul by C. Villanueva (drawn by K. Lowry),,30-39,,
5:27.0,,,30-39,,D. DeRozan misses 2-pt shot from 3 ft (block by J. McGee)
5:26.0,Defensive rebound by C. Parsons,,30-39,,
5:18.0,C. Parsons misses 2-pt shot from 3 ft (block by B. Biyombo),,30-39,,
5:17.0,,,30-39,,Defensive rebound by L. Scola
5:09.0,,,30-41,2,B. Biyombo makes 2-pt shot at rim (assist by D. Wright)
4:53.0,C. Villanueva misses 3-pt shot from 25 ft,,30-41,,
4:52.0,,,30-41,,Defensive rebound by D. Wright
4:33.0,,,30-41,,B. Biyombo misses 2-pt shot from 2 ft (block by J. McGee)
4:32.0,,,30-41,,Offensive rebound by D. DeRozan
4:19.0,,,30-41,,D. DeRozan misses 2-pt shot from 3 ft
4:19.0,Defensive rebound by C. Villanueva,,30-41,,
4:09.0,D. Williams makes 2-pt shot from 8 ft,2,32-41,,
3:34.0,,,32-41,,D. Wright misses 2-pt shot from 16 ft
3:34.0,,,32-41,,Offensive rebound by B. Biyombo
3:23.0,Z. Pachulia enters the game for J. McGee,,32-41,,
3:23.0,D. Nowitzki enters the game for C. Villanueva,,32-41,,
3:10.0,,,32-43,2,D. DeRozan makes 2-pt shot from 19 ft
3:03.0,Dallas full timeout,,32-43,,
3:03.0,,,32-43,,C. Joseph enters the game for K. Lowry
3:03.0,J. Barea enters the game for R. Felton,,32-43,,
2:45.0,D. Nowitzki misses 3-pt shot from 26 ft,,32-43,,
2:45.0,,,32-43,,Defensive rebound by C. Joseph
2:27.0,,,32-45,2,D. DeRozan makes 2-pt shot from 12 ft
2:19.0,Turnover by D. Nowitzki (lost ball; steal by C. Joseph),,32-45,,
2:14.0,,,32-47,2,L. Scola makes 2-pt shot from 17 ft (assist by C. Joseph)
2:03.0,D. Williams misses 2-pt shot from 8 ft,,32-47,,
2:03.0,,,32-47,,Defensive rebound by B. Biyombo
1:44.0,,,32-47,,C. Joseph misses 2-pt shot from 4 ft
1:44.0,Defensive rebound by Z. Pachulia,,32-47,,
1:28.0,Z. Pachulia misses 2-pt shot from 17 ft,,32-47,,
1:28.0,,,32-47,,Defensive rebound by D. DeRozan
1:18.0,,,32-47,,Turnover by D. DeRozan (bad pass)
1:18.0,,,32-47,,K. Lowry enters the game for D. Wright
1:18.0,R. Felton enters the game for C. Parsons,,32-47,,
1:11.0,,,32-47,,Personal block foul by L. Scola (drawn by D. Williams)
1:11.0,D. Williams makes free throw 1 of 2,1,33-47,,
1:11.0,D. Williams makes free throw 2 of 2,1,34-47,,
0:55.0,,,34-47,,L. Scola misses 2-pt shot from 3 ft (block by Z. Pachulia)
0:54.0,Defensive rebound by Team,,34-47,,
0:37.0,Turnover by R. Felton (bad pass; steal by L. Scola),,34-47,,
0:34.0,,,34-47,,Turnover by L. Scola (bad pass; steal by Z. Pachulia)
0:32.0,Z. Pachulia makes 2-pt shot from 2 ft,2,36-47,,
0:25.0,,,36-49,2,B. Biyombo makes 2-pt shot at rim (assist by C. Joseph)
0:02.0,J. Barea misses 2-pt shot from 9 ft,,36-49,,
0:01.0,,,36-49,,Defensive rebound by L. Scola
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,W. Matthews misses 2-pt shot from 21 ft,,36-49,,
11:38.0,,,36-49,,Defensive rebound by K. Lowry
11:23.0,Violation by Z. Pachulia (kicked ball),,36-49,,
11:13.0,,,36-49,,T. Ross misses 3-pt shot from 25 ft
11:13.0,Defensive rebound by W. Matthews,,36-49,,
10:57.0,W. Matthews makes 3-pt shot from 23 ft (assist by R. Felton),3,39-49,,
10:37.0,,,39-51,2,D. DeRozan makes 2-pt shot from 2 ft
10:24.0,D. Williams misses 2-pt shot from 18 ft,,39-51,,
10:24.0,,,39-51,,Defensive rebound by B. Biyombo
10:14.0,,,39-53,2,K. Lowry makes 2-pt shot from 2 ft
10:02.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by D. Williams),3,42-53,,
9:45.0,,,42-53,,K. Lowry misses 2-pt shot from 14 ft
9:45.0,Defensive rebound by D. Williams,,42-53,,
9:38.0,,,42-53,,Personal foul by L. Scola (drawn by D. Nowitzki)
9:28.0,R. Felton makes 2-pt shot from 20 ft (assist by Z. Pachulia),2,44-53,,
9:07.0,,,44-56,3,D. DeRozan makes 3-pt shot from 25 ft (assist by K. Lowry)
8:58.0,Turnover by R. Felton (step out of bounds),,44-56,,
8:47.0,,,44-56,,D. DeRozan misses 2-pt shot from 13 ft
8:46.0,,,44-56,,Offensive rebound by L. Scola
8:44.0,,,44-56,,Shooting foul by D. Nowitzki (drawn by L. Scola)
8:44.0,,,44-57,1,L. Scola makes free throw 1 of 2
8:44.0,,,44-58,1,L. Scola makes free throw 2 of 2
8:31.0,D. Nowitzki makes 2-pt shot from 16 ft (assist by D. Williams),2,46-58,,
8:09.0,,,46-61,3,L. Scola makes 3-pt shot from 22 ft (assist by D. DeRozan)
8:02.0,,,46-61,,Personal foul by L. Scola (drawn by D. Nowitzki)
8:02.0,,,46-61,,A. Bennett enters the game for L. Scola
7:55.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Williams),2,48-61,,
7:45.0,,,48-61,,A. Bennett misses 3-pt shot from 24 ft
7:45.0,,,48-61,,Offensive rebound by B. Biyombo
7:45.0,Personal foul by Z. Pachulia (drawn by B. Biyombo),,48-61,,
7:21.0,,,48-61,,K. Lowry misses 2-pt shot from 3 ft
7:21.0,Defensive rebound by D. Nowitzki,,48-61,,
7:02.0,D. Williams misses 2-pt shot from 20 ft,,48-61,,
7:02.0,,,48-61,,Defensive rebound by K. Lowry
6:56.0,,,48-61,,T. Ross misses 3-pt shot from 25 ft
6:55.0,Defensive rebound by R. Felton,,48-61,,
6:47.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by Z. Pachulia),3,51-61,,
6:46.0,,,51-61,,Toronto full timeout
6:29.0,,,51-61,,D. DeRozan misses 2-pt shot from 17 ft
6:28.0,Defensive rebound by D. Nowitzki,,51-61,,
6:17.0,,,51-61,,Personal foul by A. Bennett (drawn by D. Nowitzki)
6:05.0,D. Nowitzki misses 2-pt shot from 16 ft,,51-61,,
6:05.0,,,51-61,,Defensive rebound by Team
5:47.0,,,51-61,,Turnover by D. DeRozan (lost ball; steal by R. Felton)
5:46.0,,,51-61,,Personal foul by D. DeRozan (drawn by D. Nowitzki)
5:35.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by W. Matthews),3,54-61,,
5:29.0,Personal foul by R. Felton (drawn by K. Lowry),,54-61,,
5:29.0,C. Parsons enters the game for D. Williams,,54-61,,
5:11.0,,,54-61,,A. Bennett misses 2-pt shot from 14 ft (block by D. Nowitzki)
5:09.0,Defensive rebound by Z. Pachulia,,54-61,,
4:57.0,W. Matthews misses 2-pt shot from 12 ft,,54-61,,
4:57.0,,,54-61,,Defensive rebound by B. Biyombo
4:50.0,Personal foul by Z. Pachulia (drawn by K. Lowry),,54-61,,
4:50.0,D. Powell enters the game for D. Nowitzki,,54-61,,
4:50.0,J. McGee enters the game for Z. Pachulia,,54-61,,
4:39.0,,,54-61,,Turnover by K. Lowry (bad pass; steal by R. Felton)
4:33.0,R. Felton makes 2-pt shot from 21 ft,2,56-61,,
4:11.0,,,56-61,,T. Ross misses 3-pt shot from 26 ft
4:10.0,,,56-61,,Offensive rebound by B. Biyombo
4:08.0,,,56-61,,Shooting foul by J. McGee (drawn by B. Biyombo)
4:08.0,,,56-61,,B. Biyombo misses free throw 1 of 2
4:08.0,,,56-61,,Offensive rebound by Team
4:08.0,,,56-62,1,B. Biyombo makes free throw 2 of 2
3:48.0,W. Matthews misses 3-pt shot from 24 ft,,56-62,,
3:48.0,,,56-62,,Defensive rebound by A. Bennett
3:40.0,,,56-62,,Offensive foul by D. DeRozan
3:40.0,,,56-62,,Turnover by D. DeRozan (offensive foul)
3:40.0,,,56-62,,C. Joseph enters the game for K. Lowry
3:40.0,Dallas full timeout,,56-62,,
3:40.0,,,56-62,,L. Nogueira enters the game for B. Biyombo
3:17.0,W. Matthews makes 2-pt shot from 7 ft,2,58-62,,
2:57.0,,,58-64,2,D. DeRozan makes 2-pt shot from 14 ft
2:42.0,,,58-64,,Personal foul by D. DeRozan (drawn by D. Powell)
2:42.0,D. Powell misses free throw 1 of 2,,58-64,,
2:42.0,Offensive rebound by Team,,58-64,,
2:42.0,D. Powell makes free throw 2 of 2,1,59-64,,
2:25.0,,,59-67,3,A. Bennett makes 3-pt shot from 24 ft (assist by T. Ross)
2:09.0,C. Parsons makes 2-pt shot from 19 ft,2,61-67,,
1:50.0,Violation by J. McGee (kicked ball),,61-67,,
1:36.0,,,61-67,,C. Joseph misses 3-pt shot from 25 ft
1:35.0,Defensive rebound by J. McGee,,61-67,,
1:15.0,W. Matthews makes 3-pt shot from 26 ft (assist by R. Felton),3,64-67,,
0:56.0,,,64-69,2,A. Bennett makes 2-pt shot from 2 ft
0:34.0,Shooting foul by L. Nogueira (drawn by J. McGee),,64-69,,
0:34.0,J. McGee misses free throw 1 of 2,,64-69,,
0:34.0,Offensive rebound by Team,,64-69,,
0:34.0,J. McGee makes free throw 2 of 2,1,65-69,,
0:28.0,Personal take foul by J. McGee (drawn by L. Nogueira),,65-69,,
0:28.0,,,65-70,1,L. Nogueira makes free throw 1 of 2
0:28.0,,,65-70,,L. Nogueira misses free throw 2 of 2
0:28.0,Defensive rebound by J. McGee,,65-70,,
0:07.0,C. Parsons makes 2-pt shot from 1 ft,2,67-70,,
0:01.0,,,67-72,2,C. Joseph makes 2-pt shot from 1 ft
0:00.0,Turnover by J. McGee (bad pass; steal by T. Ross),,67-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,67-72,,K. Lowry misses 2-pt shot from 8 ft
11:38.0,Defensive rebound by D. Nowitzki,,67-72,,
11:21.0,D. Powell makes 2-pt shot from 1 ft (assist by C. Parsons),2,69-72,,
11:07.0,,,69-75,3,K. Lowry makes 3-pt shot from 24 ft (assist by D. DeRozan)
10:49.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by J. Barea),3,72-75,,
10:31.0,,,72-75,,A. Bennett misses 3-pt shot from 25 ft
10:31.0,Defensive rebound by C. Parsons,,72-75,,
10:19.0,D. Nowitzki misses 3-pt shot from 23 ft,,72-75,,
10:19.0,,,72-75,,Defensive rebound by A. Bennett
10:13.0,Personal foul by J. Barea,,72-75,,
10:13.0,,,72-75,,L. Scola enters the game for A. Bennett
10:05.0,Personal foul by J. Barea,,72-75,,
9:49.0,,,72-78,3,D. DeRozan makes 3-pt shot from 25 ft (assist by K. Lowry)
9:39.0,,,72-78,,Personal foul by K. Lowry (drawn by D. Nowitzki)
9:29.0,D. Powell misses 2-pt shot at rim,,72-78,,
9:29.0,,,72-78,,Defensive rebound by B. Biyombo
9:26.0,Personal foul by D. Powell (drawn by K. Lowry),,72-78,,
9:06.0,,,72-78,,B. Biyombo misses 2-pt shot from 2 ft (block by D. Nowitzki)
9:04.0,Defensive rebound by D. Nowitzki,,72-78,,
8:54.0,C. Parsons misses 2-pt shot from 6 ft,,72-78,,
8:54.0,,,72-78,,Defensive rebound by L. Scola
8:54.0,Personal foul by D. Powell (drawn by L. Scola),,72-78,,
8:54.0,Official timeout,,72-78,,
8:54.0,,,72-78,,T. Ross enters the game for D. DeRozan
8:54.0,J. McGee enters the game for W. Matthews,,72-78,,
8:54.0,R. Felton enters the game for D. Powell,,72-78,,
8:38.0,Personal foul by J. Barea,,72-78,,
8:38.0,,,72-79,1,C. Joseph makes free throw 1 of 2
8:38.0,,,72-80,1,C. Joseph makes free throw 2 of 2
8:30.0,Shooting foul by B. Biyombo (drawn by J. McGee),,72-80,,
8:30.0,J. McGee makes free throw 1 of 2,1,73-80,,
8:30.0,J. McGee makes free throw 2 of 2,1,74-80,,
8:11.0,,,74-80,,K. Lowry misses 3-pt shot from 25 ft
8:11.0,Defensive rebound by D. Nowitzki,,74-80,,
8:03.0,J. Barea misses 2-pt shot from 3 ft,,74-80,,
8:01.0,,,74-80,,Defensive rebound by C. Joseph
7:53.0,,,74-83,3,C. Joseph makes 3-pt shot from 24 ft (assist by K. Lowry)
7:33.0,C. Parsons misses 2-pt shot from 17 ft,,74-83,,
7:33.0,,,74-83,,Defensive rebound by B. Biyombo
7:20.0,,,74-86,3,C. Joseph makes 3-pt shot from 23 ft (assist by K. Lowry)
7:19.0,Dallas full timeout,,74-86,,
7:19.0,W. Matthews enters the game for D. Nowitzki,,74-86,,
7:19.0,D. Powell enters the game for C. Parsons,,74-86,,
7:10.0,J. Barea misses 2-pt shot from 4 ft,,74-86,,
7:10.0,,,74-86,,Defensive rebound by T. Ross
7:04.0,,,74-86,,K. Lowry misses 2-pt shot from 2 ft (block by J. McGee)
7:01.0,Defensive rebound by R. Felton,,74-86,,
6:53.0,R. Felton misses 2-pt shot from 10 ft,,74-86,,
6:52.0,,,74-86,,Defensive rebound by B. Biyombo
6:46.0,,,74-89,3,T. Ross makes 3-pt shot from 22 ft (assist by K. Lowry)
6:27.0,J. McGee misses 2-pt shot from 3 ft (block by B. Biyombo),,74-89,,
6:26.0,,,74-89,,Defensive rebound by C. Joseph
6:17.0,,,74-89,,C. Joseph misses 3-pt shot from 26 ft
6:17.0,Defensive rebound by J. McGee,,74-89,,
6:07.0,D. Powell misses 2-pt shot from 20 ft,,74-89,,
6:07.0,,,74-89,,Defensive rebound by K. Lowry
5:51.0,,,74-89,,Shooting foul by D. Powell (drawn by L. Scola)
5:51.0,,,74-90,1,L. Scola makes free throw 1 of 2
5:51.0,J. Evans enters the game for J. McGee,,74-90,,
5:51.0,,,74-90,,D. DeRozan enters the game for K. Lowry
5:51.0,,,74-90,,L. Scola misses free throw 2 of 2
5:50.0,Defensive rebound by D. Powell,,74-90,,
5:34.0,J. Barea misses 3-pt shot from 25 ft,,74-90,,
5:34.0,,,74-90,,Defensive rebound by L. Scola
5:20.0,,,74-90,,Turnover by B. Biyombo (traveling)
5:20.0,C. Villanueva enters the game for D. Powell,,74-90,,
5:20.0,Dallas full timeout,,74-90,,
5:20.0,J. Jenkins enters the game for W. Matthews,,74-90,,
5:20.0,J. Anderson enters the game for R. Felton,,74-90,,
5:10.0,C. Villanueva makes 2-pt shot from 4 ft (assist by J. Jenkins),2,76-90,,
4:50.0,,,76-90,,D. DeRozan misses 2-pt shot from 4 ft
4:49.0,Defensive rebound by J. Anderson,,76-90,,
4:30.0,J. Anderson makes 2-pt shot from 15 ft (assist by J. Barea),2,78-90,,
4:16.0,,,78-90,,Shooting foul by J. Barea (drawn by C. Joseph)
4:16.0,,,78-91,1,C. Joseph makes free throw 1 of 2
4:16.0,,,78-92,1,C. Joseph makes free throw 2 of 2
4:16.0,,,78-92,,Violation by Team (delay of game)
4:04.0,J. Barea makes 3-pt shot from 26 ft,3,81-92,,
3:47.0,,,81-92,,L. Scola misses 2-pt shot from 19 ft
3:46.0,,,81-92,,Offensive rebound by B. Biyombo
3:43.0,,,81-92,,B. Biyombo misses 2-pt shot from 2 ft (block by J. Evans)
3:41.0,,,81-92,,Offensive rebound by B. Biyombo
3:39.0,,,81-92,,B. Biyombo misses 2-pt shot at rim
3:39.0,Defensive rebound by C. Villanueva,,81-92,,
3:30.0,C. Villanueva misses 3-pt shot from 23 ft,,81-92,,
3:29.0,,,81-92,,Defensive rebound by B. Biyombo
3:23.0,,,81-92,,Toronto full timeout
3:23.0,,,81-92,,K. Lowry enters the game for T. Ross
3:15.0,,,81-92,,Turnover by D. DeRozan (lost ball; steal by C. Villanueva)
3:09.0,J. Anderson makes 2-pt shot at rim (assist by C. Villanueva),2,83-92,,
2:48.0,,,83-92,,Offensive foul by L. Scola
2:48.0,,,83-92,,Turnover by L. Scola (offensive foul)
2:38.0,J. Evans makes 2-pt shot from 20 ft (assist by C. Villanueva),2,85-92,,
2:16.0,,,85-94,2,L. Scola makes 2-pt shot from 1 ft (assist by C. Joseph)
2:00.0,J. Evans makes 2-pt shot at rim (assist by C. Villanueva),2,87-94,,
1:48.0,Personal foul by J. Jenkins (drawn by D. DeRozan),,87-94,,
1:48.0,,,87-94,,D. DeRozan misses free throw 1 of 2
1:48.0,,,87-94,,Offensive rebound by Team
1:48.0,,,87-95,1,D. DeRozan makes free throw 2 of 2
1:36.0,C. Villanueva makes 2-pt shot from 5 ft (assist by J. Barea),2,89-95,,
