time,Charlotte,pts.away,score,pts.home,LA Lakers
4:39.0,,,19-10,,B. Bass enters the game for R. Hibbert
4:39.0,,,19-10,,D. Russell enters the game for L. Williams
4:32.0,T. Daniels makes 2-pt shot from 19 ft (assist by M. Williams),2,21-10,,
4:11.0,,,21-10,,J. Randle misses 2-pt shot from 3 ft (block by M. Williams)
4:08.0,Defensive rebound by K. Walker,,21-10,,
3:57.0,M. Williams misses 3-pt shot from 24 ft,,21-10,,
3:56.0,,,21-10,,Defensive rebound by K. Bryant
3:53.0,F. Kaminsky enters the game for M. Williams,,21-10,,
3:49.0,,,21-10,,J. Clarkson misses 2-pt shot from 5 ft
3:43.0,Defensive rebound by F. Kaminsky,,21-10,,
3:37.0,T. Daniels misses 2-pt shot from 4 ft,,21-10,,
3:35.0,,,21-10,,Defensive rebound by D. Russell
3:19.0,,,21-10,,B. Bass misses 2-pt shot from 5 ft (block by F. Kaminsky)
3:16.0,Defensive rebound by K. Walker,,21-10,,
3:09.0,Turnover by K. Walker (bad pass; steal by K. Bryant),,21-10,,
2:50.0,,,21-12,2,K. Bryant makes 2-pt shot from 4 ft
2:33.0,T. Daniels misses 2-pt shot from 18 ft,,21-12,,
2:32.0,,,21-12,,Defensive rebound by K. Bryant
2:24.0,,,21-14,2,K. Bryant makes 2-pt shot from 9 ft
2:02.0,,,21-14,,Def 3 sec tech foul by J. Randle
2:02.0,Charlotte full timeout,,21-14,,
2:02.0,,,21-14,,R. Kelly enters the game for J. Randle
2:02.0,T. Hansbrough enters the game for S. Hawes,,21-14,,
2:02.0,K. Walker misses technical free throw,,21-14,,
2:02.0,Offensive rebound by Team,,21-14,,
1:52.0,F. Kaminsky misses 3-pt shot from 24 ft,,21-14,,
1:50.0,,,21-14,,Defensive rebound by D. Russell
1:35.0,,,21-14,,B. Bass misses 2-pt shot from 8 ft
1:33.0,Defensive rebound by K. Walker,,21-14,,
1:24.0,T. Daniels misses 2-pt shot from 11 ft,,21-14,,
1:21.0,,,21-14,,Defensive rebound by R. Kelly
1:14.0,,,21-16,2,R. Kelly makes 2-pt shot from 8 ft (assist by D. Russell)
1:01.0,K. Walker misses 2-pt shot from 18 ft,,21-16,,
0:59.0,Offensive rebound by T. Hansbrough,,21-16,,
0:59.0,T. Hansbrough misses 2-pt shot from 1 ft,,21-16,,
0:59.0,,,21-16,,Defensive rebound by Team
0:37.0,,,21-16,,K. Bryant misses 2-pt shot from 13 ft
0:34.0,Defensive rebound by T. Daniels,,21-16,,
0:34.0,,,21-16,,Personal foul by K. Bryant (drawn by K. Walker)
0:20.0,K. Walker misses 2-pt shot from 3 ft,,21-16,,
0:20.0,Offensive rebound by Team,,21-16,,
0:05.0,P. Hairston misses 3-pt shot from 24 ft,,21-16,,
0:04.0,,,21-16,,Defensive rebound by Team
0:02.0,,,21-16,,R. Kelly misses 3-pt shot from 23 ft (block by F. Kaminsky)
0:00.0,,,21-16,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,21-16,,R. Kelly misses 2-pt shot from 16 ft
11:38.0,Defensive rebound by B. Roberts,,21-16,,
11:27.0,F. Kaminsky makes 2-pt shot from 5 ft (assist by B. Roberts),2,23-16,,
11:22.0,,,23-16,,Turnover by D. Russell (lost ball)
11:12.0,F. Kaminsky misses 2-pt shot from 4 ft (block by R. Kelly),,23-16,,
11:12.0,,,23-16,,Defensive rebound by Team
10:54.0,,,23-18,2,R. Kelly makes 2-pt shot from 4 ft (assist by J. Clarkson)
10:41.0,J. Lin misses 2-pt shot from 9 ft,,23-18,,
10:38.0,,,23-18,,Defensive rebound by D. Russell
10:34.0,,,23-18,,N. Young misses 3-pt shot from 25 ft
10:30.0,Defensive rebound by J. Lin,,23-18,,
10:23.0,Shooting foul by B. Bass (drawn by T. Hansbrough),,23-18,,
10:23.0,T. Hansbrough misses free throw 1 of 2,,23-18,,
10:23.0,Offensive rebound by Team,,23-18,,
10:23.0,T. Hansbrough makes free throw 2 of 2,1,24-18,,
10:00.0,,,24-18,,B. Bass misses 2-pt shot from 2 ft (block by T. Hansbrough)
9:57.0,Defensive rebound by P. Hairston,,24-18,,
9:50.0,J. Lin makes 3-pt shot from 24 ft (assist by P. Hairston),3,27-18,,
9:34.0,,,27-18,,Turnover by D. Russell (lost ball; steal by T. Hansbrough)
9:22.0,B. Roberts misses 2-pt shot from 19 ft,,27-18,,
9:21.0,,,27-18,,Defensive rebound by R. Kelly
9:16.0,,,27-18,,Offensive charge foul by J. Clarkson
9:16.0,,,27-18,,Turnover by J. Clarkson (offensive foul)
9:16.0,,,27-18,,L. Williams enters the game for J. Clarkson
9:16.0,,,27-18,,K. Bryant enters the game for N. Young
9:01.0,Turnover by J. Lin (bad pass; steal by R. Kelly),,27-18,,
8:57.0,,,27-18,,Shooting foul by P. Hairston (drawn by D. Russell)
8:57.0,Official timeout,,27-18,,
8:57.0,,,27-19,1,D. Russell makes free throw 1 of 2
8:57.0,,,27-20,1,D. Russell makes free throw 2 of 2
8:41.0,P. Hairston makes 3-pt shot from 23 ft (assist by B. Roberts),3,30-20,,
8:20.0,,,30-23,3,K. Bryant makes 3-pt shot from 24 ft (assist by B. Bass)
8:05.0,,,30-23,,Def 3 sec tech foul by B. Bass
8:05.0,J. Lin makes technical free throw,1,31-23,,
7:57.0,Turnover by P. Hairston (step out of bounds),,31-23,,
7:40.0,,,31-23,,Shooting foul by P. Hairston (drawn by K. Bryant)
7:40.0,,,31-24,1,K. Bryant makes free throw 1 of 2
7:40.0,,,31-25,1,K. Bryant makes free throw 2 of 2
7:23.0,F. Kaminsky misses 2-pt shot from 7 ft,,31-25,,
7:23.0,Offensive rebound by F. Kaminsky,,31-25,,
7:23.0,F. Kaminsky makes 2-pt shot from 7 ft,2,33-25,,
7:23.0,Shooting foul by R. Kelly (drawn by F. Kaminsky),,33-25,,
7:23.0,,,33-25,,J. Randle enters the game for R. Kelly
7:23.0,F. Kaminsky misses free throw 1 of 1,,33-25,,
7:21.0,Offensive rebound by P. Hairston,,33-25,,
7:16.0,P. Hairston makes 3-pt shot from 24 ft (assist by J. Lin),3,36-25,,
7:03.0,,,36-25,,Turnover by L. Williams (bad pass; steal by P. Hairston)
6:57.0,J. Lin misses 2-pt shot at rim,,36-25,,
6:57.0,,,36-25,,Defensive rebound by Team
6:57.0,Loose ball foul by T. Hansbrough (drawn by J. Randle),,36-25,,
6:47.0,,,36-28,3,K. Bryant makes 3-pt shot from 24 ft (assist by B. Bass)
6:32.0,B. Roberts makes 2-pt shot from 3 ft,2,38-28,,
6:14.0,,,38-31,3,K. Bryant makes 3-pt shot from 25 ft (assist by L. Williams)
6:08.0,Charlotte full timeout,,38-31,,
6:08.0,M. Williams enters the game for P. Hairston,,38-31,,
6:08.0,M. Kidd-Gilchrist enters the game for F. Kaminsky,,38-31,,
6:08.0,,,38-31,,N. Young enters the game for K. Bryant
6:08.0,,,38-31,,R. Hibbert enters the game for B. Bass
6:01.0,,,38-31,,Personal foul by J. Randle (drawn by J. Lin)
5:54.0,Shooting foul by R. Hibbert (drawn by T. Hansbrough),,38-31,,
5:54.0,T. Hansbrough misses free throw 1 of 2,,38-31,,
5:54.0,Offensive rebound by Team,,38-31,,
5:54.0,T. Hansbrough misses free throw 2 of 2,,38-31,,
5:53.0,,,38-31,,Defensive rebound by J. Randle
5:39.0,,,38-31,,Turnover by L. Williams (lost ball; steal by M. Williams)
5:21.0,T. Hansbrough makes 2-pt shot from 1 ft (assist by J. Lin),2,40-31,,
5:21.0,Shooting foul by D. Russell (drawn by T. Hansbrough),,40-31,,
5:21.0,K. Walker enters the game for J. Lin,,40-31,,
5:21.0,T. Hansbrough makes free throw 1 of 1,1,41-31,,
5:04.0,,,41-31,,N. Young misses 3-pt shot from 24 ft
5:03.0,Defensive rebound by M. Williams,,41-31,,
4:53.0,B. Roberts misses 3-pt shot from 25 ft,,41-31,,
4:52.0,Offensive rebound by M. Williams,,41-31,,
4:49.0,M. Williams misses 2-pt shot at rim (block by R. Hibbert),,41-31,,
4:48.0,Offensive rebound by M. Williams,,41-31,,
4:36.0,T. Hansbrough misses 2-pt shot from 3 ft (block by R. Hibbert),,41-31,,
4:34.0,,,41-31,,Defensive rebound by N. Young
4:14.0,,,41-31,,J. Randle misses 2-pt shot from 3 ft
4:12.0,Defensive rebound by M. Kidd-Gilchrist,,41-31,,
4:12.0,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by L. Williams),,41-31,,
4:12.0,Offensive rebound by Team,,41-31,,
4:12.0,,,41-31,,J. Clarkson enters the game for D. Russell
4:12.0,S. Hawes enters the game for T. Hansbrough,,41-31,,
4:12.0,,,41-31,,Personal foul by J. Randle (drawn by M. Williams)
4:12.0,M. Williams misses free throw 1 of 2,,41-31,,
4:12.0,Offensive rebound by Team,,41-31,,
4:12.0,M. Williams makes free throw 2 of 2,1,42-31,,
4:00.0,,,42-34,3,L. Williams makes 3-pt shot from 25 ft
3:41.0,M. Williams makes 3-pt shot from 24 ft (assist by K. Walker),3,45-34,,
3:30.0,,,45-34,,L. Williams misses 3-pt shot from 24 ft
3:29.0,Defensive rebound by M. Kidd-Gilchrist,,45-34,,
3:11.0,M. Kidd-Gilchrist makes 3-pt shot from 23 ft (assist by M. Williams),3,48-34,,
2:59.0,,,48-34,,R. Hibbert misses 2-pt shot from 4 ft
2:57.0,,,48-34,,Offensive rebound by R. Hibbert
2:55.0,,,48-34,,R. Hibbert misses 2-pt shot from 1 ft (block by S. Hawes)
2:54.0,Defensive rebound by M. Williams,,48-34,,
2:48.0,B. Roberts misses 2-pt shot from 6 ft,,48-34,,
2:45.0,,,48-34,,Defensive rebound by N. Young
2:38.0,,,48-36,2,J. Clarkson makes 2-pt shot from 2 ft
2:23.0,M. Williams makes 3-pt shot from 24 ft (assist by K. Walker),3,51-36,,
2:16.0,,,51-36,,LA Lakers full timeout
2:01.0,,,51-36,,Shooting foul by B. Roberts (drawn by L. Williams)
2:01.0,,,51-37,1,L. Williams makes free throw 1 of 3
2:01.0,,,51-38,1,L. Williams makes free throw 2 of 3
2:01.0,,,51-39,1,L. Williams makes free throw 3 of 3
1:50.0,Turnover by K. Walker (bad pass; steal by L. Williams),,51-39,,
1:44.0,,,51-39,,L. Williams misses 2-pt shot from 1 ft
1:42.0,,,51-39,,Offensive rebound by J. Randle
1:42.0,,,51-41,2,J. Randle makes 2-pt shot from 1 ft
1:37.0,Shooting foul by R. Hibbert (drawn by B. Roberts),,51-41,,
1:37.0,B. Roberts makes free throw 1 of 2,1,52-41,,
1:37.0,B. Roberts makes free throw 2 of 2,1,53-41,,
1:19.0,,,53-41,,Turnover by R. Hibbert (bad pass)
1:06.0,M. Williams makes 3-pt shot from 24 ft (assist by S. Hawes),3,56-41,,
0:56.0,,,56-43,2,J. Clarkson makes 2-pt shot from 16 ft
0:44.0,B. Roberts misses 2-pt shot from 8 ft,,56-43,,
0:41.0,,,56-43,,Defensive rebound by L. Williams
0:33.0,,,56-43,,L. Williams misses 3-pt shot from 24 ft
0:32.0,Defensive rebound by M. Kidd-Gilchrist,,56-43,,
0:14.0,K. Walker misses 3-pt shot from 24 ft,,56-43,,
0:14.0,,,56-43,,Defensive rebound by Team
0:02.0,,,56-43,,J. Clarkson misses 2-pt shot from 3 ft (block by M. Williams)
0:01.0,Defensive rebound by M. Kidd-Gilchrist,,56-43,,
0:00.0,,,56-43,,Personal foul by J. Clarkson (drawn by M. Kidd-Gilchrist)
0:00.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,57-43,,
0:00.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,58-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,58-43,,K. Bryant misses 3-pt shot from 27 ft
11:43.0,Defensive rebound by M. Williams,,58-43,,
11:26.0,J. Lin misses 2-pt shot from 20 ft,,58-43,,
11:25.0,,,58-43,,Defensive rebound by J. Randle
11:19.0,,,58-45,2,K. Bryant makes 2-pt shot at rim (assist by J. Randle)
11:19.0,,,58-45,,Shooting foul by S. Hawes (drawn by K. Bryant)
11:19.0,,,58-46,1,K. Bryant makes free throw 1 of 1
10:54.0,S. Hawes misses 2-pt shot from 15 ft,,58-46,,
10:52.0,,,58-46,,Defensive rebound by J. Randle
10:46.0,,,58-46,,Turnover by J. Randle (bad pass)
10:28.0,J. Lin misses 3-pt shot from 24 ft,,58-46,,
10:27.0,Offensive rebound by M. Williams,,58-46,,
10:27.0,Turnover by M. Williams (traveling),,58-46,,
10:13.0,,,58-46,,Shooting foul by J. Lin (drawn by L. Williams)
10:13.0,,,58-47,1,L. Williams makes free throw 1 of 3
10:13.0,,,58-48,1,L. Williams makes free throw 2 of 3
10:13.0,,,58-49,1,L. Williams makes free throw 3 of 3
10:00.0,K. Walker misses 2-pt shot from 12 ft,,58-49,,
9:57.0,,,58-49,,Defensive rebound by J. Randle
9:48.0,,,58-49,,L. Williams misses 3-pt shot from 24 ft
9:47.0,Defensive rebound by S. Hawes,,58-49,,
9:33.0,S. Hawes misses 3-pt shot from 24 ft,,58-49,,
9:30.0,Offensive rebound by J. Lin,,58-49,,
9:30.0,Shooting foul by J. Randle (drawn by M. Kidd-Gilchrist),,58-49,,
9:30.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,59-49,,
9:30.0,M. Kidd-Gilchrist misses free throw 2 of 2,,59-49,,
9:28.0,Offensive rebound by M. Williams,,59-49,,
9:22.0,Turnover by M. Williams (bad pass; steal by K. Bryant),,59-49,,
9:11.0,,,59-49,,K. Bryant misses 2-pt shot from 19 ft
9:10.0,Defensive rebound by M. Williams,,59-49,,
8:51.0,Offensive foul by M. Kidd-Gilchrist,,59-49,,
8:51.0,Turnover by M. Kidd-Gilchrist (offensive foul),,59-49,,
8:31.0,,,59-51,2,J. Clarkson makes 2-pt shot from 20 ft
8:22.0,,,59-51,,Personal block foul by J. Randle (drawn by K. Walker)
8:22.0,,,59-51,,R. Kelly enters the game for J. Randle
8:12.0,M. Williams makes 2-pt shot from 15 ft (assist by J. Lin),2,61-51,,
7:48.0,,,61-51,,L. Williams misses 3-pt shot from 23 ft
7:48.0,Defensive rebound by K. Walker,,61-51,,
7:40.0,Turnover by S. Hawes (bad pass; steal by R. Kelly),,61-51,,
7:24.0,,,61-53,2,K. Bryant makes 2-pt shot from 13 ft
7:04.0,M. Williams misses 3-pt shot from 22 ft,,61-53,,
7:01.0,Offensive rebound by S. Hawes,,61-53,,
7:01.0,S. Hawes misses 2-pt shot at rim,,61-53,,
6:55.0,Offensive rebound by M. Kidd-Gilchrist,,61-53,,
6:53.0,M. Kidd-Gilchrist makes 2-pt shot at rim,2,63-53,,
6:45.0,,,63-56,3,K. Bryant makes 3-pt shot from 24 ft (assist by L. Williams)
6:21.0,M. Williams makes 2-pt shot from 10 ft,2,65-56,,
6:10.0,,,65-56,,K. Bryant misses 3-pt shot from 23 ft
6:07.0,Defensive rebound by K. Walker,,65-56,,
6:02.0,K. Walker misses 3-pt shot from 23 ft,,65-56,,
6:00.0,Offensive rebound by J. Lin,,65-56,,
5:59.0,S. Hawes makes 2-pt shot at rim (assist by J. Lin),2,67-56,,
5:59.0,,,67-56,,LA Lakers full timeout
5:59.0,,,67-56,,D. Russell enters the game for J. Clarkson
5:58.0,F. Kaminsky enters the game for M. Williams,,67-56,,
5:47.0,,,67-56,,L. Williams misses 2-pt shot from 17 ft (block by S. Hawes)
5:43.0,Defensive rebound by M. Kidd-Gilchrist,,67-56,,
5:31.0,K. Walker misses 3-pt shot from 24 ft,,67-56,,
5:29.0,Offensive rebound by M. Kidd-Gilchrist,,67-56,,
5:29.0,,,67-56,,Inbound foul by D. Russell
5:29.0,K. Walker makes free throw 1 of 2,1,68-56,,
5:29.0,K. Walker makes free throw 2 of 2,1,69-56,,
5:21.0,,,69-56,,Offensive foul by R. Kelly
5:21.0,,,69-56,,Turnover by R. Kelly (offensive foul)
4:57.0,J. Lin misses 2-pt shot from 18 ft,,69-56,,
4:56.0,Offensive rebound by Team,,69-56,,
4:50.0,Turnover by Team (shot clock),,69-56,,
4:43.0,,,69-56,,K. Bryant misses 3-pt shot from 24 ft
4:42.0,Defensive rebound by J. Lin,,69-56,,
4:29.0,K. Walker misses 2-pt shot from 17 ft,,69-56,,
4:27.0,,,69-56,,Defensive rebound by K. Bryant
4:25.0,Violation by M. Kidd-Gilchrist (def goaltending),,69-56,,
4:25.0,,,69-58,2,R. Kelly makes 2-pt shot from 1 ft (assist by K. Bryant)
4:10.0,,,69-58,,B. Bass enters the game for R. Hibbert
4:10.0,,,69-58,,N. Young enters the game for K. Bryant
4:02.0,Shooting foul by B. Bass (drawn by K. Walker),,69-58,,
4:02.0,K. Walker makes free throw 1 of 2,1,70-58,,
4:02.0,T. Daniels enters the game for J. Lin,,70-58,,
4:02.0,K. Walker makes free throw 2 of 2,1,71-58,,
3:53.0,,,71-60,2,D. Russell makes 2-pt shot from 11 ft
3:40.0,K. Walker misses 3-pt shot from 25 ft,,71-60,,
3:39.0,,,71-60,,Defensive rebound by L. Williams
3:33.0,,,71-60,,L. Williams misses 2-pt shot from 3 ft
3:30.0,Defensive rebound by T. Daniels,,71-60,,
3:21.0,Turnover by K. Walker (bad pass; steal by R. Kelly),,71-60,,
3:19.0,,,71-60,,Shooting foul by F. Kaminsky (drawn by R. Kelly)
3:19.0,,,71-60,,R. Kelly misses free throw 1 of 2
3:19.0,,,71-60,,Offensive rebound by Team
3:19.0,,,71-60,,R. Kelly misses free throw 2 of 2
3:18.0,Defensive rebound by M. Kidd-Gilchrist,,71-60,,
3:05.0,T. Daniels makes 2-pt shot from 16 ft (assist by K. Walker),2,73-60,,
2:51.0,,,73-60,,Turnover by D. Russell (bad pass; steal by M. Kidd-Gilchrist)
2:41.0,T. Daniels misses 3-pt shot from 25 ft,,73-60,,
2:41.0,Offensive rebound by Team,,73-60,,
2:41.0,,,73-60,,Loose ball foul by N. Young (drawn by M. Kidd-Gilchrist)
2:41.0,Charlotte full timeout,,73-60,,
2:41.0,T. Hansbrough enters the game for S. Hawes,,73-60,,
2:41.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,74-60,,
2:41.0,M. Kidd-Gilchrist misses free throw 2 of 2,,74-60,,
2:40.0,,,74-60,,Defensive rebound by R. Kelly
2:24.0,,,74-60,,R. Kelly misses 3-pt shot from 24 ft
2:22.0,Defensive rebound by T. Daniels,,74-60,,
2:00.0,F. Kaminsky makes 2-pt shot from 5 ft (assist by T. Daniels),2,76-60,,
1:49.0,,,76-60,,R. Kelly misses 3-pt shot from 24 ft
1:48.0,Defensive rebound by K. Walker,,76-60,,
1:40.0,K. Walker makes 2-pt shot at rim,2,78-60,,
1:26.0,,,78-60,,L. Williams misses 3-pt shot from 24 ft
1:25.0,Defensive rebound by T. Hansbrough,,78-60,,
1:19.0,T. Daniels misses 3-pt shot from 23 ft,,78-60,,
1:17.0,Offensive rebound by M. Kidd-Gilchrist,,78-60,,
1:15.0,F. Kaminsky makes 2-pt shot at rim (assist by M. Kidd-Gilchrist),2,80-60,,
1:15.0,,,80-60,,LA Lakers full timeout
1:15.0,P. Hairston enters the game for M. Kidd-Gilchrist,,80-60,,
1:06.0,Violation by T. Hansbrough (kicked ball),,80-60,,
0:59.0,,,80-60,,R. Kelly misses 2-pt shot from 20 ft
0:58.0,Defensive rebound by K. Walker,,80-60,,
0:41.0,T. Daniels misses 3-pt shot from 26 ft,,80-60,,
0:39.0,,,80-60,,Defensive rebound by D. Russell
0:34.0,,,80-60,,Offensive charge foul by D. Russell
0:34.0,,,80-60,,Turnover by D. Russell (offensive foul)
0:14.0,T. Daniels makes 3-pt shot from 24 ft (assist by K. Walker),3,83-60,,
0:07.0,,,83-60,,Turnover by D. Russell (lost ball; steal by T. Hansbrough)
0:02.0,Turnover by T. Daniels (bad pass),,83-60,,
0:01.0,,,83-60,,Turnover by R. Kelly (bad pass; steal by P. Hairston)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,P. Hairston misses 3-pt shot from 29 ft,,83-60,,
11:32.0,,,83-60,,Defensive rebound by R. Kelly
11:16.0,,,83-60,,N. Young misses 3-pt shot from 24 ft
11:14.0,Defensive rebound by T. Daniels,,83-60,,
10:58.0,Shooting foul by R. Kelly (drawn by F. Kaminsky),,83-60,,
10:58.0,F. Kaminsky makes free throw 1 of 2,1,84-60,,
10:58.0,F. Kaminsky misses free throw 2 of 2,,84-60,,
10:57.0,,,84-60,,Defensive rebound by R. Kelly
10:48.0,,,84-60,,R. Kelly misses 2-pt shot from 9 ft
10:45.0,,,84-60,,Offensive rebound by B. Bass
10:45.0,,,84-60,,B. Bass misses 2-pt shot from 1 ft
10:43.0,Defensive rebound by T. Hansbrough,,84-60,,
10:34.0,B. Roberts misses 3-pt shot from 25 ft,,84-60,,
10:32.0,,,84-60,,Defensive rebound by R. Kelly
10:21.0,,,84-62,2,D. Russell makes 2-pt shot from 8 ft
10:04.0,T. Daniels makes 2-pt shot from 19 ft (assist by F. Kaminsky),2,86-62,,
9:48.0,,,86-62,,Shooting foul by F. Kaminsky (drawn by N. Young)
9:48.0,,,86-63,1,N. Young makes free throw 1 of 2
9:48.0,,,86-63,,J. Randle enters the game for R. Kelly
9:48.0,,,86-64,1,N. Young makes free throw 2 of 2
9:33.0,B. Roberts makes 2-pt shot at rim (assist by F. Kaminsky),2,88-64,,
9:21.0,Personal foul by T. Hansbrough (drawn by B. Bass),,88-64,,
9:12.0,,,88-64,,J. Randle misses 2-pt shot from 18 ft
9:11.0,Defensive rebound by T. Daniels,,88-64,,
8:54.0,P. Hairston misses 2-pt shot at rim,,88-64,,
8:52.0,,,88-64,,Defensive rebound by N. Young
8:48.0,,,88-64,,N. Young misses 3-pt shot from 24 ft
8:45.0,Defensive rebound by F. Kaminsky,,88-64,,
8:38.0,P. Hairston makes 3-pt shot from 25 ft (assist by F. Kaminsky),3,91-64,,
8:27.0,Def 3 sec tech foul by F. Kaminsky,,91-64,,
8:27.0,Official timeout,,91-64,,
8:27.0,,,91-65,1,J. Clarkson makes technical free throw
8:17.0,,,91-65,,Shooting foul by T. Hansbrough (drawn by B. Bass)
8:17.0,,,91-66,1,B. Bass makes free throw 1 of 2
8:17.0,,,91-67,1,B. Bass makes free throw 2 of 2
7:58.0,F. Kaminsky makes 2-pt shot at rim,2,93-67,,
7:38.0,,,93-67,,J. Clarkson misses 2-pt shot from 3 ft
7:38.0,,,93-67,,Offensive rebound by Team
7:22.0,,,93-69,2,J. Randle makes 2-pt shot from 1 ft (assist by N. Young)
7:04.0,F. Kaminsky misses 2-pt shot at rim (block by B. Bass),,93-69,,
7:04.0,Offensive rebound by Team,,93-69,,
7:04.0,,,93-69,,M. Huertas enters the game for J. Clarkson
6:57.0,P. Hairston misses 3-pt shot from 27 ft,,93-69,,
6:56.0,,,93-69,,Defensive rebound by J. Randle
6:46.0,,,93-71,2,D. Russell makes 2-pt shot from 19 ft
6:46.0,Charlotte full timeout,,93-71,,
