time,Toronto,pts.away,score,pts.home,Phoenix
4:22.0,C. Joseph enters the game for T. Ross,,17-23,,
4:22.0,,,17-24,1,J. McRae makes free throw 2 of 2
4:07.0,C. Joseph misses 2-pt shot from 18 ft,,17-24,,
4:06.0,,,17-24,,Defensive rebound by M. Morris
3:49.0,,,17-24,,Turnover by M. Morris (bad pass; steal by K. Lowry)
3:42.0,Shooting foul by M. Morris (drawn by D. DeRozan),,17-24,,
3:42.0,D. DeRozan makes free throw 1 of 2,1,18-24,,
3:42.0,,,18-24,,S. Weems enters the game for D. Booker
3:42.0,,,18-24,,A. Goodwin enters the game for J. McRae
3:42.0,D. DeRozan makes free throw 2 of 2,1,19-24,,
3:22.0,,,19-24,,M. Teletovic misses 3-pt shot from 24 ft
3:22.0,Defensive rebound by Team,,19-24,,
3:22.0,,,19-24,,Personal foul by A. Len (drawn by B. Biyombo)
3:22.0,B. Biyombo makes free throw 1 of 2,1,20-24,,
3:22.0,B. Biyombo makes free throw 2 of 2,1,21-24,,
2:57.0,,,21-24,,A. Len misses 2-pt shot from 9 ft
2:57.0,Defensive rebound by B. Biyombo,,21-24,,
2:51.0,K. Lowry makes 3-pt shot from 24 ft (assist by B. Biyombo),3,24-24,,
2:37.0,,,24-26,2,M. Morris makes 2-pt shot from 1 ft (assist by A. Goodwin)
2:33.0,Turnover by D. DeRozan (traveling),,24-26,,
2:18.0,,,24-26,,M. Morris misses 2-pt shot from 16 ft
2:17.0,Defensive rebound by B. Biyombo,,24-26,,
2:06.0,C. Joseph misses 2-pt shot from 2 ft,,24-26,,
2:04.0,,,24-26,,Defensive rebound by A. Len
2:02.0,,,24-28,2,A. Goodwin makes 2-pt shot from 1 ft
2:02.0,Violation by B. Biyombo (def goaltending),,24-28,,
1:47.0,K. Lowry makes 3-pt shot from 23 ft (assist by C. Joseph),3,27-28,,
1:26.0,,,27-28,,A. Goodwin misses 2-pt shot from 2 ft
1:26.0,,,27-28,,Offensive rebound by Team
1:26.0,N. Powell enters the game for K. Lowry,,27-28,,
1:19.0,,,27-28,,Shooting foul by N. Powell (drawn by M. Morris)
1:19.0,,,27-28,,M. Morris misses free throw 1 of 2
1:19.0,,,27-28,,Offensive rebound by Team
1:19.0,,,27-29,1,M. Morris makes free throw 2 of 2
1:02.0,D. DeRozan misses 2-pt shot from 14 ft,,27-29,,
1:01.0,,,27-29,,Defensive rebound by M. Morris
0:45.0,,,27-29,,Turnover by A. Goodwin (bad pass)
0:37.0,P. Patterson misses 3-pt shot from 24 ft,,27-29,,
0:37.0,,,27-29,,Defensive rebound by M. Teletovic
0:17.0,,,27-29,,S. Weems misses 2-pt shot from 14 ft
0:15.0,Defensive rebound by B. Biyombo,,27-29,,
0:03.0,,,27-29,,Shooting block foul by A. Len (drawn by D. DeRozan)
0:03.0,D. DeRozan misses free throw 1 of 2,,27-29,,
0:03.0,Offensive rebound by Team,,27-29,,
0:03.0,D. DeRozan makes free throw 2 of 2,1,28-29,,
0:00.0,,,28-32,3,A. Goodwin makes 3-pt shot from 35 ft (assist by M. Morris)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,C. Joseph misses 2-pt shot at rim,,28-32,,
11:34.0,Offensive rebound by P. Patterson,,28-32,,
11:31.0,P. Patterson misses 2-pt shot from 10 ft,,28-32,,
11:30.0,,,28-32,,Defensive rebound by A. Len
11:18.0,Personal foul by B. Biyombo (drawn by A. Len),,28-32,,
11:15.0,,,28-32,,A. Goodwin misses 2-pt shot from 2 ft
11:14.0,Defensive rebound by B. Biyombo,,28-32,,
11:00.0,K. Lowry makes 3-pt shot from 24 ft,3,31-32,,
10:39.0,,,31-32,,A. Len misses 2-pt shot from 6 ft
10:39.0,Defensive rebound by N. Powell,,31-32,,
10:28.0,,,31-32,,Personal foul by S. Weems (drawn by K. Lowry)
10:20.0,P. Patterson misses 3-pt shot from 24 ft,,31-32,,
10:19.0,,,31-32,,Defensive rebound by J. Leuer
9:54.0,,,31-34,2,A. Len makes 2-pt shot at rim (assist by M. Teletovic)
9:28.0,N. Powell misses 2-pt shot from 19 ft,,31-34,,
9:28.0,,,31-34,,Defensive rebound by J. Leuer
9:21.0,,,31-34,,M. Teletovic misses 2-pt shot from 16 ft
9:20.0,Defensive rebound by B. Biyombo,,31-34,,
9:14.0,Shooting foul by S. Weems (drawn by K. Lowry),,31-34,,
9:14.0,K. Lowry makes free throw 1 of 2,1,32-34,,
9:14.0,T. Ross enters the game for N. Powell,,32-34,,
9:14.0,K. Lowry makes free throw 2 of 2,1,33-34,,
9:05.0,,,33-34,,Turnover by A. Len (bad pass)
8:54.0,B. Biyombo makes 2-pt shot at rim (assist by C. Joseph),2,35-34,,
8:46.0,,,35-34,,Phoenix full timeout
8:46.0,,,35-34,,D. Booker enters the game for M. Teletovic
8:46.0,,,35-34,,P. Tucker enters the game for S. Weems
8:36.0,,,35-34,,J. Leuer misses 2-pt shot from 8 ft
8:34.0,Defensive rebound by P. Patterson,,35-34,,
8:26.0,C. Joseph misses 3-pt shot from 22 ft,,35-34,,
8:25.0,Offensive rebound by B. Biyombo,,35-34,,
8:13.0,T. Ross misses 3-pt shot from 24 ft,,35-34,,
8:12.0,,,35-34,,Defensive rebound by Team
7:53.0,,,35-34,,Turnover by D. Booker (bad pass; steal by T. Ross)
7:50.0,Shooting foul by D. Booker (drawn by T. Ross),,35-34,,
7:50.0,T. Ross makes free throw 1 of 2,1,36-34,,
7:50.0,,,36-34,,T. Chandler enters the game for A. Len
7:50.0,,,36-34,,M. Morris enters the game for J. Leuer
7:50.0,T. Ross makes free throw 2 of 2,1,37-34,,
7:38.0,Personal foul by C. Joseph (drawn by D. Booker),,37-34,,
7:29.0,,,37-34,,Offensive foul by T. Chandler
7:29.0,,,37-34,,Turnover by T. Chandler (offensive foul)
7:11.0,K. Lowry misses 3-pt shot from 24 ft,,37-34,,
7:11.0,Offensive rebound by T. Ross,,37-34,,
7:07.0,T. Ross makes 2-pt shot from 12 ft,2,39-34,,
6:45.0,,,39-34,,D. Booker misses 3-pt shot from 24 ft
6:45.0,Defensive rebound by B. Biyombo,,39-34,,
6:22.0,K. Lowry misses 3-pt shot from 24 ft,,39-34,,
6:21.0,,,39-34,,Defensive rebound by D. Booker
6:09.0,,,39-34,,M. Morris misses 2-pt shot from 10 ft
6:08.0,Defensive rebound by T. Ross,,39-34,,
6:05.0,B. Biyombo makes 2-pt shot at rim (assist by T. Ross),2,41-34,,
6:05.0,Shooting foul by T. Chandler (drawn by B. Biyombo),,41-34,,
6:05.0,,,41-34,,A. Len enters the game for T. Chandler
6:05.0,D. DeRozan enters the game for C. Joseph,,41-34,,
6:05.0,B. Biyombo makes free throw 1 of 1,1,42-34,,
5:52.0,,,42-34,,Shooting foul by B. Biyombo (drawn by D. Booker)
5:52.0,Official timeout,,42-34,,
5:52.0,L. Scola enters the game for B. Biyombo,,42-34,,
5:52.0,J. Valanciunas enters the game for P. Patterson,,42-34,,
5:52.0,,,42-35,1,D. Booker makes free throw 1 of 2
5:52.0,,,42-35,,D. Booker misses free throw 2 of 2
5:51.0,Defensive rebound by J. Valanciunas,,42-35,,
5:27.0,D. DeRozan misses 3-pt shot from 25 ft,,42-35,,
5:27.0,Offensive rebound by J. Valanciunas,,42-35,,
5:08.0,T. Ross makes 3-pt shot from 23 ft (assist by L. Scola),3,45-35,,
4:40.0,,,45-35,,A. Goodwin misses 2-pt shot from 18 ft
4:40.0,,,45-35,,Offensive rebound by Team
4:40.0,,,45-35,,Turnover by Team (shot clock)
4:23.0,T. Ross misses 2-pt shot from 21 ft,,45-35,,
4:23.0,Offensive rebound by Team,,45-35,,
4:23.0,,,45-35,,Loose ball foul by A. Len (drawn by J. Valanciunas)
4:23.0,J. Valanciunas misses free throw 1 of 2,,45-35,,
4:23.0,Offensive rebound by Team,,45-35,,
4:23.0,,,45-35,,M. Teletovic enters the game for A. Len
4:23.0,J. Valanciunas makes free throw 2 of 2,1,46-35,,
4:07.0,,,46-35,,A. Goodwin misses 2-pt shot from 2 ft
4:06.0,,,46-35,,Offensive rebound by A. Goodwin
4:04.0,,,46-37,2,A. Goodwin makes 2-pt shot from 1 ft
3:48.0,J. Valanciunas misses 2-pt shot from 8 ft,,46-37,,
3:46.0,,,46-37,,Defensive rebound by M. Morris
3:42.0,,,46-39,2,D. Booker makes 2-pt shot from 1 ft (assist by M. Morris)
3:33.0,Toronto full timeout,,46-39,,
3:15.0,J. Valanciunas misses 2-pt shot from 7 ft,,46-39,,
3:15.0,,,46-39,,Defensive rebound by M. Teletovic
2:54.0,,,46-41,2,M. Morris makes 2-pt shot from 19 ft (assist by P. Tucker)
2:32.0,L. Scola misses 3-pt shot from 24 ft,,46-41,,
2:31.0,,,46-41,,Defensive rebound by D. Booker
2:17.0,,,46-43,2,P. Tucker makes 2-pt shot from 9 ft (assist by M. Teletovic)
2:11.0,T. Ross makes 2-pt shot from 1 ft (assist by K. Lowry),2,48-43,,
1:45.0,Shooting block foul by J. Valanciunas (drawn by A. Goodwin),,48-43,,
1:45.0,,,48-44,1,A. Goodwin makes free throw 1 of 2
1:45.0,C. Joseph enters the game for K. Lowry,,48-44,,
1:45.0,B. Biyombo enters the game for J. Valanciunas,,48-44,,
1:45.0,,,48-45,1,A. Goodwin makes free throw 2 of 2
1:22.0,D. DeRozan makes 2-pt shot from 8 ft,2,50-45,,
1:05.0,,,50-45,,D. Booker misses 2-pt shot from 1 ft
1:03.0,Defensive rebound by C. Joseph,,50-45,,
0:53.0,D. DeRozan makes 2-pt shot from 11 ft,2,52-45,,
0:34.0,,,52-45,,Turnover by M. Morris (offensive foul)
0:34.0,,,52-45,,Offensive charge foul by M. Morris
0:23.0,D. DeRozan misses 2-pt shot from 11 ft,,52-45,,
0:21.0,,,52-45,,Defensive rebound by M. Morris
0:00.0,,,52-45,,A. Goodwin misses 2-pt shot from 3 ft
0:00.0,Defensive rebound by B. Biyombo,,52-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,D. DeRozan makes 2-pt shot from 18 ft,2,54-45,,
11:29.0,,,54-45,,D. Booker misses 2-pt shot from 20 ft
11:29.0,Defensive rebound by J. Valanciunas,,54-45,,
11:18.0,Offensive foul by L. Scola,,54-45,,
10:58.0,Turnover by L. Scola (offensive foul),,54-45,,
10:58.0,,,54-47,2,M. Morris makes 2-pt shot from 16 ft
10:39.0,Shooting foul by T. Chandler (drawn by J. Valanciunas),,54-47,,
10:39.0,J. Valanciunas makes free throw 1 of 2,1,55-47,,
10:39.0,J. Valanciunas makes free throw 2 of 2,1,56-47,,
10:27.0,,,56-50,3,P. Tucker makes 3-pt shot from 22 ft (assist by A. Goodwin)
10:05.0,D. DeRozan misses 2-pt shot from 17 ft,,56-50,,
10:03.0,,,56-50,,Defensive rebound by T. Chandler
9:54.0,Personal foul by D. DeRozan (drawn by A. Goodwin),,56-50,,
9:54.0,,,56-50,,M. Teletovic enters the game for T. Chandler
9:45.0,,,56-50,,M. Teletovic misses 3-pt shot from 24 ft
9:45.0,Defensive rebound by J. Valanciunas,,56-50,,
9:34.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,58-50,,
9:16.0,,,58-50,,D. Booker misses 3-pt shot from 25 ft
9:16.0,,,58-50,,Offensive rebound by P. Tucker
9:07.0,,,58-52,2,M. Morris makes 2-pt shot from 4 ft
8:54.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,60-52,,
8:42.0,,,60-52,,M. Morris misses 3-pt shot from 24 ft
8:41.0,Defensive rebound by K. Lowry,,60-52,,
8:25.0,J. Valanciunas misses 2-pt shot from 1 ft,,60-52,,
8:21.0,,,60-52,,Defensive rebound by A. Goodwin
8:18.0,,,60-55,3,D. Booker makes 3-pt shot from 24 ft (assist by A. Goodwin)
8:01.0,Offensive foul by D. DeRozan,,60-55,,
8:01.0,Turnover by D. DeRozan (offensive foul),,60-55,,
8:01.0,Violation by Team (jump ball),,60-55,,
7:51.0,,,60-55,,Turnover by A. Goodwin (bad pass; steal by N. Powell)
7:35.0,L. Scola makes 2-pt shot from 8 ft (assist by N. Powell),2,62-55,,
7:13.0,,,62-58,3,D. Booker makes 3-pt shot from 25 ft (assist by M. Morris)
6:50.0,D. DeRozan makes 2-pt shot from 18 ft,2,64-58,,
6:37.0,,,64-58,,Turnover by D. Booker (bad pass; steal by L. Scola)
6:34.0,Shooting foul by D. Booker (drawn by L. Scola),,64-58,,
6:34.0,L. Scola makes free throw 1 of 2,1,65-58,,
6:34.0,T. Ross enters the game for N. Powell,,65-58,,
6:34.0,L. Scola makes free throw 2 of 2,1,66-58,,
6:25.0,Personal foul by T. Ross (drawn by D. Booker),,66-58,,
6:23.0,Personal foul by L. Scola (drawn by M. Teletovic),,66-58,,
6:16.0,,,66-60,2,M. Morris makes 2-pt shot at rim (assist by A. Goodwin)
6:01.0,,,66-60,,Personal foul by P. Tucker (drawn by K. Lowry)
6:01.0,B. Biyombo enters the game for J. Valanciunas,,66-60,,
6:01.0,P. Patterson enters the game for L. Scola,,66-60,,
5:45.0,K. Lowry misses 3-pt shot from 24 ft,,66-60,,
5:45.0,,,66-60,,Defensive rebound by P. Tucker
5:35.0,,,66-60,,M. Teletovic misses 3-pt shot from 25 ft
5:35.0,Defensive rebound by B. Biyombo,,66-60,,
5:27.0,T. Ross makes 3-pt shot from 25 ft (assist by K. Lowry),3,69-60,,
5:06.0,Personal foul by B. Biyombo (drawn by M. Morris),,69-60,,
5:06.0,,,69-60,,Phoenix full timeout
4:54.0,,,69-60,,P. Tucker misses 3-pt shot from 24 ft
4:53.0,Defensive rebound by T. Ross,,69-60,,
4:44.0,Turnover by P. Patterson (bad pass; steal by P. Tucker),,69-60,,
4:41.0,,,69-60,,Turnover by P. Tucker (bad pass; steal by P. Patterson)
4:32.0,D. DeRozan makes 2-pt shot at rim,2,71-60,,
4:32.0,Shooting foul by A. Goodwin (drawn by D. DeRozan),,71-60,,
4:32.0,D. DeRozan misses free throw 1 of 1,,71-60,,
4:31.0,,,71-60,,Defensive rebound by D. Booker
4:08.0,,,71-62,2,A. Goodwin makes 2-pt shot from 1 ft
3:57.0,D. DeRozan misses 3-pt shot from 26 ft (block by M. Morris),,71-62,,
3:55.0,,,71-62,,Defensive rebound by P. Tucker
3:47.0,,,71-64,2,M. Morris makes 2-pt shot from 1 ft (assist by A. Goodwin)
3:29.0,T. Ross misses 3-pt shot from 25 ft,,71-64,,
3:28.0,,,71-64,,Defensive rebound by M. Morris
3:15.0,,,71-67,3,D. Booker makes 3-pt shot from 23 ft (assist by A. Goodwin)
3:14.0,Toronto full timeout,,71-67,,
3:14.0,C. Joseph enters the game for K. Lowry,,71-67,,
2:57.0,B. Biyombo misses 2-pt shot from 2 ft (block by A. Goodwin),,71-67,,
2:56.0,,,71-67,,Defensive rebound by M. Morris
2:50.0,,,71-70,3,M. Teletovic makes 3-pt shot from 24 ft (assist by M. Morris)
2:33.0,Turnover by C. Joseph (bad pass; steal by M. Morris),,71-70,,
2:27.0,,,71-70,,Turnover by A. Goodwin (bad pass)
2:27.0,,,71-70,,Violation by Team (jump ball)
2:17.0,,,71-70,,Shooting block foul by M. Morris (drawn by C. Joseph)
2:17.0,C. Joseph makes free throw 1 of 2,1,72-70,,
2:17.0,C. Joseph makes free throw 2 of 2,1,73-70,,
1:57.0,,,73-70,,M. Teletovic misses 3-pt shot from 24 ft
1:57.0,Defensive rebound by B. Biyombo,,73-70,,
1:34.0,Shooting foul by M. Teletovic (drawn by D. DeRozan),,73-70,,
1:34.0,D. DeRozan misses free throw 1 of 2,,73-70,,
1:34.0,Offensive rebound by Team,,73-70,,
1:34.0,,,73-70,,S. Weems enters the game for A. Goodwin
1:34.0,,,73-70,,A. Len enters the game for M. Morris
1:34.0,D. DeRozan misses free throw 2 of 2,,73-70,,
1:34.0,,,73-70,,Defensive rebound by P. Tucker
1:23.0,,,73-70,,Turnover by D. Booker (bad pass; steal by D. DeRozan)
1:18.0,Offensive foul by D. DeRozan,,73-70,,
1:18.0,Turnover by D. DeRozan (offensive foul),,73-70,,
1:01.0,,,73-70,,D. Booker misses 3-pt shot from 24 ft
1:01.0,Defensive rebound by D. DeRozan,,73-70,,
0:51.0,D. DeRozan makes 2-pt shot from 2 ft,2,75-70,,
0:32.0,,,75-70,,Shooting foul by C. Joseph (drawn by P. Tucker)
0:32.0,,,75-70,,Technical foul by Team
0:32.0,D. DeRozan makes technical free throw,1,76-70,,
0:32.0,,,76-70,,P. Tucker misses free throw 1 of 2
0:32.0,,,76-70,,Offensive rebound by Team
0:32.0,,,76-71,1,P. Tucker makes free throw 2 of 2
0:23.0,C. Joseph makes 2-pt shot from 8 ft,2,78-71,,
0:04.0,,,78-71,,D. Booker misses 3-pt shot from 24 ft
0:03.0,Defensive rebound by P. Patterson,,78-71,,
0:00.0,D. DeRozan misses 3-pt shot from 45 ft,,78-71,,
0:00.0,Offensive rebound by Team,,78-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,78-71,,Turnover by A. Len (lost ball; steal by P. Patterson)
11:36.0,T. Ross misses 2-pt shot from 2 ft,,78-71,,
11:35.0,Offensive rebound by P. Patterson,,78-71,,
11:35.0,P. Patterson makes 2-pt shot at rim,2,80-71,,
11:17.0,,,80-71,,S. Weems misses 2-pt shot from 1 ft
11:16.0,,,80-71,,Offensive rebound by A. Len
11:16.0,,,80-71,,A. Len misses 2-pt shot from 1 ft
11:16.0,,,80-71,,Offensive rebound by A. Len
11:16.0,,,80-71,,A. Len misses 2-pt shot from 1 ft
11:15.0,Defensive rebound by K. Lowry,,80-71,,
11:13.0,K. Lowry makes 2-pt shot from 20 ft,2,82-71,,
11:13.0,Shooting foul by M. Teletovic (drawn by K. Lowry),,82-71,,
11:13.0,,,82-71,,M. Morris enters the game for M. Teletovic
11:13.0,K. Lowry makes free throw 1 of 1,1,83-71,,
10:50.0,,,83-73,2,S. Weems makes 2-pt shot from 2 ft
10:33.0,P. Patterson misses 3-pt shot from 23 ft,,83-73,,
10:32.0,,,83-73,,Defensive rebound by S. Weems
10:24.0,,,83-73,,S. Weems misses 2-pt shot from 1 ft (block by B. Biyombo)
10:22.0,Defensive rebound by B. Biyombo,,83-73,,
10:14.0,C. Joseph makes 2-pt shot from 8 ft,2,85-73,,
9:49.0,,,85-75,2,M. Morris makes 2-pt shot from 13 ft
9:33.0,T. Ross makes 2-pt shot from 18 ft (assist by C. Joseph),2,87-75,,
9:13.0,,,87-78,3,M. Morris makes 3-pt shot from 23 ft (assist by A. Goodwin)
8:51.0,T. Ross makes 2-pt shot from 14 ft (assist by C. Joseph),2,89-78,,
8:36.0,Personal foul by P. Patterson (drawn by M. Morris),,89-78,,
8:36.0,Official timeout,,89-78,,
8:25.0,,,89-78,,M. Morris misses 3-pt shot from 24 ft
8:25.0,Defensive rebound by Team,,89-78,,
8:25.0,,,89-78,,D. Booker enters the game for S. Weems
8:25.0,,,89-78,,T. Chandler enters the game for A. Len
8:05.0,K. Lowry misses 3-pt shot from 23 ft,,89-78,,
8:04.0,,,89-78,,Defensive rebound by T. Chandler
7:46.0,,,89-78,,Shooting foul by B. Biyombo (drawn by M. Morris)
7:46.0,,,89-78,,M. Morris misses free throw 1 of 2
7:46.0,,,89-78,,Offensive rebound by Team
7:46.0,,,89-79,1,M. Morris makes free throw 2 of 2
7:31.0,P. Patterson misses 3-pt shot from 23 ft,,89-79,,
7:30.0,,,89-79,,Defensive rebound by T. Chandler
7:12.0,,,89-81,2,D. Booker makes 2-pt shot from 19 ft (assist by P. Tucker)
6:56.0,C. Joseph makes 2-pt shot from 14 ft,2,91-81,,
6:37.0,,,91-81,,P. Tucker misses 3-pt shot from 23 ft
6:36.0,Defensive rebound by Team,,91-81,,
6:21.0,K. Lowry makes 2-pt shot at rim,2,93-81,,
6:10.0,,,93-81,,P. Tucker misses 2-pt shot from 6 ft
6:10.0,Defensive rebound by Team,,93-81,,
6:03.0,,,93-81,,Personal block foul by D. Booker (drawn by C. Joseph)
5:55.0,Shooting foul by T. Chandler (drawn by C. Joseph),,93-81,,
5:55.0,,,93-81,,Phoenix full timeout
5:55.0,C. Joseph makes free throw 1 of 2,1,94-81,,
5:55.0,C. Joseph makes free throw 2 of 2,1,95-81,,
5:37.0,,,95-84,3,A. Goodwin makes 3-pt shot from 23 ft
5:10.0,C. Joseph misses 2-pt shot from 20 ft,,95-84,,
5:10.0,,,95-84,,Defensive rebound by T. Chandler
4:55.0,,,95-87,3,D. Booker makes 3-pt shot from 24 ft (assist by M. Morris)
4:33.0,K. Lowry makes 3-pt shot from 24 ft,3,98-87,,
4:13.0,,,98-90,3,D. Booker makes 3-pt shot from 24 ft
3:58.0,K. Lowry misses 2-pt shot from 8 ft (block by M. Morris),,98-90,,
3:57.0,,,98-90,,Defensive rebound by M. Morris
3:52.0,,,98-90,,D. Booker misses 3-pt shot from 24 ft
3:51.0,,,98-90,,Offensive rebound by P. Tucker
3:36.0,,,98-90,,Turnover by M. Morris (lost ball)
3:36.0,D. DeRozan enters the game for T. Ross,,98-90,,
3:20.0,Offensive foul by B. Biyombo,,98-90,,
3:20.0,Turnover by B. Biyombo (offensive foul),,98-90,,
3:20.0,J. Valanciunas enters the game for B. Biyombo,,98-90,,
3:06.0,Personal foul by K. Lowry (drawn by A. Goodwin),,98-90,,
3:06.0,,,98-90,,Technical foul by A. Goodwin
3:06.0,D. DeRozan makes technical free throw,1,99-90,,
2:56.0,,,99-92,2,A. Goodwin makes 2-pt shot from 17 ft (assist by M. Morris)
2:37.0,Turnover by C. Joseph (3 sec),,99-92,,
2:37.0,Toronto full timeout,,99-92,,
2:37.0,B. Biyombo enters the game for J. Valanciunas,,99-92,,
2:22.0,,,99-92,,D. Booker misses 3-pt shot from 24 ft
2:22.0,Defensive rebound by P. Patterson,,99-92,,
2:08.0,D. DeRozan misses 2-pt shot from 19 ft,,99-92,,
2:07.0,,,99-92,,Defensive rebound by D. Booker
1:59.0,,,99-94,2,D. Booker makes 2-pt shot from 1 ft
1:35.0,C. Joseph misses 2-pt shot at rim (block by T. Chandler),,99-94,,
1:35.0,Offensive rebound by Team,,99-94,,
1:35.0,Turnover by Team (shot clock),,99-94,,
1:16.0,,,99-94,,M. Morris misses 2-pt shot from 13 ft
1:15.0,Defensive rebound by D. DeRozan,,99-94,,
1:15.0,Toronto full timeout,,99-94,,
1:15.0,J. Valanciunas enters the game for B. Biyombo,,99-94,,
0:52.0,D. DeRozan makes 3-pt shot from 26 ft,3,102-94,,
0:41.0,Personal foul by P. Patterson (drawn by M. Morris),,102-94,,
0:41.0,,,102-94,,Phoenix full timeout
0:41.0,,,102-94,,M. Teletovic enters the game for T. Chandler
