time,Orlando,pts.away,score,pts.home,Milwaukee
9:23.0,T. Harris misses 2-pt shot from 18 ft,,63-56,,
9:21.0,,,63-56,,Defensive rebound by G. Antetokounmpo
9:16.0,,,63-56,,G. Monroe misses 2-pt shot at rim
9:14.0,,,63-56,,Offensive rebound by G. Monroe
9:12.0,,,63-58,2,G. Monroe makes 2-pt shot at rim
8:54.0,A. Gordon misses 3-pt shot from 27 ft,,63-58,,
8:53.0,Offensive rebound by T. Harris,,63-58,,
8:49.0,Turnover by V. Oladipo (bad pass; steal by M. Carter-Williams),,63-58,,
8:45.0,,,63-60,2,G. Monroe makes 2-pt shot at rim (assist by K. Middleton)
8:29.0,Turnover by N. Vucevic (lost ball; steal by K. Middleton),,63-60,,
8:26.0,,,63-62,2,J. Parker makes 2-pt shot at rim (assist by K. Middleton)
8:26.0,Orlando full timeout,,63-62,,
8:06.0,,,63-62,,Personal foul by M. Carter-Williams (drawn by N. Vucevic)
8:03.0,,,63-62,,Personal foul by M. Carter-Williams (drawn by T. Harris)
7:48.0,N. Vucevic misses 2-pt shot from 17 ft,,63-62,,
7:47.0,,,63-62,,Defensive rebound by K. Middleton
7:33.0,,,63-62,,M. Carter-Williams misses 2-pt shot from 2 ft
7:31.0,,,63-62,,Offensive rebound by G. Monroe
7:31.0,,,63-62,,G. Monroe misses 2-pt shot at rim (block by N. Vucevic)
7:30.0,,,63-62,,Offensive rebound by G. Monroe
7:30.0,,,63-62,,Shooting foul by V. Oladipo (drawn by G. Monroe)
7:30.0,,,63-63,1,G. Monroe makes free throw 1 of 2
7:30.0,,,63-63,,J. Bayless enters the game for M. Carter-Williams
7:30.0,,,63-64,1,G. Monroe makes free throw 2 of 2
7:15.0,E. Payton misses 3-pt shot from 22 ft,,63-64,,
7:13.0,,,63-64,,Defensive rebound by G. Antetokounmpo
6:58.0,Shooting block foul by A. Gordon (drawn by J. Parker),,63-64,,
6:58.0,,,63-65,1,J. Parker makes free throw 1 of 2
6:58.0,,,63-66,1,J. Parker makes free throw 2 of 2
6:46.0,E. Payton makes 2-pt shot from 2 ft,2,65-66,,
6:46.0,Shooting foul by J. Bayless (drawn by E. Payton),,65-66,,
6:46.0,E. Payton makes free throw 1 of 1,1,66-66,,
6:31.0,,,66-66,,K. Middleton misses 2-pt shot from 12 ft
6:31.0,,,66-66,,Offensive rebound by G. Monroe
6:31.0,Loose ball foul by N. Vucevic (drawn by G. Monroe),,66-66,,
6:23.0,,,66-66,,G. Antetokounmpo misses 2-pt shot from 15 ft
6:21.0,,,66-66,,Offensive rebound by Team
6:15.0,,,66-68,2,G. Antetokounmpo makes 2-pt shot from 4 ft
5:58.0,N. Vucevic makes 2-pt shot from 19 ft (assist by T. Harris),2,68-68,,
5:45.0,,,68-68,,G. Monroe misses 2-pt shot from 1 ft
5:43.0,Defensive rebound by N. Vucevic,,68-68,,
5:35.0,T. Harris makes 2-pt shot at rim (assist by N. Vucevic),2,70-68,,
5:35.0,Shooting foul by G. Antetokounmpo (drawn by T. Harris),,70-68,,
5:35.0,,,70-68,,J. Henson enters the game for G. Monroe
5:35.0,T. Harris misses free throw 1 of 1,,70-68,,
5:35.0,,,70-68,,Defensive rebound by J. Henson
5:15.0,Personal foul by E. Payton (drawn by J. Bayless),,70-68,,
5:10.0,,,70-68,,K. Middleton misses 2-pt shot from 17 ft
5:09.0,Defensive rebound by T. Harris,,70-68,,
5:00.0,N. Vucevic misses 2-pt shot from 17 ft,,70-68,,
4:59.0,,,70-68,,Defensive rebound by Team
4:44.0,,,70-68,,J. Bayless misses 3-pt shot from 24 ft
4:42.0,Defensive rebound by T. Harris,,70-68,,
4:26.0,T. Harris misses 3-pt shot from 24 ft,,70-68,,
4:24.0,,,70-68,,Defensive rebound by J. Bayless
4:16.0,,,70-68,,Turnover by J. Parker (lost ball; steal by T. Harris)
4:13.0,Shooting foul by J. Bayless (drawn by T. Harris),,70-68,,
4:13.0,T. Harris misses free throw 1 of 2,,70-68,,
4:13.0,Offensive rebound by Team,,70-68,,
4:13.0,,,70-68,,J. O'Bryant enters the game for J. Parker
4:13.0,T. Harris makes free throw 2 of 2,1,71-68,,
3:58.0,,,71-68,,G. Antetokounmpo misses 2-pt shot at rim
3:56.0,Defensive rebound by N. Vucevic,,71-68,,
3:49.0,T. Harris misses 3-pt shot from 26 ft,,71-68,,
3:46.0,,,71-68,,Defensive rebound by J. Bayless
3:36.0,Personal foul by V. Oladipo (drawn by K. Middleton),,71-68,,
3:36.0,,,71-69,1,K. Middleton makes free throw 1 of 2
3:36.0,E. Fournier enters the game for T. Harris,,71-69,,
3:36.0,C. Frye enters the game for A. Gordon,,71-69,,
3:36.0,,,71-70,1,K. Middleton makes free throw 2 of 2
3:21.0,Turnover by E. Payton (lost ball; steal by J. Bayless),,71-70,,
3:16.0,,,71-72,2,G. Antetokounmpo makes 2-pt shot from 4 ft
2:57.0,,,71-72,,Milwaukee full timeout
2:57.0,S. Napier enters the game for E. Payton,,71-72,,
2:50.0,V. Oladipo misses 2-pt shot from 19 ft (block by J. O'Bryant),,71-72,,
2:49.0,,,71-72,,Defensive rebound by Team
2:31.0,,,71-74,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
2:13.0,N. Vucevic misses 2-pt shot from 11 ft (block by J. Henson),,71-74,,
2:12.0,,,71-74,,Defensive rebound by J. O'Bryant
2:01.0,,,71-74,,J. Henson misses 2-pt shot from 2 ft
1:58.0,,,71-74,,Offensive rebound by J. O'Bryant
1:58.0,,,71-76,2,J. O'Bryant makes 2-pt shot at rim
1:44.0,Turnover by V. Oladipo (bad pass; steal by G. Antetokounmpo),,71-76,,
1:39.0,,,71-78,2,G. Antetokounmpo makes 2-pt shot at rim
1:23.0,J. Smith enters the game for N. Vucevic,,71-78,,
1:23.0,,,71-78,,J. Parker enters the game for G. Antetokounmpo
1:16.0,E. Fournier makes 3-pt shot from 25 ft (assist by J. Smith),3,74-78,,
1:00.0,,,74-80,2,K. Middleton makes 2-pt shot from 5 ft (assist by J. Henson)
0:48.0,V. Oladipo misses 2-pt shot from 8 ft,,74-80,,
0:47.0,,,74-80,,Defensive rebound by J. Henson
0:45.0,,,74-80,,Turnover by K. Middleton (lost ball; steal by S. Napier)
0:34.0,Shooting foul by J. O'Bryant (drawn by V. Oladipo),,74-80,,
0:34.0,V. Oladipo makes free throw 1 of 3,1,75-80,,
0:34.0,V. Oladipo makes free throw 2 of 3,1,76-80,,
0:34.0,V. Oladipo makes free throw 3 of 3,1,77-80,,
0:21.0,,,77-80,,K. Middleton misses 2-pt shot from 2 ft
0:19.0,,,77-80,,Offensive rebound by J. O'Bryant
0:19.0,,,77-80,,J. O'Bryant misses 2-pt shot at rim
0:19.0,,,77-80,,Offensive rebound by K. Middleton
0:18.0,,,77-80,,Shooting foul by V. Oladipo (drawn by K. Middleton)
0:18.0,,,77-81,1,K. Middleton makes free throw 1 of 2
0:18.0,M. Hezonja enters the game for V. Oladipo,,77-81,,
0:18.0,,,77-82,1,K. Middleton makes free throw 2 of 2
0:07.0,,,77-82,,Personal foul by K. Middleton (drawn by E. Fournier)
0:07.0,E. Fournier misses free throw 1 of 2,,77-82,,
0:07.0,Offensive rebound by Team,,77-82,,
0:07.0,A. Gordon enters the game for C. Frye,,77-82,,
0:07.0,E. Fournier makes free throw 2 of 2,1,78-82,,
0:00.0,,,78-82,,Turnover by J. Parker (lost ball; steal by S. Napier)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,78-82,,Shooting foul by M. Hezonja (drawn by J. Parker)
11:47.0,,,78-82,,J. Parker misses free throw 1 of 2
11:47.0,,,78-82,,Offensive rebound by Team
11:47.0,,,78-83,1,J. Parker makes free throw 2 of 2
11:31.0,,,78-83,,Personal foul by J. Bayless (drawn by S. Napier)
11:22.0,A. Gordon misses 2-pt shot from 1 ft,,78-83,,
11:20.0,,,78-83,,Defensive rebound by J. Parker
10:59.0,,,78-85,2,G. Monroe makes 2-pt shot from 1 ft
10:39.0,Turnover by S. Napier (bad pass),,78-85,,
10:19.0,Violation by S. Napier (kicked ball),,78-85,,
10:04.0,,,78-85,,J. Bayless misses 3-pt shot from 24 ft
10:03.0,Defensive rebound by J. Smith,,78-85,,
9:48.0,J. Smith misses 2-pt shot from 19 ft,,78-85,,
9:46.0,,,78-85,,Defensive rebound by J. Parker
9:30.0,,,78-87,2,J. Parker makes 2-pt shot from 1 ft (assist by G. Monroe)
9:14.0,M. Hezonja makes 2-pt shot from 18 ft,2,80-87,,
8:55.0,,,80-87,,Offensive foul by G. Monroe
8:55.0,,,80-87,,Turnover by G. Monroe (offensive foul)
8:55.0,Official timeout,,80-87,,
8:55.0,N. Vucevic enters the game for J. Smith,,80-87,,
8:44.0,M. Hezonja makes 3-pt shot from 28 ft (assist by S. Napier),3,83-87,,
8:28.0,,,83-87,,Turnover by M. Carter-Williams (traveling)
8:15.0,S. Napier misses 3-pt shot from 24 ft,,83-87,,
8:14.0,,,83-87,,Defensive rebound by J. Parker
8:03.0,Personal foul by N. Vucevic (drawn by G. Monroe),,83-87,,
7:49.0,,,83-87,,M. Carter-Williams misses 3-pt shot from 26 ft
7:48.0,Defensive rebound by E. Fournier,,83-87,,
7:31.0,M. Hezonja misses 3-pt shot from 26 ft,,83-87,,
7:29.0,Offensive rebound by S. Napier,,83-87,,
7:24.0,N. Vucevic misses 2-pt shot from 1 ft,,83-87,,
7:21.0,Offensive rebound by A. Gordon,,83-87,,
7:18.0,E. Fournier misses 3-pt shot from 26 ft,,83-87,,
7:16.0,Offensive rebound by M. Hezonja,,83-87,,
7:10.0,M. Hezonja misses 2-pt shot from 8 ft,,83-87,,
7:09.0,,,83-87,,Defensive rebound by G. Monroe
6:52.0,,,83-89,2,J. Parker makes 2-pt shot at rim (assist by M. Carter-Williams)
6:27.0,E. Fournier makes 3-pt shot from 23 ft (assist by S. Napier),3,86-89,,
6:09.0,,,86-91,2,G. Monroe makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
5:54.0,M. Hezonja makes 2-pt shot from 21 ft (assist by A. Gordon),2,88-91,,
5:54.0,,,88-91,,Milwaukee full timeout
5:54.0,,,88-91,,K. Middleton enters the game for J. Parker
5:54.0,,,88-91,,G. Antetokounmpo enters the game for J. O'Bryant
5:32.0,,,88-91,,G. Monroe misses 2-pt shot from 4 ft
5:31.0,Defensive rebound by A. Gordon,,88-91,,
5:09.0,S. Napier misses 2-pt shot from 20 ft,,88-91,,
5:07.0,,,88-91,,Defensive rebound by K. Middleton
4:56.0,,,88-91,,K. Middleton misses 2-pt shot from 16 ft
4:54.0,Defensive rebound by S. Napier,,88-91,,
4:40.0,E. Fournier makes 3-pt shot from 25 ft (assist by A. Gordon),3,91-91,,
4:24.0,,,91-91,,Shooting foul by N. Vucevic (drawn by M. Carter-Williams)
4:24.0,,,91-92,1,M. Carter-Williams makes free throw 1 of 2
4:24.0,,,91-92,,J. Henson enters the game for G. Monroe
4:24.0,,,91-92,,M. Carter-Williams misses free throw 2 of 2
4:22.0,Defensive rebound by A. Gordon,,91-92,,
4:13.0,,,91-92,,Personal foul by J. Henson (drawn by N. Vucevic)
4:04.0,Shooting foul by M. Carter-Williams (drawn by A. Gordon),,91-92,,
4:04.0,A. Gordon misses free throw 1 of 2,,91-92,,
4:04.0,Offensive rebound by Team,,91-92,,
4:04.0,A. Gordon makes free throw 2 of 2,1,92-92,,
3:50.0,,,92-92,,K. Middleton misses 3-pt shot from 26 ft
3:48.0,Defensive rebound by A. Gordon,,92-92,,
3:34.0,Shooting foul by J. Henson (drawn by A. Gordon),,92-92,,
3:34.0,A. Gordon makes free throw 1 of 2,1,93-92,,
3:34.0,A. Gordon misses free throw 2 of 2,,93-92,,
3:33.0,,,93-92,,Defensive rebound by G. Antetokounmpo
3:19.0,,,93-92,,J. Bayless misses 2-pt shot from 4 ft
3:18.0,Defensive rebound by N. Vucevic,,93-92,,
3:11.0,,,93-92,,Shooting block foul by J. Henson (drawn by M. Hezonja)
3:11.0,,,93-92,,G. Monroe enters the game for J. Henson
3:11.0,M. Hezonja makes free throw 1 of 2,1,94-92,,
3:11.0,M. Hezonja makes free throw 2 of 2,1,95-92,,
2:54.0,,,95-92,,Shooting foul by S. Napier (drawn by G. Monroe)
2:54.0,Orlando full timeout,,95-92,,
2:54.0,,,95-93,1,G. Monroe makes free throw 1 of 2
2:54.0,,,95-93,,G. Monroe misses free throw 2 of 2
