time,Philadelphia,pts.away,score,pts.home,Charlotte
1:09.0,,,17-30,,Turnover by S. Hawes (lost ball; steal by J. Grant)
1:03.0,N. Noel makes 2-pt shot at rim (assist by J. Grant),2,19-30,,
0:48.0,,,19-30,,N. Batum misses 2-pt shot from 18 ft
0:47.0,Defensive rebound by J. Sampson,,19-30,,
0:27.0,P. Pressey misses 2-pt shot from 1 ft,,19-30,,
0:26.0,,,19-30,,Defensive rebound by S. Hawes
0:06.0,,,19-30,,S. Hawes misses 3-pt shot from 22 ft
0:05.0,Defensive rebound by N. Noel,,19-30,,
0:00.0,J. Sampson misses 3-pt shot from 27 ft,,19-30,,
0:00.0,Offensive rebound by Team,,19-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,J. Okafor misses 2-pt shot from 5 ft,,19-30,,
11:36.0,,,19-30,,Defensive rebound by S. Hawes
11:24.0,,,19-32,2,S. Hawes makes 2-pt shot from 15 ft
11:06.0,I. Canaan makes 3-pt shot from 25 ft (assist by J. Sampson),3,22-32,,
10:53.0,,,22-34,2,J. Lamb makes 2-pt shot from 1 ft (assist by F. Kaminsky)
10:53.0,,,22-34,,Shooting foul by I. Canaan (drawn by J. Lamb)
10:53.0,,,22-35,1,J. Lamb makes free throw 1 of 1
10:32.0,I. Canaan misses 2-pt shot from 19 ft,,22-35,,
10:29.0,,,22-35,,Defensive rebound by J. Lamb
10:19.0,,,22-35,,S. Hawes misses 3-pt shot from 25 ft
10:18.0,Defensive rebound by N. Noel,,22-35,,
10:00.0,J. Okafor misses 2-pt shot from 7 ft,,22-35,,
9:59.0,,,22-35,,Defensive rebound by S. Hawes
9:50.0,,,22-35,,S. Hawes misses 3-pt shot from 24 ft
9:49.0,Defensive rebound by N. Noel,,22-35,,
9:42.0,Turnover by J. Okafor (step out of bounds),,22-35,,
9:32.0,,,22-38,3,J. Lin makes 3-pt shot from 24 ft (assist by S. Hawes)
9:27.0,Philadelphia full timeout,,22-38,,
9:27.0,N. Stauskas enters the game for P. Pressey,,22-38,,
9:10.0,N. Noel makes 2-pt shot at rim (assist by I. Canaan),2,24-38,,
8:56.0,,,24-38,,B. Roberts misses 2-pt shot from 18 ft
8:55.0,Defensive rebound by N. Stauskas,,24-38,,
8:47.0,J. Okafor makes 2-pt shot from 1 ft (assist by N. Stauskas),2,26-38,,
8:47.0,Shooting foul by J. Lin (drawn by J. Okafor),,26-38,,
8:47.0,J. Okafor makes free throw 1 of 1,1,27-38,,
8:33.0,,,27-38,,J. Lamb misses 2-pt shot from 3 ft
8:32.0,Defensive rebound by N. Noel,,27-38,,
8:20.0,Shooting foul by B. Roberts (drawn by I. Canaan),,27-38,,
8:20.0,I. Canaan misses free throw 1 of 2,,27-38,,
8:20.0,Offensive rebound by Team,,27-38,,
8:20.0,,,27-38,,M. Williams enters the game for F. Kaminsky
8:20.0,R. Covington enters the game for J. Sampson,,27-38,,
8:20.0,I. Canaan makes free throw 2 of 2,1,28-38,,
8:12.0,Personal foul by R. Covington (drawn by J. Lamb),,28-38,,
8:12.0,T. McConnell enters the game for I. Canaan,,28-38,,
8:01.0,,,28-41,3,M. Williams makes 3-pt shot from 22 ft (assist by B. Roberts)
7:39.0,J. Okafor makes 2-pt shot from 6 ft,2,30-41,,
7:27.0,,,30-41,,Shooting foul by R. Covington (drawn by J. Lamb)
7:27.0,,,30-42,1,J. Lamb makes free throw 1 of 2
7:27.0,,,30-42,,K. Walker enters the game for B. Roberts
7:27.0,,,30-42,,A. Jefferson enters the game for S. Hawes
7:27.0,H. Thompson enters the game for R. Covington,,30-42,,
7:27.0,,,30-43,1,J. Lamb makes free throw 2 of 2
7:12.0,N. Noel misses 2-pt shot from 8 ft,,30-43,,
7:11.0,,,30-43,,Defensive rebound by J. Lamb
7:05.0,,,30-46,3,J. Lamb makes 3-pt shot from 24 ft
6:43.0,H. Thompson misses 3-pt shot from 23 ft,,30-46,,
6:42.0,,,30-46,,Defensive rebound by J. Lin
6:32.0,,,30-46,,J. Lin misses 2-pt shot from 14 ft (block by N. Stauskas)
6:30.0,Defensive rebound by T. McConnell,,30-46,,
6:19.0,H. Thompson makes 3-pt shot from 25 ft (assist by J. Okafor),3,33-46,,
5:59.0,,,33-46,,A. Jefferson misses 2-pt shot from 6 ft
5:58.0,,,33-46,,Offensive rebound by M. Williams
5:58.0,,,33-46,,M. Williams misses 2-pt shot from 1 ft (block by H. Thompson)
5:56.0,Defensive rebound by N. Noel,,33-46,,
5:46.0,Official timeout,,33-46,,
5:46.0,J. Grant enters the game for N. Noel,,33-46,,
5:41.0,J. Okafor misses 2-pt shot from 7 ft (block by A. Jefferson),,33-46,,
5:39.0,,,33-46,,Defensive rebound by A. Jefferson
5:33.0,,,33-46,,M. Williams misses 3-pt shot from 26 ft
5:30.0,Defensive rebound by H. Thompson,,33-46,,
5:18.0,H. Thompson misses 2-pt shot from 2 ft,,33-46,,
5:15.0,Offensive rebound by J. Grant,,33-46,,
5:15.0,J. Grant makes 2-pt shot at rim,2,35-46,,
4:56.0,,,35-48,2,A. Jefferson makes 2-pt shot from 15 ft
4:33.0,J. Okafor makes 2-pt shot from 1 ft,2,37-48,,
4:17.0,,,37-48,,A. Jefferson misses 2-pt shot from 15 ft
4:15.0,,,37-48,,Offensive rebound by M. Williams
4:15.0,,,37-48,,Shooting foul by J. Grant (drawn by M. Williams)
4:15.0,,,37-49,1,M. Williams makes free throw 1 of 2
4:15.0,,,37-49,,N. Batum enters the game for J. Lin
4:15.0,,,37-50,1,M. Williams makes free throw 2 of 2
4:02.0,J. Grant makes 2-pt shot at rim (assist by N. Stauskas),2,39-50,,
3:58.0,,,39-50,,Charlotte full timeout
3:43.0,,,39-52,2,J. Lamb makes 2-pt shot from 18 ft
3:22.0,Turnover by H. Thompson (bad pass; steal by J. Lamb),,39-52,,
3:12.0,,,39-55,3,N. Batum makes 3-pt shot from 23 ft (assist by J. Lamb)
2:54.0,T. McConnell misses 2-pt shot from 9 ft,,39-55,,
2:53.0,,,39-55,,Defensive rebound by M. Williams
2:41.0,,,39-55,,A. Jefferson misses 2-pt shot from 18 ft
2:40.0,Defensive rebound by T. McConnell,,39-55,,
2:25.0,J. Grant misses 2-pt shot from 2 ft (block by A. Jefferson),,39-55,,
2:25.0,Offensive rebound by Team,,39-55,,
2:25.0,,,39-55,,Loose ball foul by M. Williams (drawn by J. Grant)
2:25.0,N. Noel enters the game for J. Okafor,,39-55,,
2:25.0,J. Sampson enters the game for H. Thompson,,39-55,,
2:09.0,T. McConnell misses 2-pt shot from 16 ft,,39-55,,
2:07.0,,,39-55,,Defensive rebound by A. Jefferson
2:03.0,I. Canaan enters the game for T. McConnell,,39-55,,
1:48.0,,,39-55,,J. Lamb misses 2-pt shot from 2 ft
1:48.0,,,39-55,,Offensive rebound by A. Jefferson
1:48.0,,,39-55,,Shooting foul by J. Grant (drawn by A. Jefferson)
1:48.0,,,39-56,1,A. Jefferson makes free throw 1 of 2
1:48.0,,,39-57,1,A. Jefferson makes free throw 2 of 2
1:31.0,Offensive foul by J. Grant,,39-57,,
1:31.0,Turnover by J. Grant (offensive foul),,39-57,,
1:31.0,H. Thompson enters the game for J. Grant,,39-57,,
1:16.0,,,39-59,2,K. Walker makes 2-pt shot at rim (assist by A. Jefferson)
0:57.0,N. Stauskas misses 3-pt shot from 25 ft,,39-59,,
0:56.0,,,39-59,,Defensive rebound by N. Batum
0:49.0,,,39-62,3,K. Walker makes 3-pt shot from 25 ft
0:49.0,Philadelphia full timeout,,39-62,,
0:36.0,Turnover by N. Noel (lost ball; steal by A. Jefferson),,39-62,,
0:25.0,,,39-62,,Offensive foul by M. Williams
0:25.0,,,39-62,,Turnover by M. Williams (offensive foul)
0:06.0,N. Stauskas makes 2-pt shot from 18 ft,2,41-62,,
0:00.0,,,41-62,,K. Walker misses 2-pt shot from 16 ft
0:00.0,,,41-62,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Turnover by R. Covington (turnover),,41-62,,
11:32.0,,,41-62,,N. Batum misses 2-pt shot from 6 ft
11:31.0,Defensive rebound by R. Covington,,41-62,,
11:23.0,R. Covington misses 3-pt shot from 24 ft,,41-62,,
11:22.0,Offensive rebound by J. Okafor,,41-62,,
11:20.0,Turnover by J. Okafor (turnover),,41-62,,
11:02.0,,,41-64,2,K. Walker makes 2-pt shot from 1 ft
11:02.0,Philadelphia full timeout,,41-64,,
10:42.0,J. Grant makes 2-pt shot at rim (assist by R. Covington),2,43-64,,
10:31.0,,,43-64,,Shooting foul by T. McConnell (drawn by K. Walker)
10:31.0,,,43-65,1,K. Walker makes free throw 1 of 2
10:31.0,,,43-66,1,K. Walker makes free throw 2 of 2
10:20.0,R. Covington misses 2-pt shot from 1 ft,,43-66,,
10:18.0,Offensive rebound by T. McConnell,,43-66,,
10:14.0,T. McConnell misses 3-pt shot from 25 ft,,43-66,,
10:13.0,,,43-66,,Defensive rebound by A. Jefferson
10:07.0,,,43-66,,Shooting foul by J. Grant (drawn by N. Batum)
10:07.0,,,43-67,1,N. Batum makes free throw 1 of 3
10:07.0,,,43-68,1,N. Batum makes free throw 2 of 3
10:07.0,N. Noel enters the game for J. Grant,,43-68,,
10:07.0,,,43-69,1,N. Batum makes free throw 3 of 3
9:53.0,N. Stauskas makes 3-pt shot from 25 ft,3,46-69,,
9:33.0,,,46-69,,K. Walker misses 3-pt shot from 25 ft
9:31.0,Defensive rebound by T. McConnell,,46-69,,
9:13.0,N. Noel makes 2-pt shot from 1 ft (assist by T. McConnell),2,48-69,,
9:03.0,,,48-72,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
8:40.0,T. McConnell misses 3-pt shot from 25 ft,,48-72,,
8:38.0,,,48-72,,Defensive rebound by A. Jefferson
8:29.0,,,48-72,,Turnover by N. Batum (turnover)
8:15.0,J. Okafor misses 2-pt shot from 12 ft (block by A. Jefferson),,48-72,,
8:14.0,,,48-72,,Defensive rebound by M. Williams
8:09.0,,,48-72,,Turnover by N. Batum (bad pass; steal by R. Covington)
8:02.0,N. Noel makes 2-pt shot at rim (assist by T. McConnell),2,50-72,,
7:37.0,,,50-72,,K. Walker misses 2-pt shot from 1 ft
7:34.0,Defensive rebound by J. Okafor,,50-72,,
7:26.0,J. Okafor misses 2-pt shot from 2 ft,,50-72,,
7:23.0,Offensive rebound by N. Stauskas,,50-72,,
7:23.0,N. Stauskas makes 3-pt shot from 25 ft,3,53-72,,
7:23.0,,,53-72,,Charlotte full timeout
7:12.0,Personal foul by N. Noel (drawn by J. Lin),,53-72,,
7:04.0,,,53-72,,A. Jefferson misses 2-pt shot from 10 ft
7:03.0,Defensive rebound by J. Okafor,,53-72,,
6:42.0,Jump ball: J. Lin vs. J. Okafor (N. Stauskas gains possession),,,,Jump ball: J. Lin vs. J. Okafor (N. Stauskas gains possession)
6:41.0,N. Stauskas misses 2-pt shot from 22 ft,,53-72,,
6:41.0,Offensive rebound by Team,,53-72,,
6:41.0,Turnover by Team (shot clock),,53-72,,
6:34.0,H. Thompson enters the game for J. Okafor,,53-72,,
6:28.0,,,53-72,,Shooting foul by N. Noel (drawn by J. Lin)
6:28.0,,,53-73,1,J. Lin makes free throw 1 of 2
6:28.0,,,53-74,1,J. Lin makes free throw 2 of 2
6:16.0,N. Stauskas misses 3-pt shot from 27 ft,,53-74,,
6:12.0,Offensive rebound by N. Noel,,53-74,,
6:06.0,N. Stauskas makes 3-pt shot from 25 ft (assist by R. Covington),3,56-74,,
5:59.0,,,56-74,,Offensive foul by A. Jefferson
5:59.0,,,56-74,,Turnover by A. Jefferson (offensive foul)
5:43.0,R. Covington misses 2-pt shot from 8 ft,,56-74,,
5:41.0,,,56-74,,Defensive rebound by M. Williams
5:28.0,,,56-74,,J. Lin misses 3-pt shot from 27 ft
5:27.0,Defensive rebound by T. McConnell,,56-74,,
5:22.0,T. McConnell makes 2-pt shot from 12 ft,2,58-74,,
5:03.0,,,58-76,2,N. Batum makes 2-pt shot from 16 ft
4:39.0,H. Thompson makes 3-pt shot from 24 ft (assist by T. McConnell),3,61-76,,
4:27.0,,,61-78,2,A. Jefferson makes 2-pt shot from 1 ft (assist by N. Batum)
4:10.0,N. Noel makes 2-pt shot from 2 ft (assist by T. McConnell),2,63-78,,
3:49.0,,,63-78,,M. Williams misses 2-pt shot from 22 ft
3:48.0,,,63-78,,Offensive rebound by M. Williams
3:46.0,,,63-78,,M. Williams misses 2-pt shot from 1 ft (block by H. Thompson)
3:46.0,,,63-78,,Offensive rebound by Team
3:46.0,J. Okafor enters the game for T. McConnell,,63-78,,
3:46.0,I. Canaan enters the game for N. Noel,,63-78,,
3:46.0,,,63-78,,J. Lamb enters the game for M. Williams
3:46.0,,,63-78,,S. Hawes enters the game for A. Jefferson
3:46.0,,,63-78,,F. Kaminsky enters the game for J. Lin
3:46.0,J. Sampson enters the game for R. Covington,,63-78,,
3:31.0,,,63-78,,N. Batum misses 2-pt shot from 10 ft
3:29.0,Defensive rebound by I. Canaan,,63-78,,
3:13.0,N. Stauskas misses 3-pt shot from 22 ft,,63-78,,
3:12.0,,,63-78,,Defensive rebound by N. Batum
3:03.0,,,63-78,,K. Walker misses 3-pt shot from 25 ft
3:02.0,Defensive rebound by J. Sampson,,63-78,,
2:40.0,I. Canaan makes 2-pt shot from 2 ft,2,65-78,,
2:25.0,,,65-78,,Turnover by K. Walker (lost ball; steal by I. Canaan)
2:20.0,Philadelphia full timeout,,65-78,,
2:07.0,J. Sampson misses 2-pt shot from 8 ft,,65-78,,
2:06.0,,,65-78,,Defensive rebound by F. Kaminsky
1:51.0,,,65-78,,S. Hawes misses 3-pt shot from 25 ft
1:50.0,Defensive rebound by I. Canaan,,65-78,,
1:36.0,Shooting foul by S. Hawes (drawn by J. Sampson),,65-78,,
1:36.0,J. Sampson makes free throw 1 of 2,1,66-78,,
1:36.0,C. Wood enters the game for N. Stauskas,,66-78,,
1:36.0,J. Sampson makes free throw 2 of 2,1,67-78,,
1:23.0,,,67-81,3,N. Batum makes 3-pt shot from 25 ft (assist by F. Kaminsky)
1:06.0,H. Thompson makes 3-pt shot from 25 ft (assist by J. Sampson),3,70-81,,
0:49.0,,,70-83,2,F. Kaminsky makes 2-pt shot from 2 ft (assist by K. Walker)
0:37.0,C. Wood misses 2-pt shot from 2 ft (block by F. Kaminsky),,70-83,,
0:33.0,,,70-83,,Defensive rebound by J. Lamb
0:29.0,,,70-83,,J. Lamb misses 3-pt shot from 26 ft
0:27.0,,,70-83,,Offensive rebound by N. Batum
0:12.0,,,70-85,2,K. Walker makes 2-pt shot from 10 ft
0:01.0,I. Canaan misses 3-pt shot from 28 ft,,70-85,,
0:00.0,,,70-85,,Defensive rebound by F. Kaminsky
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,70-87,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by S. Hawes)
11:27.0,I. Canaan misses 3-pt shot from 25 ft,,70-87,,
11:26.0,Offensive rebound by J. Okafor,,70-87,,
11:21.0,J. Grant makes 2-pt shot at rim (assist by J. Okafor),2,72-87,,
11:05.0,,,72-87,,J. Lamb misses 2-pt shot from 1 ft (block by R. Covington)
11:05.0,,,72-87,,Offensive rebound by Team
10:56.0,,,72-87,,B. Roberts misses 2-pt shot from 19 ft
10:53.0,Defensive rebound by J. Okafor,,72-87,,
10:40.0,R. Covington makes 2-pt shot from 1 ft (assist by I. Canaan),2,74-87,,
10:40.0,Shooting foul by F. Kaminsky (drawn by R. Covington),,74-87,,
10:40.0,R. Covington makes free throw 1 of 1,1,75-87,,
10:28.0,,,75-87,,J. Lin misses 2-pt shot from 2 ft
10:27.0,Defensive rebound by H. Thompson,,75-87,,
10:25.0,,,75-87,,Personal foul by J. Lamb (drawn by R. Covington)
10:07.0,I. Canaan misses 2-pt shot from 11 ft,,75-87,,
10:06.0,,,75-87,,Defensive rebound by F. Kaminsky
9:51.0,,,75-87,,J. Lin misses 2-pt shot from 2 ft
9:50.0,Defensive rebound by J. Grant,,75-87,,
9:47.0,Turnover by I. Canaan (turnover),,75-87,,
9:32.0,,,75-90,3,F. Kaminsky makes 3-pt shot from 23 ft (assist by J. Lamb)
9:32.0,Philadelphia full timeout,,75-90,,
9:32.0,T. McConnell enters the game for J. Okafor,,75-90,,
9:32.0,N. Noel enters the game for I. Canaan,,75-90,,
9:22.0,,,75-90,,Personal foul by J. Lamb (drawn by J. Grant)
9:06.0,H. Thompson misses 3-pt shot from 25 ft,,75-90,,
9:05.0,,,75-90,,Defensive rebound by S. Hawes
8:54.0,,,75-90,,Offensive foul by J. Lamb
8:54.0,,,75-90,,Turnover by J. Lamb (offensive foul)
8:45.0,Shooting foul by S. Hawes (drawn by N. Noel),,75-90,,
8:45.0,N. Noel misses free throw 1 of 2,,75-90,,
8:45.0,Offensive rebound by Team,,75-90,,
8:45.0,N. Noel makes free throw 2 of 2,1,76-90,,
8:29.0,,,76-90,,S. Hawes misses 2-pt shot from 5 ft
8:27.0,Defensive rebound by N. Noel,,76-90,,
8:19.0,J. Grant misses 2-pt shot from 2 ft (block by F. Kaminsky),,76-90,,
8:16.0,,,76-90,,Defensive rebound by S. Hawes
8:06.0,,,76-93,3,J. Lamb makes 3-pt shot from 25 ft
8:01.0,Shooting foul by F. Kaminsky (drawn by R. Covington),,76-93,,
8:01.0,R. Covington makes free throw 1 of 2,1,77-93,,
8:01.0,R. Covington makes free throw 2 of 2,1,78-93,,
7:45.0,,,78-93,,J. Lamb misses 2-pt shot from 1 ft
7:44.0,Defensive rebound by J. Grant,,78-93,,
7:40.0,T. McConnell misses 2-pt shot at rim (block by J. Lin),,78-93,,
7:40.0,Offensive rebound by Team,,78-93,,
7:40.0,Violation by Team (delay of game),,78-93,,
7:37.0,Turnover by R. Covington (traveling),,78-93,,
7:25.0,,,78-93,,Shooting foul by H. Thompson (drawn by S. Hawes)
7:25.0,,,78-94,1,S. Hawes makes free throw 1 of 2
7:25.0,N. Stauskas enters the game for R. Covington,,78-94,,
7:25.0,,,78-94,,K. Walker enters the game for B. Roberts
7:25.0,,,78-95,1,S. Hawes makes free throw 2 of 2
7:11.0,J. Grant makes 2-pt shot from 1 ft,2,80-95,,
7:04.0,,,80-95,,Offensive foul by S. Hawes
7:04.0,,,80-95,,Turnover by S. Hawes (offensive foul)
7:04.0,,,80-95,,M. Williams enters the game for F. Kaminsky
7:04.0,,,80-95,,A. Jefferson enters the game for S. Hawes
6:43.0,Shooting foul by A. Jefferson (drawn by N. Noel),,80-95,,
6:43.0,N. Noel misses free throw 1 of 2,,80-95,,
6:43.0,Offensive rebound by Team,,80-95,,
6:43.0,N. Noel makes free throw 2 of 2,1,81-95,,
6:32.0,,,81-95,,K. Walker misses 3-pt shot from 24 ft
6:30.0,Defensive rebound by N. Noel,,81-95,,
6:11.0,N. Stauskas makes 2-pt shot from 22 ft (assist by T. McConnell),2,83-95,,
5:57.0,,,83-97,2,M. Williams makes 2-pt shot from 7 ft (assist by K. Walker)
5:57.0,,,83-97,,Shooting foul by T. McConnell (drawn by M. Williams)
5:57.0,Official timeout,,83-97,,
5:57.0,I. Canaan enters the game for H. Thompson,,83-97,,
5:57.0,,,83-97,,N. Batum enters the game for J. Lin
5:57.0,,,83-98,1,M. Williams makes free throw 1 of 1
5:50.0,,,83-98,,Personal foul by N. Batum (drawn by N. Stauskas)
5:50.0,N. Stauskas makes free throw 1 of 2,1,84-98,,
5:50.0,J. Okafor enters the game for J. Grant,,84-98,,
5:50.0,N. Stauskas makes free throw 2 of 2,1,85-98,,
5:35.0,,,85-100,2,A. Jefferson makes 2-pt shot from 8 ft
5:08.0,J. Okafor misses 2-pt shot from 14 ft,,85-100,,
5:07.0,,,85-100,,Defensive rebound by A. Jefferson
4:55.0,,,85-100,,A. Jefferson misses 2-pt shot from 12 ft
4:54.0,Defensive rebound by T. McConnell,,85-100,,
4:36.0,Turnover by N. Noel (bad pass; steal by M. Williams),,85-100,,
4:15.0,,,85-102,2,A. Jefferson makes 2-pt shot from 1 ft
4:15.0,Philadelphia full timeout,,85-102,,
4:15.0,H. Thompson enters the game for T. McConnell,,85-102,,
4:15.0,R. Covington enters the game for N. Noel,,85-102,,
4:01.0,Shooting foul by A. Jefferson (drawn by R. Covington),,85-102,,
4:01.0,R. Covington makes free throw 1 of 2,1,86-102,,
4:01.0,R. Covington makes free throw 2 of 2,1,87-102,,
3:38.0,,,87-104,2,A. Jefferson makes 2-pt shot from 6 ft
3:24.0,Shooting foul by A. Jefferson (drawn by J. Okafor),,87-104,,
3:24.0,J. Okafor makes free throw 1 of 2,1,88-104,,
3:24.0,J. Okafor misses free throw 2 of 2,,88-104,,
3:22.0,,,88-104,,Defensive rebound by M. Williams
3:06.0,,,88-104,,Turnover by N. Batum (bad pass; steal by H. Thompson)
2:55.0,R. Covington misses 3-pt shot from 25 ft,,88-104,,
2:53.0,,,88-104,,Defensive rebound by K. Walker
2:38.0,,,88-104,,A. Jefferson misses 2-pt shot from 15 ft
2:37.0,Defensive rebound by R. Covington,,88-104,,
2:34.0,Turnover by R. Covington (bad pass; steal by K. Walker),,88-104,,
