time,Indiana,pts.away,score,pts.home,Detroit
1:21.0,Defensive rebound by R. Stuckey,,22-28,,
1:03.0,R. Stuckey misses 2-pt shot from 18 ft,,22-28,,
1:02.0,,,22-28,,Defensive rebound by A. Drummond
0:55.0,,,22-28,,Turnover by S. Blake (bad pass; steal by M. Turner)
0:51.0,Offensive charge foul by M. Ellis,,22-28,,
0:51.0,Turnover by M. Ellis (offensive foul),,22-28,,
0:33.0,,,22-30,2,A. Drummond makes 2-pt shot at rim (assist by S. Blake)
0:14.0,Shooting foul by S. Johnson (drawn by P. George),,22-30,,
0:14.0,P. George makes free throw 1 of 2,1,23-30,,
0:14.0,P. George makes free throw 2 of 2,1,24-30,,
0:02.0,,,24-30,,S. Blake misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by M. Turner,,24-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,24-30,,Personal foul by S. Blake (drawn by G. Hill)
11:36.0,G. Hill makes 2-pt shot from 20 ft (assist by L. Allen),2,26-30,,
11:21.0,,,26-30,,K. Caldwell-Pope misses 2-pt shot from 5 ft (block by M. Turner)
11:21.0,,,26-30,,Offensive rebound by Team
11:18.0,,,26-30,,K. Caldwell-Pope misses 2-pt shot from 17 ft
11:17.0,Defensive rebound by G. Hill,,26-30,,
11:07.0,M. Turner makes 2-pt shot from 20 ft (assist by G. Hill),2,28-30,,
10:54.0,Personal foul by C. Budinger (drawn by S. Blake),,28-30,,
10:54.0,,,28-30,,R. Bullock enters the game for K. Caldwell-Pope
10:40.0,,,28-30,,R. Bullock misses 3-pt shot from 24 ft
10:40.0,Defensive rebound by R. Stuckey,,28-30,,
10:29.0,L. Allen misses 2-pt shot from 6 ft,,28-30,,
10:26.0,,,28-30,,Defensive rebound by S. Johnson
10:19.0,,,28-30,,S. Johnson misses 2-pt shot from 1 ft
10:18.0,Defensive rebound by G. Hill,,28-30,,
10:15.0,G. Hill misses 2-pt shot from 6 ft (block by S. Blake),,28-30,,
10:15.0,Offensive rebound by Team,,28-30,,
9:59.0,R. Stuckey makes 2-pt shot from 1 ft,2,30-30,,
9:38.0,,,30-30,,R. Bullock misses 2-pt shot from 16 ft
9:37.0,Defensive rebound by M. Turner,,30-30,,
9:24.0,M. Turner makes 2-pt shot from 20 ft (assist by G. Hill),2,32-30,,
9:10.0,J. Hill enters the game for M. Turner,,32-30,,
9:10.0,Jump ball: C. Budinger vs. A. Tolliver,,,,Jump ball: C. Budinger vs. A. Tolliver
9:10.0,,,32-30,,Turnover by A. Tolliver (lost ball)
8:51.0,R. Stuckey makes 2-pt shot from 17 ft,2,34-30,,
8:51.0,,,34-30,,Detroit full timeout
8:37.0,,,34-30,,A. Baynes misses 2-pt shot from 6 ft
8:37.0,Defensive rebound by Team,,34-30,,
8:37.0,,,34-30,,Loose ball foul by S. Johnson (drawn by R. Stuckey)
8:27.0,Shooting foul by S. Blake (drawn by R. Stuckey),,34-30,,
8:27.0,R. Stuckey makes free throw 1 of 2,1,35-30,,
8:27.0,,,35-30,,M. Morris enters the game for S. Johnson
8:27.0,R. Stuckey makes free throw 2 of 2,1,36-30,,
8:17.0,,,36-30,,Turnover by S. Blake (bad pass; steal by G. Hill)
7:59.0,L. Allen makes 2-pt shot from 17 ft (assist by R. Stuckey),2,38-30,,
7:44.0,,,38-30,,M. Morris misses 2-pt shot from 13 ft
7:44.0,Defensive rebound by L. Allen,,38-30,,
7:36.0,G. Hill makes 3-pt shot from 24 ft,3,41-30,,
7:24.0,,,41-30,,Turnover by S. Blake (bad pass; steal by G. Hill)
7:13.0,G. Hill makes 3-pt shot from 25 ft (assist by R. Stuckey),3,44-30,,
7:13.0,,,44-30,,Detroit full timeout
7:13.0,,,44-30,,A. Drummond enters the game for S. Blake
7:13.0,,,44-30,,K. Caldwell-Pope enters the game for A. Baynes
7:13.0,,,44-30,,R. Jackson enters the game for R. Bullock
7:00.0,,,44-30,,R. Jackson misses 2-pt shot at rim
6:58.0,,,44-30,,Offensive rebound by A. Drummond
6:55.0,,,44-32,2,A. Drummond makes 2-pt shot at rim
6:42.0,R. Stuckey misses 2-pt shot from 19 ft,,44-32,,
6:42.0,,,44-32,,Defensive rebound by A. Drummond
6:24.0,,,44-34,2,K. Caldwell-Pope makes 2-pt shot at rim
6:08.0,R. Stuckey makes 2-pt shot from 16 ft,2,46-34,,
5:46.0,,,46-36,2,R. Jackson makes 2-pt shot from 17 ft
5:29.0,G. Hill misses 3-pt shot from 26 ft,,46-36,,
5:28.0,,,46-36,,Defensive rebound by A. Drummond
5:11.0,,,46-36,,R. Jackson misses 2-pt shot at rim
5:08.0,Defensive rebound by J. Hill,,46-36,,
5:07.0,,,46-36,,Violation by A. Tolliver (kicked ball)
5:07.0,P. George enters the game for C. Budinger,,46-36,,
5:01.0,Turnover by P. George (bad pass; steal by M. Morris),,46-36,,
5:00.0,Personal foul by P. George (drawn by A. Drummond),,46-36,,
4:49.0,,,46-36,,Turnover by R. Jackson (lost ball; steal by L. Allen)
4:44.0,,,46-36,,Personal foul by R. Jackson (drawn by R. Stuckey)
4:44.0,,,46-36,,E. Ilyasova enters the game for A. Tolliver
4:31.0,Turnover by R. Stuckey (bad pass),,46-36,,
4:10.0,,,46-36,,M. Morris misses 2-pt shot from 5 ft
4:10.0,,,46-36,,Offensive rebound by Team
4:10.0,Loose ball foul by J. Hill (drawn by A. Drummond),,46-36,,
4:00.0,,,46-36,,K. Caldwell-Pope misses 3-pt shot from 24 ft
4:00.0,Defensive rebound by L. Allen,,46-36,,
3:47.0,L. Allen makes 2-pt shot from 19 ft (assist by P. George),2,48-36,,
3:29.0,,,48-36,,M. Morris misses 3-pt shot from 23 ft
3:28.0,Defensive rebound by J. Hill,,48-36,,
3:20.0,J. Hill misses 2-pt shot from 19 ft,,48-36,,
3:19.0,Offensive rebound by L. Allen,,48-36,,
3:17.0,P. George misses 2-pt shot from 5 ft,,48-36,,
3:14.0,Offensive rebound by P. George,,48-36,,
3:13.0,P. George misses 2-pt shot from 1 ft,,48-36,,
3:12.0,Offensive rebound by J. Hill,,48-36,,
3:10.0,J. Hill misses 2-pt shot at rim (block by M. Morris),,48-36,,
3:09.0,,,48-36,,Defensive rebound by M. Morris
3:06.0,,,48-36,,E. Ilyasova misses 3-pt shot from 26 ft
3:05.0,,,48-36,,Offensive rebound by M. Morris
3:04.0,,,48-36,,Shooting foul by R. Stuckey (drawn by M. Morris)
3:04.0,,,48-37,1,M. Morris makes free throw 1 of 2
3:04.0,M. Ellis enters the game for R. Stuckey,,48-37,,
3:04.0,,,48-38,1,M. Morris makes free throw 2 of 2
2:37.0,M. Ellis misses 3-pt shot from 26 ft,,48-38,,
2:36.0,,,48-38,,Defensive rebound by K. Caldwell-Pope
2:25.0,,,48-41,3,R. Jackson makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope)
2:03.0,P. George makes 2-pt shot from 16 ft (assist by G. Hill),2,50-41,,
1:48.0,,,50-43,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
1:48.0,Indiana full timeout,,50-43,,
1:48.0,Official timeout,,50-43,,
1:48.0,C. Miles enters the game for L. Allen,,50-43,,
1:36.0,M. Ellis makes 2-pt shot at rim (assist by J. Hill),2,52-43,,
1:20.0,,,52-43,,R. Jackson misses 2-pt shot from 19 ft
1:20.0,,,52-43,,Offensive rebound by M. Morris
1:12.0,,,52-45,2,M. Morris makes 2-pt shot from 16 ft
0:59.0,,,52-45,,Personal foul by R. Jackson (drawn by P. George)
0:59.0,,,52-45,,Violation by Team (delay of game)
0:59.0,P. George makes free throw 1 of 2,1,53-45,,
0:59.0,P. George makes free throw 2 of 2,1,54-45,,
0:48.0,,,54-45,,Turnover by R. Jackson (bad pass; steal by J. Hill)
0:39.0,C. Miles makes 3-pt shot from 25 ft (assist by P. George),3,57-45,,
0:28.0,,,57-47,2,R. Jackson makes 2-pt shot at rim
0:02.0,C. Miles misses 2-pt shot from 16 ft,,57-47,,
0:02.0,Offensive rebound by J. Hill,,57-47,,
0:01.0,J. Hill makes 2-pt shot from 6 ft,2,59-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,M. Ellis makes 2-pt shot from 18 ft,2,61-47,,
11:34.0,,,61-47,,Turnover by R. Jackson (offensive foul)
11:34.0,,,61-47,,Offensive foul by R. Jackson
11:18.0,J. Hill makes 2-pt shot from 17 ft (assist by M. Ellis),2,63-47,,
10:58.0,,,63-49,2,E. Ilyasova makes 2-pt shot from 21 ft (assist by K. Caldwell-Pope)
10:50.0,,,63-49,,Personal foul by K. Caldwell-Pope (drawn by M. Ellis)
10:39.0,J. Hill makes 2-pt shot from 19 ft (assist by M. Ellis),2,65-49,,
10:24.0,,,65-49,,Shooting foul by M. Ellis (drawn by K. Caldwell-Pope)
10:24.0,,,65-50,1,K. Caldwell-Pope makes free throw 1 of 2
10:24.0,,,65-50,,K. Caldwell-Pope misses free throw 2 of 2
10:23.0,,,65-50,,Offensive rebound by E. Ilyasova
10:22.0,,,65-50,,E. Ilyasova misses 2-pt shot at rim
10:21.0,Defensive rebound by M. Ellis,,65-50,,
10:09.0,M. Ellis misses 2-pt shot from 16 ft,,65-50,,
10:08.0,Offensive rebound by J. Hill,,65-50,,
10:07.0,J. Hill makes 2-pt shot at rim,2,67-50,,
9:56.0,,,67-50,,Turnover by A. Drummond (offensive goaltending)
9:43.0,Offensive foul by J. Hill,,67-50,,
9:43.0,Turnover by J. Hill (offensive foul),,67-50,,
9:27.0,,,67-53,3,R. Jackson makes 3-pt shot from 25 ft
9:18.0,C. Miles makes 3-pt shot from 25 ft (assist by P. George),3,70-53,,
9:12.0,,,70-53,,Detroit full timeout
8:56.0,,,70-53,,Offensive foul by M. Morris
8:56.0,,,70-53,,Turnover by M. Morris (offensive foul)
8:49.0,Offensive foul by C. Miles,,70-53,,
8:49.0,Turnover by C. Miles (offensive foul),,70-53,,
8:30.0,,,70-55,2,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope)
8:10.0,P. George misses 3-pt shot from 25 ft,,70-55,,
8:09.0,,,70-55,,Defensive rebound by M. Morris
7:59.0,,,70-55,,Violation by Team (jump ball)
7:59.0,,,70-55,,Turnover by A. Drummond (jump ball violation.)
7:59.0,Jump ball: P. George vs. R. Jackson,,,,Jump ball: P. George vs. R. Jackson
7:45.0,M. Ellis misses 2-pt shot from 15 ft,,70-55,,
7:45.0,,,70-55,,Defensive rebound by Team
7:34.0,,,70-55,,M. Morris misses 3-pt shot from 25 ft
7:33.0,Defensive rebound by P. George,,70-55,,
7:25.0,Turnover by C. Miles (lost ball; steal by A. Drummond),,70-55,,
7:15.0,,,70-58,3,M. Morris makes 3-pt shot from 23 ft (assist by R. Jackson)
7:15.0,Indiana full timeout,,70-58,,
6:56.0,P. George makes 2-pt shot at rim,2,72-58,,
6:37.0,,,72-58,,A. Drummond misses 2-pt shot from 1 ft
6:36.0,Defensive rebound by P. George,,72-58,,
6:32.0,P. George misses 3-pt shot from 25 ft,,72-58,,
6:32.0,,,72-58,,Defensive rebound by Team
6:19.0,,,72-58,,K. Caldwell-Pope misses 2-pt shot from 18 ft
6:18.0,Defensive rebound by P. George,,72-58,,
5:53.0,C. Miles misses 3-pt shot from 25 ft,,72-58,,
5:53.0,,,72-58,,Defensive rebound by K. Caldwell-Pope
5:44.0,,,72-58,,E. Ilyasova misses 2-pt shot at rim
5:43.0,,,72-58,,Offensive rebound by A. Drummond
5:39.0,,,72-60,2,A. Drummond makes 2-pt shot at rim
5:25.0,J. Hill misses 2-pt shot from 13 ft,,72-60,,
5:25.0,,,72-60,,Defensive rebound by K. Caldwell-Pope
5:16.0,,,72-60,,Turnover by R. Jackson (bad pass; steal by C. Miles)
5:08.0,P. George makes 3-pt shot from 24 ft (assist by C. Miles),3,75-60,,
4:56.0,,,75-60,,Shooting foul by J. Hill (drawn by K. Caldwell-Pope)
4:56.0,,,75-61,1,K. Caldwell-Pope makes free throw 1 of 2
4:56.0,R. Stuckey enters the game for G. Hill,,75-61,,
4:56.0,,,75-62,1,K. Caldwell-Pope makes free throw 2 of 2
4:42.0,J. Hill makes 2-pt shot from 1 ft (assist by M. Ellis),2,77-62,,
4:36.0,,,77-62,,Turnover by A. Drummond (lost ball; steal by M. Ellis)
4:27.0,R. Stuckey misses 3-pt shot from 23 ft,,77-62,,
4:26.0,Offensive rebound by C. Miles,,77-62,,
4:19.0,M. Ellis makes 2-pt shot at rim,2,79-62,,
4:11.0,,,79-62,,R. Jackson misses 2-pt shot from 16 ft
4:09.0,Defensive rebound by C. Miles,,79-62,,
3:54.0,P. George misses 2-pt shot from 2 ft (block by M. Morris),,79-62,,
3:53.0,,,79-62,,Defensive rebound by A. Drummond
3:48.0,,,79-64,2,M. Morris makes 2-pt shot at rim (assist by R. Jackson)
3:41.0,Indiana full timeout,,79-64,,
3:41.0,,,79-64,,S. Dinwiddie enters the game for R. Jackson
3:41.0,L. Allen enters the game for J. Hill,,79-64,,
3:29.0,R. Stuckey makes 2-pt shot from 18 ft,2,81-64,,
3:29.0,Shooting foul by S. Dinwiddie (drawn by R. Stuckey),,81-64,,
3:29.0,R. Stuckey makes free throw 1 of 1,1,82-64,,
3:14.0,,,82-64,,Turnover by S. Dinwiddie (bad pass; steal by P. George)
3:03.0,L. Allen misses 2-pt shot from 4 ft,,82-64,,
3:03.0,Offensive rebound by L. Allen,,82-64,,
2:51.0,L. Allen misses 2-pt shot from 13 ft,,82-64,,
2:51.0,,,82-64,,Defensive rebound by M. Morris
2:33.0,,,82-64,,K. Caldwell-Pope misses 2-pt shot from 11 ft
2:33.0,,,82-64,,Offensive rebound by A. Drummond
2:33.0,,,82-64,,Shooting foul by L. Allen (drawn by A. Drummond)
2:33.0,,,82-65,1,A. Drummond makes free throw 1 of 2
2:33.0,,,82-65,,S. Johnson enters the game for K. Caldwell-Pope
2:33.0,,,82-65,,A. Tolliver enters the game for E. Ilyasova
2:33.0,,,82-65,,A. Drummond misses free throw 2 of 2
2:32.0,Defensive rebound by L. Allen,,82-65,,
2:13.0,Turnover by L. Allen (lost ball; steal by A. Drummond),,82-65,,
2:07.0,,,82-65,,Turnover by S. Dinwiddie (bad pass; steal by P. George)
2:04.0,Shooting foul by S. Dinwiddie (drawn by R. Stuckey),,82-65,,
2:04.0,R. Stuckey makes 2-pt shot at rim (assist by P. George),2,84-65,,
2:04.0,R. Stuckey makes free throw 1 of 1,1,85-65,,
1:43.0,,,85-65,,M. Morris misses 3-pt shot from 23 ft
1:43.0,Defensive rebound by P. George,,85-65,,
1:35.0,Turnover by P. George (lost ball; steal by M. Morris),,85-65,,
1:27.0,,,85-67,2,A. Drummond makes 2-pt shot from 4 ft (assist by S. Johnson)
1:12.0,M. Ellis misses 2-pt shot from 17 ft,,85-67,,
1:12.0,,,85-67,,Defensive rebound by Team
0:51.0,,,85-67,,A. Tolliver misses 3-pt shot from 26 ft
0:50.0,Defensive rebound by P. George,,85-67,,
0:35.0,P. George misses 2-pt shot from 5 ft (block by A. Drummond),,85-67,,
0:34.0,,,85-67,,Defensive rebound by A. Drummond
0:30.0,,,85-67,,Shooting foul by M. Ellis (drawn by S. Dinwiddie)
0:30.0,,,85-67,,S. Dinwiddie misses free throw 1 of 2
0:30.0,,,85-67,,Offensive rebound by Team
0:30.0,,,85-67,,S. Dinwiddie misses free throw 2 of 2
0:29.0,Defensive rebound by R. Stuckey,,85-67,,
0:29.0,,,85-67,,Personal foul by A. Drummond (drawn by R. Stuckey)
0:07.0,R. Stuckey misses 2-pt shot from 17 ft,,85-67,,
0:05.0,,,85-67,,Defensive rebound by A. Tolliver
0:02.0,,,85-67,,M. Morris misses 3-pt shot from 29 ft
0:01.0,,,85-67,,Offensive rebound by A. Drummond
0:01.0,,,85-67,,A. Drummond misses 2-pt shot at rim
0:00.0,,,85-67,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,85-67,,S. Johnson misses 2-pt shot from 20 ft
11:42.0,,,85-67,,Offensive rebound by A. Drummond
11:26.0,,,85-69,2,A. Drummond makes 2-pt shot at rim (assist by S. Johnson)
11:09.0,L. Allen misses 2-pt shot from 7 ft,,85-69,,
11:07.0,,,85-69,,Defensive rebound by S. Dinwiddie
11:04.0,Personal foul by M. Turner (drawn by S. Dinwiddie),,85-69,,
10:55.0,,,85-69,,A. Drummond misses 2-pt shot from 6 ft
10:53.0,Defensive rebound by R. Stuckey,,85-69,,
10:48.0,,,85-69,,Personal foul by A. Tolliver (drawn by R. Stuckey)
10:47.0,,,85-69,,Personal foul by S. Johnson (drawn by R. Stuckey)
10:30.0,R. Stuckey makes 2-pt shot from 16 ft,2,87-69,,
10:15.0,,,87-71,2,S. Dinwiddie makes 2-pt shot at rim
10:01.0,G. Hill misses 2-pt shot from 16 ft,,87-71,,
10:01.0,Offensive rebound by L. Allen,,87-71,,
9:58.0,Turnover by L. Allen (bad pass; steal by K. Caldwell-Pope),,87-71,,
9:56.0,,,87-73,2,K. Caldwell-Pope makes 2-pt shot at rim
9:56.0,,,87-73,,Shooting foul by M. Turner (drawn by K. Caldwell-Pope)
9:56.0,,,87-74,1,K. Caldwell-Pope makes free throw 1 of 1
9:41.0,M. Turner misses 2-pt shot from 14 ft,,87-74,,
9:40.0,,,87-74,,Defensive rebound by S. Johnson
9:36.0,,,87-74,,Offensive charge foul by S. Johnson
9:36.0,,,87-74,,Turnover by S. Johnson (offensive foul)
9:21.0,,,87-74,,Personal foul by S. Dinwiddie (drawn by G. Hill)
9:16.0,Turnover by R. Stuckey (bad pass; steal by A. Drummond),,87-74,,
9:13.0,Flagrant foul type 1 by R. Stuckey (drawn by S. Johnson),,87-74,,
9:13.0,,,87-74,,S. Johnson misses flagrant free throw 1 of 2
9:13.0,,,87-74,,Offensive rebound by Team
9:13.0,,,87-74,,S. Johnson misses flagrant free throw 2 of 2
9:13.0,,,87-74,,Offensive rebound by Team
9:00.0,,,87-74,,A. Tolliver misses 3-pt shot from 25 ft
9:00.0,Defensive rebound by C. Budinger,,87-74,,
8:51.0,R. Stuckey makes 2-pt shot from 7 ft,2,89-74,,
8:37.0,,,89-74,,S. Johnson misses 2-pt shot at rim
8:37.0,,,89-74,,Offensive rebound by S. Johnson
8:37.0,,,89-74,,S. Johnson misses 2-pt shot at rim (block by L. Allen)
8:37.0,,,89-74,,Offensive rebound by Team
8:37.0,,,89-74,,R. Jackson enters the game for S. Dinwiddie
8:37.0,Official timeout,,89-74,,
8:25.0,,,89-74,,Shooting foul by M. Turner (drawn by R. Jackson)
8:25.0,,,89-75,1,R. Jackson makes free throw 1 of 2
8:25.0,,,89-75,,M. Morris enters the game for A. Tolliver
8:25.0,,,89-75,,E. Ilyasova enters the game for S. Johnson
8:25.0,P. George enters the game for C. Budinger,,89-75,,
8:25.0,,,89-76,1,R. Jackson makes free throw 2 of 2
8:05.0,R. Stuckey misses 2-pt shot from 16 ft,,89-76,,
8:02.0,,,89-76,,Defensive rebound by A. Drummond
7:56.0,,,89-76,,K. Caldwell-Pope misses 3-pt shot from 24 ft
7:56.0,,,89-76,,Offensive rebound by E. Ilyasova
7:51.0,,,89-76,,E. Ilyasova misses 2-pt shot from 1 ft
7:50.0,,,89-76,,Offensive rebound by A. Drummond
7:47.0,,,89-76,,A. Drummond misses 2-pt shot at rim
7:44.0,,,89-76,,Offensive rebound by A. Drummond
7:40.0,,,89-78,2,A. Drummond makes 2-pt shot from 1 ft
7:27.0,R. Stuckey makes 2-pt shot from 6 ft (assist by L. Allen),2,91-78,,
7:04.0,,,91-78,,K. Caldwell-Pope misses 2-pt shot from 2 ft (block by M. Turner)
7:02.0,Defensive rebound by M. Turner,,91-78,,
6:53.0,G. Hill misses 3-pt shot from 26 ft,,91-78,,
6:53.0,,,91-78,,Defensive rebound by A. Drummond
6:46.0,,,91-78,,R. Jackson misses 3-pt shot from 26 ft
6:45.0,Defensive rebound by M. Turner,,91-78,,
6:31.0,L. Allen misses 2-pt shot from 17 ft,,91-78,,
6:30.0,,,91-78,,Defensive rebound by A. Drummond
6:21.0,,,91-78,,R. Jackson misses 2-pt shot from 4 ft
6:21.0,Defensive rebound by Team,,91-78,,
6:21.0,,,91-78,,Loose ball foul by A. Drummond (drawn by G. Hill)
6:21.0,M. Ellis enters the game for G. Hill,,91-78,,
6:09.0,Turnover by M. Ellis (bad pass),,91-78,,
6:00.0,,,91-78,,R. Jackson misses 2-pt shot at rim (block by M. Turner)
5:58.0,,,91-78,,Offensive rebound by A. Drummond
5:54.0,,,91-78,,Turnover by M. Morris (bad pass; steal by R. Stuckey)
5:52.0,Shooting foul by K. Caldwell-Pope (drawn by R. Stuckey),,91-78,,
5:52.0,,,91-78,,Detroit full timeout
5:52.0,J. Hill enters the game for M. Turner,,91-78,,
5:52.0,C. Miles enters the game for L. Allen,,91-78,,
5:52.0,R. Stuckey misses free throw 1 of 2,,91-78,,
5:52.0,Offensive rebound by Team,,91-78,,
5:52.0,R. Stuckey makes free throw 2 of 2,1,92-78,,
5:39.0,,,92-78,,K. Caldwell-Pope misses 3-pt shot from 26 ft
5:39.0,Defensive rebound by P. George,,92-78,,
5:16.0,C. Miles misses 2-pt shot from 18 ft,,92-78,,
5:15.0,,,92-78,,Defensive rebound by A. Drummond
5:02.0,,,92-80,2,K. Caldwell-Pope makes 2-pt shot at rim
4:34.0,R. Stuckey makes 2-pt shot from 21 ft (assist by P. George),2,94-80,,
4:16.0,,,94-82,2,K. Caldwell-Pope makes 2-pt shot from 17 ft
3:51.0,M. Ellis misses 2-pt shot from 15 ft,,94-82,,
3:50.0,,,94-82,,Defensive rebound by A. Drummond
3:40.0,,,94-82,,E. Ilyasova misses 3-pt shot from 25 ft
3:40.0,Defensive rebound by P. George,,94-82,,
