time,Minnesota,pts.away,score,pts.home,Denver
1:01.0,K. Martin misses technical free throw,,24-16,,
1:01.0,Offensive rebound by Team,,24-16,,
0:56.0,K. Martin misses 2-pt shot at rim (block by W. Barton),,24-16,,
0:54.0,,,24-16,,Defensive rebound by D. Arthur
0:46.0,,,24-16,,R. Foye misses 3-pt shot from 27 ft
0:45.0,Defensive rebound by N. Bjelica,,24-16,,
0:33.0,Z. LaVine misses 3-pt shot from 25 ft,,24-16,,
0:32.0,,,24-16,,Defensive rebound by D. Arthur
0:14.0,,,24-16,,J. Nelson misses 2-pt shot from 3 ft
0:13.0,,,24-16,,Offensive rebound by D. Arthur
0:12.0,,,24-16,,Turnover by D. Arthur (bad pass)
0:01.0,Z. LaVine makes 2-pt shot from 15 ft,2,26-16,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,K. Martin makes 3-pt shot from 24 ft (assist by Z. LaVine),3,29-16,,
11:24.0,,,29-16,,D. Gallinari misses 3-pt shot from 26 ft
11:23.0,Defensive rebound by G. Dieng,,29-16,,
11:06.0,Turnover by K. Martin (lost ball; steal by J. Nelson),,29-16,,
11:03.0,,,29-16,,Shooting foul by S. Muhammad (drawn by W. Barton)
11:03.0,,,29-17,1,W. Barton makes free throw 1 of 2
11:03.0,,,29-17,,N. Jokic enters the game for D. Gallinari
11:03.0,,,29-18,1,W. Barton makes free throw 2 of 2
10:48.0,Z. LaVine makes 2-pt shot from 3 ft,2,31-18,,
10:35.0,,,31-18,,Turnover by N. Jokic (lost ball; steal by K. Martin)
10:23.0,S. Muhammad misses 3-pt shot from 23 ft,,31-18,,
10:22.0,,,31-18,,Defensive rebound by D. Arthur
10:08.0,,,31-21,3,D. Arthur makes 3-pt shot from 27 ft (assist by J. Nelson)
9:35.0,G. Dieng misses 2-pt shot from 21 ft,,31-21,,
9:34.0,,,31-21,,Defensive rebound by N. Jokic
9:26.0,,,31-21,,J. Nelson misses 2-pt shot from 6 ft
9:25.0,Defensive rebound by N. Bjelica,,31-21,,
9:12.0,Turnover by Z. LaVine (bad pass),,31-21,,
9:12.0,,,31-21,,E. Mudiay enters the game for R. Foye
9:03.0,,,31-21,,Turnover by E. Mudiay (traveling)
9:03.0,Minnesota full timeout,,31-21,,
9:03.0,K. Towns enters the game for G. Dieng,,31-21,,
8:52.0,S. Muhammad misses 2-pt shot from 7 ft,,31-21,,
8:52.0,,,31-21,,Defensive rebound by N. Jokic
8:45.0,,,31-21,,Shooting foul by Z. LaVine (drawn by E. Mudiay)
8:45.0,,,31-21,,E. Mudiay misses free throw 1 of 2
8:45.0,,,31-21,,Offensive rebound by Team
8:45.0,,,31-22,1,E. Mudiay makes free throw 2 of 2
8:34.0,,,31-22,,Personal foul by N. Jokic (drawn by Z. LaVine)
8:34.0,A. Wiggins enters the game for S. Muhammad,,31-22,,
8:24.0,Shooting foul by W. Barton (drawn by A. Wiggins),,31-22,,
8:24.0,A. Wiggins misses free throw 1 of 2,,31-22,,
8:24.0,Offensive rebound by Team,,31-22,,
8:24.0,A. Wiggins misses free throw 2 of 2,,31-22,,
8:23.0,,,31-22,,Defensive rebound by D. Arthur
8:07.0,,,31-25,3,E. Mudiay makes 3-pt shot from 25 ft
7:46.0,K. Towns makes 2-pt shot from 1 ft,2,33-25,,
7:31.0,,,33-27,2,N. Jokic makes 2-pt shot from 6 ft
7:18.0,,,33-27,,Shooting block foul by D. Arthur (drawn by N. Bjelica)
7:18.0,N. Bjelica misses free throw 1 of 3,,33-27,,
7:18.0,Offensive rebound by Team,,33-27,,
7:18.0,N. Bjelica misses free throw 2 of 3,,33-27,,
7:18.0,Offensive rebound by Team,,33-27,,
7:18.0,,,33-27,,K. Faried enters the game for D. Arthur
7:18.0,,,33-27,,D. Gallinari enters the game for W. Barton
7:18.0,T. Prince enters the game for K. Martin,,33-27,,
7:18.0,N. Bjelica misses free throw 3 of 3,,33-27,,
7:18.0,,,33-27,,Defensive rebound by K. Faried
7:07.0,,,33-27,,K. Faried misses 2-pt shot from 6 ft
7:05.0,,,33-27,,Offensive rebound by K. Faried
7:02.0,,,33-27,,Turnover by K. Faried (lost ball; steal by T. Prince)
6:46.0,Z. LaVine misses 2-pt shot from 2 ft,,33-27,,
6:45.0,Offensive rebound by K. Towns,,33-27,,
6:43.0,K. Towns misses 2-pt shot from 5 ft,,33-27,,
6:42.0,Offensive rebound by K. Towns,,33-27,,
6:41.0,Turnover by Z. LaVine (3 sec),,33-27,,
6:27.0,,,33-27,,N. Jokic misses 2-pt shot from 2 ft
6:26.0,Defensive rebound by K. Towns,,33-27,,
6:21.0,,,33-27,,Personal foul by K. Faried (drawn by A. Wiggins)
6:21.0,R. Rubio enters the game for Z. LaVine,,33-27,,
6:21.0,,,33-27,,J. Lauvergne enters the game for N. Jokic
6:07.0,A. Wiggins misses 2-pt shot from 5 ft,,33-27,,
6:05.0,,,33-27,,Defensive rebound by J. Lauvergne
6:02.0,,,33-27,,Shooting foul by N. Bjelica (drawn by K. Faried)
6:02.0,,,33-27,,K. Faried misses free throw 1 of 2
6:02.0,,,33-27,,Offensive rebound by Team
6:02.0,K. Garnett enters the game for N. Bjelica,,33-27,,
6:02.0,,,33-28,1,K. Faried makes free throw 2 of 2
5:48.0,K. Towns misses 2-pt shot from 17 ft,,33-28,,
5:47.0,Offensive rebound by R. Rubio,,33-28,,
5:43.0,K. Towns misses 2-pt shot from 5 ft (block by E. Mudiay),,33-28,,
5:42.0,,,33-28,,Defensive rebound by Team
5:42.0,Official timeout,,33-28,,
5:27.0,,,33-28,,D. Gallinari misses 2-pt shot from 21 ft
5:26.0,Defensive rebound by K. Towns,,33-28,,
5:26.0,Jump ball: K. Faried vs. K. Towns (K. Garnett gains possession),,,,Jump ball: K. Faried vs. K. Towns (K. Garnett gains possession)
5:10.0,K. Towns misses 2-pt shot from 20 ft,,33-28,,
5:09.0,,,33-28,,Defensive rebound by K. Faried
5:02.0,,,33-28,,E. Mudiay misses 2-pt shot from 19 ft
5:01.0,Defensive rebound by K. Towns,,33-28,,
4:57.0,,,33-28,,Shooting block foul by D. Gallinari (drawn by K. Towns)
4:57.0,K. Towns makes free throw 1 of 2,1,34-28,,
4:57.0,K. Towns makes free throw 2 of 2,1,35-28,,
4:33.0,,,35-28,,J. Nelson misses 3-pt shot from 26 ft
4:32.0,,,35-28,,Offensive rebound by K. Faried
4:26.0,,,35-28,,Shooting foul by K. Garnett (drawn by D. Gallinari)
4:26.0,,,35-29,1,D. Gallinari makes free throw 1 of 2
4:26.0,,,35-30,1,D. Gallinari makes free throw 2 of 2
4:09.0,A. Wiggins misses 2-pt shot from 2 ft (block by E. Mudiay),,35-30,,
4:08.0,,,35-30,,Defensive rebound by E. Mudiay
4:02.0,,,35-32,2,E. Mudiay makes 2-pt shot from 1 ft (assist by J. Lauvergne)
3:46.0,A. Wiggins misses 2-pt shot at rim,,35-32,,
3:46.0,Offensive rebound by K. Garnett,,35-32,,
3:40.0,T. Prince misses 3-pt shot from 22 ft,,35-32,,
3:40.0,,,35-32,,Defensive rebound by K. Faried
3:29.0,,,35-32,,J. Nelson misses 2-pt shot from 2 ft
3:28.0,Defensive rebound by K. Towns,,35-32,,
3:28.0,,,35-32,,Personal foul by J. Lauvergne (drawn by R. Rubio)
3:28.0,,,35-32,,Technical foul by K. Faried
3:28.0,R. Rubio makes technical free throw,1,36-32,,
3:28.0,R. Rubio makes free throw 1 of 2,1,37-32,,
3:28.0,,,37-32,,G. Harris enters the game for J. Nelson
3:28.0,R. Rubio makes free throw 2 of 2,1,38-32,,
3:16.0,,,38-32,,K. Faried misses 2-pt shot from 19 ft
3:16.0,,,38-32,,Offensive rebound by Team
3:16.0,Loose ball foul by K. Towns (drawn by J. Lauvergne),,38-32,,
3:16.0,,,38-33,1,J. Lauvergne makes free throw 1 of 2
3:16.0,,,38-34,1,J. Lauvergne makes free throw 2 of 2
3:07.0,Turnover by R. Rubio (dbl dribble),,38-34,,
3:07.0,,,38-34,,D. Arthur enters the game for J. Lauvergne
2:51.0,,,38-34,,Turnover by G. Harris (step out of bounds)
2:51.0,,,38-34,,Denver full timeout
2:34.0,A. Wiggins makes 2-pt shot from 6 ft,2,40-34,,
2:12.0,,,40-34,,D. Arthur misses 2-pt shot from 19 ft
2:11.0,Defensive rebound by A. Wiggins,,40-34,,
1:56.0,Turnover by A. Wiggins (lost ball; steal by E. Mudiay),,40-34,,
1:51.0,,,40-36,2,E. Mudiay makes 2-pt shot at rim
1:33.0,K. Garnett makes 2-pt shot from 2 ft (assist by K. Towns),2,42-36,,
1:20.0,,,42-36,,G. Harris misses 3-pt shot from 26 ft
1:19.0,Defensive rebound by K. Garnett,,42-36,,
1:08.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,44-36,,
1:08.0,,,44-36,,Denver full timeout
1:08.0,,,44-36,,W. Barton enters the game for G. Harris
1:08.0,Z. LaVine enters the game for R. Rubio,,44-36,,
1:08.0,K. Martin enters the game for A. Wiggins,,44-36,,
0:55.0,Personal foul by T. Prince (drawn by K. Faried),,44-36,,
0:55.0,,,44-37,1,K. Faried makes free throw 1 of 2
0:55.0,,,44-38,1,K. Faried makes free throw 2 of 2
0:42.0,Turnover by Z. LaVine (bad pass; steal by E. Mudiay),,44-38,,
0:33.0,,,44-38,,D. Gallinari misses 2-pt shot from 2 ft
0:32.0,Defensive rebound by Z. LaVine,,44-38,,
0:28.0,Shooting foul by D. Arthur (drawn by K. Martin),,44-38,,
0:28.0,K. Martin makes free throw 1 of 3,1,45-38,,
0:28.0,K. Martin makes free throw 2 of 3,1,46-38,,
0:28.0,K. Martin makes free throw 3 of 3,1,47-38,,
0:09.0,Personal foul by Z. LaVine (drawn by E. Mudiay),,47-38,,
0:09.0,,,47-38,,E. Mudiay misses free throw 1 of 2
0:09.0,,,47-38,,Offensive rebound by Team
0:09.0,,,47-38,,N. Jokic enters the game for D. Arthur
0:09.0,,,47-39,1,E. Mudiay makes free throw 2 of 2
0:02.0,Z. LaVine makes 2-pt shot from 5 ft,2,49-39,,
0:00.0,,,49-39,,E. Mudiay misses 3-pt shot from 62 ft
0:00.0,,,49-39,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,K. Towns makes 2-pt shot from 19 ft (assist by T. Prince),2,51-39,,
11:17.0,,,51-39,,D. Gallinari misses 2-pt shot from 17 ft
11:16.0,Defensive rebound by K. Towns,,51-39,,
11:10.0,Shooting foul by E. Mudiay (drawn by R. Rubio),,51-39,,
11:10.0,R. Rubio makes free throw 1 of 2,1,52-39,,
11:10.0,R. Rubio makes free throw 2 of 2,1,53-39,,
10:45.0,,,53-41,2,D. Gallinari makes 2-pt shot from 21 ft
10:29.0,Shooting foul by G. Harris (drawn by A. Wiggins),,53-41,,
10:29.0,A. Wiggins makes free throw 1 of 2,1,54-41,,
10:29.0,A. Wiggins makes free throw 2 of 2,1,55-41,,
10:16.0,,,55-41,,J. Lauvergne misses 2-pt shot from 3 ft
10:13.0,,,55-41,,Offensive rebound by K. Faried
10:13.0,,,55-43,2,K. Faried makes 2-pt shot from 2 ft
9:51.0,R. Rubio misses 3-pt shot from 25 ft,,55-43,,
9:50.0,,,55-43,,Defensive rebound by K. Faried
9:41.0,,,55-46,3,E. Mudiay makes 3-pt shot from 26 ft (assist by J. Lauvergne)
9:25.0,A. Wiggins misses 3-pt shot from 25 ft,,55-46,,
9:25.0,,,55-46,,Defensive rebound by K. Faried
9:19.0,,,55-48,2,J. Lauvergne makes 2-pt shot from 1 ft (assist by E. Mudiay)
8:59.0,K. Towns makes 2-pt shot from 1 ft,2,57-48,,
8:59.0,Shooting foul by J. Lauvergne (drawn by K. Towns),,57-48,,
8:59.0,K. Towns makes free throw 1 of 1,1,58-48,,
8:51.0,,,58-48,,E. Mudiay misses 2-pt shot from 1 ft
8:50.0,,,58-48,,Offensive rebound by Team
8:39.0,,,58-48,,D. Gallinari misses 2-pt shot from 22 ft
8:39.0,Defensive rebound by K. Towns,,58-48,,
8:23.0,K. Towns makes 2-pt shot from 2 ft (assist by A. Wiggins),2,60-48,,
8:01.0,,,60-48,,G. Harris misses 2-pt shot from 19 ft
8:01.0,,,60-48,,Offensive rebound by Team
8:01.0,Loose ball foul by K. Towns (drawn by J. Lauvergne),,60-48,,
7:55.0,,,60-48,,E. Mudiay misses 3-pt shot from 26 ft
7:54.0,Defensive rebound by K. Towns,,60-48,,
7:49.0,Shooting foul by D. Gallinari (drawn by K. Garnett),,60-48,,
7:49.0,K. Garnett makes free throw 1 of 2,1,61-48,,
7:49.0,K. Garnett makes free throw 2 of 2,1,62-48,,
7:44.0,,,62-48,,Denver full timeout
7:36.0,,,62-48,,K. Faried misses 2-pt shot from 1 ft
7:35.0,,,62-48,,Offensive rebound by J. Lauvergne
7:35.0,,,62-50,2,J. Lauvergne makes 2-pt shot from 1 ft
7:23.0,Turnover by A. Wiggins (traveling),,62-50,,
7:03.0,,,62-50,,G. Harris misses 2-pt shot from 1 ft
7:02.0,,,62-50,,Offensive rebound by G. Harris
7:02.0,,,62-50,,G. Harris misses 2-pt shot from 1 ft
7:00.0,Defensive rebound by K. Garnett,,62-50,,
6:52.0,T. Prince misses 3-pt shot from 24 ft,,62-50,,
6:51.0,Offensive rebound by A. Wiggins,,62-50,,
6:41.0,K. Garnett misses 2-pt shot from 20 ft,,62-50,,
6:40.0,,,62-50,,Defensive rebound by J. Lauvergne
6:37.0,,,62-50,,Turnover by E. Mudiay (bad pass; steal by K. Garnett)
6:34.0,Offensive charge foul by A. Wiggins,,62-50,,
6:34.0,Turnover by A. Wiggins (offensive foul),,62-50,,
6:12.0,,,62-50,,J. Lauvergne misses 3-pt shot from 26 ft
6:11.0,Defensive rebound by K. Towns,,62-50,,
6:00.0,R. Rubio misses 2-pt shot from 17 ft,,62-50,,
5:57.0,Offensive rebound by A. Wiggins,,62-50,,
5:57.0,A. Wiggins makes 2-pt shot from 2 ft,2,64-50,,
5:41.0,,,64-50,,E. Mudiay misses 2-pt shot from 16 ft
5:40.0,,,64-50,,Offensive rebound by J. Lauvergne
5:35.0,,,64-52,2,J. Lauvergne makes 2-pt shot from 3 ft
5:25.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,66-52,,
5:25.0,,,66-52,,Denver full timeout
5:25.0,,,66-52,,D. Arthur enters the game for J. Lauvergne
5:25.0,N. Bjelica enters the game for K. Garnett,,66-52,,
5:14.0,,,66-52,,Turnover by E. Mudiay (bad pass; steal by T. Prince)
5:09.0,K. Towns makes 2-pt shot from 10 ft (assist by R. Rubio),2,68-52,,
5:09.0,,,68-52,,Shooting block foul by D. Gallinari (drawn by K. Towns)
5:09.0,,,68-52,,J. Nelson enters the game for E. Mudiay
5:09.0,,,68-52,,W. Barton enters the game for G. Harris
5:09.0,K. Towns makes free throw 1 of 1,1,69-52,,
4:49.0,,,69-52,,D. Gallinari misses 2-pt shot from 3 ft (block by K. Towns)
4:47.0,Defensive rebound by R. Rubio,,69-52,,
4:41.0,K. Towns makes 2-pt shot from 21 ft (assist by N. Bjelica),2,71-52,,
4:25.0,,,71-52,,K. Faried misses 2-pt shot from 4 ft
4:23.0,Defensive rebound by R. Rubio,,71-52,,
4:23.0,,,71-52,,Personal foul by D. Arthur (drawn by R. Rubio)
4:23.0,R. Rubio makes free throw 1 of 2,1,72-52,,
4:23.0,G. Dieng enters the game for K. Towns,,72-52,,
4:23.0,,,72-52,,N. Jokic enters the game for K. Faried
4:23.0,R. Rubio makes free throw 2 of 2,1,73-52,,
4:11.0,,,73-54,2,W. Barton makes 2-pt shot from 3 ft (assist by D. Arthur)
4:11.0,,,73-54,,Shooting foul by N. Bjelica (drawn by W. Barton)
4:11.0,Z. LaVine enters the game for R. Rubio,,73-54,,
4:11.0,,,73-55,1,W. Barton makes free throw 1 of 1
3:54.0,,,73-55,,Personal foul by D. Gallinari (drawn by A. Wiggins)
3:54.0,A. Wiggins makes free throw 1 of 2,1,74-55,,
3:54.0,K. Martin enters the game for T. Prince,,74-55,,
3:54.0,A. Wiggins makes free throw 2 of 2,1,75-55,,
3:39.0,,,75-58,3,W. Barton makes 3-pt shot from 23 ft (assist by N. Jokic)
3:37.0,Minnesota full timeout,,75-58,,
3:37.0,S. Muhammad enters the game for A. Wiggins,,75-58,,
3:31.0,K. Martin makes 2-pt shot from 21 ft (assist by Z. LaVine),2,77-58,,
3:09.0,,,77-58,,D. Arthur misses 2-pt shot from 16 ft
3:09.0,Defensive rebound by Z. LaVine,,77-58,,
3:02.0,Turnover by Z. LaVine (traveling),,77-58,,
2:46.0,,,77-60,2,D. Gallinari makes 2-pt shot at rim
2:24.0,G. Dieng misses 2-pt shot from 19 ft,,77-60,,
2:23.0,,,77-60,,Defensive rebound by W. Barton
2:10.0,,,77-60,,D. Gallinari misses 3-pt shot from 25 ft
2:09.0,,,77-60,,Offensive rebound by D. Arthur
2:06.0,,,77-60,,W. Barton misses 3-pt shot from 25 ft
2:05.0,Defensive rebound by N. Bjelica,,77-60,,
1:58.0,S. Muhammad misses 3-pt shot from 25 ft,,77-60,,
1:57.0,,,77-60,,Defensive rebound by Team
1:57.0,,,77-60,,M. Miller enters the game for D. Gallinari
1:45.0,,,77-63,3,J. Nelson makes 3-pt shot from 25 ft
1:22.0,Z. LaVine misses 2-pt shot from 19 ft,,77-63,,
1:20.0,,,77-63,,Defensive rebound by J. Nelson
1:14.0,,,77-63,,J. Nelson misses 3-pt shot from 25 ft
1:13.0,Defensive rebound by N. Bjelica,,77-63,,
1:00.0,N. Bjelica misses 2-pt shot from 2 ft,,77-63,,
0:58.0,,,77-63,,Defensive rebound by N. Jokic
0:48.0,,,77-63,,D. Arthur misses 2-pt shot from 17 ft
0:47.0,,,77-63,,Offensive rebound by Team
0:47.0,Loose ball foul by G. Dieng (drawn by N. Jokic),,77-63,,
0:35.0,,,77-63,,M. Miller misses 3-pt shot from 24 ft
0:34.0,Defensive rebound by K. Martin,,77-63,,
0:13.0,Turnover by G. Dieng (lost ball; steal by W. Barton),,77-63,,
0:08.0,,,77-63,,W. Barton misses 3-pt shot from 39 ft
0:06.0,Defensive rebound by Z. LaVine,,77-63,,
0:05.0,Shooting foul by N. Jokic (drawn by Z. LaVine),,77-63,,
0:05.0,Z. LaVine makes free throw 1 of 2,1,78-63,,
0:05.0,Z. LaVine makes free throw 2 of 2,1,79-63,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,79-63,,Shooting foul by S. Muhammad (drawn by W. Barton)
11:48.0,,,79-64,1,W. Barton makes free throw 1 of 2
11:48.0,,,79-65,1,W. Barton makes free throw 2 of 2
11:34.0,K. Martin misses 2-pt shot from 15 ft,,79-65,,
11:32.0,,,79-65,,Defensive rebound by N. Jokic
11:23.0,,,79-65,,D. Arthur misses 3-pt shot from 23 ft
11:23.0,Defensive rebound by Z. LaVine,,79-65,,
11:18.0,Turnover by N. Bjelica (bad pass; steal by W. Barton),,79-65,,
11:13.0,Personal take foul by N. Bjelica (drawn by W. Barton),,79-65,,
11:05.0,,,79-67,2,N. Jokic makes 2-pt shot from 2 ft (assist by D. Arthur)
10:42.0,Shooting foul by J. Nelson (drawn by Z. LaVine),,79-67,,
10:42.0,Z. LaVine makes free throw 1 of 2,1,80-67,,
10:42.0,K. Towns enters the game for G. Dieng,,80-67,,
10:42.0,Z. LaVine makes free throw 2 of 2,1,81-67,,
10:32.0,,,81-69,2,N. Jokic makes 2-pt shot at rim (assist by J. Nelson)
10:07.0,K. Martin misses 3-pt shot from 25 ft,,81-69,,
10:06.0,,,81-69,,Defensive rebound by M. Miller
10:00.0,,,81-69,,W. Barton misses 2-pt shot from 1 ft
9:58.0,Defensive rebound by N. Bjelica,,81-69,,
9:48.0,Offensive foul by K. Towns,,81-69,,
9:48.0,Turnover by K. Towns (offensive foul),,81-69,,
9:41.0,Personal foul by Z. LaVine (drawn by J. Nelson),,81-69,,
9:27.0,,,81-69,,W. Barton misses 3-pt shot from 22 ft
9:27.0,Defensive rebound by K. Towns,,81-69,,
9:02.0,S. Muhammad misses 2-pt shot from 3 ft,,81-69,,
9:02.0,,,81-69,,Defensive rebound by D. Arthur
8:56.0,,,81-69,,W. Barton misses 2-pt shot from 4 ft
8:55.0,Defensive rebound by N. Bjelica,,81-69,,
8:35.0,Offensive charge foul by N. Bjelica,,81-69,,
8:35.0,Turnover by N. Bjelica (offensive foul),,81-69,,
8:35.0,Official timeout,,81-69,,
8:35.0,R. Rubio enters the game for Z. LaVine,,81-69,,
8:21.0,,,81-69,,Turnover by M. Miller (bad pass; steal by N. Bjelica)
8:19.0,,,81-69,,Personal foul by W. Barton (drawn by K. Martin)
8:10.0,K. Martin makes 2-pt shot from 5 ft (assist by R. Rubio),2,83-69,,
8:00.0,,,83-69,,J. Nelson misses 2-pt shot at rim
7:58.0,,,83-69,,Offensive rebound by N. Jokic
