time,Brooklyn,pts.away,score,pts.home,New York
6:18.0,Offensive rebound by R. Hollis-Jefferson,,6-9,,
6:18.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft,,6-9,,
6:17.0,,,6-9,,Defensive rebound by C. Anthony
6:11.0,,,6-9,,C. Anthony misses 3-pt shot from 27 ft
6:08.0,,,6-9,,Offensive rebound by S. Vujacic
6:07.0,,,6-11,2,S. Vujacic makes 2-pt shot from 1 ft
5:44.0,W. Ellington misses 3-pt shot from 23 ft,,6-11,,
5:42.0,Offensive rebound by T. Robinson,,6-11,,
5:41.0,T. Robinson makes 2-pt shot from 2 ft,2,8-11,,
5:31.0,,,8-11,,Turnover by J. Grant (lost ball; steal by S. Larkin)
5:18.0,Shooting foul by C. Anthony (drawn by R. Hollis-Jefferson),,8-11,,
5:18.0,,,8-11,,New York full timeout
5:18.0,S. Kilpatrick enters the game for W. Ellington,,8-11,,
5:18.0,R. Hollis-Jefferson makes free throw 1 of 2,1,9-11,,
5:18.0,R. Hollis-Jefferson misses free throw 2 of 2,,9-11,,
5:17.0,,,9-11,,Defensive rebound by C. Anthony
4:58.0,,,9-13,2,D. Williams makes 2-pt shot from 17 ft
4:45.0,B. Lopez misses 2-pt shot from 2 ft (block by R. Lopez),,9-13,,
4:42.0,,,9-13,,Defensive rebound by J. Grant
4:38.0,,,9-13,,J. Grant misses 2-pt shot from 1 ft
4:36.0,Defensive rebound by B. Lopez,,9-13,,
4:32.0,S. Kilpatrick makes 2-pt shot from 1 ft (assist by S. Larkin),2,11-13,,
4:13.0,,,11-16,3,D. Williams makes 3-pt shot from 24 ft (assist by C. Anthony)
3:57.0,Brooklyn full timeout,,11-16,,
3:57.0,M. Brown enters the game for R. Hollis-Jefferson,,11-16,,
3:57.0,,,11-16,,A. Afflalo enters the game for C. Anthony
3:57.0,,,11-16,,C. Early enters the game for S. Vujacic
3:45.0,B. Lopez misses 2-pt shot from 17 ft,,11-16,,
3:43.0,,,11-16,,Defensive rebound by A. Afflalo
3:28.0,,,11-16,,R. Lopez misses 2-pt shot from 6 ft
3:26.0,Defensive rebound by T. Robinson,,11-16,,
3:11.0,B. Lopez misses 2-pt shot from 9 ft,,11-16,,
3:09.0,,,11-16,,Defensive rebound by Team
3:09.0,C. McCullough enters the game for T. Robinson,,11-16,,
3:09.0,,,11-16,,L. Galloway enters the game for J. Grant
2:55.0,,,11-16,,A. Afflalo misses 2-pt shot from 18 ft
2:53.0,Defensive rebound by C. McCullough,,11-16,,
2:38.0,S. Kilpatrick misses 3-pt shot from 23 ft,,11-16,,
2:36.0,Offensive rebound by B. Lopez,,11-16,,
2:35.0,Turnover by S. Kilpatrick (step out of bounds),,11-16,,
2:22.0,,,11-16,,C. Early misses 2-pt shot from 1 ft (block by B. Lopez)
2:19.0,Defensive rebound by B. Lopez,,11-16,,
2:13.0,B. Lopez makes 2-pt shot at rim (assist by S. Larkin),2,13-16,,
1:52.0,Personal foul by M. Brown,,13-16,,
1:45.0,,,13-18,2,A. Afflalo makes 2-pt shot from 15 ft (assist by L. Galloway)
1:24.0,S. Larkin misses 2-pt shot from 2 ft (block by R. Lopez),,13-18,,
1:23.0,Offensive rebound by Team,,13-18,,
1:20.0,M. Brown makes 2-pt shot from 20 ft (assist by S. Kilpatrick),2,15-18,,
1:09.0,,,15-18,,L. Galloway misses 2-pt shot from 18 ft
1:07.0,Defensive rebound by M. Brown,,15-18,,
0:54.0,C. McCullough makes 2-pt shot from 2 ft (assist by B. Lopez),2,17-18,,
0:44.0,,,17-18,,C. Early misses 2-pt shot from 18 ft
0:42.0,Defensive rebound by C. McCullough,,17-18,,
0:31.0,,,17-18,,Violation by C. Early (kicked ball)
0:24.0,S. Kilpatrick misses 3-pt shot from 24 ft,,17-18,,
0:22.0,,,17-18,,Defensive rebound by D. Williams
0:17.0,,,17-18,,D. Williams misses 2-pt shot from 2 ft
0:15.0,Defensive rebound by M. Brown,,17-18,,
0:04.0,B. Lopez misses 2-pt shot from 2 ft,,17-18,,
0:02.0,,,17-18,,Defensive rebound by C. Early
0:00.0,,,17-18,,C. Early misses 3-pt shot from 28 ft
0:00.0,,,17-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,17-18,,Turnover by K. Seraphin (traveling)
11:32.0,S. Kilpatrick makes 2-pt shot from 2 ft (assist by M. Brown),2,19-18,,
11:17.0,,,19-18,,C. Early misses 2-pt shot from 1 ft
11:15.0,Defensive rebound by C. McCullough,,19-18,,
11:08.0,M. Brown misses 3-pt shot from 25 ft,,19-18,,
11:06.0,,,19-18,,Defensive rebound by K. Seraphin
10:59.0,,,19-20,2,C. Early makes 2-pt shot from 18 ft
10:43.0,D. Sloan misses 2-pt shot from 19 ft,,19-20,,
10:40.0,,,19-20,,Defensive rebound by K. O'Quinn
10:29.0,,,19-20,,Turnover by C. Early (bad pass)
10:16.0,M. Brown misses 2-pt shot from 2 ft,,19-20,,
10:15.0,,,19-20,,Defensive rebound by K. Seraphin
10:04.0,,,19-23,3,C. Early makes 3-pt shot from 25 ft (assist by L. Galloway)
9:50.0,Shooting foul by K. Seraphin (drawn by H. Sims),,19-23,,
9:50.0,H. Sims makes free throw 1 of 2,1,20-23,,
9:50.0,H. Sims makes free throw 2 of 2,1,21-23,,
9:36.0,,,21-25,2,K. Seraphin makes 2-pt shot from 20 ft
9:24.0,S. Kilpatrick makes 2-pt shot from 6 ft,2,23-25,,
9:08.0,,,23-25,,Turnover by K. O'Quinn (lost ball; steal by M. Brown)
9:01.0,M. Brown makes 2-pt shot at rim (assist by D. Sloan),2,25-25,,
8:45.0,,,25-27,2,K. Seraphin makes 2-pt shot from 17 ft (assist by K. O'Quinn)
8:33.0,C. McCullough misses 3-pt shot from 22 ft,,25-27,,
8:30.0,,,25-27,,Defensive rebound by C. Early
8:28.0,,,25-27,,Turnover by C. Early (bad pass)
8:28.0,Official timeout,,25-27,,
8:15.0,M. Brown misses 2-pt shot from 18 ft,,25-27,,
8:13.0,,,25-27,,Defensive rebound by K. O'Quinn
7:58.0,,,25-27,,K. O'Quinn misses 2-pt shot from 18 ft
7:56.0,,,25-27,,Offensive rebound by C. Early
7:55.0,,,25-29,2,C. Early makes 2-pt shot from 1 ft
7:41.0,S. Kilpatrick misses 2-pt shot from 8 ft,,25-29,,
7:38.0,,,25-29,,Defensive rebound by L. Galloway
7:16.0,,,25-31,2,K. O'Quinn makes 2-pt shot from 18 ft (assist by C. Early)
7:03.0,H. Sims makes 2-pt shot from 15 ft (assist by D. Sloan),2,27-31,,
6:36.0,,,27-31,,A. Afflalo misses 3-pt shot from 23 ft
6:35.0,Defensive rebound by Team,,27-31,,
6:35.0,T. Robinson enters the game for C. McCullough,,27-31,,
6:17.0,Shooting foul by K. O'Quinn (drawn by H. Sims),,27-31,,
6:17.0,H. Sims makes free throw 1 of 2,1,28-31,,
6:17.0,H. Sims makes free throw 2 of 2,1,29-31,,
6:06.0,,,29-33,2,L. Galloway makes 2-pt shot from 2 ft (assist by C. Early)
5:43.0,H. Sims misses 2-pt shot from 4 ft,,29-33,,
5:41.0,,,29-33,,Defensive rebound by L. Galloway
5:35.0,,,29-33,,C. Early misses 2-pt shot from 2 ft
5:35.0,,,29-33,,Offensive rebound by Team
5:35.0,,,29-33,,New York full timeout
5:35.0,B. Lopez enters the game for H. Sims,,29-33,,
5:35.0,,,29-33,,C. Anthony enters the game for C. Early
5:35.0,,,29-33,,J. Grant enters the game for L. Galloway
5:35.0,,,29-33,,D. Williams enters the game for K. O'Quinn
5:35.0,,,29-33,,R. Lopez enters the game for K. Seraphin
5:28.0,Personal foul by T. Robinson,,29-33,,
5:13.0,,,29-35,2,C. Anthony makes 2-pt shot from 3 ft
4:57.0,B. Lopez makes 2-pt shot from 6 ft (assist by T. Robinson),2,31-35,,
4:42.0,,,31-35,,A. Afflalo misses 2-pt shot from 7 ft
4:40.0,Defensive rebound by T. Robinson,,31-35,,
4:24.0,S. Kilpatrick makes 2-pt shot from 2 ft (assist by B. Lopez),2,33-35,,
4:09.0,,,33-35,,D. Williams misses 2-pt shot from 18 ft
4:07.0,Defensive rebound by D. Sloan,,33-35,,
3:52.0,S. Kilpatrick makes 3-pt shot from 25 ft (assist by B. Lopez),3,36-35,,
3:51.0,,,36-35,,New York full timeout
3:28.0,,,36-37,2,C. Anthony makes 2-pt shot from 10 ft
3:10.0,S. Kilpatrick makes 2-pt shot from 11 ft,2,38-37,,
2:54.0,,,38-39,2,J. Grant makes 2-pt shot from 2 ft (assist by C. Anthony)
2:40.0,S. Kilpatrick misses 3-pt shot from 25 ft,,38-39,,
2:38.0,Offensive rebound by T. Robinson,,38-39,,
2:38.0,T. Robinson makes 2-pt shot from 2 ft,2,40-39,,
2:38.0,Shooting foul by J. Grant (drawn by T. Robinson),,40-39,,
2:38.0,Brooklyn full timeout,,40-39,,
2:38.0,W. Ellington enters the game for M. Brown,,40-39,,
2:38.0,S. Larkin enters the game for D. Sloan,,40-39,,
2:38.0,,,40-39,,L. Galloway enters the game for A. Afflalo
2:38.0,T. Robinson makes free throw 1 of 1,1,41-39,,
2:30.0,,,41-39,,Turnover by L. Galloway (lost ball; steal by T. Robinson)
2:26.0,W. Ellington makes 2-pt shot from 2 ft (assist by T. Robinson),2,43-39,,
2:08.0,,,43-39,,J. Grant misses 3-pt shot from 24 ft
2:05.0,,,43-39,,Offensive rebound by C. Anthony
2:02.0,,,43-41,2,J. Grant makes 2-pt shot from 2 ft
1:41.0,S. Kilpatrick misses 3-pt shot from 26 ft,,43-41,,
1:38.0,Offensive rebound by T. Robinson,,43-41,,
1:38.0,Shooting foul by D. Williams (drawn by T. Robinson),,43-41,,
1:38.0,T. Robinson makes free throw 1 of 2,1,44-41,,
1:38.0,,,44-41,,L. Amundson enters the game for D. Williams
1:38.0,T. Robinson misses free throw 2 of 2,,44-41,,
1:37.0,Offensive rebound by S. Kilpatrick,,44-41,,
1:35.0,S. Kilpatrick misses 2-pt shot from 2 ft,,44-41,,
1:34.0,,,44-41,,Defensive rebound by L. Galloway
1:19.0,,,44-43,2,R. Lopez makes 2-pt shot from 14 ft (assist by L. Galloway)
0:56.0,B. Lopez misses 2-pt shot from 3 ft (block by R. Lopez),,44-43,,
0:55.0,Offensive rebound by T. Robinson,,44-43,,
0:54.0,T. Robinson makes 2-pt shot at rim,2,46-43,,
0:42.0,,,46-45,2,C. Anthony makes 2-pt shot from 10 ft
0:30.0,W. Ellington misses 3-pt shot from 25 ft,,46-45,,
0:28.0,Offensive rebound by S. Larkin,,46-45,,
0:08.0,Turnover by S. Larkin (lost ball; steal by L. Amundson),,46-45,,
0:00.0,,,46-47,2,L. Galloway makes 2-pt shot from 21 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,46-50,3,D. Williams makes 3-pt shot from 23 ft (assist by C. Anthony)
11:11.0,W. Ellington misses 3-pt shot from 24 ft,,46-50,,
11:08.0,,,46-50,,Defensive rebound by R. Lopez
11:00.0,,,46-53,3,C. Anthony makes 3-pt shot from 24 ft
10:35.0,B. Lopez misses 2-pt shot from 2 ft,,46-53,,
10:33.0,,,46-53,,Defensive rebound by R. Lopez
10:20.0,,,46-56,3,J. Grant makes 3-pt shot from 25 ft (assist by D. Williams)
10:19.0,Brooklyn full timeout,,46-56,,
10:00.0,Turnover by B. Lopez (lost ball; steal by C. Anthony),,46-56,,
9:50.0,,,46-56,,Turnover by R. Lopez (lost ball; steal by T. Robinson)
9:46.0,Turnover by T. Robinson (bad pass),,46-56,,
9:26.0,,,46-56,,C. Anthony misses 2-pt shot from 10 ft
9:24.0,Defensive rebound by W. Ellington,,46-56,,
9:19.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft,,46-56,,
9:17.0,,,46-56,,Defensive rebound by S. Vujacic
9:10.0,,,46-56,,Turnover by S. Vujacic (lost ball; steal by R. Hollis-Jefferson)
9:02.0,B. Lopez makes 2-pt shot from 1 ft (assist by S. Larkin),2,48-56,,
9:02.0,Shooting foul by J. Grant (drawn by B. Lopez),,48-56,,
9:02.0,B. Lopez makes free throw 1 of 1,1,49-56,,
8:48.0,,,49-56,,S. Vujacic misses 2-pt shot from 14 ft
8:46.0,Defensive rebound by T. Robinson,,49-56,,
8:34.0,W. Ellington makes 2-pt shot from 20 ft,2,51-56,,
8:20.0,,,51-59,3,D. Williams makes 3-pt shot from 24 ft (assist by R. Lopez)
8:00.0,W. Ellington misses 2-pt shot from 1 ft,,51-59,,
7:58.0,Offensive rebound by B. Lopez,,51-59,,
7:58.0,B. Lopez makes 2-pt shot from 1 ft,2,53-59,,
7:51.0,,,53-59,,Turnover by J. Grant (lost ball; steal by T. Robinson)
7:44.0,B. Lopez misses 2-pt shot from 6 ft,,53-59,,
7:42.0,Offensive rebound by T. Robinson,,53-59,,
7:39.0,B. Lopez makes 2-pt shot from 2 ft (assist by T. Robinson),2,55-59,,
7:19.0,,,55-59,,J. Grant misses 2-pt shot from 18 ft
7:17.0,Defensive rebound by T. Robinson,,55-59,,
7:15.0,Turnover by T. Robinson (dbl dribble),,55-59,,
7:04.0,,,55-59,,C. Anthony misses 2-pt shot from 1 ft
7:01.0,,,55-59,,Offensive rebound by C. Anthony
7:01.0,,,55-59,,C. Anthony misses 2-pt shot at rim
7:00.0,Defensive rebound by B. Lopez,,55-59,,
6:54.0,W. Ellington misses 2-pt shot from 21 ft,,55-59,,
6:52.0,Offensive rebound by S. Larkin,,55-59,,
6:41.0,R. Hollis-Jefferson misses 3-pt shot from 23 ft,,55-59,,
6:39.0,,,55-59,,Defensive rebound by J. Grant
6:32.0,,,55-62,3,D. Williams makes 3-pt shot from 24 ft (assist by J. Grant)
6:14.0,Turnover by T. Robinson (3 sec),,55-62,,
6:01.0,,,55-62,,C. Anthony misses 2-pt shot from 21 ft
5:58.0,,,55-62,,Offensive rebound by S. Vujacic
5:55.0,,,55-62,,C. Anthony misses 3-pt shot from 25 ft
5:53.0,Defensive rebound by T. Robinson,,55-62,,
5:39.0,W. Ellington makes 3-pt shot from 23 ft (assist by S. Larkin),3,58-62,,
5:19.0,,,58-65,3,S. Vujacic makes 3-pt shot from 22 ft (assist by J. Grant)
5:18.0,Brooklyn full timeout,,58-65,,
5:18.0,S. Kilpatrick enters the game for R. Hollis-Jefferson,,58-65,,
5:06.0,W. Ellington misses 3-pt shot from 24 ft,,58-65,,
5:04.0,,,58-65,,Defensive rebound by R. Lopez
4:52.0,,,58-65,,C. Anthony misses 2-pt shot from 21 ft
4:50.0,Defensive rebound by W. Ellington,,58-65,,
4:38.0,,,58-65,,Def 3 sec tech foul by R. Lopez
4:38.0,W. Ellington makes technical free throw,1,59-65,,
4:27.0,T. Robinson misses 2-pt shot from 8 ft,,59-65,,
4:25.0,,,59-65,,Defensive rebound by S. Vujacic
4:13.0,,,59-65,,R. Lopez misses 2-pt shot from 17 ft
4:11.0,Defensive rebound by T. Robinson,,59-65,,
4:05.0,S. Kilpatrick misses 3-pt shot from 23 ft,,59-65,,
4:03.0,Offensive rebound by W. Ellington,,59-65,,
3:58.0,Shooting foul by D. Williams (drawn by S. Larkin),,59-65,,
3:58.0,S. Larkin misses free throw 1 of 2,,59-65,,
3:58.0,Offensive rebound by Team,,59-65,,
3:58.0,C. McCullough enters the game for T. Robinson,,59-65,,
3:58.0,,,59-65,,K. Seraphin enters the game for D. Williams
3:58.0,S. Larkin makes free throw 2 of 2,1,60-65,,
3:41.0,,,60-65,,Shooting foul by W. Ellington (drawn by R. Lopez)
3:41.0,,,60-66,1,R. Lopez makes free throw 1 of 2
3:41.0,,,60-67,1,R. Lopez makes free throw 2 of 2
3:21.0,Turnover by C. McCullough (lost ball; steal by K. Seraphin),,60-67,,
3:16.0,,,60-67,,Shooting foul by C. McCullough (drawn by K. Seraphin)
3:16.0,,,60-68,1,K. Seraphin makes free throw 1 of 2
3:16.0,,,60-68,,A. Afflalo enters the game for S. Vujacic
3:16.0,M. Brown enters the game for W. Ellington,,60-68,,
3:16.0,H. Sims enters the game for B. Lopez,,60-68,,
3:16.0,,,60-69,1,K. Seraphin makes free throw 2 of 2
3:00.0,C. McCullough makes 3-pt shot from 24 ft (assist by S. Larkin),3,63-69,,
2:45.0,,,63-69,,K. Seraphin misses 2-pt shot from 1 ft
2:43.0,Defensive rebound by H. Sims,,63-69,,
2:31.0,C. McCullough misses 3-pt shot from 22 ft,,63-69,,
2:29.0,,,63-69,,Defensive rebound by K. Seraphin
2:19.0,,,63-71,2,C. Anthony makes 2-pt shot from 1 ft (assist by J. Grant)
2:02.0,M. Brown makes 2-pt shot from 8 ft,2,65-71,,
1:48.0,,,65-73,2,K. Seraphin makes 2-pt shot at rim (assist by J. Grant)
1:26.0,S. Larkin makes 2-pt shot from 9 ft,2,67-73,,
1:14.0,,,67-75,2,J. Grant makes 2-pt shot from 1 ft
0:57.0,M. Brown makes 3-pt shot from 25 ft,3,70-75,,
0:39.0,Personal foul by M. Brown,,70-75,,
0:39.0,,,70-75,,New York full timeout
0:39.0,,,70-75,,K. O'Quinn enters the game for C. Anthony
0:39.0,,,70-75,,C. Early enters the game for R. Lopez
0:27.0,,,70-75,,Turnover by K. Seraphin (lost ball; steal by M. Brown)
0:10.0,S. Kilpatrick misses 2-pt shot from 5 ft,,70-75,,
0:08.0,Offensive rebound by C. McCullough,,70-75,,
0:08.0,C. McCullough misses 2-pt shot at rim,,70-75,,
0:08.0,,,70-75,,Defensive rebound by Team
0:01.0,,,70-75,,J. Grant misses 2-pt shot at rim
0:00.0,,,70-75,,Offensive rebound by J. Grant
0:00.0,,,70-77,2,J. Grant makes 2-pt shot at rim
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,M. Brown misses 2-pt shot from 18 ft,,70-77,,
11:45.0,,,70-77,,Defensive rebound by Team
11:30.0,,,70-77,,K. Seraphin misses 2-pt shot from 4 ft
11:28.0,Defensive rebound by C. McCullough,,70-77,,
11:11.0,Turnover by S. Kilpatrick (lost ball; steal by L. Galloway),,70-77,,
11:06.0,,,70-77,,L. Galloway misses 2-pt shot from 1 ft
11:04.0,Defensive rebound by C. McCullough,,70-77,,
10:57.0,M. Brown makes 2-pt shot from 2 ft (assist by D. Sloan),2,72-77,,
10:43.0,Personal foul by H. Sims,,72-77,,
10:29.0,,,72-77,,C. Early misses 2-pt shot from 1 ft (block by H. Sims)
10:27.0,Defensive rebound by H. Sims,,72-77,,
10:10.0,Shooting foul by K. Seraphin (drawn by S. Kilpatrick),,72-77,,
10:10.0,S. Kilpatrick makes free throw 1 of 2,1,73-77,,
10:10.0,S. Kilpatrick makes free throw 2 of 2,1,74-77,,
9:56.0,,,74-77,,Turnover by L. Galloway (bad pass)
9:45.0,S. Kilpatrick misses 3-pt shot from 23 ft,,74-77,,
9:42.0,,,74-77,,Defensive rebound by L. Galloway
9:40.0,,,74-79,2,L. Galloway makes 2-pt shot at rim
9:26.0,S. Kilpatrick misses 2-pt shot from 2 ft,,74-79,,
9:24.0,Offensive rebound by S. Kilpatrick,,74-79,,
9:15.0,Turnover by C. McCullough (traveling),,74-79,,
8:52.0,,,74-82,3,L. Galloway makes 3-pt shot from 27 ft
8:50.0,Brooklyn full timeout,,74-82,,
8:36.0,,,74-82,,Personal foul by K. O'Quinn
8:28.0,D. Sloan makes 2-pt shot from 6 ft,2,76-82,,
8:28.0,Loose ball foul by H. Sims,,76-82,,
8:15.0,,,76-85,3,L. Galloway makes 3-pt shot from 25 ft
7:59.0,H. Sims misses 2-pt shot from 8 ft,,76-85,,
7:56.0,,,76-85,,Defensive rebound by C. Early
7:51.0,,,76-87,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by C. Early)
7:51.0,,,76-87,,Shooting foul by H. Sims (drawn by K. O'Quinn)
7:51.0,B. Lopez enters the game for H. Sims,,76-87,,
7:51.0,S. Larkin enters the game for D. Sloan,,76-87,,
7:51.0,T. Robinson enters the game for C. McCullough,,76-87,,
7:51.0,,,76-88,1,K. O'Quinn makes free throw 1 of 1
7:38.0,B. Lopez misses 2-pt shot from 1 ft,,76-88,,
7:36.0,,,76-88,,Defensive rebound by K. Seraphin
7:22.0,,,76-90,2,K. Seraphin makes 2-pt shot from 8 ft (assist by L. Galloway)
7:07.0,T. Robinson makes 2-pt shot from 2 ft,2,78-90,,
6:55.0,,,78-90,,Turnover by C. Early (lost ball; steal by T. Robinson)
6:51.0,T. Robinson makes 2-pt shot at rim,2,80-90,,
6:26.0,,,80-92,2,K. Seraphin makes 2-pt shot from 1 ft (assist by A. Afflalo)
6:11.0,B. Lopez misses 2-pt shot from 7 ft (block by K. O'Quinn),,80-92,,
6:09.0,Offensive rebound by M. Brown,,80-92,,
6:07.0,M. Brown misses 2-pt shot from 1 ft,,80-92,,
6:07.0,Offensive rebound by B. Lopez,,80-92,,
6:07.0,B. Lopez makes 2-pt shot from 1 ft,2,82-92,,
6:07.0,Shooting foul by K. O'Quinn (drawn by B. Lopez),,82-92,,
6:07.0,B. Lopez makes free throw 1 of 1,1,83-92,,
5:57.0,,,83-92,,K. Seraphin misses 2-pt shot from 10 ft
5:55.0,Defensive rebound by B. Lopez,,83-92,,
5:47.0,M. Brown misses 2-pt shot from 2 ft,,83-92,,
5:46.0,,,83-92,,Defensive rebound by K. Seraphin
5:37.0,,,83-95,3,A. Afflalo makes 3-pt shot from 23 ft (assist by L. Galloway)
5:31.0,Brooklyn full timeout,,83-95,,
5:31.0,W. Ellington enters the game for S. Kilpatrick,,83-95,,
5:08.0,M. Brown misses 3-pt shot from 23 ft,,83-95,,
5:06.0,,,83-95,,Defensive rebound by L. Galloway
5:03.0,,,83-95,,Turnover by L. Galloway (bad pass)
4:50.0,S. Larkin misses 2-pt shot from 16 ft,,83-95,,
4:48.0,,,83-95,,Defensive rebound by K. Seraphin
4:33.0,,,83-98,3,L. Galloway makes 3-pt shot from 23 ft
4:16.0,T. Robinson misses 2-pt shot from 4 ft,,83-98,,
4:14.0,Offensive rebound by W. Ellington,,83-98,,
4:14.0,W. Ellington misses 2-pt shot at rim,,83-98,,
4:12.0,,,83-98,,Defensive rebound by A. Afflalo
4:08.0,,,83-101,3,L. Galloway makes 3-pt shot from 24 ft (assist by A. Afflalo)
4:06.0,Brooklyn full timeout,,83-101,,
4:06.0,C. McCullough enters the game for T. Robinson,,83-101,,
4:06.0,S. Kilpatrick enters the game for B. Lopez,,83-101,,
4:06.0,H. Sims enters the game for S. Larkin,,83-101,,
3:52.0,W. Ellington misses 3-pt shot from 25 ft,,83-101,,
3:50.0,,,83-101,,Defensive rebound by C. Early
3:35.0,,,83-101,,L. Galloway misses 3-pt shot from 23 ft
3:33.0,,,83-101,,Offensive rebound by K. O'Quinn
3:21.0,,,83-101,,A. Afflalo misses 2-pt shot from 14 ft
3:19.0,Defensive rebound by M. Brown,,83-101,,
3:16.0,C. McCullough misses 2-pt shot at rim,,83-101,,
3:13.0,,,83-101,,Defensive rebound by L. Galloway
3:09.0,,,83-103,2,K. O'Quinn makes 2-pt shot at rim (assist by L. Galloway)
2:53.0,S. Kilpatrick misses 2-pt shot from 5 ft,,83-103,,
2:51.0,,,83-103,,Defensive rebound by K. O'Quinn
2:37.0,,,83-103,,L. Galloway misses 3-pt shot from 25 ft
2:35.0,Defensive rebound by C. McCullough,,83-103,,
2:28.0,M. Brown misses 2-pt shot from 9 ft,,83-103,,
2:26.0,,,83-103,,Defensive rebound by A. Afflalo
2:24.0,,,83-103,,Turnover by A. Afflalo (dbl dribble)
2:24.0,,,83-103,,New York full timeout
2:24.0,,,83-103,,J. Grant enters the game for A. Afflalo
2:08.0,M. Brown misses 3-pt shot from 25 ft,,83-103,,
2:06.0,,,83-103,,Defensive rebound by C. Early
1:56.0,,,83-105,2,K. O'Quinn makes 2-pt shot from 16 ft (assist by L. Galloway)
1:44.0,S. Kilpatrick misses 2-pt shot from 1 ft,,83-105,,
1:42.0,Offensive rebound by Team,,83-105,,
1:39.0,W. Ellington misses 2-pt shot from 12 ft (block by L. Galloway),,83-105,,
1:38.0,Offensive rebound by H. Sims,,83-105,,
1:37.0,Shooting foul by C. Early (drawn by H. Sims),,83-105,,
1:37.0,H. Sims misses free throw 1 of 2,,83-105,,
1:37.0,Offensive rebound by Team,,83-105,,
1:37.0,H. Sims makes free throw 2 of 2,1,84-105,,
1:26.0,,,84-105,,J. Grant misses 2-pt shot from 1 ft
