time,Portland,pts.away,score,pts.home,Golden State
5:11.0,,,9-18,,A. Iguodala enters the game for H. Barnes
5:07.0,G. Henderson makes 2-pt shot from 16 ft,2,11-18,,
4:55.0,,,11-21,3,S. Curry makes 3-pt shot from 26 ft (assist by D. Green)
4:39.0,Shooting foul by A. Bogut (drawn by E. Davis),,11-21,,
4:39.0,E. Davis makes free throw 1 of 2,1,12-21,,
4:39.0,,,12-21,,M. Speights enters the game for A. Bogut
4:39.0,E. Davis makes free throw 2 of 2,1,13-21,,
4:28.0,,,13-24,3,S. Curry makes 3-pt shot from 23 ft (assist by A. Iguodala)
4:18.0,D. Lillard misses 2-pt shot from 14 ft,,13-24,,
4:17.0,,,13-24,,Defensive rebound by S. Curry
4:09.0,,,13-27,3,S. Curry makes 3-pt shot from 25 ft
3:55.0,,,13-27,,Personal foul by S. Curry
3:55.0,,,13-27,,L. Barbosa enters the game for K. Thompson
3:49.0,Shooting foul by M. Speights (drawn by A. Crabbe),,13-27,,
3:49.0,A. Crabbe makes free throw 1 of 2,1,14-27,,
3:49.0,M. Leonard enters the game for A. Aminu,,14-27,,
3:49.0,,,14-27,,Golden State full timeout
3:49.0,A. Crabbe makes free throw 2 of 2,1,15-27,,
3:31.0,,,15-29,2,D. Green makes 2-pt shot from 16 ft
3:14.0,G. Henderson makes 2-pt shot from 14 ft,2,17-29,,
3:02.0,,,17-32,3,S. Curry makes 3-pt shot from 25 ft
2:45.0,D. Lillard misses 2-pt shot from 3 ft,,17-32,,
2:45.0,,,17-32,,Defensive rebound by M. Speights
2:38.0,,,17-32,,S. Curry misses 3-pt shot from 25 ft
2:38.0,Defensive rebound by M. Leonard,,17-32,,
2:21.0,G. Henderson misses 2-pt shot from 3 ft,,17-32,,
2:21.0,,,17-32,,Defensive rebound by S. Curry
2:19.0,,,17-32,,Turnover by S. Curry (dbl dribble)
2:16.0,G. Henderson makes 2-pt shot from 1 ft,2,19-32,,
1:58.0,,,19-34,2,S. Curry makes 2-pt shot from 2 ft
1:47.0,M. Leonard makes 3-pt shot from 24 ft (assist by A. Crabbe),3,22-34,,
1:36.0,,,22-36,2,S. Curry makes 2-pt shot from 21 ft
1:20.0,Shooting foul by D. Green (drawn by D. Lillard),,22-36,,
1:20.0,D. Lillard makes free throw 1 of 2,1,23-36,,
1:20.0,D. Lillard makes free throw 2 of 2,1,24-36,,
1:10.0,,,24-38,2,S. Curry makes 2-pt shot from 2 ft
0:59.0,G. Henderson makes 3-pt shot from 26 ft (assist by M. Leonard),3,27-38,,
0:46.0,,,27-38,,Shooting foul by E. Davis (drawn by D. Green)
0:46.0,,,27-39,1,D. Green makes free throw 1 of 2
0:46.0,,,27-40,1,D. Green makes free throw 2 of 2
0:31.0,D. Lillard misses 2-pt shot from 2 ft,,27-40,,
0:31.0,,,27-40,,Defensive rebound by D. Green
0:31.0,,,27-40,,Personal foul by A. Iguodala
0:31.0,Personal foul by M. Leonard,,27-40,,
0:12.0,,,27-40,,S. Curry misses 3-pt shot from 26 ft
0:10.0,,,27-40,,Offensive rebound by D. Green
0:05.0,,,27-40,,M. Speights misses 3-pt shot from 22 ft
0:03.0,Defensive rebound by E. Davis,,27-40,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,27-40,,M. Speights misses 2-pt shot from 19 ft
11:44.0,Defensive rebound by C. McCollum,,27-40,,
11:31.0,A. Crabbe makes 2-pt shot from 10 ft (assist by C. McCollum),2,29-40,,
11:21.0,,,29-40,,Shooting foul by M. Leonard (drawn by L. Barbosa)
11:21.0,,,29-41,1,L. Barbosa makes free throw 1 of 2
11:21.0,,,29-42,1,L. Barbosa makes free throw 2 of 2
11:05.0,C. McCollum misses 2-pt shot from 3 ft,,29-42,,
11:04.0,,,29-42,,Defensive rebound by A. Iguodala
11:01.0,,,29-42,,Shooting foul by G. Henderson (drawn by H. Barnes)
11:01.0,,,29-43,1,H. Barnes makes free throw 1 of 2
11:01.0,,,29-44,1,H. Barnes makes free throw 2 of 2
10:47.0,,,29-44,,Personal foul by M. Speights
10:47.0,C. McCollum makes free throw 1 of 3,1,30-44,,
10:47.0,C. McCollum makes free throw 2 of 3,1,31-44,,
10:47.0,,,31-44,,A. Varejao enters the game for M. Speights
10:47.0,C. McCollum makes free throw 3 of 3,1,32-44,,
10:26.0,,,32-44,,A. Varejao misses 2-pt shot from 18 ft
10:25.0,Defensive rebound by C. McCollum,,32-44,,
10:18.0,Turnover by E. Davis (lost ball),,32-44,,
10:08.0,,,32-47,3,A. Iguodala makes 3-pt shot from 25 ft (assist by A. Varejao)
9:51.0,A. Crabbe makes 3-pt shot from 25 ft (assist by M. Leonard),3,35-47,,
9:39.0,,,35-50,3,A. Iguodala makes 3-pt shot from 25 ft (assist by L. Barbosa)
9:18.0,C. McCollum makes 3-pt shot from 22 ft (assist by G. Henderson),3,38-50,,
9:10.0,,,38-52,2,S. Livingston makes 2-pt shot from 12 ft
9:10.0,,,38-52,,Shooting foul by C. McCollum (drawn by S. Livingston)
9:10.0,,,38-52,,K. Thompson enters the game for L. Barbosa
9:10.0,,,38-53,1,S. Livingston makes free throw 1 of 1
9:02.0,Turnover by C. McCollum (lost ball),,38-53,,
8:43.0,,,38-55,2,A. Varejao makes 2-pt shot from 5 ft
8:41.0,Portland full timeout,,38-55,,
8:22.0,C. McCollum makes 2-pt shot from 5 ft,2,40-55,,
8:11.0,,,40-55,,Shooting foul by E. Davis (drawn by H. Barnes)
8:11.0,,,40-56,1,H. Barnes makes free throw 1 of 2
8:11.0,M. Harkless enters the game for E. Davis,,40-56,,
8:11.0,,,40-56,,H. Barnes misses free throw 2 of 2
8:09.0,Defensive rebound by Team,,40-56,,
8:07.0,,,40-56,,Loose ball foul by A. Varejao
7:50.0,A. Crabbe misses 3-pt shot from 26 ft,,40-56,,
7:50.0,,,40-56,,Defensive rebound by A. Varejao
7:41.0,,,40-56,,K. Thompson misses 3-pt shot from 26 ft
7:40.0,,,40-56,,Offensive rebound by A. Iguodala
7:29.0,,,40-56,,A. Iguodala misses 3-pt shot from 26 ft
7:27.0,,,40-56,,Offensive rebound by H. Barnes
7:12.0,,,40-56,,K. Thompson misses 2-pt shot from 15 ft
7:12.0,,,40-56,,Offensive rebound by Team
7:12.0,Loose ball foul by G. Henderson,,40-56,,
7:12.0,,,40-57,1,H. Barnes makes free throw 1 of 2
7:12.0,,,40-57,,H. Barnes misses free throw 2 of 2
7:11.0,Defensive rebound by A. Crabbe,,40-57,,
6:59.0,C. McCollum misses 3-pt shot from 25 ft,,40-57,,
6:58.0,Offensive rebound by C. McCollum,,40-57,,
6:47.0,M. Harkless misses 2-pt shot from 2 ft,,40-57,,
6:46.0,,,40-57,,Defensive rebound by H. Barnes
6:41.0,,,40-59,2,A. Varejao makes 2-pt shot from 2 ft (assist by A. Iguodala)
6:23.0,C. McCollum misses 2-pt shot from 10 ft,,40-59,,
6:23.0,,,40-59,,Defensive rebound by A. Varejao
6:15.0,,,40-61,2,K. Thompson makes 2-pt shot from 18 ft
6:15.0,Portland full timeout,,40-61,,
6:15.0,,,40-61,,D. Green enters the game for A. Iguodala
6:15.0,,,40-61,,S. Curry enters the game for A. Varejao
6:15.0,D. Lillard enters the game for C. McCollum,,40-61,,
6:15.0,M. Plumlee enters the game for M. Leonard,,40-61,,
6:06.0,D. Lillard misses 3-pt shot from 25 ft (block by S. Livingston),,40-61,,
6:03.0,Offensive rebound by D. Lillard,,40-61,,
6:01.0,M. Plumlee makes 2-pt shot from 4 ft (assist by G. Henderson),2,42-61,,
6:01.0,Shooting foul by D. Green (drawn by M. Plumlee),,42-61,,
6:01.0,M. Plumlee makes free throw 1 of 1,1,43-61,,
5:54.0,Personal foul by D. Lillard,,43-61,,
5:54.0,Official timeout,,43-61,,
5:54.0,,,43-62,1,D. Green makes free throw 1 of 2
5:54.0,,,43-63,1,D. Green makes free throw 2 of 2
5:43.0,Turnover by M. Plumlee (lost ball; steal by S. Curry),,43-63,,
5:33.0,,,43-63,,Offensive charge foul by H. Barnes
5:33.0,,,43-63,,Turnover by H. Barnes (offensive foul)
5:27.0,M. Plumlee misses 2-pt shot from 3 ft,,43-63,,
5:27.0,,,43-63,,Defensive rebound by H. Barnes
5:16.0,,,43-66,3,K. Thompson makes 3-pt shot from 23 ft (assist by D. Green)
4:55.0,D. Lillard makes 2-pt shot from 3 ft (assist by M. Plumlee),2,45-66,,
4:45.0,,,45-66,,D. Green misses 3-pt shot from 26 ft
4:44.0,Defensive rebound by A. Crabbe,,45-66,,
4:35.0,G. Henderson makes 3-pt shot from 26 ft (assist by D. Lillard),3,48-66,,
4:27.0,,,48-66,,Golden State full timeout
4:27.0,,,48-66,,B. Rush enters the game for H. Barnes
4:27.0,,,48-66,,A. Bogut enters the game for S. Livingston
4:27.0,A. Aminu enters the game for G. Henderson,,48-66,,
4:27.0,C. McCollum enters the game for A. Crabbe,,48-66,,
4:17.0,,,48-66,,Turnover by D. Green (lost ball; steal by A. Aminu)
4:07.0,A. Aminu makes 3-pt shot from 23 ft,3,51-66,,
3:54.0,Personal foul by M. Harkless,,51-66,,
3:54.0,,,51-66,,S. Curry misses free throw 1 of 2
3:54.0,,,51-66,,Offensive rebound by Team
3:54.0,,,51-67,1,S. Curry makes free throw 2 of 2
3:35.0,M. Harkless misses 3-pt shot from 23 ft,,51-67,,
3:35.0,,,51-67,,Defensive rebound by K. Thompson
3:19.0,,,51-70,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry)
3:09.0,D. Lillard misses 2-pt shot from 1 ft (block by A. Bogut),,51-70,,
3:08.0,,,51-70,,Defensive rebound by D. Green
2:57.0,,,51-70,,S. Curry misses 3-pt shot from 26 ft
2:57.0,Defensive rebound by Team,,51-70,,
2:57.0,,,51-70,,Golden State full timeout
2:45.0,C. McCollum misses 2-pt shot from 10 ft,,51-70,,
2:45.0,,,51-70,,Defensive rebound by Team
2:45.0,Personal foul by M. Harkless,,51-70,,
2:45.0,,,51-70,,B. Rush misses free throw 1 of 2
2:45.0,,,51-70,,Offensive rebound by Team
2:45.0,,,51-71,1,B. Rush makes free throw 2 of 2
2:28.0,A. Aminu makes 3-pt shot from 24 ft (assist by M. Plumlee),3,54-71,,
2:10.0,,,54-73,2,S. Curry makes 2-pt shot from 5 ft (assist by A. Bogut)
2:05.0,Turnover by M. Plumlee (lost ball),,54-73,,
1:51.0,,,54-73,,Turnover by S. Curry (lost ball; steal by D. Lillard)
1:43.0,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum),2,56-73,,
1:24.0,,,56-76,3,B. Rush makes 3-pt shot from 25 ft (assist by D. Green)
1:01.0,C. McCollum makes 3-pt shot from 25 ft,3,59-76,,
0:47.0,,,59-79,3,K. Thompson makes 3-pt shot from 25 ft (assist by A. Bogut)
0:31.0,D. Lillard misses 2-pt shot from 2 ft,,59-79,,
0:30.0,Offensive rebound by M. Plumlee,,59-79,,
0:30.0,M. Plumlee makes 2-pt shot at rim,2,61-79,,
0:05.0,,,61-79,,D. Green misses 3-pt shot from 23 ft
0:04.0,,,61-79,,Offensive rebound by Team
0:02.0,,,61-81,2,S. Curry makes 2-pt shot from 18 ft (assist by A. Bogut)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,61-84,3,S. Curry makes 3-pt shot from 25 ft (assist by H. Barnes)
11:26.0,C. McCollum makes 2-pt shot from 1 ft,2,63-84,,
11:21.0,,,63-84,,Turnover by A. Bogut (lost ball; steal by C. McCollum)
11:17.0,C. McCollum misses 2-pt shot from 4 ft,,63-84,,
11:17.0,,,63-84,,Defensive rebound by D. Green
11:12.0,,,63-86,2,K. Thompson makes 2-pt shot from 17 ft
10:44.0,Turnover by Team (shot clock),,63-86,,
10:31.0,,,63-86,,S. Curry misses 3-pt shot from 26 ft
10:30.0,Defensive rebound by M. Plumlee,,63-86,,
10:20.0,N. Vonleh makes 3-pt shot from 24 ft (assist by D. Lillard),3,66-86,,
10:01.0,Personal foul by N. Vonleh,,66-86,,
10:01.0,,,66-87,1,D. Green makes free throw 1 of 2
10:01.0,,,66-87,,I. Clark enters the game for S. Curry
10:01.0,,,66-88,1,D. Green makes free throw 2 of 2
9:51.0,D. Lillard misses 2-pt shot from 2 ft,,66-88,,
9:50.0,,,66-88,,Defensive rebound by D. Green
9:32.0,,,66-88,,D. Green misses 2-pt shot from 5 ft
9:31.0,,,66-88,,Offensive rebound by K. Thompson
9:27.0,,,66-91,3,K. Thompson makes 3-pt shot from 26 ft (assist by A. Bogut)
9:01.0,N. Vonleh misses 3-pt shot from 25 ft,,66-91,,
9:01.0,,,66-91,,Defensive rebound by K. Thompson
8:56.0,,,66-91,,I. Clark misses 3-pt shot from 24 ft
8:55.0,Defensive rebound by D. Lillard,,66-91,,
8:47.0,D. Lillard misses 3-pt shot from 24 ft,,66-91,,
8:46.0,,,66-91,,Defensive rebound by D. Green
8:23.0,,,66-93,2,A. Bogut makes 2-pt shot from 7 ft (assist by D. Green)
8:05.0,D. Lillard misses 2-pt shot from 3 ft,,66-93,,
8:04.0,,,66-93,,Defensive rebound by A. Bogut
7:59.0,,,66-93,,H. Barnes misses 2-pt shot at rim
7:58.0,,,66-93,,Offensive rebound by I. Clark
7:58.0,,,66-93,,I. Clark misses 2-pt shot from 2 ft
7:56.0,Defensive rebound by M. Plumlee,,66-93,,
7:49.0,C. McCollum misses 2-pt shot from 4 ft (block by A. Bogut),,66-93,,
7:49.0,Offensive rebound by Team,,66-93,,
7:49.0,,,66-93,,S. Curry enters the game for I. Clark
7:42.0,D. Lillard misses 3-pt shot from 27 ft,,66-93,,
7:40.0,,,66-93,,Defensive rebound by A. Bogut
7:30.0,,,66-93,,A. Bogut misses 2-pt shot from 7 ft
7:30.0,Defensive rebound by M. Plumlee,,66-93,,
7:20.0,,,66-93,,Personal foul by A. Bogut
7:20.0,M. Plumlee makes free throw 1 of 2,1,67-93,,
7:20.0,M. Plumlee makes free throw 2 of 2,1,68-93,,
7:01.0,,,68-95,2,K. Thompson makes 2-pt shot from 12 ft
6:39.0,D. Lillard misses 3-pt shot from 25 ft,,68-95,,
6:38.0,,,68-95,,Defensive rebound by D. Green
6:27.0,,,68-95,,K. Thompson misses 2-pt shot from 19 ft
6:27.0,,,68-95,,Offensive rebound by A. Bogut
6:27.0,,,68-95,,A. Bogut misses 2-pt shot from 2 ft
6:24.0,,,68-95,,Offensive rebound by A. Bogut
6:24.0,,,68-95,,A. Bogut misses 2-pt shot from 1 ft
6:23.0,,,68-95,,Offensive rebound by A. Bogut
6:23.0,,,68-95,,A. Bogut misses 2-pt shot from 1 ft
6:22.0,Defensive rebound by M. Plumlee,,68-95,,
6:16.0,Turnover by M. Plumlee (lost ball; steal by D. Green),,68-95,,
6:08.0,,,68-95,,Turnover by D. Green (bad pass)
5:54.0,C. McCollum misses 3-pt shot from 26 ft,,68-95,,
5:53.0,,,68-95,,Defensive rebound by A. Bogut
5:47.0,Violation by M. Plumlee (def goaltending),,68-95,,
5:47.0,,,68-97,2,S. Curry makes 2-pt shot from 2 ft
5:47.0,Portland full timeout,,68-97,,
5:47.0,,,68-97,,A. Iguodala enters the game for H. Barnes
5:47.0,,,68-97,,J. McAdoo enters the game for A. Bogut
5:47.0,M. Leonard enters the game for N. Vonleh,,68-97,,
5:47.0,M. Harkless enters the game for M. Plumlee,,68-97,,
5:27.0,A. Aminu misses 2-pt shot from 16 ft,,68-97,,
5:26.0,,,68-97,,Defensive rebound by K. Thompson
5:04.0,,,68-100,3,S. Curry makes 3-pt shot from 23 ft (assist by D. Green)
4:49.0,,,68-100,,Def 3 sec tech foul by J. McAdoo
4:49.0,D. Lillard makes technical free throw,1,69-100,,
4:46.0,,,69-100,,Personal foul by S. Curry
4:41.0,Turnover by D. Lillard (lost ball; steal by S. Curry),,69-100,,
4:37.0,Personal foul by A. Aminu,,69-100,,
4:37.0,,,69-101,1,A. Iguodala makes free throw 1 of 2
4:37.0,,,69-101,,A. Iguodala misses free throw 2 of 2
4:36.0,Defensive rebound by M. Leonard,,69-101,,
4:24.0,M. Harkless makes 2-pt shot at rim (assist by D. Lillard),2,71-101,,
4:09.0,,,71-101,,D. Green misses 2-pt shot from 6 ft
4:07.0,,,71-101,,Offensive rebound by J. McAdoo
4:07.0,,,71-101,,Shooting foul by A. Aminu (drawn by J. McAdoo)
4:07.0,,,71-102,1,J. McAdoo makes free throw 1 of 2
4:07.0,,,71-102,,L. Barbosa enters the game for K. Thompson
4:07.0,A. Crabbe enters the game for A. Aminu,,71-102,,
4:07.0,,,71-102,,J. McAdoo misses free throw 2 of 2
4:06.0,Defensive rebound by M. Leonard,,71-102,,
3:55.0,D. Lillard makes 3-pt shot from 25 ft,3,74-102,,
3:45.0,,,74-102,,Shooting foul by C. McCollum (drawn by J. McAdoo)
3:45.0,,,74-103,1,J. McAdoo makes free throw 1 of 2
3:45.0,,,74-104,1,J. McAdoo makes free throw 2 of 2
3:22.0,C. McCollum makes 3-pt shot from 29 ft (assist by M. Leonard),3,77-104,,
3:03.0,,,77-104,,S. Curry misses 3-pt shot from 22 ft (block by A. Crabbe)
3:02.0,,,77-104,,Offensive rebound by D. Green
3:01.0,,,77-106,2,D. Green makes 2-pt shot from 2 ft
2:48.0,M. Leonard makes 3-pt shot from 26 ft (assist by D. Lillard),3,80-106,,
2:25.0,,,80-106,,S. Curry misses 2-pt shot from 1 ft
2:24.0,Defensive rebound by M. Leonard,,80-106,,
2:16.0,D. Lillard makes 3-pt shot from 25 ft,3,83-106,,
1:59.0,Loose ball foul by D. Lillard,,83-106,,
1:59.0,,,83-106,,Golden State full timeout
1:59.0,B. Roberts enters the game for C. McCollum,,83-106,,
1:59.0,,,83-106,,I. Clark enters the game for S. Curry
1:59.0,,,83-106,,A. Iguodala misses free throw 1 of 2
1:59.0,,,83-106,,Offensive rebound by Team
1:59.0,,,83-107,1,A. Iguodala makes free throw 2 of 2
1:58.0,,,83-107,,Personal take foul by I. Clark
1:58.0,,,83-107,,S. Curry enters the game for I. Clark
1:58.0,,,83-107,,B. Rush enters the game for A. Iguodala
1:37.0,Turnover by M. Leonard (lost ball; steal by D. Green),,83-107,,
1:32.0,,,83-107,,Turnover by S. Curry (lost ball; steal by A. Crabbe)
1:24.0,B. Roberts misses 2-pt shot from 2 ft,,83-107,,
1:23.0,,,83-107,,Defensive rebound by D. Green
1:09.0,,,83-110,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Green)
0:42.0,M. Harkless misses 3-pt shot from 27 ft,,83-110,,
0:41.0,,,83-110,,Defensive rebound by J. McAdoo
0:34.0,,,83-110,,S. Curry misses 3-pt shot from 26 ft
0:33.0,Defensive rebound by M. Leonard,,83-110,,
0:13.0,D. Lillard makes 3-pt shot from 29 ft,3,86-110,,
0:03.0,,,86-110,,D. Green misses 3-pt shot from 28 ft
0:02.0,,,86-110,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,B. Roberts makes 2-pt shot from 2 ft,2,88-110,,
11:49.0,Shooting foul by H. Barnes (drawn by B. Roberts),,88-110,,
11:49.0,B. Roberts makes free throw 1 of 1,1,89-110,,
11:32.0,,,89-110,,B. Rush misses 2-pt shot from 9 ft
11:31.0,Defensive rebound by M. Leonard,,89-110,,
11:12.0,M. Leonard makes 2-pt shot from 13 ft (assist by B. Roberts),2,91-110,,
10:42.0,,,91-110,,A. Varejao misses 2-pt shot from 13 ft
10:41.0,Defensive rebound by M. Leonard,,91-110,,
10:35.0,B. Roberts makes 2-pt shot from 2 ft,2,93-110,,
10:35.0,Shooting foul by L. Barbosa (drawn by B. Roberts),,93-110,,
10:35.0,B. Roberts misses free throw 1 of 1,,93-110,,
10:33.0,Offensive rebound by P. Connaughton,,93-110,,
10:31.0,B. Roberts makes 3-pt shot from 25 ft (assist by P. Connaughton),3,96-110,,
10:31.0,,,96-110,,Golden State full timeout
10:31.0,,,96-110,,K. Thompson enters the game for L. Barbosa
10:20.0,,,96-110,,S. Livingston misses 2-pt shot from 12 ft
10:20.0,Defensive rebound by B. Roberts,,96-110,,
10:12.0,A. Crabbe misses 3-pt shot from 27 ft,,96-110,,
10:11.0,,,96-110,,Defensive rebound by B. Rush
10:00.0,,,96-110,,Shooting foul by A. Crabbe (drawn by K. Thompson)
10:00.0,,,96-111,1,K. Thompson makes free throw 1 of 2
10:00.0,,,96-112,1,K. Thompson makes free throw 2 of 2
9:49.0,B. Roberts misses 2-pt shot from 5 ft (block by H. Barnes),,96-112,,
9:46.0,,,96-112,,Defensive rebound by B. Rush
9:33.0,,,96-114,2,K. Thompson makes 2-pt shot from 19 ft (assist by B. Rush)
9:32.0,Technical foul by Team,,96-114,,
9:32.0,,,96-115,1,K. Thompson makes technical free throw
9:11.0,M. Leonard misses 2-pt shot from 7 ft,,96-115,,
9:10.0,,,96-115,,Defensive rebound by A. Varejao
9:05.0,,,96-115,,K. Thompson misses 3-pt shot from 26 ft
9:03.0,,,96-115,,Offensive rebound by H. Barnes
8:54.0,,,96-115,,Turnover by S. Livingston (bad pass)
8:37.0,P. Connaughton misses 2-pt shot from 5 ft,,96-115,,
8:36.0,,,96-115,,Defensive rebound by A. Varejao
8:26.0,,,96-117,2,K. Thompson makes 2-pt shot from 18 ft
8:02.0,P. Connaughton misses 3-pt shot from 25 ft (block by S. Livingston),,96-117,,
8:00.0,Offensive rebound by M. Leonard,,96-117,,
7:58.0,Turnover by Team (shot clock),,96-117,,
7:45.0,Personal foul by M. Harkless,,96-117,,
7:35.0,,,96-117,,A. Varejao misses 2-pt shot from 16 ft
7:32.0,Defensive rebound by M. Leonard,,96-117,,
7:26.0,,,96-117,,Personal foul by A. Varejao
7:12.0,P. Connaughton makes 3-pt shot from 25 ft (assist by B. Roberts),3,99-117,,
6:53.0,,,99-117,,Shooting foul by M. Harkless (drawn by H. Barnes)
6:53.0,,,99-117,,H. Barnes misses free throw 1 of 2
6:53.0,,,99-117,,Offensive rebound by Team
6:53.0,,,99-118,1,H. Barnes makes free throw 2 of 2
6:39.0,P. Connaughton misses 2-pt shot from 13 ft,,99-118,,
6:38.0,,,99-118,,Defensive rebound by B. Rush
6:22.0,,,99-118,,K. Thompson misses 2-pt shot from 16 ft
6:21.0,Defensive rebound by M. Leonard,,99-118,,
6:08.0,M. Leonard misses 2-pt shot from 6 ft,,99-118,,
6:08.0,,,99-118,,Defensive rebound by A. Varejao
5:54.0,,,99-118,,B. Rush misses 3-pt shot from 23 ft
5:53.0,,,99-118,,Offensive rebound by A. Varejao
5:46.0,,,99-118,,K. Thompson misses 2-pt shot from 19 ft (block by A. Crabbe)
5:44.0,,,99-118,,Offensive rebound by K. Thompson
5:41.0,,,99-118,,H. Barnes misses 3-pt shot from 24 ft
5:39.0,,,99-118,,Offensive rebound by S. Livingston
5:28.0,,,99-118,,H. Barnes misses 2-pt shot from 12 ft
5:26.0,Defensive rebound by M. Leonard,,99-118,,
5:10.0,P. Connaughton makes 2-pt shot from 4 ft,2,101-118,,
5:03.0,,,101-118,,Golden State full timeout
5:03.0,,,101-118,,S. Curry enters the game for S. Livingston
5:03.0,,,101-118,,M. Speights enters the game for A. Varejao
5:03.0,,,101-118,,D. Green enters the game for B. Rush
5:03.0,N. Vonleh enters the game for M. Harkless,,101-118,,
4:46.0,,,101-118,,D. Green misses 2-pt shot from 5 ft (block by N. Vonleh)
4:46.0,,,101-118,,Offensive rebound by D. Green
4:46.0,,,101-120,2,D. Green makes 2-pt shot from 5 ft
