time,Miami,pts.away,score,pts.home,New York
4:27.0,G. Dragic makes 2-pt shot from 1 ft,2,14-15,,
4:10.0,,,14-15,,Shooting foul by H. Whiteside (drawn by K. O'Quinn)
4:10.0,,,14-15,,K. O'Quinn misses free throw 1 of 2
4:10.0,,,14-15,,Offensive rebound by Team
4:10.0,,,14-15,,L. Galloway enters the game for A. Afflalo
4:10.0,T. Johnson enters the game for D. Wade,,14-15,,
4:10.0,,,14-16,1,K. O'Quinn makes free throw 2 of 2
4:01.0,Shooting foul by J. Calderon (drawn by G. Dragic),,14-16,,
4:01.0,G. Dragic makes free throw 1 of 3,1,15-16,,
4:01.0,G. Dragic makes free throw 2 of 3,1,16-16,,
4:01.0,G. Dragic makes free throw 3 of 3,1,17-16,,
3:37.0,,,17-16,,L. Thomas misses 3-pt shot from 24 ft
3:35.0,,,17-16,,Offensive rebound by C. Anthony
3:34.0,,,17-16,,C. Anthony misses 2-pt shot from 4 ft
3:34.0,,,17-16,,Offensive rebound by K. O'Quinn
3:34.0,,,17-16,,Shooting foul by T. Johnson (drawn by K. O'Quinn)
3:34.0,,,17-17,1,K. O'Quinn makes free throw 1 of 2
3:34.0,,,17-17,,J. Grant enters the game for J. Calderon
3:34.0,,,17-18,1,K. O'Quinn makes free throw 2 of 2
3:15.0,T. Johnson makes 2-pt shot from 3 ft (assist by G. Dragic),2,19-18,,
2:57.0,,,19-20,2,C. Anthony makes 2-pt shot at rim (assist by K. O'Quinn)
2:42.0,J. Winslow makes 3-pt shot from 23 ft (assist by G. Dragic),3,22-20,,
2:24.0,,,22-23,3,C. Anthony makes 3-pt shot from 25 ft (assist by L. Thomas)
1:59.0,Shooting foul by K. O'Quinn (drawn by T. Johnson),,22-23,,
1:59.0,,,22-23,,New York full timeout
1:59.0,,,22-23,,K. Seraphin enters the game for K. O'Quinn
1:59.0,C. Bosh enters the game for H. Whiteside,,22-23,,
1:59.0,T. Johnson makes free throw 1 of 2,1,23-23,,
1:59.0,T. Johnson makes free throw 2 of 2,1,24-23,,
1:48.0,,,24-23,,J. Grant misses 2-pt shot from 2 ft
1:46.0,Defensive rebound by J. Winslow,,24-23,,
1:42.0,G. Dragic misses 2-pt shot from 1 ft (block by C. Anthony),,24-23,,
1:40.0,,,24-23,,Defensive rebound by L. Galloway
1:25.0,,,24-25,2,K. Seraphin makes 2-pt shot from 4 ft
1:14.0,Offensive foul by J. McRoberts,,24-25,,
1:14.0,Turnover by J. McRoberts (offensive foul),,24-25,,
1:14.0,,,24-25,,D. Williams enters the game for C. Anthony
0:52.0,,,24-27,2,J. Grant makes 2-pt shot from 1 ft (assist by K. Seraphin)
0:36.0,T. Johnson misses 2-pt shot from 7 ft,,24-27,,
0:35.0,,,24-27,,Defensive rebound by K. Seraphin
0:29.0,,,24-27,,L. Galloway misses 2-pt shot from 21 ft
0:27.0,Defensive rebound by J. Winslow,,24-27,,
0:11.0,Shooting foul by L. Thomas (drawn by C. Bosh),,24-27,,
0:11.0,C. Bosh makes free throw 1 of 2,1,25-27,,
0:11.0,U. Haslem enters the game for J. McRoberts,,25-27,,
0:11.0,G. Green enters the game for G. Dragic,,25-27,,
0:11.0,C. Bosh makes free throw 2 of 2,1,26-27,,
0:00.0,,,26-27,,L. Galloway misses 2-pt shot from 18 ft
0:00.0,,,26-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,26-27,,Offensive foul by D. Williams
11:46.0,,,26-27,,Turnover by D. Williams (offensive foul)
11:39.0,Offensive foul by G. Green,,26-27,,
11:39.0,Turnover by G. Green (offensive foul),,26-27,,
11:29.0,,,26-27,,Offensive foul by K. Seraphin
11:29.0,,,26-27,,Turnover by K. Seraphin (offensive foul)
11:29.0,B. Udrih enters the game for G. Green,,26-27,,
11:29.0,Technical foul by G. Green,,26-27,,
11:29.0,,,26-28,1,L. Galloway makes technical free throw
11:14.0,C. Bosh misses 2-pt shot from 6 ft,,26-28,,
11:12.0,,,26-28,,Defensive rebound by Team
10:49.0,,,26-28,,D. Williams misses 3-pt shot from 24 ft
10:47.0,Defensive rebound by C. Bosh,,26-28,,
10:36.0,U. Haslem misses 2-pt shot from 11 ft,,26-28,,
10:34.0,,,26-28,,Defensive rebound by K. Seraphin
10:30.0,,,26-28,,L. Galloway misses 2-pt shot from 2 ft
10:29.0,Defensive rebound by Team,,26-28,,
10:14.0,Turnover by B. Udrih (lost ball),,26-28,,
10:03.0,Personal foul by B. Udrih (drawn by J. Grant),,26-28,,
9:57.0,,,26-28,,Shooting foul by U. Haslem (drawn by L. Thomas)
9:57.0,,,26-29,1,L. Thomas makes free throw 1 of 2
9:57.0,,,26-30,1,L. Thomas makes free throw 2 of 2
9:45.0,C. Bosh makes 2-pt shot from 8 ft (assist by B. Udrih),2,28-30,,
9:31.0,,,28-30,,K. Porzingis enters the game for L. Thomas
9:27.0,,,28-32,2,J. Grant makes 2-pt shot from 1 ft
9:06.0,Shooting foul by K. Porzingis (drawn by C. Bosh),,28-32,,
9:06.0,C. Bosh makes free throw 1 of 2,1,29-32,,
9:06.0,D. Wade enters the game for B. Udrih,,29-32,,
9:06.0,C. Bosh misses free throw 2 of 2,,29-32,,
9:05.0,,,29-32,,Defensive rebound by K. Porzingis
8:56.0,,,29-34,2,K. Seraphin makes 2-pt shot from 13 ft (assist by J. Grant)
8:39.0,C. Bosh makes 3-pt shot from 23 ft (assist by D. Wade),3,32-34,,
8:23.0,,,32-37,3,L. Galloway makes 3-pt shot from 23 ft
8:07.0,C. Bosh makes 2-pt shot from 18 ft (assist by T. Johnson),2,34-37,,
7:51.0,,,34-37,,K. Porzingis misses 3-pt shot from 24 ft
7:49.0,Defensive rebound by J. Winslow,,34-37,,
7:38.0,C. Bosh misses 2-pt shot from 6 ft,,34-37,,
7:36.0,,,34-37,,Defensive rebound by L. Galloway
7:33.0,,,34-37,,Shooting foul by C. Bosh (drawn by L. Galloway)
7:33.0,Official timeout,,34-37,,
7:33.0,H. Whiteside enters the game for U. Haslem,,34-37,,
7:33.0,,,34-37,,L. Galloway misses free throw 1 of 2
7:33.0,,,34-37,,Offensive rebound by Team
7:33.0,,,34-37,,R. Lopez enters the game for K. Seraphin
7:33.0,,,34-37,,L. Galloway misses free throw 2 of 2
7:32.0,Defensive rebound by Team,,34-37,,
7:17.0,D. Wade misses 2-pt shot from 4 ft,,34-37,,
7:15.0,,,34-37,,Defensive rebound by R. Lopez
7:09.0,,,34-39,2,D. Williams makes 2-pt shot from 2 ft (assist by J. Grant)
6:55.0,J. Winslow misses 2-pt shot from 2 ft,,34-39,,
6:52.0,Offensive rebound by H. Whiteside,,34-39,,
6:51.0,,,34-39,,C. Anthony enters the game for D. Williams
6:48.0,Jump ball: L. Galloway vs. H. Whiteside (D. Wade gains possession),,,,Jump ball: L. Galloway vs. H. Whiteside (D. Wade gains possession)
6:43.0,T. Johnson makes 2-pt shot from 14 ft,2,36-39,,
6:27.0,,,36-41,2,J. Grant makes 2-pt shot from 3 ft
6:08.0,C. Bosh misses 3-pt shot from 24 ft,,36-41,,
6:06.0,,,36-41,,Defensive rebound by R. Lopez
6:02.0,,,36-43,2,K. Porzingis makes 2-pt shot at rim (assist by L. Galloway)
6:00.0,Miami full timeout,,36-43,,
6:00.0,,,36-43,,A. Afflalo enters the game for L. Galloway
6:00.0,J. McRoberts enters the game for C. Bosh,,36-43,,
6:00.0,G. Dragic enters the game for T. Johnson,,36-43,,
5:45.0,,,36-43,,Personal foul by A. Afflalo (drawn by D. Wade)
5:37.0,D. Wade misses 2-pt shot from 10 ft,,36-43,,
5:35.0,,,36-43,,Defensive rebound by A. Afflalo
5:28.0,,,36-43,,K. Porzingis misses 2-pt shot from 2 ft
5:26.0,Defensive rebound by H. Whiteside,,36-43,,
5:16.0,Shooting foul by K. Porzingis (drawn by J. McRoberts),,36-43,,
5:16.0,J. McRoberts makes 2-pt shot from 2 ft,2,38-43,,
5:16.0,,,38-43,,J. Calderon enters the game for J. Grant
5:16.0,J. McRoberts misses free throw 1 of 1,,38-43,,
5:16.0,,,38-43,,Defensive rebound by K. Porzingis
4:57.0,,,38-43,,R. Lopez misses 2-pt shot from 2 ft
4:55.0,Defensive rebound by H. Whiteside,,38-43,,
4:44.0,J. Winslow misses 3-pt shot from 22 ft,,38-43,,
4:42.0,,,38-43,,Defensive rebound by K. Porzingis
4:26.0,,,38-45,2,A. Afflalo makes 2-pt shot from 2 ft
4:07.0,D. Wade misses 2-pt shot from 2 ft,,38-45,,
4:06.0,Offensive rebound by Team,,38-45,,
4:06.0,,,38-45,,Loose ball foul by A. Afflalo (drawn by H. Whiteside)
3:56.0,Turnover by D. Wade (bad pass; steal by K. Porzingis),,38-45,,
3:40.0,,,38-45,,A. Afflalo misses 2-pt shot from 23 ft
3:39.0,,,38-45,,Offensive rebound by Team
3:39.0,C. Bosh enters the game for J. McRoberts,,38-45,,
3:24.0,,,38-45,,C. Anthony misses 2-pt shot from 10 ft
3:23.0,Defensive rebound by Team,,38-45,,
3:18.0,,,38-45,,Personal foul by K. Porzingis (drawn by C. Bosh)
3:18.0,C. Bosh makes free throw 1 of 2,1,39-45,,
3:18.0,,,39-45,,K. O'Quinn enters the game for K. Porzingis
3:18.0,C. Bosh makes free throw 2 of 2,1,40-45,,
3:03.0,,,40-45,,J. Calderon misses 3-pt shot from 25 ft
3:01.0,,,40-45,,Offensive rebound by Team
2:59.0,,,40-45,,A. Afflalo misses 2-pt shot from 16 ft
2:57.0,Defensive rebound by D. Wade,,40-45,,
2:48.0,C. Bosh makes 2-pt shot from 2 ft,2,42-45,,
2:40.0,,,42-45,,New York full timeout
2:32.0,,,42-47,2,K. O'Quinn makes 2-pt shot from 2 ft (assist by C. Anthony)
2:18.0,C. Bosh misses 2-pt shot from 10 ft,,42-47,,
2:17.0,Offensive rebound by Team,,42-47,,
2:17.0,,,42-47,,Loose ball foul by R. Lopez (drawn by H. Whiteside)
2:17.0,H. Whiteside makes free throw 1 of 2,1,43-47,,
2:17.0,,,43-47,,K. Seraphin enters the game for R. Lopez
2:17.0,,,43-47,,L. Galloway enters the game for A. Afflalo
2:17.0,H. Whiteside makes free throw 2 of 2,1,44-47,,
1:59.0,,,44-49,2,K. Seraphin makes 2-pt shot from 17 ft (assist by L. Galloway)
1:44.0,D. Wade makes 2-pt shot from 15 ft (assist by C. Bosh),2,46-49,,
1:27.0,,,46-49,,K. Seraphin misses 2-pt shot from 17 ft
1:25.0,,,46-49,,Offensive rebound by K. O'Quinn
1:13.0,,,46-49,,Turnover by K. Seraphin (bad pass)
1:00.0,D. Wade makes 2-pt shot from 2 ft,2,48-49,,
0:47.0,,,48-49,,K. Seraphin misses 2-pt shot from 3 ft
0:45.0,Defensive rebound by G. Dragic,,48-49,,
0:31.0,H. Whiteside misses 2-pt shot from 15 ft,,48-49,,
0:29.0,Offensive rebound by D. Wade,,48-49,,
0:27.0,Miami full timeout,,48-49,,
0:27.0,G. Green enters the game for H. Whiteside,,48-49,,
0:27.0,,,48-49,,L. Thomas enters the game for K. Seraphin
0:07.0,C. Bosh makes 2-pt shot from 12 ft,2,50-49,,
0:01.0,,,50-49,,C. Anthony misses 3-pt shot from 25 ft
0:00.0,,,50-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,50-49,,C. Anthony misses 2-pt shot from 13 ft
11:37.0,Defensive rebound by G. Green,,50-49,,
11:30.0,G. Dragic misses 2-pt shot from 15 ft,,50-49,,
11:28.0,Offensive rebound by H. Whiteside,,50-49,,
11:25.0,H. Whiteside misses 2-pt shot from 3 ft,,50-49,,
11:25.0,,,50-49,,Defensive rebound by Team
11:12.0,,,50-49,,R. Lopez misses 2-pt shot from 1 ft
11:10.0,Defensive rebound by G. Dragic,,50-49,,
10:53.0,G. Green makes 2-pt shot from 1 ft,2,52-49,,
10:37.0,,,52-49,,C. Anthony misses 2-pt shot from 19 ft
10:36.0,Defensive rebound by Team,,52-49,,
10:18.0,D. Wade misses 2-pt shot from 12 ft,,52-49,,
10:16.0,,,52-49,,Defensive rebound by K. Porzingis
9:56.0,,,52-51,2,K. Porzingis makes 2-pt shot from 17 ft (assist by A. Afflalo)
9:37.0,C. Bosh misses 3-pt shot from 24 ft,,52-51,,
9:35.0,,,52-51,,Defensive rebound by C. Anthony
9:27.0,,,52-51,,C. Anthony misses 2-pt shot from 8 ft
9:25.0,,,52-51,,Offensive rebound by R. Lopez
9:25.0,,,52-53,2,R. Lopez makes 2-pt shot from 1 ft
9:09.0,Shooting foul by R. Lopez (drawn by H. Whiteside),,52-53,,
9:09.0,H. Whiteside makes free throw 1 of 2,1,53-53,,
9:09.0,,,53-53,,K. O'Quinn enters the game for R. Lopez
9:09.0,H. Whiteside makes free throw 2 of 2,1,54-53,,
8:56.0,,,54-53,,K. Porzingis misses 2-pt shot from 3 ft
8:54.0,Defensive rebound by H. Whiteside,,54-53,,
8:37.0,Turnover by D. Wade (bad pass; steal by K. O'Quinn),,54-53,,
8:29.0,,,54-53,,K. O'Quinn misses 2-pt shot from 2 ft
8:27.0,Defensive rebound by H. Whiteside,,54-53,,
8:23.0,G. Green misses 3-pt shot from 24 ft,,54-53,,
8:21.0,,,54-53,,Defensive rebound by K. O'Quinn
8:11.0,,,54-53,,Offensive foul by K. Porzingis
8:11.0,,,54-53,,Turnover by K. Porzingis (offensive foul)
8:11.0,,,54-53,,K. Seraphin enters the game for K. Porzingis
7:54.0,D. Wade makes 2-pt shot from 17 ft (assist by C. Bosh),2,56-53,,
7:38.0,,,56-53,,Turnover by K. O'Quinn (bad pass; steal by G. Dragic)
7:34.0,G. Dragic makes 2-pt shot from 1 ft,2,58-53,,
7:33.0,,,58-53,,New York full timeout
7:33.0,,,58-53,,L. Thomas enters the game for K. O'Quinn
7:13.0,,,58-53,,L. Thomas misses 2-pt shot from 4 ft
7:12.0,,,58-53,,Offensive rebound by K. Seraphin
7:11.0,,,58-55,2,K. Seraphin makes 2-pt shot at rim
6:42.0,Turnover by Team (shot clock),,58-55,,
6:29.0,,,58-55,,K. Seraphin misses 2-pt shot from 6 ft
6:27.0,Defensive rebound by C. Bosh,,58-55,,
6:16.0,G. Green makes 3-pt shot from 24 ft (assist by D. Wade),3,61-55,,
6:05.0,J. McRoberts enters the game for C. Bosh,,61-55,,
6:00.0,,,61-55,,C. Anthony misses 3-pt shot from 22 ft
5:58.0,Defensive rebound by H. Whiteside,,61-55,,
5:50.0,Shooting foul by C. Anthony (drawn by G. Green),,61-55,,
5:50.0,G. Green makes free throw 1 of 3,1,62-55,,
5:50.0,G. Green makes free throw 2 of 3,1,63-55,,
5:50.0,G. Green makes free throw 3 of 3,1,64-55,,
5:30.0,,,64-55,,K. Seraphin misses 2-pt shot from 2 ft (block by H. Whiteside)
5:29.0,,,64-55,,Offensive rebound by L. Thomas
5:28.0,,,64-55,,L. Thomas misses 2-pt shot from 12 ft (block by H. Whiteside)
5:27.0,,,64-55,,Offensive rebound by Team
5:26.0,,,64-55,,Turnover by Team (shot clock)
5:13.0,G. Green misses 3-pt shot from 23 ft,,64-55,,
5:11.0,,,64-55,,Defensive rebound by A. Afflalo
5:06.0,,,64-55,,C. Anthony misses 2-pt shot from 1 ft
5:04.0,Defensive rebound by H. Whiteside,,64-55,,
5:01.0,G. Dragic makes 2-pt shot from 1 ft,2,66-55,,
4:38.0,,,66-55,,J. Calderon misses 2-pt shot from 19 ft
4:36.0,Defensive rebound by D. Wade,,66-55,,
4:27.0,D. Wade misses 2-pt shot from 6 ft,,66-55,,
4:25.0,,,66-55,,Defensive rebound by A. Afflalo
4:20.0,,,66-55,,A. Afflalo misses 2-pt shot from 4 ft (block by H. Whiteside)
4:20.0,,,66-55,,Offensive rebound by Team
4:20.0,Miami full timeout,,66-55,,
4:20.0,J. Winslow enters the game for G. Green,,66-55,,
4:20.0,,,66-55,,J. Grant enters the game for A. Afflalo
4:20.0,,,66-55,,L. Galloway enters the game for J. Calderon
4:13.0,,,66-55,,L. Galloway misses 2-pt shot from 21 ft
4:11.0,Defensive rebound by H. Whiteside,,66-55,,
3:50.0,D. Wade misses 2-pt shot from 16 ft,,66-55,,
3:48.0,Offensive rebound by Team,,66-55,,
3:42.0,G. Dragic misses 2-pt shot from 6 ft,,66-55,,
3:41.0,,,66-55,,Defensive rebound by J. Grant
3:33.0,,,66-57,2,L. Thomas makes 2-pt shot from 12 ft (assist by J. Grant)
3:13.0,D. Wade makes 2-pt shot from 4 ft,2,68-57,,
3:01.0,,,68-57,,C. Anthony misses 2-pt shot from 17 ft
2:59.0,Defensive rebound by J. McRoberts,,68-57,,
2:49.0,Turnover by D. Wade (bad pass; steal by C. Anthony),,68-57,,
2:32.0,,,68-59,2,K. Seraphin makes 2-pt shot from 2 ft
2:14.0,Shooting foul by K. Seraphin (drawn by D. Wade),,68-59,,
2:14.0,D. Wade makes free throw 1 of 2,1,69-59,,
2:14.0,C. Bosh enters the game for H. Whiteside,,69-59,,
2:14.0,,,69-59,,K. O'Quinn enters the game for C. Anthony
2:14.0,,,69-59,,L. Amundson enters the game for L. Thomas
2:14.0,,,69-59,,D. Williams enters the game for K. Seraphin
2:14.0,D. Wade makes free throw 2 of 2,1,70-59,,
1:50.0,,,70-61,2,L. Galloway makes 2-pt shot from 17 ft (assist by J. Grant)
1:29.0,C. Bosh makes 2-pt shot from 13 ft (assist by D. Wade),2,72-61,,
1:06.0,,,72-63,2,L. Amundson makes 2-pt shot from 1 ft (assist by J. Grant)
0:49.0,G. Dragic misses 2-pt shot from 15 ft,,72-63,,
0:48.0,,,72-63,,Defensive rebound by L. Amundson
0:34.0,,,72-63,,J. Grant misses 2-pt shot from 1 ft
0:32.0,Defensive rebound by J. McRoberts,,72-63,,
0:13.0,D. Wade makes 2-pt shot from 8 ft,2,74-63,,
0:02.0,,,74-63,,K. O'Quinn misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by J. Winslow,,74-63,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Shooting foul by L. Amundson (drawn by J. Winslow),,74-63,,
11:46.0,J. Winslow makes free throw 1 of 2,1,75-63,,
11:46.0,J. Winslow makes free throw 2 of 2,1,76-63,,
11:25.0,,,76-65,2,D. Williams makes 2-pt shot from 15 ft
10:57.0,G. Green misses 3-pt shot from 23 ft,,76-65,,
10:55.0,,,76-65,,Defensive rebound by K. O'Quinn
10:42.0,,,76-68,3,D. Williams makes 3-pt shot from 24 ft (assist by J. Grant)
10:18.0,C. Bosh makes 2-pt shot from 16 ft,2,78-68,,
9:59.0,,,78-68,,K. O'Quinn misses 3-pt shot from 23 ft
9:57.0,Defensive rebound by C. Bosh,,78-68,,
9:49.0,C. Bosh misses 3-pt shot from 24 ft,,78-68,,
9:47.0,,,78-68,,Defensive rebound by D. Williams
9:42.0,,,78-68,,Shooting foul by J. Winslow (drawn by D. Williams)
9:42.0,,,78-69,1,D. Williams makes free throw 1 of 2
9:42.0,,,78-69,,K. Porzingis enters the game for K. O'Quinn
9:42.0,,,78-70,1,D. Williams makes free throw 2 of 2
9:23.0,G. Green makes 2-pt shot at rim,2,80-70,,
9:12.0,Personal foul by G. Green (drawn by J. Grant),,80-70,,
9:12.0,,,80-70,,C. Anthony enters the game for L. Amundson
9:04.0,,,80-70,,Turnover by K. Porzingis (lost ball; steal by T. Johnson)
9:01.0,Turnover by T. Johnson (bad pass; steal by J. Grant),,80-70,,
8:56.0,,,80-70,,D. Williams misses 2-pt shot from 2 ft (block by C. Bosh)
8:54.0,Defensive rebound by J. McRoberts,,80-70,,
8:46.0,G. Green makes 3-pt shot from 24 ft (assist by C. Bosh),3,83-70,,
8:45.0,,,83-70,,New York full timeout
8:20.0,,,83-70,,K. Porzingis misses 2-pt shot from 2 ft
8:19.0,Defensive rebound by J. McRoberts,,83-70,,
8:09.0,G. Green makes 2-pt shot at rim (assist by J. McRoberts),2,85-70,,
7:54.0,,,85-70,,J. Grant misses 2-pt shot from 2 ft
7:52.0,Defensive rebound by G. Green,,85-70,,
7:42.0,T. Johnson misses 2-pt shot from 2 ft,,85-70,,
7:40.0,,,85-70,,Defensive rebound by L. Galloway
7:18.0,,,85-72,2,K. Porzingis makes 2-pt shot from 11 ft
6:59.0,G. Green makes 2-pt shot from 10 ft (assist by J. McRoberts),2,87-72,,
6:42.0,,,87-72,,Turnover by K. Porzingis (lost ball; steal by J. Winslow)
6:38.0,J. Winslow makes 2-pt shot from 1 ft,2,89-72,,
6:18.0,,,89-72,,D. Williams misses 3-pt shot from 23 ft
6:16.0,Defensive rebound by Team,,89-72,,
6:16.0,,,89-72,,J. Calderon enters the game for J. Grant
6:16.0,H. Whiteside enters the game for C. Bosh,,89-72,,
5:57.0,G. Green makes 3-pt shot from 24 ft (assist by T. Johnson),3,92-72,,
5:36.0,Personal foul by J. Winslow (drawn by C. Anthony),,92-72,,
5:36.0,Official timeout,,92-72,,
5:36.0,,,92-72,,R. Lopez enters the game for D. Williams
5:24.0,Violation by H. Whiteside (def goaltending),,92-72,,
5:24.0,,,92-74,2,L. Galloway makes 2-pt shot from 1 ft
5:10.0,H. Whiteside misses 2-pt shot from 4 ft (block by K. Porzingis),,92-74,,
5:10.0,Offensive rebound by Team,,92-74,,
5:06.0,G. Green misses 3-pt shot from 24 ft,,92-74,,
5:03.0,Offensive rebound by J. Winslow,,92-74,,
4:44.0,J. Winslow makes 2-pt shot from 18 ft (assist by J. McRoberts),2,94-74,,
4:20.0,,,94-74,,J. Calderon misses 2-pt shot from 20 ft
4:18.0,Defensive rebound by Team,,94-74,,
4:11.0,,,94-74,,Personal foul by L. Galloway (drawn by G. Green)
4:03.0,G. Green misses 2-pt shot from 17 ft,,94-74,,
4:02.0,,,94-74,,Defensive rebound by K. Porzingis
3:52.0,,,94-74,,Offensive foul by C. Anthony
3:52.0,,,94-74,,Turnover by C. Anthony (offensive foul)
3:41.0,J. Winslow misses 2-pt shot from 4 ft (block by K. Porzingis),,94-74,,
3:38.0,,,94-74,,Defensive rebound by R. Lopez
3:21.0,,,94-74,,R. Lopez misses 2-pt shot from 4 ft (block by H. Whiteside)
3:20.0,Defensive rebound by H. Whiteside,,94-74,,
3:20.0,,,94-74,,Loose ball foul by R. Lopez (drawn by H. Whiteside)
3:05.0,G. Green misses 2-pt shot from 2 ft (block by K. Porzingis),,94-74,,
3:02.0,,,94-74,,Defensive rebound by K. Porzingis
2:51.0,,,94-76,2,K. Porzingis makes 2-pt shot from 12 ft (assist by R. Lopez)
2:40.0,,,94-76,,Personal foul by K. Porzingis (drawn by J. McRoberts)
2:40.0,Miami full timeout,,94-76,,
