time,Philadelphia,pts.away,score,pts.home,LA Clippers
4:11.0,J. Grant makes 3-pt shot from 23 ft (assist by N. Stauskas),3,17-17,,
4:01.0,Personal foul by T. McConnell (drawn by C. Paul),,17-17,,
4:01.0,,,17-18,1,C. Paul makes free throw 1 of 2
4:01.0,,,17-18,,A. Rivers enters the game for J. Redick
4:01.0,,,17-19,1,C. Paul makes free throw 2 of 2
3:51.0,T. McConnell misses 2-pt shot from 7 ft,,17-19,,
3:51.0,Offensive rebound by J. Okafor,,17-19,,
3:49.0,J. Okafor makes 2-pt shot from 1 ft,2,19-19,,
3:35.0,,,19-19,,C. Paul misses 2-pt shot from 18 ft
3:35.0,Defensive rebound by R. Covington,,19-19,,
3:26.0,,,19-19,,Personal foul by A. Rivers (drawn by N. Stauskas)
3:26.0,,,19-19,,P. Prigioni enters the game for C. Paul
3:08.0,N. Stauskas makes 3-pt shot from 25 ft,3,22-19,,
2:53.0,,,22-19,,Turnover by J. Crawford (bad pass; steal by T. McConnell)
2:40.0,J. Okafor makes 2-pt shot from 4 ft,2,24-19,,
2:27.0,,,24-22,3,W. Johnson makes 3-pt shot from 25 ft (assist by P. Prigioni)
2:09.0,N. Stauskas misses 2-pt shot from 15 ft,,24-22,,
2:09.0,Jump ball: D. Jordan vs. J. Okafor (P. Prigioni gains possession),,,,Jump ball: D. Jordan vs. J. Okafor (P. Prigioni gains possession)
2:09.0,,,24-22,,Defensive rebound by D. Jordan
1:57.0,,,24-24,2,J. Crawford makes 2-pt shot from 21 ft
1:33.0,N. Stauskas makes 3-pt shot from 25 ft (assist by J. Okafor),3,27-24,,
1:22.0,,,27-24,,Shooting foul by J. Grant (drawn by J. Crawford)
1:22.0,,,27-25,1,J. Crawford makes free throw 1 of 2
1:22.0,,,27-25,,C. Aldrich enters the game for D. Jordan
1:22.0,,,27-25,,L. Stephenson enters the game for W. Johnson
1:22.0,I. Canaan enters the game for J. Grant,,27-25,,
1:22.0,,,27-26,1,J. Crawford makes free throw 2 of 2
1:07.0,J. Okafor misses 2-pt shot from 7 ft,,27-26,,
1:06.0,,,27-26,,Defensive rebound by C. Aldrich
0:54.0,,,27-26,,Offensive foul by C. Aldrich
0:54.0,,,27-26,,Turnover by C. Aldrich (offensive foul)
0:41.0,J. Okafor makes 2-pt shot from 4 ft,2,29-26,,
0:34.0,,,29-26,,Shooting foul by I. Canaan (drawn by J. Crawford)
0:34.0,,,29-27,1,J. Crawford makes free throw 1 of 2
0:34.0,,,29-28,1,J. Crawford makes free throw 2 of 2
0:33.0,,,29-28,,Personal foul by P. Prigioni (drawn by T. McConnell)
0:19.0,R. Covington misses 2-pt shot from 3 ft (block by C. Aldrich),,29-28,,
0:17.0,,,29-28,,Defensive rebound by L. Stephenson
0:00.0,,,29-31,3,A. Rivers makes 3-pt shot from 25 ft (assist by C. Aldrich)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,Personal foul by R. Covington (drawn by C. Aldrich),,29-31,,
11:31.0,,,29-33,2,C. Aldrich makes 2-pt shot from 9 ft (assist by A. Rivers)
11:09.0,J. Okafor makes 2-pt shot from 12 ft,2,31-33,,
10:59.0,,,31-35,2,A. Rivers makes 2-pt shot from 1 ft
10:59.0,,,31-35,,Shooting foul by N. Stauskas (drawn by A. Rivers)
10:59.0,,,31-36,1,A. Rivers makes free throw 1 of 1
10:44.0,R. Covington misses 3-pt shot from 26 ft,,31-36,,
10:44.0,Offensive rebound by J. Okafor,,31-36,,
10:40.0,J. Sampson enters the game for I. Canaan,,31-36,,
10:32.0,N. Stauskas misses 2-pt shot from 3 ft,,31-36,,
10:31.0,,,31-36,,Defensive rebound by P. Prigioni
10:22.0,,,31-36,,J. Crawford misses 3-pt shot from 25 ft
10:21.0,Defensive rebound by T. McConnell,,31-36,,
10:15.0,N. Stauskas makes 3-pt shot from 22 ft (assist by T. McConnell),3,34-36,,
9:52.0,,,34-38,2,C. Aldrich makes 2-pt shot from 2 ft (assist by J. Crawford)
9:36.0,Shooting foul by C. Aldrich (drawn by J. Okafor),,34-38,,
9:36.0,J. Okafor makes free throw 1 of 2,1,35-38,,
9:36.0,J. Okafor misses free throw 2 of 2,,35-38,,
9:35.0,,,35-38,,Defensive rebound by C. Aldrich
9:17.0,,,35-40,2,C. Aldrich makes 2-pt shot from 3 ft (assist by L. Stephenson)
8:57.0,J. Okafor misses 2-pt shot from 2 ft,,35-40,,
8:56.0,,,35-40,,Defensive rebound by L. Stephenson
8:54.0,,,35-40,,Shooting foul by J. Sampson (drawn by L. Stephenson)
8:54.0,Official timeout,,35-40,,
8:54.0,I. Smith enters the game for T. McConnell,,35-40,,
8:54.0,,,35-41,1,L. Stephenson makes free throw 1 of 2
8:54.0,,,35-41,,L. Stephenson misses free throw 2 of 2
8:53.0,Defensive rebound by N. Stauskas,,35-41,,
8:37.0,Shooting foul by C. Aldrich (drawn by J. Okafor),,35-41,,
8:37.0,J. Okafor misses free throw 1 of 2,,35-41,,
8:37.0,Offensive rebound by Team,,35-41,,
8:37.0,,,35-41,,D. Jordan enters the game for C. Aldrich
8:37.0,J. Okafor makes free throw 2 of 2,1,36-41,,
8:24.0,,,36-43,2,A. Rivers makes 2-pt shot from 6 ft
8:09.0,J. Okafor makes 2-pt shot at rim (assist by R. Covington),2,38-43,,
7:52.0,,,38-43,,D. Jordan misses 2-pt shot from 6 ft
7:51.0,Defensive rebound by R. Covington,,38-43,,
7:44.0,J. Sampson makes 2-pt shot from 9 ft (assist by I. Smith),2,40-43,,
7:27.0,,,40-45,2,J. Crawford makes 2-pt shot from 12 ft
7:18.0,Philadelphia full timeout,,40-45,,
7:18.0,,,40-45,,C. Paul enters the game for P. Prigioni
7:18.0,N. Noel enters the game for J. Okafor,,40-45,,
7:01.0,I. Smith misses 2-pt shot from 3 ft,,40-45,,
7:00.0,,,40-45,,Defensive rebound by D. Jordan
6:59.0,Personal foul by R. Covington (drawn by L. Stephenson),,40-45,,
6:59.0,J. Grant enters the game for R. Covington,,40-45,,
6:50.0,,,40-47,2,A. Rivers makes 2-pt shot from 21 ft
6:39.0,I. Smith misses 2-pt shot from 2 ft,,40-47,,
6:34.0,Offensive rebound by N. Noel,,40-47,,
6:33.0,N. Noel makes 2-pt shot from 1 ft,2,42-47,,
6:21.0,,,42-49,2,A. Rivers makes 2-pt shot from 19 ft
6:11.0,I. Smith misses 2-pt shot from 2 ft,,42-49,,
6:11.0,,,42-49,,Defensive rebound by D. Jordan
5:58.0,,,42-49,,A. Rivers misses 2-pt shot from 3 ft
5:58.0,Defensive rebound by N. Stauskas,,42-49,,
5:58.0,,,42-49,,J. Redick enters the game for L. Stephenson
5:40.0,J. Sampson makes 3-pt shot from 22 ft (assist by I. Smith),3,45-49,,
5:27.0,,,45-51,2,D. Jordan makes 2-pt shot from 2 ft (assist by C. Paul)
5:27.0,,,45-51,,Shooting foul by J. Sampson (drawn by D. Jordan)
5:27.0,I. Canaan enters the game for N. Stauskas,,45-51,,
5:27.0,,,45-51,,W. Johnson enters the game for A. Rivers
5:27.0,,,45-51,,L. Mbah a Moute enters the game for J. Crawford
5:27.0,,,45-51,,D. Jordan misses free throw 1 of 1
5:27.0,Defensive rebound by Team,,45-51,,
5:17.0,J. Sampson misses 3-pt shot from 24 ft,,45-51,,
5:16.0,,,45-51,,Defensive rebound by D. Jordan
5:16.0,Personal take foul by J. Grant (drawn by D. Jordan),,45-51,,
5:16.0,,,45-52,1,D. Jordan makes free throw 1 of 2
5:16.0,,,45-53,1,D. Jordan makes free throw 2 of 2
5:02.0,N. Noel misses 2-pt shot from 4 ft,,45-53,,
5:01.0,Offensive rebound by I. Canaan,,45-53,,
4:54.0,J. Sampson misses 2-pt shot from 2 ft (block by D. Jordan),,45-53,,
4:53.0,,,45-53,,Defensive rebound by L. Mbah a Moute
4:46.0,,,45-55,2,C. Paul makes 2-pt shot from 1 ft
4:40.0,Shooting foul by W. Johnson (drawn by N. Noel),,45-55,,
4:40.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,47-55,,
4:40.0,N. Noel makes free throw 1 of 1,1,48-55,,
4:39.0,Personal take foul by I. Canaan (drawn by D. Jordan),,48-55,,
4:39.0,,,48-55,,D. Jordan misses free throw 1 of 2
4:39.0,,,48-55,,Offensive rebound by Team
4:39.0,,,48-56,1,D. Jordan makes free throw 2 of 2
4:14.0,I. Smith misses 2-pt shot from 13 ft,,48-56,,
4:13.0,,,48-56,,Defensive rebound by C. Paul
4:10.0,,,48-56,,Shooting foul by J. Sampson (drawn by C. Paul)
4:10.0,,,48-57,1,C. Paul makes free throw 1 of 2
4:10.0,N. Stauskas enters the game for J. Sampson,,48-57,,
4:10.0,,,48-58,1,C. Paul makes free throw 2 of 2
4:03.0,Turnover by I. Smith (lost ball),,48-58,,
3:51.0,,,48-60,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
3:29.0,I. Smith makes 2-pt shot from 3 ft,2,50-60,,
3:14.0,,,50-60,,C. Paul misses 2-pt shot from 17 ft
3:14.0,,,50-60,,Offensive rebound by D. Jordan
3:12.0,,,50-62,2,D. Jordan makes 2-pt shot at rim
2:59.0,J. Grant makes 2-pt shot from 3 ft,2,52-62,,
2:40.0,,,52-62,,W. Johnson misses 2-pt shot from 18 ft
2:40.0,Defensive rebound by N. Stauskas,,52-62,,
2:34.0,I. Canaan misses 2-pt shot from 3 ft (block by W. Johnson),,52-62,,
2:32.0,,,52-62,,Defensive rebound by W. Johnson
2:26.0,,,52-64,2,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by C. Paul)
2:05.0,J. Grant misses 2-pt shot from 2 ft,,52-64,,
2:05.0,,,52-64,,Defensive rebound by L. Mbah a Moute
2:05.0,,,52-64,,Turnover by J. Redick (bad pass)
2:05.0,,,52-64,,LA Clippers full timeout
2:05.0,R. Covington enters the game for I. Canaan,,52-64,,
1:52.0,Turnover by R. Covington (lost ball; steal by W. Johnson),,52-64,,
1:30.0,,,52-67,3,J. Redick makes 3-pt shot from 25 ft (assist by D. Jordan)
1:12.0,N. Noel misses 2-pt shot from 10 ft,,52-67,,
1:10.0,,,52-67,,Defensive rebound by D. Jordan
0:58.0,,,52-67,,C. Paul misses 3-pt shot from 27 ft
0:58.0,Defensive rebound by R. Covington,,52-67,,
0:44.0,J. Grant misses 2-pt shot from 2 ft,,52-67,,
0:43.0,,,52-67,,Defensive rebound by C. Paul
0:34.0,,,52-69,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by C. Paul)
0:27.0,J. Grant misses 3-pt shot from 25 ft,,52-69,,
0:27.0,,,52-69,,Defensive rebound by Team
0:27.0,,,52-69,,J. Crawford enters the game for L. Mbah a Moute
0:27.0,J. Sampson enters the game for R. Covington,,52-69,,
0:06.0,,,52-69,,A. Rivers enters the game for D. Jordan
0:03.0,,,52-69,,C. Paul misses 3-pt shot from 28 ft
0:00.0,,,52-69,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,52-72,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
11:24.0,J. Grant makes 2-pt shot from 1 ft (assist by I. Smith),2,54-72,,
11:03.0,,,54-74,2,C. Paul makes 2-pt shot from 3 ft
10:53.0,Shooting foul by W. Johnson (drawn by J. Grant),,54-74,,
10:53.0,J. Grant makes free throw 1 of 2,1,55-74,,
10:53.0,J. Grant misses free throw 2 of 2,,55-74,,
10:52.0,,,55-74,,Defensive rebound by C. Paul
10:43.0,,,55-74,,Turnover by C. Paul (bad pass)
10:31.0,Turnover by N. Stauskas (step out of bounds),,55-74,,
10:19.0,,,55-76,2,D. Jordan makes 2-pt shot at rim (assist by J. Redick)
10:19.0,Philadelphia full timeout,,55-76,,
10:19.0,J. Sampson enters the game for N. Stauskas,,55-76,,
10:05.0,J. Okafor makes 2-pt shot from 14 ft (assist by I. Smith),2,57-76,,
9:48.0,,,57-76,,J. Redick misses 3-pt shot from 25 ft
9:47.0,Defensive rebound by J. Okafor,,57-76,,
9:34.0,J. Okafor makes 2-pt shot from 5 ft (assist by I. Smith),2,59-76,,
9:25.0,,,59-78,2,D. Jordan makes 2-pt shot at rim (assist by W. Johnson)
9:08.0,J. Okafor makes 2-pt shot from 13 ft (assist by I. Smith),2,61-78,,
8:49.0,,,61-78,,J. Redick misses 2-pt shot from 4 ft (block by J. Sampson)
8:48.0,Defensive rebound by N. Noel,,61-78,,
8:44.0,Turnover by I. Smith (bad pass; steal by W. Johnson),,61-78,,
8:38.0,,,61-81,3,W. Johnson makes 3-pt shot from 26 ft (assist by C. Paul)
8:17.0,J. Grant misses 3-pt shot from 25 ft,,61-81,,
8:16.0,,,61-81,,Defensive rebound by D. Jordan
8:04.0,,,61-81,,Offensive foul by D. Jordan
8:04.0,,,61-81,,Turnover by D. Jordan (offensive foul)
7:53.0,,,61-81,,Personal foul by C. Paul (drawn by I. Smith)
7:40.0,J. Okafor makes 2-pt shot from 8 ft (assist by J. Sampson),2,63-81,,
7:18.0,,,63-83,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
7:06.0,Turnover by J. Sampson (lost ball; steal by W. Johnson),,63-83,,
7:00.0,,,63-85,2,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by C. Paul)
6:58.0,Philadelphia full timeout,,63-85,,
6:42.0,J. Okafor misses 2-pt shot from 14 ft,,63-85,,
6:42.0,,,63-85,,Defensive rebound by C. Paul
6:24.0,,,63-85,,C. Paul misses 2-pt shot from 18 ft
6:23.0,Defensive rebound by J. Sampson,,63-85,,
6:18.0,I. Smith misses 2-pt shot from 2 ft,,63-85,,
6:17.0,Offensive rebound by N. Noel,,63-85,,
6:17.0,N. Noel makes 2-pt shot at rim,2,65-85,,
5:48.0,,,65-87,2,J. Redick makes 2-pt shot from 16 ft
5:39.0,Turnover by J. Okafor (lost ball; steal by C. Paul),,65-87,,
5:33.0,,,65-89,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
5:12.0,Shooting foul by J. Redick (drawn by J. Okafor),,65-89,,
5:12.0,J. Okafor misses free throw 1 of 2,,65-89,,
5:12.0,Offensive rebound by Team,,65-89,,
5:12.0,K. Marshall enters the game for I. Smith,,65-89,,
5:12.0,J. Okafor makes free throw 2 of 2,1,66-89,,
5:01.0,,,66-89,,W. Johnson misses 3-pt shot from 25 ft
5:01.0,Defensive rebound by J. Okafor,,66-89,,
4:42.0,Turnover by N. Noel (bad pass; steal by W. Johnson),,66-89,,
4:36.0,,,66-92,3,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul)
4:20.0,J. Okafor misses 2-pt shot from 9 ft,,66-92,,
4:18.0,,,66-92,,Defensive rebound by C. Paul
4:03.0,,,66-92,,W. Johnson misses 3-pt shot from 26 ft
4:03.0,,,66-92,,Offensive rebound by D. Jordan
4:01.0,N. Stauskas enters the game for J. Sampson,,66-92,,
4:01.0,I. Canaan enters the game for J. Grant,,66-92,,
4:01.0,C. Landry enters the game for J. Okafor,,66-92,,
3:55.0,,,66-92,,C. Paul misses 3-pt shot from 28 ft
3:55.0,Defensive rebound by C. Landry,,66-92,,
3:46.0,Shooting foul by C. Paul (drawn by N. Noel),,66-92,,
3:46.0,,,66-92,,LA Clippers full timeout
3:46.0,,,66-92,,J. Crawford enters the game for W. Johnson
3:46.0,N. Noel misses free throw 1 of 2,,66-92,,
3:46.0,Offensive rebound by Team,,66-92,,
3:46.0,N. Noel misses free throw 2 of 2,,66-92,,
3:46.0,,,66-92,,Defensive rebound by Team
3:46.0,Loose ball foul by C. Landry (drawn by D. Jordan),,66-92,,
3:46.0,R. Holmes enters the game for N. Noel,,66-92,,
3:37.0,,,66-92,,Turnover by C. Paul (lost ball; steal by I. Canaan)
3:31.0,N. Stauskas makes 3-pt shot from 25 ft (assist by I. Canaan),3,69-92,,
3:23.0,,,69-94,2,D. Jordan makes 2-pt shot at rim (assist by J. Crawford)
2:59.0,C. Landry misses 2-pt shot from 8 ft,,69-94,,
2:59.0,,,69-94,,Defensive rebound by D. Jordan
2:40.0,,,69-97,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
2:24.0,N. Stauskas makes 3-pt shot from 26 ft (assist by C. Landry),3,72-97,,
2:03.0,,,72-99,2,C. Paul makes 2-pt shot from 1 ft
2:03.0,,,72-99,,Violation by Team (delay of game)
1:50.0,Turnover by C. Landry (lost ball),,72-99,,
1:50.0,,,72-99,,P. Prigioni enters the game for J. Redick
1:50.0,,,72-99,,A. Rivers enters the game for C. Paul
1:50.0,J. Sampson enters the game for I. Canaan,,72-99,,
1:50.0,,,72-99,,L. Stephenson enters the game for L. Mbah a Moute
1:31.0,,,72-101,2,L. Stephenson makes 2-pt shot from 15 ft
1:17.0,N. Stauskas misses 3-pt shot from 25 ft,,72-101,,
1:17.0,,,72-101,,Defensive rebound by L. Stephenson
1:17.0,Personal foul by N. Stauskas (drawn by L. Stephenson),,72-101,,
1:17.0,,,72-101,,C. Aldrich enters the game for D. Jordan
1:00.0,,,72-103,2,L. Stephenson makes 2-pt shot from 17 ft
0:50.0,K. Marshall misses 3-pt shot from 25 ft,,72-103,,
0:49.0,,,72-103,,Defensive rebound by C. Aldrich
0:49.0,,,72-103,,Turnover by C. Aldrich (lost ball; steal by C. Landry)
0:49.0,,,72-103,,Personal foul by C. Aldrich (drawn by C. Landry)
0:49.0,C. Landry makes free throw 1 of 2,1,73-103,,
0:49.0,C. Landry makes free throw 2 of 2,1,74-103,,
0:33.0,,,74-103,,C. Aldrich misses 2-pt shot from 2 ft (block by J. Sampson)
0:32.0,Defensive rebound by C. Landry,,74-103,,
0:24.0,J. Sampson misses 2-pt shot from 17 ft,,74-103,,
0:24.0,,,74-103,,Defensive rebound by J. Crawford
0:03.0,,,74-103,,Turnover by P. Prigioni (bad pass)
0:01.0,K. Marshall misses 3-pt shot from 31 ft,,74-103,,
0:00.0,,,74-103,,Defensive rebound by C. Aldrich
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,Shooting foul by C. Aldrich (drawn by C. Landry),,74-103,,
11:44.0,C. Landry misses free throw 1 of 2,,74-103,,
11:44.0,Offensive rebound by Team,,74-103,,
11:44.0,C. Landry misses free throw 2 of 2,,74-103,,
11:43.0,,,74-103,,Defensive rebound by C. Aldrich
11:24.0,,,74-105,2,A. Rivers makes 2-pt shot from 16 ft
11:15.0,K. Marshall misses 2-pt shot from 13 ft,,74-105,,
11:15.0,Offensive rebound by R. Holmes,,74-105,,
11:09.0,R. Holmes misses 2-pt shot from 2 ft (block by C. Aldrich),,74-105,,
11:07.0,,,74-105,,Defensive rebound by C. Aldrich
11:03.0,,,74-105,,Turnover by P. Prigioni (bad pass)
10:53.0,Turnover by K. Marshall (bad pass),,74-105,,
10:53.0,T. McConnell enters the game for J. Sampson,,74-105,,
10:39.0,,,74-105,,J. Crawford misses 3-pt shot from 25 ft
10:39.0,Defensive rebound by R. Holmes,,74-105,,
10:27.0,C. Landry misses 2-pt shot from 2 ft,,74-105,,
10:24.0,,,74-105,,Defensive rebound by L. Stephenson
10:16.0,,,74-108,3,A. Rivers makes 3-pt shot from 27 ft (assist by L. Stephenson)
10:07.0,R. Holmes misses 3-pt shot from 26 ft,,74-108,,
10:06.0,,,74-108,,Defensive rebound by C. Aldrich
9:58.0,,,74-108,,Turnover by L. Stephenson (lost ball; steal by C. Landry)
9:53.0,R. Holmes makes 2-pt shot at rim (assist by N. Stauskas),2,76-108,,
9:35.0,,,76-110,2,J. Crawford makes 2-pt shot from 16 ft
9:35.0,,,76-110,,Shooting foul by N. Stauskas (drawn by J. Crawford)
9:35.0,,,76-111,1,J. Crawford makes free throw 1 of 1
9:28.0,Turnover by K. Marshall (lost ball; steal by P. Prigioni),,76-111,,
9:24.0,,,76-113,2,J. Crawford makes 2-pt shot from 3 ft (assist by P. Prigioni)
9:24.0,Philadelphia full timeout,,76-113,,
9:24.0,,,76-113,,B. Dawson enters the game for J. Crawford
9:05.0,K. Marshall misses 2-pt shot from 19 ft,,76-113,,
9:05.0,,,76-113,,Defensive rebound by A. Rivers
8:56.0,,,76-113,,A. Rivers misses 2-pt shot from 19 ft
8:56.0,,,76-113,,Offensive rebound by P. Prigioni
8:43.0,,,76-115,2,C. Aldrich makes 2-pt shot from 7 ft (assist by P. Prigioni)
8:31.0,C. Landry makes 2-pt shot from 2 ft (assist by T. McConnell),2,78-115,,
8:11.0,,,78-115,,C. Aldrich misses 2-pt shot from 6 ft
8:10.0,Defensive rebound by C. Landry,,78-115,,
8:02.0,T. McConnell misses 3-pt shot from 25 ft,,78-115,,
8:01.0,,,78-115,,Defensive rebound by C. Aldrich
7:45.0,,,78-115,,Turnover by C. Aldrich (bad pass; steal by T. McConnell)
7:39.0,N. Stauskas makes 3-pt shot from 25 ft (assist by T. McConnell),3,81-115,,
7:16.0,,,81-115,,A. Rivers misses 2-pt shot from 3 ft
7:16.0,Defensive rebound by N. Stauskas,,81-115,,
7:05.0,N. Stauskas misses 3-pt shot from 26 ft,,81-115,,
7:05.0,Offensive rebound by C. Landry,,81-115,,
7:00.0,C. Landry misses 2-pt shot from 2 ft,,81-115,,
6:59.0,,,81-115,,Defensive rebound by C. Aldrich
6:38.0,,,81-117,2,P. Prigioni makes 2-pt shot from 16 ft
6:31.0,,,81-117,,Personal foul by P. Prigioni (drawn by T. McConnell)
6:31.0,,,81-117,,J. Smith enters the game for C. Aldrich
6:19.0,T. McConnell misses 2-pt shot from 1 ft,,81-117,,
6:19.0,,,81-117,,Defensive rebound by P. Prigioni
6:06.0,,,81-119,2,B. Dawson makes 2-pt shot from 3 ft (assist by L. Stephenson)
5:52.0,C. Landry makes 2-pt shot from 2 ft (assist by N. Stauskas),2,83-119,,
5:30.0,,,83-121,2,A. Rivers makes 2-pt shot from 21 ft
5:19.0,,,83-121,,Personal foul by J. Smith (drawn by C. Landry)
5:19.0,Official timeout,,83-121,,
5:19.0,,,83-121,,LA Clippers full timeout
5:19.0,R. Covington enters the game for N. Stauskas,,83-121,,
5:19.0,C. Landry misses free throw 1 of 2,,83-121,,
5:19.0,Offensive rebound by Team,,83-121,,
5:19.0,C. Landry makes free throw 2 of 2,1,84-121,,
4:55.0,,,84-121,,J. Smith misses 2-pt shot from 4 ft
4:55.0,,,84-121,,Offensive rebound by Team
4:55.0,,,84-121,,Turnover by Team (shot clock)
4:41.0,K. Marshall misses 3-pt shot from 24 ft,,84-121,,
4:41.0,,,84-121,,Defensive rebound by B. Dawson
4:23.0,,,84-121,,A. Rivers misses 2-pt shot from 20 ft
4:22.0,,,84-121,,Offensive rebound by B. Dawson
