time,Detroit,pts.away,score,pts.home,New York
6:38.0,,,13-11,,Defensive rebound by C. Anthony
6:31.0,,,13-11,,J. Calderon misses 3-pt shot from 25 ft
6:30.0,Defensive rebound by K. Caldwell-Pope,,13-11,,
6:18.0,R. Jackson makes 2-pt shot from 4 ft,2,15-11,,
5:58.0,,,15-13,2,C. Anthony makes 2-pt shot from 1 ft
5:45.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by R. Jackson),3,18-13,,
5:45.0,,,18-13,,New York full timeout
5:25.0,,,18-13,,Turnover by C. Anthony (bad pass)
5:08.0,Shooting foul by J. Calderon (drawn by M. Morris),,18-13,,
5:08.0,M. Morris makes free throw 1 of 2,1,19-13,,
5:08.0,M. Morris makes free throw 2 of 2,1,20-13,,
4:58.0,,,20-16,3,J. Calderon makes 3-pt shot from 24 ft (assist by A. Afflalo)
4:34.0,A. Drummond misses 2-pt shot from 1 ft,,20-16,,
4:33.0,Offensive rebound by M. Morris,,20-16,,
4:32.0,M. Morris misses 2-pt shot from 3 ft (block by R. Lopez),,20-16,,
4:29.0,,,20-16,,Defensive rebound by J. Calderon
4:23.0,,,20-19,3,J. Calderon makes 3-pt shot from 23 ft (assist by C. Anthony)
4:02.0,R. Jackson misses 2-pt shot from 2 ft,,20-19,,
4:02.0,Offensive rebound by Team,,20-19,,
4:02.0,,,20-19,,Loose ball foul by K. Porzingis (drawn by E. Ilyasova)
4:02.0,,,20-19,,L. Thomas enters the game for K. Porzingis
3:48.0,Turnover by E. Ilyasova (3 sec),,20-19,,
3:29.0,,,20-19,,C. Anthony misses 2-pt shot from 2 ft (block by M. Morris)
3:28.0,Defensive rebound by Team,,20-19,,
3:22.0,,,20-19,,Personal foul by R. Lopez (drawn by A. Drummond)
3:07.0,A. Drummond misses 2-pt shot from 6 ft (block by R. Lopez),,20-19,,
3:06.0,,,20-19,,Defensive rebound by L. Thomas
2:59.0,,,20-19,,C. Anthony misses 2-pt shot at rim
2:58.0,Defensive rebound by M. Morris,,20-19,,
2:53.0,E. Ilyasova makes 2-pt shot at rim (assist by M. Morris),2,22-19,,
2:47.0,Detroit full timeout,,22-19,,
2:47.0,B. Jennings enters the game for K. Caldwell-Pope,,22-19,,
2:47.0,S. Johnson enters the game for R. Jackson,,22-19,,
2:41.0,,,22-21,2,J. Calderon makes 2-pt shot from 21 ft
2:22.0,M. Morris makes 2-pt shot from 14 ft,2,24-21,,
2:04.0,,,24-21,,R. Lopez misses 2-pt shot from 4 ft
2:03.0,Defensive rebound by Team,,24-21,,
1:41.0,M. Morris misses 2-pt shot from 15 ft,,24-21,,
1:40.0,,,24-21,,Defensive rebound by A. Afflalo
1:24.0,,,24-21,,Offensive foul by R. Lopez
1:24.0,,,24-21,,Turnover by R. Lopez (offensive foul)
1:24.0,,,24-21,,K. O'Quinn enters the game for R. Lopez
1:13.0,Turnover by B. Jennings (bad pass; steal by C. Anthony),,24-21,,
1:06.0,,,24-21,,L. Galloway enters the game for A. Afflalo
0:55.0,,,24-23,2,K. O'Quinn makes 2-pt shot at rim (assist by L. Thomas)
0:38.0,M. Morris misses 2-pt shot from 10 ft,,24-23,,
0:38.0,Offensive rebound by E. Ilyasova,,24-23,,
0:38.0,E. Ilyasova makes 2-pt shot at rim,2,26-23,,
0:30.0,,,26-23,,C. Anthony misses 2-pt shot from 1 ft
0:30.0,Defensive rebound by A. Drummond,,26-23,,
0:24.0,A. Drummond misses 2-pt shot from 4 ft,,26-23,,
0:22.0,,,26-23,,Defensive rebound by L. Galloway
0:04.0,,,26-25,2,K. O'Quinn makes 2-pt shot from 18 ft (assist by J. Calderon)
0:00.0,M. Morris misses 3-pt shot from 42 ft,,26-25,,
0:00.0,Offensive rebound by Team,,26-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,26-25,,L. Thomas misses 2-pt shot from 17 ft
11:38.0,Defensive rebound by B. Jennings,,26-25,,
11:32.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,26-25,,
11:31.0,,,26-25,,Defensive rebound by J. Grant
11:14.0,,,26-25,,D. Williams misses 2-pt shot from 17 ft
11:14.0,Defensive rebound by A. Baynes,,26-25,,
10:57.0,A. Tolliver makes 2-pt shot from 11 ft (assist by B. Jennings),2,28-25,,
10:39.0,,,28-25,,L. Thomas misses 2-pt shot at rim
10:38.0,Defensive rebound by A. Baynes,,28-25,,
10:34.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,28-25,,
10:33.0,,,28-25,,Defensive rebound by D. Williams
10:12.0,,,28-25,,J. Grant misses 2-pt shot from 1 ft (block by A. Baynes)
10:11.0,,,28-25,,Offensive rebound by K. O'Quinn
10:10.0,,,28-27,2,K. O'Quinn makes 2-pt shot from 1 ft
9:59.0,A. Tolliver misses 3-pt shot from 24 ft,,28-27,,
9:58.0,,,28-27,,Defensive rebound by L. Galloway
9:47.0,,,28-29,2,K. O'Quinn makes 2-pt shot from 3 ft (assist by L. Galloway)
9:33.0,,,28-29,,Personal foul by K. O'Quinn (drawn by B. Jennings)
9:28.0,,,28-29,,Personal foul by L. Galloway (drawn by B. Jennings)
9:18.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,28-29,,
9:18.0,,,28-29,,Defensive rebound by L. Galloway
9:09.0,,,28-31,2,K. O'Quinn makes 2-pt shot from 19 ft (assist by D. Williams)
9:03.0,Detroit full timeout,,28-31,,
8:56.0,B. Jennings misses 3-pt shot from 24 ft,,28-31,,
8:55.0,,,28-31,,Defensive rebound by K. O'Quinn
8:45.0,,,28-31,,Offensive foul by J. Grant
8:45.0,,,28-31,,Turnover by J. Grant (offensive foul)
8:27.0,A. Baynes misses 2-pt shot from 3 ft,,28-31,,
8:26.0,,,28-31,,Defensive rebound by J. Grant
8:21.0,,,28-34,3,L. Thomas makes 3-pt shot from 23 ft (assist by J. Grant)
7:58.0,A. Baynes misses 2-pt shot from 18 ft,,28-34,,
7:57.0,,,28-34,,Defensive rebound by D. Williams
7:51.0,,,28-34,,D. Williams misses 2-pt shot from 1 ft
7:50.0,,,28-34,,Offensive rebound by Team
7:46.0,,,28-34,,Shooting foul by S. Johnson (drawn by D. Williams)
7:46.0,,,28-35,1,D. Williams makes free throw 1 of 2
7:46.0,,,28-36,1,D. Williams makes free throw 2 of 2
7:29.0,A. Tolliver makes 3-pt shot from 25 ft (assist by S. Johnson),3,31-36,,
7:10.0,,,31-36,,D. Williams misses 2-pt shot from 1 ft
7:09.0,Defensive rebound by A. Baynes,,31-36,,
7:01.0,S. Johnson misses 2-pt shot from 18 ft,,31-36,,
7:00.0,,,31-36,,Defensive rebound by Team
6:46.0,,,31-36,,Shooting foul by A. Tolliver (drawn by L. Thomas)
6:46.0,,,31-37,1,L. Thomas makes free throw 1 of 2
6:46.0,,,31-37,,R. Lopez enters the game for K. O'Quinn
6:46.0,,,31-37,,A. Afflalo enters the game for L. Galloway
6:46.0,A. Drummond enters the game for B. Jennings,,31-37,,
6:46.0,M. Morris enters the game for S. Johnson,,31-37,,
6:46.0,R. Jackson enters the game for A. Baynes,,31-37,,
6:46.0,,,31-38,1,L. Thomas makes free throw 2 of 2
6:25.0,M. Morris makes 2-pt shot from 15 ft,2,33-38,,
6:04.0,,,33-38,,J. Grant misses 2-pt shot from 3 ft
6:04.0,Defensive rebound by A. Tolliver,,33-38,,
5:49.0,R. Jackson makes 2-pt shot from 9 ft,2,35-38,,
5:48.0,,,35-38,,New York full timeout
5:48.0,E. Ilyasova enters the game for A. Tolliver,,35-38,,
5:48.0,,,35-38,,J. Calderon enters the game for L. Thomas
5:48.0,,,35-38,,K. Porzingis enters the game for D. Williams
5:48.0,,,35-38,,C. Anthony enters the game for J. Grant
5:32.0,,,35-38,,Turnover by K. Porzingis (lost ball; steal by M. Morris)
5:32.0,,,35-38,,Violation by K. Porzingis (kicked ball)
5:14.0,E. Ilyasova misses 3-pt shot from 24 ft,,35-38,,
5:13.0,,,35-38,,Defensive rebound by C. Anthony
5:06.0,,,35-40,2,A. Afflalo makes 2-pt shot from 7 ft (assist by C. Anthony)
4:54.0,R. Jackson misses 3-pt shot from 25 ft,,35-40,,
4:54.0,,,35-40,,Defensive rebound by A. Afflalo
4:35.0,,,35-42,2,A. Afflalo makes 2-pt shot from 11 ft
4:14.0,A. Drummond makes 2-pt shot from 2 ft (assist by R. Jackson),2,37-42,,
4:14.0,Shooting foul by K. Porzingis (drawn by A. Drummond),,37-42,,
4:14.0,,,37-42,,Violation by K. Porzingis (lane)
4:14.0,A. Drummond misses free throw 1 of 1,,37-42,,
4:13.0,Offensive rebound by K. Caldwell-Pope,,37-42,,
4:13.0,K. Caldwell-Pope misses 2-pt shot at rim,,37-42,,
4:12.0,Offensive rebound by M. Morris,,37-42,,
3:56.0,A. Drummond misses 2-pt shot from 2 ft (block by K. Porzingis),,37-42,,
3:55.0,Offensive rebound by A. Drummond,,37-42,,
3:54.0,A. Drummond misses 2-pt shot from 2 ft (block by R. Lopez),,37-42,,
3:51.0,,,37-42,,Defensive rebound by R. Lopez
3:45.0,,,37-42,,C. Anthony misses 3-pt shot from 25 ft
3:44.0,Defensive rebound by K. Caldwell-Pope,,37-42,,
3:35.0,R. Jackson makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope),3,40-42,,
3:17.0,,,40-44,2,C. Anthony makes 2-pt shot from 10 ft
3:09.0,E. Ilyasova misses 2-pt shot from 9 ft (block by K. Porzingis),,40-44,,
3:08.0,Offensive rebound by Team,,40-44,,
3:06.0,Turnover by A. Drummond (lost ball; steal by A. Afflalo),,40-44,,
2:57.0,,,40-44,,K. Porzingis misses 3-pt shot from 25 ft
2:57.0,,,40-44,,Offensive rebound by R. Lopez
2:54.0,,,40-46,2,R. Lopez makes 2-pt shot at rim
2:39.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by R. Jackson),3,43-46,,
2:22.0,,,43-46,,Turnover by R. Lopez (lost ball; steal by A. Drummond)
2:15.0,M. Morris makes 2-pt shot from 3 ft,2,45-46,,
2:00.0,,,45-48,2,R. Lopez makes 2-pt shot from 4 ft
1:41.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by R. Jackson),2,47-48,,
1:23.0,,,47-48,,A. Afflalo misses 3-pt shot from 22 ft
1:21.0,Defensive rebound by K. Caldwell-Pope,,47-48,,
1:20.0,,,47-48,,Personal foul by J. Calderon (drawn by K. Caldwell-Pope)
1:20.0,Official timeout,,47-48,,
1:20.0,,,47-48,,L. Galloway enters the game for K. Porzingis
1:20.0,,,47-48,,L. Thomas enters the game for J. Calderon
1:08.0,M. Morris misses 3-pt shot from 24 ft,,47-48,,
1:07.0,,,47-48,,Defensive rebound by A. Afflalo
1:00.0,,,47-50,2,C. Anthony makes 2-pt shot at rim
0:46.0,Turnover by R. Jackson (bad pass; steal by R. Lopez),,47-50,,
0:37.0,,,47-50,,Turnover by L. Thomas (lost ball; steal by E. Ilyasova)
0:31.0,Shooting foul by A. Afflalo (drawn by R. Jackson),,47-50,,
0:31.0,R. Jackson makes free throw 1 of 2,1,48-50,,
0:31.0,R. Jackson makes free throw 2 of 2,1,49-50,,
0:26.0,,,49-50,,New York full timeout
0:26.0,,,49-50,,K. Porzingis enters the game for R. Lopez
0:06.0,,,49-50,,L. Thomas misses 3-pt shot from 25 ft
0:05.0,Defensive rebound by M. Morris,,49-50,,
0:00.0,R. Jackson misses 3-pt shot from 40 ft,,49-50,,
0:00.0,Offensive rebound by Team,,49-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,49-50,,C. Anthony misses 2-pt shot from 20 ft
11:38.0,,,49-50,,Offensive rebound by Team
11:34.0,,,49-52,2,K. Porzingis makes 2-pt shot from 16 ft (assist by C. Anthony)
11:14.0,A. Drummond misses 2-pt shot from 2 ft (block by R. Lopez),,49-52,,
11:13.0,Offensive rebound by Team,,49-52,,
11:05.0,M. Morris misses 3-pt shot from 23 ft,,49-52,,
11:05.0,Offensive rebound by E. Ilyasova,,49-52,,
10:49.0,R. Jackson makes 2-pt shot from 11 ft,2,51-52,,
10:32.0,,,51-54,2,C. Anthony makes 2-pt shot from 19 ft (assist by K. Porzingis)
10:19.0,,,51-54,,Personal foul by C. Anthony (drawn by A. Drummond)
10:07.0,R. Jackson misses 2-pt shot from 1 ft,,51-54,,
10:06.0,,,51-54,,Defensive rebound by K. Porzingis
9:55.0,,,51-57,3,J. Calderon makes 3-pt shot from 24 ft (assist by A. Afflalo)
9:55.0,Detroit full timeout,,51-57,,
9:34.0,M. Morris makes 2-pt shot at rim (assist by R. Jackson),2,53-57,,
9:16.0,,,53-59,2,A. Afflalo makes 2-pt shot at rim
8:50.0,A. Drummond misses 2-pt shot from 7 ft,,53-59,,
8:50.0,,,53-59,,Defensive rebound by C. Anthony
8:46.0,,,53-59,,Shooting foul by R. Jackson (drawn by K. Porzingis)
8:46.0,,,53-60,1,K. Porzingis makes free throw 1 of 2
8:46.0,,,53-61,1,K. Porzingis makes free throw 2 of 2
8:37.0,Shooting foul by R. Lopez (drawn by A. Drummond),,53-61,,
8:37.0,A. Drummond misses free throw 1 of 2,,53-61,,
8:37.0,Offensive rebound by Team,,53-61,,
8:37.0,A. Drummond makes free throw 2 of 2,1,54-61,,
8:18.0,,,54-63,2,K. Porzingis makes 2-pt shot from 8 ft
7:54.0,Turnover by M. Morris (bad pass),,54-63,,
7:37.0,,,54-65,2,C. Anthony makes 2-pt shot from 14 ft
7:23.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by R. Jackson),3,57-65,,
7:10.0,,,57-65,,K. Porzingis misses 2-pt shot from 14 ft
7:09.0,Defensive rebound by A. Drummond,,57-65,,
7:02.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,59-65,,
6:34.0,,,59-65,,R. Lopez misses 2-pt shot from 4 ft (block by A. Drummond)
6:33.0,Defensive rebound by R. Jackson,,59-65,,
6:16.0,E. Ilyasova misses 2-pt shot from 21 ft,,59-65,,
6:15.0,Offensive rebound by A. Drummond,,59-65,,
6:15.0,A. Drummond makes 2-pt shot from 1 ft,2,61-65,,
6:15.0,,,61-65,,New York full timeout
6:15.0,,,61-65,,L. Thomas enters the game for K. Porzingis
5:51.0,,,61-65,,Turnover by R. Lopez (lost ball; steal by E. Ilyasova)
5:42.0,A. Drummond makes 2-pt shot from 8 ft (assist by R. Jackson),2,63-65,,
5:30.0,,,63-67,2,J. Calderon makes 2-pt shot from 17 ft
5:09.0,M. Morris makes 2-pt shot from 20 ft,2,65-67,,
4:51.0,,,65-67,,Turnover by C. Anthony (lost ball)
4:33.0,R. Jackson misses 2-pt shot from 15 ft,,65-67,,
4:32.0,,,65-67,,Defensive rebound by A. Afflalo
4:24.0,,,65-70,3,A. Afflalo makes 3-pt shot from 24 ft
4:09.0,E. Ilyasova misses 3-pt shot from 25 ft,,65-70,,
4:08.0,,,65-70,,Defensive rebound by Team
4:08.0,S. Johnson enters the game for K. Caldwell-Pope,,65-70,,
3:46.0,,,65-70,,C. Anthony misses 2-pt shot from 3 ft
3:46.0,Defensive rebound by A. Drummond,,65-70,,
3:35.0,E. Ilyasova misses 2-pt shot from 2 ft,,65-70,,
3:34.0,Offensive rebound by E. Ilyasova,,65-70,,
3:33.0,E. Ilyasova misses 2-pt shot from 3 ft,,65-70,,
3:32.0,,,65-70,,Defensive rebound by R. Lopez
3:26.0,,,65-73,3,C. Anthony makes 3-pt shot from 25 ft (assist by J. Calderon)
3:12.0,R. Jackson misses 2-pt shot from 1 ft (block by R. Lopez),,65-73,,
3:11.0,Offensive rebound by A. Drummond,,65-73,,
3:10.0,A. Drummond misses 2-pt shot from 1 ft,,65-73,,
3:09.0,,,65-73,,Defensive rebound by A. Afflalo
2:52.0,,,65-73,,C. Anthony misses 3-pt shot from 25 ft
2:51.0,Defensive rebound by R. Jackson,,65-73,,
2:41.0,Shooting foul by L. Thomas (drawn by A. Drummond),,65-73,,
2:41.0,A. Drummond makes free throw 1 of 2,1,66-73,,
2:41.0,B. Jennings enters the game for R. Jackson,,66-73,,
2:41.0,A. Drummond makes free throw 2 of 2,1,67-73,,
2:25.0,,,67-73,,A. Afflalo misses 2-pt shot from 12 ft
2:24.0,,,67-73,,Offensive rebound by Team
2:23.0,,,67-73,,Shooting foul by B. Jennings (drawn by J. Calderon)
2:23.0,,,67-74,1,J. Calderon makes free throw 1 of 2
2:23.0,,,67-75,1,J. Calderon makes free throw 2 of 2
2:08.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by S. Johnson),2,69-75,,
1:52.0,Personal foul by E. Ilyasova (drawn by L. Thomas),,69-75,,
1:52.0,,,69-75,,L. Galloway enters the game for A. Afflalo
1:46.0,,,69-77,2,R. Lopez makes 2-pt shot from 6 ft (assist by J. Calderon)
1:31.0,Offensive foul by M. Morris,,69-77,,
1:31.0,Turnover by M. Morris (offensive foul),,69-77,,
1:09.0,,,69-77,,L. Thomas misses 2-pt shot from 2 ft
1:08.0,Defensive rebound by Team,,69-77,,
0:56.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by B. Jennings),3,72-77,,
0:41.0,,,72-77,,C. Anthony misses 2-pt shot from 1 ft
0:41.0,Defensive rebound by A. Drummond,,72-77,,
0:37.0,S. Johnson misses 2-pt shot at rim,,72-77,,
0:36.0,Offensive rebound by A. Drummond,,72-77,,
0:36.0,Detroit full timeout,,72-77,,
0:24.0,M. Morris misses 3-pt shot from 25 ft,,72-77,,
0:23.0,,,72-77,,Defensive rebound by J. Calderon
0:03.0,,,72-77,,C. Anthony misses 2-pt shot at rim
0:01.0,,,72-77,,Offensive rebound by C. Anthony
0:00.0,,,72-79,2,C. Anthony makes 2-pt shot from 15 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,S. Johnson makes 2-pt shot from 9 ft (assist by A. Baynes),2,74-79,,
11:27.0,,,74-79,,Shooting foul by S. Johnson (drawn by D. Williams)
11:27.0,,,74-80,1,D. Williams makes free throw 1 of 2
11:27.0,,,74-80,,D. Williams misses free throw 2 of 2
11:26.0,Defensive rebound by S. Johnson,,74-80,,
11:03.0,B. Jennings misses 2-pt shot from 19 ft,,74-80,,
11:02.0,Offensive rebound by A. Tolliver,,74-80,,
10:57.0,S. Johnson misses 3-pt shot from 25 ft,,74-80,,
10:57.0,,,74-80,,Defensive rebound by L. Galloway
10:44.0,,,74-80,,K. O'Quinn misses 2-pt shot from 1 ft (block by A. Tolliver)
10:43.0,Defensive rebound by K. Caldwell-Pope,,74-80,,
10:39.0,S. Johnson makes 2-pt shot from 1 ft (assist by B. Jennings),2,76-80,,
10:23.0,,,76-80,,Turnover by L. Galloway (bad pass; steal by K. Caldwell-Pope)
10:17.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,76-80,,
10:16.0,,,76-80,,Defensive rebound by A. Afflalo
10:01.0,,,76-82,2,L. Galloway makes 2-pt shot from 1 ft (assist by K. O'Quinn)
9:45.0,Turnover by A. Tolliver (bad pass; steal by K. O'Quinn),,76-82,,
9:38.0,,,76-84,2,K. O'Quinn makes 2-pt shot at rim (assist by L. Galloway)
9:09.0,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by B. Jennings),3,79-84,,
8:47.0,,,79-84,,D. Williams misses 3-pt shot from 24 ft
8:46.0,Defensive rebound by A. Baynes,,79-84,,
8:40.0,S. Johnson misses 3-pt shot from 25 ft,,79-84,,
8:39.0,,,79-84,,Defensive rebound by D. Williams
8:34.0,,,79-84,,Shooting foul by A. Baynes (drawn by D. Williams)
8:34.0,Official timeout,,79-84,,
8:34.0,R. Jackson enters the game for B. Jennings,,79-84,,
8:34.0,,,79-84,,C. Anthony enters the game for A. Afflalo
8:34.0,,,79-84,,D. Williams misses free throw 1 of 2
8:34.0,,,79-84,,Offensive rebound by Team
8:34.0,,,79-85,1,D. Williams makes free throw 2 of 2
8:20.0,Turnover by R. Jackson (bad pass; steal by L. Thomas),,79-85,,
8:14.0,,,79-87,2,L. Thomas makes 2-pt shot at rim
7:54.0,Shooting foul by L. Thomas (drawn by K. Caldwell-Pope),,79-87,,
7:54.0,K. Caldwell-Pope misses free throw 1 of 2,,79-87,,
7:54.0,Offensive rebound by Team,,79-87,,
7:54.0,M. Morris enters the game for S. Johnson,,79-87,,
7:54.0,A. Drummond enters the game for A. Baynes,,79-87,,
7:54.0,,,79-87,,R. Lopez enters the game for K. O'Quinn
7:54.0,K. Caldwell-Pope makes free throw 2 of 2,1,80-87,,
7:28.0,,,80-89,2,D. Williams makes 2-pt shot at rim (assist by C. Anthony)
7:16.0,R. Jackson misses 2-pt shot from 14 ft,,80-89,,
7:16.0,Offensive rebound by R. Jackson,,80-89,,
7:08.0,A. Tolliver makes 3-pt shot from 23 ft (assist by M. Morris),3,83-89,,
6:46.0,,,83-91,2,C. Anthony makes 2-pt shot from 16 ft
6:32.0,A. Tolliver misses 3-pt shot from 24 ft,,83-91,,
6:31.0,,,83-91,,Defensive rebound by R. Lopez
6:22.0,,,83-93,2,D. Williams makes 2-pt shot at rim (assist by L. Galloway)
6:22.0,Detroit full timeout,,83-93,,
6:22.0,E. Ilyasova enters the game for A. Tolliver,,83-93,,
6:08.0,,,83-93,,Personal foul by C. Anthony (drawn by M. Morris)
5:52.0,R. Jackson makes 2-pt shot from 12 ft,2,85-93,,
5:25.0,,,85-93,,C. Anthony misses 2-pt shot from 10 ft
5:25.0,Defensive rebound by R. Jackson,,85-93,,
5:20.0,Shooting foul by R. Lopez (drawn by A. Drummond),,85-93,,
5:20.0,A. Drummond misses free throw 1 of 2,,85-93,,
5:20.0,Offensive rebound by Team,,85-93,,
5:20.0,,,85-93,,J. Calderon enters the game for L. Galloway
5:20.0,A. Drummond misses free throw 2 of 2,,85-93,,
5:19.0,,,85-93,,Defensive rebound by C. Anthony
4:58.0,,,85-95,2,C. Anthony makes 2-pt shot from 13 ft
4:48.0,R. Jackson misses 2-pt shot from 14 ft,,85-95,,
4:45.0,Offensive rebound by Team,,85-95,,
4:45.0,,,85-95,,Violation by J. Calderon (kicked ball)
4:30.0,M. Morris misses 2-pt shot from 13 ft,,85-95,,
4:29.0,,,85-95,,Defensive rebound by C. Anthony
4:16.0,,,85-97,2,D. Williams makes 2-pt shot at rim (assist by R. Lopez)
4:16.0,,,85-97,,Shooting foul by K. Caldwell-Pope (drawn by D. Williams)
4:16.0,,,85-98,1,D. Williams makes free throw 1 of 1
3:54.0,R. Jackson misses 3-pt shot from 23 ft,,85-98,,
3:54.0,Offensive rebound by E. Ilyasova,,85-98,,
3:52.0,Shooting foul by C. Anthony (drawn by R. Jackson),,85-98,,
3:52.0,R. Jackson makes free throw 1 of 2,1,86-98,,
3:52.0,R. Jackson makes free throw 2 of 2,1,87-98,,
3:38.0,,,87-98,,Shooting foul by A. Drummond (drawn by D. Williams)
3:38.0,,,87-99,1,D. Williams makes free throw 1 of 2
3:38.0,,,87-100,1,D. Williams makes free throw 2 of 2
3:24.0,M. Morris misses 2-pt shot from 10 ft,,87-100,,
3:22.0,Offensive rebound by K. Caldwell-Pope,,87-100,,
3:15.0,Offensive foul by R. Jackson,,87-100,,
3:15.0,Turnover by R. Jackson (offensive foul),,87-100,,
3:15.0,,,87-100,,New York full timeout
2:51.0,,,87-102,2,C. Anthony makes 2-pt shot from 16 ft (assist by L. Thomas)
2:36.0,Offensive foul by A. Drummond,,87-102,,
2:36.0,Turnover by A. Drummond (offensive foul),,87-102,,
2:36.0,D. Hilliard enters the game for M. Morris,,87-102,,
2:36.0,B. Jennings enters the game for A. Drummond,,87-102,,
2:36.0,A. Baynes enters the game for K. Caldwell-Pope,,87-102,,
2:36.0,S. Johnson enters the game for R. Jackson,,87-102,,
2:26.0,,,87-102,,Shooting foul by A. Baynes (drawn by R. Lopez)
2:26.0,,,87-103,1,R. Lopez makes free throw 1 of 2
2:26.0,,,87-103,,R. Lopez misses free throw 2 of 2
2:25.0,Defensive rebound by E. Ilyasova,,87-103,,
2:06.0,E. Ilyasova misses 3-pt shot from 24 ft,,87-103,,
2:05.0,,,87-103,,Defensive rebound by D. Williams
1:42.0,,,87-105,2,D. Williams makes 2-pt shot from 20 ft (assist by R. Lopez)
1:28.0,D. Hilliard makes 2-pt shot from 18 ft,2,89-105,,
1:07.0,,,89-105,,C. Anthony misses 3-pt shot from 24 ft
1:06.0,Defensive rebound by E. Ilyasova,,89-105,,
0:59.0,B. Jennings makes 3-pt shot from 22 ft,3,92-105,,
0:36.0,,,92-108,3,D. Williams makes 3-pt shot from 22 ft (assist by C. Anthony)
0:29.0,Shooting foul by R. Lopez (drawn by B. Jennings),,92-108,,
0:29.0,B. Jennings makes free throw 1 of 2,1,93-108,,
0:29.0,,,93-108,,L. Galloway enters the game for C. Anthony
0:29.0,,,93-108,,C. Early enters the game for R. Lopez
0:29.0,,,93-108,,J. Grant enters the game for J. Calderon
0:29.0,,,93-108,,K. O'Quinn enters the game for L. Thomas
0:29.0,B. Jennings makes free throw 2 of 2,1,94-108,,
0:04.0,,,94-108,,K. O'Quinn misses 2-pt shot from 11 ft
0:04.0,Defensive rebound by S. Johnson,,94-108,,
