time,Atlanta,pts.away,score,pts.home,Minnesota
4:37.0,Defensive rebound by P. Millsap,,16-20,,
4:21.0,Turnover by L. Patterson (lost ball; steal by A. Wiggins),,16-20,,
4:17.0,,,16-20,,K. Martin misses 2-pt shot at rim (block by M. Muscala)
4:15.0,Defensive rebound by L. Patterson,,16-20,,
4:08.0,D. Schroder misses 2-pt shot from 1 ft,,16-20,,
4:06.0,Offensive rebound by M. Muscala,,16-20,,
4:06.0,M. Muscala makes 2-pt shot from 1 ft,2,18-20,,
3:46.0,,,18-20,,K. Martin misses 2-pt shot from 14 ft
3:45.0,Defensive rebound by K. Korver,,18-20,,
3:37.0,K. Korver makes 3-pt shot from 24 ft (assist by D. Schroder),3,21-20,,
3:21.0,,,21-20,,Turnover by R. Rubio (bad pass; steal by P. Millsap)
3:01.0,D. Schroder misses 2-pt shot from 3 ft (block by G. Dieng),,21-20,,
2:59.0,,,21-20,,Defensive rebound by A. Payne
2:54.0,,,21-22,2,G. Dieng makes 2-pt shot at rim (assist by R. Rubio)
2:53.0,Atlanta full timeout,,21-22,,
2:53.0,,,21-22,,Z. LaVine enters the game for R. Rubio
2:53.0,,,21-22,,S. Muhammad enters the game for K. Martin
2:53.0,T. Hardaway enters the game for P. Millsap,,21-22,,
2:53.0,A. Horford enters the game for L. Patterson,,21-22,,
2:50.0,T. Sefolosha enters the game for K. Korver,,21-22,,
2:40.0,D. Schroder misses 2-pt shot from 2 ft (block by G. Dieng),,21-22,,
2:39.0,Offensive rebound by D. Schroder,,21-22,,
2:35.0,Turnover by D. Schroder (lost ball; steal by A. Wiggins),,21-22,,
2:19.0,,,21-22,,A. Wiggins misses 2-pt shot from 6 ft (block by A. Horford)
2:17.0,Defensive rebound by T. Hardaway,,21-22,,
2:07.0,M. Muscala misses 3-pt shot from 25 ft,,21-22,,
2:06.0,,,21-22,,Defensive rebound by S. Muhammad
1:46.0,,,21-22,,G. Dieng misses 2-pt shot from 1 ft (block by T. Hardaway)
1:45.0,Defensive rebound by M. Muscala,,21-22,,
1:40.0,Turnover by M. Muscala (bad pass),,21-22,,
1:40.0,,,21-22,,T. Prince enters the game for A. Wiggins
1:22.0,,,21-24,2,T. Prince makes 2-pt shot from 20 ft (assist by Z. LaVine)
0:59.0,A. Horford makes 2-pt shot from 6 ft,2,23-24,,
0:42.0,,,23-27,3,A. Payne makes 3-pt shot from 24 ft (assist by T. Prince)
0:27.0,M. Muscala misses 3-pt shot from 24 ft,,23-27,,
0:26.0,,,23-27,,Defensive rebound by G. Dieng
0:02.0,,,23-27,,Turnover by Team (shot clock)
0:01.0,D. Schroder misses 3-pt shot from 40 ft,,23-27,,
0:00.0,Offensive rebound by Team,,23-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:33.0,,,23-30,3,Z. LaVine makes 3-pt shot from 30 ft
11:12.0,M. Scott misses 3-pt shot from 25 ft,,23-30,,
11:11.0,,,23-30,,Defensive rebound by G. Dieng
10:59.0,,,23-33,3,Z. LaVine makes 3-pt shot from 26 ft
10:40.0,A. Horford makes 2-pt shot from 1 ft (assist by M. Scott),2,25-33,,
10:23.0,,,25-33,,Turnover by G. Dieng (bad pass; steal by D. Schroder)
10:14.0,M. Scott misses 2-pt shot from 8 ft,,25-33,,
10:13.0,,,25-33,,Defensive rebound by Z. LaVine
10:06.0,,,25-33,,Z. LaVine misses 2-pt shot from 18 ft
10:05.0,Defensive rebound by T. Sefolosha,,25-33,,
9:46.0,Shooting foul by A. Payne (drawn by M. Scott),,25-33,,
9:46.0,M. Scott misses free throw 1 of 2,,25-33,,
9:46.0,Offensive rebound by Team,,25-33,,
9:46.0,M. Scott makes free throw 2 of 2,1,26-33,,
9:37.0,,,26-33,,S. Muhammad misses 2-pt shot from 21 ft
9:34.0,,,26-33,,Offensive rebound by Team
9:34.0,,,26-33,,D. Rudez enters the game for A. Payne
9:28.0,,,26-33,,G. Dieng misses 2-pt shot from 14 ft
9:27.0,Defensive rebound by A. Horford,,26-33,,
9:16.0,T. Hardaway misses 3-pt shot from 24 ft,,26-33,,
9:14.0,,,26-33,,Defensive rebound by G. Dieng
9:08.0,,,26-33,,Turnover by Z. LaVine (bad pass; steal by D. Schroder)
9:05.0,,,26-33,,Flagrant foul type 1 by S. Muhammad (drawn by T. Hardaway)
9:05.0,T. Hardaway makes flagrant free throw 1 of 2,1,27-33,,
9:05.0,T. Hardaway makes flagrant free throw 2 of 2,1,28-33,,
8:45.0,Turnover by A. Horford (lost ball; steal by G. Dieng),,28-33,,
8:32.0,,,28-33,,Minnesota full timeout
8:32.0,J. Teague enters the game for D. Schroder,,28-33,,
8:32.0,K. Korver enters the game for T. Sefolosha,,28-33,,
8:32.0,L. Patterson enters the game for T. Hardaway,,28-33,,
8:32.0,M. Muscala enters the game for A. Horford,,28-33,,
8:20.0,,,28-33,,S. Muhammad misses 2-pt shot from 5 ft
8:19.0,Defensive rebound by K. Korver,,28-33,,
7:59.0,J. Teague makes 2-pt shot from 11 ft,2,30-33,,
7:45.0,,,30-36,3,S. Muhammad makes 3-pt shot from 23 ft (assist by G. Dieng)
7:31.0,J. Teague makes 2-pt shot from 2 ft,2,32-36,,
7:17.0,,,32-38,2,S. Muhammad makes 2-pt shot from 5 ft (assist by Z. LaVine)
7:04.0,J. Teague makes 2-pt shot at rim,2,34-38,,
7:04.0,Shooting foul by G. Dieng (drawn by J. Teague),,34-38,,
7:04.0,J. Teague makes free throw 1 of 1,1,35-38,,
6:53.0,,,35-38,,G. Dieng misses 2-pt shot at rim (block by M. Scott)
6:51.0,Defensive rebound by K. Korver,,35-38,,
6:42.0,Turnover by M. Muscala (traveling),,35-38,,
6:42.0,P. Millsap enters the game for M. Scott,,35-38,,
6:42.0,,,35-38,,Minnesota full timeout
6:42.0,M. Scott enters the game for M. Muscala,,35-38,,
6:42.0,,,35-38,,K. Towns enters the game for G. Dieng
6:42.0,,,35-38,,A. Wiggins enters the game for T. Prince
6:30.0,,,35-38,,A. Wiggins misses 2-pt shot from 10 ft
6:29.0,Defensive rebound by J. Teague,,35-38,,
6:23.0,J. Teague makes 2-pt shot from 1 ft,2,37-38,,
6:10.0,,,37-38,,Z. LaVine misses 3-pt shot from 25 ft
6:09.0,Defensive rebound by K. Korver,,37-38,,
6:01.0,Shooting foul by Z. LaVine (drawn by J. Teague),,37-38,,
6:01.0,J. Teague misses free throw 1 of 2,,37-38,,
6:01.0,Offensive rebound by Team,,37-38,,
6:01.0,,,37-38,,R. Rubio enters the game for Z. LaVine
6:01.0,J. Teague makes free throw 2 of 2,1,38-38,,
5:51.0,,,38-38,,Turnover by K. Towns (bad pass)
5:41.0,,,38-38,,Personal foul by S. Muhammad (drawn by K. Korver)
5:41.0,K. Korver makes free throw 1 of 2,1,39-38,,
5:41.0,,,39-38,,K. Martin enters the game for S. Muhammad
5:41.0,K. Korver makes free throw 2 of 2,1,40-38,,
5:31.0,,,40-41,3,D. Rudez makes 3-pt shot from 25 ft (assist by R. Rubio)
5:09.0,M. Scott misses 3-pt shot from 24 ft,,40-41,,
5:07.0,,,40-41,,Defensive rebound by A. Wiggins
4:55.0,,,40-41,,Shooting foul by L. Patterson (drawn by A. Wiggins)
4:55.0,,,40-42,1,A. Wiggins makes free throw 1 of 2
4:55.0,T. Sefolosha enters the game for L. Patterson,,40-42,,
4:55.0,,,40-43,1,A. Wiggins makes free throw 2 of 2
4:41.0,J. Teague misses 2-pt shot from 19 ft,,40-43,,
4:39.0,,,40-43,,Defensive rebound by A. Wiggins
4:22.0,,,40-45,2,D. Rudez makes 2-pt shot at rim (assist by K. Towns)
4:22.0,Atlanta full timeout,,40-45,,
4:22.0,A. Horford enters the game for M. Scott,,40-45,,
4:10.0,J. Teague misses 2-pt shot from 10 ft,,40-45,,
4:09.0,,,40-45,,Defensive rebound by R. Rubio
3:57.0,,,40-45,,A. Wiggins misses 2-pt shot from 16 ft
3:56.0,Defensive rebound by K. Korver,,40-45,,
3:51.0,Turnover by J. Teague (traveling),,40-45,,
3:51.0,,,40-45,,K. Garnett enters the game for D. Rudez
3:38.0,,,40-45,,K. Martin misses 3-pt shot from 24 ft
3:37.0,Defensive rebound by T. Sefolosha,,40-45,,
3:23.0,Turnover by P. Millsap (lost ball; steal by A. Wiggins),,40-45,,
3:19.0,,,40-47,2,A. Wiggins makes 2-pt shot at rim
3:19.0,Technical foul by P. Millsap,,40-47,,
3:19.0,,,40-47,,K. Martin misses technical free throw
3:19.0,Offensive rebound by Team,,40-47,,
2:58.0,P. Millsap makes 2-pt shot from 9 ft,2,42-47,,
2:43.0,,,42-47,,Turnover by K. Towns (lost ball; steal by J. Teague)
2:30.0,T. Sefolosha makes 3-pt shot from 23 ft (assist by P. Millsap),3,45-47,,
2:15.0,,,45-47,,K. Towns misses 2-pt shot from 19 ft
2:14.0,Defensive rebound by K. Korver,,45-47,,
1:57.0,A. Horford misses 3-pt shot from 22 ft,,45-47,,
1:55.0,Offensive rebound by P. Millsap,,45-47,,
1:50.0,P. Millsap makes 2-pt shot from 7 ft,2,47-47,,
1:35.0,,,47-47,,Turnover by A. Wiggins (lost ball; steal by P. Millsap)
1:20.0,P. Millsap misses 2-pt shot from 2 ft,,47-47,,
1:18.0,Offensive rebound by A. Horford,,47-47,,
1:18.0,,,47-47,,Personal foul by K. Garnett (drawn by A. Horford)
1:18.0,Atlanta full timeout,,47-47,,
1:18.0,A. Horford makes free throw 1 of 2,1,48-47,,
1:18.0,A. Horford misses free throw 2 of 2,,48-47,,
1:18.0,,,48-47,,Defensive rebound by K. Towns
1:02.0,,,48-47,,K. Martin misses 2-pt shot from 10 ft
1:01.0,,,48-47,,Offensive rebound by Team
1:01.0,Loose ball foul by A. Horford (drawn by K. Towns),,48-47,,
0:55.0,,,48-49,2,R. Rubio makes 2-pt shot from 19 ft
0:41.0,A. Horford misses 2-pt shot from 5 ft,,48-49,,
0:40.0,,,48-49,,Defensive rebound by K. Towns
0:34.0,,,48-49,,R. Rubio misses 2-pt shot from 7 ft
0:32.0,Defensive rebound by J. Teague,,48-49,,
0:27.0,J. Teague misses 2-pt shot from 6 ft,,48-49,,
0:26.0,,,48-49,,Defensive rebound by K. Towns
0:05.0,,,48-49,,Shooting foul by J. Teague (drawn by R. Rubio)
0:05.0,,,48-50,1,R. Rubio makes free throw 1 of 2
0:05.0,,,48-50,,R. Rubio misses free throw 2 of 2
0:05.0,Defensive rebound by A. Horford,,48-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,,,48-50,,R. Rubio misses 2-pt shot from 19 ft
11:50.0,Defensive rebound by K. Korver,,48-50,,
11:28.0,A. Horford misses 2-pt shot from 9 ft,,48-50,,
11:27.0,Offensive rebound by P. Millsap,,48-50,,
11:24.0,P. Millsap makes 2-pt shot at rim,2,50-50,,
11:24.0,Shooting foul by K. Garnett (drawn by P. Millsap),,50-50,,
11:24.0,P. Millsap makes free throw 1 of 1,1,51-50,,
11:06.0,,,51-50,,K. Garnett misses 2-pt shot from 18 ft
11:04.0,,,51-50,,Offensive rebound by K. Towns
10:58.0,,,51-50,,R. Rubio misses 2-pt shot from 1 ft
10:57.0,Defensive rebound by T. Sefolosha,,51-50,,
10:51.0,,,51-50,,Personal foul by K. Martin (drawn by K. Korver)
10:36.0,P. Millsap misses 2-pt shot from 4 ft (block by K. Towns),,51-50,,
10:34.0,,,51-50,,Defensive rebound by K. Martin
10:24.0,,,51-53,3,K. Martin makes 3-pt shot from 23 ft (assist by R. Rubio)
10:09.0,J. Teague makes 2-pt shot from 6 ft,2,53-53,,
9:46.0,,,53-53,,R. Rubio misses 3-pt shot from 24 ft
9:45.0,Defensive rebound by T. Sefolosha,,53-53,,
9:40.0,A. Horford makes 2-pt shot at rim (assist by J. Teague),2,55-53,,
9:25.0,,,55-53,,A. Wiggins misses 3-pt shot from 23 ft
9:23.0,Defensive rebound by P. Millsap,,55-53,,
9:13.0,A. Horford misses 2-pt shot from 13 ft,,55-53,,
9:12.0,,,55-53,,Defensive rebound by K. Garnett
8:50.0,,,55-53,,A. Wiggins misses 3-pt shot from 25 ft
8:49.0,Defensive rebound by P. Millsap,,55-53,,
8:38.0,J. Teague misses 3-pt shot from 25 ft,,55-53,,
8:37.0,,,55-53,,Defensive rebound by K. Garnett
8:20.0,,,55-53,,Shooting foul by K. Korver (drawn by K. Martin)
8:20.0,,,55-54,1,K. Martin makes free throw 1 of 2
8:20.0,,,55-55,1,K. Martin makes free throw 2 of 2
8:11.0,,,55-55,,Personal foul by K. Martin (drawn by K. Korver)
8:06.0,K. Korver misses 2-pt shot from 17 ft,,55-55,,
8:05.0,,,55-55,,Defensive rebound by K. Garnett
7:57.0,,,55-55,,K. Martin misses 2-pt shot from 1 ft
7:56.0,,,55-55,,Offensive rebound by Team
7:52.0,,,55-57,2,K. Martin makes 2-pt shot from 18 ft
7:29.0,P. Millsap misses 3-pt shot from 22 ft,,55-57,,
7:28.0,,,55-57,,Defensive rebound by K. Towns
7:21.0,Personal foul by J. Teague (drawn by A. Wiggins),,55-57,,
7:14.0,,,55-57,,K. Martin misses 2-pt shot from 16 ft
7:13.0,Defensive rebound by Team,,55-57,,
7:01.0,T. Sefolosha makes 3-pt shot from 22 ft (assist by P. Millsap),3,58-57,,
6:43.0,,,58-57,,A. Wiggins misses 2-pt shot from 20 ft
6:41.0,,,58-57,,Offensive rebound by R. Rubio
6:38.0,,,58-57,,R. Rubio misses 2-pt shot from 9 ft
6:37.0,,,58-57,,Offensive rebound by Team
6:37.0,,,58-57,,A. Payne enters the game for K. Garnett
6:37.0,M. Muscala enters the game for P. Millsap,,58-57,,
6:36.0,Jump ball: A. Horford vs. K. Towns (K. Korver gains possession),,,,Jump ball: A. Horford vs. K. Towns (K. Korver gains possession)
6:36.0,,,58-57,,Turnover by K. Towns (lost ball; steal by A. Horford)
6:34.0,Turnover by K. Korver (bad pass; steal by R. Rubio),,58-57,,
6:29.0,,,58-60,3,A. Payne makes 3-pt shot from 24 ft
6:16.0,,,58-60,,Violation by A. Payne (def goaltending)
6:16.0,J. Teague makes 2-pt shot at rim,2,60-60,,
6:01.0,,,60-60,,Shooting foul by M. Muscala (drawn by A. Payne)
6:01.0,,,60-61,1,A. Payne makes free throw 1 of 2
6:01.0,,,60-61,,Z. LaVine enters the game for R. Rubio
6:01.0,P. Millsap enters the game for A. Horford,,60-61,,
6:01.0,L. Patterson enters the game for T. Sefolosha,,60-61,,
6:01.0,,,60-62,1,A. Payne makes free throw 2 of 2
5:40.0,P. Millsap makes 2-pt shot from 18 ft,2,62-62,,
5:23.0,,,62-62,,K. Martin misses 2-pt shot from 16 ft
5:23.0,Defensive rebound by Team,,62-62,,
5:23.0,,,62-62,,Loose ball foul by A. Payne (drawn by P. Millsap)
5:23.0,,,62-62,,Minnesota full timeout
5:07.0,K. Korver misses 3-pt shot from 24 ft,,62-62,,
5:06.0,,,62-62,,Defensive rebound by A. Payne
5:06.0,Personal foul by M. Muscala (drawn by A. Payne),,62-62,,
4:54.0,,,62-64,2,K. Towns makes 2-pt shot from 4 ft (assist by A. Wiggins)
4:40.0,Shooting foul by Z. LaVine (drawn by J. Teague),,62-64,,
4:40.0,J. Teague makes free throw 1 of 2,1,63-64,,
4:40.0,D. Schroder enters the game for K. Korver,,63-64,,
4:40.0,J. Teague makes free throw 2 of 2,1,64-64,,
4:29.0,,,64-64,,A. Wiggins misses 3-pt shot from 25 ft
4:26.0,,,64-64,,Offensive rebound by Team
4:26.0,K. Korver enters the game for J. Teague,,64-64,,
4:13.0,,,64-64,,A. Wiggins misses 2-pt shot from 1 ft (block by M. Muscala)
4:12.0,Defensive rebound by P. Millsap,,64-64,,
4:03.0,,,64-64,,Personal foul by A. Payne (drawn by P. Millsap)
4:03.0,P. Millsap misses free throw 1 of 2,,64-64,,
4:03.0,Offensive rebound by Team,,64-64,,
4:03.0,P. Millsap makes free throw 2 of 2,1,65-64,,
3:48.0,,,65-64,,A. Payne misses 3-pt shot from 25 ft
3:46.0,Defensive rebound by D. Schroder,,65-64,,
3:43.0,Shooting foul by A. Payne (drawn by M. Muscala),,65-64,,
3:43.0,M. Muscala makes free throw 1 of 2,1,66-64,,
3:43.0,,,66-64,,S. Muhammad enters the game for K. Martin
3:43.0,,,66-64,,G. Dieng enters the game for K. Towns
3:43.0,M. Muscala makes free throw 2 of 2,1,67-64,,
3:28.0,Personal foul by L. Patterson (drawn by Z. LaVine),,67-64,,
3:28.0,,,67-65,1,Z. LaVine makes free throw 1 of 2
3:28.0,,,67-66,1,Z. LaVine makes free throw 2 of 2
3:14.0,M. Muscala misses 3-pt shot from 22 ft,,67-66,,
3:12.0,Offensive rebound by P. Millsap,,67-66,,
3:04.0,P. Millsap misses 2-pt shot at rim,,67-66,,
3:03.0,,,67-66,,Defensive rebound by A. Payne
2:46.0,,,67-66,,Turnover by G. Dieng (bad pass; steal by K. Korver)
2:34.0,D. Schroder makes 2-pt shot from 1 ft,2,69-66,,
2:14.0,,,69-66,,Turnover by A. Wiggins (bad pass; steal by L. Patterson)
2:09.0,K. Korver makes 3-pt shot from 25 ft (assist by D. Schroder),3,72-66,,
2:08.0,,,72-66,,Minnesota full timeout
2:08.0,Atlanta full timeout,,72-66,,
2:08.0,A. Horford enters the game for P. Millsap,,72-66,,
2:08.0,,,72-66,,T. Prince enters the game for A. Wiggins
1:52.0,,,72-68,2,G. Dieng makes 2-pt shot from 15 ft (assist by S. Muhammad)
1:32.0,D. Schroder misses 2-pt shot from 1 ft (block by G. Dieng),,72-68,,
1:30.0,,,72-68,,Defensive rebound by Z. LaVine
1:26.0,,,72-68,,Turnover by Z. LaVine (lost ball; steal by K. Korver)
1:14.0,L. Patterson makes 2-pt shot from 1 ft (assist by K. Korver),2,74-68,,
0:57.0,,,74-70,2,Z. LaVine makes 2-pt shot at rim (assist by G. Dieng)
0:38.0,A. Horford misses 3-pt shot from 24 ft,,74-70,,
0:37.0,,,74-70,,Defensive rebound by S. Muhammad
0:23.0,,,74-70,,S. Muhammad misses 2-pt shot from 2 ft
0:22.0,Defensive rebound by L. Patterson,,74-70,,
0:05.0,A. Horford misses 3-pt shot from 23 ft,,74-70,,
0:03.0,Offensive rebound by D. Schroder,,74-70,,
0:01.0,D. Schroder misses 2-pt shot from 12 ft,,74-70,,
0:00.0,,,74-70,,Defensive rebound by A. Payne
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,L. Patterson misses 3-pt shot from 25 ft,,74-70,,
11:38.0,,,74-70,,Defensive rebound by T. Prince
11:28.0,,,74-70,,Shooting foul by A. Horford (drawn by G. Dieng)
11:28.0,,,74-71,1,G. Dieng makes free throw 1 of 2
11:28.0,,,74-72,1,G. Dieng makes free throw 2 of 2
11:10.0,D. Schroder misses 2-pt shot from 8 ft,,74-72,,
11:09.0,Offensive rebound by A. Horford,,74-72,,
11:02.0,L. Patterson misses 3-pt shot from 26 ft,,74-72,,
11:01.0,,,74-72,,Defensive rebound by T. Prince
10:51.0,,,74-74,2,Z. LaVine makes 2-pt shot from 13 ft
10:33.0,Shooting foul by Z. LaVine (drawn by L. Patterson),,74-74,,
10:33.0,L. Patterson misses free throw 1 of 2,,74-74,,
10:33.0,Offensive rebound by Team,,74-74,,
10:33.0,J. Teague enters the game for D. Schroder,,74-74,,
10:33.0,L. Patterson makes free throw 2 of 2,1,75-74,,
10:20.0,,,75-74,,S. Muhammad misses 3-pt shot from 23 ft
10:19.0,,,75-74,,Offensive rebound by G. Dieng
10:15.0,,,75-74,,S. Muhammad misses 2-pt shot from 12 ft
10:14.0,Defensive rebound by T. Hardaway,,75-74,,
10:01.0,Shooting foul by S. Muhammad (drawn by A. Horford),,75-74,,
10:01.0,A. Horford makes 2-pt shot from 4 ft (assist by L. Patterson),2,77-74,,
10:01.0,T. Sefolosha enters the game for L. Patterson,,77-74,,
10:01.0,A. Horford misses free throw 1 of 1,,77-74,,
10:01.0,,,77-74,,Defensive rebound by G. Dieng
9:40.0,,,77-74,,Shooting foul by T. Sefolosha (drawn by G. Dieng)
9:40.0,,,77-75,1,G. Dieng makes free throw 1 of 2
9:40.0,,,77-76,1,G. Dieng makes free throw 2 of 2
9:22.0,M. Scott misses 3-pt shot from 23 ft,,77-76,,
9:21.0,,,77-76,,Defensive rebound by Z. LaVine
9:10.0,,,77-76,,D. Rudez misses 3-pt shot from 25 ft
9:09.0,Defensive rebound by T. Sefolosha,,77-76,,
9:00.0,J. Teague misses 2-pt shot from 9 ft,,77-76,,
8:59.0,Offensive rebound by J. Teague,,77-76,,
8:55.0,T. Hardaway misses 3-pt shot from 24 ft,,77-76,,
8:53.0,Offensive rebound by A. Horford,,77-76,,
8:51.0,A. Horford misses 2-pt shot from 1 ft,,77-76,,
8:50.0,Offensive rebound by A. Horford,,77-76,,
8:50.0,Shooting foul by G. Dieng (drawn by A. Horford),,77-76,,
8:50.0,Atlanta full timeout,,77-76,,
8:50.0,,,77-76,,A. Wiggins enters the game for S. Muhammad
8:50.0,A. Horford makes free throw 1 of 2,1,78-76,,
8:50.0,A. Horford misses free throw 2 of 2,,78-76,,
8:49.0,,,78-76,,Defensive rebound by Z. LaVine
8:38.0,,,78-78,2,Z. LaVine makes 2-pt shot from 1 ft
8:20.0,M. Scott makes 2-pt shot from 5 ft (assist by J. Teague),2,80-78,,
8:05.0,,,80-81,3,D. Rudez makes 3-pt shot from 24 ft (assist by Z. LaVine)
7:50.0,A. Horford misses 2-pt shot from 8 ft,,80-81,,
7:49.0,,,80-81,,Defensive rebound by G. Dieng
7:33.0,,,80-81,,Z. LaVine misses 3-pt shot from 26 ft
7:32.0,Defensive rebound by A. Horford,,80-81,,
7:08.0,T. Hardaway misses 2-pt shot from 20 ft,,80-81,,
7:07.0,,,80-81,,Defensive rebound by G. Dieng
6:43.0,,,80-84,3,D. Rudez makes 3-pt shot from 24 ft (assist by G. Dieng)
6:32.0,Atlanta full timeout,,80-84,,
6:32.0,P. Millsap enters the game for T. Hardaway,,80-84,,
6:32.0,M. Muscala enters the game for A. Horford,,80-84,,
6:32.0,K. Korver enters the game for M. Scott,,80-84,,
6:21.0,M. Muscala makes 3-pt shot from 23 ft (assist by J. Teague),3,83-84,,
6:02.0,,,83-84,,T. Prince misses 2-pt shot from 15 ft
6:01.0,,,83-84,,Offensive rebound by Z. LaVine
5:57.0,,,83-84,,Shooting foul by K. Korver (drawn by T. Prince)
5:57.0,,,83-85,1,T. Prince makes free throw 1 of 2
5:57.0,,,83-86,1,T. Prince makes free throw 2 of 2
5:48.0,J. Teague misses 3-pt shot from 25 ft,,83-86,,
5:47.0,,,83-86,,Defensive rebound by G. Dieng
5:34.0,,,83-88,2,G. Dieng makes 2-pt shot at rim (assist by Z. LaVine)
5:22.0,Shooting foul by D. Rudez (drawn by P. Millsap),,83-88,,
