time,LA Lakers,pts.away,score,pts.home,Golden State
6:16.0,J. Randle makes free throw 1 of 2,1,25-43,,
6:16.0,,,25-43,,D. Green enters the game for M. Speights
6:16.0,,,25-43,,S. Curry enters the game for S. Livingston
6:16.0,J. Randle makes free throw 2 of 2,1,26-43,,
6:01.0,Personal foul by L. Williams,,26-43,,
5:52.0,,,26-45,2,A. Bogut makes 2-pt shot at rim (assist by D. Green)
5:32.0,L. Williams makes 2-pt shot from 17 ft,2,28-45,,
5:16.0,,,28-45,,Golden State full timeout
5:07.0,,,28-45,,H. Barnes misses 3-pt shot from 23 ft
5:07.0,Defensive rebound by J. Randle,,28-45,,
4:54.0,N. Young misses 3-pt shot from 26 ft,,28-45,,
4:54.0,,,28-45,,Defensive rebound by A. Bogut
4:35.0,,,28-45,,D. Green misses 3-pt shot from 25 ft
4:35.0,Defensive rebound by R. Hibbert,,28-45,,
4:26.0,J. Clarkson misses 3-pt shot from 26 ft,,28-45,,
4:25.0,,,28-45,,Defensive rebound by K. Thompson
4:11.0,,,28-47,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
3:50.0,L. Williams makes 2-pt shot from 19 ft,2,30-47,,
3:26.0,,,30-49,2,D. Green makes 2-pt shot from 2 ft (assist by K. Thompson)
3:07.0,N. Young misses 2-pt shot from 18 ft,,30-49,,
3:06.0,,,30-49,,Defensive rebound by D. Green
3:02.0,Personal foul by R. Hibbert (drawn by A. Bogut),,30-49,,
3:02.0,B. Bass enters the game for R. Hibbert,,30-49,,
3:02.0,K. Bryant enters the game for L. Williams,,30-49,,
3:02.0,D. Russell enters the game for N. Young,,30-49,,
2:53.0,,,30-51,2,S. Curry makes 2-pt shot from 17 ft (assist by D. Green)
2:32.0,J. Randle makes 2-pt shot from 8 ft (assist by J. Clarkson),2,32-51,,
2:19.0,,,32-51,,S. Curry misses 2-pt shot from 13 ft
2:19.0,Defensive rebound by D. Russell,,32-51,,
2:10.0,D. Russell makes 2-pt shot from 12 ft,2,34-51,,
2:00.0,,,34-51,,H. Barnes misses 3-pt shot from 23 ft
1:59.0,Defensive rebound by J. Randle,,34-51,,
1:35.0,J. Clarkson misses 2-pt shot from 1 ft,,34-51,,
1:35.0,,,34-51,,Defensive rebound by Team
1:35.0,Loose ball foul by B. Bass (drawn by A. Bogut),,34-51,,
1:35.0,LA Lakers full timeout,,34-51,,
1:35.0,,,34-51,,A. Iguodala enters the game for A. Bogut
1:22.0,,,34-54,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry)
0:55.0,K. Bryant misses 3-pt shot from 27 ft,,34-54,,
0:54.0,Offensive rebound by Team,,34-54,,
0:51.0,Turnover by J. Clarkson (lost ball; steal by S. Curry),,34-54,,
0:39.0,,,34-54,,Turnover by K. Thompson (bad pass; steal by J. Randle)
0:32.0,J. Randle makes 2-pt shot from 7 ft,2,36-54,,
0:10.0,,,36-54,,A. Iguodala misses 3-pt shot from 27 ft
0:09.0,Defensive rebound by B. Bass,,36-54,,
0:03.0,K. Bryant misses 2-pt shot from 2 ft,,36-54,,
0:02.0,Offensive rebound by B. Bass,,36-54,,
0:02.0,B. Bass makes 2-pt shot from 2 ft,2,38-54,,
0:01.0,,,38-54,,S. Curry misses 3-pt shot from 54 ft
0:00.0,,,38-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,J. Clarkson misses 3-pt shot from 26 ft,,38-54,,
11:43.0,Offensive rebound by J. Clarkson,,38-54,,
11:41.0,J. Clarkson misses 3-pt shot from 25 ft,,38-54,,
11:39.0,,,38-54,,Defensive rebound by A. Bogut
11:23.0,,,38-56,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
10:59.0,J. Randle misses 2-pt shot from 9 ft,,38-56,,
10:59.0,Offensive rebound by R. Hibbert,,38-56,,
10:58.0,R. Hibbert misses 2-pt shot from 3 ft (block by A. Bogut),,38-56,,
10:58.0,,,38-56,,Defensive rebound by Team
10:54.0,Jump ball: A. Bogut vs. R. Hibbert (H. Barnes gains possession),,,,Jump ball: A. Bogut vs. R. Hibbert (H. Barnes gains possession)
10:45.0,,,38-58,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
10:22.0,K. Bryant misses 3-pt shot from 25 ft,,38-58,,
10:22.0,,,38-58,,Defensive rebound by Team
10:13.0,,,38-58,,K. Thompson misses 3-pt shot from 23 ft
10:11.0,Defensive rebound by K. Bryant,,38-58,,
10:02.0,Shooting foul by A. Bogut (drawn by J. Randle),,38-58,,
10:02.0,J. Randle makes free throw 1 of 2,1,39-58,,
10:02.0,J. Randle makes free throw 2 of 2,1,40-58,,
9:45.0,,,40-58,,A. Bogut misses 2-pt shot from 10 ft
9:44.0,Defensive rebound by J. Randle,,40-58,,
9:33.0,J. Clarkson makes 2-pt shot from 6 ft,2,42-58,,
9:23.0,,,42-58,,K. Thompson misses 2-pt shot from 18 ft
9:23.0,Defensive rebound by D. Russell,,42-58,,
9:16.0,Shooting foul by A. Bogut (drawn by R. Hibbert),,42-58,,
9:16.0,R. Hibbert makes free throw 1 of 2,1,43-58,,
9:16.0,R. Hibbert makes free throw 2 of 2,1,44-58,,
9:01.0,,,44-60,2,S. Curry makes 2-pt shot from 7 ft
8:35.0,K. Bryant misses 2-pt shot from 16 ft,,44-60,,
8:35.0,,,44-60,,Defensive rebound by Team
8:35.0,Jump ball: A. Bogut vs. R. Hibbert (S. Curry gains possession),,,,Jump ball: A. Bogut vs. R. Hibbert (S. Curry gains possession)
8:17.0,,,44-60,,S. Curry misses 3-pt shot from 26 ft
8:17.0,Defensive rebound by K. Bryant,,44-60,,
8:10.0,Offensive foul by R. Hibbert,,44-60,,
8:10.0,Turnover by R. Hibbert (offensive foul),,44-60,,
7:57.0,,,44-60,,Turnover by H. Barnes (bad pass; steal by D. Russell)
7:35.0,K. Bryant misses 3-pt shot from 25 ft,,44-60,,
7:34.0,,,44-60,,Defensive rebound by S. Curry
7:11.0,,,44-63,3,S. Curry makes 3-pt shot from 23 ft (assist by D. Green)
6:53.0,J. Clarkson misses 2-pt shot from 7 ft,,44-63,,
6:52.0,,,44-63,,Defensive rebound by K. Thompson
6:49.0,,,44-65,2,K. Thompson makes 2-pt shot from 1 ft
6:49.0,,,44-65,,Shooting foul by J. Clarkson (drawn by K. Thompson)
6:49.0,,,44-65,,K. Thompson misses free throw 1 of 1
6:48.0,Defensive rebound by J. Randle,,44-65,,
6:25.0,K. Bryant misses 2-pt shot from 16 ft,,44-65,,
6:24.0,,,44-65,,Defensive rebound by S. Curry
6:19.0,,,44-67,2,S. Curry makes 2-pt shot from 1 ft
6:17.0,LA Lakers full timeout,,44-67,,
6:17.0,,,44-67,,A. Iguodala enters the game for H. Barnes
6:06.0,J. Clarkson misses 2-pt shot from 15 ft (block by A. Bogut),,44-67,,
6:06.0,,,44-67,,Defensive rebound by K. Thompson
5:50.0,,,44-67,,S. Curry misses 3-pt shot from 26 ft
5:48.0,,,44-67,,Offensive rebound by D. Green
5:48.0,,,44-67,,D. Green misses 2-pt shot from 2 ft
5:45.0,,,44-67,,Offensive rebound by D. Green
5:45.0,,,44-69,2,D. Green makes 2-pt shot from 1 ft
5:24.0,J. Randle misses 2-pt shot from 6 ft,,44-69,,
5:24.0,Offensive rebound by J. Clarkson,,44-69,,
5:24.0,J. Clarkson makes 2-pt shot from 1 ft,2,46-69,,
5:12.0,,,46-69,,D. Green misses 3-pt shot from 24 ft
5:10.0,Defensive rebound by D. Russell,,46-69,,
5:04.0,D. Russell misses 3-pt shot from 25 ft,,46-69,,
5:02.0,Offensive rebound by R. Hibbert,,46-69,,
4:53.0,Turnover by K. Bryant (bad pass; steal by A. Iguodala),,46-69,,
4:48.0,,,46-71,2,A. Iguodala makes 2-pt shot at rim (assist by S. Curry)
4:30.0,L. Williams enters the game for J. Clarkson,,46-71,,
4:30.0,,,46-71,,F. Ezeli enters the game for A. Bogut
4:30.0,B. Bass enters the game for R. Hibbert,,46-71,,
4:20.0,K. Bryant misses 2-pt shot from 9 ft,,46-71,,
4:19.0,,,46-71,,Defensive rebound by F. Ezeli
4:07.0,,,46-73,2,F. Ezeli makes 2-pt shot at rim (assist by D. Green)
3:49.0,Turnover by L. Williams (bad pass; steal by S. Curry),,46-73,,
3:45.0,,,46-73,,Turnover by D. Green (bad pass; steal by K. Bryant)
3:40.0,B. Bass makes 2-pt shot from 13 ft (assist by K. Bryant),2,48-73,,
3:25.0,,,48-75,2,S. Curry makes 2-pt shot from 3 ft
3:09.0,Turnover by K. Bryant (bad pass),,48-75,,
3:09.0,L. Nance enters the game for J. Randle,,48-75,,
3:09.0,N. Young enters the game for K. Bryant,,48-75,,
2:58.0,,,48-75,,Shooting foul by L. Williams (drawn by K. Thompson)
2:58.0,,,48-75,,Golden State full timeout
2:58.0,,,48-76,1,K. Thompson makes free throw 1 of 3
2:58.0,,,48-77,1,K. Thompson makes free throw 2 of 3
2:58.0,,,48-78,1,K. Thompson makes free throw 3 of 3
2:35.0,N. Young makes 3-pt shot from 26 ft (assist by D. Russell),3,51-78,,
2:21.0,,,51-81,3,K. Thompson makes 3-pt shot from 26 ft (assist by S. Curry)
1:56.0,N. Young misses 3-pt shot from 26 ft,,51-81,,
1:56.0,,,51-81,,Defensive rebound by A. Iguodala
1:48.0,,,51-81,,S. Curry misses 3-pt shot from 27 ft
1:47.0,,,51-81,,Offensive rebound by A. Iguodala
1:39.0,,,51-81,,S. Curry misses 2-pt shot from 2 ft
1:39.0,,,51-81,,Offensive rebound by F. Ezeli
1:39.0,,,51-81,,Shooting foul by N. Young (drawn by F. Ezeli)
1:39.0,,,51-82,1,F. Ezeli makes free throw 1 of 2
1:39.0,,,51-82,,S. Livingston enters the game for K. Thompson
1:39.0,,,51-82,,F. Ezeli misses free throw 2 of 2
1:38.0,Defensive rebound by B. Bass,,51-82,,
1:23.0,B. Bass makes 2-pt shot from 15 ft,2,53-82,,
1:02.0,,,53-85,3,S. Curry makes 3-pt shot from 28 ft
0:52.0,D. Russell misses 3-pt shot from 26 ft,,53-85,,
0:52.0,,,53-85,,Defensive rebound by A. Iguodala
0:44.0,,,53-85,,Turnover by D. Green (bad pass; steal by D. Russell)
0:36.0,L. Nance makes 2-pt shot at rim (assist by D. Russell),2,55-85,,
0:33.0,,,55-87,2,S. Curry makes 2-pt shot from 1 ft
0:21.0,B. Bass misses 2-pt shot from 19 ft,,55-87,,
0:20.0,,,55-87,,Defensive rebound by D. Green
0:07.0,Personal foul by L. Nance (drawn by D. Green),,55-87,,
0:07.0,,,55-88,1,D. Green makes free throw 1 of 2
0:07.0,,,55-88,,L. Barbosa enters the game for S. Curry
0:07.0,,,55-89,1,D. Green makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,55-89,,Shooting foul by T. Black (drawn by F. Ezeli)
11:50.0,,,55-89,,F. Ezeli misses free throw 1 of 2
11:50.0,,,55-89,,Offensive rebound by Team
11:50.0,,,55-89,,F. Ezeli misses free throw 2 of 2
11:50.0,Defensive rebound by T. Black,,55-89,,
11:38.0,,,55-89,,Personal foul by S. Livingston
11:34.0,M. Huertas makes 2-pt shot from 13 ft,2,57-89,,
11:17.0,,,57-91,2,L. Barbosa makes 2-pt shot from 12 ft (assist by J. Thompson)
11:07.0,T. Black misses 2-pt shot from 15 ft,,57-91,,
11:06.0,,,57-91,,Defensive rebound by F. Ezeli
10:49.0,,,57-91,,J. Thompson misses 2-pt shot from 12 ft
10:47.0,Defensive rebound by T. Black,,57-91,,
10:38.0,T. Black makes 2-pt shot at rim (assist by L. Nance),2,59-91,,
10:23.0,,,59-91,,L. Barbosa misses 2-pt shot from 5 ft
10:23.0,,,59-91,,Offensive rebound by Team
10:23.0,Loose ball foul by L. Williams,,59-91,,
10:07.0,,,59-93,2,S. Livingston makes 2-pt shot from 14 ft
9:50.0,T. Black misses 2-pt shot from 7 ft,,59-93,,
9:47.0,,,59-93,,Defensive rebound by F. Ezeli
9:32.0,,,59-93,,J. Thompson misses 2-pt shot from 4 ft
9:32.0,,,59-93,,Offensive rebound by J. Thompson
9:30.0,,,59-95,2,J. Thompson makes 2-pt shot from 2 ft
9:23.0,Turnover by M. Huertas (lost ball; steal by L. Barbosa),,59-95,,
9:19.0,,,59-97,2,L. Barbosa makes 2-pt shot from 1 ft (assist by A. Iguodala)
9:07.0,,,59-97,,Personal foul by J. Thompson (drawn by T. Black)
9:07.0,M. World Peace enters the game for L. Williams,,59-97,,
8:59.0,L. Nance makes 2-pt shot from 18 ft (assist by M. World Peace),2,61-97,,
8:35.0,,,61-99,2,F. Ezeli makes 2-pt shot from 10 ft (assist by J. Thompson)
8:17.0,L. Nance makes 2-pt shot from 17 ft (assist by N. Young),2,63-99,,
8:01.0,,,63-99,,Shooting foul by T. Black (drawn by F. Ezeli)
8:01.0,,,63-101,2,F. Ezeli makes 2-pt shot from 3 ft (assist by L. Barbosa)
8:01.0,Official timeout,,63-101,,
8:01.0,,,63-101,,B. Rush enters the game for A. Iguodala
8:01.0,,,63-101,,F. Ezeli misses free throw 1 of 1
8:01.0,Defensive rebound by T. Black,,63-101,,
7:37.0,T. Black makes 2-pt shot at rim (assist by L. Nance),2,65-101,,
7:21.0,,,65-103,2,S. Livingston makes 2-pt shot from 10 ft (assist by J. Thompson)
7:06.0,N. Young misses 3-pt shot from 26 ft,,65-103,,
7:06.0,,,65-103,,Defensive rebound by F. Ezeli
6:50.0,,,65-106,3,B. Rush makes 3-pt shot from 23 ft (assist by S. Livingston)
6:23.0,L. Nance misses 2-pt shot from 13 ft,,65-106,,
6:23.0,Offensive rebound by L. Nance,,65-106,,
6:05.0,T. Black makes 2-pt shot from 3 ft (assist by M. Huertas),2,67-106,,
6:03.0,Personal foul by M. Huertas (drawn by S. Livingston),,67-106,,
6:03.0,R. Kelly enters the game for L. Nance,,67-106,,
6:03.0,,,67-106,,I. Clark enters the game for S. Livingston
6:03.0,,,67-106,,M. Speights enters the game for F. Ezeli
5:49.0,,,67-106,,J. Thompson misses 2-pt shot from 6 ft
5:48.0,Defensive rebound by R. Kelly,,67-106,,
5:32.0,M. Huertas makes 3-pt shot from 26 ft (assist by R. Kelly),3,70-106,,
5:17.0,,,70-106,,Turnover by B. Rush (lost ball; steal by M. World Peace)
5:11.0,,,70-106,,Golden State full timeout
5:11.0,LA Lakers full timeout,,70-106,,
4:58.0,M. Huertas misses 3-pt shot from 24 ft,,70-106,,
4:57.0,Offensive rebound by M. World Peace,,70-106,,
4:55.0,M. World Peace misses 2-pt shot from 3 ft,,70-106,,
4:55.0,Offensive rebound by Team,,70-106,,
4:55.0,,,70-106,,Loose ball foul by J. Thompson (drawn by T. Black)
4:46.0,Turnover by M. Huertas (bad pass; steal by L. Barbosa),,70-106,,
4:41.0,,,70-108,2,L. Barbosa makes 2-pt shot at rim
4:21.0,Turnover by M. World Peace (lost ball; steal by L. Barbosa),,70-108,,
4:07.0,,,70-108,,I. Clark misses 3-pt shot from 26 ft
4:07.0,Defensive rebound by T. Black,,70-108,,
3:55.0,R. Kelly makes 2-pt shot from 18 ft (assist by M. World Peace),2,72-108,,
3:34.0,,,72-108,,B. Rush misses 3-pt shot from 23 ft
3:33.0,Defensive rebound by T. Black,,72-108,,
3:29.0,Shooting foul by M. Speights (drawn by R. Kelly),,72-108,,
3:29.0,R. Kelly makes free throw 1 of 2,1,73-108,,
3:29.0,R. Kelly misses free throw 2 of 2,,73-108,,
3:27.0,,,73-108,,Defensive rebound by B. Rush
3:11.0,,,73-108,,M. Speights misses 3-pt shot from 25 ft
3:09.0,Defensive rebound by M. Huertas,,73-108,,
3:06.0,Turnover by M. Huertas (lost ball; steal by I. Clark),,73-108,,
2:57.0,,,73-108,,I. Clark misses 2-pt shot from 10 ft
2:56.0,,,73-108,,Offensive rebound by I. Clark
2:56.0,,,73-108,,I. Clark misses 2-pt shot from 10 ft
2:55.0,,,73-108,,Offensive rebound by J. Thompson
2:55.0,,,73-108,,Shooting foul by T. Black (drawn by J. Thompson)
2:55.0,,,73-109,1,J. Thompson makes free throw 1 of 2
2:55.0,,,73-109,,J. Thompson misses free throw 2 of 2
2:52.0,Defensive rebound by T. Black,,73-109,,
2:35.0,N. Young makes 2-pt shot from 3 ft (assist by M. Huertas),2,75-109,,
2:13.0,,,75-109,,Turnover by M. Speights (lost ball; steal by R. Kelly)
2:02.0,Turnover by R. Kelly (bad pass; steal by I. Clark),,75-109,,
1:58.0,,,75-111,2,L. Barbosa makes 2-pt shot from 2 ft (assist by I. Clark)
1:44.0,M. Huertas misses 2-pt shot from 3 ft (block by J. Thompson),,75-111,,
1:44.0,Offensive rebound by Team,,75-111,,
1:41.0,M. Huertas makes 2-pt shot from 13 ft (assist by M. World Peace),2,77-111,,
1:19.0,,,77-111,,M. Speights misses 2-pt shot from 13 ft
1:17.0,Defensive rebound by M. World Peace,,77-111,,
0:57.0,N. Young misses 2-pt shot from 14 ft,,77-111,,
0:55.0,,,77-111,,Defensive rebound by Team
