time,Boston,pts.away,score,pts.home,Orlando
8:15.0,I. Thomas misses 3-pt shot from 25 ft,,5-4,,
8:14.0,,,5-4,,Defensive rebound by N. Vucevic
8:03.0,,,5-4,,Turnover by E. Payton (bad pass; steal by J. Crowder)
8:02.0,,,5-4,,Personal foul by E. Payton (drawn by J. Crowder)
7:46.0,A. Bradley misses 3-pt shot from 24 ft,,5-4,,
7:44.0,,,5-4,,Defensive rebound by E. Payton
7:37.0,Personal foul by I. Thomas (drawn by N. Vucevic),,5-4,,
7:28.0,,,5-4,,V. Oladipo misses 2-pt shot from 9 ft
7:27.0,Defensive rebound by I. Thomas,,5-4,,
7:23.0,J. Crowder makes 2-pt shot at rim (assist by I. Thomas),2,7-4,,
7:04.0,,,7-4,,N. Vucevic misses 2-pt shot from 15 ft
7:03.0,Defensive rebound by J. Sullinger,,7-4,,
6:56.0,I. Thomas makes 3-pt shot from 24 ft,3,10-4,,
6:42.0,,,10-6,2,E. Payton makes 2-pt shot from 1 ft (assist by V. Oladipo)
6:07.0,J. Sullinger misses 2-pt shot from 22 ft (block by N. Vucevic),,10-6,,
6:06.0,,,10-6,,Defensive rebound by A. Gordon
5:56.0,,,10-6,,Turnover by E. Payton (bad pass; steal by I. Thomas)
5:53.0,A. Bradley makes 2-pt shot from 1 ft (assist by I. Thomas),2,12-6,,
5:53.0,Shooting foul by V. Oladipo (drawn by A. Bradley),,12-6,,
5:53.0,,,12-6,,Orlando full timeout
5:53.0,A. Bradley makes free throw 1 of 1,1,13-6,,
5:33.0,,,13-6,,T. Harris misses 3-pt shot from 25 ft
5:31.0,,,13-6,,Offensive rebound by V. Oladipo
5:26.0,,,13-8,2,A. Gordon makes 2-pt shot from 13 ft
5:12.0,I. Thomas makes 2-pt shot from 2 ft,2,15-8,,
5:01.0,,,15-8,,V. Oladipo misses 2-pt shot from 2 ft
4:59.0,,,15-8,,Offensive rebound by N. Vucevic
4:59.0,,,15-10,2,N. Vucevic makes 2-pt shot from 1 ft
4:45.0,I. Thomas makes 3-pt shot from 25 ft,3,18-10,,
4:29.0,Shooting block foul by J. Sullinger (drawn by T. Harris),,18-10,,
4:29.0,,,18-11,1,T. Harris makes free throw 1 of 2
4:29.0,E. Turner enters the game for A. Bradley,,18-11,,
4:29.0,M. Smart enters the game for J. Sullinger,,18-11,,
4:29.0,,,18-12,1,T. Harris makes free throw 2 of 2
4:16.0,I. Thomas makes 3-pt shot from 25 ft,3,21-12,,
3:57.0,,,21-14,2,E. Payton makes 2-pt shot from 1 ft (assist by A. Gordon)
3:46.0,,,21-14,,Personal foul by E. Payton (drawn by I. Thomas)
3:46.0,,,21-14,,M. Hezonja enters the game for E. Payton
3:39.0,J. Crowder misses 3-pt shot from 25 ft,,21-14,,
3:38.0,,,21-14,,Defensive rebound by N. Vucevic
3:27.0,,,21-14,,Turnover by T. Harris (lost ball)
3:14.0,M. Smart misses 2-pt shot from 2 ft,,21-14,,
3:12.0,Offensive rebound by A. Johnson,,21-14,,
3:12.0,A. Johnson makes 2-pt shot from 1 ft,2,23-14,,
2:52.0,,,23-17,3,M. Hezonja makes 3-pt shot from 24 ft (assist by N. Vucevic)
2:40.0,,,23-17,,Personal foul by V. Oladipo (drawn by I. Thomas)
2:40.0,Boston full timeout,,23-17,,
2:40.0,,,23-17,,J. Smith enters the game for N. Vucevic
2:40.0,,,23-17,,E. Fournier enters the game for V. Oladipo
2:33.0,M. Smart misses 2-pt shot from 2 ft,,23-17,,
2:32.0,Offensive rebound by A. Johnson,,23-17,,
2:32.0,A. Johnson misses 2-pt shot from 2 ft,,23-17,,
2:30.0,Offensive rebound by A. Johnson,,23-17,,
2:26.0,Turnover by A. Johnson (lost ball; steal by E. Fournier),,23-17,,
2:09.0,,,23-17,,M. Hezonja misses 2-pt shot from 2 ft
2:08.0,Defensive rebound by J. Crowder,,23-17,,
2:04.0,E. Turner misses 2-pt shot from 1 ft,,23-17,,
2:02.0,,,23-17,,Defensive rebound by E. Fournier
1:54.0,,,23-20,3,E. Fournier makes 3-pt shot from 25 ft (assist by A. Gordon)
1:32.0,M. Smart misses 3-pt shot from 24 ft,,23-20,,
1:32.0,,,23-20,,Defensive rebound by Team
1:32.0,,,23-20,,D. Dedmon enters the game for A. Gordon
1:32.0,K. Olynyk enters the game for A. Johnson,,23-20,,
1:25.0,,,23-20,,Turnover by M. Hezonja (bad pass)
1:25.0,J. Jerebko enters the game for J. Crowder,,23-20,,
1:12.0,K. Olynyk misses 2-pt shot from 5 ft (block by D. Dedmon),,23-20,,
1:09.0,,,23-20,,Defensive rebound by D. Dedmon
1:01.0,,,23-20,,Turnover by E. Fournier (bad pass; steal by M. Smart)
0:54.0,M. Smart makes 3-pt shot from 25 ft (assist by E. Turner),3,26-20,,
0:41.0,,,26-22,2,M. Hezonja makes 2-pt shot from 17 ft (assist by J. Smith)
0:33.0,M. Smart makes 3-pt shot from 24 ft (assist by E. Turner),3,29-22,,
0:22.0,,,29-24,2,D. Dedmon makes 2-pt shot at rim (assist by E. Fournier)
0:00.0,M. Smart makes 3-pt shot from 31 ft,3,32-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,32-26,2,M. Hezonja makes 2-pt shot from 17 ft
11:28.0,K. Olynyk makes 2-pt shot from 2 ft (assist by E. Turner),2,34-26,,
11:17.0,,,34-26,,Turnover by E. Fournier (step out of bounds)
11:05.0,Shooting foul by M. Hezonja (drawn by J. Jerebko),,34-26,,
11:05.0,J. Jerebko misses free throw 1 of 2,,34-26,,
11:05.0,Offensive rebound by Team,,34-26,,
11:05.0,J. Jerebko makes free throw 2 of 2,1,35-26,,
10:54.0,,,35-29,3,M. Hezonja makes 3-pt shot from 25 ft (assist by D. Dedmon)
10:34.0,,,35-29,,Personal foul by D. Dedmon (drawn by K. Olynyk)
10:29.0,J. Jerebko makes 3-pt shot from 24 ft (assist by K. Olynyk),3,38-29,,
10:19.0,,,38-29,,Turnover by M. Hezonja (bad pass)
10:02.0,K. Olynyk misses 3-pt shot from 26 ft,,38-29,,
10:01.0,,,38-29,,Defensive rebound by D. Dedmon
9:53.0,,,38-29,,Shooting foul by E. Turner (drawn by D. Dedmon)
9:53.0,,,38-29,,D. Dedmon misses free throw 1 of 2
9:53.0,,,38-29,,Offensive rebound by Team
9:53.0,,,38-30,1,D. Dedmon makes free throw 2 of 2
9:36.0,A. Bradley misses 3-pt shot from 25 ft,,38-30,,
9:34.0,,,38-30,,Defensive rebound by M. Hezonja
9:25.0,,,38-32,2,A. Gordon makes 2-pt shot from 1 ft (assist by M. Hezonja)
9:10.0,,,38-32,,Personal foul by J. Smith (drawn by J. Jerebko)
9:06.0,,,38-32,,Personal foul by E. Fournier (drawn by K. Olynyk)
8:55.0,E. Turner makes 2-pt shot from 2 ft,2,40-32,,
8:48.0,,,40-34,2,E. Fournier makes 2-pt shot from 2 ft
8:48.0,,,40-34,,Shooting foul by J. Jerebko (drawn by E. Fournier)
8:48.0,Official timeout,,40-34,,
8:48.0,,,40-35,1,E. Fournier makes free throw 1 of 1
8:35.0,K. Olynyk makes 2-pt shot from 19 ft (assist by E. Turner),2,42-35,,
8:16.0,,,42-35,,Turnover by E. Fournier (bad pass; steal by J. Jerebko)
8:08.0,E. Turner misses 2-pt shot from 18 ft,,42-35,,
8:07.0,,,42-35,,Defensive rebound by M. Hezonja
7:57.0,,,42-35,,M. Hezonja misses 2-pt shot from 23 ft
7:56.0,Defensive rebound by A. Bradley,,42-35,,
7:50.0,M. Smart misses 3-pt shot from 25 ft,,42-35,,
7:49.0,,,42-35,,Defensive rebound by D. Dedmon
7:42.0,,,42-35,,Offensive foul by D. Dedmon
7:42.0,,,42-35,,Turnover by D. Dedmon (offensive foul)
7:31.0,K. Olynyk misses 3-pt shot from 26 ft,,42-35,,
7:29.0,,,42-35,,Defensive rebound by E. Fournier
7:12.0,,,42-37,2,M. Hezonja makes 2-pt shot from 15 ft (assist by E. Fournier)
6:57.0,A. Bradley makes 2-pt shot from 19 ft (assist by K. Olynyk),2,44-37,,
6:37.0,,,44-37,,D. Dedmon misses 2-pt shot from 7 ft
6:35.0,Defensive rebound by K. Olynyk,,44-37,,
6:21.0,M. Smart misses 2-pt shot from 2 ft,,44-37,,
6:19.0,Offensive rebound by M. Smart,,44-37,,
6:19.0,M. Smart makes 2-pt shot from 2 ft,2,46-37,,
6:07.0,,,46-37,,A. Gordon misses 3-pt shot from 24 ft
6:05.0,Defensive rebound by Team,,46-37,,
5:54.0,,,46-37,,Personal foul by J. Smith (drawn by K. Olynyk)
5:54.0,,,46-37,,Orlando full timeout
5:54.0,,,46-37,,N. Vucevic enters the game for E. Fournier
5:54.0,,,46-37,,V. Oladipo enters the game for D. Dedmon
5:54.0,K. Olynyk makes free throw 1 of 2,1,47-37,,
5:54.0,K. Olynyk makes free throw 2 of 2,1,48-37,,
5:29.0,,,48-37,,N. Vucevic misses 2-pt shot from 13 ft
5:27.0,Defensive rebound by J. Jerebko,,48-37,,
5:12.0,J. Jerebko misses 3-pt shot from 25 ft,,48-37,,
5:10.0,,,48-37,,Defensive rebound by A. Gordon
4:51.0,,,48-37,,M. Hezonja misses 3-pt shot from 25 ft
4:49.0,Defensive rebound by A. Bradley,,48-37,,
4:35.0,E. Turner makes 2-pt shot from 18 ft,2,50-37,,
4:06.0,,,50-39,2,N. Vucevic makes 2-pt shot from 3 ft (assist by J. Smith)
3:47.0,A. Bradley misses 2-pt shot from 17 ft,,50-39,,
3:46.0,,,50-39,,Defensive rebound by N. Vucevic
3:32.0,,,50-39,,Shooting foul by J. Jerebko (drawn by A. Gordon)
3:32.0,,,50-39,,A. Gordon misses free throw 1 of 2
3:32.0,,,50-39,,Offensive rebound by Team
3:32.0,I. Thomas enters the game for M. Smart,,50-39,,
3:32.0,J. Sullinger enters the game for K. Olynyk,,50-39,,
3:32.0,A. Johnson enters the game for J. Jerebko,,50-39,,
3:32.0,,,50-39,,T. Harris enters the game for J. Smith
3:32.0,,,50-39,,A. Gordon misses free throw 2 of 2
3:31.0,Defensive rebound by A. Johnson,,50-39,,
3:16.0,E. Turner makes 2-pt shot from 18 ft,2,52-39,,
2:59.0,,,52-39,,V. Oladipo misses 3-pt shot from 25 ft
2:57.0,Defensive rebound by I. Thomas,,52-39,,
2:50.0,J. Sullinger misses 2-pt shot from 2 ft (block by N. Vucevic),,52-39,,
2:48.0,Offensive rebound by J. Sullinger,,52-39,,
2:44.0,A. Bradley misses 3-pt shot from 25 ft,,52-39,,
2:42.0,,,52-39,,Defensive rebound by V. Oladipo
2:38.0,Shooting block foul by I. Thomas (drawn by N. Vucevic),,52-39,,
2:38.0,Boston full timeout,,52-39,,
2:38.0,J. Crowder enters the game for E. Turner,,52-39,,
2:38.0,,,52-39,,E. Payton enters the game for A. Gordon
2:38.0,,,52-40,1,N. Vucevic makes free throw 1 of 2
2:38.0,,,52-40,,N. Vucevic misses free throw 2 of 2
2:37.0,Defensive rebound by A. Johnson,,52-40,,
2:25.0,J. Sullinger makes 2-pt shot from 18 ft (assist by I. Thomas),2,54-40,,
2:09.0,,,54-40,,M. Hezonja misses 3-pt shot from 25 ft
2:07.0,Defensive rebound by J. Sullinger,,54-40,,
2:04.0,A. Bradley misses 2-pt shot from 2 ft,,54-40,,
2:02.0,,,54-40,,Defensive rebound by E. Payton
1:59.0,,,54-40,,V. Oladipo misses 3-pt shot from 25 ft
1:57.0,,,54-40,,Offensive rebound by E. Payton
1:53.0,,,54-42,2,V. Oladipo makes 2-pt shot from 2 ft (assist by E. Payton)
1:35.0,A. Bradley misses 2-pt shot from 19 ft,,54-42,,
1:34.0,,,54-42,,Defensive rebound by T. Harris
1:15.0,,,54-44,2,V. Oladipo makes 2-pt shot from 9 ft (assist by M. Hezonja)
0:50.0,Turnover by A. Johnson (3 sec),,54-44,,
0:37.0,,,54-44,,Turnover by V. Oladipo (lost ball; steal by A. Bradley)
0:31.0,I. Thomas misses 2-pt shot from 12 ft,,54-44,,
0:30.0,,,54-44,,Defensive rebound by V. Oladipo
0:08.0,,,54-47,3,E. Payton makes 3-pt shot from 25 ft (assist by V. Oladipo)
0:01.0,J. Crowder misses 3-pt shot from 25 ft,,54-47,,
0:00.0,Offensive rebound by Team,,54-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,54-49,2,N. Vucevic makes 2-pt shot from 9 ft (assist by V. Oladipo)
11:29.0,,,54-49,,Def 3 sec tech foul by V. Oladipo
11:29.0,I. Thomas makes technical free throw,1,55-49,,
11:22.0,I. Thomas makes 2-pt shot from 12 ft,2,57-49,,
11:10.0,,,57-52,3,T. Harris makes 3-pt shot from 26 ft (assist by V. Oladipo)
10:44.0,Shooting foul by E. Payton (drawn by J. Sullinger),,57-52,,
10:44.0,J. Sullinger makes free throw 1 of 2,1,58-52,,
10:44.0,J. Sullinger misses free throw 2 of 2,,58-52,,
10:42.0,,,58-52,,Defensive rebound by T. Harris
10:29.0,,,58-52,,N. Vucevic misses 2-pt shot from 18 ft
10:28.0,Defensive rebound by A. Johnson,,58-52,,
10:17.0,A. Bradley misses 3-pt shot from 25 ft,,58-52,,
10:16.0,,,58-52,,Defensive rebound by N. Vucevic
10:05.0,,,58-54,2,T. Harris makes 2-pt shot from 2 ft (assist by A. Gordon)
9:55.0,J. Sullinger makes 2-pt shot from 20 ft (assist by A. Johnson),2,60-54,,
9:37.0,,,60-54,,T. Harris misses 3-pt shot from 25 ft
9:36.0,Defensive rebound by Team,,60-54,,
9:25.0,Shooting foul by A. Gordon (drawn by A. Johnson),,60-54,,
9:25.0,A. Johnson makes free throw 1 of 2,1,61-54,,
9:25.0,A. Johnson makes free throw 2 of 2,1,62-54,,
9:09.0,,,62-54,,V. Oladipo misses 2-pt shot from 2 ft
9:08.0,Defensive rebound by J. Crowder,,62-54,,
9:01.0,J. Crowder makes 3-pt shot from 24 ft (assist by A. Bradley),3,65-54,,
8:43.0,,,65-54,,Turnover by E. Payton (bad pass; steal by A. Bradley)
8:39.0,A. Bradley makes 2-pt shot from 1 ft (assist by J. Crowder),2,67-54,,
8:38.0,,,67-54,,Orlando full timeout
8:19.0,,,67-54,,E. Payton misses 2-pt shot from 3 ft (block by A. Johnson)
8:17.0,,,67-54,,Offensive rebound by E. Payton
8:16.0,Personal foul by J. Sullinger (drawn by E. Payton),,67-54,,
8:16.0,,,67-55,1,E. Payton makes free throw 1 of 2
8:16.0,,,67-56,1,E. Payton makes free throw 2 of 2
8:07.0,,,67-56,,Personal foul by E. Payton (drawn by I. Thomas)
8:07.0,,,67-56,,M. Hezonja enters the game for E. Payton
7:59.0,I. Thomas makes 3-pt shot from 24 ft,3,70-56,,
7:29.0,,,70-58,2,A. Gordon makes 2-pt shot from 16 ft
7:18.0,Turnover by I. Thomas (back court),,70-58,,
7:06.0,,,70-60,2,A. Gordon makes 2-pt shot from 2 ft (assist by N. Vucevic)
7:06.0,,,70-60,,Shooting foul by J. Sullinger (drawn by A. Gordon)
7:06.0,,,70-61,1,A. Gordon makes free throw 1 of 1
6:54.0,J. Crowder misses 2-pt shot from 15 ft,,70-61,,
6:53.0,,,70-61,,Defensive rebound by N. Vucevic
6:35.0,,,70-61,,M. Hezonja misses 2-pt shot from 18 ft
6:34.0,,,70-61,,Offensive rebound by T. Harris
6:31.0,,,70-63,2,T. Harris makes 2-pt shot from 1 ft
6:10.0,A. Johnson makes 2-pt shot from 9 ft,2,72-63,,
5:59.0,,,72-65,2,V. Oladipo makes 2-pt shot from 16 ft
5:47.0,I. Thomas misses 2-pt shot from 2 ft (block by A. Gordon),,72-65,,
5:46.0,Offensive rebound by A. Johnson,,72-65,,
5:43.0,A. Johnson misses 2-pt shot from 6 ft,,72-65,,
5:41.0,Offensive rebound by I. Thomas,,72-65,,
5:38.0,J. Sullinger misses 3-pt shot from 25 ft,,72-65,,
5:37.0,,,72-65,,Defensive rebound by A. Gordon
5:27.0,,,72-67,2,A. Gordon makes 2-pt shot from 1 ft (assist by N. Vucevic)
5:27.0,Boston full timeout,,72-67,,
5:27.0,E. Turner enters the game for J. Sullinger,,72-67,,
5:27.0,M. Smart enters the game for A. Bradley,,72-67,,
5:14.0,I. Thomas misses 3-pt shot from 25 ft,,72-67,,
5:13.0,,,72-67,,Defensive rebound by A. Gordon
5:03.0,Personal foul by A. Johnson (drawn by N. Vucevic),,72-67,,
4:51.0,,,72-67,,N. Vucevic misses 2-pt shot from 14 ft
4:50.0,Defensive rebound by J. Crowder,,72-67,,
4:42.0,M. Smart misses 3-pt shot from 25 ft,,72-67,,
4:41.0,,,72-67,,Defensive rebound by N. Vucevic
4:26.0,,,72-70,3,V. Oladipo makes 3-pt shot from 24 ft (assist by M. Hezonja)
4:05.0,J. Crowder misses 3-pt shot from 24 ft,,72-70,,
4:04.0,,,72-70,,Defensive rebound by M. Hezonja
3:49.0,,,72-72,2,V. Oladipo makes 2-pt shot from 1 ft
3:30.0,Shooting foul by N. Vucevic (drawn by I. Thomas),,72-72,,
3:30.0,I. Thomas makes free throw 1 of 2,1,73-72,,
3:30.0,K. Olynyk enters the game for J. Crowder,,73-72,,
3:30.0,I. Thomas misses free throw 2 of 2,,73-72,,
3:28.0,,,73-72,,Defensive rebound by N. Vucevic
3:17.0,Personal foul by M. Smart (drawn by V. Oladipo),,73-72,,
3:07.0,,,73-72,,N. Vucevic misses 2-pt shot from 2 ft
3:06.0,,,73-72,,Offensive rebound by N. Vucevic
3:06.0,,,73-74,2,N. Vucevic makes 2-pt shot from 2 ft
2:50.0,,,73-74,,Shooting block foul by A. Gordon (drawn by I. Thomas)
2:50.0,I. Thomas makes free throw 1 of 2,1,74-74,,
2:50.0,I. Thomas makes free throw 2 of 2,1,75-74,,
2:31.0,,,75-74,,T. Harris misses 2-pt shot from 8 ft
2:30.0,,,75-74,,Offensive rebound by N. Vucevic
2:30.0,,,75-74,,N. Vucevic misses 2-pt shot from 1 ft
2:28.0,Defensive rebound by M. Smart,,75-74,,
2:19.0,M. Smart misses 2-pt shot from 9 ft,,75-74,,
2:18.0,,,75-74,,Defensive rebound by A. Gordon
2:13.0,Personal foul by A. Johnson (drawn by N. Vucevic),,75-74,,
2:13.0,,,75-74,,N. Vucevic misses free throw 1 of 2
2:13.0,,,75-74,,Offensive rebound by Team
2:13.0,,,75-74,,E. Fournier enters the game for V. Oladipo
2:13.0,,,75-74,,J. Smith enters the game for A. Gordon
2:13.0,J. Jerebko enters the game for A. Johnson,,75-74,,
2:13.0,,,75-74,,N. Vucevic misses free throw 2 of 2
2:12.0,Defensive rebound by J. Jerebko,,75-74,,
1:56.0,I. Thomas misses 2-pt shot from 6 ft,,75-74,,
1:55.0,Offensive rebound by Team,,75-74,,
1:55.0,,,75-74,,Loose ball foul by M. Hezonja (drawn by M. Smart)
1:55.0,M. Smart makes free throw 1 of 2,1,76-74,,
1:55.0,M. Smart makes free throw 2 of 2,1,77-74,,
1:44.0,,,77-74,,N. Vucevic misses 2-pt shot from 8 ft
1:42.0,Defensive rebound by J. Jerebko,,77-74,,
1:34.0,Turnover by I. Thomas (lost ball; steal by T. Harris),,77-74,,
1:25.0,,,77-76,2,T. Harris makes 2-pt shot at rim (assist by J. Smith)
0:55.0,Turnover by Team (shot clock),,77-76,,
0:40.0,,,77-79,3,E. Fournier makes 3-pt shot from 25 ft (assist by J. Smith)
0:28.0,Shooting foul by M. Hezonja (drawn by M. Smart),,77-79,,
0:28.0,M. Smart makes free throw 1 of 2,1,78-79,,
0:28.0,A. Bradley enters the game for I. Thomas,,78-79,,
0:28.0,M. Smart makes free throw 2 of 2,1,79-79,,
0:18.0,,,79-79,,Turnover by E. Fournier (bad pass; steal by M. Smart)
0:14.0,M. Smart makes 2-pt shot from 2 ft,2,81-79,,
0:05.0,,,81-81,2,N. Vucevic makes 2-pt shot from 8 ft
0:00.0,M. Smart misses 3-pt shot from 36 ft,,81-81,,
0:00.0,Offensive rebound by Team,,81-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,A. Bradley makes 3-pt shot from 24 ft (assist by K. Olynyk),3,84-81,,
11:18.0,,,84-83,2,M. Hezonja makes 2-pt shot from 22 ft
11:03.0,A. Bradley misses 3-pt shot from 25 ft,,84-83,,
11:02.0,,,84-83,,Defensive rebound by N. Vucevic
10:48.0,,,84-83,,E. Fournier misses 2-pt shot from 11 ft (block by E. Turner)
10:46.0,Defensive rebound by J. Jerebko,,84-83,,
10:34.0,J. Jerebko makes 3-pt shot from 24 ft (assist by A. Bradley),3,87-83,,
10:20.0,,,87-85,2,E. Fournier makes 2-pt shot from 3 ft
10:20.0,,,87-85,,Shooting foul by J. Jerebko (drawn by E. Fournier)
10:20.0,,,87-86,1,E. Fournier makes free throw 1 of 1
10:04.0,J. Jerebko misses 3-pt shot from 23 ft,,87-86,,
10:03.0,,,87-86,,Defensive rebound by E. Fournier
9:48.0,,,87-86,,E. Fournier misses 3-pt shot from 25 ft
9:46.0,Defensive rebound by E. Turner,,87-86,,
9:42.0,K. Olynyk makes 2-pt shot from 1 ft (assist by E. Turner),2,89-86,,
9:31.0,,,89-86,,Offensive charge foul by T. Harris
9:31.0,,,89-86,,Turnover by T. Harris (offensive foul)
9:31.0,,,89-86,,A. Gordon enters the game for N. Vucevic
9:15.0,Shooting foul by A. Gordon (drawn by K. Olynyk),,89-86,,
9:15.0,K. Olynyk misses free throw 1 of 2,,89-86,,
9:15.0,Offensive rebound by Team,,89-86,,
9:15.0,K. Olynyk makes free throw 2 of 2,1,90-86,,
8:56.0,,,90-88,2,J. Smith makes 2-pt shot from 18 ft
8:43.0,M. Smart makes 2-pt shot from 8 ft,2,92-88,,
8:15.0,,,92-88,,A. Gordon misses 3-pt shot from 24 ft
8:13.0,,,92-88,,Offensive rebound by J. Smith
8:13.0,,,92-88,,J. Smith misses 2-pt shot from 1 ft
8:11.0,Defensive rebound by K. Olynyk,,92-88,,
8:04.0,K. Olynyk misses 3-pt shot from 25 ft,,92-88,,
8:03.0,,,92-88,,Defensive rebound by A. Gordon
7:44.0,,,92-88,,J. Smith misses 2-pt shot from 20 ft
7:42.0,Defensive rebound by M. Smart,,92-88,,
7:26.0,Turnover by E. Turner (bad pass; steal by E. Fournier),,92-88,,
7:21.0,,,92-90,2,J. Smith makes 2-pt shot from 1 ft (assist by A. Gordon)
7:06.0,K. Olynyk misses 3-pt shot from 24 ft,,92-90,,
7:05.0,Offensive rebound by A. Bradley,,92-90,,
6:55.0,A. Bradley makes 3-pt shot from 25 ft (assist by J. Jerebko),3,95-90,,
6:36.0,,,95-90,,Shooting foul by J. Jerebko (drawn by T. Harris)
6:36.0,,,95-92,2,T. Harris makes 2-pt shot from 7 ft
6:36.0,Official timeout,,95-92,,
6:36.0,,,95-93,1,T. Harris makes free throw 1 of 1
6:15.0,A. Bradley misses 3-pt shot from 25 ft,,95-93,,
6:14.0,,,95-93,,Defensive rebound by A. Gordon
5:49.0,,,95-93,,M. Hezonja misses 3-pt shot from 25 ft
5:48.0,,,95-93,,Offensive rebound by A. Gordon
5:37.0,Personal foul by J. Jerebko (drawn by T. Harris),,95-93,,
5:37.0,,,95-93,,Orlando full timeout
5:37.0,I. Thomas enters the game for E. Turner,,95-93,,
5:37.0,J. Crowder enters the game for J. Jerebko,,95-93,,
5:37.0,,,95-93,,N. Vucevic enters the game for J. Smith
5:27.0,,,95-96,3,E. Fournier makes 3-pt shot from 25 ft (assist by N. Vucevic)
5:12.0,J. Crowder misses 3-pt shot from 23 ft,,95-96,,
5:10.0,Offensive rebound by M. Smart,,95-96,,
5:05.0,I. Thomas misses 2-pt shot from 2 ft,,95-96,,
5:04.0,,,95-96,,Defensive rebound by N. Vucevic
4:46.0,,,95-99,3,M. Hezonja makes 3-pt shot from 24 ft (assist by N. Vucevic)
4:46.0,Boston full timeout,,95-99,,
4:46.0,A. Johnson enters the game for M. Smart,,95-99,,
4:31.0,A. Bradley makes 2-pt shot from 18 ft,2,97-99,,
4:11.0,,,97-99,,N. Vucevic misses 2-pt shot from 8 ft
4:11.0,Defensive rebound by Team,,97-99,,
4:11.0,,,97-99,,Loose ball foul by A. Gordon (drawn by K. Olynyk)
3:48.0,I. Thomas misses 2-pt shot from 15 ft,,97-99,,
3:47.0,,,97-99,,Defensive rebound by T. Harris
3:27.0,,,97-102,3,E. Fournier makes 3-pt shot from 25 ft (assist by N. Vucevic)
3:12.0,A. Bradley misses 2-pt shot from 18 ft,,97-102,,
3:10.0,,,97-102,,Defensive rebound by A. Gordon
2:55.0,,,97-104,2,N. Vucevic makes 2-pt shot from 14 ft (assist by A. Gordon)
2:42.0,J. Crowder misses 3-pt shot from 24 ft,,97-104,,
2:41.0,,,97-104,,Defensive rebound by A. Gordon
2:37.0,M. Smart enters the game for K. Olynyk,,97-104,,
2:37.0,E. Turner enters the game for J. Crowder,,97-104,,
2:34.0,,,97-104,,Shooting foul by I. Thomas (drawn by E. Fournier)
2:34.0,,,97-105,1,E. Fournier makes free throw 1 of 3
2:34.0,,,97-106,1,E. Fournier makes free throw 2 of 3
2:34.0,,,97-106,,V. Oladipo enters the game for M. Hezonja
2:34.0,,,97-106,,E. Fournier misses free throw 3 of 3
2:32.0,Defensive rebound by M. Smart,,97-106,,
2:26.0,,,97-106,,Personal foul by E. Fournier (drawn by I. Thomas)
2:17.0,Turnover by E. Turner (bad pass; steal by T. Harris),,97-106,,
2:01.0,,,97-106,,Turnover by V. Oladipo (bad pass; steal by I. Thomas)
