time,LA Clippers,pts.away,score,pts.home,Oklahoma City
2:10.0,,,26-30,1,R. Westbrook makes free throw 2 of 2
2:02.0,,,26-30,,Personal take foul by A. Morrow
2:02.0,D. Jordan misses free throw 1 of 2,,26-30,,
2:02.0,Offensive rebound by Team,,26-30,,
2:02.0,,,26-30,,K. Durant enters the game for R. Westbrook
2:02.0,D. Jordan makes free throw 2 of 2,1,27-30,,
1:43.0,,,27-33,3,R. Foye makes 3-pt shot from 26 ft (assist by A. Morrow)
1:29.0,C. Paul makes 2-pt shot from 4 ft,2,29-33,,
1:10.0,,,29-35,2,E. Kanter makes 2-pt shot from 16 ft (assist by K. Singler)
1:00.0,,,29-35,,Personal take foul by R. Foye
1:00.0,D. Jordan misses free throw 1 of 2,,29-35,,
1:00.0,Offensive rebound by Team,,29-35,,
1:00.0,P. Prigioni enters the game for A. Rivers,,29-35,,
1:00.0,D. Jordan misses free throw 2 of 2,,29-35,,
1:00.0,,,29-35,,Defensive rebound by K. Durant
0:51.0,C. Aldrich enters the game for D. Jordan,,29-35,,
0:42.0,,,29-37,2,E. Kanter makes 2-pt shot at rim (assist by K. Durant)
0:39.0,Offensive foul by C. Aldrich,,29-37,,
0:39.0,Turnover by C. Aldrich (offensive foul),,29-37,,
0:30.0,,,29-39,2,E. Kanter makes 2-pt shot from 1 ft
0:06.0,W. Johnson misses 2-pt shot from 21 ft,,29-39,,
0:05.0,,,29-39,,Defensive rebound by E. Kanter
0:00.0,,,29-39,,A. Morrow misses 3-pt shot from 25 ft
0:00.0,,,29-39,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,J. Crawford misses 3-pt shot from 24 ft,,29-39,,
11:44.0,,,29-39,,Defensive rebound by R. Foye
11:32.0,,,29-39,,A. Morrow misses 3-pt shot from 23 ft
11:32.0,Defensive rebound by J. Crawford,,29-39,,
11:24.0,C. Aldrich makes 2-pt shot from 3 ft (assist by P. Prigioni),2,31-39,,
11:03.0,,,31-39,,K. Singler misses 2-pt shot from 12 ft
11:02.0,,,31-39,,Offensive rebound by E. Kanter
11:01.0,,,31-41,2,E. Kanter makes 2-pt shot from 1 ft
10:43.0,J. Crawford makes 2-pt shot from 10 ft,2,33-41,,
10:27.0,,,33-43,2,K. Singler makes 2-pt shot from 1 ft (assist by K. Durant)
10:03.0,W. Johnson misses 3-pt shot from 24 ft,,33-43,,
10:02.0,,,33-43,,Defensive rebound by K. Durant
9:57.0,,,33-43,,Turnover by K. Durant (lost ball; steal by P. Prigioni)
9:51.0,J. Crawford misses 2-pt shot from 12 ft,,33-43,,
9:50.0,,,33-43,,Defensive rebound by K. Durant
9:37.0,,,33-43,,A. Morrow misses 3-pt shot from 23 ft
9:37.0,Defensive rebound by C. Aldrich,,33-43,,
9:22.0,Shooting foul by K. Singler (drawn by J. Crawford),,33-43,,
9:22.0,J. Crawford makes free throw 1 of 2,1,34-43,,
9:22.0,,,34-43,,A. Roberson enters the game for A. Morrow
9:22.0,,,34-43,,R. Westbrook enters the game for K. Durant
9:22.0,J. Crawford makes free throw 2 of 2,1,35-43,,
9:08.0,,,35-43,,S. Ibaka enters the game for K. Singler
9:06.0,,,35-45,2,E. Kanter makes 2-pt shot from 13 ft (assist by R. Westbrook)
8:51.0,Turnover by A. Rivers (lost ball; steal by E. Kanter),,35-45,,
8:45.0,,,35-45,,Shooting foul by C. Aldrich (drawn by S. Ibaka)
8:45.0,Official timeout,,35-45,,
8:45.0,,,35-45,,C. Payne enters the game for R. Foye
8:45.0,P. Pierce enters the game for W. Johnson,,35-45,,
8:45.0,,,35-46,1,S. Ibaka makes free throw 1 of 2
8:45.0,,,35-47,1,S. Ibaka makes free throw 2 of 2
8:29.0,J. Crawford makes 3-pt shot from 22 ft,3,38-47,,
8:07.0,,,38-47,,Turnover by S. Ibaka (traveling)
8:07.0,C. Paul enters the game for P. Prigioni,,38-47,,
8:07.0,J. Redick enters the game for A. Rivers,,38-47,,
7:56.0,J. Redick makes 3-pt shot from 25 ft (assist by J. Crawford),3,41-47,,
7:42.0,,,41-49,2,S. Ibaka makes 2-pt shot from 19 ft (assist by R. Westbrook)
7:22.0,C. Aldrich makes 2-pt shot from 1 ft,2,43-49,,
7:10.0,,,43-51,2,R. Westbrook makes 2-pt shot from 12 ft
6:49.0,J. Crawford makes 2-pt shot from 2 ft,2,45-51,,
6:37.0,,,45-51,,Turnover by R. Westbrook (lost ball; steal by C. Paul)
6:26.0,P. Pierce misses 3-pt shot from 24 ft,,45-51,,
6:25.0,,,45-51,,Defensive rebound by S. Ibaka
6:13.0,,,45-51,,R. Westbrook misses 2-pt shot from 9 ft
6:13.0,Defensive rebound by C. Paul,,45-51,,
6:10.0,Turnover by C. Paul (lost ball; steal by A. Roberson),,45-51,,
6:09.0,,,45-51,,Turnover by C. Payne (lost ball)
6:09.0,,,45-51,,Oklahoma City full timeout
6:09.0,J. Green enters the game for J. Crawford,,45-51,,
6:09.0,D. Jordan enters the game for C. Aldrich,,45-51,,
6:09.0,,,45-51,,K. Durant enters the game for E. Kanter
6:09.0,,,45-51,,S. Adams enters the game for C. Payne
6:00.0,Turnover by J. Redick (traveling),,45-51,,
5:49.0,,,45-51,,K. Durant misses 2-pt shot from 17 ft
5:49.0,Defensive rebound by D. Jordan,,45-51,,
5:39.0,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul),2,47-51,,
5:29.0,,,47-53,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
5:13.0,J. Redick misses 2-pt shot from 22 ft,,47-53,,
5:13.0,,,47-53,,Defensive rebound by K. Durant
4:59.0,,,47-53,,K. Durant misses 3-pt shot from 23 ft
4:58.0,Defensive rebound by D. Jordan,,47-53,,
4:49.0,C. Paul misses 3-pt shot from 24 ft,,47-53,,
4:48.0,,,47-53,,Defensive rebound by R. Westbrook
4:44.0,,,47-55,2,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook)
4:15.0,J. Green makes 2-pt shot at rim (assist by D. Jordan),2,49-55,,
4:02.0,,,49-55,,K. Durant misses 2-pt shot at rim
4:02.0,Defensive rebound by P. Pierce,,49-55,,
4:00.0,,,49-55,,Technical foul by Team
4:00.0,C. Paul makes technical free throw,1,50-55,,
3:49.0,C. Paul misses 2-pt shot from 18 ft,,50-55,,
3:49.0,,,50-55,,Defensive rebound by K. Durant
3:43.0,,,50-55,,Turnover by K. Durant (lost ball; steal by J. Redick)
3:37.0,Shooting foul by S. Adams (drawn by J. Redick),,50-55,,
3:37.0,J. Redick makes free throw 1 of 2,1,51-55,,
3:37.0,J. Redick makes free throw 2 of 2,1,52-55,,
3:22.0,,,52-55,,Turnover by K. Durant (lost ball; steal by J. Green)
3:15.0,P. Pierce misses 3-pt shot from 22 ft,,52-55,,
3:15.0,,,52-55,,Defensive rebound by R. Westbrook
3:02.0,,,52-57,2,R. Westbrook makes 2-pt shot from 12 ft
2:40.0,J. Redick misses 2-pt shot from 19 ft,,52-57,,
2:40.0,,,52-57,,Defensive rebound by S. Adams
2:28.0,,,52-57,,A. Roberson misses 3-pt shot from 23 ft
2:28.0,,,52-57,,Offensive rebound by Team
2:28.0,LA Clippers full timeout,,52-57,,
2:17.0,,,52-57,,R. Westbrook misses 3-pt shot from 22 ft
2:16.0,Defensive rebound by J. Green,,52-57,,
2:09.0,,,52-57,,Personal foul by A. Roberson
2:09.0,,,52-57,,R. Foye enters the game for A. Roberson
1:58.0,J. Green makes 2-pt shot from 1 ft (assist by C. Paul),2,54-57,,
1:54.0,,,54-59,2,R. Westbrook makes 2-pt shot at rim
1:54.0,,,54-59,,Shooting foul by P. Pierce (drawn by R. Westbrook)
1:54.0,,,54-60,1,R. Westbrook makes free throw 1 of 1
1:40.0,J. Green makes 2-pt shot from 11 ft (assist by C. Paul),2,56-60,,
1:23.0,,,56-60,,K. Durant misses 2-pt shot at rim (block by D. Jordan)
1:22.0,Defensive rebound by D. Jordan,,56-60,,
1:16.0,J. Green makes 2-pt shot from 1 ft,2,58-60,,
1:01.0,,,58-60,,R. Westbrook misses 2-pt shot from 1 ft (block by J. Green)
1:01.0,,,58-60,,Offensive rebound by Team
0:59.0,,,58-60,,Turnover by K. Durant (lost ball; steal by C. Paul)
0:55.0,C. Paul makes 2-pt shot from 4 ft,2,60-60,,
0:45.0,Personal foul by C. Paul,,60-60,,
0:45.0,LA Clippers full timeout,,60-60,,
0:45.0,,,60-61,1,R. Westbrook makes free throw 1 of 2
0:45.0,,,60-61,,K. Singler enters the game for S. Ibaka
0:45.0,J. Crawford enters the game for P. Pierce,,60-61,,
0:45.0,,,60-62,1,R. Westbrook makes free throw 2 of 2
0:33.0,C. Paul makes 2-pt shot from 15 ft (assist by D. Jordan),2,62-62,,
0:27.0,,,62-64,2,R. Westbrook makes 2-pt shot from 1 ft
0:02.0,J. Green misses 3-pt shot from 28 ft,,62-64,,
0:01.0,,,62-64,,Defensive rebound by K. Singler
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,P. Pierce misses 2-pt shot from 20 ft,,62-64,,
11:37.0,,,62-64,,Defensive rebound by R. Westbrook
11:21.0,Personal foul by J. Green,,62-64,,
11:11.0,,,62-66,2,K. Durant makes 2-pt shot from 14 ft (assist by R. Westbrook)
10:46.0,J. Green makes 3-pt shot from 23 ft (assist by J. Redick),3,65-66,,
10:27.0,,,65-68,2,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook)
9:58.0,J. Green makes 3-pt shot from 22 ft (assist by P. Pierce),3,68-68,,
9:30.0,,,68-68,,S. Ibaka misses 2-pt shot from 17 ft
9:29.0,,,68-68,,Offensive rebound by S. Ibaka
9:23.0,,,68-71,3,K. Durant makes 3-pt shot from 24 ft (assist by S. Ibaka)
9:11.0,D. Jordan makes 2-pt shot at rim (assist by J. Redick),2,70-71,,
9:02.0,,,70-71,,S. Adams misses 2-pt shot from 6 ft
9:02.0,Defensive rebound by D. Jordan,,70-71,,
8:53.0,J. Redick misses 3-pt shot from 24 ft,,70-71,,
8:52.0,,,70-71,,Defensive rebound by K. Durant
8:30.0,,,70-73,2,K. Durant makes 2-pt shot from 2 ft
8:27.0,,,70-73,,Personal foul by K. Durant
8:15.0,C. Paul makes 3-pt shot from 25 ft,3,73-73,,
8:14.0,,,73-73,,Oklahoma City full timeout
8:00.0,,,73-75,2,S. Adams makes 2-pt shot at rim (assist by K. Durant)
7:39.0,J. Redick makes 2-pt shot from 4 ft (assist by C. Paul),2,75-75,,
7:31.0,Personal foul by C. Paul,,75-75,,
7:24.0,,,75-75,,K. Durant misses 3-pt shot from 24 ft
7:24.0,Defensive rebound by Team,,75-75,,
7:24.0,,,75-75,,Loose ball foul by S. Ibaka
7:11.0,J. Redick misses 3-pt shot from 25 ft,,75-75,,
7:11.0,,,75-75,,Defensive rebound by S. Ibaka
6:57.0,,,75-75,,R. Westbrook misses 3-pt shot from 22 ft
6:56.0,Defensive rebound by P. Pierce,,75-75,,
6:44.0,Turnover by C. Paul (lost ball; steal by K. Durant),,75-75,,
6:42.0,Personal take foul by P. Pierce,,75-75,,
6:42.0,W. Johnson enters the game for P. Pierce,,75-75,,
6:38.0,,,75-75,,K. Durant misses 2-pt shot from 3 ft
6:37.0,,,75-75,,Offensive rebound by K. Durant
6:30.0,,,75-77,2,S. Ibaka makes 2-pt shot from 15 ft (assist by K. Durant)
6:10.0,J. Redick misses 2-pt shot from 17 ft,,75-77,,
6:09.0,,,75-77,,Defensive rebound by K. Durant
6:03.0,,,75-77,,K. Durant misses 2-pt shot from 5 ft
6:02.0,Defensive rebound by C. Paul,,75-77,,
5:53.0,C. Paul misses 3-pt shot from 23 ft,,75-77,,
5:53.0,,,75-77,,Defensive rebound by S. Ibaka
5:45.0,,,75-79,2,R. Westbrook makes 2-pt shot from 14 ft
5:23.0,C. Paul misses 2-pt shot from 16 ft,,75-79,,
5:22.0,,,75-79,,Defensive rebound by K. Durant
5:12.0,,,75-79,,Offensive charge foul by K. Durant
5:12.0,,,75-79,,Turnover by K. Durant (offensive foul)
5:12.0,J. Crawford enters the game for J. Green,,75-79,,
5:12.0,,,75-79,,R. Foye enters the game for K. Durant
5:12.0,,,75-79,,K. Singler enters the game for A. Roberson
4:57.0,J. Redick misses 3-pt shot from 24 ft,,75-79,,
4:57.0,,,75-79,,Defensive rebound by R. Foye
4:44.0,,,75-81,2,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook)
4:26.0,J. Crawford misses 3-pt shot from 24 ft (block by R. Foye),,75-81,,
4:25.0,,,75-81,,Defensive rebound by R. Westbrook
4:21.0,,,75-83,2,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook)
4:21.0,LA Clippers full timeout,,75-83,,
4:21.0,A. Rivers enters the game for J. Redick,,75-83,,
4:10.0,W. Johnson misses 2-pt shot from 13 ft,,75-83,,
4:09.0,,,75-83,,Defensive rebound by R. Westbrook
4:03.0,,,75-85,2,R. Westbrook makes 2-pt shot at rim
3:46.0,W. Johnson misses 3-pt shot from 25 ft,,75-85,,
3:46.0,,,75-85,,Defensive rebound by R. Westbrook
3:29.0,,,75-85,,S. Ibaka misses 2-pt shot from 6 ft
3:27.0,,,75-85,,Offensive rebound by S. Adams
3:23.0,,,75-85,,S. Adams misses 2-pt shot from 4 ft
3:23.0,Defensive rebound by W. Johnson,,75-85,,
3:04.0,W. Johnson makes 2-pt shot from 11 ft (assist by C. Paul),2,77-85,,
2:44.0,,,77-87,2,R. Westbrook makes 2-pt shot from 14 ft
2:21.0,Shooting foul by S. Ibaka (drawn by D. Jordan),,77-87,,
2:21.0,Violation by Team (delay of game),,77-87,,
2:21.0,D. Jordan makes free throw 1 of 2,1,78-87,,
2:21.0,,,78-87,,E. Kanter enters the game for S. Ibaka
2:21.0,,,78-87,,A. Morrow enters the game for S. Adams
2:21.0,,,78-87,,K. Durant enters the game for R. Westbrook
2:21.0,D. Jordan makes free throw 2 of 2,1,79-87,,
2:03.0,,,79-87,,K. Durant misses 3-pt shot from 24 ft
2:02.0,,,79-87,,Offensive rebound by Team
2:02.0,C. Aldrich enters the game for D. Jordan,,79-87,,
1:53.0,,,79-87,,E. Kanter misses 2-pt shot from 12 ft
1:52.0,Defensive rebound by A. Rivers,,79-87,,
1:44.0,C. Aldrich makes 2-pt shot at rim (assist by C. Paul),2,81-87,,
1:27.0,,,81-90,3,K. Durant makes 3-pt shot from 24 ft (assist by R. Foye)
1:13.0,C. Aldrich makes 2-pt shot from 4 ft (assist by C. Paul),2,83-90,,
0:55.0,,,83-90,,E. Kanter misses 2-pt shot from 2 ft (block by C. Paul)
0:54.0,Defensive rebound by J. Crawford,,83-90,,
0:48.0,A. Rivers misses 3-pt shot from 24 ft,,83-90,,
0:48.0,,,83-90,,Defensive rebound by E. Kanter
0:37.0,,,83-92,2,K. Singler makes 2-pt shot from 1 ft (assist by K. Durant)
0:37.0,,,83-92,,Shooting foul by A. Rivers (drawn by K. Singler)
0:37.0,,,83-92,,K. Singler misses free throw 1 of 1
0:36.0,,,83-92,,Offensive rebound by E. Kanter
0:36.0,,,83-92,,E. Kanter misses 2-pt shot from 1 ft
0:35.0,Defensive rebound by C. Aldrich,,83-92,,
0:29.0,J. Crawford misses 2-pt shot from 15 ft,,83-92,,
0:29.0,,,83-92,,Defensive rebound by K. Singler
0:08.0,Personal foul by W. Johnson,,83-92,,
0:08.0,,,83-92,,K. Durant misses free throw 1 of 2
0:08.0,,,83-92,,Offensive rebound by Team
0:08.0,J. Redick enters the game for C. Aldrich,,83-92,,
0:08.0,,,83-93,1,K. Durant makes free throw 2 of 2
0:02.0,C. Paul misses 3-pt shot from 25 ft,,83-93,,
0:00.0,,,83-93,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,,,83-93,,K. Singler misses 2-pt shot from 6 ft
11:34.0,Defensive rebound by C. Aldrich,,83-93,,
11:18.0,W. Johnson misses 3-pt shot from 22 ft,,83-93,,
11:16.0,Offensive rebound by P. Prigioni,,83-93,,
11:11.0,Turnover by P. Prigioni (lost ball; steal by E. Kanter),,83-93,,
11:05.0,Violation by C. Aldrich (kicked ball),,83-93,,
10:53.0,,,83-93,,Shooting foul by W. Johnson (drawn by A. Morrow)
10:53.0,,,83-94,1,A. Morrow makes free throw 1 of 2
10:53.0,,,83-95,1,A. Morrow makes free throw 2 of 2
10:39.0,J. Crawford makes 2-pt shot from 18 ft (assist by P. Prigioni),2,85-95,,
10:20.0,,,85-98,3,K. Durant makes 3-pt shot from 25 ft (assist by R. Foye)
9:59.0,P. Prigioni misses 3-pt shot from 25 ft,,85-98,,
9:58.0,,,85-98,,Defensive rebound by R. Foye
9:38.0,,,85-98,,R. Foye misses 3-pt shot from 23 ft
9:38.0,Defensive rebound by C. Aldrich,,85-98,,
9:20.0,P. Prigioni misses 3-pt shot from 25 ft,,85-98,,
9:20.0,,,85-98,,Defensive rebound by A. Morrow
9:00.0,,,85-100,2,E. Kanter makes 2-pt shot from 1 ft (assist by R. Foye)
9:00.0,LA Clippers full timeout,,85-100,,
9:00.0,,,85-100,,R. Westbrook enters the game for K. Durant
8:50.0,A. Rivers misses 3-pt shot from 24 ft,,85-100,,
8:49.0,,,85-100,,Defensive rebound by K. Singler
8:27.0,,,85-100,,A. Morrow misses 3-pt shot from 22 ft
8:26.0,,,85-100,,Offensive rebound by K. Singler
8:20.0,,,85-103,3,A. Morrow makes 3-pt shot from 23 ft (assist by R. Westbrook)
8:09.0,C. Aldrich makes 2-pt shot from 1 ft (assist by P. Prigioni),2,87-103,,
7:56.0,,,87-103,,Turnover by R. Westbrook (bad pass)
7:56.0,D. Jordan enters the game for C. Aldrich,,87-103,,
7:56.0,J. Redick enters the game for P. Prigioni,,87-103,,
7:44.0,Shooting foul by K. Singler (drawn by J. Redick),,87-103,,
7:44.0,J. Redick makes free throw 1 of 2,1,88-103,,
7:44.0,C. Paul enters the game for W. Johnson,,88-103,,
7:44.0,J. Redick misses free throw 2 of 2,,88-103,,
7:43.0,,,88-103,,Defensive rebound by E. Kanter
7:33.0,,,88-105,2,R. Westbrook makes 2-pt shot from 1 ft
7:15.0,C. Paul misses 2-pt shot from 1 ft,,88-105,,
7:15.0,,,88-105,,Defensive rebound by E. Kanter
7:09.0,,,88-107,2,K. Singler makes 2-pt shot at rim (assist by R. Westbrook)
6:53.0,D. Jordan makes 2-pt shot at rim (assist by J. Redick),2,90-107,,
6:53.0,Shooting foul by K. Singler (drawn by D. Jordan),,90-107,,
6:53.0,J. Green enters the game for A. Rivers,,90-107,,
6:53.0,,,90-107,,K. Durant enters the game for A. Morrow
6:53.0,,,90-107,,S. Ibaka enters the game for K. Singler
6:53.0,D. Jordan misses free throw 1 of 1,,90-107,,
6:52.0,,,90-107,,Defensive rebound by R. Westbrook
6:36.0,,,90-109,2,E. Kanter makes 2-pt shot from 15 ft (assist by K. Durant)
6:16.0,C. Paul misses 2-pt shot from 1 ft (block by R. Westbrook),,90-109,,
6:15.0,,,90-109,,Defensive rebound by E. Kanter
6:09.0,,,90-109,,R. Foye misses 3-pt shot from 22 ft
6:09.0,Defensive rebound by C. Paul,,90-109,,
5:57.0,,,90-109,,Personal foul by K. Durant
5:57.0,Official timeout,,90-109,,
5:53.0,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul),3,93-109,,
5:32.0,,,93-109,,Turnover by R. Westbrook (lost ball; steal by J. Redick)
5:25.0,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul),3,96-109,,
5:24.0,,,96-109,,Oklahoma City full timeout
5:24.0,,,96-109,,S. Adams enters the game for E. Kanter
5:11.0,,,96-111,2,K. Durant makes 2-pt shot at rim
4:50.0,J. Redick makes 3-pt shot from 23 ft (assist by C. Paul),3,99-111,,
4:27.0,Personal foul by J. Green,,99-111,,
4:27.0,,,99-111,,A. Roberson enters the game for R. Foye
4:17.0,,,99-114,3,K. Durant makes 3-pt shot from 24 ft
3:59.0,,,99-114,,Personal take foul by S. Adams
3:52.0,J. Crawford misses 2-pt shot from 6 ft,,99-114,,
3:51.0,Offensive rebound by J. Crawford,,99-114,,
3:50.0,J. Crawford misses 2-pt shot from 1 ft,,99-114,,
3:49.0,,,99-114,,Defensive rebound by K. Durant
3:32.0,,,99-114,,Turnover by R. Westbrook (lost ball; steal by C. Paul)
3:32.0,,,99-114,,Personal foul by R. Westbrook
3:32.0,J. Redick makes free throw 1 of 2,1,100-114,,
3:32.0,J. Redick makes free throw 2 of 2,1,101-114,,
3:16.0,,,101-116,2,A. Roberson makes 2-pt shot from 1 ft (assist by K. Durant)
2:52.0,C. Paul misses 3-pt shot from 25 ft,,101-116,,
2:52.0,,,101-116,,Defensive rebound by R. Westbrook
2:34.0,,,101-116,,Turnover by K. Durant (lost ball; steal by J. Crawford)
