time,Philadelphia,pts.away,score,pts.home,Phoenix
5:45.0,,,11-8,2,E. Bledsoe makes 2-pt shot from 1 ft (assist by B. Knight)
5:34.0,,,11-8,,Personal foul by A. Len (drawn by N. Noel)
5:34.0,,,11-8,,R. Price enters the game for B. Knight
5:34.0,C. Landry enters the game for R. Covington,,11-8,,
5:34.0,H. Thompson enters the game for J. Grant,,11-8,,
5:22.0,C. Landry makes 2-pt shot from 17 ft (assist by H. Thompson),2,13-8,,
5:06.0,,,13-8,,Turnover by E. Bledsoe (bad pass; steal by I. Canaan)
4:59.0,I. Canaan misses 3-pt shot from 26 ft,,13-8,,
4:57.0,,,13-8,,Defensive rebound by E. Bledsoe
4:54.0,,,13-8,,E. Bledsoe misses 2-pt shot from 16 ft
4:50.0,Defensive rebound by H. Thompson,,13-8,,
4:47.0,Shooting foul by E. Bledsoe (drawn by I. Canaan),,13-8,,
4:47.0,I. Canaan makes free throw 1 of 2,1,14-8,,
4:47.0,,,14-8,,B. Knight enters the game for E. Bledsoe
4:47.0,K. Marshall enters the game for I. Smith,,14-8,,
4:47.0,,,14-8,,M. Teletovic enters the game for J. Leuer
4:47.0,I. Canaan makes free throw 2 of 2,1,15-8,,
4:35.0,,,15-8,,B. Knight misses 2-pt shot from 7 ft
4:32.0,Defensive rebound by H. Thompson,,15-8,,
4:25.0,I. Canaan makes 2-pt shot at rim,2,17-8,,
4:11.0,J. Grant enters the game for N. Noel,,17-8,,
4:11.0,J. Sampson enters the game for I. Canaan,,17-8,,
4:11.0,,,17-8,,T. Chandler enters the game for A. Len
4:11.0,Inbound foul by J. Grant,,17-8,,
4:11.0,,,17-8,,M. Teletovic misses free throw 1 of 2
4:11.0,,,17-8,,Offensive rebound by Team
4:11.0,,,17-8,,M. Teletovic misses free throw 2 of 2
4:11.0,Defensive rebound by J. Grant,,17-8,,
3:58.0,Shooting foul by R. Price (drawn by K. Marshall),,17-8,,
3:58.0,K. Marshall makes free throw 1 of 2,1,18-8,,
3:58.0,K. Marshall makes free throw 2 of 2,1,19-8,,
3:43.0,Personal foul by J. Sampson (drawn by M. Teletovic),,19-8,,
3:37.0,,,19-8,,R. Price misses 3-pt shot from 24 ft
3:37.0,,,19-8,,Offensive rebound by Team
3:37.0,Loose ball foul by C. Landry (drawn by T. Chandler),,19-8,,
3:37.0,,,19-8,,Phoenix full timeout
3:27.0,,,19-8,,M. Teletovic misses 3-pt shot from 26 ft
3:25.0,Defensive rebound by J. Sampson,,19-8,,
3:21.0,H. Thompson makes 3-pt shot from 24 ft (assist by J. Sampson),3,22-8,,
3:03.0,,,22-8,,Shooting foul by J. Sampson (drawn by T. Chandler)
3:03.0,,,22-9,1,T. Chandler makes free throw 1 of 2
3:03.0,,,22-9,,T. Warren enters the game for P. Tucker
3:03.0,,,22-10,1,T. Chandler makes free throw 2 of 2
2:52.0,Shooting foul by M. Teletovic (drawn by J. Sampson),,22-10,,
2:52.0,J. Sampson makes free throw 1 of 2,1,23-10,,
2:52.0,J. Sampson makes free throw 2 of 2,1,24-10,,
2:45.0,,,24-10,,Turnover by B. Knight (lost ball; steal by C. Landry)
2:45.0,,,24-10,,Personal foul by B. Knight (drawn by C. Landry)
2:45.0,C. Landry makes free throw 1 of 2,1,25-10,,
2:45.0,C. Landry makes free throw 2 of 2,1,26-10,,
2:36.0,Personal block foul by J. Grant (drawn by M. Teletovic),,26-10,,
2:36.0,,,26-11,1,M. Teletovic makes free throw 1 of 2
2:36.0,R. Holmes enters the game for J. Grant,,26-11,,
2:36.0,,,26-12,1,M. Teletovic makes free throw 2 of 2
2:29.0,,,26-12,,Personal foul by T. Chandler (drawn by J. Sampson)
2:29.0,J. Sampson makes free throw 1 of 2,1,27-12,,
2:29.0,J. Sampson misses free throw 2 of 2,,27-12,,
2:28.0,,,27-12,,Defensive rebound by T. Chandler
2:18.0,,,27-12,,B. Knight misses 2-pt shot from 2 ft
2:17.0,,,27-12,,Offensive rebound by T. Chandler
2:17.0,,,27-12,,T. Chandler misses 2-pt shot from 1 ft
2:17.0,,,27-12,,Offensive rebound by T. Chandler
2:17.0,,,27-14,2,T. Chandler makes 2-pt shot from 1 ft
2:17.0,,,27-14,,Shooting foul by J. Sampson (drawn by T. Chandler)
2:17.0,,,27-15,1,T. Chandler makes free throw 1 of 1
1:55.0,C. Landry misses 2-pt shot from 13 ft,,27-15,,
1:54.0,,,27-15,,Defensive rebound by T. Chandler
1:45.0,N. Stauskas enters the game for J. Sampson,,27-15,,
1:43.0,,,27-15,,M. Teletovic misses 3-pt shot from 25 ft
1:41.0,Defensive rebound by C. Landry,,27-15,,
1:31.0,K. Marshall misses 2-pt shot from 9 ft,,27-15,,
1:29.0,,,27-15,,Defensive rebound by T. Chandler
1:23.0,,,27-15,,Turnover by M. Teletovic (step out of bounds)
1:16.0,Offensive foul by K. Marshall,,27-15,,
1:16.0,Turnover by K. Marshall (offensive foul),,27-15,,
1:06.0,,,27-15,,T. Warren misses 2-pt shot from 17 ft
1:04.0,Defensive rebound by R. Holmes,,27-15,,
0:57.0,K. Marshall misses 2-pt shot from 5 ft,,27-15,,
0:54.0,Offensive rebound by C. Landry,,27-15,,
0:54.0,C. Landry makes 2-pt shot from 2 ft,2,29-15,,
0:38.0,,,29-15,,M. Teletovic misses 2-pt shot from 8 ft (block by N. Stauskas)
0:36.0,Defensive rebound by N. Stauskas,,29-15,,
0:29.0,R. Holmes misses 2-pt shot from 14 ft,,29-15,,
0:27.0,,,29-15,,Defensive rebound by T. Chandler
0:02.0,,,29-15,,Turnover by Team (shot clock)
0:00.0,K. Marshall misses 3-pt shot from 53 ft,,29-15,,
0:00.0,Offensive rebound by Team,,29-15,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Turnover by R. Holmes (lost ball; steal by B. Knight),,29-15,,
11:45.0,,,29-17,2,B. Knight makes 2-pt shot at rim
11:27.0,R. Holmes makes 2-pt shot from 1 ft (assist by N. Stauskas),2,31-17,,
11:11.0,,,31-17,,S. Weems misses 2-pt shot from 4 ft (block by R. Holmes)
11:11.0,,,31-17,,Offensive rebound by Team
11:08.0,Personal foul by R. Holmes (drawn by J. Leuer),,31-17,,
11:01.0,,,31-20,3,S. Weems makes 3-pt shot from 22 ft (assist by M. Teletovic)
11:00.0,Philadelphia full timeout,,31-20,,
10:42.0,R. Covington misses 2-pt shot from 15 ft,,31-20,,
10:40.0,,,31-20,,Defensive rebound by M. Teletovic
10:24.0,,,31-23,3,T. Warren makes 3-pt shot from 24 ft (assist by S. Weems)
10:04.0,R. Holmes makes 2-pt shot at rim (assist by R. Covington),2,33-23,,
9:59.0,I. Smith enters the game for T. McConnell,,33-23,,
9:55.0,,,33-25,2,B. Knight makes 2-pt shot from 17 ft
9:42.0,N. Stauskas makes 2-pt shot from 1 ft,2,35-25,,
9:35.0,,,35-25,,Turnover by B. Knight (lost ball)
9:22.0,I. Smith makes 2-pt shot from 11 ft,2,37-25,,
9:09.0,,,37-25,,B. Knight misses 3-pt shot from 24 ft
9:07.0,Defensive rebound by H. Thompson,,37-25,,
8:55.0,Turnover by N. Stauskas (bad pass; steal by S. Weems),,37-25,,
8:40.0,,,37-25,,Turnover by M. Teletovic (bad pass; steal by R. Covington)
8:36.0,,,37-25,,Personal foul by S. Weems (drawn by N. Stauskas)
8:36.0,,,37-25,,E. Bledsoe enters the game for M. Teletovic
8:36.0,N. Noel enters the game for H. Thompson,,37-25,,
8:36.0,I. Canaan enters the game for R. Holmes,,37-25,,
8:24.0,Jump ball: N. Noel vs. T. Warren,,,,Jump ball: N. Noel vs. T. Warren
8:24.0,Turnover by N. Noel (lost ball; steal by T. Warren),,37-25,,
8:15.0,,,37-25,,T. Warren misses 2-pt shot from 8 ft
8:13.0,Defensive rebound by N. Noel,,37-25,,
8:13.0,,,37-25,,Loose ball foul by T. Warren (drawn by N. Noel)
7:58.0,Turnover by N. Noel (lost ball; steal by B. Knight),,37-25,,
7:45.0,,,37-25,,T. Warren misses 3-pt shot from 23 ft
7:43.0,Defensive rebound by N. Noel,,37-25,,
7:40.0,,,37-25,,Personal foul by J. Leuer (drawn by I. Canaan)
7:40.0,,,37-25,,Phoenix full timeout
7:40.0,,,37-25,,D. Booker enters the game for E. Bledsoe
7:40.0,,,37-25,,P. Tucker enters the game for T. Warren
7:30.0,I. Canaan misses 3-pt shot from 23 ft,,37-25,,
7:28.0,,,37-25,,Defensive rebound by P. Tucker
7:14.0,,,37-25,,B. Knight misses 2-pt shot from 16 ft
7:12.0,Defensive rebound by N. Stauskas,,37-25,,
6:56.0,R. Covington misses 3-pt shot from 23 ft,,37-25,,
6:54.0,,,37-25,,Defensive rebound by P. Tucker
6:50.0,H. Thompson enters the game for R. Covington,,37-25,,
6:48.0,,,37-27,2,D. Booker makes 2-pt shot from 3 ft (assist by S. Weems)
6:30.0,N. Stauskas misses 3-pt shot from 23 ft,,37-27,,
6:27.0,,,37-27,,Defensive rebound by B. Knight
6:16.0,,,37-29,2,J. Leuer makes 2-pt shot from 12 ft (assist by B. Knight)
6:07.0,,,37-29,,Def 3 sec tech foul by J. Leuer
6:07.0,I. Canaan makes technical free throw,1,38-29,,
5:56.0,I. Smith misses 2-pt shot from 18 ft,,38-29,,
5:54.0,,,38-29,,Defensive rebound by J. Leuer
5:48.0,,,38-29,,S. Weems misses 2-pt shot from 2 ft (block by N. Noel)
5:46.0,Defensive rebound by I. Smith,,38-29,,
5:28.0,I. Canaan misses 2-pt shot at rim,,38-29,,
5:26.0,Offensive rebound by N. Noel,,38-29,,
5:26.0,N. Noel makes 2-pt shot at rim,2,40-29,,
5:13.0,,,40-29,,J. Leuer misses 2-pt shot from 8 ft (block by I. Smith)
5:10.0,,,40-29,,Offensive rebound by D. Booker
5:09.0,,,40-32,3,D. Booker makes 3-pt shot from 24 ft
4:59.0,Turnover by I. Canaan (bad pass),,40-32,,
4:53.0,,,40-35,3,D. Booker makes 3-pt shot from 22 ft (assist by B. Knight)
4:31.0,H. Thompson misses 3-pt shot from 22 ft,,40-35,,
4:30.0,,,40-35,,Defensive rebound by J. Leuer
4:24.0,,,40-35,,Shooting foul by N. Noel (drawn by D. Booker)
4:24.0,,,40-35,,D. Booker misses free throw 1 of 2
4:24.0,,,40-35,,Offensive rebound by Team
4:24.0,,,40-36,1,D. Booker makes free throw 2 of 2
4:15.0,I. Canaan misses 3-pt shot from 24 ft,,40-36,,
4:15.0,,,40-36,,Defensive rebound by Team
3:55.0,,,40-36,,Turnover by J. Leuer (bad pass; steal by N. Stauskas)
3:45.0,I. Canaan makes 3-pt shot from 23 ft (assist by N. Stauskas),3,43-36,,
3:20.0,,,43-36,,P. Tucker misses 2-pt shot from 7 ft
3:18.0,Defensive rebound by I. Smith,,43-36,,
3:12.0,,,43-36,,Personal foul by D. Booker (drawn by I. Canaan)
3:12.0,C. Landry enters the game for N. Stauskas,,43-36,,
3:12.0,,,43-36,,A. Len enters the game for J. Leuer
3:03.0,Shooting foul by D. Booker (drawn by N. Noel),,43-36,,
3:03.0,N. Noel misses free throw 1 of 2,,43-36,,
3:03.0,Offensive rebound by Team,,43-36,,
3:03.0,N. Noel makes free throw 2 of 2,1,44-36,,
2:51.0,,,44-36,,D. Booker misses 2-pt shot from 8 ft
2:49.0,,,44-36,,Offensive rebound by A. Len
2:48.0,,,44-38,2,A. Len makes 2-pt shot from 2 ft
2:25.0,Turnover by C. Landry (3 sec),,44-38,,
2:25.0,Official timeout,,44-38,,
2:25.0,,,44-38,,R. Price enters the game for B. Knight
2:08.0,,,44-40,2,A. Len makes 2-pt shot from 3 ft
2:00.0,,,44-40,,Technical foul by Team
2:00.0,I. Canaan makes technical free throw,1,45-40,,
1:43.0,I. Canaan makes 2-pt shot from 6 ft,2,47-40,,
1:25.0,,,47-40,,Shooting foul by I. Canaan (drawn by D. Booker)
1:25.0,,,47-41,1,D. Booker makes free throw 1 of 2
1:25.0,,,47-42,1,D. Booker makes free throw 2 of 2
1:15.0,I. Canaan misses 3-pt shot from 23 ft,,47-42,,
1:13.0,,,47-42,,Defensive rebound by A. Len
1:00.0,,,47-42,,R. Price misses 2-pt shot from 17 ft
0:58.0,Defensive rebound by I. Canaan,,47-42,,
0:53.0,Philadelphia full timeout,,47-42,,
0:38.0,I. Smith makes 3-pt shot from 24 ft,3,50-42,,
0:38.0,Shooting foul by R. Price (drawn by I. Smith),,50-42,,
0:38.0,I. Smith makes free throw 1 of 1,1,51-42,,
0:31.0,,,51-42,,D. Booker misses 2-pt shot from 15 ft
0:29.0,,,51-42,,Offensive rebound by A. Len
0:17.0,,,51-45,3,R. Price makes 3-pt shot from 24 ft
0:02.0,I. Smith misses 2-pt shot from 1 ft,,51-45,,
0:00.0,Offensive rebound by C. Landry,,51-45,,
0:00.0,C. Landry misses 2-pt shot from 19 ft,,51-45,,
0:00.0,Offensive rebound by Team,,51-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,I. Canaan makes 3-pt shot from 23 ft (assist by J. Grant),3,54-45,,
11:27.0,,,54-45,,J. Leuer misses 2-pt shot from 15 ft
11:26.0,,,54-45,,Offensive rebound by A. Len
11:20.0,,,54-47,2,B. Knight makes 2-pt shot from 16 ft
11:17.0,Turnover by N. Noel (bad pass; steal by B. Knight),,54-47,,
11:17.0,,,54-47,,Shooting foul by N. Noel (drawn by B. Knight)
11:17.0,,,54-49,2,B. Knight makes 2-pt shot at rim
11:17.0,,,54-50,1,B. Knight makes free throw 1 of 1
10:59.0,H. Thompson misses 3-pt shot from 23 ft,,54-50,,
10:57.0,,,54-50,,Defensive rebound by A. Len
10:54.0,Shooting block foul by J. Grant (drawn by P. Tucker),,54-50,,
10:54.0,,,54-51,1,P. Tucker makes free throw 1 of 2
10:54.0,C. Landry enters the game for J. Grant,,54-51,,
10:54.0,,,54-52,1,P. Tucker makes free throw 2 of 2
10:39.0,C. Landry makes 2-pt shot from 15 ft (assist by I. Smith),2,56-52,,
10:22.0,,,56-52,,P. Tucker misses 2-pt shot from 4 ft
10:20.0,,,56-52,,Offensive rebound by J. Leuer
10:20.0,,,56-54,2,J. Leuer makes 2-pt shot at rim
10:02.0,C. Landry makes 2-pt shot from 20 ft (assist by I. Canaan),2,58-54,,
9:55.0,,,58-54,,B. Knight misses 2-pt shot from 20 ft
9:54.0,Defensive rebound by I. Canaan,,58-54,,
9:35.0,Turnover by I. Smith (lost ball),,58-54,,
9:27.0,,,58-54,,Turnover by B. Knight (bad pass; steal by N. Noel)
9:16.0,I. Smith misses 2-pt shot from 4 ft (block by A. Len),,58-54,,
9:16.0,Offensive rebound by Team,,58-54,,
9:16.0,Offensive foul by C. Landry,,58-54,,
9:16.0,Turnover by C. Landry (offensive foul),,58-54,,
9:03.0,,,58-54,,D. Booker misses 2-pt shot from 5 ft (block by N. Noel)
9:03.0,,,58-54,,Offensive rebound by Team
8:59.0,,,58-56,2,D. Booker makes 2-pt shot from 1 ft (assist by A. Len)
8:59.0,,,58-56,,Shooting foul by H. Thompson (drawn by D. Booker)
8:59.0,,,58-56,,D. Booker misses free throw 1 of 1
8:57.0,Defensive rebound by C. Landry,,58-56,,
8:35.0,Turnover by Team (shot clock),,58-56,,
8:24.0,,,58-56,,Shooting foul by H. Thompson (drawn by A. Len)
8:24.0,,,58-57,1,A. Len makes free throw 1 of 2
8:24.0,,,58-58,1,A. Len makes free throw 2 of 2
8:14.0,I. Smith misses 2-pt shot from 15 ft,,58-58,,
8:13.0,,,58-58,,Defensive rebound by J. Leuer
8:00.0,,,58-60,2,B. Knight makes 2-pt shot from 21 ft
7:42.0,I. Canaan makes 3-pt shot from 25 ft,3,61-60,,
7:30.0,,,61-60,,B. Knight misses 2-pt shot from 14 ft
7:28.0,Defensive rebound by H. Thompson,,61-60,,
7:19.0,Turnover by I. Smith (bad pass; steal by P. Tucker),,61-60,,
7:19.0,Personal foul by C. Landry (drawn by B. Knight),,61-60,,
7:19.0,,,61-61,1,B. Knight makes free throw 1 of 2
7:19.0,,,61-61,,T. Chandler enters the game for J. Leuer
7:19.0,,,61-61,,M. Teletovic enters the game for A. Len
7:19.0,R. Holmes enters the game for N. Noel,,61-61,,
7:19.0,R. Covington enters the game for C. Landry,,61-61,,
7:19.0,,,61-62,1,B. Knight makes free throw 2 of 2
7:11.0,,,61-62,,Personal block foul by B. Knight (drawn by I. Smith)
6:57.0,R. Covington misses 2-pt shot from 10 ft,,61-62,,
6:56.0,,,61-62,,Defensive rebound by P. Tucker
6:49.0,,,61-64,2,T. Chandler makes 2-pt shot at rim (assist by B. Knight)
6:39.0,,,61-64,,Personal foul by T. Chandler (drawn by I. Smith)
6:39.0,C. Landry enters the game for R. Holmes,,61-64,,
6:39.0,,,61-64,,R. Price enters the game for B. Knight
6:32.0,I. Smith misses 2-pt shot from 6 ft,,61-64,,
6:31.0,,,61-64,,Defensive rebound by P. Tucker
6:25.0,,,61-64,,D. Booker misses 2-pt shot from 6 ft (block by H. Thompson)
6:25.0,Jump ball: D. Booker vs. H. Thompson (R. Covington gains possession),,,,Jump ball: D. Booker vs. H. Thompson (R. Covington gains possession)
6:25.0,Defensive rebound by Team,,61-64,,
6:13.0,R. Covington misses 3-pt shot from 25 ft,,61-64,,
6:10.0,,,61-64,,Defensive rebound by P. Tucker
6:01.0,,,61-64,,P. Tucker misses 2-pt shot from 5 ft
6:01.0,,,61-64,,Offensive rebound by Team
6:01.0,Loose ball foul by H. Thompson (drawn by T. Chandler),,61-64,,
6:01.0,,,61-65,1,T. Chandler makes free throw 1 of 2
6:01.0,J. Sampson enters the game for R. Covington,,61-65,,
6:01.0,,,61-65,,T. Chandler misses free throw 2 of 2
5:59.0,Defensive rebound by C. Landry,,61-65,,
5:49.0,H. Thompson makes 3-pt shot from 24 ft (assist by I. Canaan),3,64-65,,
5:49.0,Shooting foul by P. Tucker (drawn by H. Thompson),,64-65,,
5:49.0,,,64-65,,Phoenix full timeout
5:49.0,K. Marshall enters the game for I. Smith,,64-65,,
5:49.0,H. Thompson misses free throw 1 of 1,,64-65,,
5:49.0,,,64-65,,Defensive rebound by P. Tucker
5:26.0,,,64-65,,M. Teletovic misses 3-pt shot from 25 ft
5:24.0,Defensive rebound by Team,,64-65,,
5:03.0,C. Landry makes 2-pt shot from 19 ft (assist by H. Thompson),2,66-65,,
4:50.0,Shooting block foul by J. Sampson (drawn by M. Teletovic),,66-65,,
4:50.0,,,66-65,,M. Teletovic misses free throw 1 of 2
4:50.0,,,66-65,,Offensive rebound by Team
4:50.0,N. Stauskas enters the game for I. Canaan,,66-65,,
4:50.0,,,66-65,,S. Weems enters the game for D. Booker
4:50.0,,,66-66,1,M. Teletovic makes free throw 2 of 2
4:33.0,K. Marshall misses 2-pt shot from 10 ft,,66-66,,
4:31.0,,,66-66,,Defensive rebound by M. Teletovic
4:26.0,,,66-68,2,M. Teletovic makes 2-pt shot from 1 ft (assist by S. Weems)
4:11.0,C. Landry makes 2-pt shot from 19 ft (assist by K. Marshall),2,68-68,,
3:57.0,Personal foul by K. Marshall (drawn by M. Teletovic),,68-68,,
3:57.0,,,68-69,1,M. Teletovic makes free throw 1 of 2
3:57.0,,,68-69,,J. Leuer enters the game for T. Chandler
3:57.0,,,68-70,1,M. Teletovic makes free throw 2 of 2
3:44.0,C. Landry makes 2-pt shot at rim (assist by K. Marshall),2,70-70,,
3:27.0,,,70-72,2,P. Tucker makes 2-pt shot from 1 ft (assist by J. Leuer)
3:27.0,,,70-72,,Shooting foul by H. Thompson (drawn by P. Tucker)
3:27.0,,,70-73,1,P. Tucker makes free throw 1 of 1
3:12.0,,,70-73,,Personal foul by S. Weems (drawn by N. Stauskas)
3:03.0,Turnover by H. Thompson (lost ball; steal by R. Price),,70-73,,
2:58.0,,,70-73,,M. Teletovic misses 2-pt shot from 4 ft
2:57.0,Defensive rebound by J. Sampson,,70-73,,
2:57.0,,,70-73,,Personal foul by M. Teletovic (drawn by J. Sampson)
2:57.0,Philadelphia full timeout,,70-73,,
2:57.0,J. Grant enters the game for H. Thompson,,70-73,,
2:57.0,J. Sampson makes free throw 1 of 2,1,71-73,,
2:57.0,Violation by Team (delay of game),,71-73,,
2:57.0,J. Sampson makes free throw 2 of 2,1,72-73,,
2:42.0,,,72-73,,R. Price misses 2-pt shot from 15 ft
2:41.0,Defensive rebound by K. Marshall,,72-73,,
2:36.0,Turnover by J. Sampson (traveling),,72-73,,
2:24.0,,,72-73,,S. Weems misses 2-pt shot from 16 ft
2:22.0,Defensive rebound by J. Sampson,,72-73,,
2:09.0,Shooting foul by R. Price (drawn by J. Grant),,72-73,,
2:09.0,J. Grant makes free throw 1 of 2,1,73-73,,
2:09.0,J. Grant makes free throw 2 of 2,1,74-73,,
1:54.0,,,74-75,2,M. Teletovic makes 2-pt shot from 20 ft
1:38.0,N. Stauskas makes 3-pt shot from 23 ft (assist by J. Sampson),3,77-75,,
1:17.0,,,77-75,,Turnover by S. Weems (bad pass)
1:04.0,N. Stauskas makes 2-pt shot from 23 ft,2,79-75,,
0:53.0,,,79-75,,P. Tucker misses 2-pt shot from 1 ft
0:50.0,Defensive rebound by K. Marshall,,79-75,,
0:40.0,N. Stauskas makes 3-pt shot from 23 ft (assist by K. Marshall),3,82-75,,
0:31.0,,,82-75,,R. Price misses 2-pt shot from 2 ft (block by J. Sampson)
0:30.0,,,82-75,,Offensive rebound by Team
0:27.0,,,82-75,,M. Teletovic misses 2-pt shot from 4 ft
0:23.0,Defensive rebound by C. Landry,,82-75,,
0:01.0,K. Marshall makes 3-pt shot from 24 ft,3,85-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,85-75,,B. Knight misses 2-pt shot from 5 ft
11:36.0,,,85-75,,Offensive rebound by A. Len
11:34.0,,,85-75,,T. Warren misses 3-pt shot from 25 ft
11:32.0,,,85-75,,Offensive rebound by T. Warren
11:29.0,,,85-75,,Shooting foul by N. Noel (drawn by D. Booker)
11:29.0,,,85-75,,Phoenix full timeout
11:29.0,,,85-76,1,D. Booker makes free throw 1 of 2
11:29.0,,,85-76,,D. Booker misses free throw 2 of 2
11:27.0,Defensive rebound by N. Noel,,85-76,,
11:08.0,K. Marshall misses 3-pt shot from 26 ft,,85-76,,
11:07.0,,,85-76,,Defensive rebound by Team
10:43.0,,,85-79,3,D. Booker makes 3-pt shot from 23 ft (assist by A. Len)
10:23.0,Shooting foul by A. Len (drawn by J. Grant),,85-79,,
10:23.0,J. Grant makes free throw 1 of 2,1,86-79,,
10:23.0,H. Thompson enters the game for J. Sampson,,86-79,,
10:23.0,J. Grant makes free throw 2 of 2,1,87-79,,
10:01.0,,,87-79,,B. Knight misses 2-pt shot from 14 ft
9:59.0,Defensive rebound by K. Marshall,,87-79,,
9:43.0,J. Grant misses 2-pt shot from 7 ft (block by J. Leuer),,87-79,,
9:42.0,Offensive rebound by N. Noel,,87-79,,
9:39.0,N. Noel makes 2-pt shot at rim,2,89-79,,
9:10.0,,,89-79,,B. Knight misses 3-pt shot from 37 ft
9:08.0,Defensive rebound by N. Stauskas,,89-79,,
8:59.0,N. Stauskas misses 2-pt shot from 2 ft (block by T. Warren),,89-79,,
8:57.0,,,89-79,,Defensive rebound by B. Knight
8:54.0,,,89-79,,Turnover by B. Knight (bad pass; steal by H. Thompson)
8:54.0,,,89-79,,Personal foul by D. Booker (drawn by H. Thompson)
8:54.0,,,89-79,,P. Tucker enters the game for A. Len
8:54.0,,,89-79,,R. Price enters the game for T. Warren
8:39.0,K. Marshall misses 3-pt shot from 22 ft,,89-79,,
8:37.0,Offensive rebound by N. Stauskas,,89-79,,
8:37.0,N. Stauskas makes 2-pt shot at rim,2,91-79,,
8:27.0,,,91-79,,Turnover by J. Leuer (lost ball; steal by N. Noel)
8:24.0,Turnover by N. Noel (bad pass; steal by R. Price),,91-79,,
8:11.0,,,91-79,,B. Knight misses 2-pt shot from 8 ft
8:09.0,,,91-79,,Offensive rebound by P. Tucker
8:06.0,,,91-81,2,P. Tucker makes 2-pt shot from 1 ft
8:02.0,Philadelphia full timeout,,91-81,,
8:02.0,,,91-81,,T. Chandler enters the game for D. Booker
8:02.0,I. Smith enters the game for N. Noel,,91-81,,
8:02.0,C. Landry enters the game for K. Marshall,,91-81,,
7:56.0,H. Thompson misses 3-pt shot from 24 ft,,91-81,,
7:54.0,,,91-81,,Defensive rebound by J. Leuer
7:43.0,,,91-81,,P. Tucker misses 2-pt shot from 1 ft
