time,Cleveland,pts.away,score,pts.home,Orlando
0:07.0,Personal foul by I. Shumpert,,27-27,,
0:01.0,,,27-29,2,J. Smith makes 2-pt shot from 1 ft (assist by V. Oladipo)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,27-31,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by E. Fournier)
11:19.0,I. Shumpert misses 3-pt shot from 23 ft,,27-31,,
11:19.0,,,27-31,,Defensive rebound by J. Smith
11:00.0,,,27-33,2,C. Watson makes 2-pt shot from 19 ft (assist by M. Hezonja)
10:45.0,Turnover by M. Dellavedova (lost ball; steal by J. Smith),,27-33,,
10:32.0,,,27-35,2,E. Ilyasova makes 2-pt shot at rim (assist by M. Hezonja)
10:32.0,Cleveland full timeout,,27-35,,
10:32.0,K. Irving enters the game for M. Dellavedova,,27-35,,
10:10.0,Turnover by I. Shumpert (lost ball; steal by M. Hezonja),,27-35,,
9:59.0,,,27-38,3,M. Hezonja makes 3-pt shot from 25 ft
9:44.0,K. Irving makes 2-pt shot at rim (assist by C. Frye),2,29-38,,
9:44.0,Shooting foul by C. Watson (drawn by K. Irving),,29-38,,
9:44.0,K. Love enters the game for C. Frye,,29-38,,
9:44.0,K. Irving makes free throw 1 of 1,1,30-38,,
9:21.0,,,30-38,,J. Smith misses 2-pt shot from 6 ft
9:20.0,Defensive rebound by K. Love,,30-38,,
9:09.0,,,30-38,,Personal foul by M. Hezonja
8:59.0,K. Love misses 2-pt shot from 6 ft,,30-38,,
8:59.0,,,30-38,,Defensive rebound by Team
8:59.0,Loose ball foul by T. Thompson,,30-38,,
8:42.0,,,30-38,,E. Ilyasova misses 3-pt shot from 23 ft
8:41.0,Defensive rebound by I. Shumpert,,30-38,,
8:31.0,Turnover by K. Love (lost ball; steal by E. Ilyasova),,30-38,,
8:25.0,,,30-38,,C. Watson misses 2-pt shot at rim
8:22.0,Defensive rebound by T. Thompson,,30-38,,
8:15.0,I. Shumpert makes 3-pt shot from 25 ft,3,33-38,,
7:49.0,,,33-40,2,J. Smith makes 2-pt shot from 10 ft
7:36.0,K. Love makes 3-pt shot from 25 ft (assist by T. Thompson),3,36-40,,
7:20.0,,,36-40,,J. Smith misses 2-pt shot from 20 ft
7:19.0,,,36-40,,Offensive rebound by J. Smith
7:14.0,,,36-40,,J. Smith misses 2-pt shot from 1 ft
7:14.0,Defensive rebound by K. Irving,,36-40,,
7:08.0,K. Irving makes 2-pt shot at rim,2,38-40,,
7:00.0,,,38-40,,Orlando full timeout
7:00.0,,,38-40,,A. Gordon enters the game for J. Smith
7:00.0,,,38-40,,D. Dedmon enters the game for M. Hezonja
7:00.0,,,38-40,,V. Oladipo enters the game for E. Ilyasova
6:52.0,,,38-42,2,V. Oladipo makes 2-pt shot from 21 ft (assist by D. Dedmon)
6:34.0,Shooting foul by D. Dedmon (drawn by T. Thompson),,38-42,,
6:34.0,T. Thompson makes free throw 1 of 2,1,39-42,,
6:34.0,T. Thompson makes free throw 2 of 2,1,40-42,,
6:19.0,,,40-42,,A. Gordon misses 2-pt shot from 14 ft
6:19.0,Defensive rebound by T. Thompson,,40-42,,
6:06.0,R. Jefferson makes 2-pt shot at rim,2,42-42,,
5:53.0,Personal foul by R. Jefferson,,42-42,,
5:53.0,L. James enters the game for T. Thompson,,42-42,,
5:53.0,,,42-42,,B. Jennings enters the game for C. Watson
5:44.0,,,42-42,,Shooting foul by K. Love (drawn by V. Oladipo)
5:44.0,,,42-43,1,V. Oladipo makes free throw 1 of 2
5:44.0,,,42-44,1,V. Oladipo makes free throw 2 of 2
5:31.0,Turnover by L. James (lost ball; steal by E. Fournier),,42-44,,
5:18.0,,,42-44,,B. Jennings misses 2-pt shot from 18 ft
5:18.0,,,42-44,,Offensive rebound by Team
5:18.0,Loose ball foul by K. Love,,42-44,,
5:18.0,J. Smith enters the game for R. Jefferson,,42-44,,
5:09.0,,,42-46,2,D. Dedmon makes 2-pt shot at rim (assist by V. Oladipo)
4:49.0,I. Shumpert misses 3-pt shot from 23 ft (block by V. Oladipo),,42-46,,
4:47.0,,,42-46,,Defensive rebound by D. Dedmon
4:46.0,,,42-46,,Turnover by B. Jennings (bad pass)
4:38.0,K. Love makes 3-pt shot from 25 ft (assist by J. Smith),3,45-46,,
4:18.0,,,45-46,,V. Oladipo misses 2-pt shot from 22 ft
4:18.0,Defensive rebound by Team,,45-46,,
4:08.0,K. Love makes 2-pt shot from 2 ft (assist by K. Irving),2,47-46,,
3:51.0,,,47-46,,Offensive charge foul by E. Fournier
3:51.0,,,47-46,,Turnover by E. Fournier (offensive foul)
3:39.0,K. Love makes 3-pt shot from 26 ft (assist by I. Shumpert),3,50-46,,
3:14.0,,,50-46,,E. Fournier misses 2-pt shot at rim
3:13.0,Defensive rebound by L. James,,50-46,,
3:09.0,J. Smith makes 3-pt shot from 24 ft (assist by L. James),3,53-46,,
3:09.0,,,53-46,,Orlando full timeout
3:09.0,,,53-46,,E. Ilyasova enters the game for D. Dedmon
2:53.0,Shooting block foul by K. Love (drawn by A. Gordon),,53-46,,
2:53.0,Official timeout,,53-46,,
2:53.0,T. Thompson enters the game for K. Love,,53-46,,
2:53.0,M. Dellavedova enters the game for I. Shumpert,,53-46,,
2:53.0,,,53-47,1,A. Gordon makes free throw 1 of 2
2:53.0,,,53-47,,A. Gordon misses free throw 2 of 2
2:52.0,Defensive rebound by L. James,,53-47,,
2:39.0,L. James makes 2-pt shot at rim (assist by K. Irving),2,55-47,,
2:15.0,,,55-47,,B. Jennings misses 2-pt shot from 10 ft
2:14.0,Defensive rebound by T. Thompson,,55-47,,
2:05.0,J. Smith makes 3-pt shot from 25 ft (assist by L. James),3,58-47,,
1:54.0,Personal foul by M. Dellavedova,,58-47,,
1:54.0,,,58-48,1,V. Oladipo makes free throw 1 of 2
1:54.0,,,58-49,1,V. Oladipo makes free throw 2 of 2
1:39.0,Turnover by K. Irving (lost ball; steal by B. Jennings),,58-49,,
1:30.0,,,58-52,3,E. Fournier makes 3-pt shot from 26 ft (assist by B. Jennings)
1:16.0,,,58-52,,Def 3 sec tech foul by E. Ilyasova
1:16.0,K. Irving makes technical free throw,1,59-52,,
1:05.0,K. Irving makes 2-pt shot from 21 ft,2,61-52,,
0:49.0,,,61-54,2,V. Oladipo makes 2-pt shot from 14 ft
0:38.0,,,61-54,,Personal foul by V. Oladipo
0:38.0,,,61-54,,D. Marble enters the game for A. Gordon
0:31.0,,,61-54,,Personal foul by D. Marble
0:31.0,L. James makes free throw 1 of 2,1,62-54,,
0:31.0,I. Shumpert enters the game for M. Dellavedova,,62-54,,
0:31.0,L. James makes free throw 2 of 2,1,63-54,,
0:07.0,,,63-54,,D. Marble misses 3-pt shot from 24 ft
0:06.0,Defensive rebound by T. Thompson,,63-54,,
0:00.0,I. Shumpert misses 3-pt shot from 27 ft,,63-54,,
0:00.0,Offensive rebound by Team,,63-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,63-54,,Shooting foul by T. Mozgov (drawn by A. Gordon)
11:43.0,,,63-54,,A. Gordon misses free throw 1 of 2
11:43.0,,,63-54,,Offensive rebound by Team
11:43.0,,,63-55,1,A. Gordon makes free throw 2 of 2
11:35.0,,,63-55,,Personal foul by E. Fournier
11:30.0,L. James makes 2-pt shot from 1 ft,2,65-55,,
11:08.0,,,65-55,,Shooting foul by L. James (drawn by D. Dedmon)
11:08.0,,,65-56,1,D. Dedmon makes free throw 1 of 2
11:08.0,,,65-57,1,D. Dedmon makes free throw 2 of 2
10:51.0,J. Smith misses 3-pt shot from 23 ft,,65-57,,
10:51.0,,,65-57,,Defensive rebound by D. Dedmon
10:41.0,,,65-60,3,V. Oladipo makes 3-pt shot from 24 ft (assist by B. Jennings)
10:27.0,K. Irving misses 2-pt shot from 1 ft (block by V. Oladipo),,65-60,,
10:26.0,,,65-60,,Defensive rebound by D. Dedmon
10:20.0,,,65-63,3,E. Fournier makes 3-pt shot from 23 ft (assist by B. Jennings)
10:02.0,T. Mozgov makes 2-pt shot from 1 ft (assist by K. Love),2,67-63,,
9:45.0,,,67-63,,B. Jennings misses 2-pt shot from 16 ft
9:43.0,Defensive rebound by T. Mozgov,,67-63,,
9:33.0,Shooting foul by E. Fournier (drawn by K. Love),,67-63,,
9:33.0,K. Love misses free throw 1 of 2,,67-63,,
9:33.0,Offensive rebound by Team,,67-63,,
9:33.0,K. Love makes free throw 2 of 2,1,68-63,,
9:23.0,,,68-63,,Shooting foul by L. James (drawn by E. Fournier)
9:23.0,,,68-64,1,E. Fournier makes free throw 1 of 2
9:23.0,,,68-65,1,E. Fournier makes free throw 2 of 2
9:09.0,K. Irving makes 2-pt shot from 21 ft,2,70-65,,
8:52.0,,,70-67,2,D. Dedmon makes 2-pt shot from 2 ft (assist by B. Jennings)
8:28.0,Turnover by K. Irving (lost ball; steal by V. Oladipo),,70-67,,
8:19.0,,,70-67,,D. Dedmon misses 2-pt shot from 19 ft
8:18.0,Defensive rebound by K. Love,,70-67,,
8:09.0,Turnover by J. Smith (lost ball; steal by V. Oladipo),,70-67,,
8:09.0,Personal foul by J. Smith,,70-67,,
8:00.0,,,70-69,2,V. Oladipo makes 2-pt shot from 14 ft
7:38.0,K. Love misses 2-pt shot at rim,,70-69,,
7:37.0,,,70-69,,Defensive rebound by D. Dedmon
7:30.0,,,70-72,3,V. Oladipo makes 3-pt shot from 25 ft (assist by A. Gordon)
7:30.0,Cleveland full timeout,,70-72,,
7:16.0,,,70-72,,Personal foul by E. Fournier
7:06.0,J. Smith misses 2-pt shot from 19 ft,,70-72,,
7:05.0,Offensive rebound by K. Love,,70-72,,
7:04.0,Turnover by K. Love (traveling),,70-72,,
6:40.0,,,70-72,,A. Gordon misses 2-pt shot from 8 ft
6:40.0,Defensive rebound by Team,,70-72,,
6:27.0,,,70-72,,Def 3 sec tech foul by D. Dedmon
6:27.0,K. Irving makes technical free throw,1,71-72,,
6:27.0,I. Shumpert enters the game for T. Mozgov,,71-72,,
6:17.0,I. Shumpert makes 2-pt shot at rim,2,73-72,,
5:59.0,,,73-72,,V. Oladipo misses 2-pt shot from 21 ft
5:57.0,Defensive rebound by I. Shumpert,,73-72,,
5:33.0,L. James misses 3-pt shot from 24 ft,,73-72,,
5:32.0,,,73-72,,Defensive rebound by D. Dedmon
5:19.0,,,73-72,,Shooting foul by J. Smith (drawn by E. Fournier)
5:19.0,,,73-73,1,E. Fournier makes free throw 1 of 2
5:19.0,,,73-73,,J. Smith enters the game for D. Dedmon
5:19.0,,,73-74,1,E. Fournier makes free throw 2 of 2
4:59.0,Turnover by L. James (bad pass),,73-74,,
4:44.0,,,73-77,3,V. Oladipo makes 3-pt shot from 27 ft (assist by B. Jennings)
4:28.0,J. Smith misses 3-pt shot from 23 ft,,73-77,,
4:27.0,,,73-77,,Defensive rebound by V. Oladipo
4:21.0,,,73-77,,E. Fournier misses 2-pt shot from 1 ft
4:21.0,,,73-77,,Offensive rebound by E. Fournier
4:20.0,,,73-79,2,E. Fournier makes 2-pt shot from 1 ft
4:03.0,K. Love misses 3-pt shot from 22 ft,,73-79,,
4:03.0,,,73-79,,Defensive rebound by A. Gordon
3:55.0,,,73-79,,Turnover by V. Oladipo (lost ball; steal by I. Shumpert)
3:42.0,,,73-79,,Personal foul by V. Oladipo
3:42.0,M. Dellavedova enters the game for K. Irving,,73-79,,
3:42.0,C. Frye enters the game for K. Love,,73-79,,
3:42.0,,,73-79,,M. Hezonja enters the game for A. Gordon
3:42.0,,,73-79,,E. Ilyasova enters the game for E. Fournier
3:31.0,C. Frye makes 2-pt shot from 20 ft (assist by J. Smith),2,75-79,,
3:31.0,,,75-79,,Orlando full timeout
3:31.0,,,75-79,,C. Watson enters the game for B. Jennings
3:18.0,Violation by C. Frye (kicked ball),,75-79,,
3:09.0,,,75-79,,J. Smith misses 2-pt shot from 19 ft
3:08.0,Defensive rebound by L. James,,75-79,,
2:52.0,C. Frye makes 3-pt shot from 25 ft (assist by I. Shumpert),3,78-79,,
2:38.0,,,78-79,,Turnover by M. Hezonja (bad pass)
2:38.0,T. Thompson enters the game for J. Smith,,78-79,,
2:32.0,L. James makes 2-pt shot from 1 ft,2,80-79,,
2:15.0,,,80-81,2,V. Oladipo makes 2-pt shot at rim (assist by E. Ilyasova)
1:57.0,Turnover by T. Thompson (3 sec),,80-81,,
1:39.0,,,80-81,,Shooting foul by C. Frye (drawn by E. Ilyasova)
1:39.0,,,80-82,1,E. Ilyasova makes free throw 1 of 2
1:39.0,,,80-82,,E. Ilyasova misses free throw 2 of 2
1:38.0,Defensive rebound by L. James,,80-82,,
1:23.0,T. Thompson misses 2-pt shot from 1 ft,,80-82,,
1:23.0,,,80-82,,Defensive rebound by E. Ilyasova
1:08.0,,,80-84,2,V. Oladipo makes 2-pt shot from 22 ft
0:48.0,L. James misses 2-pt shot from 7 ft,,80-84,,
0:48.0,,,80-84,,Defensive rebound by J. Smith
0:41.0,,,80-84,,V. Oladipo misses 3-pt shot from 25 ft
0:41.0,,,80-84,,Offensive rebound by Team
0:41.0,Loose ball foul by T. Thompson,,80-84,,
0:41.0,,,80-85,1,J. Smith makes free throw 1 of 2
0:41.0,,,80-86,1,J. Smith makes free throw 2 of 2
0:34.0,,,80-86,,Personal foul by C. Watson
0:34.0,M. Dellavedova misses free throw 1 of 2,,80-86,,
0:34.0,Offensive rebound by Team,,80-86,,
0:34.0,M. Dellavedova makes free throw 2 of 2,1,81-86,,
0:19.0,,,81-86,,Turnover by V. Oladipo (lost ball; steal by L. James)
0:15.0,L. James makes 2-pt shot at rim,2,83-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,K. Irving makes 2-pt shot from 17 ft,2,85-86,,
11:30.0,,,85-86,,Offensive foul by J. Smith
11:30.0,,,85-86,,Turnover by E. Ilyasova (offensive foul)
11:10.0,,,85-86,,Personal foul by M. Hezonja
11:02.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,87-86,,
10:47.0,,,87-88,2,E. Ilyasova makes 2-pt shot from 22 ft (assist by C. Watson)
10:34.0,,,87-88,,Shooting block foul by E. Fournier (drawn by T. Thompson)
10:34.0,T. Thompson makes free throw 1 of 2,1,88-88,,
10:34.0,,,88-88,,D. Marble enters the game for E. Fournier
10:34.0,T. Thompson misses free throw 2 of 2,,88-88,,
10:32.0,,,88-88,,Defensive rebound by J. Smith
10:32.0,Personal foul by C. Frye,,88-88,,
10:12.0,,,88-88,,E. Ilyasova misses 2-pt shot from 18 ft
10:12.0,Defensive rebound by T. Thompson,,88-88,,
10:09.0,Shooting foul by C. Watson (drawn by K. Irving),,88-88,,
10:09.0,K. Irving makes free throw 1 of 2,1,89-88,,
10:09.0,K. Irving makes free throw 2 of 2,1,90-88,,
10:03.0,Personal foul by C. Frye,,90-88,,
10:03.0,M. Dellavedova enters the game for I. Shumpert,,90-88,,
9:52.0,,,90-88,,E. Ilyasova misses 3-pt shot from 24 ft
9:52.0,Defensive rebound by C. Frye,,90-88,,
9:32.0,M. Dellavedova misses 3-pt shot from 25 ft,,90-88,,
9:31.0,,,90-88,,Defensive rebound by J. Smith
9:16.0,,,90-91,3,C. Watson makes 3-pt shot from 23 ft (assist by D. Marble)
9:01.0,K. Irving makes 2-pt shot from 13 ft (assist by C. Frye),2,92-91,,
9:01.0,Shooting foul by C. Watson (drawn by K. Irving),,92-91,,
9:01.0,,,92-91,,B. Jennings enters the game for C. Watson
9:01.0,K. Irving makes free throw 1 of 1,1,93-91,,
8:47.0,,,93-91,,Turnover by M. Hezonja (lost ball; steal by R. Jefferson)
8:35.0,T. Thompson misses 2-pt shot from 7 ft,,93-91,,
8:35.0,,,93-91,,Defensive rebound by E. Ilyasova
8:27.0,,,93-91,,M. Hezonja misses 3-pt shot from 25 ft
8:27.0,Defensive rebound by M. Dellavedova,,93-91,,
8:19.0,M. Dellavedova misses 2-pt shot from 11 ft (block by J. Smith),,93-91,,
8:19.0,Offensive rebound by Team,,93-91,,
8:19.0,Official timeout,,93-91,,
8:19.0,,,93-91,,V. Oladipo enters the game for M. Hezonja
8:15.0,K. Irving misses 2-pt shot from 17 ft,,93-91,,
8:13.0,,,93-91,,Defensive rebound by B. Jennings
7:51.0,,,93-91,,E. Ilyasova misses 3-pt shot from 25 ft
7:49.0,,,93-91,,Offensive rebound by E. Ilyasova
7:44.0,,,93-91,,Turnover by E. Ilyasova (lost ball; steal by T. Thompson)
7:38.0,Turnover by K. Irving (lost ball; steal by D. Marble),,93-91,,
7:35.0,,,93-91,,Shooting foul by K. Irving (drawn by V. Oladipo)
7:35.0,,,93-91,,V. Oladipo misses free throw 1 of 2
7:35.0,,,93-91,,Offensive rebound by Team
7:35.0,,,93-91,,A. Gordon enters the game for E. Ilyasova
7:35.0,,,93-92,1,V. Oladipo makes free throw 2 of 2
7:24.0,K. Irving makes 3-pt shot from 24 ft (assist by M. Dellavedova),3,96-92,,
7:07.0,,,96-92,,Turnover by B. Jennings (lost ball; steal by T. Thompson)
6:59.0,C. Frye misses 3-pt shot from 26 ft,,96-92,,
6:58.0,,,96-92,,Defensive rebound by A. Gordon
6:56.0,Personal foul by R. Jefferson,,96-92,,
6:49.0,,,96-92,,A. Gordon misses 3-pt shot from 23 ft
6:48.0,Defensive rebound by T. Thompson,,96-92,,
6:38.0,Turnover by K. Irving (lost ball),,96-92,,
6:28.0,,,96-92,,J. Smith misses 2-pt shot from 19 ft
6:27.0,Defensive rebound by T. Thompson,,96-92,,
6:14.0,K. Irving misses 2-pt shot from 19 ft,,96-92,,
6:14.0,Offensive rebound by T. Thompson,,96-92,,
6:14.0,Shooting foul by J. Smith (drawn by T. Thompson),,96-92,,
6:14.0,T. Thompson makes 2-pt shot at rim,2,98-92,,
6:14.0,T. Thompson misses free throw 1 of 1,,98-92,,
6:13.0,,,98-92,,Defensive rebound by A. Gordon
5:58.0,,,98-92,,Turnover by V. Oladipo (lost ball; steal by T. Thompson)
5:51.0,Cleveland full timeout,,98-92,,
5:51.0,,,98-92,,E. Fournier enters the game for D. Marble
5:51.0,L. James enters the game for R. Jefferson,,98-92,,
5:40.0,L. James misses 2-pt shot from 21 ft,,98-92,,
5:40.0,,,98-92,,Defensive rebound by A. Gordon
5:25.0,,,98-94,2,J. Smith makes 2-pt shot from 17 ft (assist by E. Fournier)
5:06.0,C. Frye misses 2-pt shot from 18 ft,,98-94,,
5:02.0,Offensive rebound by T. Thompson,,98-94,,
4:59.0,Turnover by T. Thompson (lost ball; steal by J. Smith),,98-94,,
4:54.0,,,98-94,,A. Gordon misses 2-pt shot from 2 ft (block by C. Frye)
4:52.0,Defensive rebound by M. Dellavedova,,98-94,,
4:47.0,L. James misses 2-pt shot from 1 ft,,98-94,,
4:47.0,Offensive rebound by Team,,98-94,,
4:42.0,L. James makes 2-pt shot at rim (assist by K. Irving),2,100-94,,
4:18.0,,,100-94,,E. Fournier misses 2-pt shot from 21 ft
4:17.0,Defensive rebound by L. James,,100-94,,
4:05.0,C. Frye makes 3-pt shot from 25 ft (assist by L. James),3,103-94,,
3:38.0,,,103-96,2,V. Oladipo makes 2-pt shot at rim
3:13.0,K. Irving misses 2-pt shot at rim,,103-96,,
3:12.0,Offensive rebound by T. Thompson,,103-96,,
3:12.0,T. Thompson makes 2-pt shot from 1 ft,2,105-96,,
3:04.0,,,105-96,,E. Fournier misses 3-pt shot from 24 ft
3:03.0,,,105-96,,Offensive rebound by A. Gordon
2:59.0,,,105-96,,A. Gordon misses 2-pt shot at rim (block by T. Thompson)
2:58.0,Defensive rebound by T. Thompson,,105-96,,
2:57.0,,,105-96,,Personal foul by V. Oladipo
2:57.0,,,105-96,,Orlando full timeout
2:57.0,T. Thompson makes free throw 1 of 2,1,106-96,,
2:57.0,T. Thompson makes free throw 2 of 2,1,107-96,,
2:40.0,,,107-96,,E. Fournier misses 2-pt shot from 2 ft (block by T. Thompson)
2:38.0,,,107-96,,Offensive rebound by E. Fournier
2:37.0,,,107-98,2,E. Fournier makes 2-pt shot at rim
2:19.0,Turnover by L. James (lost ball; steal by J. Smith),,107-98,,
2:04.0,,,107-98,,B. Jennings misses 3-pt shot from 24 ft
2:03.0,Defensive rebound by T. Thompson,,107-98,,
1:41.0,K. Irving misses 2-pt shot from 9 ft,,107-98,,
1:41.0,,,107-98,,Defensive rebound by A. Gordon
1:32.0,,,107-100,2,E. Fournier makes 2-pt shot at rim (assist by B. Jennings)
1:12.0,C. Frye misses 3-pt shot from 22 ft,,107-100,,
1:10.0,Offensive rebound by T. Thompson,,107-100,,
