time,New York,pts.away,score,pts.home,LA Clippers
5:25.0,,,16-16,,Defensive rebound by D. Jordan
5:15.0,,,16-19,3,W. Johnson makes 3-pt shot from 22 ft (assist by J. Green)
5:15.0,,,16-19,,Shooting foul by K. Porzingis (drawn by W. Johnson)
5:15.0,,,16-19,,LA Clippers full timeout
5:15.0,K. O'Quinn enters the game for R. Lopez,,16-19,,
5:15.0,,,16-19,,W. Johnson misses free throw 1 of 1
5:12.0,Defensive rebound by K. Porzingis,,16-19,,
5:00.0,K. Porzingis misses 2-pt shot from 11 ft,,16-19,,
4:59.0,,,16-19,,Defensive rebound by J. Redick
4:49.0,,,16-19,,J. Green misses 2-pt shot from 1 ft
4:48.0,,,16-19,,Offensive rebound by J. Green
4:48.0,,,16-21,2,J. Green makes 2-pt shot from 1 ft
4:42.0,Turnover by Team (back court),,16-21,,
4:42.0,,,16-21,,C. Aldrich enters the game for W. Johnson
4:29.0,,,16-21,,J. Redick misses 2-pt shot from 21 ft
4:27.0,,,16-21,,Offensive rebound by C. Aldrich
4:27.0,,,16-23,2,C. Aldrich makes 2-pt shot from 1 ft
4:07.0,Turnover by K. O'Quinn (lost ball; steal by C. Paul),,16-23,,
3:59.0,,,16-25,2,J. Green makes 2-pt shot from 1 ft (assist by C. Paul)
3:39.0,C. Anthony makes 2-pt shot from 6 ft (assist by S. Vujacic),2,18-25,,
3:29.0,,,18-25,,J. Crawford enters the game for J. Redick
3:29.0,L. Galloway enters the game for S. Vujacic,,18-25,,
3:17.0,,,18-25,,Turnover by C. Aldrich (offensive foul)
3:17.0,,,18-25,,Offensive foul by C. Aldrich
3:01.0,K. Porzingis makes 2-pt shot at rim (assist by K. O'Quinn),2,20-25,,
2:56.0,Personal foul by K. Porzingis,,20-25,,
2:56.0,New York full timeout,,20-25,,
2:56.0,R. Lopez enters the game for K. Porzingis,,20-25,,
2:42.0,,,20-25,,J. Green misses 3-pt shot from 24 ft
2:42.0,Defensive rebound by K. O'Quinn,,20-25,,
2:32.0,,,20-25,,Personal foul by J. Green
2:32.0,,,20-25,,A. Rivers enters the game for C. Paul
2:20.0,R. Lopez misses 2-pt shot from 3 ft,,20-25,,
2:18.0,,,20-25,,Defensive rebound by C. Aldrich
2:16.0,Personal foul by J. Calderon,,20-25,,
2:16.0,,,20-26,1,J. Green makes free throw 1 of 2
2:16.0,J. Grant enters the game for J. Calderon,,20-26,,
2:16.0,,,20-27,1,J. Green makes free throw 2 of 2
1:53.0,L. Galloway misses 2-pt shot from 23 ft,,20-27,,
1:50.0,Offensive rebound by R. Lopez,,20-27,,
1:50.0,R. Lopez makes 2-pt shot from 1 ft,2,22-27,,
1:50.0,,,22-27,,Turnover by A. Rivers (discontinued dribble)
1:37.0,C. Anthony misses 2-pt shot from 18 ft,,22-27,,
1:36.0,,,22-27,,Defensive rebound by D. Jordan
1:24.0,,,22-27,,J. Crawford misses 2-pt shot from 18 ft
1:22.0,Defensive rebound by L. Galloway,,22-27,,
1:14.0,J. Grant misses 2-pt shot from 18 ft,,22-27,,
1:13.0,,,22-27,,Defensive rebound by J. Green
1:02.0,,,22-27,,J. Crawford misses 2-pt shot from 17 ft
1:00.0,Defensive rebound by C. Anthony,,22-27,,
0:56.0,Turnover by C. Anthony (lost ball; steal by C. Aldrich),,22-27,,
0:46.0,,,22-27,,D. Jordan misses 2-pt shot at rim
0:43.0,,,22-27,,Offensive rebound by C. Aldrich
0:39.0,,,22-29,2,J. Crawford makes 2-pt shot from 15 ft
0:29.0,C. Anthony misses 3-pt shot from 25 ft,,22-29,,
0:28.0,,,22-29,,Defensive rebound by D. Jordan
0:06.0,,,22-29,,A. Rivers misses 2-pt shot from 18 ft (block by L. Galloway)
0:06.0,,,22-29,,Offensive rebound by Team
0:06.0,,,22-29,,Turnover by Team (shot clock)
0:06.0,D. Williams enters the game for K. O'Quinn,,22-29,,
0:05.0,,,22-29,,Personal foul by A. Rivers
0:00.0,D. Williams misses 2-pt shot from 1 ft (block by D. Jordan),,22-29,,
0:00.0,,,22-29,,Defensive rebound by D. Jordan
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:58.0,,,22-29,,Foul by
11:58.0,C. Anthony makes technical free throw,1,23-29,,
11:58.0,,,23-29,,P. Prigioni enters the game for D. Jordan
11:58.0,S. Vujacic enters the game for C. Anthony,,23-29,,
11:33.0,K. O'Quinn misses 2-pt shot from 2 ft,,23-29,,
11:31.0,,,23-29,,Defensive rebound by J. Green
11:31.0,Personal foul by J. Grant,,23-29,,
11:23.0,,,23-29,,J. Green misses 2-pt shot from 18 ft
11:22.0,,,23-29,,Offensive rebound by C. Aldrich
11:15.0,,,23-29,,J. Crawford misses 2-pt shot from 16 ft
11:14.0,Defensive rebound by D. Williams,,23-29,,
10:58.0,D. Williams makes 2-pt shot from 17 ft (assist by L. Galloway),2,25-29,,
10:40.0,,,25-29,,Shooting foul by S. Vujacic (drawn by J. Green)
10:40.0,,,25-29,,J. Green misses free throw 1 of 2
10:40.0,,,25-29,,Offensive rebound by Team
10:40.0,R. Lopez enters the game for K. O'Quinn,,25-29,,
10:40.0,K. Porzingis enters the game for S. Vujacic,,25-29,,
10:40.0,,,25-30,1,J. Green makes free throw 2 of 2
10:21.0,Turnover by K. Porzingis (bad pass),,25-30,,
10:06.0,,,25-30,,Turnover by J. Crawford (lost ball; steal by L. Galloway)
9:59.0,L. Galloway misses 2-pt shot from 1 ft (block by P. Prigioni),,25-30,,
9:55.0,Offensive rebound by D. Williams,,25-30,,
9:55.0,D. Williams makes 2-pt shot from 1 ft,2,27-30,,
9:47.0,,,27-30,,C. Aldrich misses 2-pt shot from 2 ft
9:44.0,Defensive rebound by J. Grant,,27-30,,
9:38.0,,,27-30,,Personal foul by J. Crawford
9:27.0,L. Galloway misses 2-pt shot from 18 ft,,27-30,,
9:26.0,,,27-30,,Defensive rebound by J. Green
9:22.0,,,27-32,2,J. Green makes 2-pt shot from 1 ft
9:22.0,,,27-32,,Shooting foul by K. Porzingis (drawn by J. Green)
9:22.0,C. Anthony enters the game for K. Porzingis,,27-32,,
9:22.0,,,27-33,1,J. Green makes free throw 1 of 1
8:56.0,R. Lopez makes 2-pt shot from 3 ft (assist by J. Grant),2,29-33,,
8:37.0,,,29-36,3,J. Crawford makes 3-pt shot from 26 ft (assist by J. Green)
8:16.0,C. Anthony misses 2-pt shot from 2 ft (block by C. Aldrich),,29-36,,
8:15.0,Offensive rebound by L. Galloway,,29-36,,
8:12.0,L. Galloway misses 2-pt shot from 18 ft,,29-36,,
8:11.0,Offensive rebound by R. Lopez,,29-36,,
8:08.0,R. Lopez makes 2-pt shot at rim,2,31-36,,
7:52.0,,,31-36,,C. Aldrich misses 2-pt shot from 8 ft
7:50.0,Defensive rebound by R. Lopez,,31-36,,
7:46.0,Turnover by L. Galloway (lost ball; steal by P. Prigioni),,31-36,,
7:24.0,,,31-38,2,J. Green makes 2-pt shot from 3 ft (assist by A. Rivers)
7:19.0,New York full timeout,,31-38,,
7:19.0,,,31-38,,W. Johnson enters the game for J. Green
7:19.0,J. Calderon enters the game for L. Galloway,,31-38,,
7:11.0,Turnover by C. Anthony (lost ball; steal by A. Rivers),,31-38,,
7:04.0,,,31-40,2,A. Rivers makes 2-pt shot from 1 ft
6:46.0,,,31-40,,Personal foul by W. Johnson
6:46.0,C. Anthony makes free throw 1 of 2,1,32-40,,
6:46.0,,,32-40,,J. Redick enters the game for A. Rivers
6:46.0,,,32-40,,C. Paul enters the game for P. Prigioni
6:46.0,,,32-40,,J. Green enters the game for W. Johnson
6:46.0,C. Anthony makes free throw 2 of 2,1,33-40,,
6:26.0,,,33-40,,J. Crawford misses 2-pt shot from 19 ft
6:26.0,Defensive rebound by R. Lopez,,33-40,,
6:17.0,Shooting foul by J. Crawford (drawn by D. Williams),,33-40,,
6:17.0,D. Williams misses free throw 1 of 2,,33-40,,
6:17.0,Offensive rebound by Team,,33-40,,
6:17.0,,,33-40,,D. Jordan enters the game for C. Aldrich
6:17.0,D. Williams makes free throw 2 of 2,1,34-40,,
5:55.0,,,34-42,2,C. Paul makes 2-pt shot from 16 ft
5:35.0,J. Grant misses 2-pt shot from 19 ft,,34-42,,
5:34.0,,,34-42,,Defensive rebound by C. Paul
5:28.0,,,34-42,,J. Green misses 2-pt shot from 7 ft
5:25.0,Defensive rebound by J. Calderon,,34-42,,
5:14.0,R. Lopez makes 2-pt shot from 15 ft (assist by J. Calderon),2,36-42,,
4:59.0,,,36-42,,Turnover by C. Paul (lost ball; steal by J. Grant)
4:55.0,J. Grant makes 2-pt shot at rim,2,38-42,,
4:55.0,,,38-42,,LA Clippers full timeout
4:55.0,,,38-42,,A. Rivers enters the game for J. Crawford
4:55.0,L. Galloway enters the game for J. Grant,,38-42,,
4:43.0,Personal foul by L. Galloway,,38-42,,
4:37.0,,,38-42,,J. Redick misses 3-pt shot from 26 ft
4:36.0,,,38-42,,Offensive rebound by A. Rivers
4:31.0,,,38-45,3,C. Paul makes 3-pt shot from 24 ft (assist by A. Rivers)
4:13.0,D. Williams misses 2-pt shot from 1 ft (block by J. Green),,38-45,,
4:13.0,Offensive rebound by D. Williams,,38-45,,
4:13.0,D. Williams makes 2-pt shot from 1 ft,2,40-45,,
4:13.0,Shooting foul by D. Jordan (drawn by D. Williams),,40-45,,
4:13.0,D. Williams misses free throw 1 of 1,,40-45,,
4:11.0,,,40-45,,Defensive rebound by D. Jordan
3:58.0,,,40-47,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
3:43.0,L. Galloway misses 2-pt shot from 18 ft,,40-47,,
3:40.0,Offensive rebound by R. Lopez,,40-47,,
3:40.0,R. Lopez makes 2-pt shot from 1 ft,2,42-47,,
3:19.0,,,42-47,,J. Redick misses 3-pt shot from 25 ft
3:19.0,Defensive rebound by D. Williams,,42-47,,
3:07.0,D. Williams makes 2-pt shot from 1 ft (assist by C. Anthony),2,44-47,,
2:52.0,,,44-50,3,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul)
2:36.0,D. Williams misses 2-pt shot from 5 ft (block by D. Jordan),,44-50,,
2:35.0,,,44-50,,Defensive rebound by D. Jordan
2:28.0,,,44-53,3,C. Paul makes 3-pt shot from 24 ft
2:18.0,New York full timeout,,44-53,,
2:18.0,Official timeout,,44-53,,
2:00.0,J. Calderon misses 3-pt shot from 24 ft,,44-53,,
1:59.0,Offensive rebound by Team,,44-53,,
1:59.0,Turnover by Team (shot clock),,44-53,,
1:43.0,,,44-55,2,C. Paul makes 2-pt shot from 15 ft
1:28.0,C. Anthony makes 2-pt shot from 10 ft (assist by D. Williams),2,46-55,,
1:08.0,Personal take foul by R. Lopez,,46-55,,
1:08.0,,,46-56,1,D. Jordan makes free throw 1 of 2
1:08.0,,,46-57,1,D. Jordan makes free throw 2 of 2
0:56.0,J. Calderon misses 3-pt shot from 24 ft,,46-57,,
0:56.0,,,46-57,,Defensive rebound by D. Jordan
0:50.0,Personal foul by L. Galloway,,46-57,,
0:50.0,,,46-58,1,J. Redick makes free throw 1 of 2
0:50.0,,,46-59,1,J. Redick makes free throw 2 of 2
0:37.0,R. Lopez makes 2-pt shot at rim (assist by C. Anthony),2,48-59,,
0:29.0,,,48-61,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
0:08.0,C. Anthony makes 2-pt shot from 20 ft,2,50-61,,
0:01.0,,,50-61,,C. Paul misses 3-pt shot from 28 ft
0:00.0,,,50-61,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,S. Vujacic misses 3-pt shot from 23 ft,,50-61,,
11:42.0,,,50-61,,Defensive rebound by Team
11:32.0,Violation by J. Calderon (kicked ball),,50-61,,
11:23.0,,,50-61,,C. Paul misses 2-pt shot from 15 ft
11:21.0,Defensive rebound by K. Porzingis,,50-61,,
11:14.0,R. Lopez misses 2-pt shot from 7 ft,,50-61,,
11:12.0,,,50-61,,Defensive rebound by D. Jordan
11:03.0,,,50-63,2,J. Redick makes 2-pt shot from 16 ft (assist by C. Paul)
10:41.0,S. Vujacic misses 3-pt shot from 26 ft,,50-63,,
10:39.0,Offensive rebound by R. Lopez,,50-63,,
10:35.0,C. Anthony misses 3-pt shot from 25 ft,,50-63,,
10:35.0,,,50-63,,Defensive rebound by D. Jordan
10:28.0,,,50-63,,W. Johnson misses 3-pt shot from 24 ft
10:28.0,Defensive rebound by Team,,50-63,,
10:19.0,Turnover by C. Anthony (offensive foul),,50-63,,
10:19.0,Offensive foul by C. Anthony,,50-63,,
10:03.0,,,50-63,,J. Redick misses 3-pt shot from 24 ft
10:02.0,Defensive rebound by C. Anthony,,50-63,,
9:52.0,J. Calderon misses 3-pt shot from 24 ft,,50-63,,
9:52.0,,,50-63,,Defensive rebound by D. Jordan
9:42.0,,,50-63,,C. Paul misses 3-pt shot from 24 ft
9:41.0,Defensive rebound by C. Anthony,,50-63,,
9:27.0,Turnover by R. Lopez (lost ball; steal by D. Jordan),,50-63,,
9:12.0,,,50-63,,C. Paul misses 2-pt shot from 17 ft
9:12.0,Defensive rebound by S. Vujacic,,50-63,,
9:04.0,K. Porzingis makes 2-pt shot from 13 ft (assist by S. Vujacic),2,52-63,,
9:04.0,Shooting foul by D. Jordan (drawn by K. Porzingis),,52-63,,
9:04.0,K. Porzingis makes free throw 1 of 1,1,53-63,,
8:51.0,Personal foul by J. Calderon,,53-63,,
8:40.0,,,53-66,3,J. Redick makes 3-pt shot from 23 ft (assist by C. Paul)
8:24.0,,,53-66,,Personal foul by W. Johnson
8:24.0,,,53-66,,C. Aldrich enters the game for W. Johnson
8:17.0,K. Porzingis misses 3-pt shot from 25 ft,,53-66,,
8:17.0,,,53-66,,Defensive rebound by Team
8:10.0,,,53-68,2,C. Paul makes 2-pt shot from 12 ft
7:55.0,S. Vujacic makes 3-pt shot from 24 ft (assist by R. Lopez),3,56-68,,
7:44.0,,,56-68,,Turnover by C. Aldrich (traveling)
7:20.0,S. Vujacic makes 2-pt shot from 21 ft (assist by K. Porzingis),2,58-68,,
6:56.0,,,58-68,,J. Redick misses 3-pt shot from 24 ft
6:54.0,Defensive rebound by R. Lopez,,58-68,,
6:42.0,R. Lopez misses 2-pt shot from 1 ft,,58-68,,
6:41.0,Offensive rebound by R. Lopez,,58-68,,
6:38.0,R. Lopez misses 2-pt shot from 1 ft,,58-68,,
6:36.0,Offensive rebound by R. Lopez,,58-68,,
6:33.0,Turnover by R. Lopez (lost ball; steal by C. Paul),,58-68,,
6:26.0,,,58-68,,J. Redick misses 3-pt shot from 25 ft
6:24.0,Defensive rebound by R. Lopez,,58-68,,
6:12.0,K. Porzingis makes 3-pt shot from 25 ft (assist by J. Calderon),3,61-68,,
5:53.0,,,61-68,,C. Paul misses 2-pt shot from 14 ft
5:53.0,,,61-68,,Offensive rebound by C. Aldrich
5:35.0,,,61-68,,J. Green misses 2-pt shot from 18 ft
5:35.0,Defensive rebound by Team,,61-68,,
5:35.0,,,61-68,,Loose ball foul by C. Aldrich
5:35.0,,,61-68,,LA Clippers full timeout
5:22.0,J. Calderon misses 3-pt shot from 24 ft,,61-68,,
5:20.0,,,61-68,,Defensive rebound by J. Green
5:07.0,,,61-68,,Offensive foul by C. Aldrich
5:07.0,,,61-68,,Turnover by C. Aldrich (offensive foul)
4:54.0,Shooting foul by D. Jordan (drawn by K. Porzingis),,61-68,,
4:54.0,K. Porzingis makes free throw 1 of 2,1,62-68,,
4:54.0,K. Porzingis makes free throw 2 of 2,1,63-68,,
4:41.0,,,63-71,3,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul)
4:21.0,S. Vujacic misses 3-pt shot from 26 ft,,63-71,,
4:20.0,,,63-71,,Defensive rebound by D. Jordan
4:03.0,,,63-73,2,D. Jordan makes 2-pt shot from 6 ft (assist by C. Paul)
3:57.0,,,63-73,,Personal foul by J. Redick
3:57.0,S. Vujacic makes free throw 1 of 2,1,64-73,,
3:57.0,,,64-73,,J. Crawford enters the game for J. Redick
3:57.0,S. Vujacic makes free throw 2 of 2,1,65-73,,
3:45.0,,,65-73,,C. Paul misses 2-pt shot from 16 ft (block by K. Porzingis)
3:42.0,Defensive rebound by S. Vujacic,,65-73,,
3:35.0,,,65-73,,Personal foul by J. Green
3:35.0,K. Porzingis makes free throw 1 of 2,1,66-73,,
3:35.0,L. Galloway enters the game for S. Vujacic,,66-73,,
3:35.0,K. Porzingis makes free throw 2 of 2,1,67-73,,
3:14.0,,,67-76,3,J. Crawford makes 3-pt shot from 25 ft (assist by C. Paul)
2:50.0,C. Anthony makes 2-pt shot from 18 ft (assist by J. Calderon),2,69-76,,
2:34.0,,,69-76,,Turnover by C. Paul (lost ball; steal by K. Porzingis)
2:25.0,Turnover by R. Lopez (offensive goaltending),,69-76,,
2:25.0,New York full timeout,,69-76,,
2:13.0,,,69-76,,Turnover by C. Paul (lost ball; steal by J. Calderon)
1:55.0,K. Porzingis makes 2-pt shot from 1 ft (assist by C. Anthony),2,71-76,,
1:41.0,Personal foul by L. Galloway,,71-76,,
1:41.0,,,71-76,,A. Rivers enters the game for C. Paul
1:32.0,,,71-76,,D. Jordan misses 2-pt shot from 2 ft
1:32.0,Defensive rebound by K. Porzingis,,71-76,,
1:13.0,L. Galloway misses 3-pt shot from 23 ft,,71-76,,
1:12.0,,,71-76,,Defensive rebound by C. Aldrich
1:05.0,,,71-76,,J. Crawford misses 2-pt shot from 17 ft
1:03.0,Defensive rebound by R. Lopez,,71-76,,
0:40.0,K. Porzingis misses 3-pt shot from 26 ft,,71-76,,
0:40.0,Offensive rebound by L. Galloway,,71-76,,
0:32.0,L. Galloway makes 3-pt shot from 22 ft (assist by C. Anthony),3,74-76,,
0:17.0,,,74-76,,J. Crawford misses 2-pt shot from 19 ft
0:16.0,Defensive rebound by L. Galloway,,74-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,74-78,2,J. Crawford makes 2-pt shot from 1 ft (assist by J. Green)
11:24.0,C. Anthony makes 2-pt shot from 19 ft (assist by R. Lopez),2,76-78,,
11:04.0,,,76-80,2,A. Rivers makes 2-pt shot from 1 ft
10:41.0,J. Grant makes 2-pt shot from 2 ft (assist by L. Galloway),2,78-80,,
10:25.0,,,78-80,,Turnover by W. Johnson (lost ball; steal by L. Galloway)
10:24.0,Turnover by L. Galloway (step out of bounds),,78-80,,
10:24.0,D. Williams enters the game for K. Porzingis,,78-80,,
10:16.0,,,78-82,2,A. Rivers makes 2-pt shot from 14 ft
10:03.0,,,78-82,,Personal foul by C. Aldrich
9:53.0,Turnover by J. Grant (lost ball; steal by A. Rivers),,78-82,,
9:47.0,,,78-82,,A. Rivers misses 3-pt shot from 24 ft
9:45.0,Defensive rebound by L. Galloway,,78-82,,
9:43.0,Shooting foul by C. Aldrich (drawn by D. Williams),,78-82,,
9:43.0,D. Williams makes free throw 1 of 2,1,79-82,,
9:43.0,J. Calderon enters the game for J. Grant,,79-82,,
9:43.0,S. Vujacic enters the game for C. Anthony,,79-82,,
9:43.0,,,79-82,,P. Prigioni enters the game for J. Green
9:43.0,D. Williams makes free throw 2 of 2,1,80-82,,
9:22.0,,,80-82,,J. Crawford misses 2-pt shot from 3 ft
9:19.0,Defensive rebound by R. Lopez,,80-82,,
9:10.0,D. Williams misses 3-pt shot from 23 ft,,80-82,,
9:10.0,,,80-82,,Defensive rebound by J. Crawford
9:03.0,,,80-84,2,A. Rivers makes 2-pt shot from 2 ft (assist by J. Crawford)
8:48.0,D. Williams misses 2-pt shot from 12 ft,,80-84,,
8:45.0,,,80-84,,Defensive rebound by A. Rivers
8:31.0,,,80-84,,J. Crawford misses 2-pt shot from 2 ft (block by R. Lopez)
8:30.0,Defensive rebound by R. Lopez,,80-84,,
8:22.0,Offensive foul by J. Calderon,,80-84,,
8:22.0,Turnover by J. Calderon (offensive foul),,80-84,,
8:22.0,Official timeout,,80-84,,
8:05.0,,,80-84,,W. Johnson misses 2-pt shot from 16 ft
8:04.0,Defensive rebound by D. Williams,,80-84,,
7:52.0,S. Vujacic misses 3-pt shot from 24 ft,,80-84,,
7:52.0,,,80-84,,Defensive rebound by W. Johnson
7:36.0,,,80-84,,J. Crawford misses 3-pt shot from 24 ft
7:35.0,Defensive rebound by J. Calderon,,80-84,,
7:26.0,Shooting foul by C. Aldrich (drawn by D. Williams),,80-84,,
7:26.0,,,80-84,,C. Paul enters the game for P. Prigioni
7:26.0,,,80-84,,D. Jordan enters the game for C. Aldrich
7:26.0,D. Williams makes free throw 1 of 2,1,81-84,,
7:26.0,C. Anthony enters the game for L. Galloway,,81-84,,
7:26.0,D. Williams makes free throw 2 of 2,1,82-84,,
7:16.0,,,82-84,,A. Rivers misses 2-pt shot from 19 ft
7:16.0,Defensive rebound by D. Williams,,82-84,,
7:15.0,,,82-84,,Personal foul by A. Rivers
7:15.0,K. Porzingis enters the game for D. Williams,,82-84,,
7:15.0,,,82-84,,J. Redick enters the game for A. Rivers
7:15.0,,,82-84,,J. Green enters the game for J. Crawford
6:59.0,,,82-84,,Violation by W. Johnson (kicked ball)
6:44.0,Turnover by R. Lopez (lost ball; steal by W. Johnson),,82-84,,
6:31.0,,,82-84,,Turnover by C. Paul (lost ball; steal by R. Lopez)
6:24.0,S. Vujacic makes 2-pt shot from 21 ft (assist by J. Calderon),2,84-84,,
6:07.0,,,84-86,2,J. Redick makes 2-pt shot from 19 ft (assist by J. Green)
5:48.0,C. Anthony misses 2-pt shot from 15 ft,,84-86,,
5:46.0,,,84-86,,Defensive rebound by W. Johnson
5:38.0,,,84-89,3,W. Johnson makes 3-pt shot from 23 ft (assist by J. Redick)
5:14.0,C. Anthony misses 2-pt shot from 2 ft (block by D. Jordan),,84-89,,
5:12.0,,,84-89,,Defensive rebound by C. Paul
5:05.0,,,84-89,,W. Johnson misses 3-pt shot from 25 ft
5:04.0,Defensive rebound by J. Calderon,,84-89,,
5:00.0,K. Porzingis makes 2-pt shot from 1 ft (assist by J. Calderon),2,86-89,,
4:41.0,,,86-89,,J. Redick misses 3-pt shot from 24 ft
4:40.0,Defensive rebound by R. Lopez,,86-89,,
4:25.0,,,86-89,,Personal foul by C. Paul
4:25.0,,,86-89,,LA Clippers full timeout
4:25.0,R. Lopez makes free throw 1 of 2,1,87-89,,
4:25.0,R. Lopez makes free throw 2 of 2,1,88-89,,
4:13.0,,,88-91,2,J. Green makes 2-pt shot from 16 ft (assist by C. Paul)
3:54.0,Shooting foul by D. Jordan (drawn by K. Porzingis),,88-91,,
3:54.0,K. Porzingis makes free throw 1 of 2,1,89-91,,
3:54.0,K. Porzingis makes free throw 2 of 2,1,90-91,,
3:48.0,Personal foul by C. Anthony,,90-91,,
3:36.0,,,90-91,,W. Johnson misses 3-pt shot from 24 ft
3:35.0,,,90-91,,Offensive rebound by D. Jordan
3:29.0,,,90-91,,W. Johnson misses 2-pt shot at rim
3:27.0,Defensive rebound by K. Porzingis,,90-91,,
3:19.0,K. Porzingis misses 2-pt shot from 1 ft,,90-91,,
3:19.0,,,90-91,,Defensive rebound by C. Paul
3:15.0,,,90-93,2,W. Johnson makes 2-pt shot from 1 ft (assist by C. Paul)
3:15.0,New York full timeout,,90-93,,
2:53.0,Turnover by R. Lopez (offensive goaltending),,90-93,,
2:40.0,,,90-96,3,C. Paul makes 3-pt shot from 24 ft
2:22.0,K. Porzingis misses 2-pt shot from 6 ft,,90-96,,
2:20.0,,,90-96,,Defensive rebound by J. Redick
2:12.0,Personal foul by J. Calderon,,90-96,,
2:11.0,,,90-96,,Turnover by D. Jordan (traveling)
1:56.0,K. Porzingis makes 2-pt shot from 20 ft (assist by J. Calderon),2,92-96,,
1:37.0,,,92-96,,C. Paul misses 3-pt shot from 26 ft
1:36.0,Defensive rebound by C. Anthony,,92-96,,
1:19.0,K. Porzingis misses 2-pt shot from 1 ft,,92-96,,
1:19.0,,,92-96,,Defensive rebound by D. Jordan
1:19.0,Personal foul by C. Anthony,,92-96,,
1:19.0,,,92-96,,LA Clippers full timeout
1:07.0,,,92-96,,C. Paul misses 2-pt shot from 2 ft
1:06.0,,,92-96,,Offensive rebound by D. Jordan
1:06.0,,,92-96,,D. Jordan misses 2-pt shot from 1 ft
1:06.0,,,92-96,,Offensive rebound by D. Jordan
