time,Dallas,pts.away,score,pts.home,Memphis
8:40.0,Shooting foul by M. Barnes (drawn by R. Felton),,32-37,,
8:40.0,,,32-37,,Technical foul by R. Hollins
8:40.0,D. Nowitzki makes technical free throw,1,33-37,,
8:40.0,Z. Pachulia enters the game for D. Nowitzki,,33-37,,
8:40.0,C. Parsons enters the game for S. Mejri,,33-37,,
8:40.0,W. Matthews enters the game for J. Anderson,,33-37,,
8:40.0,,,33-37,,M. Conley enters the game for M. Chalmers
8:40.0,,,33-37,,M. Gasol enters the game for R. Hollins
8:40.0,R. Felton misses free throw 1 of 1,,33-37,,
8:34.0,,,33-37,,Defensive rebound by M. Gasol
8:22.0,,,33-37,,M. Conley misses 3-pt shot from 24 ft
8:21.0,Defensive rebound by R. Felton,,33-37,,
8:00.0,J. Barea misses 3-pt shot from 26 ft,,33-37,,
7:59.0,,,33-37,,Defensive rebound by V. Carter
7:52.0,,,33-39,2,J. Green makes 2-pt shot at rim (assist by M. Conley)
7:29.0,C. Parsons makes 2-pt shot from 6 ft (assist by W. Matthews),2,35-39,,
7:14.0,,,35-42,3,M. Barnes makes 3-pt shot from 24 ft (assist by M. Conley)
6:58.0,J. Barea misses 3-pt shot from 24 ft,,35-42,,
6:58.0,,,35-42,,Defensive rebound by M. Barnes
6:55.0,Personal foul by J. Barea,,35-42,,
6:55.0,D. Williams enters the game for R. Felton,,35-42,,
6:48.0,Personal foul by D. Williams (drawn by V. Carter),,35-42,,
6:41.0,,,35-44,2,J. Green makes 2-pt shot at rim (assist by M. Conley)
6:23.0,Shooting foul by M. Gasol (drawn by C. Parsons),,35-44,,
6:23.0,C. Parsons makes free throw 1 of 2,1,36-44,,
6:23.0,C. Parsons misses free throw 2 of 2,,36-44,,
6:21.0,,,36-44,,Defensive rebound by V. Carter
6:03.0,,,36-44,,M. Gasol misses 2-pt shot from 11 ft
6:01.0,Defensive rebound by C. Parsons,,36-44,,
5:54.0,C. Parsons makes 3-pt shot from 24 ft (assist by D. Williams),3,39-44,,
5:34.0,,,39-44,,M. Conley misses 3-pt shot from 24 ft
5:32.0,Defensive rebound by C. Parsons,,39-44,,
5:24.0,Dallas full timeout,,39-44,,
5:24.0,D. Powell enters the game for J. Barea,,39-44,,
5:07.0,W. Matthews misses 3-pt shot from 27 ft,,39-44,,
5:06.0,Offensive rebound by C. Parsons,,39-44,,
5:03.0,C. Parsons misses 2-pt shot from 21 ft,,39-44,,
5:02.0,Offensive rebound by D. Powell,,39-44,,
4:56.0,D. Williams misses 3-pt shot from 23 ft,,39-44,,
4:54.0,,,39-44,,Defensive rebound by M. Gasol
4:37.0,,,39-44,,M. Conley misses 2-pt shot from 17 ft
4:37.0,Defensive rebound by C. Parsons,,39-44,,
4:25.0,D. Powell makes 2-pt shot from 1 ft (assist by D. Williams),2,41-44,,
4:07.0,,,41-44,,Turnover by M. Barnes (bad pass; steal by Z. Pachulia)
3:57.0,C. Parsons makes 2-pt shot from 1 ft,2,43-44,,
3:54.0,,,43-44,,Memphis full timeout
3:54.0,,,43-44,,T. Allen enters the game for M. Barnes
3:54.0,,,43-44,,C. Lee enters the game for V. Carter
3:42.0,,,43-44,,J. Green misses 2-pt shot from 19 ft
3:40.0,Defensive rebound by Z. Pachulia,,43-44,,
3:31.0,C. Parsons misses 3-pt shot from 24 ft,,43-44,,
3:30.0,Offensive rebound by D. Powell,,43-44,,
3:27.0,Turnover by D. Powell (bad pass; steal by C. Lee),,43-44,,
3:08.0,,,43-44,,Turnover by M. Gasol (bad pass; steal by D. Powell)
3:02.0,D. Powell makes 2-pt shot from 2 ft (assist by C. Parsons),2,45-44,,
2:44.0,,,45-46,2,M. Gasol makes 2-pt shot from 15 ft (assist by M. Conley)
2:30.0,C. Parsons makes 2-pt shot at rim (assist by Z. Pachulia),2,47-46,,
2:14.0,Personal foul by Z. Pachulia (drawn by M. Gasol),,47-46,,
2:14.0,,,47-47,1,M. Gasol makes free throw 1 of 2
2:14.0,,,47-47,,M. Chalmers enters the game for M. Conley
2:14.0,D. Nowitzki enters the game for Z. Pachulia,,47-47,,
2:14.0,,,47-47,,Z. Randolph enters the game for J. Green
2:14.0,,,47-48,1,M. Gasol makes free throw 2 of 2
2:04.0,D. Williams misses 2-pt shot from 2 ft,,47-48,,
2:01.0,,,47-48,,Defensive rebound by M. Gasol
1:50.0,,,47-50,2,M. Gasol makes 2-pt shot from 1 ft
1:43.0,D. Williams misses 2-pt shot from 3 ft,,47-50,,
1:39.0,,,47-50,,Defensive rebound by Z. Randolph
1:27.0,,,47-50,,M. Gasol misses 2-pt shot from 17 ft
1:25.0,Defensive rebound by C. Parsons,,47-50,,
1:24.0,,,47-50,,Personal foul by C. Lee (drawn by C. Parsons)
1:13.0,D. Williams makes 2-pt shot from 1 ft,2,49-50,,
0:48.0,,,49-50,,Z. Randolph misses 2-pt shot from 6 ft
0:46.0,,,49-50,,Offensive rebound by T. Allen
0:44.0,,,49-50,,Turnover by T. Allen (lost ball; steal by C. Parsons)
0:38.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Williams),3,52-50,,
0:26.0,,,52-50,,C. Lee misses 3-pt shot from 23 ft
0:26.0,,,52-50,,Offensive rebound by Team
0:26.0,Loose ball foul by D. Powell (drawn by Z. Randolph),,52-50,,
0:26.0,,,52-50,,Z. Randolph misses free throw 1 of 2
0:26.0,,,52-50,,Offensive rebound by Team
0:26.0,,,52-50,,J. Green enters the game for C. Lee
0:26.0,,,52-51,1,Z. Randolph makes free throw 2 of 2
0:05.0,Shooting foul by T. Allen (drawn by D. Powell),,52-51,,
0:05.0,D. Powell makes free throw 1 of 2,1,53-51,,
0:05.0,,,53-51,,V. Carter enters the game for T. Allen
0:05.0,R. Felton enters the game for D. Nowitzki,,53-51,,
0:05.0,D. Powell makes free throw 2 of 2,1,54-51,,
0:02.0,,,54-51,,Shooting foul by D. Powell (drawn by M. Chalmers)
0:02.0,,,54-51,,M. Chalmers misses free throw 1 of 2
0:02.0,,,54-51,,Offensive rebound by Team
0:02.0,,,54-51,,T. Allen enters the game for Z. Randolph
0:02.0,S. Mejri enters the game for R. Felton,,54-51,,
0:02.0,,,54-52,1,M. Chalmers makes free throw 2 of 2
0:00.0,C. Parsons misses 3-pt shot from 63 ft,,54-52,,
0:00.0,Offensive rebound by Team,,54-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Shooting foul by Z. Randolph (drawn by D. Williams),,54-52,,
11:48.0,D. Williams makes free throw 1 of 2,1,55-52,,
11:48.0,D. Williams makes free throw 2 of 2,1,56-52,,
11:31.0,,,56-54,2,M. Conley makes 2-pt shot from 17 ft (assist by M. Gasol)
11:08.0,D. Williams misses 2-pt shot from 18 ft,,56-54,,
11:07.0,,,56-54,,Defensive rebound by T. Allen
10:49.0,Personal foul by W. Matthews (drawn by M. Conley),,56-54,,
10:39.0,,,56-54,,Offensive foul by M. Gasol
10:39.0,,,56-54,,Turnover by M. Gasol (offensive foul)
10:22.0,D. Nowitzki misses 3-pt shot from 24 ft,,56-54,,
10:21.0,,,56-54,,Defensive rebound by M. Gasol
9:58.0,,,56-54,,Turnover by Z. Randolph (bad pass; steal by Z. Pachulia)
9:53.0,C. Parsons makes 2-pt shot from 2 ft (assist by D. Williams),2,58-54,,
9:52.0,,,58-54,,Memphis full timeout
9:37.0,,,58-54,,Turnover by M. Conley (lost ball; steal by D. Williams)
9:14.0,Z. Pachulia misses 2-pt shot from 14 ft,,58-54,,
9:14.0,,,58-54,,Defensive rebound by T. Allen
9:00.0,,,58-54,,M. Gasol misses 2-pt shot from 6 ft
8:58.0,Defensive rebound by Z. Pachulia,,58-54,,
8:44.0,Shooting foul by M. Conley (drawn by D. Nowitzki),,58-54,,
8:44.0,D. Nowitzki misses free throw 1 of 2,,58-54,,
8:44.0,Offensive rebound by Team,,58-54,,
8:44.0,D. Nowitzki makes free throw 2 of 2,1,59-54,,
8:30.0,,,59-56,2,M. Conley makes 2-pt shot from 8 ft
8:30.0,,,59-56,,Shooting foul by D. Williams (drawn by M. Conley)
8:30.0,,,59-57,1,M. Conley makes free throw 1 of 1
8:16.0,W. Matthews makes 3-pt shot from 23 ft (assist by D. Williams),3,62-57,,
8:01.0,,,62-57,,Z. Randolph misses 2-pt shot from 2 ft
7:58.0,,,62-57,,Offensive rebound by Z. Randolph
7:58.0,,,62-57,,Z. Randolph misses 2-pt shot from 3 ft
7:56.0,Defensive rebound by Z. Pachulia,,62-57,,
7:49.0,Shooting foul by M. Conley (drawn by D. Williams),,62-57,,
7:49.0,D. Williams misses free throw 1 of 2,,62-57,,
7:49.0,Offensive rebound by Team,,62-57,,
7:49.0,,,62-57,,M. Barnes enters the game for T. Allen
7:49.0,D. Williams makes free throw 2 of 2,1,63-57,,
7:28.0,,,63-59,2,C. Lee makes 2-pt shot from 11 ft (assist by M. Barnes)
7:16.0,Z. Pachulia misses 2-pt shot from 13 ft,,63-59,,
7:16.0,,,63-59,,Defensive rebound by M. Barnes
7:08.0,,,63-61,2,Z. Randolph makes 2-pt shot from 2 ft (assist by M. Barnes)
7:08.0,Dallas full timeout,,63-61,,
6:51.0,D. Williams makes 3-pt shot from 24 ft (assist by C. Parsons),3,66-61,,
6:32.0,,,66-61,,Z. Randolph misses 2-pt shot from 3 ft
6:29.0,Defensive rebound by D. Williams,,66-61,,
6:23.0,Z. Pachulia misses 2-pt shot from 2 ft (block by M. Gasol),,66-61,,
6:21.0,Offensive rebound by D. Williams,,66-61,,
6:18.0,C. Parsons makes 3-pt shot from 23 ft (assist by D. Williams),3,69-61,,
5:49.0,,,69-64,3,M. Conley makes 3-pt shot from 24 ft (assist by C. Lee)
5:31.0,D. Williams makes 2-pt shot from 22 ft (assist by Z. Pachulia),2,71-64,,
5:15.0,,,71-64,,M. Barnes misses 2-pt shot from 4 ft
5:14.0,,,71-64,,Offensive rebound by Z. Randolph
5:12.0,,,71-64,,Z. Randolph misses 2-pt shot at rim (block by D. Nowitzki)
5:10.0,,,71-64,,Offensive rebound by Z. Randolph
5:10.0,,,71-66,2,Z. Randolph makes 2-pt shot from 2 ft
4:46.0,Shooting foul by M. Barnes (drawn by Z. Pachulia),,71-66,,
4:46.0,Z. Pachulia makes free throw 1 of 2,1,72-66,,
4:46.0,,,72-66,,J. Green enters the game for M. Gasol
4:46.0,R. Felton enters the game for D. Nowitzki,,72-66,,
4:46.0,Z. Pachulia misses free throw 2 of 2,,72-66,,
4:45.0,,,72-66,,Defensive rebound by M. Barnes
4:35.0,,,72-68,2,M. Conley makes 2-pt shot from 8 ft
4:17.0,W. Matthews misses 2-pt shot from 13 ft,,72-68,,
4:14.0,,,72-68,,Defensive rebound by J. Green
3:56.0,,,72-71,3,M. Barnes makes 3-pt shot from 24 ft (assist by J. Green)
3:43.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by D. Williams),2,74-71,,
3:43.0,Shooting foul by Z. Randolph (drawn by Z. Pachulia),,74-71,,
3:43.0,Z. Pachulia makes free throw 1 of 1,1,75-71,,
3:32.0,,,75-71,,Z. Randolph misses 2-pt shot from 2 ft
3:31.0,Defensive rebound by C. Parsons,,75-71,,
3:21.0,D. Williams misses 2-pt shot from 8 ft,,75-71,,
3:19.0,,,75-71,,Defensive rebound by M. Conley
3:14.0,,,75-73,2,C. Lee makes 2-pt shot at rim (assist by M. Conley)
3:01.0,Turnover by Z. Pachulia (lost ball; steal by Z. Randolph),,75-73,,
2:57.0,,,75-75,2,M. Barnes makes 2-pt shot from 2 ft (assist by C. Lee)
2:57.0,Dallas full timeout,,75-75,,
2:43.0,C. Parsons misses 2-pt shot from 2 ft (block by M. Barnes),,75-75,,
2:41.0,,,75-75,,Defensive rebound by M. Conley
2:37.0,,,75-78,3,C. Lee makes 3-pt shot from 24 ft (assist by M. Conley)
2:18.0,W. Matthews misses 2-pt shot from 4 ft (block by C. Lee),,75-78,,
2:16.0,Offensive rebound by Z. Pachulia,,75-78,,
2:12.0,D. Williams misses 3-pt shot from 22 ft,,75-78,,
2:11.0,,,75-78,,Defensive rebound by J. Green
1:49.0,,,75-78,,Z. Randolph misses 2-pt shot from 18 ft
1:49.0,Defensive rebound by R. Felton,,75-78,,
1:39.0,R. Felton makes 2-pt shot from 1 ft,2,77-78,,
1:18.0,,,77-78,,Turnover by Z. Randolph (traveling)
1:18.0,D. Powell enters the game for Z. Pachulia,,77-78,,
1:18.0,D. Nowitzki enters the game for D. Williams,,77-78,,
1:18.0,,,77-78,,M. Chalmers enters the game for M. Conley
1:18.0,J. Barea enters the game for C. Parsons,,77-78,,
1:00.0,Shooting foul by M. Barnes (drawn by W. Matthews),,77-78,,
1:00.0,W. Matthews misses free throw 1 of 2,,77-78,,
1:00.0,Offensive rebound by Team,,77-78,,
1:00.0,W. Matthews misses free throw 2 of 2,,77-78,,
1:00.0,,,77-78,,Defensive rebound by J. Green
0:43.0,,,77-78,,M. Chalmers misses 3-pt shot from 22 ft
0:42.0,Defensive rebound by R. Felton,,77-78,,
0:31.0,R. Felton misses 2-pt shot from 5 ft,,77-78,,
0:31.0,,,77-78,,Defensive rebound by M. Barnes
0:10.0,,,77-80,2,M. Chalmers makes 2-pt shot from 7 ft
0:05.0,,,77-80,,Personal foul by J. Green (drawn by D. Nowitzki)
0:05.0,D. Nowitzki makes free throw 1 of 2,1,78-80,,
0:05.0,D. Nowitzki makes free throw 2 of 2,1,79-80,,
0:00.0,,,79-80,,Z. Randolph misses 3-pt shot from 29 ft
0:00.0,,,79-80,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,79-80,,J. Green misses 2-pt shot from 4 ft
11:43.0,Defensive rebound by D. Powell,,79-80,,
11:32.0,D. Powell makes 2-pt shot from 16 ft (assist by J. Barea),2,81-80,,
11:13.0,,,81-80,,J. Green misses 2-pt shot from 17 ft
11:13.0,,,81-80,,Offensive rebound by Team
11:13.0,Loose ball foul by J. Anderson (drawn by R. Hollins),,81-80,,
11:03.0,,,81-82,2,M. Chalmers makes 2-pt shot from 1 ft
10:44.0,R. Felton misses 2-pt shot from 5 ft,,81-82,,
10:43.0,Offensive rebound by D. Powell,,81-82,,
10:35.0,D. Nowitzki misses 2-pt shot from 8 ft,,81-82,,
10:32.0,Offensive rebound by Team,,81-82,,
10:27.0,Turnover by D. Nowitzki (offensive foul),,81-82,,
10:27.0,Offensive foul by D. Nowitzki,,81-82,,
10:12.0,,,81-84,2,M. Chalmers makes 2-pt shot from 3 ft
10:12.0,,,81-84,,Shooting foul by D. Nowitzki (drawn by M. Chalmers)
10:12.0,,,81-85,1,M. Chalmers makes free throw 1 of 1
10:02.0,Shooting foul by R. Hollins (drawn by J. Anderson),,81-85,,
10:02.0,J. Anderson makes free throw 1 of 2,1,82-85,,
10:02.0,,,82-85,,V. Carter enters the game for C. Lee
10:02.0,J. Anderson misses free throw 2 of 2,,82-85,,
10:01.0,,,82-85,,Defensive rebound by M. Barnes
9:46.0,,,82-85,,J. Green misses 3-pt shot from 25 ft
9:45.0,Defensive rebound by D. Nowitzki,,82-85,,
9:23.0,D. Nowitzki makes 2-pt shot from 9 ft,2,84-85,,
9:11.0,,,84-87,2,M. Chalmers makes 2-pt shot from 4 ft
8:53.0,Shooting foul by R. Hollins (drawn by D. Powell),,84-87,,
8:53.0,Dallas full timeout,,84-87,,
8:53.0,D. Powell makes free throw 1 of 2,1,85-87,,
8:53.0,D. Powell makes free throw 2 of 2,1,86-87,,
8:37.0,,,86-87,,M. Barnes misses 3-pt shot from 22 ft
8:37.0,Defensive rebound by D. Powell,,86-87,,
8:22.0,R. Felton misses 3-pt shot from 25 ft,,86-87,,
8:21.0,,,86-87,,Defensive rebound by M. Barnes
8:13.0,,,86-87,,J. Green misses 3-pt shot from 24 ft
8:11.0,Defensive rebound by J. Anderson,,86-87,,
8:01.0,D. Nowitzki makes 2-pt shot from 10 ft,2,88-87,,
7:44.0,Personal foul by J. Barea,,88-87,,
7:44.0,C. Parsons enters the game for D. Nowitzki,,88-87,,
7:30.0,,,88-87,,J. Green misses 3-pt shot from 25 ft
7:29.0,Defensive rebound by J. Anderson,,88-87,,
7:20.0,J. Barea makes 3-pt shot from 24 ft (assist by R. Felton),3,91-87,,
7:20.0,,,91-87,,Memphis full timeout
7:20.0,,,91-87,,M. Gasol enters the game for R. Hollins
7:20.0,Z. Pachulia enters the game for D. Powell,,91-87,,
7:10.0,,,91-87,,V. Carter misses 3-pt shot from 24 ft
7:08.0,Defensive rebound by J. Anderson,,91-87,,
6:44.0,Turnover by Team (shot clock),,91-87,,
6:35.0,,,91-89,2,J. Green makes 2-pt shot from 3 ft (assist by M. Chalmers)
6:12.0,J. Anderson makes 3-pt shot from 22 ft (assist by J. Barea),3,94-89,,
5:49.0,,,94-89,,Turnover by M. Chalmers (bad pass)
5:49.0,D. Williams enters the game for J. Barea,,94-89,,
5:32.0,D. Williams misses 3-pt shot from 24 ft,,94-89,,
5:31.0,Offensive rebound by Z. Pachulia,,94-89,,
5:27.0,Dallas full timeout,,94-89,,
5:27.0,,,94-89,,Z. Randolph enters the game for M. Chalmers
5:27.0,,,94-89,,M. Conley enters the game for V. Carter
5:27.0,D. Nowitzki enters the game for J. Anderson,,94-89,,
5:15.0,R. Felton makes 3-pt shot from 23 ft (assist by D. Nowitzki),3,97-89,,
4:59.0,,,97-91,2,J. Green makes 2-pt shot at rim (assist by M. Barnes)
4:36.0,D. Williams misses 2-pt shot from 5 ft,,97-91,,
4:35.0,,,97-91,,Defensive rebound by Z. Randolph
4:25.0,Personal foul by Z. Pachulia (drawn by Z. Randolph),,97-91,,
4:13.0,,,97-91,,M. Gasol misses 2-pt shot from 15 ft
4:12.0,Defensive rebound by C. Parsons,,97-91,,
4:03.0,D. Nowitzki misses 3-pt shot from 24 ft,,97-91,,
4:02.0,,,97-91,,Defensive rebound by Z. Randolph
3:51.0,,,97-91,,Shooting foul by Z. Pachulia (drawn by M. Gasol)
3:51.0,,,97-91,,M. Gasol misses free throw 1 of 2
3:51.0,,,97-91,,Offensive rebound by Team
3:51.0,D. Powell enters the game for Z. Pachulia,,97-91,,
3:51.0,,,97-92,1,M. Gasol makes free throw 2 of 2
3:38.0,,,97-92,,Personal foul by M. Conley (drawn by D. Nowitzki)
3:30.0,R. Felton makes 3-pt shot from 24 ft,3,100-92,,
