time,Houston,pts.away,score,pts.home,Portland
8:07.0,,,6-9,2,A. Aminu makes 2-pt shot at rim (assist by D. Lillard)
7:51.0,P. Beverley makes 3-pt shot from 23 ft (assist by J. Smith),3,9-9,,
7:42.0,,,9-12,3,D. Lillard makes 3-pt shot from 25 ft
7:23.0,J. Smith misses 2-pt shot from 15 ft,,9-12,,
7:23.0,Offensive rebound by Team,,9-12,,
7:23.0,,,9-12,,Loose ball foul by N. Vonleh (drawn by D. Howard)
7:14.0,J. Smith misses 3-pt shot from 22 ft,,9-12,,
7:13.0,,,9-12,,Defensive rebound by D. Lillard
7:07.0,,,9-12,,C. McCollum misses 2-pt shot at rim
7:06.0,Defensive rebound by D. Howard,,9-12,,
6:53.0,Shooting foul by N. Vonleh (drawn by D. Howard),,9-12,,
6:53.0,D. Howard misses free throw 1 of 2,,9-12,,
6:53.0,Offensive rebound by Team,,9-12,,
6:53.0,D. Howard misses free throw 2 of 2,,9-12,,
6:52.0,,,9-12,,Defensive rebound by C. McCollum
6:29.0,,,9-14,2,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum)
6:12.0,P. Beverley misses 2-pt shot from 10 ft,,9-14,,
6:10.0,,,9-14,,Defensive rebound by N. Vonleh
6:09.0,,,9-14,,Turnover by N. Vonleh (lost ball; steal by P. Beverley)
6:06.0,P. Beverley makes 2-pt shot from 1 ft,2,11-14,,
5:55.0,,,11-14,,Turnover by M. Plumlee (bad pass; steal by J. Harden)
5:38.0,T. Ariza misses 3-pt shot from 22 ft,,11-14,,
5:38.0,,,11-14,,Defensive rebound by C. McCollum
5:33.0,,,11-16,2,C. McCollum makes 2-pt shot from 13 ft
5:32.0,Houston full timeout,,11-16,,
5:32.0,,,11-16,,A. Crabbe enters the game for C. McCollum
5:32.0,T. Jones enters the game for J. Smith,,11-16,,
5:32.0,T. Lawson enters the game for P. Beverley,,11-16,,
5:16.0,,,11-16,,Personal foul by M. Plumlee (drawn by D. Howard)
5:16.0,,,11-16,,M. Harkless enters the game for N. Vonleh
5:09.0,T. Ariza makes 3-pt shot from 22 ft (assist by T. Lawson),3,14-16,,
4:53.0,,,14-16,,Shooting foul by T. Jones (drawn by A. Aminu)
4:53.0,,,14-17,1,A. Aminu makes free throw 1 of 2
4:53.0,,,14-18,1,A. Aminu makes free throw 2 of 2
4:37.0,Turnover by T. Lawson (bad pass; steal by M. Plumlee),,14-18,,
4:27.0,,,14-20,2,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard)
4:13.0,D. Howard makes 2-pt shot at rim,2,16-20,,
4:02.0,,,16-22,2,M. Harkless makes 2-pt shot from 8 ft (assist by D. Lillard)
3:47.0,J. Harden makes 2-pt shot from 4 ft,2,18-22,,
3:37.0,,,18-25,3,A. Aminu makes 3-pt shot from 25 ft (assist by D. Lillard)
3:17.0,D. Howard misses 2-pt shot from 2 ft,,18-25,,
3:16.0,Offensive rebound by D. Howard,,18-25,,
3:09.0,T. Ariza misses 2-pt shot from 1 ft (block by M. Harkless),,18-25,,
3:09.0,Offensive rebound by Team,,18-25,,
3:09.0,,,18-25,,G. Henderson enters the game for A. Aminu
3:01.0,J. Harden makes 2-pt shot from 1 ft,2,20-25,,
3:01.0,Shooting foul by A. Crabbe (drawn by J. Harden),,20-25,,
3:01.0,J. Harden makes free throw 1 of 1,1,21-25,,
2:48.0,,,21-27,2,G. Henderson makes 2-pt shot from 18 ft (assist by D. Lillard)
2:37.0,Turnover by T. Jones (lost ball),,21-27,,
2:37.0,,,21-27,,Portland full timeout
2:37.0,M. Harrell enters the game for D. Howard,,21-27,,
2:37.0,,,21-27,,E. Davis enters the game for M. Plumlee
2:25.0,Personal foul by M. Harrell (drawn by D. Lillard),,21-27,,
2:13.0,,,21-27,,M. Harkless misses 2-pt shot from 4 ft (block by T. Jones)
2:11.0,,,21-27,,Offensive rebound by E. Davis
2:10.0,,,21-27,,E. Davis misses 2-pt shot from 4 ft
2:09.0,Defensive rebound by M. Harrell,,21-27,,
2:01.0,J. Harden makes 3-pt shot from 25 ft,3,24-27,,
1:35.0,,,24-27,,Offensive foul by M. Harkless
1:35.0,,,24-27,,Turnover by M. Harkless (offensive foul)
1:35.0,C. Brewer enters the game for J. Harden,,24-27,,
1:15.0,Turnover by M. Harrell (3 sec),,24-27,,
0:57.0,,,24-27,,A. Crabbe misses 3-pt shot from 25 ft
0:56.0,Defensive rebound by T. Ariza,,24-27,,
0:51.0,C. Brewer makes 2-pt shot from 1 ft (assist by T. Ariza),2,26-27,,
0:34.0,,,26-29,2,D. Lillard makes 2-pt shot from 1 ft
0:24.0,T. Jones misses 2-pt shot from 6 ft,,26-29,,
0:22.0,,,26-29,,Defensive rebound by E. Davis
0:20.0,,,26-31,2,M. Harkless makes 2-pt shot at rim (assist by A. Crabbe)
0:03.0,T. Lawson makes 2-pt shot from 17 ft,2,28-31,,
0:00.0,,,28-34,3,M. Harkless makes 3-pt shot from 37 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,28-37,3,C. McCollum makes 3-pt shot from 25 ft (assist by G. Henderson)
11:28.0,J. Terry makes 2-pt shot from 18 ft (assist by J. Harden),2,30-37,,
11:21.0,Personal foul by C. Brewer (drawn by C. McCollum),,30-37,,
11:16.0,,,30-37,,Turnover by E. Davis (lost ball; steal by M. Harrell)
11:04.0,J. Harden misses 2-pt shot from 6 ft,,30-37,,
11:03.0,Offensive rebound by T. Jones,,30-37,,
11:02.0,T. Jones makes 2-pt shot at rim,2,32-37,,
10:38.0,,,32-40,3,G. Henderson makes 3-pt shot from 24 ft (assist by M. Harkless)
10:34.0,Turnover by M. Harrell (bad pass; steal by E. Davis),,32-40,,
10:29.0,,,32-40,,G. Henderson misses 2-pt shot from 16 ft
10:27.0,Defensive rebound by C. Brewer,,32-40,,
10:17.0,T. Jones misses 2-pt shot from 3 ft,,32-40,,
10:15.0,Offensive rebound by M. Harrell,,32-40,,
10:15.0,M. Harrell makes 2-pt shot from 1 ft,2,34-40,,
9:57.0,,,34-40,,G. Henderson misses 3-pt shot from 26 ft
9:57.0,Defensive rebound by J. Harden,,34-40,,
9:50.0,J. Harden misses 2-pt shot from 2 ft,,34-40,,
9:49.0,,,34-40,,Defensive rebound by E. Davis
9:32.0,,,34-43,3,G. Henderson makes 3-pt shot from 22 ft (assist by A. Crabbe)
9:10.0,Shooting foul by M. Harkless (drawn by T. Jones),,34-43,,
9:10.0,T. Jones makes free throw 1 of 2,1,35-43,,
9:10.0,D. Howard enters the game for M. Harrell,,35-43,,
9:10.0,,,35-43,,M. Leonard enters the game for M. Harkless
9:10.0,T. Jones misses free throw 2 of 2,,35-43,,
9:09.0,,,35-43,,Defensive rebound by E. Davis
8:55.0,,,35-45,2,C. McCollum makes 2-pt shot from 16 ft
8:40.0,Turnover by J. Harden (lost ball),,35-45,,
8:40.0,Official timeout,,35-45,,
8:40.0,P. Beverley enters the game for T. Jones,,35-45,,
8:29.0,,,35-45,,E. Davis misses 2-pt shot from 2 ft (block by D. Howard)
8:29.0,Defensive rebound by C. Brewer,,35-45,,
8:25.0,J. Harden makes 2-pt shot at rim (assist by C. Brewer),2,37-45,,
8:11.0,Personal foul by P. Beverley (drawn by C. McCollum),,37-45,,
8:04.0,,,37-48,3,M. Leonard makes 3-pt shot from 23 ft (assist by C. McCollum)
7:43.0,J. Harden misses 2-pt shot from 11 ft,,37-48,,
7:41.0,,,37-48,,Defensive rebound by E. Davis
7:31.0,,,37-48,,C. McCollum misses 2-pt shot from 12 ft
7:30.0,,,37-48,,Offensive rebound by E. Davis
7:30.0,,,37-50,2,E. Davis makes 2-pt shot at rim
7:14.0,C. Brewer misses 2-pt shot from 2 ft (block by E. Davis),,37-50,,
7:12.0,,,37-50,,Defensive rebound by M. Leonard
7:05.0,,,37-52,2,E. Davis makes 2-pt shot at rim (assist by G. Henderson)
7:04.0,Houston full timeout,,37-52,,
7:04.0,T. Ariza enters the game for C. Brewer,,37-52,,
7:04.0,J. Smith enters the game for J. Terry,,37-52,,
6:44.0,J. Smith misses 3-pt shot from 24 ft,,37-52,,
6:43.0,,,37-52,,Defensive rebound by E. Davis
6:35.0,,,37-52,,C. McCollum misses 3-pt shot from 26 ft
6:34.0,Defensive rebound by J. Smith,,37-52,,
6:19.0,Turnover by J. Harden (bad pass; steal by A. Crabbe),,37-52,,
6:19.0,Loose ball foul by T. Ariza (drawn by G. Henderson),,37-52,,
6:07.0,,,37-55,3,A. Crabbe makes 3-pt shot from 25 ft (assist by M. Leonard)
5:37.0,P. Beverley makes 2-pt shot from 6 ft (assist by J. Harden),2,39-55,,
5:23.0,,,39-57,2,C. McCollum makes 2-pt shot from 7 ft
5:14.0,Shooting foul by C. McCollum (drawn by D. Howard),,39-57,,
5:14.0,,,39-57,,Portland full timeout
5:14.0,,,39-57,,D. Lillard enters the game for G. Henderson
5:14.0,M. Harrell enters the game for J. Smith,,39-57,,
5:14.0,,,39-57,,A. Aminu enters the game for C. McCollum
5:14.0,D. Howard misses free throw 1 of 2,,39-57,,
5:14.0,Offensive rebound by Team,,39-57,,
5:14.0,D. Howard makes free throw 2 of 2,1,40-57,,
4:54.0,,,40-57,,Turnover by E. Davis (bad pass; steal by D. Howard)
4:51.0,Shooting foul by E. Davis (drawn by J. Harden),,40-57,,
4:51.0,J. Harden misses free throw 1 of 2,,40-57,,
4:51.0,Offensive rebound by Team,,40-57,,
4:51.0,J. Harden misses free throw 2 of 2,,40-57,,
4:50.0,,,40-57,,Defensive rebound by M. Leonard
4:38.0,,,40-57,,Turnover by A. Crabbe (offensive foul)
4:38.0,,,40-57,,Offensive foul by A. Crabbe
4:23.0,T. Ariza misses 3-pt shot from 23 ft,,40-57,,
4:22.0,Offensive rebound by P. Beverley,,40-57,,
4:20.0,Shooting foul by E. Davis (drawn by D. Howard),,40-57,,
4:20.0,D. Howard makes free throw 1 of 2,1,41-57,,
4:20.0,D. Howard misses free throw 2 of 2,,41-57,,
4:19.0,,,41-57,,Defensive rebound by E. Davis
3:58.0,,,41-57,,D. Lillard misses 3-pt shot from 32 ft
3:58.0,Defensive rebound by P. Beverley,,41-57,,
3:45.0,Turnover by J. Harden (lost ball; steal by A. Crabbe),,41-57,,
3:41.0,,,41-57,,Offensive charge foul by A. Aminu
3:41.0,,,41-57,,Turnover by A. Aminu (offensive foul)
3:41.0,,,41-57,,M. Plumlee enters the game for E. Davis
3:29.0,J. Harden makes 2-pt shot from 2 ft (assist by D. Howard),2,43-57,,
3:29.0,,,43-57,,Portland full timeout
3:29.0,,,43-57,,C. McCollum enters the game for A. Crabbe
3:12.0,,,43-57,,Shooting foul by M. Harrell (drawn by M. Plumlee)
3:12.0,,,43-58,1,M. Plumlee makes free throw 1 of 2
3:12.0,,,43-58,,M. Plumlee misses free throw 2 of 2
3:12.0,Defensive rebound by T. Ariza,,43-58,,
3:00.0,Offensive foul by D. Howard,,43-58,,
3:00.0,Turnover by D. Howard (offensive foul),,43-58,,
2:48.0,,,43-58,,Turnover by M. Plumlee (bad pass; steal by T. Ariza)
2:41.0,J. Harden misses 3-pt shot from 24 ft,,43-58,,
2:41.0,,,43-58,,Defensive rebound by A. Aminu
2:30.0,,,43-58,,Shooting foul by D. Howard (drawn by M. Plumlee)
2:30.0,Houston full timeout,,43-58,,
2:30.0,,,43-59,1,M. Plumlee makes free throw 1 of 2
2:30.0,,,43-60,1,M. Plumlee makes free throw 2 of 2
2:13.0,D. Howard makes 2-pt shot at rim,2,45-60,,
1:57.0,,,45-60,,D. Lillard misses 3-pt shot from 30 ft
1:57.0,Defensive rebound by P. Beverley,,45-60,,
1:44.0,J. Harden misses 3-pt shot from 22 ft,,45-60,,
1:43.0,,,45-60,,Defensive rebound by M. Plumlee
1:37.0,Personal foul by T. Ariza (drawn by D. Lillard),,45-60,,
1:37.0,,,45-61,1,D. Lillard makes free throw 1 of 2
1:37.0,,,45-62,1,D. Lillard makes free throw 2 of 2
1:16.0,D. Howard makes 2-pt shot at rim (assist by T. Ariza),2,47-62,,
1:05.0,,,47-62,,M. Leonard misses 3-pt shot from 23 ft
1:04.0,Defensive rebound by P. Beverley,,47-62,,
0:58.0,J. Harden misses 3-pt shot from 25 ft,,47-62,,
0:57.0,,,47-62,,Defensive rebound by D. Lillard
0:47.0,,,47-62,,A. Aminu misses 3-pt shot from 25 ft
0:47.0,Defensive rebound by D. Howard,,47-62,,
0:43.0,P. Beverley makes 2-pt shot at rim (assist by D. Howard),2,49-62,,
0:43.0,,,49-62,,Violation by A. Aminu (def goaltending)
0:34.0,Personal foul by T. Ariza (drawn by D. Lillard),,49-62,,
0:34.0,,,49-63,1,D. Lillard makes free throw 1 of 2
0:34.0,,,49-64,1,D. Lillard makes free throw 2 of 2
0:27.0,J. Harden misses 3-pt shot from 24 ft,,49-64,,
0:27.0,Offensive rebound by M. Harrell,,49-64,,
0:27.0,Turnover by M. Harrell (offensive goaltending),,49-64,,
0:27.0,,,49-64,,A. Crabbe enters the game for M. Plumlee
0:27.0,C. Brewer enters the game for M. Harrell,,49-64,,
0:13.0,,,49-64,,D. Lillard misses 3-pt shot from 27 ft
0:13.0,Defensive rebound by C. Brewer,,49-64,,
0:02.0,Offensive foul by J. Harden,,49-64,,
0:02.0,Turnover by J. Harden (offensive foul),,49-64,,
0:00.0,,,49-64,,C. McCollum misses 3-pt shot from 29 ft
0:00.0,,,49-64,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,49-67,3,A. Aminu makes 3-pt shot from 23 ft (assist by D. Lillard)
11:20.0,D. Howard makes 2-pt shot from 4 ft (assist by T. Ariza),2,51-67,,
11:07.0,Personal foul by J. Smith (drawn by M. Plumlee),,51-67,,
11:01.0,,,51-67,,Turnover by M. Plumlee (lost ball; steal by J. Harden)
10:56.0,,,51-67,,Personal foul by N. Vonleh (drawn by D. Howard)
10:47.0,T. Ariza misses 2-pt shot from 2 ft,,51-67,,
10:46.0,,,51-67,,Defensive rebound by A. Aminu
10:36.0,,,51-67,,A. Aminu misses 3-pt shot from 25 ft
10:36.0,Defensive rebound by J. Smith,,51-67,,
10:17.0,J. Smith misses 2-pt shot from 5 ft,,51-67,,
10:16.0,,,51-67,,Defensive rebound by M. Plumlee
10:08.0,,,51-69,2,C. McCollum makes 2-pt shot from 12 ft
9:48.0,D. Howard misses 2-pt shot from 7 ft,,51-69,,
9:46.0,,,51-69,,Defensive rebound by D. Lillard
9:38.0,,,51-72,3,C. McCollum makes 3-pt shot from 25 ft (assist by A. Aminu)
9:37.0,Houston full timeout,,51-72,,
9:27.0,Turnover by J. Smith (bad pass),,51-72,,
9:12.0,,,51-72,,D. Lillard misses 2-pt shot from 14 ft
9:12.0,Defensive rebound by D. Howard,,51-72,,
9:02.0,J. Smith misses 2-pt shot from 11 ft,,51-72,,
8:59.0,Offensive rebound by D. Howard,,51-72,,
8:59.0,D. Howard makes 2-pt shot at rim,2,53-72,,
8:45.0,,,53-74,2,C. McCollum makes 2-pt shot from 14 ft (assist by D. Lillard)
8:33.0,J. Harden misses 2-pt shot from 15 ft,,53-74,,
8:31.0,Offensive rebound by J. Harden,,53-74,,
8:26.0,P. Beverley makes 3-pt shot from 23 ft (assist by J. Harden),3,56-74,,
8:06.0,,,56-76,2,N. Vonleh makes 2-pt shot from 20 ft (assist by C. McCollum)
7:57.0,,,56-76,,Personal foul by C. McCollum (drawn by D. Howard)
7:53.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,58-76,,
7:39.0,Personal foul by P. Beverley (drawn by C. McCollum),,58-76,,
7:28.0,,,58-76,,Turnover by A. Aminu (dbl dribble)
7:18.0,J. Smith misses 3-pt shot from 24 ft,,58-76,,
7:18.0,,,58-76,,Defensive rebound by D. Lillard
7:14.0,,,58-76,,Turnover by D. Lillard (bad pass; steal by P. Beverley)
7:07.0,Shooting foul by C. McCollum (drawn by T. Ariza),,58-76,,
7:07.0,T. Ariza makes free throw 1 of 3,1,59-76,,
7:07.0,T. Ariza makes free throw 2 of 3,1,60-76,,
7:07.0,T. Ariza makes free throw 3 of 3,1,61-76,,
6:54.0,,,61-79,3,A. Aminu makes 3-pt shot from 26 ft (assist by M. Plumlee)
6:46.0,Offensive foul by D. Howard,,61-79,,
6:46.0,Turnover by D. Howard (offensive foul),,61-79,,
6:26.0,Shooting block foul by J. Smith (drawn by D. Lillard),,61-79,,
6:26.0,,,61-80,1,D. Lillard makes free throw 1 of 2
6:26.0,,,61-81,1,D. Lillard makes free throw 2 of 2
6:15.0,J. Harden makes 2-pt shot at rim (assist by J. Smith),2,63-81,,
6:00.0,,,63-81,,M. Plumlee misses 2-pt shot from 7 ft
5:57.0,Defensive rebound by D. Howard,,63-81,,
5:51.0,J. Smith makes 2-pt shot from 5 ft,2,65-81,,
5:39.0,Personal foul by P. Beverley (drawn by N. Vonleh),,65-81,,
5:39.0,J. Terry enters the game for J. Smith,,65-81,,
5:39.0,,,65-81,,A. Crabbe enters the game for C. McCollum
5:34.0,,,65-81,,Shooting foul by D. Howard (drawn by D. Lillard)
5:34.0,,,65-82,1,D. Lillard makes free throw 1 of 2
5:34.0,,,65-82,,M. Harkless enters the game for N. Vonleh
5:34.0,M. Harrell enters the game for D. Howard,,65-82,,
5:34.0,,,65-83,1,D. Lillard makes free throw 2 of 2
5:23.0,J. Harden makes 2-pt shot from 2 ft,2,67-83,,
5:06.0,,,67-85,2,M. Harkless makes 2-pt shot at rim (assist by M. Plumlee)
4:43.0,P. Beverley misses 2-pt shot from 6 ft,,67-85,,
4:42.0,Offensive rebound by J. Harden,,67-85,,
4:38.0,M. Harrell makes 2-pt shot from 1 ft (assist by J. Harden),2,69-85,,
4:26.0,,,69-85,,D. Lillard misses 3-pt shot from 28 ft
4:26.0,Defensive rebound by J. Harden,,69-85,,
4:08.0,P. Beverley misses 3-pt shot from 24 ft,,69-85,,
4:08.0,Offensive rebound by T. Ariza,,69-85,,
4:03.0,J. Terry makes 3-pt shot from 26 ft (assist by T. Ariza),3,72-85,,
4:03.0,,,72-85,,Portland full timeout
4:03.0,,,72-85,,E. Davis enters the game for A. Aminu
4:03.0,,,72-85,,G. Henderson enters the game for M. Plumlee
3:39.0,,,72-85,,Turnover by G. Henderson (lost ball)
3:15.0,J. Harden misses 2-pt shot from 10 ft,,72-85,,
3:14.0,Offensive rebound by P. Beverley,,72-85,,
3:02.0,J. Terry makes 3-pt shot from 25 ft (assist by P. Beverley),3,75-85,,
2:46.0,Personal foul by P. Beverley (drawn by G. Henderson),,75-85,,
2:46.0,,,75-86,1,G. Henderson makes free throw 1 of 2
2:46.0,C. Brewer enters the game for P. Beverley,,75-86,,
2:46.0,,,75-86,,G. Henderson misses free throw 2 of 2
2:45.0,,,75-86,,Offensive rebound by M. Harkless
2:34.0,Personal foul by J. Harden (drawn by A. Crabbe),,75-86,,
2:34.0,,,75-87,1,A. Crabbe makes free throw 1 of 2
2:34.0,,,75-87,,C. McCollum enters the game for D. Lillard
2:34.0,,,75-87,,A. Crabbe misses free throw 2 of 2
2:33.0,Defensive rebound by T. Ariza,,75-87,,
2:21.0,T. Ariza misses 3-pt shot from 25 ft,,75-87,,
2:20.0,,,75-87,,Defensive rebound by C. McCollum
2:18.0,,,75-87,,Shooting foul by J. Terry (drawn by M. Harkless)
2:18.0,,,75-88,1,M. Harkless makes free throw 1 of 2
2:18.0,K. McDaniels enters the game for T. Ariza,,75-88,,
2:18.0,,,75-89,1,M. Harkless makes free throw 2 of 2
2:03.0,J. Harden makes 3-pt shot from 25 ft (assist by M. Harrell),3,78-89,,
1:38.0,,,78-89,,Offensive charge foul by M. Harkless
1:38.0,,,78-89,,Turnover by M. Harkless (offensive foul)
1:28.0,,,78-89,,Personal foul by A. Crabbe (drawn by J. Harden)
1:16.0,J. Harden makes 2-pt shot from 12 ft,2,80-89,,
0:58.0,,,80-91,2,G. Henderson makes 2-pt shot from 22 ft
0:38.0,J. Harden makes 3-pt shot from 25 ft (assist by M. Harrell),3,83-91,,
0:32.0,,,83-91,,C. McCollum misses 2-pt shot from 10 ft
0:31.0,Defensive rebound by M. Harrell,,83-91,,
0:10.0,J. Harden makes 3-pt shot from 29 ft,3,86-91,,
0:03.0,,,86-91,,M. Harkless misses 2-pt shot from 3 ft
0:02.0,,,86-91,,Offensive rebound by E. Davis
0:02.0,,,86-93,2,E. Davis makes 2-pt shot at rim
0:00.0,J. Terry misses 3-pt shot from 36 ft,,86-93,,
0:00.0,Offensive rebound by Team,,86-93,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,J. Harden makes 2-pt shot from 1 ft,2,88-93,,
11:46.0,Shooting foul by A. Crabbe (drawn by J. Harden),,88-93,,
11:46.0,J. Harden makes free throw 1 of 1,1,89-93,,
11:29.0,,,89-93,,A. Crabbe misses 2-pt shot from 17 ft
11:28.0,Defensive rebound by T. Ariza,,89-93,,
11:13.0,T. Ariza misses 3-pt shot from 26 ft,,89-93,,
11:12.0,,,89-93,,Defensive rebound by C. McCollum
11:09.0,,,89-93,,Turnover by C. McCollum (bad pass; steal by T. Ariza)
10:56.0,,,89-93,,Personal foul by M. Harkless (drawn by J. Harden)
10:46.0,Offensive charge foul by T. Ariza,,89-93,,
10:46.0,Turnover by T. Ariza (offensive foul),,89-93,,
10:32.0,,,89-93,,Turnover by G. Henderson (bad pass; steal by C. Brewer)
10:21.0,J. Terry misses 3-pt shot from 23 ft,,89-93,,
10:20.0,,,89-93,,Defensive rebound by E. Davis
10:13.0,,,89-93,,A. Crabbe misses 3-pt shot from 23 ft
10:12.0,Defensive rebound by T. Ariza,,89-93,,
10:04.0,T. Ariza misses 3-pt shot from 25 ft,,89-93,,
10:04.0,,,89-93,,Defensive rebound by A. Crabbe
9:42.0,,,89-93,,C. McCollum misses 2-pt shot from 9 ft
9:42.0,Defensive rebound by J. Terry,,89-93,,
9:38.0,Houston full timeout,,89-93,,
9:38.0,,,89-93,,D. Lillard enters the game for A. Crabbe
9:31.0,J. Terry misses 2-pt shot from 13 ft,,89-93,,
9:30.0,,,89-93,,Defensive rebound by E. Davis
9:19.0,,,89-93,,D. Lillard misses 2-pt shot from 10 ft
9:17.0,Defensive rebound by T. Ariza,,89-93,,
9:12.0,J. Harden makes 2-pt shot from 1 ft (assist by C. Brewer),2,91-93,,
8:53.0,,,91-93,,D. Lillard misses 2-pt shot from 11 ft
8:53.0,,,91-93,,Offensive rebound by E. Davis
8:48.0,,,91-95,2,G. Henderson makes 2-pt shot from 20 ft (assist by E. Davis)
8:23.0,T. Ariza misses 3-pt shot from 23 ft,,91-95,,
8:22.0,Offensive rebound by C. Brewer,,91-95,,
8:19.0,C. Brewer makes 2-pt shot at rim,2,93-95,,
7:57.0,,,93-95,,Offensive foul by M. Harkless
7:57.0,,,93-95,,Turnover by M. Harkless (offensive foul)
7:57.0,,,93-95,,M. Plumlee enters the game for E. Davis
7:40.0,J. Harden makes 2-pt shot from 1 ft,2,95-95,,
7:15.0,,,95-95,,Turnover by M. Plumlee (bad pass; steal by J. Terry)
7:08.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,97-95,,
7:08.0,,,97-95,,Portland full timeout
7:08.0,,,97-95,,A. Aminu enters the game for M. Harkless
6:46.0,,,97-95,,Turnover by C. McCollum (lost ball; steal by D. Howard)
6:39.0,C. Brewer makes 3-pt shot from 22 ft (assist by T. Ariza),3,100-95,,
6:15.0,,,100-95,,A. Aminu misses 3-pt shot from 23 ft
6:15.0,Defensive rebound by D. Howard,,100-95,,
5:51.0,J. Terry misses 2-pt shot from 2 ft (block by M. Plumlee),,100-95,,
5:51.0,Offensive rebound by Team,,100-95,,
5:51.0,Turnover by Team (shot clock),,100-95,,
5:31.0,,,100-95,,Shooting foul by J. Harden (drawn by M. Plumlee)
5:31.0,,,100-96,1,M. Plumlee makes free throw 1 of 2
5:31.0,,,100-96,,M. Plumlee misses free throw 2 of 2
5:30.0,Defensive rebound by T. Ariza,,100-96,,
5:07.0,Turnover by Team (shot clock),,100-96,,
4:44.0,,,100-96,,Turnover by A. Aminu (lost ball; steal by T. Ariza)
4:41.0,Shooting foul by M. Plumlee (drawn by C. Brewer),,100-96,,
4:41.0,C. Brewer makes free throw 1 of 2,1,101-96,,
4:41.0,C. Brewer makes free throw 2 of 2,1,102-96,,
4:27.0,,,102-96,,C. McCollum misses 3-pt shot from 26 ft
4:26.0,Defensive rebound by D. Howard,,102-96,,
4:09.0,Shooting foul by G. Henderson (drawn by J. Harden),,102-96,,
4:09.0,J. Harden makes free throw 1 of 2,1,103-96,,
4:09.0,,,103-96,,A. Crabbe enters the game for G. Henderson
4:09.0,J. Harden makes free throw 2 of 2,1,104-96,,
4:02.0,,,104-98,2,D. Lillard makes 2-pt shot from 1 ft
3:42.0,J. Harden makes 2-pt shot from 14 ft,2,106-98,,
3:32.0,,,106-98,,D. Lillard misses 3-pt shot from 24 ft
3:31.0,,,106-98,,Offensive rebound by C. McCollum
3:26.0,,,106-98,,D. Lillard misses 3-pt shot from 26 ft
3:26.0,Defensive rebound by D. Howard,,106-98,,
3:16.0,,,106-98,,Personal take foul by M. Plumlee (drawn by D. Howard)
3:16.0,D. Howard misses free throw 1 of 2,,106-98,,
3:16.0,Offensive rebound by Team,,106-98,,
3:16.0,D. Howard misses free throw 2 of 2,,106-98,,
3:14.0,,,106-98,,Defensive rebound by A. Aminu
2:59.0,Personal foul by C. Brewer (drawn by A. Crabbe),,106-98,,
2:59.0,Official timeout,,106-98,,
