time,Brooklyn,pts.away,score,pts.home,San Antonio
0:55.0,Defensive rebound by T. Young,,19-20,,
0:43.0,T. Young makes 2-pt shot from 4 ft,2,21-20,,
0:28.0,,,21-22,2,M. Ginobili makes 2-pt shot from 5 ft
0:04.0,S. Larkin misses 2-pt shot from 2 ft,,21-22,,
0:03.0,,,21-22,,Defensive rebound by B. Diaw
0:00.0,,,21-25,3,R. Butler makes 3-pt shot from 24 ft (assist by M. Ginobili)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,21-25,,R. Butler misses 3-pt shot from 25 ft
11:46.0,Defensive rebound by B. Bogdanovic,,21-25,,
11:38.0,B. Bogdanovic makes 2-pt shot from 5 ft,2,23-25,,
11:21.0,,,23-25,,M. Ginobili misses 2-pt shot from 2 ft (block by S. Larkin)
11:19.0,Defensive rebound by A. Bargnani,,23-25,,
11:02.0,B. Bogdanovic makes 2-pt shot from 2 ft,2,25-25,,
10:48.0,,,25-25,,R. Butler misses 2-pt shot from 6 ft
10:47.0,Defensive rebound by T. Robinson,,25-25,,
10:37.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft,2,27-25,,
10:36.0,,,27-25,,San Antonio full timeout
10:36.0,,,27-25,,D. Green enters the game for M. Ginobili
10:18.0,,,27-27,2,B. Diaw makes 2-pt shot from 2 ft (assist by P. Mills)
10:06.0,A. Bargnani makes 2-pt shot from 16 ft (assist by S. Larkin),2,29-27,,
9:53.0,,,29-27,,D. Green misses 3-pt shot from 27 ft
9:51.0,,,29-27,,Offensive rebound by D. Green
9:35.0,,,29-27,,D. West misses 2-pt shot from 2 ft (block by T. Robinson)
9:34.0,Defensive rebound by R. Hollis-Jefferson,,29-27,,
9:25.0,S. Larkin makes 2-pt shot from 1 ft,2,31-27,,
9:04.0,,,31-29,2,B. Diaw makes 2-pt shot from 22 ft (assist by P. Mills)
8:46.0,A. Bargnani makes 3-pt shot from 24 ft (assist by S. Larkin),3,34-29,,
8:35.0,,,34-29,,P. Mills misses 3-pt shot from 26 ft
8:34.0,Defensive rebound by T. Robinson,,34-29,,
8:24.0,B. Bogdanovic misses 3-pt shot from 23 ft,,34-29,,
8:23.0,,,34-29,,Defensive rebound by R. Butler
8:10.0,,,34-31,2,D. West makes 2-pt shot from 6 ft (assist by D. Green)
7:57.0,Official timeout,,34-31,,
7:57.0,,,34-31,,K. Leonard enters the game for P. Mills
7:57.0,,,34-31,,T. Parker enters the game for B. Diaw
7:57.0,,,34-31,,T. Duncan enters the game for R. Butler
7:48.0,A. Bargnani misses 2-pt shot from 16 ft,,34-31,,
7:47.0,,,34-31,,Defensive rebound by K. Leonard
7:41.0,,,34-31,,Turnover by T. Duncan (bad pass)
7:32.0,B. Lopez enters the game for A. Bargnani,,34-31,,
7:32.0,J. Jack enters the game for S. Larkin,,34-31,,
7:26.0,Shooting foul by K. Leonard (drawn by B. Bogdanovic),,34-31,,
7:26.0,B. Bogdanovic misses free throw 1 of 2,,34-31,,
7:26.0,Offensive rebound by Team,,34-31,,
7:26.0,B. Bogdanovic misses free throw 2 of 2,,34-31,,
7:26.0,,,34-31,,Defensive rebound by T. Duncan
7:06.0,,,34-31,,T. Parker misses 2-pt shot from 2 ft
7:05.0,Defensive rebound by T. Robinson,,34-31,,
6:49.0,B. Lopez makes 2-pt shot from 7 ft,2,36-31,,
6:40.0,,,36-31,,Offensive foul by D. West
6:40.0,,,36-31,,Turnover by D. West (offensive foul)
6:40.0,,,36-31,,Technical foul by Team
6:40.0,B. Lopez makes technical free throw,1,37-31,,
6:40.0,J. Johnson enters the game for B. Bogdanovic,,37-31,,
6:29.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by B. Lopez),2,39-31,,
6:17.0,,,39-31,,Turnover by D. Green (illegal screen)
6:17.0,,,39-31,,L. Aldridge enters the game for D. West
6:17.0,,,39-31,,K. Anderson enters the game for K. Leonard
6:04.0,B. Lopez misses 2-pt shot from 17 ft,,39-31,,
6:02.0,,,39-31,,Defensive rebound by L. Aldridge
5:57.0,,,39-31,,L. Aldridge misses 2-pt shot from 15 ft
5:54.0,Defensive rebound by J. Johnson,,39-31,,
5:42.0,J. Jack makes 2-pt shot from 17 ft (assist by B. Lopez),2,41-31,,
5:25.0,,,41-31,,Turnover by D. Green (bad pass)
5:25.0,,,41-31,,San Antonio full timeout
5:25.0,Violation by Team (delay of game),,41-31,,
5:22.0,,,41-31,,M. Ginobili enters the game for D. Green
5:09.0,J. Johnson misses 2-pt shot from 19 ft,,41-31,,
5:07.0,,,41-31,,Defensive rebound by M. Ginobili
4:55.0,,,41-31,,M. Ginobili misses 3-pt shot from 26 ft
4:53.0,,,41-31,,Offensive rebound by L. Aldridge
4:53.0,,,41-33,2,L. Aldridge makes 2-pt shot at rim
4:43.0,,,41-33,,Personal foul by K. Anderson (drawn by J. Johnson)
4:43.0,T. Young enters the game for T. Robinson,,41-33,,
4:43.0,W. Ellington enters the game for R. Hollis-Jefferson,,41-33,,
4:38.0,,,41-33,,Personal foul by K. Anderson (drawn by J. Johnson)
4:23.0,T. Young misses 2-pt shot from 3 ft (block by K. Anderson),,41-33,,
4:21.0,,,41-33,,Defensive rebound by K. Anderson
4:17.0,,,41-33,,T. Duncan misses 2-pt shot from 1 ft
4:16.0,,,41-33,,Offensive rebound by L. Aldridge
4:16.0,,,41-35,2,L. Aldridge makes 2-pt shot from 2 ft
3:59.0,T. Young misses 2-pt shot from 15 ft,,41-35,,
3:58.0,,,41-35,,Defensive rebound by M. Ginobili
3:53.0,Personal foul by W. Ellington (drawn by M. Ginobili),,41-35,,
3:42.0,Personal foul by T. Young (drawn by K. Anderson),,41-35,,
3:34.0,,,41-35,,Turnover by L. Aldridge (traveling)
3:18.0,Shooting foul by T. Parker (drawn by T. Young),,41-35,,
3:18.0,T. Young makes 2-pt shot from 3 ft (assist by J. Jack),2,43-35,,
3:18.0,T. Young misses free throw 1 of 1,,43-35,,
3:17.0,,,43-35,,Defensive rebound by K. Anderson
3:03.0,,,43-35,,Offensive foul by T. Duncan
3:03.0,,,43-35,,Turnover by T. Duncan (offensive foul)
2:45.0,B. Lopez misses 2-pt shot from 13 ft,,43-35,,
2:45.0,Offensive rebound by Team,,43-35,,
2:45.0,Brooklyn full timeout,,43-35,,
2:44.0,,,43-35,,K. Leonard enters the game for K. Anderson
2:26.0,J. Jack misses 2-pt shot from 18 ft,,43-35,,
2:25.0,,,43-35,,Defensive rebound by L. Aldridge
2:07.0,,,43-37,2,K. Leonard makes 2-pt shot from 6 ft (assist by L. Aldridge)
1:56.0,J. Johnson misses 2-pt shot from 14 ft,,43-37,,
1:55.0,,,43-37,,Defensive rebound by K. Leonard
1:50.0,,,43-37,,Turnover by K. Leonard (lost ball; steal by J. Johnson)
1:45.0,W. Ellington misses 2-pt shot from 1 ft (block by K. Leonard),,43-37,,
1:42.0,Offensive rebound by T. Young,,43-37,,
1:41.0,J. Jack misses 2-pt shot from 1 ft,,43-37,,
1:41.0,,,43-37,,Defensive rebound by K. Leonard
1:41.0,Personal foul by W. Ellington (drawn by K. Leonard),,43-37,,
1:41.0,B. Bogdanovic enters the game for J. Johnson,,43-37,,
1:41.0,R. Hollis-Jefferson enters the game for W. Ellington,,43-37,,
1:26.0,,,43-37,,L. Aldridge misses 2-pt shot at rim
1:24.0,,,43-37,,Offensive rebound by L. Aldridge
1:24.0,,,43-39,2,L. Aldridge makes 2-pt shot at rim
1:09.0,Turnover by B. Bogdanovic (traveling),,43-39,,
0:56.0,,,43-39,,M. Ginobili misses 3-pt shot from 25 ft
0:55.0,Defensive rebound by J. Jack,,43-39,,
0:44.0,T. Young makes 2-pt shot from 6 ft (assist by J. Jack),2,45-39,,
0:29.0,,,45-39,,T. Duncan misses 2-pt shot from 13 ft
0:28.0,Defensive rebound by J. Jack,,45-39,,
0:18.0,Brooklyn full timeout,,45-39,,
0:18.0,A. Bargnani enters the game for T. Young,,45-39,,
0:18.0,W. Ellington enters the game for R. Hollis-Jefferson,,45-39,,
0:12.0,J. Jack makes 2-pt shot from 17 ft,2,47-39,,
0:00.0,,,47-42,3,M. Ginobili makes 3-pt shot from 24 ft (assist by T. Parker)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,47-44,2,T. Parker makes 2-pt shot at rim
11:25.0,W. Ellington makes 3-pt shot from 23 ft (assist by J. Jack),3,50-44,,
11:14.0,,,50-46,2,T. Parker makes 2-pt shot from 20 ft
11:04.0,B. Lopez misses 2-pt shot from 21 ft,,50-46,,
11:03.0,,,50-46,,Defensive rebound by L. Aldridge
10:43.0,,,50-48,2,T. Parker makes 2-pt shot from 6 ft
10:24.0,J. Jack makes 3-pt shot from 25 ft (assist by J. Johnson),3,53-48,,
10:10.0,Personal foul by T. Young (drawn by L. Aldridge),,53-48,,
9:57.0,,,53-50,2,T. Parker makes 2-pt shot from 17 ft (assist by L. Aldridge)
9:56.0,Brooklyn full timeout,,53-50,,
9:37.0,B. Lopez makes 2-pt shot from 6 ft,2,55-50,,
9:18.0,,,55-52,2,K. Leonard makes 2-pt shot from 12 ft (assist by T. Parker)
9:06.0,Turnover by B. Lopez (traveling),,55-52,,
8:48.0,,,55-54,2,K. Leonard makes 2-pt shot from 13 ft
8:28.0,W. Ellington misses 3-pt shot from 23 ft,,55-54,,
8:27.0,,,55-54,,Defensive rebound by K. Leonard
8:11.0,,,55-57,3,D. Green makes 3-pt shot from 24 ft (assist by L. Aldridge)
7:56.0,J. Jack makes 3-pt shot from 25 ft,3,58-57,,
7:31.0,,,58-57,,K. Leonard misses 2-pt shot from 19 ft
7:30.0,Defensive rebound by T. Young,,58-57,,
7:24.0,,,58-57,,Personal foul by T. Parker (drawn by T. Young)
7:24.0,B. Bogdanovic enters the game for W. Ellington,,58-57,,
7:18.0,Turnover by J. Jack (traveling),,58-57,,
7:00.0,,,58-57,,Turnover by K. Leonard (step out of bounds)
6:50.0,T. Young misses 2-pt shot from 9 ft,,58-57,,
6:49.0,,,58-57,,Defensive rebound by T. Duncan
6:31.0,,,58-57,,T. Duncan misses 2-pt shot from 18 ft
6:30.0,,,58-57,,Offensive rebound by D. Green
6:30.0,,,58-59,2,D. Green makes 2-pt shot at rim
6:15.0,Offensive foul by J. Johnson,,58-59,,
6:15.0,Turnover by J. Johnson (offensive foul),,58-59,,
6:06.0,,,58-61,2,K. Leonard makes 2-pt shot at rim (assist by T. Duncan)
5:55.0,,,58-61,,Personal foul by T. Parker (drawn by J. Jack)
5:55.0,,,58-61,,B. Diaw enters the game for T. Duncan
5:55.0,R. Hollis-Jefferson enters the game for J. Johnson,,58-61,,
5:55.0,A. Bargnani enters the game for T. Young,,58-61,,
5:55.0,,,58-61,,M. Ginobili enters the game for D. Green
5:45.0,B. Lopez misses 2-pt shot from 1 ft (block by L. Aldridge),,58-61,,
5:44.0,,,58-61,,Defensive rebound by K. Leonard
5:36.0,,,58-63,2,K. Leonard makes 2-pt shot from 16 ft (assist by T. Parker)
5:36.0,Brooklyn full timeout,,58-63,,
5:36.0,,,58-63,,P. Mills enters the game for T. Parker
5:36.0,S. Larkin enters the game for J. Jack,,58-63,,
5:22.0,A. Bargnani misses 2-pt shot from 1 ft,,58-63,,
5:21.0,,,58-63,,Defensive rebound by M. Ginobili
5:03.0,,,58-63,,K. Leonard misses 2-pt shot from 4 ft
5:03.0,,,58-63,,Offensive rebound by Team
5:03.0,,,58-63,,Turnover by K. Leonard (traveling)
4:48.0,Shooting foul by K. Leonard (drawn by B. Lopez),,58-63,,
4:48.0,B. Lopez makes free throw 1 of 2,1,59-63,,
4:48.0,B. Lopez makes free throw 2 of 2,1,60-63,,
4:33.0,,,60-66,3,M. Ginobili makes 3-pt shot from 25 ft (assist by B. Diaw)
4:13.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft,,60-66,,
4:12.0,,,60-66,,Defensive rebound by L. Aldridge
4:06.0,,,60-66,,M. Ginobili misses 3-pt shot from 25 ft
4:04.0,Defensive rebound by R. Hollis-Jefferson,,60-66,,
4:03.0,Turnover by R. Hollis-Jefferson (lost ball; steal by K. Leonard),,60-66,,
4:00.0,,,60-68,2,K. Leonard makes 2-pt shot at rim
3:42.0,B. Lopez makes 2-pt shot from 13 ft,2,62-68,,
3:22.0,,,62-70,2,P. Mills makes 2-pt shot from 1 ft
2:59.0,Turnover by R. Hollis-Jefferson (lost ball; steal by M. Ginobili),,62-70,,
2:38.0,,,62-70,,K. Leonard misses 2-pt shot from 20 ft
2:37.0,,,62-70,,Offensive rebound by Team
2:35.0,,,62-70,,L. Aldridge misses 2-pt shot from 16 ft
2:34.0,Defensive rebound by B. Bogdanovic,,62-70,,
2:19.0,,,62-70,,Def 3 sec tech foul by K. Leonard
2:19.0,B. Lopez misses technical free throw,,62-70,,
2:19.0,Offensive rebound by Team,,62-70,,
2:13.0,Offensive foul by B. Lopez,,62-70,,
2:13.0,Turnover by B. Lopez (offensive foul),,62-70,,
2:13.0,,,62-70,,San Antonio full timeout
2:13.0,,,62-70,,D. Green enters the game for K. Leonard
2:13.0,T. Robinson enters the game for B. Lopez,,62-70,,
2:01.0,,,62-70,,Offensive foul by B. Diaw
2:01.0,,,62-70,,Turnover by B. Diaw (offensive foul)
2:01.0,,,62-70,,T. Duncan enters the game for L. Aldridge
1:48.0,T. Robinson makes 2-pt shot from 7 ft (assist by S. Larkin),2,64-70,,
1:28.0,,,64-73,3,P. Mills makes 3-pt shot from 24 ft (assist by B. Diaw)
1:14.0,Turnover by T. Robinson (bad pass; steal by B. Diaw),,64-73,,
1:00.0,,,64-76,3,B. Diaw makes 3-pt shot from 25 ft (assist by P. Mills)
0:38.0,B. Bogdanovic misses 3-pt shot from 22 ft,,64-76,,
0:37.0,,,64-76,,Defensive rebound by B. Diaw
0:33.0,Personal block foul by B. Bogdanovic (drawn by M. Ginobili),,64-76,,
0:30.0,,,64-76,,M. Ginobili misses 2-pt shot from 2 ft (block by R. Hollis-Jefferson)
0:29.0,Defensive rebound by R. Hollis-Jefferson,,64-76,,
0:08.0,S. Larkin misses 2-pt shot from 21 ft,,64-76,,
0:07.0,,,64-76,,Defensive rebound by M. Ginobili
0:01.0,,,64-76,,M. Ginobili misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by B. Bogdanovic,,64-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Offensive foul by R. Hollis-Jefferson,,64-76,,
11:45.0,Turnover by R. Hollis-Jefferson (offensive foul),,64-76,,
11:34.0,,,64-76,,Turnover by B. Diaw (bad pass; steal by J. Jack)
11:29.0,J. Jack misses 2-pt shot from 18 ft,,64-76,,
11:28.0,,,64-76,,Defensive rebound by P. Mills
11:18.0,,,64-76,,D. Green misses 3-pt shot from 25 ft
11:17.0,,,64-76,,Offensive rebound by P. Mills
11:11.0,,,64-76,,K. Leonard misses 3-pt shot from 25 ft
11:10.0,Defensive rebound by Team,,64-76,,
11:00.0,Shooting foul by K. Leonard (drawn by B. Lopez),,64-76,,
11:00.0,B. Lopez makes free throw 1 of 2,1,65-76,,
11:00.0,B. Lopez makes free throw 2 of 2,1,66-76,,
10:45.0,,,66-76,,B. Diaw misses 2-pt shot from 5 ft (block by B. Lopez)
10:44.0,Defensive rebound by B. Lopez,,66-76,,
10:35.0,J. Jack misses 2-pt shot from 7 ft,,66-76,,
10:34.0,,,66-76,,Defensive rebound by B. Diaw
10:20.0,,,66-79,3,P. Mills makes 3-pt shot from 26 ft (assist by B. Diaw)
9:59.0,J. Johnson misses 2-pt shot from 16 ft,,66-79,,
9:58.0,,,66-79,,Defensive rebound by T. Duncan
9:53.0,,,66-79,,Shooting foul by J. Johnson (drawn by K. Leonard)
9:53.0,,,66-80,1,K. Leonard makes free throw 1 of 2
9:53.0,T. Young enters the game for A. Bargnani,,66-80,,
9:53.0,,,66-81,1,K. Leonard makes free throw 2 of 2
9:33.0,Turnover by J. Jack (bad pass; steal by K. Leonard),,66-81,,
9:26.0,,,66-81,,D. Green misses 3-pt shot from 24 ft
9:24.0,Defensive rebound by J. Jack,,66-81,,
9:15.0,J. Johnson makes 2-pt shot from 11 ft (assist by J. Jack),2,68-81,,
8:54.0,,,68-81,,B. Diaw misses 2-pt shot from 11 ft
8:53.0,Defensive rebound by J. Jack,,68-81,,
8:47.0,J. Johnson misses 3-pt shot from 25 ft,,68-81,,
8:46.0,,,68-81,,Defensive rebound by P. Mills
8:34.0,,,68-81,,K. Leonard misses 2-pt shot from 16 ft
8:33.0,Defensive rebound by T. Young,,68-81,,
8:24.0,,,68-81,,Shooting block foul by B. Diaw (drawn by T. Young)
8:24.0,Official timeout,,68-81,,
8:24.0,,,68-81,,L. Aldridge enters the game for B. Diaw
8:24.0,,,68-81,,T. Parker enters the game for P. Mills
8:24.0,,,68-81,,M. Ginobili enters the game for K. Leonard
8:24.0,M. Brown enters the game for R. Hollis-Jefferson,,68-81,,
8:24.0,T. Young misses free throw 1 of 2,,68-81,,
8:24.0,Offensive rebound by Team,,68-81,,
8:24.0,,,68-81,,Violation by M. Ginobili (lane)
8:24.0,T. Young misses free throw 2 of 2,,68-81,,
8:23.0,,,68-81,,Defensive rebound by L. Aldridge
8:09.0,,,68-83,2,T. Duncan makes 2-pt shot from 4 ft (assist by M. Ginobili)
8:09.0,,,68-83,,Shooting foul by J. Johnson (drawn by T. Duncan)
8:09.0,,,68-84,1,T. Duncan makes free throw 1 of 1
7:56.0,B. Lopez makes 2-pt shot from 13 ft (assist by J. Jack),2,70-84,,
7:41.0,,,70-84,,Shooting foul by B. Lopez (drawn by T. Duncan)
7:41.0,,,70-85,1,T. Duncan makes free throw 1 of 2
7:41.0,,,70-86,1,T. Duncan makes free throw 2 of 2
7:27.0,M. Brown misses 3-pt shot from 25 ft,,70-86,,
7:26.0,,,70-86,,Defensive rebound by L. Aldridge
7:12.0,Personal foul by M. Brown (drawn by M. Ginobili),,70-86,,
7:02.0,Personal foul by M. Brown (drawn by T. Duncan),,70-86,,
7:02.0,,,70-87,1,T. Duncan makes free throw 1 of 2
7:02.0,,,70-88,1,T. Duncan makes free throw 2 of 2
6:47.0,J. Johnson misses 2-pt shot from 3 ft (block by M. Ginobili),,70-88,,
6:45.0,,,70-88,,Defensive rebound by D. Green
6:25.0,,,70-90,2,M. Ginobili makes 2-pt shot at rim (assist by D. Green)
6:11.0,J. Jack misses 2-pt shot from 17 ft,,70-90,,
6:11.0,,,70-90,,Defensive rebound by T. Duncan
5:52.0,,,70-92,2,T. Duncan makes 2-pt shot from 3 ft (assist by M. Ginobili)
5:50.0,Brooklyn full timeout,,70-92,,
5:50.0,,,70-92,,R. McCallum enters the game for T. Duncan
5:50.0,,,70-92,,D. West enters the game for D. Green
5:50.0,,,70-92,,K. Anderson enters the game for T. Parker
5:50.0,S. Larkin enters the game for J. Johnson,,70-92,,
5:50.0,W. Ellington enters the game for B. Lopez,,70-92,,
5:50.0,T. Robinson enters the game for J. Jack,,70-92,,
5:38.0,,,70-92,,Shooting block foul by R. McCallum (drawn by S. Larkin)
5:38.0,S. Larkin misses free throw 1 of 2,,70-92,,
5:38.0,Offensive rebound by Team,,70-92,,
5:38.0,S. Larkin makes free throw 2 of 2,1,71-92,,
5:19.0,,,71-92,,K. Anderson misses 2-pt shot from 8 ft
5:18.0,Defensive rebound by T. Robinson,,71-92,,
5:10.0,W. Ellington misses 2-pt shot from 22 ft,,71-92,,
5:09.0,,,71-92,,Defensive rebound by M. Ginobili
5:03.0,,,71-94,2,M. Ginobili makes 2-pt shot at rim
4:46.0,Turnover by S. Larkin (bad pass; steal by R. McCallum),,71-94,,
4:37.0,,,71-94,,L. Aldridge misses 2-pt shot from 3 ft (block by T. Robinson)
4:37.0,,,71-94,,Offensive rebound by Team
4:37.0,D. Sloan enters the game for S. Larkin,,71-94,,
4:37.0,,,71-94,,R. Butler enters the game for M. Ginobili
4:37.0,,,71-94,,B. Marjanovic enters the game for L. Aldridge
4:28.0,,,71-94,,Turnover by B. Marjanovic (lost ball; steal by W. Ellington)
4:04.0,M. Brown misses 3-pt shot from 25 ft,,71-94,,
4:02.0,Offensive rebound by T. Young,,71-94,,
4:00.0,T. Young misses 2-pt shot from 1 ft,,71-94,,
3:58.0,,,71-94,,Defensive rebound by B. Marjanovic
3:58.0,Personal foul by T. Robinson (drawn by B. Marjanovic),,71-94,,
3:58.0,,,71-94,,San Antonio full timeout
3:58.0,R. Hollis-Jefferson enters the game for T. Young,,71-94,,
3:58.0,,,71-95,1,B. Marjanovic makes free throw 1 of 2
3:58.0,,,71-96,1,B. Marjanovic makes free throw 2 of 2
3:48.0,M. Brown misses 2-pt shot from 18 ft,,71-96,,
3:48.0,Offensive rebound by Team,,71-96,,
3:48.0,,,71-96,,Loose ball foul by D. West (drawn by R. Hollis-Jefferson)
3:31.0,T. Robinson misses 2-pt shot from 14 ft,,71-96,,
3:30.0,,,71-96,,Defensive rebound by D. West
3:15.0,,,71-98,2,B. Marjanovic makes 2-pt shot from 10 ft
2:57.0,R. Hollis-Jefferson makes 2-pt shot from 12 ft (assist by M. Brown),2,73-98,,
2:32.0,,,73-98,,D. West misses 2-pt shot from 6 ft (block by R. Hollis-Jefferson)
2:30.0,,,73-98,,Offensive rebound by B. Marjanovic
2:30.0,,,73-98,,B. Marjanovic misses 2-pt shot at rim
2:29.0,,,73-98,,Offensive rebound by B. Marjanovic
2:29.0,,,73-100,2,B. Marjanovic makes 2-pt shot at rim
2:21.0,Brooklyn full timeout,,73-100,,
