time,Miami,pts.away,score,pts.home,New York
8:29.0,Turnover by J. Johnson (bad pass),,11-2,,
8:16.0,Personal foul by A. Stoudemire (drawn by R. Lopez),,11-2,,
8:12.0,,,11-2,,Turnover by R. Lopez (bad pass; steal by L. Deng)
7:49.0,G. Dragic makes 2-pt shot from 1 ft (assist by D. Wade),2,13-2,,
7:43.0,,,13-2,,New York full timeout
7:24.0,,,13-2,,R. Lopez misses 2-pt shot at rim
7:24.0,,,13-2,,Offensive rebound by R. Lopez
7:24.0,,,13-4,2,R. Lopez makes 2-pt shot at rim
6:58.0,J. Johnson misses 3-pt shot from 23 ft (block by C. Anthony),,13-4,,
6:58.0,Offensive rebound by Team,,13-4,,
6:58.0,Turnover by Team (shot clock),,13-4,,
6:51.0,Personal foul by J. Johnson (drawn by C. Anthony),,13-4,,
6:39.0,,,13-4,,J. Calderon misses 2-pt shot from 17 ft
6:37.0,,,13-4,,Offensive rebound by R. Lopez
6:32.0,,,13-4,,J. Calderon misses 3-pt shot from 25 ft
6:32.0,Defensive rebound by D. Wade,,13-4,,
6:26.0,L. Deng misses 2-pt shot from 2 ft (block by K. Porzingis),,13-4,,
6:26.0,Offensive rebound by Team,,13-4,,
6:21.0,J. Johnson misses 2-pt shot from 17 ft,,13-4,,
6:21.0,,,13-4,,Defensive rebound by K. Porzingis
6:12.0,,,13-4,,J. Calderon misses 2-pt shot from 13 ft
6:09.0,,,13-4,,Offensive rebound by R. Lopez
6:04.0,,,13-7,3,J. Calderon makes 3-pt shot from 24 ft (assist by R. Lopez)
5:50.0,A. Stoudemire makes 2-pt shot from 1 ft (assist by G. Dragic),2,15-7,,
5:31.0,,,15-7,,R. Lopez misses 2-pt shot from 6 ft
5:29.0,Defensive rebound by D. Wade,,15-7,,
5:26.0,Offensive foul by A. Stoudemire,,15-7,,
5:26.0,Turnover by A. Stoudemire (offensive foul),,15-7,,
5:26.0,J. Winslow enters the game for L. Deng,,15-7,,
5:26.0,J. Richardson enters the game for G. Dragic,,15-7,,
5:26.0,,,15-7,,L. Thomas enters the game for K. Porzingis
5:08.0,,,15-7,,C. Anthony misses 2-pt shot from 3 ft (block by A. Stoudemire)
5:07.0,,,15-7,,Offensive rebound by R. Lopez
5:06.0,,,15-9,2,R. Lopez makes 2-pt shot from 1 ft
4:45.0,D. Wade misses 2-pt shot from 10 ft,,15-9,,
4:44.0,,,15-9,,Defensive rebound by L. Thomas
4:37.0,,,15-9,,L. Galloway misses 3-pt shot from 23 ft
4:36.0,Defensive rebound by J. Winslow,,15-9,,
4:32.0,D. Wade makes 2-pt shot from 1 ft (assist by J. Winslow),2,17-9,,
4:20.0,,,17-9,,C. Anthony misses 2-pt shot from 14 ft
4:19.0,Defensive rebound by J. Winslow,,17-9,,
4:13.0,Shooting foul by C. Anthony (drawn by D. Wade),,17-9,,
4:13.0,D. Wade makes free throw 1 of 2,1,18-9,,
4:13.0,,,18-9,,J. Grant enters the game for L. Galloway
4:13.0,D. Wade makes free throw 2 of 2,1,19-9,,
3:48.0,,,19-11,2,J. Grant makes 2-pt shot at rim (assist by C. Anthony)
3:38.0,J. Winslow misses 2-pt shot from 1 ft,,19-11,,
3:37.0,,,19-11,,Defensive rebound by Team
3:37.0,Miami full timeout,,19-11,,
3:37.0,H. Whiteside enters the game for A. Stoudemire,,19-11,,
3:25.0,,,19-13,2,C. Anthony makes 2-pt shot from 19 ft (assist by J. Grant)
3:03.0,Turnover by J. Winslow (bad pass; steal by J. Grant),,19-13,,
2:58.0,,,19-13,,Turnover by J. Grant (bad pass; steal by J. Richardson)
2:40.0,J. Johnson misses 2-pt shot from 7 ft,,19-13,,
2:39.0,,,19-13,,Defensive rebound by R. Lopez
2:33.0,Personal foul by J. Richardson (drawn by J. Calderon),,19-13,,
2:33.0,L. Deng enters the game for D. Wade,,19-13,,
2:33.0,G. Dragic enters the game for J. Johnson,,19-13,,
2:15.0,,,19-15,2,R. Lopez makes 2-pt shot from 15 ft
2:00.0,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic),2,21-15,,
1:47.0,,,21-17,2,C. Anthony makes 2-pt shot from 12 ft
1:25.0,G. Dragic misses 2-pt shot from 15 ft,,21-17,,
1:24.0,Offensive rebound by Team,,21-17,,
1:22.0,,,21-17,,Personal foul by J. Grant (drawn by G. Dragic)
1:06.0,L. Deng misses 3-pt shot from 25 ft,,21-17,,
1:06.0,,,21-17,,Defensive rebound by R. Lopez
0:56.0,,,21-17,,C. Anthony misses 2-pt shot from 1 ft
0:56.0,,,21-17,,Offensive rebound by R. Lopez
0:56.0,,,21-19,2,R. Lopez makes 2-pt shot from 1 ft
0:40.0,Jump ball: L. Deng vs. L. Thomas (J. Calderon gains possession),,,,Jump ball: L. Deng vs. L. Thomas (J. Calderon gains possession)
0:40.0,Turnover by L. Deng (lost ball; steal by L. Thomas),,21-19,,
0:30.0,,,21-19,,L. Thomas misses 2-pt shot from 5 ft
0:28.0,Defensive rebound by J. Winslow,,21-19,,
0:24.0,G. Dragic makes 2-pt shot from 1 ft,2,23-19,,
0:03.0,,,23-19,,C. Anthony misses 2-pt shot from 18 ft
0:03.0,Defensive rebound by L. Deng,,23-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,23-19,,K. Porzingis misses 2-pt shot from 10 ft
11:48.0,Defensive rebound by J. Winslow,,23-19,,
11:31.0,H. Whiteside misses 2-pt shot from 3 ft,,23-19,,
11:31.0,Offensive rebound by Team,,23-19,,
11:31.0,,,23-19,,Personal foul by L. Thomas (drawn by L. Deng)
11:24.0,Offensive foul by H. Whiteside,,23-19,,
11:24.0,Turnover by H. Whiteside (offensive foul),,23-19,,
11:07.0,,,23-19,,D. Williams misses 2-pt shot from 20 ft
11:06.0,Defensive rebound by H. Whiteside,,23-19,,
11:06.0,,,23-19,,Personal foul by K. Porzingis (drawn by H. Whiteside)
10:51.0,L. Deng makes 2-pt shot from 1 ft (assist by J. Winslow),2,25-19,,
10:37.0,,,25-21,2,L. Thomas makes 2-pt shot at rim (assist by J. Calderon)
10:14.0,G. Dragic makes 2-pt shot from 13 ft (assist by L. Deng),2,27-21,,
9:52.0,,,27-21,,D. Williams misses 2-pt shot from 13 ft
9:50.0,,,27-21,,Offensive rebound by K. Porzingis
9:45.0,,,27-21,,K. Porzingis misses 2-pt shot from 16 ft
9:44.0,Defensive rebound by H. Whiteside,,27-21,,
9:35.0,J. Winslow misses 2-pt shot from 1 ft (block by K. Porzingis),,27-21,,
9:33.0,Offensive rebound by H. Whiteside,,27-21,,
9:32.0,H. Whiteside misses 2-pt shot from 1 ft (block by K. Porzingis),,27-21,,
9:31.0,,,27-21,,Defensive rebound by D. Williams
9:26.0,,,27-21,,L. Galloway enters the game for J. Calderon
9:11.0,,,27-21,,L. Thomas misses 2-pt shot from 14 ft
9:07.0,Defensive rebound by G. Dragic,,27-21,,
9:04.0,Turnover by G. Dragic (bad pass; steal by L. Galloway),,27-21,,
8:52.0,,,27-21,,K. Porzingis misses 2-pt shot from 8 ft
8:52.0,Defensive rebound by G. Dragic,,27-21,,
8:44.0,L. Deng makes 2-pt shot at rim (assist by G. Dragic),2,29-21,,
8:28.0,,,29-21,,L. Thomas misses 2-pt shot from 17 ft
8:28.0,Defensive rebound by J. Richardson,,29-21,,
8:10.0,H. Whiteside misses 2-pt shot from 3 ft (block by D. Williams),,29-21,,
8:09.0,Offensive rebound by H. Whiteside,,29-21,,
8:09.0,Official timeout,,29-21,,
8:09.0,,,29-21,,C. Anthony enters the game for L. Thomas
8:04.0,J. Richardson misses 2-pt shot from 14 ft,,29-21,,
8:03.0,Offensive rebound by H. Whiteside,,29-21,,
8:01.0,H. Whiteside makes 2-pt shot at rim,2,31-21,,
7:44.0,,,31-21,,K. Porzingis misses 3-pt shot from 25 ft
7:44.0,Defensive rebound by J. Winslow,,31-21,,
7:34.0,J. Richardson makes 2-pt shot from 17 ft (assist by J. Winslow),2,33-21,,
7:17.0,,,33-21,,K. Porzingis misses 2-pt shot from 11 ft
7:16.0,Defensive rebound by J. Winslow,,33-21,,
7:08.0,G. Dragic misses 2-pt shot from 1 ft,,33-21,,
7:07.0,Offensive rebound by L. Deng,,33-21,,
7:06.0,L. Deng makes 2-pt shot at rim,2,35-21,,
7:06.0,,,35-21,,New York full timeout
7:06.0,,,35-21,,R. Lopez enters the game for K. Porzingis
7:06.0,,,35-21,,L. Thomas enters the game for D. Williams
7:06.0,D. Wade enters the game for L. Deng,,35-21,,
7:06.0,J. Johnson enters the game for G. Dragic,,35-21,,
6:54.0,,,35-21,,C. Anthony misses 2-pt shot from 17 ft
6:53.0,Defensive rebound by J. Winslow,,35-21,,
6:43.0,J. Winslow misses 2-pt shot from 2 ft (block by R. Lopez),,35-21,,
6:42.0,Offensive rebound by H. Whiteside,,35-21,,
6:40.0,H. Whiteside misses 2-pt shot from 1 ft (block by R. Lopez),,35-21,,
6:38.0,,,35-21,,Defensive rebound by J. Grant
6:36.0,,,35-21,,J. Grant misses 2-pt shot from 1 ft
6:34.0,Defensive rebound by J. Winslow,,35-21,,
6:29.0,J. Richardson makes 2-pt shot at rim (assist by D. Wade),2,37-21,,
6:14.0,Personal foul by J. Johnson (drawn by C. Anthony),,37-21,,
6:14.0,,,37-21,,J. Calderon enters the game for J. Grant
6:01.0,,,37-23,2,C. Anthony makes 2-pt shot from 2 ft
5:41.0,Turnover by H. Whiteside (offensive goaltending),,37-23,,
5:20.0,,,37-25,2,J. Calderon makes 2-pt shot from 19 ft (assist by R. Lopez)
5:00.0,H. Whiteside makes 2-pt shot from 21 ft (assist by J. Richardson),2,39-25,,
4:48.0,,,39-25,,Shooting foul by H. Whiteside (drawn by C. Anthony)
4:48.0,,,39-26,1,C. Anthony makes free throw 1 of 2
4:48.0,,,39-27,1,C. Anthony makes free throw 2 of 2
4:38.0,J. Richardson misses 2-pt shot from 11 ft,,39-27,,
4:37.0,,,39-27,,Defensive rebound by R. Lopez
4:30.0,,,39-27,,Shooting foul by J. Winslow (drawn by C. Anthony)
4:30.0,,,39-29,2,C. Anthony makes 2-pt shot from 12 ft
4:30.0,,,39-29,,C. Anthony misses free throw 1 of 1
4:29.0,Defensive rebound by J. Winslow,,39-29,,
4:25.0,Miami full timeout,,39-29,,
4:13.0,D. Wade misses 2-pt shot from 6 ft,,39-29,,
4:11.0,Offensive rebound by D. Wade,,39-29,,
4:10.0,D. Wade misses 2-pt shot from 1 ft,,39-29,,
4:09.0,,,39-29,,Defensive rebound by L. Thomas
4:02.0,,,39-29,,Turnover by C. Anthony (bad pass; steal by H. Whiteside)
3:47.0,D. Wade makes 2-pt shot from 1 ft (assist by J. Johnson),2,41-29,,
3:36.0,Personal foul by D. Wade (drawn by C. Anthony),,41-29,,
3:29.0,,,41-29,,J. Calderon misses 2-pt shot from 17 ft
3:29.0,Defensive rebound by D. Wade,,41-29,,
3:10.0,,,41-29,,Personal foul by R. Lopez (drawn by H. Whiteside)
2:59.0,J. Johnson makes 2-pt shot from 8 ft,2,43-29,,
2:41.0,,,43-32,3,L. Thomas makes 3-pt shot from 24 ft (assist by C. Anthony)
2:26.0,Shooting foul by L. Galloway (drawn by D. Wade),,43-32,,
2:26.0,D. Wade makes free throw 1 of 2,1,44-32,,
2:26.0,G. Dragic enters the game for J. Richardson,,44-32,,
2:26.0,D. Wade misses free throw 2 of 2,,44-32,,
2:25.0,,,44-32,,Defensive rebound by C. Anthony
2:15.0,,,44-32,,Offensive foul by L. Thomas
2:15.0,,,44-32,,Turnover by L. Thomas (offensive foul)
2:00.0,J. Johnson misses 3-pt shot from 26 ft,,44-32,,
2:00.0,,,44-32,,Defensive rebound by C. Anthony
1:53.0,Personal foul by J. Johnson (drawn by R. Lopez),,44-32,,
1:53.0,,,44-33,1,R. Lopez makes free throw 1 of 2
1:53.0,L. Deng enters the game for J. Johnson,,44-33,,
1:53.0,,,44-34,1,R. Lopez makes free throw 2 of 2
1:40.0,G. Dragic misses 3-pt shot from 23 ft,,44-34,,
1:39.0,,,44-34,,Defensive rebound by R. Lopez
1:26.0,,,44-34,,C. Anthony misses 2-pt shot from 1 ft (block by H. Whiteside)
1:25.0,Defensive rebound by Team,,44-34,,
1:14.0,D. Wade misses 2-pt shot from 11 ft,,44-34,,
1:12.0,Offensive rebound by H. Whiteside,,44-34,,
1:05.0,L. Deng misses 2-pt shot from 22 ft,,44-34,,
1:03.0,,,44-34,,Defensive rebound by C. Anthony
0:59.0,,,44-34,,J. Calderon misses 3-pt shot from 25 ft
0:58.0,,,44-34,,Offensive rebound by L. Galloway
0:54.0,,,44-37,3,L. Thomas makes 3-pt shot from 23 ft (assist by L. Galloway)
0:48.0,Miami full timeout,,44-37,,
0:48.0,A. Stoudemire enters the game for H. Whiteside,,44-37,,
0:35.0,D. Wade misses 2-pt shot from 5 ft,,44-37,,
0:35.0,,,44-37,,Defensive rebound by C. Anthony
0:32.0,,,44-37,,J. Calderon misses 2-pt shot at rim
0:31.0,,,44-37,,Offensive rebound by L. Galloway
0:31.0,,,44-39,2,L. Galloway makes 2-pt shot at rim
0:09.0,Turnover by G. Dragic (bad pass; steal by L. Galloway),,44-39,,
0:01.0,,,44-39,,C. Anthony misses 2-pt shot from 21 ft
0:00.0,,,44-39,,Offensive rebound by R. Lopez
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,44-39,,Turnover by J. Calderon (bad pass; steal by D. Wade)
11:41.0,L. Deng makes 2-pt shot at rim (assist by D. Wade),2,46-39,,
11:15.0,,,46-41,2,K. Porzingis makes 2-pt shot from 18 ft (assist by L. Galloway)
10:51.0,D. Wade misses 2-pt shot from 21 ft,,46-41,,
10:48.0,Offensive rebound by J. Johnson,,46-41,,
10:39.0,,,46-41,,Personal foul by K. Porzingis (drawn by A. Stoudemire)
10:30.0,G. Dragic misses 2-pt shot from 17 ft,,46-41,,
10:29.0,Offensive rebound by A. Stoudemire,,46-41,,
10:27.0,A. Stoudemire misses 2-pt shot from 1 ft,,46-41,,
10:26.0,,,46-41,,Defensive rebound by K. Porzingis
10:06.0,,,46-41,,L. Galloway misses 2-pt shot from 22 ft
10:06.0,Defensive rebound by G. Dragic,,46-41,,
10:01.0,Jump ball: G. Dragic vs. L. Galloway (K. Porzingis gains possession),,,,Jump ball: G. Dragic vs. L. Galloway (K. Porzingis gains possession)
10:01.0,Turnover by G. Dragic (lost ball; steal by L. Galloway),,46-41,,
9:47.0,,,46-41,,K. Porzingis misses 2-pt shot from 1 ft
9:46.0,,,46-41,,Offensive rebound by K. Porzingis
9:45.0,,,46-41,,K. Porzingis misses 2-pt shot from 1 ft
9:45.0,Defensive rebound by D. Wade,,46-41,,
9:37.0,L. Deng makes 2-pt shot from 1 ft (assist by D. Wade),2,48-41,,
9:16.0,,,48-41,,C. Anthony misses 2-pt shot from 9 ft
9:15.0,Defensive rebound by L. Deng,,48-41,,
8:56.0,G. Dragic misses 3-pt shot from 25 ft,,48-41,,
8:56.0,Offensive rebound by L. Deng,,48-41,,
8:56.0,,,48-41,,Personal foul by K. Porzingis (drawn by L. Deng)
8:56.0,,,48-41,,L. Thomas enters the game for K. Porzingis
8:42.0,J. Johnson makes 2-pt shot from 8 ft,2,50-41,,
8:31.0,Personal foul by A. Stoudemire (drawn by C. Anthony),,50-41,,
8:22.0,,,50-41,,Turnover by C. Anthony (offensive foul)
8:22.0,,,50-41,,Offensive foul by C. Anthony
8:08.0,L. Deng misses 2-pt shot from 4 ft,,50-41,,
8:07.0,,,50-41,,Defensive rebound by R. Lopez
7:57.0,,,50-43,2,C. Anthony makes 2-pt shot from 6 ft
7:39.0,D. Wade makes 2-pt shot from 17 ft (assist by A. Stoudemire),2,52-43,,
7:23.0,,,52-45,2,L. Thomas makes 2-pt shot from 21 ft
7:08.0,D. Wade makes 2-pt shot from 1 ft (assist by G. Dragic),2,54-45,,
6:57.0,,,54-45,,J. Calderon misses 2-pt shot from 20 ft
6:56.0,Defensive rebound by Team,,54-45,,
6:56.0,,,54-45,,Violation by R. Lopez (kicked ball)
6:45.0,D. Wade misses 2-pt shot from 4 ft (block by R. Lopez),,54-45,,
6:44.0,,,54-45,,Defensive rebound by R. Lopez
6:40.0,,,54-45,,Shooting foul by A. Stoudemire (drawn by L. Thomas)
6:40.0,,,54-45,,S. Vujacic enters the game for L. Galloway
6:40.0,,,54-46,1,L. Thomas makes free throw 1 of 2
6:40.0,,,54-47,1,L. Thomas makes free throw 2 of 2
6:29.0,D. Wade misses 2-pt shot from 17 ft,,54-47,,
6:27.0,,,54-47,,Defensive rebound by C. Anthony
6:16.0,,,54-47,,C. Anthony misses 2-pt shot from 16 ft
6:16.0,Defensive rebound by L. Deng,,54-47,,
6:15.0,,,54-47,,Personal foul by C. Anthony (drawn by G. Dragic)
6:15.0,H. Whiteside enters the game for A. Stoudemire,,54-47,,
6:15.0,J. Richardson enters the game for G. Dragic,,54-47,,
6:15.0,J. Winslow enters the game for L. Deng,,54-47,,
6:15.0,Violation by Team (jump ball),,54-47,,
5:58.0,Shooting foul by S. Vujacic (drawn by D. Wade),,54-47,,
5:58.0,,,54-47,,New York full timeout
5:58.0,D. Wade makes free throw 1 of 2,1,55-47,,
5:58.0,D. Wade makes free throw 2 of 2,1,56-47,,
5:41.0,,,56-47,,L. Thomas misses 2-pt shot from 20 ft
5:40.0,Defensive rebound by J. Johnson,,56-47,,
5:33.0,D. Wade makes 2-pt shot from 1 ft (assist by J. Johnson),2,58-47,,
5:21.0,,,58-49,2,J. Calderon makes 2-pt shot from 17 ft
4:59.0,D. Wade makes 2-pt shot from 11 ft,2,60-49,,
4:46.0,,,60-49,,J. Calderon misses 2-pt shot from 15 ft
4:46.0,Defensive rebound by H. Whiteside,,60-49,,
4:25.0,J. Richardson misses 3-pt shot from 26 ft,,60-49,,
4:24.0,,,60-49,,Defensive rebound by R. Lopez
4:20.0,,,60-49,,Turnover by J. Calderon (bad pass; steal by J. Richardson)
4:13.0,,,60-49,,Personal foul by S. Vujacic (drawn by J. Richardson)
4:13.0,J. Richardson makes free throw 1 of 2,1,61-49,,
4:13.0,J. Richardson makes free throw 2 of 2,1,62-49,,
3:53.0,,,62-51,2,R. Lopez makes 2-pt shot from 7 ft (assist by L. Thomas)
3:33.0,Offensive foul by J. Johnson,,62-51,,
3:33.0,Turnover by J. Johnson (offensive foul),,62-51,,
3:33.0,L. Deng enters the game for J. Johnson,,62-51,,
3:17.0,,,62-53,2,C. Anthony makes 2-pt shot from 22 ft (assist by J. Calderon)
3:17.0,Miami full timeout,,62-53,,
3:17.0,G. Dragic enters the game for D. Wade,,62-53,,
2:54.0,G. Dragic misses 2-pt shot from 15 ft,,62-53,,
2:52.0,,,62-53,,Defensive rebound by L. Thomas
2:42.0,,,62-56,3,C. Anthony makes 3-pt shot from 25 ft
2:18.0,H. Whiteside makes 2-pt shot from 19 ft,2,64-56,,
2:06.0,,,64-56,,Turnover by C. Anthony (bad pass; steal by H. Whiteside)
2:00.0,G. Dragic makes 2-pt shot at rim,2,66-56,,
1:42.0,,,66-56,,C. Anthony misses 3-pt shot from 25 ft
1:41.0,Defensive rebound by J. Richardson,,66-56,,
1:36.0,Shooting foul by L. Thomas (drawn by L. Deng),,66-56,,
1:36.0,L. Deng misses free throw 1 of 2,,66-56,,
1:36.0,Offensive rebound by Team,,66-56,,
1:36.0,,,66-56,,K. Porzingis enters the game for R. Lopez
1:36.0,,,66-56,,D. Williams enters the game for L. Thomas
1:36.0,L. Deng makes free throw 2 of 2,1,67-56,,
1:22.0,,,67-56,,Shooting foul by H. Whiteside (drawn by C. Anthony)
1:22.0,,,67-57,1,C. Anthony makes free throw 1 of 2
1:22.0,,,67-58,1,C. Anthony makes free throw 2 of 2
1:08.0,Turnover by L. Deng (bad pass; steal by S. Vujacic),,67-58,,
1:01.0,,,67-60,2,D. Williams makes 2-pt shot at rim (assist by K. Porzingis)
0:44.0,H. Whiteside misses 2-pt shot from 5 ft,,67-60,,
0:43.0,,,67-60,,Defensive rebound by K. Porzingis
0:39.0,,,67-62,2,D. Williams makes 2-pt shot from 1 ft (assist by C. Anthony)
0:39.0,,,67-62,,Shooting foul by J. Winslow (drawn by D. Williams)
0:39.0,,,67-62,,L. Galloway enters the game for J. Calderon
0:39.0,,,67-63,1,D. Williams makes free throw 1 of 1
0:30.0,,,67-63,,Personal foul by L. Galloway (drawn by H. Whiteside)
0:30.0,H. Whiteside makes free throw 1 of 2,1,68-63,,
0:30.0,H. Whiteside makes free throw 2 of 2,1,69-63,,
0:13.0,,,69-63,,C. Anthony misses 2-pt shot from 2 ft (block by H. Whiteside)
0:12.0,,,69-63,,Offensive rebound by L. Galloway
0:11.0,,,69-65,2,L. Galloway makes 2-pt shot from 17 ft
0:00.0,J. Winslow misses 2-pt shot from 19 ft,,69-65,,
0:00.0,Offensive rebound by Team,,69-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Turnover by L. Deng (traveling),,69-65,,
11:31.0,,,69-65,,D. Williams misses 2-pt shot from 18 ft
11:30.0,Defensive rebound by H. Whiteside,,69-65,,
11:10.0,H. Whiteside makes 2-pt shot from 9 ft (assist by L. Deng),2,71-65,,
10:42.0,,,71-67,2,C. Anthony makes 2-pt shot from 2 ft
10:27.0,,,71-67,,Personal foul by K. Porzingis (drawn by G. Dragic)
10:22.0,Shooting foul by S. Vujacic (drawn by G. Dragic),,71-67,,
10:22.0,G. Dragic makes free throw 1 of 3,1,72-67,,
10:22.0,G. Dragic makes free throw 2 of 3,1,73-67,,
10:22.0,G. Dragic makes free throw 3 of 3,1,74-67,,
10:07.0,,,74-67,,L. Galloway misses 2-pt shot from 15 ft
10:05.0,Defensive rebound by H. Whiteside,,74-67,,
9:49.0,H. Whiteside makes 2-pt shot from 11 ft,2,76-67,,
9:33.0,,,76-70,3,K. Porzingis makes 3-pt shot from 25 ft (assist by C. Anthony)
9:12.0,L. Deng misses 2-pt shot from 9 ft,,76-70,,
9:12.0,,,76-70,,Defensive rebound by K. Porzingis
9:00.0,,,76-70,,C. Anthony misses 2-pt shot from 19 ft
8:59.0,Defensive rebound by J. Winslow,,76-70,,
8:51.0,H. Whiteside makes 2-pt shot from 2 ft (assist by J. Winslow),2,78-70,,
8:50.0,,,78-70,,New York full timeout
8:50.0,,,78-70,,J. Calderon enters the game for C. Anthony
8:50.0,,,78-70,,L. Thomas enters the game for S. Vujacic
8:35.0,,,78-70,,Turnover by D. Williams (lost ball; steal by H. Whiteside)
8:27.0,J. Richardson makes 2-pt shot from 2 ft (assist by G. Dragic),2,80-70,,
8:16.0,,,80-70,,K. Porzingis misses 3-pt shot from 24 ft
8:16.0,Defensive rebound by H. Whiteside,,80-70,,
8:02.0,L. Deng makes 2-pt shot from 19 ft (assist by J. Richardson),2,82-70,,
7:46.0,,,82-70,,K. Porzingis misses 2-pt shot from 19 ft
7:45.0,Defensive rebound by J. Winslow,,82-70,,
7:31.0,H. Whiteside misses 2-pt shot from 2 ft,,82-70,,
7:29.0,,,82-70,,Defensive rebound by K. Porzingis
7:29.0,Personal foul by H. Whiteside (drawn by K. Porzingis),,82-70,,
7:29.0,,,82-70,,R. Lopez enters the game for D. Williams
7:12.0,,,82-72,2,R. Lopez makes 2-pt shot from 8 ft (assist by J. Calderon)
7:01.0,,,82-72,,Personal foul by J. Calderon (drawn by L. Deng)
7:01.0,,,82-72,,C. Anthony enters the game for K. Porzingis
7:01.0,D. Wade enters the game for L. Deng,,82-72,,
7:01.0,J. Johnson enters the game for G. Dragic,,82-72,,
7:01.0,A. Stoudemire enters the game for H. Whiteside,,82-72,,
6:41.0,J. Johnson makes 2-pt shot from 23 ft,2,84-72,,
6:36.0,Personal foul by A. Stoudemire (drawn by R. Lopez),,84-72,,
6:36.0,Technical foul by A. Stoudemire (drawn by R. Lopez),,84-72,,
6:36.0,,,84-73,1,C. Anthony makes technical free throw
6:18.0,,,84-73,,Turnover by Team (shot clock)
6:06.0,Turnover by D. Wade (lost ball; steal by L. Galloway),,84-73,,
5:57.0,,,84-73,,C. Anthony misses 2-pt shot from 15 ft
5:55.0,Defensive rebound by J. Richardson,,84-73,,
5:47.0,A. Stoudemire makes 2-pt shot from 3 ft (assist by D. Wade),2,86-73,,
5:26.0,,,86-73,,J. Calderon misses 2-pt shot from 22 ft
5:25.0,Defensive rebound by D. Wade,,86-73,,
5:15.0,J. Johnson misses 2-pt shot from 11 ft,,86-73,,
5:14.0,,,86-73,,Defensive rebound by R. Lopez
4:59.0,,,86-73,,C. Anthony misses 2-pt shot from 1 ft
4:58.0,Defensive rebound by A. Stoudemire,,86-73,,
4:49.0,D. Wade misses 2-pt shot from 5 ft,,86-73,,
4:47.0,Official timeout,,86-73,,
4:47.0,Jump ball: A. Stoudemire vs. L. Thomas (D. Wade gains possession),,,,Jump ball: A. Stoudemire vs. L. Thomas (D. Wade gains possession)
4:47.0,Offensive rebound by Team,,86-73,,
4:25.0,A. Stoudemire misses 2-pt shot from 7 ft,,86-73,,
4:24.0,Offensive rebound by A. Stoudemire,,86-73,,
4:23.0,A. Stoudemire makes 2-pt shot from 1 ft,2,88-73,,
3:58.0,,,88-76,3,L. Galloway makes 3-pt shot from 25 ft
3:30.0,D. Wade misses 2-pt shot from 7 ft,,88-76,,
3:30.0,,,88-76,,Defensive rebound by L. Galloway
3:23.0,,,88-76,,L. Galloway misses 3-pt shot from 25 ft
3:22.0,Defensive rebound by A. Stoudemire,,88-76,,
3:01.0,Turnover by J. Johnson (lost ball; steal by J. Calderon),,88-76,,
3:00.0,,,88-76,,New York full timeout
3:00.0,G. Dragic enters the game for J. Richardson,,88-76,,
