time,Brooklyn,pts.away,score,pts.home,Toronto
5:43.0,T. Robinson makes 2-pt shot at rim (assist by W. Reed),2,41-33,,
5:19.0,,,41-33,,Turnover by D. DeRozan (lost ball)
5:06.0,M. Brown misses 2-pt shot from 5 ft,,41-33,,
5:05.0,,,41-33,,Defensive rebound by T. Ross
5:00.0,,,41-33,,J. Valanciunas enters the game for P. Patterson
5:00.0,,,41-33,,J. Thompson enters the game for B. Biyombo
5:00.0,T. Young enters the game for T. Robinson,,41-33,,
5:00.0,B. Lopez enters the game for W. Reed,,41-33,,
4:47.0,,,41-33,,J. Valanciunas misses 2-pt shot from 4 ft
4:46.0,,,41-33,,Offensive rebound by J. Valanciunas
4:46.0,,,41-33,,Shooting foul by T. Young (drawn by J. Valanciunas)
4:46.0,,,41-34,1,J. Valanciunas makes free throw 1 of 2
4:46.0,,,41-35,1,J. Valanciunas makes free throw 2 of 2
4:36.0,S. Larkin makes 2-pt shot from 1 ft (assist by B. Lopez),2,43-35,,
4:14.0,,,43-38,3,K. Lowry makes 3-pt shot from 25 ft (assist by J. Valanciunas)
4:00.0,,,43-38,,Personal foul by J. Valanciunas
4:00.0,B. Bogdanovic enters the game for M. Brown,,43-38,,
4:00.0,W. Ellington enters the game for S. Kilpatrick,,43-38,,
4:00.0,,,43-38,,C. Joseph enters the game for K. Lowry
3:49.0,B. Lopez misses 2-pt shot from 1 ft (block by J. Thompson),,43-38,,
3:48.0,,,43-38,,Defensive rebound by C. Joseph
3:27.0,,,43-38,,J. Thompson misses 2-pt shot from 3 ft
3:27.0,Defensive rebound by Team,,43-38,,
3:26.0,,,43-38,,Loose ball foul by J. Thompson
3:26.0,B. Lopez makes free throw 1 of 2,1,44-38,,
3:26.0,B. Lopez makes free throw 2 of 2,1,45-38,,
3:16.0,,,45-38,,Turnover by D. DeRozan (bad pass)
2:57.0,T. Young misses 2-pt shot from 6 ft,,45-38,,
2:57.0,Offensive rebound by B. Lopez,,45-38,,
2:54.0,B. Lopez makes 2-pt shot at rim,2,47-38,,
2:42.0,Personal block foul by T. Young,,47-38,,
2:42.0,Brooklyn full timeout,,47-38,,
2:42.0,,,47-38,,N. Powell enters the game for T. Ross
2:42.0,,,47-39,1,D. DeRozan makes free throw 1 of 2
2:42.0,,,47-40,1,D. DeRozan makes free throw 2 of 2
2:28.0,Turnover by B. Lopez (lost ball; steal by D. DeRozan),,47-40,,
2:14.0,,,47-40,,D. DeRozan misses 2-pt shot from 15 ft
2:13.0,Defensive rebound by W. Ellington,,47-40,,
2:03.0,W. Ellington makes 2-pt shot from 18 ft,2,49-40,,
1:43.0,,,49-40,,D. DeRozan misses 2-pt shot from 10 ft
1:43.0,Defensive rebound by B. Bogdanovic,,49-40,,
1:40.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by S. Larkin),2,51-40,,
1:15.0,,,51-42,2,C. Joseph makes 2-pt shot from 2 ft (assist by J. Valanciunas)
1:04.0,W. Ellington makes 3-pt shot from 25 ft (assist by S. Larkin),3,54-42,,
0:45.0,,,54-42,,C. Joseph misses 2-pt shot from 5 ft
0:44.0,Defensive rebound by Team,,54-42,,
0:44.0,,,54-42,,Loose ball foul by C. Joseph
0:44.0,B. Lopez makes free throw 1 of 2,1,55-42,,
0:44.0,,,55-42,,K. Lowry enters the game for C. Joseph
0:44.0,M. Brown enters the game for W. Ellington,,55-42,,
0:44.0,W. Reed enters the game for T. Young,,55-42,,
0:44.0,B. Lopez makes free throw 2 of 2,1,56-42,,
0:21.0,,,56-42,,J. Thompson misses 3-pt shot from 25 ft
0:20.0,Defensive rebound by W. Reed,,56-42,,
0:00.0,B. Lopez makes 2-pt shot from 10 ft (assist by S. Larkin),2,58-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,58-44,2,D. DeRozan makes 2-pt shot from 15 ft (assist by K. Lowry)
11:19.0,B. Lopez makes 2-pt shot from 2 ft,2,60-44,,
11:08.0,,,60-44,,J. Valanciunas misses 2-pt shot at rim (block by B. Lopez)
11:07.0,Defensive rebound by B. Lopez,,60-44,,
10:53.0,B. Lopez misses 2-pt shot from 2 ft,,60-44,,
10:52.0,,,60-44,,Defensive rebound by J. Thompson
10:42.0,,,60-44,,N. Powell misses 2-pt shot at rim
10:42.0,Defensive rebound by W. Ellington,,60-44,,
10:23.0,Loose ball foul by B. Lopez,,60-44,,
10:23.0,Turnover by B. Lopez (lost ball),,60-44,,
10:13.0,,,60-46,2,D. DeRozan makes 2-pt shot from 13 ft
9:57.0,B. Bogdanovic misses 2-pt shot from 15 ft,,60-46,,
9:57.0,,,60-46,,Defensive rebound by J. Thompson
9:49.0,Personal block foul by T. Young,,60-46,,
9:40.0,,,60-46,,Turnover by K. Lowry (lost ball)
9:26.0,T. Young misses 2-pt shot from 6 ft,,60-46,,
9:25.0,,,60-46,,Defensive rebound by N. Powell
9:15.0,,,60-48,2,D. DeRozan makes 2-pt shot from 3 ft
9:15.0,,,60-48,,Shooting foul by T. Young (drawn by D. DeRozan)
9:15.0,,,60-49,1,D. DeRozan makes free throw 1 of 1
8:50.0,W. Ellington misses 3-pt shot from 24 ft,,60-49,,
8:49.0,Offensive rebound by T. Young,,60-49,,
8:43.0,T. Young makes 2-pt shot from 5 ft (assist by B. Bogdanovic),2,62-49,,
8:27.0,,,62-49,,K. Lowry misses 2-pt shot from 5 ft (block by B. Lopez)
8:27.0,,,62-49,,Offensive rebound by Team
8:15.0,,,62-51,2,J. Valanciunas makes 2-pt shot from 4 ft (assist by N. Powell)
8:05.0,,,62-51,,Personal foul by D. DeRozan
7:52.0,B. Lopez makes 2-pt shot from 4 ft,2,64-51,,
7:36.0,,,64-51,,Turnover by D. DeRozan (lost ball; steal by D. Sloan)
7:30.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by D. Sloan),2,66-51,,
7:21.0,,,66-51,,Toronto full timeout
7:08.0,,,66-53,2,J. Thompson makes 2-pt shot at rim (assist by K. Lowry)
6:52.0,B. Lopez makes 2-pt shot from 11 ft (assist by B. Bogdanovic),2,68-53,,
6:52.0,Shooting foul by J. Valanciunas (drawn by B. Lopez),,68-53,,
6:52.0,W. Reed enters the game for T. Young,,68-53,,
6:52.0,B. Lopez makes free throw 1 of 1,1,69-53,,
6:37.0,,,69-53,,Turnover by J. Thompson (lost ball; steal by B. Bogdanovic)
6:35.0,Turnover by B. Bogdanovic (lost ball),,69-53,,
6:29.0,,,69-56,3,K. Lowry makes 3-pt shot from 27 ft
6:13.0,B. Lopez makes 2-pt shot from 19 ft,2,71-56,,
5:55.0,,,71-59,3,N. Powell makes 3-pt shot from 26 ft (assist by J. Thompson)
5:49.0,Offensive foul by D. Sloan,,71-59,,
5:49.0,Turnover by D. Sloan (offensive foul),,71-59,,
5:49.0,Brooklyn full timeout,,71-59,,
5:38.0,,,71-61,2,J. Thompson makes 2-pt shot from 21 ft (assist by K. Lowry)
5:16.0,Turnover by B. Lopez (traveling),,71-61,,
5:11.0,,,71-61,,Shooting foul by D. Sloan (drawn by K. Lowry)
5:11.0,,,71-62,1,K. Lowry makes free throw 1 of 3
5:11.0,,,71-63,1,K. Lowry makes free throw 2 of 3
5:11.0,,,71-64,1,K. Lowry makes free throw 3 of 3
4:58.0,W. Reed makes 2-pt shot from 2 ft (assist by D. Sloan),2,73-64,,
4:46.0,,,73-64,,Offensive charge foul by J. Thompson
4:46.0,,,73-64,,Turnover by J. Thompson (offensive foul)
4:46.0,,,73-64,,B. Biyombo enters the game for J. Valanciunas
4:25.0,D. Sloan misses 2-pt shot from 3 ft,,73-64,,
4:24.0,,,73-64,,Defensive rebound by N. Powell
4:18.0,Personal foul by W. Ellington,,73-64,,
4:18.0,,,73-64,,K. Lowry misses free throw 1 of 2
4:18.0,,,73-64,,Offensive rebound by Team
4:18.0,,,73-65,1,K. Lowry makes free throw 2 of 2
4:03.0,,,73-65,,Personal foul by B. Biyombo
3:58.0,B. Lopez misses 2-pt shot from 14 ft,,73-65,,
3:57.0,,,73-65,,Defensive rebound by B. Biyombo
3:36.0,,,73-65,,D. DeRozan misses 2-pt shot from 21 ft
3:35.0,Defensive rebound by D. Sloan,,73-65,,
3:29.0,Turnover by B. Bogdanovic (lost ball; steal by D. DeRozan),,73-65,,
3:23.0,,,73-65,,Shooting foul by D. Sloan (drawn by D. DeRozan)
3:23.0,,,73-66,1,D. DeRozan makes free throw 1 of 2
3:23.0,S. Larkin enters the game for D. Sloan,,73-66,,
3:23.0,M. Brown enters the game for B. Bogdanovic,,73-66,,
3:23.0,,,73-66,,C. Joseph enters the game for N. Powell
3:23.0,,,73-67,1,D. DeRozan makes free throw 2 of 2
3:08.0,B. Lopez makes 2-pt shot from 2 ft (assist by W. Reed),2,75-67,,
3:08.0,Shooting foul by J. Thompson (drawn by B. Lopez),,75-67,,
3:08.0,B. Lopez makes free throw 1 of 1,1,76-67,,
2:48.0,,,76-70,3,K. Lowry makes 3-pt shot from 25 ft
2:20.0,B. Lopez makes 2-pt shot from 11 ft,2,78-70,,
2:08.0,Violation by B. Lopez (kicked ball),,78-70,,
2:08.0,,,78-70,,P. Patterson enters the game for J. Thompson
2:08.0,S. Kilpatrick enters the game for W. Ellington,,78-70,,
2:02.0,,,78-70,,K. Lowry misses 3-pt shot from 27 ft
2:01.0,Defensive rebound by W. Reed,,78-70,,
1:45.0,M. Brown makes 2-pt shot from 16 ft,2,80-70,,
1:32.0,,,80-72,2,C. Joseph makes 2-pt shot from 1 ft (assist by P. Patterson)
1:11.0,S. Kilpatrick misses 3-pt shot from 27 ft,,80-72,,
1:10.0,,,80-72,,Defensive rebound by B. Biyombo
0:59.0,,,80-72,,C. Joseph misses 2-pt shot from 10 ft
0:58.0,,,80-72,,Offensive rebound by C. Joseph
0:51.0,,,80-72,,P. Patterson misses 3-pt shot from 25 ft
0:51.0,,,80-72,,Offensive rebound by K. Lowry
0:50.0,,,80-72,,K. Lowry misses 2-pt shot from 3 ft
0:50.0,,,80-72,,Offensive rebound by B. Biyombo
0:48.0,,,80-74,2,B. Biyombo makes 2-pt shot from 2 ft
0:32.0,Turnover by S. Kilpatrick (lost ball; steal by K. Lowry),,80-74,,
0:25.0,,,80-76,2,D. DeRozan makes 2-pt shot from 2 ft (assist by B. Biyombo)
0:05.0,Turnover by S. Larkin (lost ball; steal by D. DeRozan),,80-76,,
0:01.0,,,80-76,,Shooting foul by B. Lopez (drawn by D. DeRozan)
0:01.0,,,80-77,1,D. DeRozan makes free throw 1 of 2
0:01.0,T. Robinson enters the game for B. Lopez,,80-77,,
0:01.0,,,80-78,1,D. DeRozan makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Turnover by M. Brown (lost ball; steal by B. Biyombo),,80-78,,
11:33.0,,,80-81,3,P. Patterson makes 3-pt shot from 22 ft (assist by K. Lowry)
11:16.0,S. Larkin misses 2-pt shot from 18 ft,,80-81,,
11:15.0,,,80-81,,Defensive rebound by B. Biyombo
11:11.0,,,80-81,,Turnover by K. Lowry (lost ball; steal by T. Robinson)
11:05.0,S. Kilpatrick misses 3-pt shot from 24 ft,,80-81,,
11:05.0,,,80-81,,Defensive rebound by Team
11:05.0,Loose ball foul by T. Robinson,,80-81,,
11:05.0,Brooklyn full timeout,,80-81,,
10:52.0,,,80-84,3,T. Ross makes 3-pt shot from 24 ft (assist by C. Joseph)
10:32.0,S. Kilpatrick misses 2-pt shot from 6 ft,,80-84,,
10:32.0,Offensive rebound by Team,,80-84,,
10:31.0,T. Young enters the game for W. Reed,,80-84,,
10:24.0,M. Brown makes 2-pt shot from 1 ft,2,82-84,,
10:01.0,,,82-87,3,K. Lowry makes 3-pt shot from 28 ft
9:46.0,,,82-87,,Personal foul by T. Ross
9:39.0,M. Brown misses 2-pt shot from 1 ft,,82-87,,
9:39.0,,,82-87,,Defensive rebound by P. Patterson
9:23.0,,,82-89,2,B. Biyombo makes 2-pt shot at rim (assist by P. Patterson)
9:22.0,Brooklyn full timeout,,82-89,,
9:22.0,B. Lopez enters the game for M. Brown,,82-89,,
9:22.0,W. Ellington enters the game for T. Robinson,,82-89,,
9:03.0,B. Lopez misses 2-pt shot from 4 ft (block by B. Biyombo),,82-89,,
9:01.0,,,82-89,,Defensive rebound by B. Biyombo
8:51.0,,,82-92,3,T. Ross makes 3-pt shot from 26 ft (assist by K. Lowry)
8:50.0,Brooklyn full timeout,,82-92,,
8:37.0,T. Young misses 2-pt shot from 4 ft,,82-92,,
8:36.0,,,82-92,,Defensive rebound by B. Biyombo
8:21.0,,,82-94,2,P. Patterson makes 2-pt shot from 9 ft (assist by K. Lowry)
8:04.0,S. Kilpatrick makes 2-pt shot from 2 ft (assist by T. Young),2,84-94,,
7:50.0,,,84-94,,P. Patterson misses 2-pt shot from 2 ft (block by B. Lopez)
7:50.0,,,84-94,,Offensive rebound by Team
7:50.0,D. Sloan enters the game for S. Larkin,,84-94,,
7:50.0,B. Bogdanovic enters the game for S. Kilpatrick,,84-94,,
7:44.0,,,84-96,2,T. Ross makes 2-pt shot from 10 ft (assist by C. Joseph)
7:17.0,D. Sloan misses 2-pt shot from 15 ft (block by P. Patterson),,84-96,,
7:17.0,Offensive rebound by Team,,84-96,,
7:17.0,Turnover by Team (shot clock),,84-96,,
7:01.0,,,84-96,,Turnover by B. Biyombo (traveling)
6:51.0,Turnover by D. Sloan (lost ball; steal by B. Biyombo),,84-96,,
6:46.0,,,84-98,2,B. Biyombo makes 2-pt shot at rim (assist by C. Joseph)
6:45.0,Brooklyn full timeout,,84-98,,
6:23.0,B. Bogdanovic makes 3-pt shot from 27 ft (assist by B. Lopez),3,87-98,,
6:08.0,Personal foul by B. Lopez,,87-98,,
6:08.0,,,87-98,,D. DeRozan enters the game for C. Joseph
5:58.0,,,87-98,,D. DeRozan misses 2-pt shot from 21 ft
5:58.0,Defensive rebound by B. Bogdanovic,,87-98,,
5:47.0,W. Ellington makes 3-pt shot from 27 ft (assist by D. Sloan),3,90-98,,
5:28.0,,,90-98,,K. Lowry misses 2-pt shot from 16 ft
5:27.0,,,90-98,,Offensive rebound by B. Biyombo
5:21.0,,,90-98,,T. Ross misses 2-pt shot from 17 ft
5:20.0,Defensive rebound by Team,,90-98,,
5:02.0,B. Lopez makes 2-pt shot from 4 ft,2,92-98,,
4:39.0,,,92-98,,P. Patterson misses 3-pt shot from 24 ft
4:39.0,Defensive rebound by B. Lopez,,92-98,,
4:28.0,B. Bogdanovic misses 2-pt shot from 9 ft,,92-98,,
4:27.0,,,92-98,,Defensive rebound by K. Lowry
4:22.0,,,92-100,2,K. Lowry makes 2-pt shot from 1 ft
3:59.0,B. Lopez makes 2-pt shot from 5 ft,2,94-100,,
3:59.0,Shooting foul by B. Biyombo (drawn by B. Lopez),,94-100,,
3:59.0,B. Lopez makes free throw 1 of 1,1,95-100,,
3:53.0,,,95-100,,Toronto full timeout
3:36.0,,,95-100,,K. Lowry misses 3-pt shot from 26 ft
3:35.0,Defensive rebound by B. Bogdanovic,,95-100,,
3:14.0,Shooting foul by B. Biyombo (drawn by B. Lopez),,95-100,,
3:14.0,B. Lopez makes free throw 1 of 2,1,96-100,,
3:14.0,B. Lopez makes free throw 2 of 2,1,97-100,,
2:58.0,,,97-100,,D. DeRozan misses 2-pt shot from 2 ft (block by B. Lopez)
2:58.0,,,97-100,,Offensive rebound by Team
2:54.0,,,97-100,,D. DeRozan misses 2-pt shot from 14 ft
2:54.0,,,97-100,,Offensive rebound by D. DeRozan
2:41.0,,,97-102,2,D. DeRozan makes 2-pt shot from 12 ft
2:15.0,T. Young makes 2-pt shot from 18 ft,2,99-102,,
1:50.0,,,99-102,,K. Lowry misses 2-pt shot from 2 ft (block by B. Lopez)
1:49.0,,,99-102,,Offensive rebound by B. Biyombo
1:47.0,,,99-102,,B. Biyombo misses 2-pt shot from 1 ft (block by T. Young)
1:46.0,Defensive rebound by D. Sloan,,99-102,,
1:40.0,T. Young misses 2-pt shot from 3 ft,,99-102,,
1:40.0,,,99-102,,Defensive rebound by P. Patterson
1:36.0,,,99-102,,T. Ross misses 2-pt shot from 1 ft (block by B. Lopez)
1:36.0,,,99-102,,Offensive rebound by Team
1:36.0,Jump ball: W. Ellington vs. T. Ross,,,,Jump ball: W. Ellington vs. T. Ross
1:14.0,,,99-102,,D. DeRozan misses 2-pt shot from 12 ft
1:13.0,Defensive rebound by B. Bogdanovic,,99-102,,
0:54.0,Turnover by T. Young (traveling),,99-102,,
0:54.0,,,99-102,,Toronto full timeout
0:38.0,,,99-104,2,K. Lowry makes 2-pt shot from 4 ft
0:19.0,Turnover by B. Lopez (lost ball; steal by D. DeRozan),,99-104,,
0:17.0,,,99-104,,Turnover by D. DeRozan (lost ball; steal by B. Bogdanovic)
0:07.0,D. Sloan misses 2-pt shot from 3 ft,,99-104,,
0:07.0,,,99-104,,Defensive rebound by K. Lowry
0:05.0,Personal foul by T. Young,,99-104,,
0:05.0,S. Kilpatrick enters the game for B. Lopez,,99-104,,
0:05.0,,,99-104,,C. Joseph enters the game for B. Biyombo
0:04.0,Personal take foul by D. Sloan,,99-104,,
0:04.0,,,99-104,,K. Lowry misses free throw 1 of 2
0:04.0,,,99-104,,Offensive rebound by Team
0:04.0,,,99-104,,K. Lowry misses free throw 2 of 2
0:03.0,Defensive rebound by T. Young,,99-104,,
0:00.0,T. Young misses 3-pt shot from 38 ft,,99-104,,
