time,Boston,pts.away,score,pts.home,San Antonio
5:57.0,A. Johnson makes 2-pt shot from 2 ft (assist by I. Thomas),2,18-8,,
5:57.0,,,18-8,,San Antonio full timeout
5:57.0,,,18-8,,P. Mills enters the game for T. Parker
5:57.0,,,18-8,,B. Diaw enters the game for T. Duncan
5:57.0,,,18-8,,M. Ginobili enters the game for D. Green
5:57.0,E. Turner enters the game for I. Thomas,,18-8,,
5:43.0,,,18-10,2,B. Diaw makes 2-pt shot from 3 ft
5:29.0,Offensive foul by A. Johnson,,18-10,,
5:29.0,Turnover by A. Johnson (offensive foul),,18-10,,
5:18.0,,,18-10,,Turnover by L. Aldridge (lost ball; steal by A. Bradley)
5:14.0,Turnover by A. Bradley (bad pass),,18-10,,
5:14.0,K. Olynyk enters the game for A. Johnson,,18-10,,
5:01.0,,,18-12,2,L. Aldridge makes 2-pt shot from 6 ft
4:38.0,Turnover by E. Turner (bad pass; steal by K. Leonard),,18-12,,
4:35.0,,,18-12,,Turnover by K. Leonard (lost ball; steal by J. Crowder)
4:30.0,A. Bradley makes 3-pt shot from 25 ft,3,21-12,,
4:17.0,,,21-15,3,K. Leonard makes 3-pt shot from 26 ft (assist by B. Diaw)
4:02.0,Turnover by A. Bradley (bad pass),,21-15,,
3:49.0,,,21-15,,L. Aldridge misses 2-pt shot from 18 ft
3:47.0,,,21-15,,Offensive rebound by B. Diaw
3:43.0,,,21-15,,M. Ginobili misses 3-pt shot from 24 ft
3:41.0,Defensive rebound by K. Olynyk,,21-15,,
3:35.0,E. Turner misses 3-pt shot from 27 ft,,21-15,,
3:34.0,,,21-15,,Defensive rebound by K. Leonard
3:25.0,,,21-18,3,K. Leonard makes 3-pt shot from 24 ft
3:25.0,Boston full timeout,,21-18,,
3:25.0,,,21-18,,D. West enters the game for L. Aldridge
3:25.0,J. Jerebko enters the game for J. Sullinger,,21-18,,
3:05.0,K. Olynyk misses 2-pt shot from 6 ft,,21-18,,
3:04.0,,,21-18,,Defensive rebound by D. West
2:52.0,Personal foul by K. Olynyk (drawn by D. West),,21-18,,
2:52.0,,,21-19,1,D. West makes free throw 1 of 2
2:52.0,,,21-19,,D. West misses free throw 2 of 2
2:50.0,Defensive rebound by K. Olynyk,,21-19,,
2:32.0,E. Turner makes 2-pt shot from 12 ft,2,23-19,,
2:13.0,,,23-19,,P. Mills misses 3-pt shot from 25 ft
2:12.0,,,23-19,,Offensive rebound by D. West
2:12.0,,,23-21,2,D. West makes 2-pt shot from 1 ft
1:58.0,E. Turner misses 2-pt shot from 16 ft,,23-21,,
1:56.0,,,23-21,,Defensive rebound by D. West
1:42.0,,,23-23,2,D. West makes 2-pt shot from 11 ft (assist by B. Diaw)
1:28.0,K. Olynyk makes 2-pt shot from 19 ft (assist by J. Jerebko),2,25-23,,
1:07.0,,,25-26,3,B. Diaw makes 3-pt shot from 25 ft (assist by M. Ginobili)
0:53.0,K. Olynyk misses 2-pt shot from 8 ft,,25-26,,
0:52.0,,,25-26,,Defensive rebound by D. West
0:42.0,,,25-28,2,D. West makes 2-pt shot from 2 ft (assist by K. Leonard)
0:42.0,,,25-28,,Shooting foul by J. Crowder (drawn by D. West)
0:42.0,I. Thomas enters the game for J. Crowder,,25-28,,
0:42.0,,,25-28,,D. Green enters the game for K. Leonard
0:42.0,,,25-29,1,D. West makes free throw 1 of 1
0:33.0,J. Jerebko misses 3-pt shot from 25 ft,,25-29,,
0:32.0,,,25-29,,Defensive rebound by P. Mills
0:09.0,,,25-29,,B. Diaw misses 3-pt shot from 22 ft
0:08.0,Defensive rebound by I. Thomas,,25-29,,
0:03.0,,,25-29,,Personal foul by D. Green (drawn by I. Thomas)
0:00.0,K. Olynyk makes 2-pt shot from 1 ft (assist by E. Turner),2,27-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,27-31,2,M. Ginobili makes 2-pt shot from 2 ft (assist by P. Mills)
11:27.0,J. Jerebko misses 2-pt shot from 7 ft,,27-31,,
11:25.0,,,27-31,,Defensive rebound by P. Mills
11:12.0,,,27-31,,B. Diaw misses 2-pt shot from 9 ft
11:12.0,,,27-31,,Offensive rebound by D. West
11:12.0,Loose ball foul by T. Zeller (drawn by D. West),,27-31,,
11:12.0,R. Hunter enters the game for J. Jerebko,,27-31,,
10:56.0,,,27-33,2,P. Mills makes 2-pt shot from 2 ft (assist by D. West)
10:41.0,K. Olynyk makes 2-pt shot from 1 ft,2,29-33,,
10:29.0,,,29-35,2,B. Diaw makes 2-pt shot from 1 ft
10:22.0,,,29-35,,Violation by D. West (kicked ball)
10:22.0,,,29-35,,T. Parker enters the game for P. Mills
10:13.0,E. Turner makes 3-pt shot from 23 ft (assist by I. Thomas),3,32-35,,
10:02.0,,,32-35,,Shooting foul by K. Olynyk (drawn by B. Diaw)
10:02.0,,,32-36,1,B. Diaw makes free throw 1 of 2
10:02.0,,,32-36,,T. Duncan enters the game for D. West
10:02.0,,,32-37,1,B. Diaw makes free throw 2 of 2
9:43.0,I. Thomas misses 3-pt shot from 24 ft,,32-37,,
9:42.0,,,32-37,,Defensive rebound by T. Duncan
9:29.0,,,32-37,,M. Ginobili misses 3-pt shot from 25 ft
9:28.0,Defensive rebound by E. Turner,,32-37,,
9:21.0,Offensive foul by K. Olynyk,,32-37,,
9:21.0,Turnover by K. Olynyk (offensive foul),,32-37,,
9:21.0,,,32-37,,K. Anderson enters the game for M. Ginobili
9:21.0,J. Sullinger enters the game for K. Olynyk,,32-37,,
8:55.0,,,32-39,2,K. Anderson makes 2-pt shot from 10 ft
8:46.0,I. Thomas makes 2-pt shot from 14 ft,2,34-39,,
8:27.0,,,34-41,2,B. Diaw makes 2-pt shot from 8 ft
8:27.0,,,34-41,,Shooting foul by J. Sullinger (drawn by B. Diaw)
8:27.0,Official timeout,,34-41,,
8:27.0,,,34-42,1,B. Diaw makes free throw 1 of 1
8:10.0,J. Sullinger misses 2-pt shot from 21 ft,,34-42,,
8:09.0,,,34-42,,Defensive rebound by D. Green
7:47.0,,,34-44,2,T. Parker makes 2-pt shot from 16 ft
7:40.0,,,34-44,,Personal foul by T. Parker (drawn by I. Thomas)
7:40.0,,,34-44,,L. Aldridge enters the game for B. Diaw
7:34.0,Turnover by T. Zeller (traveling),,34-44,,
7:20.0,,,34-44,,D. Green misses 3-pt shot from 24 ft
7:19.0,Defensive rebound by I. Thomas,,34-44,,
7:13.0,I. Thomas misses 2-pt shot from 2 ft,,34-44,,
7:12.0,Offensive rebound by T. Zeller,,34-44,,
7:12.0,T. Zeller misses 2-pt shot from 2 ft,,34-44,,
7:10.0,,,34-44,,Defensive rebound by Team
7:00.0,,,34-44,,Turnover by T. Parker (traveling)
7:00.0,J. Crowder enters the game for E. Turner,,34-44,,
6:52.0,,,34-44,,Personal foul by T. Parker (drawn by I. Thomas)
6:43.0,T. Zeller makes 2-pt shot from 20 ft (assist by R. Hunter),2,36-44,,
6:24.0,,,36-46,2,T. Parker makes 2-pt shot from 3 ft (assist by T. Duncan)
6:16.0,T. Zeller makes 2-pt shot from 4 ft (assist by I. Thomas),2,38-46,,
6:16.0,Shooting foul by L. Aldridge (drawn by T. Zeller),,38-46,,
6:16.0,,,38-46,,K. Leonard enters the game for D. Green
6:16.0,T. Zeller misses free throw 1 of 1,,38-46,,
6:14.0,,,38-46,,Defensive rebound by L. Aldridge
6:04.0,,,38-48,2,T. Duncan makes 2-pt shot from 18 ft (assist by T. Parker)
5:54.0,I. Thomas misses 2-pt shot from 19 ft,,38-48,,
5:52.0,,,38-48,,Defensive rebound by K. Anderson
5:41.0,,,38-50,2,L. Aldridge makes 2-pt shot from 14 ft (assist by T. Parker)
5:37.0,Boston full timeout,,38-50,,
5:37.0,A. Bradley enters the game for R. Hunter,,38-50,,
5:37.0,A. Johnson enters the game for T. Zeller,,38-50,,
5:25.0,A. Bradley misses 2-pt shot from 21 ft,,38-50,,
5:24.0,Offensive rebound by J. Sullinger,,38-50,,
5:19.0,J. Crowder makes 3-pt shot from 25 ft (assist by J. Sullinger),3,41-50,,
4:59.0,,,41-52,2,L. Aldridge makes 2-pt shot from 15 ft
4:37.0,A. Johnson misses 3-pt shot from 25 ft,,41-52,,
4:36.0,,,41-52,,Defensive rebound by T. Duncan
4:32.0,,,41-52,,Turnover by T. Parker (traveling)
4:19.0,Turnover by J. Sullinger (bad pass; steal by K. Anderson),,41-52,,
3:59.0,,,41-52,,L. Aldridge misses 2-pt shot from 2 ft
3:58.0,Defensive rebound by J. Sullinger,,41-52,,
3:53.0,E. Turner enters the game for I. Thomas,,41-52,,
3:53.0,,,41-52,,M. Ginobili enters the game for K. Anderson
3:49.0,J. Sullinger misses 2-pt shot from 15 ft,,41-52,,
3:49.0,,,41-52,,Defensive rebound by T. Duncan
3:49.0,Loose ball foul by J. Crowder (drawn by T. Duncan),,41-52,,
3:30.0,,,41-54,2,L. Aldridge makes 2-pt shot from 13 ft (assist by M. Ginobili)
3:12.0,A. Johnson makes 2-pt shot from 8 ft (assist by J. Crowder),2,43-54,,
2:49.0,,,43-56,2,L. Aldridge makes 2-pt shot from 14 ft
2:28.0,E. Turner misses 2-pt shot from 13 ft,,43-56,,
2:27.0,Offensive rebound by Team,,43-56,,
2:27.0,,,43-56,,Loose ball foul by L. Aldridge (drawn by J. Sullinger)
2:27.0,,,43-56,,San Antonio full timeout
2:27.0,,,43-56,,B. Diaw enters the game for T. Duncan
2:27.0,,,43-56,,P. Mills enters the game for T. Parker
2:12.0,E. Turner misses 2-pt shot from 15 ft,,43-56,,
2:10.0,Offensive rebound by Team,,43-56,,
2:00.0,E. Turner makes 2-pt shot from 11 ft,2,45-56,,
1:31.0,,,45-58,2,M. Ginobili makes 2-pt shot from 16 ft (assist by B. Diaw)
1:18.0,E. Turner makes 2-pt shot from 16 ft (assist by J. Sullinger),2,47-58,,
0:57.0,,,47-58,,M. Ginobili misses 3-pt shot from 26 ft
0:56.0,Defensive rebound by A. Johnson,,47-58,,
0:52.0,A. Johnson makes 2-pt shot from 2 ft,2,49-58,,
0:28.0,,,49-58,,Turnover by M. Ginobili (bad pass; steal by E. Turner)
0:24.0,E. Turner misses 2-pt shot from 1 ft,,49-58,,
0:22.0,Offensive rebound by E. Turner,,49-58,,
0:19.0,E. Turner misses 2-pt shot from 8 ft (block by L. Aldridge),,49-58,,
0:18.0,,,49-58,,Defensive rebound by P. Mills
0:01.0,,,49-58,,K. Leonard misses 2-pt shot from 19 ft
0:00.0,,,49-58,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,49-58,,L. Aldridge misses 2-pt shot from 20 ft
11:43.0,Defensive rebound by J. Sullinger,,49-58,,
11:32.0,,,49-58,,Violation by T. Duncan (kicked ball)
11:21.0,A. Johnson misses 2-pt shot from 7 ft,,49-58,,
11:20.0,,,49-58,,Defensive rebound by K. Leonard
11:17.0,Violation by J. Crowder (kicked ball),,49-58,,
11:11.0,,,49-60,2,T. Parker makes 2-pt shot from 11 ft
11:00.0,,,49-60,,Personal foul by K. Leonard (drawn by J. Crowder)
10:57.0,Turnover by I. Thomas (bad pass),,49-60,,
10:37.0,,,49-60,,L. Aldridge misses 2-pt shot from 19 ft
10:37.0,Defensive rebound by Team,,49-60,,
10:37.0,,,49-60,,Loose ball foul by K. Leonard (drawn by J. Sullinger)
10:30.0,Turnover by I. Thomas (lost ball),,49-60,,
10:14.0,,,49-62,2,T. Duncan makes 2-pt shot from 4 ft (assist by L. Aldridge)
10:00.0,I. Thomas misses 3-pt shot from 24 ft,,49-62,,
9:59.0,Offensive rebound by J. Sullinger,,49-62,,
9:57.0,Shooting foul by L. Aldridge (drawn by J. Sullinger),,49-62,,
9:57.0,J. Sullinger makes free throw 1 of 2,1,50-62,,
9:57.0,J. Sullinger makes free throw 2 of 2,1,51-62,,
9:42.0,,,51-62,,K. Leonard misses 3-pt shot from 23 ft
9:41.0,,,51-62,,Offensive rebound by Team
9:34.0,,,51-62,,Turnover by Team (back court)
9:31.0,,,51-62,,Personal foul by D. Green (drawn by I. Thomas)
9:24.0,J. Crowder makes 2-pt shot from 19 ft,2,53-62,,
9:07.0,,,53-62,,T. Parker misses 2-pt shot from 20 ft
9:06.0,Defensive rebound by J. Crowder,,53-62,,
9:01.0,I. Thomas makes 3-pt shot from 24 ft,3,56-62,,
8:45.0,,,56-64,2,K. Leonard makes 2-pt shot from 20 ft (assist by T. Duncan)
8:25.0,A. Johnson misses 3-pt shot from 24 ft,,56-64,,
8:24.0,,,56-64,,Defensive rebound by L. Aldridge
8:08.0,,,56-64,,T. Duncan misses 2-pt shot from 8 ft
8:07.0,Defensive rebound by J. Sullinger,,56-64,,
8:02.0,Shooting foul by T. Duncan (drawn by I. Thomas),,56-64,,
8:02.0,,,56-64,,Violation by Team (delay of game)
8:02.0,I. Thomas makes free throw 1 of 2,1,57-64,,
8:02.0,I. Thomas makes free throw 2 of 2,1,58-64,,
7:42.0,,,58-66,2,T. Parker makes 2-pt shot from 1 ft
7:15.0,A. Bradley misses 2-pt shot from 19 ft,,58-66,,
7:14.0,,,58-66,,Defensive rebound by D. Green
7:03.0,,,58-66,,Shooting foul by J. Sullinger (drawn by K. Leonard)
7:03.0,,,58-67,1,K. Leonard makes free throw 1 of 2
7:03.0,,,58-68,1,K. Leonard makes free throw 2 of 2
6:53.0,I. Thomas misses 3-pt shot from 24 ft,,58-68,,
6:52.0,,,58-68,,Defensive rebound by K. Leonard
6:41.0,,,58-70,2,K. Leonard makes 2-pt shot from 12 ft
6:31.0,J. Sullinger misses 2-pt shot from 16 ft,,58-70,,
6:30.0,,,58-70,,Defensive rebound by D. Green
6:16.0,,,58-70,,K. Leonard misses 3-pt shot from 23 ft
6:15.0,Defensive rebound by J. Sullinger,,58-70,,
6:13.0,Shooting foul by K. Leonard (drawn by J. Crowder),,58-70,,
6:13.0,J. Crowder makes free throw 1 of 2,1,59-70,,
6:13.0,J. Crowder makes free throw 2 of 2,1,60-70,,
5:58.0,,,60-70,,L. Aldridge misses 2-pt shot from 5 ft
5:58.0,,,60-70,,Offensive rebound by L. Aldridge
5:58.0,,,60-70,,Shooting foul by J. Crowder (drawn by L. Aldridge)
5:58.0,,,60-70,,San Antonio full timeout
5:58.0,K. Olynyk enters the game for A. Johnson,,60-70,,
5:58.0,,,60-70,,L. Aldridge misses free throw 1 of 2
5:58.0,,,60-70,,Offensive rebound by Team
5:58.0,,,60-70,,M. Ginobili enters the game for K. Leonard
5:58.0,,,60-71,1,L. Aldridge makes free throw 2 of 2
5:41.0,J. Sullinger misses 3-pt shot from 26 ft,,60-71,,
5:41.0,,,60-71,,Defensive rebound by Team
5:41.0,Loose ball foul by K. Olynyk (drawn by M. Ginobili),,60-71,,
5:24.0,,,60-73,2,T. Duncan makes 2-pt shot from 11 ft
5:16.0,Boston full timeout,,60-73,,
5:16.0,,,60-73,,B. Diaw enters the game for T. Duncan
5:16.0,,,60-73,,P. Mills enters the game for T. Parker
5:03.0,I. Thomas makes 2-pt shot from 14 ft,2,62-73,,
4:38.0,,,62-73,,B. Diaw misses 2-pt shot from 3 ft (block by K. Olynyk)
4:36.0,,,62-73,,Offensive rebound by L. Aldridge
4:33.0,,,62-75,2,L. Aldridge makes 2-pt shot at rim
4:17.0,J. Sullinger makes 2-pt shot from 5 ft,2,64-75,,
4:11.0,,,64-78,3,P. Mills makes 3-pt shot from 25 ft
4:00.0,I. Thomas makes 2-pt shot from 1 ft,2,66-78,,
3:47.0,,,66-78,,D. Green misses 3-pt shot from 24 ft
3:46.0,Defensive rebound by J. Sullinger,,66-78,,
3:38.0,I. Thomas misses 3-pt shot from 24 ft,,66-78,,
3:36.0,,,66-78,,Defensive rebound by L. Aldridge
3:18.0,,,66-78,,Shooting foul by K. Olynyk (drawn by B. Diaw)
3:18.0,,,66-78,,B. Diaw misses free throw 1 of 2
3:18.0,,,66-78,,Offensive rebound by Team
3:18.0,J. Jerebko enters the game for J. Crowder,,66-78,,
3:18.0,E. Turner enters the game for J. Sullinger,,66-78,,
3:18.0,,,66-78,,B. Diaw misses free throw 2 of 2
3:17.0,,,66-78,,Offensive rebound by L. Aldridge
3:07.0,,,66-78,,L. Aldridge misses 2-pt shot from 12 ft
3:06.0,,,66-78,,Offensive rebound by D. Green
3:03.0,,,66-78,,D. Green misses 2-pt shot from 1 ft
3:02.0,Defensive rebound by J. Jerebko,,66-78,,
2:58.0,Offensive foul by J. Jerebko,,66-78,,
2:58.0,Turnover by J. Jerebko (offensive foul),,66-78,,
2:58.0,,,66-78,,D. West enters the game for L. Aldridge
2:44.0,,,66-80,2,M. Ginobili makes 2-pt shot from 1 ft
2:32.0,K. Olynyk misses 3-pt shot from 25 ft,,66-80,,
2:31.0,Offensive rebound by J. Jerebko,,66-80,,
2:27.0,,,66-80,,Personal foul by D. West (drawn by K. Olynyk)
2:27.0,K. Olynyk misses free throw 1 of 2,,66-80,,
2:27.0,Offensive rebound by Team,,66-80,,
2:27.0,K. Olynyk misses free throw 2 of 2,,66-80,,
2:26.0,,,66-80,,Defensive rebound by D. West
2:14.0,,,66-80,,Turnover by B. Diaw (bad pass; steal by J. Jerebko)
2:08.0,Shooting foul by D. Green (drawn by E. Turner),,66-80,,
2:08.0,E. Turner makes free throw 1 of 2,1,67-80,,
2:08.0,A. Johnson enters the game for K. Olynyk,,67-80,,
2:08.0,R. Hunter enters the game for I. Thomas,,67-80,,
2:08.0,E. Turner misses free throw 2 of 2,,67-80,,
2:06.0,Offensive rebound by A. Johnson,,67-80,,
2:06.0,Shooting foul by D. West (drawn by A. Johnson),,67-80,,
2:06.0,A. Johnson misses free throw 1 of 2,,67-80,,
2:06.0,Offensive rebound by Team,,67-80,,
2:06.0,A. Johnson misses free throw 2 of 2,,67-80,,
2:06.0,,,67-80,,Defensive rebound by M. Ginobili
1:44.0,,,67-82,2,M. Ginobili makes 2-pt shot from 18 ft
1:33.0,E. Turner makes 2-pt shot at rim,2,69-82,,
1:25.0,,,69-82,,M. Ginobili misses 3-pt shot from 24 ft
1:24.0,,,69-82,,Offensive rebound by B. Diaw
1:01.0,,,69-84,2,D. West makes 2-pt shot from 15 ft (assist by P. Mills)
0:47.0,Turnover by A. Johnson (traveling),,69-84,,
0:25.0,,,69-86,2,P. Mills makes 2-pt shot from 16 ft (assist by B. Diaw)
0:13.0,,,69-86,,Personal foul by M. Ginobili (drawn by R. Hunter)
0:13.0,R. Hunter makes free throw 1 of 2,1,70-86,,
0:13.0,R. Hunter makes free throw 2 of 2,1,71-86,,
0:00.0,,,71-86,,Turnover by B. Diaw (bad pass)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,R. Hunter misses 3-pt shot from 23 ft,,71-86,,
11:44.0,,,71-86,,Defensive rebound by M. Ginobili
11:32.0,,,71-86,,Turnover by B. Diaw (bad pass; steal by E. Turner)
11:19.0,A. Johnson misses 2-pt shot from 6 ft,,71-86,,
11:17.0,Offensive rebound by A. Johnson,,71-86,,
11:14.0,J. Jerebko misses 2-pt shot from 1 ft (block by D. West),,71-86,,
11:14.0,Offensive rebound by J. Jerebko,,71-86,,
11:10.0,R. Hunter makes 3-pt shot from 22 ft (assist by J. Jerebko),3,74-86,,
10:49.0,,,74-86,,B. Diaw misses 2-pt shot at rim
10:48.0,Defensive rebound by J. Jerebko,,74-86,,
10:36.0,E. Turner misses 2-pt shot from 17 ft,,74-86,,
10:35.0,,,74-86,,Defensive rebound by M. Ginobili
10:30.0,Personal foul by E. Turner (drawn by B. Diaw),,74-86,,
10:30.0,,,74-86,,K. Leonard enters the game for D. Green
10:22.0,,,74-88,2,P. Mills makes 2-pt shot from 21 ft (assist by M. Ginobili)
10:11.0,R. Hunter makes 3-pt shot from 24 ft (assist by I. Thomas),3,77-88,,
9:53.0,,,77-88,,B. Diaw misses 2-pt shot from 19 ft
9:52.0,Defensive rebound by E. Turner,,77-88,,
9:40.0,E. Turner makes 2-pt shot from 11 ft,2,79-88,,
9:28.0,Personal foul by J. Jerebko (drawn by B. Diaw),,79-88,,
9:14.0,,,79-90,2,B. Diaw makes 2-pt shot from 13 ft (assist by M. Ginobili)
8:58.0,I. Thomas misses 3-pt shot from 23 ft,,79-90,,
8:57.0,,,79-90,,Defensive rebound by M. Ginobili
8:43.0,,,79-90,,K. Leonard misses 2-pt shot from 19 ft
8:43.0,Defensive rebound by A. Johnson,,79-90,,
8:34.0,I. Thomas misses 2-pt shot at rim,,79-90,,
8:33.0,,,79-90,,Defensive rebound by B. Diaw
8:29.0,,,79-90,,San Antonio full timeout
8:29.0,,,79-90,,K. Anderson enters the game for M. Ginobili
8:29.0,J. Crowder enters the game for J. Jerebko,,79-90,,
8:08.0,,,79-92,2,K. Anderson makes 2-pt shot from 17 ft (assist by K. Leonard)
7:53.0,Turnover by J. Crowder (lost ball),,79-92,,
7:34.0,,,79-92,,K. Anderson misses 2-pt shot from 15 ft
7:34.0,,,79-92,,Offensive rebound by K. Leonard
7:34.0,,,79-92,,K. Leonard misses 2-pt shot from 16 ft
7:33.0,Defensive rebound by A. Johnson,,79-92,,
7:27.0,R. Hunter misses 3-pt shot from 24 ft,,79-92,,
7:25.0,,,79-92,,Defensive rebound by K. Leonard
7:16.0,,,79-94,2,B. Diaw makes 2-pt shot from 2 ft (assist by K. Leonard)
7:07.0,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas),3,82-94,,
6:55.0,Personal foul by J. Crowder (drawn by K. Leonard),,82-94,,
6:55.0,A. Bradley enters the game for I. Thomas,,82-94,,
6:48.0,,,82-94,,Turnover by K. Leonard (bad pass; steal by A. Johnson)
6:48.0,,,82-94,,Personal foul by K. Leonard (drawn by A. Johnson)
6:35.0,E. Turner misses 2-pt shot from 15 ft,,82-94,,
6:34.0,,,82-94,,Defensive rebound by K. Anderson
6:21.0,,,82-94,,P. Mills misses 3-pt shot from 25 ft
6:21.0,Defensive rebound by J. Crowder,,82-94,,
6:14.0,A. Bradley makes 3-pt shot from 23 ft (assist by J. Crowder),3,85-94,,
5:55.0,,,85-94,,Shooting foul by A. Johnson (drawn by K. Leonard)
5:55.0,Official timeout,,85-94,,
5:55.0,,,85-94,,D. Green enters the game for P. Mills
5:55.0,,,85-94,,L. Aldridge enters the game for B. Diaw
5:55.0,,,85-94,,T. Parker enters the game for D. West
5:55.0,,,85-94,,K. Leonard misses free throw 1 of 2
5:55.0,,,85-94,,Offensive rebound by Team
5:55.0,,,85-95,1,K. Leonard makes free throw 2 of 2
5:50.0,,,85-95,,Personal foul by K. Anderson (drawn by J. Crowder)
5:50.0,I. Thomas enters the game for R. Hunter,,85-95,,
5:50.0,,,85-95,,P. Mills enters the game for K. Anderson
5:43.0,E. Turner makes 2-pt shot at rim,2,87-95,,
5:29.0,,,87-95,,Turnover by K. Leonard (lost ball)
5:15.0,E. Turner misses 2-pt shot at rim,,87-95,,
5:14.0,Offensive rebound by A. Bradley,,87-95,,
4:59.0,A. Bradley misses 2-pt shot from 1 ft,,87-95,,
4:59.0,Offensive rebound by A. Johnson,,87-95,,
4:59.0,,,87-95,,Personal foul by D. Green (drawn by A. Johnson)
4:51.0,A. Bradley misses 2-pt shot from 16 ft,,87-95,,
4:51.0,Offensive rebound by Team,,87-95,,
4:51.0,,,87-95,,Personal foul by L. Aldridge (drawn by A. Johnson)
4:51.0,Boston full timeout,,87-95,,
4:44.0,A. Bradley misses 3-pt shot from 24 ft,,87-95,,
4:44.0,,,87-95,,Defensive rebound by L. Aldridge
4:21.0,,,87-95,,K. Leonard misses 2-pt shot from 18 ft
4:20.0,,,87-95,,Offensive rebound by P. Mills
4:17.0,,,87-95,,P. Mills misses 2-pt shot from 8 ft
4:15.0,Defensive rebound by I. Thomas,,87-95,,
4:09.0,I. Thomas makes 2-pt shot from 1 ft,2,89-95,,
3:48.0,,,89-95,,Turnover by D. Green (bad pass; steal by A. Bradley)
3:43.0,,,89-95,,Personal foul by P. Mills (drawn by I. Thomas)
3:43.0,I. Thomas makes free throw 1 of 2,1,90-95,,
3:43.0,,,90-95,,M. Ginobili enters the game for D. Green
3:43.0,,,90-95,,T. Duncan enters the game for L. Aldridge
3:43.0,I. Thomas makes free throw 2 of 2,1,91-95,,
3:31.0,,,91-95,,Turnover by T. Parker (bad pass)
3:16.0,A. Johnson makes 2-pt shot from 7 ft,2,93-95,,
2:52.0,,,93-95,,P. Mills misses 3-pt shot from 24 ft
