time,Utah,pts.away,score,pts.home,Detroit
6:36.0,,,25-25,1,A. Baynes makes free throw 2 of 2
6:16.0,D. Favors makes 2-pt shot at rim,2,27-25,,
6:04.0,,,27-27,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by A. Tolliver)
6:00.0,Utah full timeout,,27-27,,
6:00.0,,,27-27,,R. Jackson enters the game for S. Blake
5:50.0,R. Neto makes 3-pt shot from 24 ft (assist by D. Favors),3,30-27,,
5:26.0,,,30-27,,A. Tolliver misses 3-pt shot from 24 ft
5:26.0,Defensive rebound by D. Favors,,30-27,,
5:14.0,R. Hood makes 2-pt shot at rim (assist by G. Hayward),2,32-27,,
5:09.0,,,32-27,,Detroit full timeout
5:09.0,,,32-27,,M. Morris enters the game for A. Tolliver
5:09.0,,,32-27,,A. Drummond enters the game for A. Baynes
5:09.0,E. Millsap enters the game for J. Ingles,,32-27,,
4:56.0,,,32-27,,S. Johnson misses 2-pt shot from 5 ft
4:56.0,Defensive rebound by E. Millsap,,32-27,,
4:44.0,,,32-27,,Personal foul by K. Caldwell-Pope (drawn by R. Hood)
4:34.0,D. Favors makes 2-pt shot at rim (assist by R. Hood),2,34-27,,
4:18.0,,,34-29,2,R. Jackson makes 2-pt shot from 5 ft
4:01.0,R. Hood makes 2-pt shot from 5 ft,2,36-29,,
3:49.0,,,36-31,2,R. Jackson makes 2-pt shot from 5 ft
3:49.0,,,36-31,,Shooting foul by R. Neto (drawn by R. Jackson)
3:49.0,A. Burks enters the game for R. Neto,,36-31,,
3:49.0,,,36-31,,R. Jackson misses free throw 1 of 1
3:48.0,Defensive rebound by Team,,36-31,,
3:48.0,,,36-31,,Personal foul by A. Drummond (drawn by A. Burks)
3:36.0,,,36-31,,Def 3 sec tech foul by A. Drummond
3:36.0,G. Hayward misses technical free throw,,36-31,,
3:36.0,Offensive rebound by Team,,36-31,,
3:28.0,G. Hayward makes 2-pt shot from 13 ft,2,38-31,,
3:08.0,,,38-31,,Shooting foul by E. Millsap (drawn by R. Jackson)
3:08.0,,,38-31,,R. Jackson misses free throw 1 of 2
3:08.0,,,38-31,,Offensive rebound by Team
3:08.0,T. Burke enters the game for E. Millsap,,38-31,,
3:08.0,,,38-32,1,R. Jackson makes free throw 2 of 2
2:54.0,Turnover by G. Hayward (bad pass),,38-32,,
2:54.0,Official timeout,,38-32,,
2:54.0,R. Gobert enters the game for A. Burks,,38-32,,
2:42.0,,,38-34,2,R. Jackson makes 2-pt shot at rim
2:15.0,D. Favors misses 2-pt shot from 9 ft,,38-34,,
2:15.0,,,38-34,,Defensive rebound by S. Johnson
2:03.0,,,38-34,,Shooting foul by T. Burke (drawn by R. Jackson)
2:03.0,,,38-35,1,R. Jackson makes free throw 1 of 2
2:03.0,,,38-35,,R. Jackson misses free throw 2 of 2
2:01.0,Defensive rebound by R. Gobert,,38-35,,
1:38.0,R. Hood makes 2-pt shot from 8 ft,2,40-35,,
1:26.0,,,40-37,2,M. Morris makes 2-pt shot from 13 ft
1:17.0,Offensive charge foul by G. Hayward,,40-37,,
1:17.0,Turnover by G. Hayward (offensive foul),,40-37,,
1:03.0,,,40-37,,Turnover by R. Jackson (bad pass; steal by G. Hayward)
0:58.0,G. Hayward misses 2-pt shot at rim,,40-37,,
0:58.0,Offensive rebound by D. Favors,,40-37,,
0:52.0,D. Favors makes 2-pt shot at rim,2,42-37,,
0:41.0,,,42-39,2,M. Morris makes 2-pt shot from 16 ft
0:32.0,D. Favors makes 2-pt shot from 15 ft (assist by T. Burke),2,44-39,,
0:18.0,Personal foul by D. Favors (drawn by A. Drummond),,44-39,,
0:18.0,,,44-40,1,A. Drummond makes free throw 1 of 2
0:18.0,,,44-41,1,A. Drummond makes free throw 2 of 2
0:00.0,R. Hood misses 3-pt shot from 24 ft,,44-41,,
0:00.0,,,44-41,,Defensive rebound by K. Caldwell-Pope
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,44-43,2,A. Drummond makes 2-pt shot from 3 ft
11:14.0,Turnover by D. Favors (traveling),,44-43,,
10:59.0,,,44-45,2,R. Jackson makes 2-pt shot from 5 ft
10:34.0,R. Hood misses 2-pt shot from 11 ft,,44-45,,
10:34.0,,,44-45,,Defensive rebound by K. Caldwell-Pope
10:32.0,,,44-45,,Shooting foul by R. Hood (drawn by K. Caldwell-Pope)
10:32.0,,,44-46,1,K. Caldwell-Pope makes free throw 1 of 2
10:32.0,,,44-47,1,K. Caldwell-Pope makes free throw 2 of 2
10:12.0,D. Favors makes 2-pt shot from 5 ft (assist by R. Neto),2,46-47,,
9:50.0,,,46-49,2,A. Drummond makes 2-pt shot at rim (assist by M. Morris)
9:50.0,,,46-49,,Shooting foul by R. Gobert (drawn by A. Drummond)
9:50.0,,,46-49,,A. Drummond misses free throw 1 of 1
9:49.0,Defensive rebound by R. Gobert,,46-49,,
9:38.0,R. Hood misses 3-pt shot from 23 ft,,46-49,,
9:36.0,,,46-49,,Defensive rebound by M. Morris
9:28.0,,,46-49,,A. Drummond misses 2-pt shot from 1 ft
9:26.0,,,46-49,,Offensive rebound by A. Drummond
9:25.0,,,46-49,,A. Drummond misses 2-pt shot at rim
9:23.0,,,46-49,,Offensive rebound by Team
9:23.0,Jump ball: A. Drummond vs. R. Gobert (E. Ilyasova gains possession),,,,Jump ball: A. Drummond vs. R. Gobert (E. Ilyasova gains possession)
9:13.0,,,46-49,,E. Ilyasova misses 3-pt shot from 22 ft
9:13.0,Defensive rebound by R. Neto,,46-49,,
8:54.0,G. Hayward misses 3-pt shot from 25 ft,,46-49,,
8:53.0,,,46-49,,Defensive rebound by K. Caldwell-Pope
8:46.0,Violation by R. Gobert (def goaltending),,46-49,,
8:46.0,,,46-51,2,M. Morris makes 2-pt shot at rim (assist by R. Jackson)
8:46.0,,,46-51,,Shooting foul by R. Hood (drawn by M. Morris)
8:46.0,,,46-52,1,M. Morris makes free throw 1 of 1
8:28.0,D. Favors misses 2-pt shot from 15 ft,,46-52,,
8:27.0,Offensive rebound by R. Hood,,46-52,,
8:27.0,R. Hood misses 2-pt shot from 6 ft,,46-52,,
8:25.0,,,46-52,,Defensive rebound by E. Ilyasova
8:12.0,,,46-52,,R. Jackson misses 3-pt shot from 24 ft
8:12.0,Defensive rebound by G. Hayward,,46-52,,
7:56.0,R. Gobert makes 2-pt shot at rim (assist by R. Hood),2,48-52,,
7:42.0,,,48-52,,R. Jackson misses 3-pt shot from 23 ft
7:42.0,Defensive rebound by R. Gobert,,48-52,,
7:30.0,R. Neto makes 2-pt shot from 18 ft (assist by R. Gobert),2,50-52,,
7:17.0,,,50-52,,K. Caldwell-Pope misses 2-pt shot from 7 ft
7:16.0,Defensive rebound by G. Hayward,,50-52,,
7:12.0,Offensive charge foul by R. Gobert,,50-52,,
7:12.0,Turnover by R. Gobert (offensive foul),,50-52,,
7:03.0,,,50-52,,Turnover by E. Ilyasova (bad pass)
6:57.0,,,50-52,,Personal foul by E. Ilyasova (drawn by D. Favors)
6:52.0,G. Hayward makes 2-pt shot from 1 ft,2,52-52,,
6:52.0,Shooting foul by M. Morris (drawn by G. Hayward),,52-52,,
6:52.0,G. Hayward makes free throw 1 of 1,1,53-52,,
6:41.0,,,53-55,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by R. Jackson)
6:27.0,G. Hayward misses 2-pt shot from 11 ft,,53-55,,
6:26.0,,,53-55,,Defensive rebound by A. Drummond
6:03.0,,,53-55,,R. Jackson misses 2-pt shot from 6 ft (block by D. Favors)
6:03.0,,,53-55,,Offensive rebound by M. Morris
6:03.0,,,53-55,,Turnover by Team (shot clock)
5:42.0,D. Favors makes 2-pt shot from 7 ft (assist by R. Hood),2,55-55,,
5:20.0,,,55-55,,Shooting foul by R. Gobert (drawn by A. Drummond)
5:20.0,,,55-55,,Detroit full timeout
5:20.0,,,55-55,,A. Drummond misses free throw 1 of 2
5:20.0,,,55-55,,Offensive rebound by Team
5:20.0,,,55-55,,A. Drummond misses free throw 2 of 2
5:19.0,Defensive rebound by D. Favors,,55-55,,
4:57.0,R. Hood makes 2-pt shot from 4 ft,2,57-55,,
4:35.0,,,57-55,,M. Morris misses 2-pt shot from 14 ft
4:35.0,,,57-55,,Offensive rebound by Team
4:35.0,A. Burks enters the game for R. Hood,,57-55,,
4:35.0,Jump ball: A. Drummond vs. R. Gobert (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. R. Gobert (R. Jackson gains possession)
4:20.0,,,57-58,3,K. Caldwell-Pope makes 3-pt shot from 22 ft (assist by E. Ilyasova)
4:03.0,Shooting foul by E. Ilyasova (drawn by D. Favors),,57-58,,
4:03.0,D. Favors makes free throw 1 of 2,1,58-58,,
4:03.0,D. Favors makes free throw 2 of 2,1,59-58,,
3:47.0,,,59-60,2,R. Jackson makes 2-pt shot from 1 ft
3:40.0,Offensive charge foul by R. Gobert,,59-60,,
3:40.0,Turnover by R. Gobert (offensive foul),,59-60,,
3:40.0,T. Lyles enters the game for R. Gobert,,59-60,,
3:40.0,,,59-60,,A. Tolliver enters the game for E. Ilyasova
3:21.0,,,59-60,,K. Caldwell-Pope misses 2-pt shot from 9 ft
3:20.0,Defensive rebound by T. Lyles,,59-60,,
3:05.0,D. Favors makes 2-pt shot at rim (assist by T. Lyles),2,61-60,,
2:44.0,,,61-60,,Offensive foul by M. Morris
2:44.0,,,61-60,,Turnover by M. Morris (offensive foul)
2:44.0,Utah full timeout,,61-60,,
2:44.0,,,61-60,,Technical foul by M. Morris
2:44.0,T. Burke enters the game for R. Neto,,61-60,,
2:44.0,,,61-60,,S. Blake enters the game for R. Jackson
2:44.0,A. Burks makes technical free throw,1,62-60,,
2:37.0,Turnover by T. Burke (bad pass; steal by A. Drummond),,62-60,,
2:28.0,,,62-62,2,A. Drummond makes 2-pt shot at rim (assist by S. Blake)
2:15.0,,,62-62,,Personal foul by K. Caldwell-Pope (drawn by A. Burks)
2:06.0,D. Favors misses 2-pt shot at rim,,62-62,,
2:05.0,,,62-62,,Defensive rebound by A. Drummond
1:53.0,,,62-65,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by S. Blake)
1:44.0,Shooting foul by A. Drummond (drawn by A. Burks),,62-65,,
1:44.0,A. Burks misses free throw 1 of 2,,62-65,,
1:44.0,Offensive rebound by Team,,62-65,,
1:44.0,A. Burks makes free throw 2 of 2,1,63-65,,
1:33.0,Personal foul by A. Burks (drawn by M. Morris),,63-65,,
1:33.0,,,63-66,1,M. Morris makes free throw 1 of 2
1:33.0,,,63-67,1,M. Morris makes free throw 2 of 2
1:19.0,G. Hayward misses 3-pt shot from 24 ft,,63-67,,
1:18.0,,,63-67,,Defensive rebound by S. Blake
0:59.0,,,63-67,,K. Caldwell-Pope misses 3-pt shot from 25 ft
0:58.0,Defensive rebound by A. Burks,,63-67,,
0:42.0,A. Burks misses 2-pt shot from 4 ft (block by A. Drummond),,63-67,,
0:41.0,,,63-67,,Defensive rebound by A. Drummond
0:30.0,,,63-69,2,A. Drummond makes 2-pt shot at rim (assist by S. Blake)
0:06.0,D. Favors misses 2-pt shot from 13 ft,,63-69,,
0:05.0,Offensive rebound by G. Hayward,,63-69,,
0:05.0,G. Hayward misses 2-pt shot at rim,,63-69,,
0:04.0,Offensive rebound by D. Favors,,63-69,,
0:04.0,Shooting foul by A. Tolliver (drawn by D. Favors),,63-69,,
0:04.0,D. Favors makes free throw 1 of 2,1,64-69,,
0:04.0,E. Millsap enters the game for T. Burke,,64-69,,
0:04.0,D. Favors misses free throw 2 of 2,,64-69,,
0:04.0,,,64-69,,Defensive rebound by S. Blake
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,A. Burks misses 2-pt shot from 14 ft,,64-69,,
11:39.0,,,64-69,,Defensive rebound by S. Johnson
11:17.0,,,64-71,2,S. Blake makes 2-pt shot from 11 ft
11:00.0,E. Millsap misses 2-pt shot at rim,,64-71,,
10:59.0,,,64-71,,Defensive rebound by S. Blake
10:58.0,,,64-71,,Shooting foul by R. Hood (drawn by S. Johnson)
10:58.0,,,64-72,1,S. Johnson makes free throw 1 of 2
10:58.0,J. Ingles enters the game for T. Lyles,,64-72,,
10:58.0,,,64-73,1,S. Johnson makes free throw 2 of 2
10:46.0,R. Hood makes 2-pt shot from 15 ft,2,66-73,,
10:27.0,,,66-73,,A. Baynes misses 2-pt shot from 11 ft
10:27.0,,,66-73,,Offensive rebound by A. Tolliver
10:15.0,,,66-73,,S. Johnson misses 2-pt shot from 5 ft (block by R. Gobert)
10:14.0,,,66-73,,Offensive rebound by S. Johnson
10:14.0,,,66-73,,Shooting foul by R. Hood (drawn by S. Johnson)
10:14.0,,,66-74,1,S. Johnson makes free throw 1 of 2
10:14.0,R. Neto enters the game for R. Hood,,66-74,,
10:14.0,,,66-75,1,S. Johnson makes free throw 2 of 2
9:55.0,Shooting foul by A. Baynes (drawn by A. Burks),,66-75,,
9:55.0,A. Burks makes free throw 1 of 2,1,67-75,,
9:55.0,A. Burks makes free throw 2 of 2,1,68-75,,
9:41.0,,,68-75,,R. Bullock misses 3-pt shot from 22 ft
9:41.0,Defensive rebound by R. Gobert,,68-75,,
9:31.0,A. Burks makes 2-pt shot at rim,2,70-75,,
9:24.0,,,70-77,2,S. Johnson makes 2-pt shot at rim (assist by S. Blake)
9:16.0,A. Burks misses 2-pt shot at rim,,70-77,,
9:15.0,,,70-77,,Defensive rebound by A. Tolliver
9:04.0,,,70-77,,A. Tolliver misses 2-pt shot from 16 ft
9:04.0,Defensive rebound by A. Burks,,70-77,,
8:44.0,J. Ingles makes 2-pt shot at rim,2,72-77,,
8:26.0,,,72-77,,S. Johnson misses 3-pt shot from 26 ft
8:25.0,Defensive rebound by R. Gobert,,72-77,,
8:03.0,R. Neto misses 2-pt shot from 10 ft,,72-77,,
8:03.0,,,72-77,,Defensive rebound by A. Baynes
7:50.0,,,72-77,,A. Tolliver misses 2-pt shot from 8 ft
7:50.0,,,72-77,,Offensive rebound by Team
7:50.0,Loose ball foul by E. Millsap (drawn by A. Baynes),,72-77,,
7:50.0,Official timeout,,72-77,,
7:50.0,G. Hayward enters the game for E. Millsap,,72-77,,
7:37.0,,,72-77,,S. Johnson misses 2-pt shot from 4 ft (block by G. Hayward)
7:35.0,Defensive rebound by J. Ingles,,72-77,,
7:19.0,R. Neto makes 3-pt shot from 24 ft (assist by A. Burks),3,75-77,,
6:58.0,,,75-77,,S. Blake misses 3-pt shot from 25 ft
6:58.0,Defensive rebound by Team,,75-77,,
6:58.0,,,75-77,,Loose ball foul by A. Baynes (drawn by R. Gobert)
6:58.0,,,75-77,,R. Jackson enters the game for S. Blake
6:58.0,,,75-77,,A. Drummond enters the game for A. Baynes
6:44.0,A. Burks misses 2-pt shot from 20 ft,,75-77,,
6:44.0,,,75-77,,Defensive rebound by A. Tolliver
6:35.0,,,75-79,2,S. Johnson makes 2-pt shot from 1 ft
6:20.0,Shooting foul by S. Johnson (drawn by G. Hayward),,75-79,,
6:20.0,G. Hayward misses free throw 1 of 2,,75-79,,
6:20.0,Offensive rebound by Team,,75-79,,
6:20.0,,,75-79,,M. Morris enters the game for A. Tolliver
6:20.0,D. Favors enters the game for R. Gobert,,75-79,,
6:20.0,G. Hayward makes free throw 2 of 2,1,76-79,,
5:55.0,,,76-79,,S. Johnson misses 3-pt shot from 26 ft
5:55.0,Defensive rebound by A. Burks,,76-79,,
5:48.0,Turnover by R. Neto (traveling),,76-79,,
5:48.0,,,76-79,,Detroit full timeout
5:48.0,,,76-79,,K. Caldwell-Pope enters the game for R. Bullock
5:31.0,,,76-79,,Offensive foul by R. Jackson
5:31.0,,,76-79,,Turnover by R. Jackson (offensive foul)
5:11.0,A. Burks misses 2-pt shot from 5 ft (block by A. Drummond),,76-79,,
5:09.0,,,76-79,,Defensive rebound by R. Jackson
5:04.0,,,76-81,2,K. Caldwell-Pope makes 2-pt shot from 8 ft
4:55.0,Shooting foul by S. Johnson (drawn by D. Favors),,76-81,,
4:55.0,D. Favors makes free throw 1 of 2,1,77-81,,
4:55.0,D. Favors makes free throw 2 of 2,1,78-81,,
4:42.0,,,78-81,,Shooting foul by D. Favors (drawn by A. Drummond)
4:42.0,,,78-82,1,A. Drummond makes free throw 1 of 2
4:42.0,R. Gobert enters the game for J. Ingles,,78-82,,
4:42.0,,,78-82,,E. Ilyasova enters the game for S. Johnson
4:42.0,,,78-83,1,A. Drummond makes free throw 2 of 2
4:23.0,R. Neto misses 2-pt shot from 9 ft,,78-83,,
4:20.0,,,78-83,,Defensive rebound by M. Morris
3:58.0,,,78-83,,K. Caldwell-Pope misses 2-pt shot from 8 ft
3:58.0,Defensive rebound by A. Burks,,78-83,,
3:48.0,A. Burks makes 2-pt shot from 7 ft,2,80-83,,
3:32.0,,,80-86,3,R. Jackson makes 3-pt shot from 25 ft
3:27.0,Utah full timeout,,80-86,,
3:27.0,R. Hood enters the game for R. Neto,,80-86,,
3:20.0,Offensive foul by G. Hayward,,80-86,,
3:20.0,Turnover by G. Hayward (offensive foul),,80-86,,
2:57.0,,,80-86,,A. Drummond misses 2-pt shot from 5 ft
2:57.0,Defensive rebound by Team,,80-86,,
2:38.0,Shooting foul by E. Ilyasova (drawn by G. Hayward),,80-86,,
2:38.0,G. Hayward misses free throw 1 of 2,,80-86,,
2:38.0,Offensive rebound by Team,,80-86,,
2:38.0,G. Hayward makes free throw 2 of 2,1,81-86,,
2:12.0,,,81-86,,R. Jackson misses 2-pt shot from 7 ft
2:10.0,,,81-86,,Offensive rebound by Team
2:10.0,,,81-86,,Turnover by Team (shot clock)
1:58.0,A. Burks makes 2-pt shot from 13 ft,2,83-86,,
1:42.0,,,83-86,,Turnover by K. Caldwell-Pope (bad pass)
1:21.0,A. Burks makes 2-pt shot from 9 ft,2,85-86,,
1:04.0,,,85-86,,M. Morris misses 2-pt shot from 5 ft (block by R. Gobert)
1:02.0,Defensive rebound by R. Hood,,85-86,,
0:53.0,D. Favors misses 2-pt shot from 10 ft,,85-86,,
0:52.0,,,85-86,,Defensive rebound by A. Drummond
0:42.0,,,85-86,,Turnover by R. Jackson (lost ball; steal by D. Favors)
0:23.0,G. Hayward makes 2-pt shot at rim,2,87-86,,
0:23.0,,,87-86,,Detroit full timeout
0:17.0,,,87-88,2,R. Jackson makes 2-pt shot at rim
