time,Memphis,pts.away,score,pts.home,New Orleans
2:52.0,M. Gasol enters the game for J. Green,,19-28,,
2:52.0,J. Green enters the game for Z. Randolph,,19-28,,
2:52.0,,,19-28,,D. Cunningham enters the game for A. Gee
2:52.0,,,19-28,,A. Davis misses free throw 1 of 2
2:52.0,,,19-28,,Offensive rebound by Team
2:52.0,,,19-29,1,A. Davis makes free throw 2 of 2
2:37.0,C. Lee misses 2-pt shot from 16 ft,,19-29,,
2:36.0,,,19-29,,Defensive rebound by R. Anderson
2:16.0,,,19-32,3,R. Anderson makes 3-pt shot from 24 ft (assist by E. Gordon)
2:01.0,Shooting foul by D. Cunningham (drawn by M. Gasol),,19-32,,
2:01.0,M. Gasol makes free throw 1 of 2,1,20-32,,
2:01.0,M. Gasol makes free throw 2 of 2,1,21-32,,
1:48.0,,,21-34,2,N. Cole makes 2-pt shot from 17 ft (assist by R. Anderson)
1:38.0,M. Chalmers makes 2-pt shot from 1 ft,2,23-34,,
1:26.0,,,23-34,,D. Cunningham misses 3-pt shot from 23 ft
1:23.0,Defensive rebound by M. Gasol,,23-34,,
1:10.0,C. Lee makes 2-pt shot from 1 ft,2,25-34,,
0:58.0,,,25-36,2,R. Anderson makes 2-pt shot from 6 ft (assist by E. Gordon)
0:51.0,Shooting foul by N. Cole (drawn by M. Chalmers),,25-36,,
0:51.0,M. Chalmers makes free throw 1 of 2,1,26-36,,
0:51.0,,,26-36,,I. Smith enters the game for A. Davis
0:51.0,M. Chalmers makes free throw 2 of 2,1,27-36,,
0:36.0,,,27-36,,R. Anderson misses 3-pt shot from 24 ft
0:34.0,,,27-36,,Offensive rebound by D. Cunningham
0:18.0,,,27-36,,Shooting foul by M. Chalmers (drawn by I. Smith)
0:18.0,,,27-37,1,I. Smith makes free throw 1 of 2
0:18.0,,,27-38,1,I. Smith makes free throw 2 of 2
0:01.0,M. Barnes misses 3-pt shot from 24 ft (block by E. Gordon),,27-38,,
0:00.0,Offensive rebound by C. Lee,,27-38,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,27-41,3,N. Cole makes 3-pt shot from 24 ft (assist by E. Gordon)
11:30.0,C. Lee makes 2-pt shot from 19 ft (assist by M. Gasol),2,29-41,,
11:12.0,,,29-41,,D. Cunningham misses 2-pt shot from 3 ft (block by M. Gasol)
11:11.0,Defensive rebound by M. Gasol,,29-41,,
11:10.0,,,29-41,,Personal foul by D. Cunningham (drawn by M. Chalmers)
10:56.0,M. Gasol misses 2-pt shot from 2 ft,,29-41,,
10:55.0,Offensive rebound by J. Green,,29-41,,
10:55.0,J. Green misses 2-pt shot from 3 ft,,29-41,,
10:54.0,Offensive rebound by J. Green,,29-41,,
10:54.0,J. Green makes 2-pt shot from 3 ft,2,31-41,,
10:43.0,,,31-43,2,E. Gordon makes 2-pt shot from 18 ft (assist by I. Smith)
10:23.0,C. Lee makes 2-pt shot from 16 ft,2,33-43,,
10:07.0,,,33-43,,R. Anderson misses 2-pt shot from 16 ft
10:06.0,Defensive rebound by M. Gasol,,33-43,,
9:59.0,Offensive foul by M. Gasol,,33-43,,
9:59.0,Turnover by M. Gasol (offensive foul),,33-43,,
9:49.0,,,33-43,,E. Gordon misses 3-pt shot from 24 ft
9:48.0,Defensive rebound by M. Barnes,,33-43,,
9:42.0,M. Gasol makes 2-pt shot from 1 ft (assist by M. Barnes),2,35-43,,
9:29.0,,,35-43,,N. Cole misses 3-pt shot from 24 ft
9:28.0,Defensive rebound by M. Chalmers,,35-43,,
9:22.0,M. Barnes makes 2-pt shot from 2 ft (assist by M. Chalmers),2,37-43,,
9:15.0,,,37-43,,New Orleans full timeout
9:15.0,,,37-43,,J. Holiday enters the game for R. Anderson
9:15.0,,,37-43,,A. Davis enters the game for N. Cole
9:15.0,,,37-43,,A. Ajinca enters the game for D. Cunningham
9:15.0,,,37-43,,T. Evans enters the game for I. Smith
9:15.0,,,37-43,,Violation by Team (delay of game)
9:06.0,,,37-43,,Shooting foul by J. Green (drawn by E. Gordon)
9:06.0,,,37-44,1,E. Gordon makes free throw 1 of 2
9:06.0,,,37-45,1,E. Gordon makes free throw 2 of 2
8:49.0,,,37-45,,Personal foul by J. Holiday (drawn by M. Chalmers)
8:35.0,M. Barnes makes 3-pt shot from 25 ft (assist by M. Chalmers),3,40-45,,
8:24.0,,,40-45,,J. Holiday misses 3-pt shot from 24 ft
8:23.0,Defensive rebound by J. Green,,40-45,,
8:14.0,M. Gasol makes 2-pt shot from 16 ft (assist by M. Barnes),2,42-45,,
8:00.0,,,42-47,2,A. Davis makes 2-pt shot at rim (assist by T. Evans)
7:39.0,Shooting foul by A. Ajinca (drawn by M. Gasol),,42-47,,
7:39.0,M. Gasol makes free throw 1 of 2,1,43-47,,
7:39.0,,,43-47,,O. Asik enters the game for A. Ajinca
7:39.0,V. Carter enters the game for J. Green,,43-47,,
7:39.0,M. Gasol makes free throw 2 of 2,1,44-47,,
7:22.0,,,44-47,,J. Holiday misses 3-pt shot from 23 ft
7:21.0,,,44-47,,Offensive rebound by A. Davis
7:21.0,,,44-47,,Shooting foul by V. Carter (drawn by A. Davis)
7:21.0,,,44-48,1,A. Davis makes free throw 1 of 2
7:21.0,,,44-48,,A. Davis misses free throw 2 of 2
7:20.0,Defensive rebound by M. Gasol,,44-48,,
7:08.0,M. Gasol makes 2-pt shot from 17 ft (assist by M. Chalmers),2,46-48,,
7:00.0,,,46-48,,Shooting foul by C. Lee (drawn by E. Gordon)
7:00.0,,,46-49,1,E. Gordon makes free throw 1 of 2
7:00.0,,,46-50,1,E. Gordon makes free throw 2 of 2
6:46.0,M. Chalmers makes 2-pt shot from 11 ft,2,48-50,,
6:28.0,,,48-53,3,A. Davis makes 3-pt shot from 23 ft (assist by T. Evans)
6:11.0,Shooting foul by O. Asik (drawn by M. Gasol),,48-53,,
6:11.0,M. Gasol makes free throw 1 of 2,1,49-53,,
6:11.0,,,49-53,,A. Gee enters the game for E. Gordon
6:11.0,M. Gasol makes free throw 2 of 2,1,50-53,,
5:56.0,,,50-53,,Turnover by A. Davis (traveling)
5:56.0,Official timeout,,50-53,,
5:46.0,M. Chalmers makes 2-pt shot from 2 ft (assist by M. Gasol),2,52-53,,
5:19.0,,,52-53,,A. Davis misses 2-pt shot from 2 ft
5:17.0,Defensive rebound by V. Carter,,52-53,,
5:08.0,M. Gasol misses 2-pt shot from 15 ft,,52-53,,
5:07.0,Offensive rebound by V. Carter,,52-53,,
5:07.0,V. Carter makes 2-pt shot from 2 ft,2,54-53,,
4:56.0,,,54-53,,Shooting foul by V. Carter (drawn by J. Holiday)
4:56.0,,,54-54,1,J. Holiday makes free throw 1 of 2
4:56.0,,,54-55,1,J. Holiday makes free throw 2 of 2
4:46.0,,,54-55,,Personal foul by A. Gee (drawn by M. Chalmers)
4:46.0,M. Chalmers misses free throw 1 of 2,,54-55,,
4:46.0,Offensive rebound by Team,,54-55,,
4:46.0,,,54-55,,R. Anderson enters the game for O. Asik
4:46.0,M. Chalmers makes free throw 2 of 2,1,55-55,,
4:32.0,,,55-55,,T. Evans misses 3-pt shot from 24 ft
4:31.0,Defensive rebound by V. Carter,,55-55,,
4:20.0,,,55-55,,Def 3 sec tech foul by T. Evans
4:20.0,C. Lee makes technical free throw,1,56-55,,
4:20.0,J. Green enters the game for M. Barnes,,56-55,,
4:05.0,M. Gasol makes 2-pt shot from 10 ft (assist by C. Lee),2,58-55,,
3:41.0,,,58-55,,A. Davis misses 2-pt shot from 12 ft
3:40.0,Defensive rebound by M. Gasol,,58-55,,
3:19.0,M. Gasol makes 2-pt shot from 15 ft (assist by V. Carter),2,60-55,,
3:04.0,,,60-55,,A. Davis misses 2-pt shot from 13 ft
3:03.0,,,60-55,,Offensive rebound by R. Anderson
3:03.0,,,60-55,,R. Anderson misses 2-pt shot from 1 ft
3:02.0,Defensive rebound by M. Gasol,,60-55,,
2:58.0,C. Lee misses 2-pt shot from 1 ft,,60-55,,
2:57.0,,,60-55,,Defensive rebound by J. Holiday
2:41.0,,,60-55,,R. Anderson misses 2-pt shot from 11 ft
2:40.0,,,60-55,,Offensive rebound by T. Evans
2:39.0,,,60-57,2,T. Evans makes 2-pt shot from 1 ft
2:32.0,Memphis full timeout,,60-57,,
2:32.0,,,60-57,,I. Smith enters the game for J. Holiday
2:32.0,M. Conley enters the game for M. Chalmers,,60-57,,
2:17.0,C. Lee makes 2-pt shot from 2 ft (assist by J. Green),2,62-57,,
2:02.0,,,62-59,2,R. Anderson makes 2-pt shot at rim (assist by T. Evans)
1:40.0,M. Gasol misses 2-pt shot from 18 ft,,62-59,,
1:39.0,,,62-59,,Defensive rebound by T. Evans
1:27.0,,,62-61,2,T. Evans makes 2-pt shot from 2 ft
1:18.0,C. Lee misses 2-pt shot from 12 ft,,62-61,,
1:17.0,,,62-61,,Defensive rebound by A. Gee
1:09.0,,,62-64,3,R. Anderson makes 3-pt shot from 24 ft (assist by T. Evans)
0:50.0,M. Gasol misses 2-pt shot from 6 ft,,62-64,,
0:49.0,,,62-64,,Defensive rebound by R. Anderson
0:39.0,,,62-64,,R. Anderson misses 2-pt shot from 22 ft
0:38.0,Defensive rebound by J. Green,,62-64,,
0:31.0,J. Green misses 2-pt shot from 3 ft (block by A. Davis),,62-64,,
0:30.0,,,62-64,,Defensive rebound by A. Davis
0:24.0,Personal foul by V. Carter (drawn by A. Davis),,62-64,,
0:24.0,,,62-65,1,A. Davis makes free throw 1 of 2
0:24.0,,,62-65,,A. Davis misses free throw 2 of 2
0:24.0,Defensive rebound by J. Green,,62-65,,
0:05.0,M. Conley makes 2-pt shot from 1 ft,2,64-65,,
0:00.0,,,64-65,,T. Evans misses 3-pt shot from 41 ft
0:00.0,,,64-65,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
12:00.0,Violation by Team (delay of game),,64-65,,
11:45.0,,,64-65,,A. Davis misses 2-pt shot from 12 ft
11:44.0,Defensive rebound by M. Gasol,,64-65,,
11:26.0,Z. Randolph misses 2-pt shot from 5 ft (block by A. Davis),,64-65,,
11:24.0,Offensive rebound by T. Allen,,64-65,,
11:19.0,M. Gasol makes 2-pt shot from 19 ft (assist by T. Allen),2,66-65,,
11:11.0,Personal foul by T. Allen (drawn by T. Evans),,66-65,,
10:58.0,,,66-65,,J. Holiday misses 2-pt shot from 21 ft
10:57.0,Defensive rebound by M. Gasol,,66-65,,
10:44.0,Z. Randolph misses 2-pt shot from 3 ft,,66-65,,
10:43.0,,,66-65,,Defensive rebound by A. Ajinca
10:25.0,,,66-67,2,T. Evans makes 2-pt shot from 1 ft
10:07.0,M. Gasol misses 2-pt shot from 17 ft,,66-67,,
10:06.0,Offensive rebound by Team,,66-67,,
10:05.0,Z. Randolph misses 2-pt shot from 4 ft (block by A. Davis),,66-67,,
10:05.0,,,66-67,,Defensive rebound by Team
9:56.0,Personal foul by T. Allen (drawn by T. Evans),,66-67,,
9:51.0,,,66-67,,A. Ajinca misses 2-pt shot at rim
9:50.0,,,66-67,,Offensive rebound by A. Davis
9:41.0,,,66-69,2,A. Ajinca makes 2-pt shot at rim (assist by T. Evans)
9:21.0,Turnover by M. Gasol (lost ball),,66-69,,
9:08.0,,,66-69,,T. Evans misses 2-pt shot from 17 ft
9:07.0,Defensive rebound by J. Green,,66-69,,
8:58.0,M. Conley misses 2-pt shot from 19 ft,,66-69,,
8:56.0,Offensive rebound by Z. Randolph,,66-69,,
8:55.0,Z. Randolph misses 2-pt shot from 1 ft,,66-69,,
8:55.0,Offensive rebound by Z. Randolph,,66-69,,
8:54.0,Z. Randolph makes 2-pt shot from 1 ft,2,68-69,,
8:39.0,,,68-69,,Turnover by J. Holiday (bad pass)
8:21.0,T. Allen misses 3-pt shot from 23 ft,,68-69,,
8:20.0,,,68-69,,Defensive rebound by A. Ajinca
8:07.0,,,68-71,2,A. Ajinca makes 2-pt shot from 16 ft (assist by J. Holiday)
7:49.0,Turnover by M. Conley (bad pass; steal by A. Davis),,68-71,,
7:37.0,,,68-73,2,A. Davis makes 2-pt shot from 14 ft
7:20.0,M. Gasol makes 2-pt shot from 17 ft (assist by M. Conley),2,70-73,,
7:13.0,,,70-73,,Turnover by J. Holiday (lost ball)
7:04.0,,,70-73,,Personal foul by A. Gee (drawn by J. Green)
6:53.0,M. Conley misses 3-pt shot from 25 ft,,70-73,,
6:52.0,,,70-73,,Defensive rebound by A. Davis
6:44.0,,,70-76,3,J. Holiday makes 3-pt shot from 24 ft (assist by T. Evans)
6:33.0,,,70-76,,Personal foul by A. Ajinca (drawn by M. Gasol)
6:33.0,,,70-76,,R. Anderson enters the game for A. Ajinca
6:33.0,,,70-76,,E. Gordon enters the game for J. Holiday
6:22.0,Shooting foul by E. Gordon (drawn by T. Allen),,70-76,,
6:22.0,T. Allen makes 2-pt shot from 1 ft (assist by M. Gasol),2,72-76,,
6:22.0,T. Allen makes free throw 1 of 1,1,73-76,,
6:04.0,,,73-76,,Turnover by E. Gordon (lost ball; steal by T. Allen)
6:01.0,M. Conley misses 2-pt shot from 1 ft,,73-76,,
6:00.0,,,73-76,,Defensive rebound by A. Davis
5:53.0,,,73-76,,E. Gordon misses 3-pt shot from 23 ft
5:52.0,Defensive rebound by Team,,73-76,,
5:52.0,,,73-76,,New Orleans full timeout
5:52.0,,,73-76,,I. Smith enters the game for T. Evans
5:31.0,Z. Randolph misses 2-pt shot from 2 ft (block by A. Davis),,73-76,,
5:29.0,Offensive rebound by T. Allen,,73-76,,
5:16.0,J. Green misses 2-pt shot from 1 ft,,73-76,,
5:16.0,Offensive rebound by Z. Randolph,,73-76,,
5:16.0,Z. Randolph makes 2-pt shot from 2 ft,2,75-76,,
5:16.0,Shooting foul by A. Davis (drawn by Z. Randolph),,75-76,,
5:16.0,Z. Randolph makes free throw 1 of 1,1,76-76,,
4:54.0,,,76-78,2,I. Smith makes 2-pt shot from 6 ft (assist by E. Gordon)
4:40.0,,,76-78,,Violation by A. Davis (kicked ball)
4:29.0,J. Green misses 3-pt shot from 25 ft,,76-78,,
4:29.0,,,76-78,,Defensive rebound by E. Gordon
4:23.0,,,76-78,,A. Gee misses 2-pt shot from 1 ft
4:22.0,Defensive rebound by M. Gasol,,76-78,,
4:17.0,M. Chalmers enters the game for M. Conley,,76-78,,
4:17.0,M. Barnes enters the game for J. Green,,76-78,,
4:07.0,Z. Randolph misses 2-pt shot from 5 ft,,76-78,,
4:06.0,Offensive rebound by M. Barnes,,76-78,,
4:06.0,,,76-78,,Violation by A. Davis (def goaltending)
4:06.0,M. Barnes makes 2-pt shot from 1 ft,2,78-78,,
3:47.0,,,78-78,,I. Smith misses 2-pt shot from 1 ft (block by M. Gasol)
3:46.0,,,78-78,,Offensive rebound by R. Anderson
3:46.0,,,78-80,2,R. Anderson makes 2-pt shot from 2 ft
3:39.0,M. Barnes makes 2-pt shot from 2 ft (assist by M. Chalmers),2,80-80,,
3:32.0,,,80-80,,Turnover by I. Smith (bad pass)
3:32.0,C. Lee enters the game for T. Allen,,80-80,,
3:07.0,C. Lee misses 2-pt shot from 14 ft,,80-80,,
3:06.0,,,80-80,,Defensive rebound by A. Davis
3:03.0,,,80-80,,Turnover by I. Smith (lost ball; steal by C. Lee)
2:57.0,Shooting foul by I. Smith (drawn by M. Gasol),,80-80,,
2:57.0,Memphis full timeout,,80-80,,
2:57.0,,,80-80,,N. Cole enters the game for A. Gee
2:57.0,M. Gasol makes free throw 1 of 2,1,81-80,,
2:57.0,M. Gasol makes free throw 2 of 2,1,82-80,,
2:39.0,,,82-80,,N. Cole misses 3-pt shot from 25 ft
2:39.0,Defensive rebound by M. Chalmers,,82-80,,
2:25.0,M. Chalmers makes 2-pt shot from 6 ft,2,84-80,,
2:12.0,,,84-80,,A. Davis misses 2-pt shot from 3 ft (block by M. Gasol)
2:11.0,Defensive rebound by M. Barnes,,84-80,,
2:06.0,Shooting foul by N. Cole (drawn by M. Gasol),,84-80,,
2:06.0,M. Gasol makes free throw 1 of 2,1,85-80,,
2:06.0,M. Gasol makes free throw 2 of 2,1,86-80,,
1:51.0,,,86-80,,Shooting foul by M. Barnes (drawn by A. Davis)
1:51.0,,,86-81,1,A. Davis makes free throw 1 of 2
1:51.0,J. Green enters the game for M. Gasol,,86-81,,
1:51.0,,,86-82,1,A. Davis makes free throw 2 of 2
1:30.0,M. Barnes misses 2-pt shot from 16 ft (block by A. Davis),,86-82,,
1:29.0,,,86-82,,Defensive rebound by Team
1:29.0,Loose ball foul by Z. Randolph (drawn by A. Davis),,86-82,,
1:29.0,,,86-83,1,A. Davis makes free throw 1 of 2
1:29.0,,,86-84,1,A. Davis makes free throw 2 of 2
1:09.0,C. Lee makes 2-pt shot from 2 ft,2,88-84,,
1:04.0,Personal block foul by C. Lee (drawn by N. Cole),,88-84,,
1:04.0,,,88-85,1,N. Cole makes free throw 1 of 2
1:04.0,,,88-85,,O. Asik enters the game for A. Davis
1:04.0,,,88-85,,N. Cole misses free throw 2 of 2
1:03.0,Defensive rebound by J. Green,,88-85,,
0:47.0,Z. Randolph makes 2-pt shot from 1 ft,2,90-85,,
0:47.0,Shooting foul by O. Asik (drawn by Z. Randolph),,90-85,,
0:47.0,T. Allen enters the game for J. Green,,90-85,,
0:47.0,Z. Randolph makes free throw 1 of 1,1,91-85,,
0:28.0,,,91-85,,N. Cole misses 2-pt shot from 20 ft
0:27.0,Defensive rebound by T. Allen,,91-85,,
0:14.0,,,91-85,,Violation by I. Smith (kicked ball)
0:14.0,V. Carter enters the game for T. Allen,,91-85,,
0:01.0,Z. Randolph misses 2-pt shot from 14 ft,,91-85,,
0:00.0,Offensive rebound by M. Chalmers,,91-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,C. Lee misses 2-pt shot from 1 ft,,91-85,,
11:36.0,,,91-85,,Defensive rebound by R. Anderson
11:27.0,,,91-85,,R. Anderson misses 3-pt shot from 25 ft
11:26.0,Defensive rebound by Z. Randolph,,91-85,,
11:17.0,Shooting foul by E. Gordon (drawn by M. Barnes),,91-85,,
11:17.0,M. Barnes makes free throw 1 of 2,1,92-85,,
11:17.0,M. Gasol enters the game for Z. Randolph,,92-85,,
11:17.0,J. Green enters the game for J. Green,,92-85,,
11:17.0,M. Barnes makes free throw 2 of 2,1,93-85,,
10:52.0,,,93-85,,E. Gordon misses 3-pt shot from 24 ft
10:51.0,Defensive rebound by M. Barnes,,93-85,,
10:43.0,C. Lee makes 2-pt shot from 1 ft (assist by M. Gasol),2,95-85,,
10:43.0,,,95-85,,New Orleans full timeout
10:43.0,,,95-85,,T. Evans enters the game for E. Gordon
10:43.0,,,95-85,,A. Davis enters the game for I. Smith
10:43.0,,,95-85,,J. Holiday enters the game for O. Asik
10:28.0,,,95-85,,N. Cole misses 2-pt shot from 19 ft
10:27.0,,,95-85,,Offensive rebound by T. Evans
10:13.0,,,95-87,2,T. Evans makes 2-pt shot from 1 ft
9:56.0,Turnover by M. Gasol (bad pass; steal by A. Davis),,95-87,,
9:56.0,Personal foul by M. Chalmers (drawn by N. Cole),,95-87,,
9:42.0,,,95-87,,A. Davis misses 2-pt shot from 2 ft
9:42.0,Defensive rebound by Team,,95-87,,
9:25.0,M. Gasol misses 2-pt shot from 12 ft (block by A. Davis),,95-87,,
9:23.0,,,95-87,,Defensive rebound by A. Davis
9:17.0,,,95-87,,R. Anderson misses 3-pt shot from 24 ft
9:16.0,Defensive rebound by M. Chalmers,,95-87,,
9:10.0,M. Barnes misses 2-pt shot from 1 ft (block by T. Evans),,95-87,,
9:09.0,,,95-87,,Defensive rebound by R. Anderson
9:06.0,Shooting block foul by M. Chalmers (drawn by N. Cole),,95-87,,
9:06.0,,,95-88,1,N. Cole makes free throw 1 of 2
9:06.0,,,95-88,,N. Cole misses free throw 2 of 2
9:05.0,Defensive rebound by M. Gasol,,95-88,,
8:56.0,,,95-88,,Personal foul by N. Cole (drawn by M. Chalmers)
8:50.0,,,95-88,,Personal foul by N. Cole (drawn by M. Gasol)
8:39.0,J. Green misses 2-pt shot from 2 ft,,95-88,,
8:38.0,,,95-88,,Defensive rebound by R. Anderson
8:29.0,,,95-88,,Shooting foul by C. Lee (drawn by T. Evans)
8:29.0,,,95-89,1,T. Evans makes free throw 1 of 2
8:29.0,,,95-90,1,T. Evans makes free throw 2 of 2
8:12.0,M. Gasol makes 2-pt shot from 6 ft,2,97-90,,
8:01.0,,,97-90,,R. Anderson misses 2-pt shot from 2 ft (block by M. Gasol)
8:01.0,,,97-90,,Offensive rebound by Team
8:01.0,,,97-90,,A. Gee enters the game for J. Holiday
7:59.0,,,97-90,,Turnover by A. Gee (bad pass; steal by J. Green)
7:54.0,M. Barnes makes 2-pt shot from 1 ft,2,99-90,,
7:36.0,,,99-90,,T. Evans misses 3-pt shot from 25 ft
7:35.0,Defensive rebound by M. Gasol,,99-90,,
7:18.0,J. Green misses 2-pt shot from 15 ft,,99-90,,
7:17.0,,,99-90,,Defensive rebound by A. Davis
7:11.0,,,99-90,,Shooting foul by M. Chalmers (drawn by N. Cole)
7:11.0,,,99-90,,N. Cole misses free throw 1 of 2
7:11.0,,,99-90,,Offensive rebound by Team
7:11.0,,,99-91,1,N. Cole makes free throw 2 of 2
7:09.0,Memphis full timeout,,99-91,,
7:09.0,M. Conley enters the game for M. Chalmers,,99-91,,
6:57.0,M. Conley makes 2-pt shot from 8 ft (assist by M. Gasol),2,101-91,,
6:45.0,,,101-93,2,A. Davis makes 2-pt shot from 1 ft (assist by T. Evans)
6:45.0,,,101-93,,Shooting foul by J. Green (drawn by A. Davis)
6:45.0,,,101-93,,A. Davis misses free throw 1 of 1
6:44.0,Defensive rebound by M. Barnes,,101-93,,
6:24.0,M. Gasol misses 2-pt shot from 10 ft (block by A. Davis),,101-93,,
6:22.0,,,101-93,,Defensive rebound by R. Anderson
6:10.0,,,101-93,,A. Davis misses 2-pt shot from 8 ft
6:08.0,Defensive rebound by M. Barnes,,101-93,,
5:55.0,M. Gasol makes 2-pt shot from 20 ft (assist by M. Conley),2,103-93,,
5:34.0,,,103-95,2,R. Anderson makes 2-pt shot from 2 ft (assist by T. Evans)
5:18.0,M. Gasol makes 2-pt shot from 20 ft (assist by M. Conley),2,105-95,,
5:04.0,,,105-95,,Shooting foul by M. Barnes (drawn by A. Davis)
5:04.0,,,105-95,,A. Davis misses free throw 1 of 2
5:04.0,,,105-95,,Offensive rebound by Team
5:04.0,,,105-95,,J. Holiday enters the game for A. Gee
