time,New York,pts.away,score,pts.home,Detroit
5:30.0,,,22-48,,E. Ilyasova enters the game for D. Hilliard
5:30.0,,,22-49,1,R. Jackson makes free throw 2 of 2
5:07.0,Shooting foul by M. Morris (drawn by C. Anthony),,22-49,,
5:07.0,C. Anthony misses free throw 1 of 2,,22-49,,
5:07.0,Offensive rebound by Team,,22-49,,
5:07.0,C. Anthony makes free throw 2 of 2,1,23-49,,
4:55.0,,,23-49,,R. Jackson misses 2-pt shot at rim
4:54.0,,,23-49,,Offensive rebound by A. Drummond
4:51.0,,,23-49,,A. Drummond misses 2-pt shot at rim
4:50.0,Defensive rebound by C. Anthony,,23-49,,
4:34.0,R. Lopez misses 2-pt shot from 4 ft,,23-49,,
4:33.0,,,23-49,,Defensive rebound by E. Ilyasova
4:28.0,Personal foul by L. Thomas (drawn by E. Ilyasova),,23-49,,
4:28.0,K. Porzingis enters the game for L. Thomas,,23-49,,
4:21.0,,,23-49,,Shooting foul by R. Lopez (drawn by S. Johnson)
4:21.0,,,23-50,1,S. Johnson makes free throw 1 of 2
4:21.0,,,23-50,,S. Johnson misses free throw 2 of 2
4:20.0,Defensive rebound by R. Lopez,,23-50,,
4:05.0,L. Galloway misses 2-pt shot from 7 ft,,23-50,,
4:02.0,Offensive rebound by R. Lopez,,23-50,,
3:59.0,R. Lopez makes 2-pt shot at rim,2,25-50,,
3:49.0,,,25-50,,R. Jackson misses 2-pt shot at rim
3:48.0,Defensive rebound by C. Anthony,,25-50,,
3:41.0,A. Afflalo misses 3-pt shot from 25 ft,,25-50,,
3:40.0,,,25-50,,Defensive rebound by R. Jackson
3:35.0,,,25-50,,Turnover by E. Ilyasova (traveling)
3:14.0,C. Anthony misses 2-pt shot from 17 ft,,25-50,,
3:12.0,,,25-50,,Defensive rebound by A. Drummond
3:00.0,Personal foul by A. Afflalo (drawn by M. Morris),,25-50,,
3:00.0,,,25-51,1,M. Morris makes free throw 1 of 2
3:00.0,,,25-52,1,M. Morris makes free throw 2 of 2
2:49.0,,,25-52,,Personal foul by S. Johnson (drawn by A. Afflalo)
2:49.0,,,25-52,,Detroit full timeout
2:49.0,A. Afflalo makes free throw 1 of 2,1,26-52,,
2:49.0,A. Afflalo makes free throw 2 of 2,1,27-52,,
2:29.0,,,27-52,,Turnover by A. Drummond (bad pass)
2:07.0,R. Lopez makes 2-pt shot at rim (assist by L. Galloway),2,29-52,,
1:57.0,,,29-52,,Turnover by S. Johnson (bad pass; steal by C. Anthony)
1:50.0,C. Anthony makes 2-pt shot from 20 ft,2,31-52,,
1:38.0,Personal foul by L. Galloway (drawn by R. Jackson),,31-52,,
1:38.0,,,31-53,1,R. Jackson makes free throw 1 of 2
1:38.0,,,31-53,,A. Baynes enters the game for A. Drummond
1:38.0,,,31-54,1,R. Jackson makes free throw 2 of 2
1:17.0,A. Afflalo misses 2-pt shot from 15 ft,,31-54,,
1:16.0,,,31-54,,Defensive rebound by M. Morris
1:08.0,,,31-56,2,M. Morris makes 2-pt shot from 14 ft
0:59.0,Shooting foul by A. Baynes (drawn by C. Anthony),,31-56,,
0:59.0,C. Anthony makes free throw 1 of 2,1,32-56,,
0:59.0,,,32-56,,B. Jennings enters the game for R. Jackson
0:59.0,D. Williams enters the game for R. Lopez,,32-56,,
0:59.0,C. Anthony makes free throw 2 of 2,1,33-56,,
0:43.0,,,33-58,2,M. Morris makes 2-pt shot from 20 ft
0:31.0,L. Galloway makes 2-pt shot at rim,2,35-58,,
0:31.0,,,35-58,,Violation by A. Baynes (def goaltending)
0:07.0,,,35-58,,M. Morris misses 3-pt shot from 25 ft
0:07.0,Defensive rebound by L. Galloway,,35-58,,
0:04.0,Shooting foul by S. Johnson (drawn by C. Anthony),,35-58,,
0:04.0,C. Anthony misses free throw 1 of 2,,35-58,,
0:04.0,Offensive rebound by Team,,35-58,,
0:04.0,J. Grant enters the game for L. Galloway,,35-58,,
0:04.0,C. Anthony makes free throw 2 of 2,1,36-58,,
0:02.0,,,36-60,2,B. Jennings makes 2-pt shot at rim (assist by M. Morris)
0:00.0,C. Anthony misses 3-pt shot from 46 ft,,36-60,,
0:00.0,Offensive rebound by Team,,36-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,Turnover by A. Afflalo (lost ball; steal by M. Morris),,36-60,,
11:36.0,Loose ball foul by A. Afflalo (drawn by M. Morris),,36-60,,
11:25.0,,,36-60,,E. Ilyasova misses 3-pt shot from 25 ft
11:24.0,Defensive rebound by C. Anthony,,36-60,,
11:15.0,K. Porzingis misses 2-pt shot from 18 ft,,36-60,,
11:14.0,,,36-60,,Defensive rebound by A. Drummond
11:04.0,,,36-60,,E. Ilyasova misses 3-pt shot from 26 ft
11:03.0,Defensive rebound by C. Anthony,,36-60,,
10:52.0,C. Anthony makes 2-pt shot at rim,2,38-60,,
10:33.0,Personal foul by C. Anthony (drawn by M. Morris),,38-60,,
10:28.0,,,38-62,2,S. Johnson makes 2-pt shot at rim (assist by M. Morris)
10:15.0,A. Afflalo makes 2-pt shot from 16 ft (assist by C. Anthony),2,40-62,,
9:53.0,,,40-62,,A. Drummond misses 2-pt shot from 8 ft
9:51.0,Defensive rebound by K. Porzingis,,40-62,,
9:44.0,A. Afflalo makes 2-pt shot from 6 ft (assist by J. Calderon),2,42-62,,
9:44.0,,,42-62,,Detroit full timeout
9:31.0,,,42-64,2,M. Morris makes 2-pt shot at rim (assist by R. Jackson)
9:05.0,Turnover by Team (shot clock),,42-64,,
9:05.0,Violation by Team (jump ball),,42-64,,
8:50.0,,,42-64,,M. Morris misses 2-pt shot from 17 ft
8:50.0,Defensive rebound by A. Afflalo,,42-64,,
8:38.0,Shooting foul by A. Drummond (drawn by C. Anthony),,42-64,,
8:38.0,C. Anthony makes free throw 1 of 2,1,43-64,,
8:38.0,C. Anthony makes free throw 2 of 2,1,44-64,,
8:23.0,,,44-66,2,A. Drummond makes 2-pt shot from 5 ft (assist by S. Johnson)
8:14.0,R. Lopez makes 2-pt shot from 5 ft (assist by J. Calderon),2,46-66,,
8:02.0,,,46-68,2,R. Jackson makes 2-pt shot from 16 ft
7:51.0,Shooting foul by A. Drummond (drawn by C. Anthony),,46-68,,
7:51.0,C. Anthony makes free throw 1 of 2,1,47-68,,
7:51.0,L. Galloway enters the game for J. Calderon,,47-68,,
7:51.0,C. Anthony makes free throw 2 of 2,1,48-68,,
7:36.0,,,48-68,,A. Drummond misses 2-pt shot from 4 ft
7:36.0,Defensive rebound by Team,,48-68,,
7:36.0,L. Thomas enters the game for K. Porzingis,,48-68,,
7:21.0,Shooting foul by E. Ilyasova (drawn by L. Thomas),,48-68,,
7:21.0,L. Thomas makes free throw 1 of 2,1,49-68,,
7:21.0,L. Thomas makes free throw 2 of 2,1,50-68,,
7:08.0,,,50-68,,A. Drummond misses 2-pt shot at rim
7:07.0,,,50-68,,Offensive rebound by A. Drummond
7:02.0,,,50-70,2,A. Drummond makes 2-pt shot at rim
6:57.0,Offensive foul by R. Lopez,,50-70,,
6:57.0,Turnover by R. Lopez (offensive foul),,50-70,,
6:43.0,,,50-70,,A. Drummond misses 2-pt shot at rim
6:42.0,Defensive rebound by Team,,50-70,,
6:23.0,R. Lopez makes 2-pt shot from 7 ft (assist by C. Anthony),2,52-70,,
6:12.0,,,52-70,,R. Jackson misses 2-pt shot at rim
6:11.0,Defensive rebound by R. Lopez,,52-70,,
6:11.0,,,52-70,,Personal foul by A. Drummond (drawn by R. Lopez)
6:11.0,,,52-70,,A. Baynes enters the game for A. Drummond
5:54.0,A. Afflalo makes 2-pt shot from 14 ft (assist by R. Lopez),2,54-70,,
5:27.0,,,54-72,2,A. Baynes makes 2-pt shot from 16 ft
5:17.0,,,54-72,,Personal foul by A. Baynes (drawn by C. Anthony)
5:17.0,C. Anthony makes free throw 1 of 2,1,55-72,,
5:17.0,C. Anthony misses free throw 2 of 2,,55-72,,
5:16.0,,,55-72,,Defensive rebound by E. Ilyasova
4:58.0,,,55-72,,Detroit full timeout
4:49.0,,,55-74,2,M. Morris makes 2-pt shot from 19 ft
4:33.0,A. Afflalo makes 2-pt shot from 5 ft,2,57-74,,
4:16.0,,,57-74,,E. Ilyasova misses 2-pt shot from 15 ft
4:15.0,Defensive rebound by R. Lopez,,57-74,,
4:04.0,Shooting foul by E. Ilyasova (drawn by L. Thomas),,57-74,,
4:04.0,L. Thomas makes free throw 1 of 2,1,58-74,,
4:04.0,,,58-74,,A. Tolliver enters the game for E. Ilyasova
4:04.0,L. Thomas makes free throw 2 of 2,1,59-74,,
3:51.0,,,59-74,,R. Jackson misses 2-pt shot from 15 ft
3:50.0,Defensive rebound by R. Lopez,,59-74,,
3:42.0,Shooting foul by A. Tolliver (drawn by R. Lopez),,59-74,,
3:42.0,R. Lopez makes free throw 1 of 2,1,60-74,,
3:42.0,R. Lopez makes free throw 2 of 2,1,61-74,,
3:28.0,,,61-74,,S. Johnson misses 2-pt shot from 16 ft
3:27.0,Defensive rebound by R. Lopez,,61-74,,
3:18.0,R. Lopez misses 2-pt shot at rim,,61-74,,
3:17.0,Offensive rebound by R. Lopez,,61-74,,
3:14.0,R. Lopez makes 2-pt shot at rim,2,63-74,,
2:51.0,,,63-74,,A. Baynes misses 2-pt shot from 12 ft
2:50.0,Defensive rebound by C. Anthony,,63-74,,
2:39.0,Turnover by R. Lopez (bad pass; steal by R. Jackson),,63-74,,
2:22.0,,,63-76,2,R. Jackson makes 2-pt shot from 7 ft
2:22.0,New York full timeout,,63-76,,
2:22.0,,,63-76,,D. Hilliard enters the game for S. Johnson
2:22.0,,,63-76,,B. Jennings enters the game for R. Jackson
2:22.0,,,63-76,,E. Ilyasova enters the game for A. Tolliver
1:59.0,A. Afflalo makes 3-pt shot from 22 ft (assist by C. Anthony),3,66-76,,
1:38.0,,,66-76,,A. Baynes misses 2-pt shot from 5 ft
1:37.0,Defensive rebound by C. Anthony,,66-76,,
1:29.0,C. Anthony misses 2-pt shot from 12 ft,,66-76,,
1:26.0,,,66-76,,Defensive rebound by A. Baynes
1:17.0,,,66-78,2,A. Baynes makes 2-pt shot at rim (assist by E. Ilyasova)
1:03.0,L. Thomas makes 3-pt shot from 25 ft (assist by C. Anthony),3,69-78,,
0:42.0,,,69-78,,A. Baynes misses 2-pt shot from 19 ft
0:39.0,Defensive rebound by C. Anthony,,69-78,,
0:31.0,,,69-78,,Personal foul by D. Hilliard (drawn by A. Afflalo)
0:31.0,A. Afflalo makes free throw 1 of 2,1,70-78,,
0:31.0,K. Porzingis enters the game for R. Lopez,,70-78,,
0:31.0,A. Afflalo makes free throw 2 of 2,1,71-78,,
0:11.0,,,71-78,,E. Ilyasova misses 3-pt shot from 25 ft
0:09.0,Defensive rebound by C. Anthony,,71-78,,
0:02.0,C. Anthony misses 2-pt shot at rim,,71-78,,
0:00.0,,,71-78,,Defensive rebound by E. Ilyasova
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,71-78,,Shooting foul by S. Vujacic (drawn by E. Ilyasova)
11:41.0,,,71-79,1,E. Ilyasova makes free throw 1 of 2
11:41.0,,,71-80,1,E. Ilyasova makes free throw 2 of 2
11:22.0,A. Afflalo makes 2-pt shot from 6 ft,2,73-80,,
11:02.0,,,73-82,2,B. Jennings makes 2-pt shot from 12 ft
10:50.0,L. Galloway makes 2-pt shot from 6 ft,2,75-82,,
10:27.0,,,75-84,2,A. Drummond makes 2-pt shot from 6 ft (assist by S. Johnson)
10:08.0,K. Porzingis makes 2-pt shot from 7 ft (assist by L. Galloway),2,77-84,,
9:59.0,Personal foul by L. Galloway (drawn by B. Jennings),,77-84,,
9:48.0,,,77-84,,Turnover by A. Drummond (lost ball)
9:38.0,L. Galloway misses 2-pt shot from 16 ft,,77-84,,
9:37.0,,,77-84,,Defensive rebound by E. Ilyasova
9:29.0,,,77-84,,B. Jennings misses 2-pt shot at rim
9:28.0,Defensive rebound by L. Galloway,,77-84,,
9:21.0,S. Vujacic misses 2-pt shot at rim,,77-84,,
9:20.0,,,77-84,,Defensive rebound by S. Johnson
9:12.0,,,77-86,2,E. Ilyasova makes 2-pt shot from 13 ft (assist by S. Johnson)
8:54.0,A. Afflalo makes 2-pt shot at rim,2,79-86,,
8:54.0,Shooting foul by S. Johnson (drawn by A. Afflalo),,79-86,,
8:54.0,Official timeout,,79-86,,
8:54.0,C. Anthony enters the game for S. Vujacic,,79-86,,
8:54.0,,,79-86,,M. Morris enters the game for E. Ilyasova
8:54.0,A. Afflalo makes free throw 1 of 1,1,80-86,,
8:46.0,Personal foul by C. Anthony (drawn by M. Morris),,80-86,,
8:46.0,,,80-86,,Technical foul by M. Morris
8:46.0,A. Afflalo makes technical free throw,1,81-86,,
8:30.0,,,81-86,,Turnover by D. Hilliard (traveling)
8:19.0,A. Afflalo misses 3-pt shot from 27 ft,,81-86,,
8:18.0,,,81-86,,Defensive rebound by A. Drummond
8:00.0,,,81-86,,M. Morris misses 2-pt shot from 18 ft
7:59.0,Defensive rebound by K. Porzingis,,81-86,,
7:50.0,K. Porzingis misses 3-pt shot from 28 ft,,81-86,,
7:49.0,,,81-86,,Defensive rebound by S. Johnson
7:42.0,,,81-86,,S. Johnson misses 2-pt shot at rim
7:41.0,Defensive rebound by L. Thomas,,81-86,,
7:35.0,C. Anthony misses 3-pt shot from 26 ft,,81-86,,
7:34.0,Offensive rebound by Team,,81-86,,
7:34.0,,,81-86,,Loose ball foul by M. Morris (drawn by K. Porzingis)
7:34.0,R. Lopez enters the game for K. Porzingis,,81-86,,
7:34.0,,,81-86,,A. Tolliver enters the game for D. Hilliard
7:27.0,L. Thomas misses 3-pt shot from 25 ft,,81-86,,
7:26.0,,,81-86,,Defensive rebound by A. Tolliver
7:10.0,,,81-88,2,B. Jennings makes 2-pt shot from 9 ft
6:52.0,L. Thomas misses 2-pt shot from 14 ft,,81-88,,
6:51.0,,,81-88,,Defensive rebound by S. Johnson
6:45.0,Flagrant foul type 1 by L. Thomas (drawn by A. Drummond),,81-88,,
6:45.0,,,81-88,,R. Jackson enters the game for B. Jennings
6:45.0,,,81-88,,A. Drummond misses flagrant free throw 1 of 2
6:45.0,,,81-88,,Offensive rebound by Team
6:45.0,,,81-89,1,A. Drummond makes flagrant free throw 2 of 2
6:38.0,,,81-89,,Turnover by A. Drummond (bad pass; steal by R. Lopez)
6:33.0,L. Galloway makes 2-pt shot at rim (assist by R. Lopez),2,83-89,,
6:21.0,,,83-89,,R. Jackson misses 2-pt shot at rim
6:20.0,Defensive rebound by L. Galloway,,83-89,,
6:05.0,C. Anthony misses 2-pt shot from 17 ft,,83-89,,
6:04.0,Offensive rebound by Team,,83-89,,
5:49.0,C. Anthony misses 2-pt shot at rim,,83-89,,
5:48.0,Offensive rebound by R. Lopez,,83-89,,
5:44.0,R. Lopez makes 2-pt shot at rim,2,85-89,,
5:33.0,,,85-89,,R. Jackson misses 2-pt shot from 8 ft
5:30.0,Defensive rebound by R. Lopez,,85-89,,
5:13.0,L. Galloway makes 3-pt shot from 24 ft,3,88-89,,
4:55.0,,,88-89,,Shooting foul by R. Lopez (drawn by A. Drummond)
4:55.0,,,88-89,,Detroit full timeout
4:55.0,,,88-89,,A. Drummond misses free throw 1 of 2
4:55.0,,,88-89,,Offensive rebound by Team
4:55.0,,,88-89,,A. Drummond misses free throw 2 of 2
4:54.0,,,88-89,,Offensive rebound by A. Tolliver
4:51.0,,,88-89,,M. Morris misses 2-pt shot from 1 ft
4:50.0,Defensive rebound by A. Afflalo,,88-89,,
4:36.0,Turnover by C. Anthony (traveling),,88-89,,
4:16.0,,,88-91,2,S. Johnson makes 2-pt shot at rim
