time,Washington,pts.away,score,pts.home,Philadelphia
7:09.0,,,7-8,1,N. Stauskas makes free throw 2 of 2
6:56.0,J. Wall misses 3-pt shot from 26 ft,,7-8,,
6:55.0,,,7-8,,Defensive rebound by N. Noel
6:44.0,,,7-8,,I. Smith misses 2-pt shot from 19 ft
6:43.0,Defensive rebound by M. Gortat,,7-8,,
6:37.0,Turnover by J. Wall (bad pass; steal by R. Covington),,7-8,,
6:32.0,,,7-8,,Turnover by N. Stauskas (bad pass; steal by O. Porter)
6:22.0,G. Temple misses 2-pt shot from 17 ft,,7-8,,
6:20.0,Offensive rebound by M. Gortat,,7-8,,
6:18.0,M. Gortat misses 2-pt shot from 10 ft,,7-8,,
6:16.0,Offensive rebound by O. Porter,,7-8,,
6:16.0,O. Porter makes 2-pt shot from 1 ft,2,9-8,,
6:16.0,,,9-8,,Philadelphia full timeout
6:16.0,B. Beal enters the game for G. Temple,,9-8,,
6:16.0,,,9-8,,J. Grant enters the game for J. Okafor
5:57.0,,,9-11,3,R. Covington makes 3-pt shot from 26 ft
5:42.0,J. Wall misses 2-pt shot from 3 ft,,9-11,,
5:39.0,Offensive rebound by J. Wall,,9-11,,
5:35.0,B. Beal misses 3-pt shot from 25 ft,,9-11,,
5:34.0,,,9-11,,Defensive rebound by J. Grant
5:23.0,,,9-13,2,J. Grant makes 2-pt shot from 4 ft (assist by I. Smith)
5:10.0,B. Beal makes 2-pt shot from 8 ft,2,11-13,,
4:54.0,,,11-15,2,I. Smith makes 2-pt shot from 16 ft
4:35.0,O. Porter makes 2-pt shot from 4 ft (assist by J. Dudley),2,13-15,,
4:24.0,,,13-17,2,N. Noel makes 2-pt shot at rim (assist by J. Grant)
3:58.0,O. Porter makes 2-pt shot from 16 ft,2,15-17,,
3:41.0,,,15-17,,J. Grant misses 2-pt shot from 4 ft (block by J. Wall)
3:39.0,Defensive rebound by O. Porter,,15-17,,
3:34.0,B. Beal makes 2-pt shot from 22 ft (assist by J. Wall),2,17-17,,
3:21.0,,,17-19,2,I. Smith makes 2-pt shot from 1 ft
3:21.0,,,17-19,,Shooting foul by B. Beal (drawn by I. Smith)
3:21.0,M. Morris enters the game for J. Dudley,,17-19,,
3:21.0,,,17-19,,R. Holmes enters the game for N. Stauskas
3:21.0,,,17-19,,H. Thompson enters the game for N. Noel
3:21.0,,,17-19,,I. Smith misses free throw 1 of 1
3:20.0,Defensive rebound by O. Porter,,17-19,,
3:04.0,M. Morris misses 2-pt shot from 8 ft,,17-19,,
3:03.0,Offensive rebound by O. Porter,,17-19,,
2:54.0,B. Beal misses 2-pt shot from 16 ft,,17-19,,
2:52.0,,,17-19,,Defensive rebound by I. Smith
2:43.0,,,17-22,3,R. Covington makes 3-pt shot from 26 ft (assist by J. Grant)
2:29.0,O. Porter misses 2-pt shot from 13 ft,,17-22,,
2:28.0,Offensive rebound by M. Gortat,,17-22,,
2:25.0,Turnover by B. Beal (lost ball; steal by R. Covington),,17-22,,
2:22.0,Personal foul by J. Wall (drawn by R. Covington),,17-22,,
2:22.0,Washington full timeout,,17-22,,
2:22.0,R. Sessions enters the game for J. Wall,,17-22,,
2:22.0,,,17-22,,T. McConnell enters the game for I. Smith
2:22.0,,,17-22,,I. Canaan enters the game for R. Covington
2:08.0,,,17-22,,J. Grant misses 2-pt shot from 5 ft (block by M. Gortat)
2:05.0,Defensive rebound by M. Morris,,17-22,,
2:02.0,R. Sessions makes 2-pt shot from 3 ft,2,19-22,,
1:45.0,,,19-22,,Turnover by R. Holmes (bad pass; steal by M. Gortat)
1:39.0,B. Beal misses 2-pt shot from 12 ft,,19-22,,
1:37.0,,,19-22,,Defensive rebound by T. McConnell
1:31.0,,,19-22,,H. Thompson misses 3-pt shot from 25 ft
1:29.0,Defensive rebound by M. Morris,,19-22,,
1:19.0,Turnover by O. Porter (bad pass; steal by J. Grant),,19-22,,
1:15.0,,,19-24,2,J. Grant makes 2-pt shot at rim
0:58.0,R. Sessions misses 2-pt shot from 3 ft,,19-24,,
0:57.0,,,19-24,,Defensive rebound by Team
0:57.0,N. Hilario enters the game for M. Gortat,,19-24,,
0:57.0,A. Anderson enters the game for O. Porter,,19-24,,
0:46.0,,,19-26,2,T. McConnell makes 2-pt shot from 18 ft (assist by J. Grant)
0:31.0,R. Sessions makes 2-pt shot from 4 ft,2,21-26,,
0:07.0,,,21-26,,I. Canaan misses 2-pt shot from 4 ft (block by N. Hilario)
0:05.0,Defensive rebound by M. Morris,,21-26,,
0:02.0,,,21-26,,Personal foul by T. McConnell (drawn by B. Beal)
0:01.0,B. Beal misses 2-pt shot from 14 ft,,21-26,,
0:00.0,Offensive rebound by Team,,21-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:55.0,N. Hilario makes 2-pt shot from 2 ft (assist by B. Beal),2,23-26,,
11:41.0,,,23-26,,T. McConnell misses 2-pt shot from 20 ft
11:39.0,Defensive rebound by N. Hilario,,23-26,,
11:29.0,R. Sessions misses 2-pt shot from 6 ft,,23-26,,
11:28.0,Offensive rebound by N. Hilario,,23-26,,
11:22.0,Shooting foul by R. Holmes (drawn by A. Anderson),,23-26,,
11:22.0,A. Anderson makes free throw 1 of 2,1,24-26,,
11:22.0,A. Anderson makes free throw 2 of 2,1,25-26,,
11:05.0,,,25-26,,H. Thompson misses 3-pt shot from 27 ft
11:03.0,Defensive rebound by M. Morris,,25-26,,
10:48.0,Turnover by R. Sessions (bad pass; steal by R. Holmes),,25-26,,
10:34.0,,,25-26,,I. Canaan misses 2-pt shot from 4 ft
10:34.0,Defensive rebound by N. Hilario,,25-26,,
10:34.0,,,25-26,,Loose ball foul by R. Holmes (drawn by N. Hilario)
10:23.0,B. Beal misses 3-pt shot from 25 ft,,25-26,,
10:22.0,,,25-26,,Defensive rebound by Team
10:09.0,Personal foul by A. Anderson (drawn by H. Thompson),,25-26,,
9:58.0,,,25-26,,J. Grant misses 2-pt shot from 12 ft
9:58.0,Defensive rebound by Team,,25-26,,
9:47.0,Turnover by N. Hilario (lost ball; steal by R. Holmes),,25-26,,
9:43.0,Personal foul by A. Anderson (drawn by J. Grant),,25-26,,
9:25.0,,,25-29,3,I. Canaan makes 3-pt shot from 25 ft (assist by T. McConnell)
9:08.0,Turnover by N. Hilario (bad pass),,25-29,,
9:08.0,,,25-29,,Philadelphia full timeout
9:08.0,J. Wall enters the game for B. Beal,,25-29,,
9:08.0,,,25-29,,J. Okafor enters the game for R. Holmes
8:44.0,,,25-29,,J. Grant misses 2-pt shot from 18 ft
8:43.0,,,25-29,,Offensive rebound by Team
8:43.0,,,25-29,,Turnover by Team (shot clock)
8:31.0,M. Morris misses 3-pt shot from 29 ft,,25-29,,
8:26.0,,,25-29,,Defensive rebound by J. Grant
8:22.0,,,25-31,2,T. McConnell makes 2-pt shot from 16 ft
8:09.0,R. Sessions makes 2-pt shot from 3 ft (assist by N. Hilario),2,27-31,,
7:59.0,,,27-34,3,H. Thompson makes 3-pt shot from 25 ft (assist by J. Grant)
7:50.0,,,27-34,,N. Noel enters the game for J. Grant
7:36.0,M. Morris makes 2-pt shot from 2 ft (assist by R. Sessions),2,29-34,,
7:24.0,Def 3 sec tech foul by M. Morris,,29-34,,
7:24.0,,,29-35,1,I. Canaan makes technical free throw
7:13.0,,,29-37,2,T. McConnell makes 2-pt shot from 2 ft (assist by N. Noel)
7:08.0,,,29-37,,Personal block foul by I. Canaan (drawn by J. Wall)
7:00.0,J. Wall makes 2-pt shot from 2 ft,2,31-37,,
6:39.0,,,31-37,,I. Canaan misses 3-pt shot from 26 ft
6:37.0,Defensive rebound by M. Morris,,31-37,,
6:31.0,A. Anderson makes 3-pt shot from 28 ft (assist by J. Wall),3,34-37,,
6:17.0,,,34-37,,N. Stauskas enters the game for H. Thompson
6:17.0,O. Porter enters the game for A. Anderson,,34-37,,
6:14.0,,,34-37,,I. Canaan misses 3-pt shot from 24 ft
6:13.0,Defensive rebound by M. Morris,,34-37,,
6:05.0,M. Morris makes 2-pt shot from 16 ft (assist by J. Wall),2,36-37,,
5:45.0,,,36-37,,J. Okafor misses 2-pt shot from 15 ft
5:45.0,Defensive rebound by Team,,36-37,,
5:45.0,Official timeout,,36-37,,
5:45.0,B. Beal enters the game for R. Sessions,,36-37,,
5:45.0,,,36-37,,I. Smith enters the game for T. McConnell
5:45.0,,,36-37,,R. Covington enters the game for I. Canaan
5:26.0,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall),3,39-37,,
5:11.0,,,39-37,,Shooting foul by M. Morris (drawn by N. Stauskas)
5:11.0,,,39-38,1,N. Stauskas makes free throw 1 of 2
5:11.0,,,39-39,1,N. Stauskas makes free throw 2 of 2
4:58.0,M. Morris makes 2-pt shot from 15 ft (assist by B. Beal),2,41-39,,
4:46.0,Personal foul by O. Porter (drawn by N. Stauskas),,41-39,,
4:31.0,,,41-39,,I. Smith misses 2-pt shot from 19 ft
4:28.0,Defensive rebound by N. Hilario,,41-39,,
4:24.0,Turnover by J. Wall (lost ball; steal by N. Noel),,41-39,,
4:18.0,,,41-41,2,J. Okafor makes 2-pt shot at rim (assist by I. Smith)
4:00.0,N. Hilario misses 2-pt shot from 14 ft,,41-41,,
3:59.0,,,41-41,,Defensive rebound by N. Noel
3:45.0,,,41-41,,Turnover by I. Smith (lost ball; steal by M. Morris)
3:40.0,Shooting foul by N. Stauskas (drawn by M. Morris),,41-41,,
3:40.0,M. Morris makes free throw 1 of 2,1,42-41,,
3:40.0,M. Gortat enters the game for N. Hilario,,42-41,,
3:40.0,M. Morris makes free throw 2 of 2,1,43-41,,
3:20.0,,,43-44,3,N. Stauskas makes 3-pt shot from 25 ft (assist by I. Smith)
3:07.0,M. Morris misses 2-pt shot from 6 ft,,43-44,,
3:05.0,,,43-44,,Defensive rebound by J. Okafor
2:55.0,,,43-44,,N. Noel misses 2-pt shot from 4 ft (block by M. Morris)
2:53.0,,,43-44,,Offensive rebound by J. Okafor
2:48.0,,,43-44,,Turnover by R. Covington (lost ball; steal by O. Porter)
2:42.0,B. Beal misses 2-pt shot from 4 ft,,43-44,,
2:40.0,Offensive rebound by O. Porter,,43-44,,
2:39.0,O. Porter misses 2-pt shot from 2 ft (block by R. Covington),,43-44,,
2:36.0,,,43-44,,Defensive rebound by N. Noel
2:35.0,,,43-44,,Shooting foul by M. Morris (drawn by N. Noel)
2:35.0,Washington full timeout,,43-44,,
2:35.0,J. Dudley enters the game for M. Morris,,43-44,,
2:35.0,,,43-45,1,N. Noel makes free throw 1 of 2
2:35.0,,,43-46,1,N. Noel makes free throw 2 of 2
2:24.0,J. Dudley misses 2-pt shot from 17 ft,,43-46,,
2:23.0,,,43-46,,Defensive rebound by N. Stauskas
2:17.0,,,43-48,2,J. Okafor makes 2-pt shot from 4 ft (assist by I. Smith)
2:04.0,B. Beal misses 3-pt shot from 27 ft,,43-48,,
2:02.0,,,43-48,,Defensive rebound by I. Smith
1:53.0,,,43-50,2,J. Okafor makes 2-pt shot from 1 ft
1:36.0,J. Dudley misses 3-pt shot from 23 ft,,43-50,,
1:35.0,,,43-50,,Defensive rebound by R. Covington
1:13.0,,,43-50,,Turnover by J. Okafor (bad pass; steal by O. Porter)
1:08.0,J. Wall misses 2-pt shot at rim,,43-50,,
1:06.0,,,43-50,,Defensive rebound by I. Smith
1:00.0,,,43-52,2,J. Okafor makes 2-pt shot at rim (assist by I. Smith)
0:54.0,J. Dudley makes 3-pt shot from 23 ft (assist by J. Wall),3,46-52,,
0:50.0,,,46-52,,Philadelphia full timeout
0:35.0,,,46-52,,I. Smith misses 2-pt shot from 21 ft
0:34.0,Defensive rebound by O. Porter,,46-52,,
0:27.0,B. Beal misses 2-pt shot from 21 ft,,46-52,,
0:26.0,Offensive rebound by M. Gortat,,46-52,,
0:24.0,M. Gortat misses 2-pt shot from 5 ft,,46-52,,
0:23.0,,,46-52,,Defensive rebound by N. Noel
0:06.0,,,46-52,,I. Smith misses 2-pt shot from 17 ft
0:03.0,Defensive rebound by J. Wall,,46-52,,
0:00.0,J. Wall makes 2-pt shot from 3 ft,2,48-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,M. Morris misses 2-pt shot from 16 ft,,48-52,,
11:44.0,,,48-52,,Defensive rebound by I. Smith
11:37.0,Personal foul by M. Morris (drawn by J. Okafor),,48-52,,
11:19.0,,,48-54,2,J. Okafor makes 2-pt shot from 5 ft (assist by N. Noel)
11:06.0,M. Morris misses 3-pt shot from 25 ft,,48-54,,
11:04.0,,,48-54,,Defensive rebound by R. Covington
10:54.0,Shooting block foul by M. Morris (drawn by J. Okafor),,48-54,,
10:54.0,,,48-54,,J. Okafor misses free throw 1 of 2
10:54.0,,,48-54,,Offensive rebound by Team
10:54.0,J. Dudley enters the game for M. Morris,,48-54,,
10:54.0,,,48-55,1,J. Okafor makes free throw 2 of 2
10:45.0,J. Wall makes 2-pt shot from 16 ft,2,50-55,,
10:24.0,,,50-55,,Turnover by N. Noel (lost ball; steal by J. Dudley)
10:20.0,Shooting foul by I. Smith (drawn by J. Wall),,50-55,,
10:20.0,J. Wall makes 2-pt shot from 1 ft (assist by G. Temple),2,52-55,,
10:20.0,J. Wall makes free throw 1 of 1,1,53-55,,
9:55.0,,,53-57,2,N. Noel makes 2-pt shot from 13 ft
9:41.0,M. Gortat makes 2-pt shot from 4 ft (assist by J. Dudley),2,55-57,,
9:34.0,,,55-57,,N. Noel misses 2-pt shot at rim
9:31.0,Defensive rebound by O. Porter,,55-57,,
9:17.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,57-57,,
8:47.0,,,57-59,2,I. Smith makes 2-pt shot from 1 ft
8:34.0,J. Wall misses 2-pt shot from 12 ft,,57-59,,
8:32.0,,,57-59,,Defensive rebound by J. Okafor
8:25.0,,,57-59,,I. Smith misses 2-pt shot from 6 ft (block by O. Porter)
8:23.0,Defensive rebound by G. Temple,,57-59,,
8:17.0,J. Dudley makes 3-pt shot from 22 ft (assist by J. Wall),3,60-59,,
8:16.0,,,60-59,,Philadelphia full timeout
8:16.0,,,60-59,,J. Grant enters the game for N. Noel
7:54.0,,,60-59,,I. Smith misses 2-pt shot from 19 ft
7:53.0,Defensive rebound by J. Wall,,60-59,,
7:46.0,O. Porter misses 3-pt shot from 24 ft,,60-59,,
7:44.0,,,60-59,,Defensive rebound by R. Covington
7:33.0,Personal foul by J. Dudley (drawn by R. Covington),,60-59,,
7:17.0,,,60-62,3,N. Stauskas makes 3-pt shot from 24 ft (assist by J. Okafor)
7:09.0,J. Wall makes 2-pt shot from 1 ft,2,62-62,,
6:50.0,,,62-62,,J. Okafor misses 2-pt shot from 14 ft
6:49.0,Defensive rebound by J. Wall,,62-62,,
6:36.0,Turnover by J. Dudley (bad pass; steal by I. Smith),,62-62,,
6:33.0,Personal foul by G. Temple (drawn by I. Smith),,62-62,,
6:16.0,,,62-62,,Shooting foul by G. Temple (drawn by J. Grant)
6:16.0,,,62-63,1,J. Grant makes free throw 1 of 2
6:16.0,B. Beal enters the game for G. Temple,,62-63,,
6:16.0,,,62-63,,J. Grant misses free throw 2 of 2
6:15.0,Defensive rebound by O. Porter,,62-63,,
5:52.0,J. Wall misses 3-pt shot from 26 ft (block by J. Grant),,62-63,,
5:50.0,Offensive rebound by O. Porter,,62-63,,
5:48.0,O. Porter misses 2-pt shot from 20 ft,,62-63,,
5:47.0,Offensive rebound by B. Beal,,62-63,,
5:38.0,M. Gortat makes 2-pt shot from 8 ft (assist by J. Dudley),2,64-63,,
5:32.0,Personal foul by M. Gortat (drawn by J. Okafor),,64-63,,
5:32.0,,,64-64,1,J. Okafor makes free throw 1 of 2
5:32.0,,,64-65,1,J. Okafor makes free throw 2 of 2
5:15.0,Turnover by B. Beal (lost ball; steal by R. Covington),,64-65,,
5:08.0,,,64-67,2,J. Grant makes 2-pt shot at rim (assist by I. Smith)
4:54.0,,,64-67,,Personal foul by R. Covington (drawn by M. Gortat)
4:54.0,,,64-67,,N. Noel enters the game for J. Okafor
4:54.0,,,64-67,,H. Thompson enters the game for N. Stauskas
4:50.0,O. Porter misses 2-pt shot from 16 ft,,64-67,,
4:48.0,Offensive rebound by M. Gortat,,64-67,,
4:44.0,J. Wall misses 3-pt shot from 25 ft,,64-67,,
4:41.0,,,64-67,,Defensive rebound by I. Smith
4:34.0,,,64-67,,Offensive charge foul by H. Thompson
4:34.0,,,64-67,,Turnover by H. Thompson (offensive foul)
4:10.0,O. Porter misses 3-pt shot from 23 ft,,64-67,,
4:10.0,Offensive rebound by J. Dudley,,64-67,,
4:10.0,Turnover by Team (shot clock),,64-67,,
3:50.0,,,64-67,,I. Smith misses 2-pt shot from 17 ft
3:49.0,Defensive rebound by J. Wall,,64-67,,
3:47.0,,,64-67,,Personal foul by R. Covington (drawn by J. Wall)
3:47.0,,,64-67,,Personal foul by R. Covington (drawn by J. Wall)
3:47.0,,,64-67,,T. McConnell enters the game for I. Smith
3:42.0,B. Beal misses 3-pt shot from 26 ft,,64-67,,
3:41.0,Offensive rebound by Team,,64-67,,
3:26.0,J. Dudley misses 2-pt shot from 11 ft,,64-67,,
3:25.0,,,64-67,,Defensive rebound by R. Covington
3:18.0,,,64-67,,Offensive foul by J. Grant
3:18.0,,,64-67,,Turnover by J. Grant (offensive foul)
3:18.0,N. Hilario enters the game for M. Gortat,,64-67,,
3:05.0,N. Hilario misses 2-pt shot from 5 ft (block by R. Covington),,64-67,,
3:03.0,,,64-67,,Defensive rebound by J. Grant
2:55.0,,,64-70,3,R. Covington makes 3-pt shot from 25 ft (assist by J. Grant)
2:53.0,Washington full timeout,,64-70,,
2:33.0,B. Beal makes 2-pt shot from 5 ft (assist by J. Wall),2,66-70,,
2:20.0,,,66-72,2,T. McConnell makes 2-pt shot from 15 ft
2:15.0,J. Wall makes 2-pt shot at rim,2,68-72,,
1:52.0,,,68-72,,Offensive charge foul by R. Covington
1:52.0,,,68-72,,Turnover by R. Covington (offensive foul)
1:52.0,,,68-72,,I. Canaan enters the game for R. Covington
1:39.0,N. Hilario makes 2-pt shot at rim (assist by J. Wall),2,70-72,,
1:18.0,,,70-72,,J. Grant misses 3-pt shot from 24 ft
1:17.0,Defensive rebound by O. Porter,,70-72,,
1:01.0,J. Wall makes 2-pt shot from 17 ft,2,72-72,,
0:37.0,,,72-72,,H. Thompson misses 2-pt shot from 19 ft
0:34.0,Defensive rebound by J. Dudley,,72-72,,
0:28.0,J. Dudley makes 2-pt shot from 3 ft (assist by B. Beal),2,74-72,,
0:08.0,,,74-72,,T. McConnell misses 2-pt shot from 6 ft
0:07.0,Defensive rebound by B. Beal,,74-72,,
0:03.0,J. Wall makes 2-pt shot from 1 ft (assist by B. Beal),2,76-72,,
0:01.0,,,76-72,,T. McConnell misses 3-pt shot from 77 ft
0:00.0,,,76-72,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,76-72,,J. Grant misses 2-pt shot from 6 ft (block by J. Dudley)
11:39.0,Defensive rebound by J. Dudley,,76-72,,
11:24.0,,,76-72,,Violation by N. Noel (kicked ball)
11:18.0,J. Dudley makes 3-pt shot from 25 ft (assist by N. Hilario),3,79-72,,
11:03.0,,,79-74,2,T. McConnell makes 2-pt shot from 7 ft
10:46.0,R. Sessions makes 2-pt shot from 9 ft,2,81-74,,
10:26.0,Personal foul by R. Sessions (drawn by I. Canaan),,81-74,,
10:26.0,,,81-75,1,I. Canaan makes free throw 1 of 3
10:26.0,,,81-76,1,I. Canaan makes free throw 2 of 3
10:26.0,,,81-76,,J. Okafor enters the game for N. Noel
10:26.0,,,81-77,1,I. Canaan makes free throw 3 of 3
10:09.0,A. Anderson misses 2-pt shot from 12 ft,,81-77,,
10:07.0,Offensive rebound by R. Sessions,,81-77,,
10:05.0,B. Beal misses 3-pt shot from 27 ft,,81-77,,
10:03.0,,,81-77,,Defensive rebound by T. McConnell
9:53.0,,,81-77,,T. McConnell misses 2-pt shot from 7 ft
9:52.0,Defensive rebound by A. Anderson,,81-77,,
9:36.0,R. Sessions makes 2-pt shot from 22 ft,2,83-77,,
9:27.0,,,83-77,,Philadelphia full timeout
9:27.0,,,83-77,,R. Covington enters the game for J. Grant
9:13.0,,,83-79,2,J. Okafor makes 2-pt shot from 12 ft
8:50.0,N. Hilario misses 2-pt shot from 10 ft,,83-79,,
8:48.0,,,83-79,,Defensive rebound by R. Covington
8:39.0,,,83-79,,H. Thompson misses 2-pt shot from 15 ft
8:36.0,Defensive rebound by N. Hilario,,83-79,,
8:18.0,R. Sessions misses 2-pt shot from 7 ft,,83-79,,
8:16.0,Offensive rebound by A. Anderson,,83-79,,
8:10.0,Shooting foul by J. Okafor (drawn by N. Hilario),,83-79,,
8:10.0,N. Hilario makes free throw 1 of 2,1,84-79,,
8:10.0,J. Wall enters the game for B. Beal,,84-79,,
8:10.0,N. Hilario misses free throw 2 of 2,,84-79,,
8:09.0,,,84-79,,Defensive rebound by R. Covington
7:56.0,,,84-79,,I. Canaan misses 3-pt shot from 27 ft
7:55.0,Defensive rebound by N. Hilario,,84-79,,
7:45.0,J. Wall makes 2-pt shot from 19 ft,2,86-79,,
7:33.0,,,86-81,2,R. Covington makes 2-pt shot from 1 ft (assist by T. McConnell)
7:11.0,J. Dudley makes 3-pt shot from 23 ft (assist by N. Hilario),3,89-81,,
6:48.0,,,89-83,2,J. Okafor makes 2-pt shot from 17 ft
6:33.0,A. Anderson misses 3-pt shot from 25 ft,,89-83,,
6:32.0,Offensive rebound by J. Wall,,89-83,,
6:22.0,N. Hilario misses 2-pt shot from 13 ft,,89-83,,
6:21.0,,,89-83,,Defensive rebound by R. Covington
6:14.0,,,89-83,,T. McConnell misses 2-pt shot from 7 ft
6:13.0,Defensive rebound by N. Hilario,,89-83,,
6:10.0,Shooting foul by I. Canaan (drawn by J. Wall),,89-83,,
6:10.0,J. Wall makes free throw 1 of 2,1,90-83,,
6:10.0,,,90-83,,I. Smith enters the game for T. McConnell
6:10.0,J. Wall makes free throw 2 of 2,1,91-83,,
5:47.0,,,91-83,,I. Smith misses 2-pt shot from 23 ft
5:46.0,,,91-83,,Offensive rebound by I. Canaan
5:43.0,,,91-83,,I. Canaan misses 2-pt shot from 4 ft (block by A. Anderson)
5:41.0,,,91-83,,Offensive rebound by R. Covington
5:41.0,,,91-83,,Shooting foul by N. Hilario (drawn by R. Covington)
5:41.0,Official timeout,,91-83,,
5:41.0,,,91-83,,N. Noel enters the game for J. Okafor
5:41.0,,,91-83,,N. Stauskas enters the game for H. Thompson
5:41.0,,,91-83,,J. Grant enters the game for I. Canaan
5:41.0,,,91-83,,R. Covington misses free throw 1 of 2
5:41.0,,,91-83,,Offensive rebound by Team
5:41.0,,,91-84,1,R. Covington makes free throw 2 of 2
5:27.0,J. Wall misses 2-pt shot from 16 ft,,91-84,,
5:25.0,,,91-84,,Defensive rebound by R. Covington
5:19.0,,,91-84,,R. Covington misses 3-pt shot from 25 ft
5:16.0,Defensive rebound by N. Hilario,,91-84,,
5:08.0,,,91-84,,Personal foul by R. Covington (drawn by A. Anderson)
5:02.0,Shooting foul by N. Noel (drawn by N. Hilario),,91-84,,
5:02.0,N. Hilario makes free throw 1 of 2,1,92-84,,
5:02.0,,,92-84,,H. Thompson enters the game for R. Covington
5:02.0,N. Hilario makes free throw 2 of 2,1,93-84,,
4:36.0,,,93-84,,H. Thompson misses 3-pt shot from 23 ft
4:35.0,,,93-84,,Offensive rebound by N. Noel
4:33.0,,,93-84,,Shooting foul by J. Wall (drawn by N. Noel)
4:33.0,,,93-84,,N. Noel misses free throw 1 of 2
4:33.0,,,93-84,,Offensive rebound by Team
4:33.0,,,93-85,1,N. Noel makes free throw 2 of 2
4:19.0,,,93-85,,Personal foul by N. Noel (drawn by N. Hilario)
4:19.0,N. Hilario makes free throw 1 of 2,1,94-85,,
4:19.0,N. Hilario makes free throw 2 of 2,1,95-85,,
4:10.0,Personal foul by N. Hilario (drawn by N. Noel),,95-85,,
4:10.0,,,95-85,,J. Okafor enters the game for J. Grant
4:10.0,M. Morris enters the game for J. Dudley,,95-85,,
3:59.0,,,95-87,2,I. Smith makes 2-pt shot from 2 ft
3:48.0,R. Sessions makes 2-pt shot from 14 ft,2,97-87,,
3:23.0,,,97-90,3,N. Stauskas makes 3-pt shot from 22 ft (assist by H. Thompson)
3:09.0,J. Wall misses 2-pt shot from 15 ft,,97-90,,
3:08.0,,,97-90,,Defensive rebound by J. Okafor
3:00.0,,,97-90,,H. Thompson misses 3-pt shot from 25 ft
2:59.0,Defensive rebound by R. Sessions,,97-90,,
2:52.0,Washington full timeout,,97-90,,
2:52.0,B. Beal enters the game for A. Anderson,,97-90,,
2:52.0,M. Gortat enters the game for N. Hilario,,97-90,,
