time,Orlando,pts.away,score,pts.home,Oklahoma City
8:31.0,,,44-46,2,R. Westbrook makes 2-pt shot from 1 ft
8:12.0,J. Smith makes 2-pt shot from 12 ft (assist by E. Payton),2,46-46,,
7:58.0,,,46-46,,R. Westbrook misses 2-pt shot from 13 ft
7:57.0,Defensive rebound by C. Frye,,46-46,,
7:45.0,V. Oladipo misses 2-pt shot from 1 ft,,46-46,,
7:43.0,Offensive rebound by J. Smith,,46-46,,
7:43.0,J. Smith misses 2-pt shot from 1 ft,,46-46,,
7:43.0,,,46-46,,Defensive rebound by S. Adams
7:39.0,Flagrant foul type 1 by J. Smith (drawn by S. Adams),,46-46,,
7:39.0,,,46-47,1,S. Adams makes flagrant free throw 1 of 2
7:39.0,,,46-47,,S. Adams misses flagrant free throw 2 of 2
7:39.0,,,46-47,,Offensive rebound by Team
7:39.0,N. Vucevic enters the game for J. Smith,,46-47,,
7:33.0,,,46-49,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
7:21.0,Shooting foul by K. Singler (drawn by V. Oladipo),,46-49,,
7:21.0,V. Oladipo makes free throw 1 of 2,1,47-49,,
7:21.0,V. Oladipo makes free throw 2 of 2,1,48-49,,
7:08.0,,,48-49,,A. Morrow misses 2-pt shot from 16 ft
7:07.0,,,48-49,,Offensive rebound by S. Ibaka
7:00.0,,,48-51,2,A. Morrow makes 2-pt shot from 16 ft (assist by R. Westbrook)
6:56.0,Turnover by N. Vucevic (bad pass; steal by K. Singler),,48-51,,
6:52.0,,,48-51,,A. Morrow misses 2-pt shot from 1 ft
6:51.0,,,48-51,,Offensive rebound by R. Westbrook
6:38.0,,,48-51,,A. Morrow misses 3-pt shot from 24 ft
6:38.0,Defensive rebound by C. Frye,,48-51,,
6:28.0,E. Payton misses 2-pt shot from 4 ft (block by S. Ibaka),,48-51,,
6:26.0,Offensive rebound by C. Frye,,48-51,,
6:24.0,C. Frye misses 3-pt shot from 23 ft,,48-51,,
6:23.0,,,48-51,,Defensive rebound by R. Westbrook
6:17.0,,,48-51,,A. Morrow misses 3-pt shot from 22 ft
6:17.0,,,48-51,,Offensive rebound by R. Westbrook
6:09.0,Def 3 sec tech foul by V. Oladipo,,48-51,,
6:09.0,,,48-52,1,R. Westbrook makes technical free throw
6:09.0,,,48-52,,D. Waiters enters the game for A. Morrow
6:09.0,,,48-52,,K. Durant enters the game for K. Singler
6:09.0,A. Gordon enters the game for C. Frye,,48-52,,
6:03.0,,,48-52,,K. Durant misses 2-pt shot from 5 ft
6:03.0,,,48-52,,Offensive rebound by S. Adams
5:59.0,,,48-52,,S. Ibaka misses 3-pt shot from 24 ft
5:59.0,Defensive rebound by E. Fournier,,48-52,,
5:54.0,Turnover by E. Fournier (bad pass; steal by R. Westbrook),,48-52,,
5:50.0,,,48-54,2,K. Durant makes 2-pt shot from 1 ft (assist by R. Westbrook)
5:29.0,E. Fournier misses 3-pt shot from 25 ft,,48-54,,
5:28.0,,,48-54,,Defensive rebound by R. Westbrook
5:10.0,,,48-57,3,K. Durant makes 3-pt shot from 24 ft (assist by S. Ibaka)
5:03.0,Orlando full timeout,,48-57,,
5:03.0,,,48-57,,E. Kanter enters the game for S. Adams
5:03.0,T. Harris enters the game for E. Fournier,,48-57,,
4:45.0,E. Payton makes 2-pt shot from 14 ft (assist by N. Vucevic),2,50-57,,
4:27.0,,,50-57,,Turnover by S. Ibaka (bad pass; steal by V. Oladipo)
4:13.0,A. Gordon misses 2-pt shot from 18 ft,,50-57,,
4:12.0,,,50-57,,Defensive rebound by D. Waiters
4:08.0,,,50-57,,Offensive charge foul by K. Durant
4:08.0,,,50-57,,Turnover by K. Durant (offensive foul)
3:58.0,V. Oladipo makes 2-pt shot from 1 ft (assist by E. Payton),2,52-57,,
3:44.0,,,52-59,2,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook)
3:37.0,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton),2,54-59,,
3:08.0,,,54-59,,S. Ibaka misses 2-pt shot from 14 ft
3:07.0,Defensive rebound by T. Harris,,54-59,,
2:59.0,T. Harris makes 2-pt shot at rim,2,56-59,,
2:55.0,,,56-59,,Oklahoma City full timeout
2:44.0,,,56-61,2,K. Durant makes 2-pt shot from 13 ft
2:30.0,V. Oladipo makes 2-pt shot from 18 ft,2,58-61,,
2:13.0,,,58-61,,D. Waiters misses 3-pt shot from 22 ft
2:12.0,,,58-61,,Offensive rebound by R. Westbrook
2:02.0,,,58-61,,D. Waiters misses 2-pt shot at rim
2:02.0,,,58-61,,Offensive rebound by E. Kanter
1:58.0,,,58-61,,E. Kanter misses 2-pt shot from 1 ft (block by N. Vucevic)
1:57.0,Defensive rebound by E. Payton,,58-61,,
1:54.0,N. Vucevic misses 2-pt shot from 2 ft (block by S. Ibaka),,58-61,,
1:53.0,,,58-61,,Defensive rebound by E. Kanter
1:48.0,,,58-61,,Shooting foul by V. Oladipo (drawn by D. Waiters)
1:48.0,Violation by Team (delay of game),,58-61,,
1:48.0,,,58-61,,D. Waiters misses free throw 1 of 2
1:48.0,,,58-61,,Offensive rebound by Team
1:48.0,,,58-61,,S. Adams enters the game for E. Kanter
1:48.0,,,58-61,,D. Waiters misses free throw 2 of 2
1:48.0,,,58-61,,Offensive rebound by Team
1:48.0,,,58-61,,Personal foul by S. Adams (drawn by N. Vucevic)
1:48.0,Personal foul by N. Vucevic,,58-61,,
1:48.0,M. Hezonja enters the game for E. Payton,,58-61,,
1:48.0,Jump ball: T. Harris vs. S. Ibaka (R. Westbrook gains possession),,,,Jump ball: T. Harris vs. S. Ibaka (R. Westbrook gains possession)
1:41.0,,,58-61,,R. Westbrook misses 3-pt shot from 25 ft
1:41.0,Defensive rebound by Team,,58-61,,
1:41.0,,,58-61,,Loose ball foul by S. Adams (drawn by N. Vucevic)
1:41.0,,,58-61,,E. Kanter enters the game for S. Adams
1:27.0,V. Oladipo makes 3-pt shot from 22 ft (assist by M. Hezonja),3,61-61,,
1:12.0,,,61-63,2,E. Kanter makes 2-pt shot from 2 ft (assist by R. Westbrook)
0:55.0,A. Gordon misses 2-pt shot from 7 ft,,61-63,,
0:54.0,,,61-63,,Defensive rebound by Team
0:46.0,,,61-63,,R. Westbrook misses 2-pt shot from 1 ft
0:46.0,Defensive rebound by Team,,61-63,,
0:31.0,N. Vucevic makes 2-pt shot from 4 ft (assist by M. Hezonja),2,63-63,,
0:11.0,,,63-65,2,R. Westbrook makes 2-pt shot at rim
0:11.0,,,63-65,,Shooting foul by N. Vucevic (drawn by R. Westbrook)
0:11.0,C. Frye enters the game for A. Gordon,,63-65,,
0:11.0,,,63-65,,K. Singler enters the game for E. Kanter
0:11.0,,,63-66,1,R. Westbrook makes free throw 1 of 1
0:01.0,Shooting foul by S. Ibaka (drawn by V. Oladipo),,63-66,,
0:01.0,V. Oladipo makes free throw 1 of 2,1,64-66,,
0:01.0,V. Oladipo makes free throw 2 of 2,1,65-66,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,65-66,,Turnover by S. Adams (lost ball)
11:22.0,A. Gordon misses 3-pt shot from 22 ft,,65-66,,
11:21.0,,,65-66,,Defensive rebound by R. Westbrook
11:14.0,,,65-66,,K. Durant misses 3-pt shot from 24 ft
11:14.0,Defensive rebound by V. Oladipo,,65-66,,
10:56.0,Shooting foul by D. Waiters (drawn by V. Oladipo),,65-66,,
10:56.0,V. Oladipo makes free throw 1 of 2,1,66-66,,
10:56.0,V. Oladipo makes free throw 2 of 2,1,67-66,,
10:42.0,,,67-68,2,K. Durant makes 2-pt shot from 14 ft
10:33.0,E. Payton misses 2-pt shot from 7 ft,,67-68,,
10:32.0,Offensive rebound by T. Harris,,67-68,,
10:18.0,V. Oladipo makes 2-pt shot from 1 ft,2,69-68,,
9:58.0,,,69-68,,K. Durant misses 2-pt shot from 16 ft
9:57.0,Defensive rebound by V. Oladipo,,69-68,,
9:47.0,T. Harris makes 3-pt shot from 22 ft (assist by E. Payton),3,72-68,,
9:30.0,,,72-68,,Shooting foul by V. Oladipo (drawn by D. Waiters)
9:30.0,,,72-69,1,D. Waiters makes free throw 1 of 3
9:30.0,,,72-70,1,D. Waiters makes free throw 2 of 3
9:30.0,,,72-71,1,D. Waiters makes free throw 3 of 3
9:09.0,N. Vucevic misses 2-pt shot from 7 ft,,72-71,,
9:08.0,Offensive rebound by A. Gordon,,72-71,,
9:08.0,A. Gordon misses 2-pt shot from 2 ft,,72-71,,
9:08.0,,,72-71,,Defensive rebound by R. Westbrook
9:04.0,,,72-73,2,D. Waiters makes 2-pt shot from 1 ft (assist by R. Westbrook)
9:04.0,,,72-73,,Shooting foul by V. Oladipo (drawn by D. Waiters)
9:04.0,,,72-74,1,D. Waiters makes free throw 1 of 1
8:53.0,N. Vucevic makes 2-pt shot from 6 ft (assist by E. Payton),2,74-74,,
8:41.0,,,74-74,,Shooting foul by E. Payton (drawn by R. Westbrook)
8:41.0,,,74-75,1,R. Westbrook makes free throw 1 of 2
8:41.0,,,74-76,1,R. Westbrook makes free throw 2 of 2
8:31.0,T. Harris makes 2-pt shot at rim (assist by E. Payton),2,76-76,,
8:06.0,,,76-76,,K. Durant misses 2-pt shot from 1 ft
8:06.0,Defensive rebound by T. Harris,,76-76,,
7:57.0,E. Payton misses 2-pt shot from 3 ft,,76-76,,
7:55.0,Offensive rebound by N. Vucevic,,76-76,,
7:55.0,N. Vucevic misses 2-pt shot from 2 ft,,76-76,,
7:55.0,,,76-76,,Defensive rebound by R. Westbrook
7:48.0,,,76-76,,S. Ibaka misses 3-pt shot from 25 ft
7:47.0,Defensive rebound by V. Oladipo,,76-76,,
7:42.0,Shooting foul by S. Ibaka (drawn by T. Harris),,76-76,,
7:42.0,,,76-76,,Oklahoma City full timeout
7:42.0,T. Harris misses free throw 1 of 2,,76-76,,
7:42.0,Offensive rebound by Team,,76-76,,
7:42.0,T. Harris misses free throw 2 of 2,,76-76,,
7:41.0,,,76-76,,Defensive rebound by S. Adams
7:18.0,,,76-76,,S. Adams misses 2-pt shot from 9 ft
7:17.0,Defensive rebound by T. Harris,,76-76,,
7:12.0,V. Oladipo makes 2-pt shot at rim (assist by T. Harris),2,78-76,,
7:03.0,,,78-78,2,R. Westbrook makes 2-pt shot from 10 ft
6:42.0,E. Payton makes 2-pt shot at rim (assist by V. Oladipo),2,80-78,,
6:31.0,,,80-78,,Turnover by K. Durant (lost ball)
6:12.0,V. Oladipo makes 3-pt shot from 22 ft (assist by A. Gordon),3,83-78,,
5:59.0,,,83-78,,R. Westbrook misses 2-pt shot from 1 ft
5:58.0,Defensive rebound by E. Payton,,83-78,,
5:57.0,,,83-78,,Personal foul by R. Westbrook (drawn by E. Payton)
5:45.0,V. Oladipo misses 3-pt shot from 23 ft,,83-78,,
5:45.0,,,83-78,,Defensive rebound by Team
5:45.0,Technical foul by V. Oladipo,,83-78,,
5:45.0,,,83-78,,K. Durant misses technical free throw
5:45.0,,,83-78,,Offensive rebound by Team
5:34.0,,,83-78,,Turnover by S. Adams (bad pass)
5:19.0,N. Vucevic misses 2-pt shot from 19 ft,,83-78,,
5:18.0,Offensive rebound by A. Gordon,,83-78,,
5:18.0,A. Gordon misses 2-pt shot at rim,,83-78,,
5:17.0,,,83-78,,Defensive rebound by R. Westbrook
5:12.0,,,83-81,3,K. Durant makes 3-pt shot from 25 ft (assist by R. Westbrook)
5:05.0,Turnover by E. Payton (lost ball; steal by R. Westbrook),,83-81,,
5:01.0,,,83-81,,D. Waiters misses 3-pt shot from 24 ft
4:58.0,,,83-81,,Offensive rebound by R. Westbrook
4:50.0,,,83-81,,D. Waiters misses 2-pt shot from 1 ft (block by V. Oladipo)
4:49.0,Defensive rebound by E. Payton,,83-81,,
4:43.0,V. Oladipo misses 2-pt shot from 16 ft,,83-81,,
4:42.0,,,83-81,,Defensive rebound by Team
4:27.0,,,83-81,,K. Durant misses 2-pt shot from 1 ft
4:26.0,,,83-81,,Offensive rebound by S. Ibaka
4:26.0,,,83-81,,S. Ibaka misses 2-pt shot at rim
4:25.0,Defensive rebound by A. Gordon,,83-81,,
4:19.0,A. Gordon misses 2-pt shot from 1 ft,,83-81,,
4:18.0,Offensive rebound by V. Oladipo,,83-81,,
4:17.0,V. Oladipo makes 2-pt shot from 1 ft,2,85-81,,
3:50.0,,,85-84,3,K. Durant makes 3-pt shot from 24 ft (assist by D. Waiters)
3:50.0,Orlando full timeout,,85-84,,
3:50.0,E. Fournier enters the game for A. Gordon,,85-84,,
3:50.0,C. Frye enters the game for V. Oladipo,,85-84,,
3:29.0,T. Harris misses 3-pt shot from 23 ft (block by K. Durant),,85-84,,
3:28.0,,,85-84,,Defensive rebound by R. Westbrook
3:23.0,,,85-84,,K. Durant misses 3-pt shot from 24 ft
3:22.0,Defensive rebound by C. Frye,,85-84,,
3:13.0,Turnover by E. Fournier (bad pass; steal by K. Durant),,85-84,,
3:08.0,,,85-84,,Turnover by K. Durant (bad pass)
2:58.0,T. Harris makes 2-pt shot at rim (assist by N. Vucevic),2,87-84,,
2:42.0,,,87-84,,K. Durant misses 2-pt shot from 4 ft (block by N. Vucevic)
2:39.0,Defensive rebound by N. Vucevic,,87-84,,
2:34.0,Turnover by E. Fournier (lost ball; steal by D. Waiters),,87-84,,
2:30.0,,,87-86,2,K. Durant makes 2-pt shot at rim (assist by D. Waiters)
2:08.0,E. Payton misses 2-pt shot from 2 ft (block by S. Ibaka),,87-86,,
2:07.0,,,87-86,,Defensive rebound by K. Durant
1:58.0,Personal foul by E. Payton (drawn by R. Westbrook),,87-86,,
1:58.0,Technical foul by E. Payton (drawn by R. Westbrook),,87-86,,
1:58.0,,,87-87,1,K. Durant makes technical free throw
1:58.0,V. Oladipo enters the game for E. Payton,,87-87,,
1:50.0,,,87-87,,S. Ibaka misses 2-pt shot from 19 ft
1:50.0,,,87-87,,Offensive rebound by R. Westbrook
1:46.0,,,87-87,,R. Westbrook misses 2-pt shot at rim
1:44.0,,,87-87,,Offensive rebound by S. Adams
1:35.0,,,87-89,2,S. Ibaka makes 2-pt shot from 1 ft (assist by K. Durant)
1:35.0,,,87-89,,Shooting foul by C. Frye (drawn by S. Ibaka)
1:35.0,,,87-89,,C. Payne enters the game for R. Westbrook
1:35.0,,,87-90,1,S. Ibaka makes free throw 1 of 1
1:23.0,N. Vucevic makes 2-pt shot from 18 ft (assist by T. Harris),2,89-90,,
1:08.0,,,89-90,,Shooting foul by V. Oladipo (drawn by C. Payne)
1:08.0,,,89-90,,C. Payne misses free throw 1 of 2
1:08.0,,,89-90,,Offensive rebound by Team
1:08.0,,,89-90,,K. Singler enters the game for S. Ibaka
1:08.0,,,89-90,,N. Collison enters the game for S. Adams
1:08.0,,,89-90,,E. Kanter enters the game for D. Waiters
1:08.0,A. Gordon enters the game for T. Harris,,89-90,,
1:08.0,,,89-91,1,C. Payne makes free throw 2 of 2
0:56.0,N. Vucevic misses 2-pt shot from 17 ft,,89-91,,
0:56.0,,,89-91,,Defensive rebound by K. Durant
0:48.0,,,89-94,3,E. Kanter makes 3-pt shot from 23 ft (assist by K. Durant)
0:34.0,,,89-94,,Personal foul by E. Kanter (drawn by N. Vucevic)
0:28.0,V. Oladipo makes 2-pt shot from 17 ft,2,91-94,,
0:09.0,,,91-94,,Shooting foul by N. Vucevic (drawn by K. Durant)
0:09.0,,,91-95,1,K. Durant makes free throw 1 of 2
0:09.0,,,91-95,,S. Ibaka enters the game for E. Kanter
0:09.0,M. Hezonja enters the game for A. Gordon,,91-95,,
0:09.0,,,91-95,,D. Waiters enters the game for N. Collison
0:09.0,,,91-96,1,K. Durant makes free throw 2 of 2
0:00.0,M. Hezonja makes 3-pt shot from 27 ft (assist by V. Oladipo),3,94-96,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Turnover by M. Hezonja (bad pass; steal by K. Singler),,94-96,,
11:36.0,,,94-98,2,C. Payne makes 2-pt shot from 13 ft
11:14.0,C. Frye makes 2-pt shot at rim,2,96-98,,
11:00.0,,,96-98,,Turnover by N. Collison (offensive goaltending)
10:47.0,M. Hezonja misses 3-pt shot from 23 ft,,96-98,,
10:47.0,,,96-98,,Defensive rebound by C. Payne
10:41.0,,,96-98,,A. Morrow misses 3-pt shot from 24 ft
10:41.0,,,96-98,,Offensive rebound by E. Kanter
10:30.0,,,96-98,,N. Collison misses 2-pt shot from 2 ft (block by J. Smith)
10:28.0,Defensive rebound by V. Oladipo,,96-98,,
10:23.0,M. Hezonja makes 2-pt shot from 15 ft,2,98-98,,
10:00.0,,,98-98,,E. Kanter misses 2-pt shot from 11 ft
9:59.0,Defensive rebound by C. Frye,,98-98,,
9:50.0,,,98-98,,Personal foul by N. Collison (drawn by V. Oladipo)
9:45.0,V. Oladipo makes 3-pt shot from 23 ft,3,101-98,,
9:27.0,,,101-98,,Turnover by E. Kanter (traveling)
9:27.0,,,101-98,,Violation by Team (delay of game)
9:17.0,Turnover by J. Smith (bad pass),,101-98,,
9:04.0,,,101-98,,C. Payne misses 3-pt shot from 26 ft
9:03.0,,,101-98,,Offensive rebound by E. Kanter
9:00.0,,,101-100,2,E. Kanter makes 2-pt shot from 1 ft
8:41.0,J. Smith makes 2-pt shot from 17 ft (assist by E. Fournier),2,103-100,,
8:23.0,,,103-102,2,C. Payne makes 2-pt shot from 15 ft
8:13.0,,,103-102,,Personal foul by C. Payne (drawn by V. Oladipo)
8:13.0,Official timeout,,103-102,,
8:13.0,,,103-102,,R. Westbrook enters the game for A. Morrow
8:13.0,,,103-102,,S. Adams enters the game for N. Collison
8:13.0,E. Payton enters the game for V. Oladipo,,103-102,,
8:05.0,Turnover by M. Hezonja (traveling),,103-102,,
7:56.0,,,103-104,2,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook)
7:25.0,E. Payton makes 2-pt shot from 2 ft,2,105-104,,
7:11.0,,,105-104,,K. Singler misses 3-pt shot from 24 ft
7:10.0,Defensive rebound by C. Frye,,105-104,,
7:10.0,,,105-104,,Personal foul by E. Kanter (drawn by C. Frye)
7:10.0,,,105-104,,K. Durant enters the game for K. Singler
6:57.0,E. Payton misses 2-pt shot from 1 ft (block by E. Kanter),,105-104,,
6:57.0,Offensive rebound by Team,,105-104,,
6:53.0,M. Hezonja misses 3-pt shot from 22 ft (block by K. Durant),,105-104,,
6:52.0,Offensive rebound by E. Payton,,105-104,,
6:48.0,E. Fournier misses 3-pt shot from 23 ft,,105-104,,
6:48.0,,,105-104,,Defensive rebound by R. Westbrook
6:43.0,,,105-106,2,R. Westbrook makes 2-pt shot from 2 ft
6:25.0,J. Smith makes 2-pt shot from 18 ft (assist by M. Hezonja),2,107-106,,
6:15.0,Personal foul by M. Hezonja (drawn by K. Durant),,107-106,,
6:15.0,N. Vucevic enters the game for C. Frye,,107-106,,
6:15.0,,,107-106,,S. Ibaka enters the game for E. Kanter
6:09.0,,,107-109,3,K. Durant makes 3-pt shot from 25 ft
5:47.0,Turnover by N. Vucevic (bad pass; steal by K. Durant),,107-109,,
5:41.0,,,107-109,,K. Durant misses 3-pt shot from 24 ft
