time,Sacramento,pts.away,score,pts.home,Houston
8:07.0,,,8-10,,T. Ariza misses 3-pt shot from 24 ft
8:06.0,Defensive rebound by B. McLemore,,8-10,,
7:58.0,R. Rondo misses 2-pt shot from 4 ft,,8-10,,
7:58.0,,,8-10,,Defensive rebound by D. Howard
7:48.0,Violation by D. Cousins (kicked ball),,8-10,,
7:34.0,,,8-10,,T. Ariza misses 3-pt shot from 22 ft
7:34.0,Defensive rebound by R. Gay,,8-10,,
7:26.0,O. Casspi makes 2-pt shot from 2 ft (assist by D. Cousins),2,10-10,,
7:11.0,,,10-10,,P. Beverley misses 3-pt shot from 24 ft
7:10.0,Defensive rebound by B. McLemore,,10-10,,
7:05.0,Turnover by R. Rondo (bad pass; steal by C. Capela),,10-10,,
7:05.0,Personal foul by R. Gay (drawn by C. Capela),,10-10,,
7:05.0,Q. Acy enters the game for R. Gay,,10-10,,
6:45.0,,,10-13,3,J. Harden makes 3-pt shot from 24 ft
6:34.0,D. Cousins misses 3-pt shot from 24 ft,,10-13,,
6:33.0,,,10-13,,Defensive rebound by C. Capela
6:13.0,,,10-13,,C. Capela misses 2-pt shot from 3 ft (block by B. McLemore)
6:12.0,,,10-13,,Offensive rebound by D. Howard
6:12.0,,,10-15,2,D. Howard makes 2-pt shot from 1 ft
6:12.0,,,10-15,,Shooting foul by Q. Acy (drawn by D. Howard)
6:12.0,,,10-15,,T. Jones enters the game for C. Capela
6:12.0,,,10-15,,C. Brewer enters the game for T. Ariza
6:12.0,,,10-15,,D. Howard misses free throw 1 of 1
6:11.0,Defensive rebound by B. McLemore,,10-15,,
5:53.0,R. Rondo makes 2-pt shot from 2 ft,2,12-15,,
5:45.0,,,12-15,,Turnover by D. Howard (lost ball; steal by R. Rondo)
5:36.0,B. McLemore misses 2-pt shot from 3 ft,,12-15,,
5:34.0,Offensive rebound by Q. Acy,,12-15,,
5:34.0,Q. Acy misses 2-pt shot from 1 ft,,12-15,,
5:33.0,,,12-15,,Defensive rebound by D. Howard
5:27.0,,,12-15,,C. Brewer misses 3-pt shot from 24 ft
5:27.0,,,12-15,,Offensive rebound by D. Howard
5:24.0,Loose ball foul by O. Casspi (drawn by P. Beverley),,12-15,,
5:24.0,,,12-15,,Houston full timeout
5:24.0,,,12-15,,D. Motiejunas enters the game for D. Howard
5:24.0,,,12-16,1,P. Beverley makes free throw 1 of 2
5:24.0,,,12-16,,P. Beverley misses free throw 2 of 2
5:21.0,,,12-16,,Offensive rebound by Team
5:21.0,,,12-16,,T. Lawson enters the game for P. Beverley
5:14.0,,,12-16,,Turnover by C. Brewer (bad pass; steal by R. Rondo)
5:08.0,Q. Acy makes 2-pt shot at rim (assist by R. Rondo),2,14-16,,
5:03.0,,,14-16,,Turnover by T. Lawson (dbl dribble)
5:03.0,M. Belinelli enters the game for B. McLemore,,14-16,,
4:52.0,Offensive charge foul by D. Cousins,,14-16,,
4:52.0,Turnover by D. Cousins (offensive foul),,14-16,,
4:52.0,K. Koufos enters the game for D. Cousins,,14-16,,
4:31.0,,,14-16,,T. Lawson misses 3-pt shot from 24 ft
4:30.0,,,14-16,,Offensive rebound by C. Brewer
4:19.0,,,14-16,,D. Motiejunas misses 2-pt shot from 2 ft
4:18.0,,,14-16,,Offensive rebound by T. Jones
4:18.0,,,14-18,2,T. Jones makes 2-pt shot from 1 ft
4:08.0,M. Belinelli misses 2-pt shot from 9 ft,,14-18,,
4:07.0,,,14-18,,Defensive rebound by C. Brewer
4:00.0,,,14-18,,T. Jones misses 2-pt shot from 2 ft (block by K. Koufos)
3:59.0,,,14-18,,Offensive rebound by D. Motiejunas
3:51.0,,,14-18,,Shooting foul by Q. Acy (drawn by J. Harden)
3:51.0,,,14-19,1,J. Harden makes free throw 1 of 2
3:51.0,R. Gay enters the game for O. Casspi,,14-19,,
3:51.0,,,14-20,1,J. Harden makes free throw 2 of 2
3:38.0,,,14-20,,Personal foul by C. Brewer (drawn by M. Belinelli)
3:24.0,M. Belinelli misses 3-pt shot from 26 ft,,14-20,,
3:23.0,,,14-20,,Defensive rebound by Team
3:23.0,D. Collison enters the game for Q. Acy,,14-20,,
3:07.0,,,14-22,2,T. Jones makes 2-pt shot from 2 ft (assist by C. Brewer)
3:04.0,Sacramento full timeout,,14-22,,
3:04.0,,,14-22,,J. Terry enters the game for J. Harden
2:42.0,,,14-22,,Violation by J. Terry (kicked ball)
2:38.0,,,14-22,,D. Howard enters the game for D. Motiejunas
2:28.0,D. Collison misses 3-pt shot from 22 ft,,14-22,,
2:27.0,,,14-22,,Defensive rebound by D. Howard
2:13.0,,,14-24,2,C. Brewer makes 2-pt shot from 1 ft (assist by T. Lawson)
2:02.0,K. Koufos misses 2-pt shot from 8 ft,,14-24,,
2:01.0,,,14-24,,Defensive rebound by D. Howard
1:44.0,,,14-27,3,J. Terry makes 3-pt shot from 23 ft (assist by T. Lawson)
1:34.0,R. Rondo misses 2-pt shot from 19 ft,,14-27,,
1:33.0,,,14-27,,Defensive rebound by D. Howard
1:13.0,,,14-27,,Shooting foul by D. Collison (drawn by T. Lawson)
1:13.0,,,14-28,1,T. Lawson makes free throw 1 of 2
1:13.0,B. McLemore enters the game for R. Rondo,,14-28,,
1:13.0,,,14-29,1,T. Lawson makes free throw 2 of 2
1:00.0,R. Gay misses 2-pt shot from 20 ft,,14-29,,
0:59.0,Offensive rebound by K. Koufos,,14-29,,
0:57.0,D. Collison makes 2-pt shot from 16 ft (assist by K. Koufos),2,16-29,,
0:39.0,,,16-29,,J. Terry misses 3-pt shot from 23 ft
0:39.0,,,16-29,,Offensive rebound by T. Jones
0:24.0,,,16-29,,T. Jones misses 3-pt shot from 27 ft
0:23.0,Defensive rebound by D. Collison,,16-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Turnover by M. Belinelli (bad pass; steal by T. Ariza),,16-29,,
11:42.0,,,16-29,,M. Thornton misses 2-pt shot from 1 ft
11:41.0,Defensive rebound by K. Koufos,,16-29,,
11:35.0,B. McLemore makes 2-pt shot from 1 ft (assist by D. Collison),2,18-29,,
11:21.0,,,18-32,3,M. Thornton makes 3-pt shot from 25 ft (assist by P. Beverley)
10:54.0,B. McLemore misses 2-pt shot from 7 ft,,18-32,,
10:53.0,,,18-32,,Defensive rebound by D. Howard
10:46.0,,,18-32,,M. Thornton misses 3-pt shot from 26 ft
10:46.0,,,18-32,,Offensive rebound by D. Howard
10:41.0,,,18-32,,T. Ariza misses 3-pt shot from 24 ft
10:41.0,Defensive rebound by B. McLemore,,18-32,,
10:32.0,M. Belinelli misses 2-pt shot from 23 ft,,18-32,,
10:32.0,Offensive rebound by R. Gay,,18-32,,
10:27.0,D. Collison makes 3-pt shot from 24 ft (assist by R. Gay),3,21-32,,
10:00.0,,,21-32,,M. Thornton misses 2-pt shot from 3 ft (block by K. Koufos)
9:59.0,Defensive rebound by K. Koufos,,21-32,,
9:51.0,R. Gay makes 2-pt shot from 15 ft (assist by D. Collison),2,23-32,,
9:46.0,,,23-32,,Houston full timeout
9:46.0,D. Cousins enters the game for K. Koufos,,23-32,,
9:29.0,,,23-34,2,P. Beverley makes 2-pt shot from 3 ft (assist by M. Thornton)
9:09.0,R. Gay misses 3-pt shot from 22 ft,,23-34,,
9:08.0,,,23-34,,Defensive rebound by M. Thornton
8:53.0,,,23-34,,Turnover by J. Terry (bad pass; steal by R. Gay)
8:40.0,D. Cousins misses 2-pt shot from 9 ft,,23-34,,
8:40.0,,,23-34,,Defensive rebound by D. Howard
8:25.0,,,23-36,2,D. Howard makes 2-pt shot at rim (assist by M. Thornton)
8:10.0,D. Collison makes 2-pt shot from 4 ft,2,25-36,,
8:07.0,Violation by Team (delay of game),,25-36,,
7:56.0,,,25-36,,M. Thornton misses 2-pt shot from 13 ft
7:56.0,,,25-36,,Offensive rebound by T. Ariza
7:52.0,,,25-36,,T. Ariza misses 2-pt shot from 1 ft (block by D. Cousins)
7:50.0,Defensive rebound by D. Cousins,,25-36,,
7:46.0,D. Collison misses 2-pt shot from 2 ft (block by J. Terry),,25-36,,
7:45.0,,,25-36,,Defensive rebound by M. Thornton
7:41.0,,,25-38,2,D. Howard makes 2-pt shot at rim (assist by T. Ariza)
7:29.0,D. Cousins misses 2-pt shot from 15 ft,,25-38,,
7:29.0,,,25-38,,Defensive rebound by D. Howard
7:15.0,,,25-38,,Turnover by J. Terry (bad pass; steal by R. Gay)
7:09.0,R. Gay makes 2-pt shot from 2 ft (assist by B. McLemore),2,27-38,,
7:02.0,,,27-38,,Shooting foul by D. Cousins (drawn by T. Ariza)
7:02.0,,,27-39,1,T. Ariza makes free throw 1 of 2
7:02.0,,,27-39,,C. Capela enters the game for D. Howard
7:02.0,,,27-39,,J. Harden enters the game for J. Terry
7:02.0,,,27-39,,T. Jones enters the game for M. Thornton
7:02.0,O. Casspi enters the game for D. Cousins,,27-39,,
7:02.0,K. Koufos enters the game for M. Belinelli,,27-39,,
7:02.0,,,27-39,,T. Ariza misses free throw 2 of 2
7:02.0,Defensive rebound by K. Koufos,,27-39,,
6:54.0,,,27-39,,Personal foul by T. Ariza (drawn by R. Gay)
6:39.0,O. Casspi misses 2-pt shot from 4 ft,,27-39,,
6:39.0,Offensive rebound by B. McLemore,,27-39,,
6:36.0,,,27-39,,Personal foul by P. Beverley (drawn by B. McLemore)
6:29.0,O. Casspi makes 3-pt shot from 25 ft (assist by D. Collison),3,30-39,,
6:15.0,,,30-39,,T. Ariza misses 2-pt shot from 5 ft (block by O. Casspi)
6:15.0,Defensive rebound by O. Casspi,,30-39,,
6:11.0,Turnover by O. Casspi (bad pass; steal by C. Capela),,30-39,,
6:05.0,,,30-39,,J. Harden misses 2-pt shot from 17 ft
6:04.0,Defensive rebound by B. McLemore,,30-39,,
5:55.0,B. McLemore makes 3-pt shot from 25 ft (assist by O. Casspi),3,33-39,,
5:41.0,,,33-41,2,C. Capela makes 2-pt shot from 3 ft (assist by T. Ariza)
5:30.0,B. McLemore makes 2-pt shot from 12 ft,2,35-41,,
5:29.0,,,35-41,,Houston full timeout
5:29.0,,,35-41,,Houston full timeout
5:29.0,,,35-41,,D. Motiejunas enters the game for P. Beverley
5:29.0,,,35-41,,T. Lawson enters the game for T. Jones
5:13.0,,,35-41,,Offensive charge foul by D. Motiejunas
5:13.0,,,35-41,,Turnover by D. Motiejunas (offensive foul)
5:01.0,R. Gay misses 3-pt shot from 23 ft,,35-41,,
5:00.0,,,35-41,,Defensive rebound by J. Harden
4:51.0,,,35-41,,Turnover by J. Harden (lost ball; steal by D. Collison)
4:41.0,D. Collison misses 2-pt shot from 19 ft,,35-41,,
4:39.0,Offensive rebound by K. Koufos,,35-41,,
4:37.0,K. Koufos misses 2-pt shot from 7 ft,,35-41,,
4:36.0,,,35-41,,Defensive rebound by T. Ariza
4:27.0,,,35-43,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
4:16.0,O. Casspi misses 3-pt shot from 23 ft,,35-43,,
4:15.0,,,35-43,,Defensive rebound by Team
4:15.0,R. Rondo enters the game for D. Collison,,35-43,,
4:01.0,,,35-43,,Turnover by D. Motiejunas (bad pass; steal by K. Koufos)
3:59.0,,,35-43,,Personal foul by T. Lawson (drawn by B. McLemore)
3:51.0,B. McLemore misses 3-pt shot from 25 ft,,35-43,,
3:50.0,,,35-43,,Defensive rebound by C. Capela
3:38.0,,,35-46,3,J. Harden makes 3-pt shot from 25 ft
3:21.0,O. Casspi makes 2-pt shot from 4 ft (assist by R. Rondo),2,37-46,,
3:14.0,,,37-46,,D. Motiejunas misses 2-pt shot at rim
3:13.0,Defensive rebound by K. Koufos,,37-46,,
3:04.0,O. Casspi misses 3-pt shot from 24 ft,,37-46,,
3:04.0,,,37-46,,Defensive rebound by T. Ariza
2:48.0,,,37-46,,D. Motiejunas misses 2-pt shot from 5 ft
2:48.0,Defensive rebound by K. Koufos,,37-46,,
2:41.0,O. Casspi misses 2-pt shot from 4 ft,,37-46,,
2:40.0,Offensive rebound by B. McLemore,,37-46,,
2:40.0,B. McLemore makes 2-pt shot from 1 ft,2,39-46,,
2:23.0,,,39-46,,D. Motiejunas misses 3-pt shot from 24 ft
2:22.0,Defensive rebound by K. Koufos,,39-46,,
2:15.0,R. Gay makes 2-pt shot from 4 ft (assist by R. Rondo),2,41-46,,
2:05.0,,,41-46,,Offensive foul by J. Harden
2:05.0,,,41-46,,Turnover by J. Harden (offensive foul)
2:05.0,Sacramento full timeout,,41-46,,
2:05.0,,,41-46,,C. Brewer enters the game for C. Capela
2:05.0,,,41-46,,D. Howard enters the game for D. Motiejunas
1:55.0,K. Koufos misses 2-pt shot from 4 ft,,41-46,,
1:54.0,Offensive rebound by K. Koufos,,41-46,,
1:51.0,K. Koufos misses 2-pt shot from 4 ft,,41-46,,
1:50.0,Offensive rebound by R. Rondo,,41-46,,
1:47.0,O. Casspi makes 2-pt shot from 7 ft (assist by R. Rondo),2,43-46,,
1:36.0,,,43-46,,Turnover by C. Brewer (bad pass; steal by R. Rondo)
1:32.0,B. McLemore makes 2-pt shot at rim (assist by R. Rondo),2,45-46,,
1:14.0,,,45-49,3,C. Brewer makes 3-pt shot from 22 ft (assist by J. Harden)
1:02.0,O. Casspi misses 2-pt shot at rim,,45-49,,
1:02.0,,,45-49,,Defensive rebound by Team
0:54.0,,,45-52,3,J. Harden makes 3-pt shot from 25 ft (assist by T. Lawson)
0:39.0,,,45-52,,P. Beverley enters the game for T. Lawson
0:34.0,R. Rondo makes 3-pt shot from 24 ft (assist by R. Gay),3,48-52,,
0:30.0,,,48-52,,J. Harden misses 2-pt shot from 19 ft
0:28.0,Defensive rebound by R. Gay,,48-52,,
0:06.0,B. McLemore misses 2-pt shot from 6 ft,,48-52,,
0:05.0,Offensive rebound by R. Gay,,48-52,,
0:05.0,R. Gay misses 2-pt shot from 1 ft,,48-52,,
0:05.0,Offensive rebound by R. Gay,,48-52,,
0:05.0,R. Gay makes 2-pt shot from 1 ft,2,50-52,,
0:01.0,,,50-52,,C. Brewer misses 2-pt shot from 1 ft
0:00.0,,,50-52,,Offensive rebound by P. Beverley
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,D. Cousins makes 2-pt shot from 1 ft (assist by R. Rondo),2,52-52,,
11:49.0,Shooting foul by C. Capela (drawn by D. Cousins),,52-52,,
11:49.0,D. Cousins makes free throw 1 of 1,1,53-52,,
11:29.0,,,53-52,,T. Ariza misses 3-pt shot from 24 ft
11:28.0,Defensive rebound by D. Cousins,,53-52,,
11:22.0,Turnover by D. Cousins (palming),,53-52,,
10:58.0,,,53-54,2,T. Ariza makes 2-pt shot from 2 ft (assist by J. Harden)
10:38.0,Turnover by O. Casspi (bad pass; steal by T. Ariza),,53-54,,
10:31.0,,,53-54,,Turnover by J. Harden (bad pass; steal by R. Rondo)
10:18.0,D. Cousins misses 3-pt shot from 25 ft,,53-54,,
10:18.0,,,53-54,,Defensive rebound by Team
10:05.0,,,53-56,2,J. Harden makes 2-pt shot from 16 ft
9:47.0,R. Rondo makes 2-pt shot from 3 ft (assist by D. Cousins),2,55-56,,
9:33.0,,,55-58,2,D. Howard makes 2-pt shot from 1 ft (assist by C. Capela)
9:33.0,,,55-58,,Shooting foul by R. Gay (drawn by D. Howard)
9:33.0,,,55-58,,D. Howard misses free throw 1 of 1
9:33.0,Defensive rebound by B. McLemore,,55-58,,
9:18.0,Turnover by R. Rondo (bad pass),,55-58,,
9:10.0,,,55-60,2,D. Howard makes 2-pt shot at rim (assist by J. Harden)
8:54.0,R. Rondo makes 2-pt shot from 1 ft,2,57-60,,
8:48.0,,,57-60,,Houston full timeout
8:40.0,,,57-60,,Shooting foul by R. Gay (drawn by J. Harden)
8:40.0,,,57-61,1,J. Harden makes free throw 1 of 2
8:40.0,K. Koufos enters the game for R. Gay,,57-61,,
8:40.0,,,57-62,1,J. Harden makes free throw 2 of 2
8:22.0,,,57-62,,Violation by D. Howard (def goaltending)
8:22.0,K. Koufos makes 2-pt shot from 5 ft (assist by R. Rondo),2,59-62,,
8:10.0,,,59-62,,T. Ariza misses 2-pt shot from 15 ft
8:09.0,Defensive rebound by R. Rondo,,59-62,,
8:01.0,B. McLemore makes 3-pt shot from 22 ft (assist by R. Rondo),3,62-62,,
7:44.0,,,62-64,2,D. Howard makes 2-pt shot from 4 ft
7:24.0,R. Rondo makes 2-pt shot from 9 ft,2,64-64,,
7:08.0,,,64-64,,C. Capela misses 2-pt shot at rim (block by O. Casspi)
7:07.0,Defensive rebound by D. Cousins,,64-64,,
7:01.0,D. Cousins misses 2-pt shot at rim (block by D. Howard),,64-64,,
7:01.0,Offensive rebound by Team,,64-64,,
6:51.0,,,64-64,,Personal foul by P. Beverley (drawn by R. Rondo)
6:40.0,Shooting foul by C. Capela (drawn by D. Cousins),,64-64,,
6:40.0,D. Cousins makes free throw 1 of 2,1,65-64,,
6:40.0,,,65-64,,J. Terry enters the game for P. Beverley
6:40.0,D. Cousins makes free throw 2 of 2,1,66-64,,
6:15.0,,,66-64,,J. Harden misses 2-pt shot from 11 ft
6:15.0,,,66-64,,Offensive rebound by Team
6:15.0,,,66-64,,Turnover by Team (shot clock)
6:01.0,Turnover by R. Rondo (bad pass; steal by J. Terry),,66-64,,
5:55.0,,,66-64,,Shooting foul by K. Koufos (drawn by D. Howard)
5:55.0,,,66-65,1,D. Howard makes free throw 1 of 2
5:55.0,,,66-65,,T. Jones enters the game for C. Capela
5:55.0,,,66-65,,D. Howard misses free throw 2 of 2
5:55.0,Defensive rebound by D. Cousins,,66-65,,
5:40.0,R. Rondo makes 2-pt shot from 8 ft,2,68-65,,
5:15.0,,,68-68,3,T. Ariza makes 3-pt shot from 22 ft (assist by J. Harden)
5:04.0,Shooting foul by T. Jones (drawn by D. Cousins),,68-68,,
5:04.0,D. Cousins misses free throw 1 of 2,,68-68,,
5:04.0,Offensive rebound by Team,,68-68,,
5:04.0,D. Cousins makes free throw 2 of 2,1,69-68,,
4:47.0,,,69-68,,J. Harden misses 2-pt shot from 8 ft
4:47.0,,,69-68,,Offensive rebound by T. Ariza
4:46.0,,,69-68,,T. Ariza misses 2-pt shot from 2 ft (block by D. Cousins)
4:45.0,,,69-68,,Offensive rebound by D. Howard
4:45.0,,,69-68,,Shooting foul by D. Cousins (drawn by D. Howard)
4:45.0,,,69-69,1,D. Howard makes free throw 1 of 2
4:45.0,,,69-70,1,D. Howard makes free throw 2 of 2
4:27.0,B. McLemore makes 3-pt shot from 24 ft (assist by R. Rondo),3,72-70,,
4:16.0,,,72-73,3,J. Harden makes 3-pt shot from 24 ft
4:04.0,R. Rondo misses 2-pt shot from 22 ft,,72-73,,
4:03.0,,,72-73,,Defensive rebound by T. Jones
3:54.0,,,72-73,,Shooting foul by K. Koufos (drawn by J. Harden)
3:54.0,,,72-74,1,J. Harden makes free throw 1 of 2
3:54.0,,,72-74,,C. Capela enters the game for D. Howard
3:54.0,D. Collison enters the game for D. Cousins,,72-74,,
3:54.0,,,72-75,1,J. Harden makes free throw 2 of 2
3:30.0,R. Rondo misses 3-pt shot from 24 ft,,72-75,,
3:28.0,,,72-75,,Defensive rebound by J. Harden
3:23.0,,,72-75,,Turnover by J. Harden (lost ball; steal by B. McLemore)
3:17.0,D. Collison makes 2-pt shot from 2 ft (assist by R. Rondo),2,74-75,,
2:54.0,,,74-75,,Turnover by T. Jones (lost ball; steal by K. Koufos)
2:48.0,D. Collison makes 3-pt shot from 25 ft (assist by R. Rondo),3,77-75,,
2:29.0,Personal foul by B. McLemore (drawn by J. Harden),,77-75,,
2:29.0,Sacramento full timeout,,77-75,,
2:29.0,,,77-75,,J. Harden misses free throw 1 of 2
2:29.0,,,77-75,,Offensive rebound by Team
2:29.0,,,77-76,1,J. Harden makes free throw 2 of 2
2:10.0,R. Rondo misses 2-pt shot from 10 ft,,77-76,,
2:10.0,Offensive rebound by K. Koufos,,77-76,,
2:07.0,K. Koufos makes 2-pt shot from 2 ft,2,79-76,,
1:52.0,,,79-78,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
1:28.0,K. Koufos makes 2-pt shot from 8 ft (assist by D. Collison),2,81-78,,
1:18.0,,,81-78,,Offensive foul by T. Jones
1:18.0,,,81-78,,Turnover by T. Jones (offensive foul)
1:18.0,M. Belinelli enters the game for B. McLemore,,81-78,,
1:18.0,,,81-78,,T. Lawson enters the game for J. Harden
1:01.0,Turnover by R. Rondo (bad pass; steal by T. Ariza),,81-78,,
0:54.0,,,81-81,3,J. Terry makes 3-pt shot from 25 ft (assist by T. Lawson)
0:41.0,M. Belinelli makes 2-pt shot from 14 ft (assist by R. Rondo),2,83-81,,
0:33.0,,,83-84,3,T. Jones makes 3-pt shot from 24 ft (assist by T. Ariza)
0:22.0,M. Belinelli makes 2-pt shot from 15 ft (assist by R. Rondo),2,85-84,,
0:02.0,,,85-84,,T. Ariza misses 3-pt shot from 23 ft
0:01.0,Defensive rebound by O. Casspi,,85-84,,
0:00.0,O. Casspi misses 3-pt shot from 67 ft,,85-84,,
0:00.0,Offensive rebound by Team,,85-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,85-84,,D. Howard misses 2-pt shot at rim
11:41.0,Defensive rebound by M. Belinelli,,85-84,,
11:26.0,D. Collison makes 3-pt shot from 23 ft (assist by R. Rondo),3,88-84,,
11:06.0,,,88-86,2,T. Jones makes 2-pt shot from 6 ft
11:06.0,,,88-86,,Shooting foul by R. Gay (drawn by T. Jones)
11:06.0,D. Cousins enters the game for R. Gay,,88-86,,
11:06.0,,,88-86,,P. Beverley enters the game for T. Lawson
11:06.0,,,88-87,1,T. Jones makes free throw 1 of 1
10:41.0,Turnover by Team (shot clock),,88-87,,
10:41.0,B. McLemore enters the game for R. Rondo,,88-87,,
10:29.0,,,88-89,2,T. Jones makes 2-pt shot from 21 ft (assist by C. Brewer)
10:13.0,M. Belinelli makes 2-pt shot from 18 ft (assist by D. Collison),2,90-89,,
10:05.0,,,90-89,,Shooting foul by M. Belinelli (drawn by T. Jones)
10:05.0,,,90-90,1,T. Jones makes free throw 1 of 2
10:05.0,,,90-91,1,T. Jones makes free throw 2 of 2
9:52.0,K. Koufos makes 2-pt shot from 1 ft (assist by D. Collison),2,92-91,,
9:52.0,Shooting foul by D. Howard (drawn by K. Koufos),,92-91,,
9:52.0,K. Koufos makes free throw 1 of 1,1,93-91,,
9:40.0,,,93-91,,C. Brewer misses 3-pt shot from 25 ft
9:40.0,Defensive rebound by M. Belinelli,,93-91,,
9:26.0,D. Cousins misses 2-pt shot from 20 ft,,93-91,,
9:25.0,,,93-91,,Defensive rebound by C. Brewer
9:10.0,,,93-91,,J. Terry misses 3-pt shot from 28 ft
9:09.0,,,93-91,,Offensive rebound by T. Jones
9:03.0,,,93-91,,Shooting foul by K. Koufos (drawn by D. Howard)
9:03.0,,,93-92,1,D. Howard makes free throw 1 of 2
9:03.0,,,93-92,,J. Harden enters the game for J. Terry
9:03.0,,,93-92,,D. Howard misses free throw 2 of 2
9:03.0,Defensive rebound by D. Cousins,,93-92,,
8:44.0,D. Collison misses 2-pt shot from 20 ft,,93-92,,
8:43.0,,,93-92,,Defensive rebound by T. Jones
8:29.0,,,93-92,,C. Brewer misses 3-pt shot from 23 ft
8:29.0,Defensive rebound by M. Belinelli,,93-92,,
8:17.0,Turnover by D. Cousins (lost ball; steal by D. Howard),,93-92,,
8:14.0,Flagrant foul type 1 by M. Belinelli (drawn by C. Brewer),,93-92,,
8:14.0,,,93-92,,Houston full timeout
8:14.0,,,93-93,1,C. Brewer makes flagrant free throw 1 of 2
8:14.0,,,93-93,,C. Brewer misses flagrant free throw 2 of 2
8:14.0,,,93-93,,Offensive rebound by Team
8:01.0,,,93-93,,Shooting foul by D. Cousins (drawn by J. Harden)
8:01.0,,,93-94,1,J. Harden makes free throw 1 of 2
8:01.0,,,93-95,1,J. Harden makes free throw 2 of 2
7:48.0,,,93-95,,Personal foul by C. Brewer (drawn by K. Koufos)
7:42.0,,,93-95,,Personal foul by C. Brewer (drawn by B. McLemore)
7:42.0,R. Rondo enters the game for M. Belinelli,,93-95,,
7:29.0,D. Collison makes 3-pt shot from 25 ft (assist by B. McLemore),3,96-95,,
7:14.0,,,96-95,,D. Howard misses 2-pt shot at rim
7:14.0,Defensive rebound by K. Koufos,,96-95,,
7:06.0,,,96-95,,Shooting block foul by J. Harden (drawn by D. Cousins)
7:06.0,D. Cousins makes free throw 1 of 2,1,97-95,,
7:06.0,,,97-95,,T. Ariza enters the game for C. Brewer
7:06.0,D. Cousins makes free throw 2 of 2,1,98-95,,
6:47.0,,,98-95,,T. Jones misses 3-pt shot from 25 ft
6:46.0,Defensive rebound by K. Koufos,,98-95,,
6:26.0,D. Cousins misses 2-pt shot from 5 ft,,98-95,,
6:25.0,,,98-95,,Defensive rebound by P. Beverley
6:06.0,,,98-98,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
6:01.0,D. Collison misses 2-pt shot from 2 ft (block by J. Harden),,98-98,,
6:00.0,,,98-98,,Defensive rebound by D. Howard
5:52.0,,,98-101,3,P. Beverley makes 3-pt shot from 22 ft (assist by T. Jones)
5:50.0,Sacramento full timeout,,98-101,,
5:50.0,O. Casspi enters the game for K. Koufos,,98-101,,
5:50.0,R. Gay enters the game for D. Collison,,98-101,,
5:30.0,D. Cousins misses 2-pt shot from 3 ft (block by T. Jones),,98-101,,
5:30.0,Offensive rebound by Team,,98-101,,
5:29.0,,,98-101,,Personal foul by J. Harden (drawn by R. Gay)
