time,Chicago,pts.away,score,pts.home,New Orleans
8:40.0,J. Holiday enters the game for A. Brooks,,32-39,,
8:40.0,J. Butler enters the game for D. McDermott,,32-39,,
8:27.0,J. Butler makes 2-pt shot from 5 ft (assist by T. Snell),2,34-39,,
8:11.0,,,34-42,3,J. Hamilton makes 3-pt shot from 25 ft (assist by T. Frazier)
7:53.0,T. Snell misses 3-pt shot from 24 ft,,34-42,,
7:53.0,,,34-42,,Defensive rebound by K. Perkins
7:46.0,,,34-42,,J. Hamilton misses 3-pt shot from 23 ft
7:45.0,Defensive rebound by J. Holiday,,34-42,,
7:38.0,Shooting foul by J. Hamilton (drawn by N. Mirotic),,34-42,,
7:38.0,N. Mirotic misses free throw 1 of 2,,34-42,,
7:38.0,Offensive rebound by Team,,34-42,,
7:38.0,N. Mirotic makes free throw 2 of 2,1,35-42,,
7:27.0,,,35-45,3,T. Douglas makes 3-pt shot from 22 ft (assist by T. Frazier)
7:13.0,Shooting foul by J. Hamilton (drawn by N. Mirotic),,35-45,,
7:13.0,N. Mirotic makes free throw 1 of 2,1,36-45,,
7:13.0,,,36-45,,J. Ennis enters the game for J. Hamilton
7:13.0,N. Mirotic makes free throw 2 of 2,1,37-45,,
6:57.0,,,37-45,,K. Perkins misses 2-pt shot from 6 ft
6:56.0,Defensive rebound by J. Holiday,,37-45,,
6:46.0,N. Mirotic makes 2-pt shot from 2 ft (assist by B. Portis),2,39-45,,
6:25.0,,,39-45,,T. Frazier misses 2-pt shot from 4 ft
6:22.0,Defensive rebound by J. Butler,,39-45,,
6:14.0,T. Snell makes 3-pt shot from 24 ft (assist by J. Butler),3,42-45,,
5:58.0,,,42-47,2,D. Cunningham makes 2-pt shot from 2 ft (assist by T. Frazier)
5:45.0,B. Portis makes 3-pt shot from 24 ft (assist by J. Butler),3,45-47,,
5:38.0,,,45-47,,New Orleans full timeout
5:38.0,,,45-47,,O. Asik enters the game for D. Cunningham
5:38.0,,,45-47,,L. Babbitt enters the game for K. Perkins
5:19.0,,,45-49,2,L. Babbitt makes 2-pt shot from 9 ft
4:57.0,J. Holiday misses 3-pt shot from 23 ft,,45-49,,
4:56.0,,,45-49,,Defensive rebound by J. Ennis
4:42.0,,,45-51,2,O. Asik makes 2-pt shot from 1 ft (assist by J. Ennis)
4:21.0,J. Holiday makes 2-pt shot from 4 ft,2,47-51,,
3:59.0,,,47-51,,Turnover by L. Babbitt (lost ball; steal by N. Mirotic)
3:49.0,N. Mirotic makes 2-pt shot from 18 ft (assist by J. Holiday),2,49-51,,
3:29.0,,,49-51,,T. Frazier misses 2-pt shot from 21 ft
3:29.0,,,49-51,,Offensive rebound by O. Asik
3:29.0,C. Felicio enters the game for B. Portis,,49-51,,
3:29.0,M. Dunleavy enters the game for T. Snell,,49-51,,
3:22.0,,,49-51,,Shooting foul by N. Mirotic (drawn by L. Babbitt)
3:22.0,,,49-52,1,L. Babbitt makes free throw 1 of 2
3:22.0,,,49-53,1,L. Babbitt makes free throw 2 of 2
3:16.0,,,49-53,,Personal foul by J. Ennis
3:04.0,Turnover by N. Mirotic (lost ball; steal by T. Frazier),,49-53,,
2:52.0,,,49-53,,Shooting foul by N. Mirotic (drawn by T. Frazier)
2:52.0,Official timeout,,49-53,,
2:52.0,A. Brooks enters the game for N. Mirotic,,49-53,,
2:52.0,,,49-54,1,T. Frazier makes free throw 1 of 2
2:52.0,,,49-55,1,T. Frazier makes free throw 2 of 2
2:34.0,J. Holiday misses 2-pt shot from 2 ft,,49-55,,
2:32.0,,,49-55,,Defensive rebound by Team
2:14.0,,,49-57,2,J. Ennis makes 2-pt shot at rim (assist by T. Frazier)
2:00.0,J. Butler misses 2-pt shot from 12 ft (block by J. Ennis),,49-57,,
2:00.0,Offensive rebound by Team,,49-57,,
1:57.0,M. Dunleavy misses 2-pt shot at rim,,49-57,,
1:56.0,,,49-57,,Defensive rebound by O. Asik
1:45.0,,,49-59,2,O. Asik makes 2-pt shot at rim (assist by T. Frazier)
1:44.0,Chicago full timeout,,49-59,,
1:44.0,T. Snell enters the game for J. Butler,,49-59,,
1:31.0,A. Brooks misses 2-pt shot from 14 ft,,49-59,,
1:30.0,,,49-59,,Defensive rebound by T. Frazier
1:14.0,,,49-59,,L. Babbitt misses 3-pt shot from 25 ft
1:10.0,,,49-59,,Offensive rebound by O. Asik
1:07.0,,,49-59,,T. Douglas misses 3-pt shot from 24 ft
1:06.0,,,49-59,,Offensive rebound by L. Babbitt
0:48.0,,,49-59,,T. Douglas misses 2-pt shot from 1 ft
0:46.0,Defensive rebound by C. Felicio,,49-59,,
0:36.0,C. Felicio makes 2-pt shot from 1 ft (assist by J. Holiday),2,51-59,,
0:26.0,,,51-59,,T. Frazier misses 2-pt shot from 10 ft
0:25.0,Defensive rebound by C. Felicio,,51-59,,
0:03.0,J. Holiday makes 2-pt shot at rim (assist by A. Brooks),2,53-59,,
0:00.0,,,53-59,,Shooting foul by C. Felicio (drawn by T. Frazier)
0:00.0,,,53-60,1,T. Frazier makes free throw 1 of 3
0:00.0,,,53-61,1,T. Frazier makes free throw 2 of 3
0:00.0,,,53-62,1,T. Frazier makes free throw 3 of 3
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,Offensive foul by J. Butler,,53-62,,
11:42.0,Turnover by J. Butler (offensive foul),,53-62,,
11:34.0,,,53-64,2,O. Asik makes 2-pt shot from 1 ft (assist by J. Ennis)
11:15.0,N. Mirotic misses 3-pt shot from 25 ft,,53-64,,
11:14.0,,,53-64,,Defensive rebound by J. Ennis
11:01.0,Personal foul by M. Dunleavy,,53-64,,
10:55.0,,,53-67,3,J. Ennis makes 3-pt shot from 25 ft (assist by T. Douglas)
10:41.0,J. Butler makes 2-pt shot from 2 ft,2,55-67,,
10:23.0,,,55-67,,Turnover by L. Babbitt (traveling)
10:14.0,C. Felicio makes 2-pt shot from 17 ft (assist by J. Butler),2,57-67,,
9:51.0,,,57-67,,D. Cunningham misses 2-pt shot from 3 ft
9:49.0,Defensive rebound by J. Butler,,57-67,,
9:30.0,N. Mirotic misses 2-pt shot from 2 ft,,57-67,,
9:30.0,Offensive rebound by N. Mirotic,,57-67,,
9:29.0,N. Mirotic makes 2-pt shot from 2 ft,2,59-67,,
9:15.0,,,59-67,,T. Douglas misses 2-pt shot from 6 ft
9:13.0,Defensive rebound by C. Felicio,,59-67,,
8:59.0,N. Mirotic makes 3-pt shot from 25 ft (assist by J. Butler),3,62-67,,
8:57.0,,,62-67,,New Orleans full timeout
8:43.0,,,62-70,3,J. Ennis makes 3-pt shot from 26 ft (assist by L. Babbitt)
8:24.0,J. Holiday makes 3-pt shot from 25 ft (assist by J. Butler),3,65-70,,
8:06.0,,,65-70,,Shooting foul by C. Felicio (drawn by O. Asik)
8:06.0,,,65-70,,O. Asik misses free throw 1 of 2
8:06.0,,,65-70,,Offensive rebound by Team
8:06.0,,,65-71,1,O. Asik makes free throw 2 of 2
7:52.0,M. Dunleavy makes 2-pt shot from 18 ft (assist by J. Butler),2,67-71,,
7:38.0,,,67-71,,J. Ennis misses 3-pt shot from 25 ft
7:36.0,Defensive rebound by J. Butler,,67-71,,
7:18.0,M. Dunleavy makes 2-pt shot from 1 ft (assist by J. Butler),2,69-71,,
7:18.0,Shooting foul by J. Ennis (drawn by M. Dunleavy),,69-71,,
7:18.0,M. Dunleavy makes free throw 1 of 1,1,70-71,,
7:08.0,,,70-71,,Shooting foul by J. Holiday (drawn by T. Douglas)
7:08.0,,,70-72,1,T. Douglas makes free throw 1 of 2
7:08.0,,,70-73,1,T. Douglas makes free throw 2 of 2
6:49.0,N. Mirotic makes 3-pt shot from 26 ft (assist by J. Butler),3,73-73,,
6:30.0,,,73-75,2,T. Douglas makes 2-pt shot from 2 ft
6:18.0,Turnover by N. Mirotic (lost ball; steal by O. Asik),,73-75,,
6:14.0,Personal foul by J. Holiday,,73-75,,
6:14.0,T. Snell enters the game for J. Holiday,,73-75,,
6:10.0,Violation by T. Snell (kicked ball),,73-75,,
6:02.0,,,73-77,2,T. Douglas makes 2-pt shot from 15 ft
5:48.0,J. Butler makes 2-pt shot from 5 ft,2,75-77,,
5:25.0,,,75-79,2,J. Ennis makes 2-pt shot from 2 ft (assist by T. Douglas)
5:03.0,Turnover by J. Butler (lost ball; steal by T. Douglas),,75-79,,
4:59.0,Violation by C. Felicio (def goaltending),,75-79,,
4:59.0,,,75-81,2,T. Douglas makes 2-pt shot from 1 ft
4:59.0,Chicago full timeout,,75-81,,
4:59.0,,,75-81,,T. Frazier enters the game for T. Douglas
4:49.0,,,75-81,,J. Hamilton enters the game for L. Babbitt
4:48.0,C. Felicio makes 2-pt shot from 15 ft (assist by M. Dunleavy),2,77-81,,
4:31.0,,,77-81,,Turnover by J. Ennis (lost ball; steal by T. Snell)
4:29.0,Shooting foul by T. Frazier (drawn by T. Snell),,77-81,,
4:29.0,T. Snell makes free throw 1 of 2,1,78-81,,
4:29.0,B. Portis enters the game for N. Mirotic,,78-81,,
4:29.0,A. Brooks enters the game for J. Butler,,78-81,,
4:29.0,T. Snell makes free throw 2 of 2,1,79-81,,
4:23.0,Personal foul by T. Snell,,79-81,,
4:23.0,,,79-82,1,J. Ennis makes free throw 1 of 2
4:23.0,,,79-82,,K. Perkins enters the game for O. Asik
4:23.0,,,79-82,,J. Ennis misses free throw 2 of 2
4:20.0,Defensive rebound by C. Felicio,,79-82,,
4:06.0,A. Brooks misses 3-pt shot from 26 ft,,79-82,,
4:05.0,Offensive rebound by B. Portis,,79-82,,
3:53.0,B. Portis makes 2-pt shot from 17 ft (assist by T. Snell),2,81-82,,
3:39.0,,,81-84,2,T. Frazier makes 2-pt shot from 19 ft
3:19.0,Shooting foul by D. Cunningham (drawn by C. Felicio),,81-84,,
3:19.0,C. Felicio makes free throw 1 of 2,1,82-84,,
3:19.0,,,82-84,,L. Babbitt enters the game for J. Ennis
3:19.0,D. McDermott enters the game for M. Dunleavy,,82-84,,
3:19.0,C. Felicio makes free throw 2 of 2,1,83-84,,
2:56.0,,,83-84,,T. Frazier misses 2-pt shot from 12 ft
2:56.0,,,83-84,,Offensive rebound by K. Perkins
2:43.0,,,83-84,,Offensive foul by T. Frazier
2:43.0,,,83-84,,Turnover by T. Frazier (offensive foul)
2:32.0,Turnover by A. Brooks (lost ball; steal by T. Frazier),,83-84,,
2:32.0,Loose ball foul by A. Brooks,,83-84,,
2:32.0,,,83-84,,T. Frazier misses free throw 1 of 2
2:32.0,,,83-84,,Offensive rebound by Team
2:32.0,,,83-85,1,T. Frazier makes free throw 2 of 2
2:10.0,,,83-85,,Personal foul by J. Hamilton
2:01.0,,,83-85,,Personal foul by L. Babbitt
2:01.0,C. Felicio makes free throw 1 of 2,1,84-85,,
2:01.0,C. Felicio makes free throw 2 of 2,1,85-85,,
1:46.0,,,85-85,,D. Cunningham misses 3-pt shot from 24 ft
1:45.0,Defensive rebound by T. Snell,,85-85,,
1:38.0,D. McDermott misses 3-pt shot from 23 ft,,85-85,,
1:37.0,Offensive rebound by C. Felicio,,85-85,,
1:36.0,C. Felicio makes 2-pt shot at rim,2,87-85,,
1:22.0,Def 3 sec tech foul by B. Portis,,87-85,,
1:22.0,,,87-86,1,L. Babbitt makes technical free throw
1:09.0,,,87-86,,T. Frazier misses 3-pt shot from 26 ft
1:08.0,Defensive rebound by T. Snell,,87-86,,
0:54.0,C. Felicio misses 3-pt shot from 24 ft,,87-86,,
0:53.0,,,87-86,,Defensive rebound by J. Hamilton
0:45.0,,,87-86,,J. Hamilton misses 3-pt shot from 25 ft
0:44.0,Defensive rebound by D. McDermott,,87-86,,
0:33.0,T. Snell misses 3-pt shot from 25 ft,,87-86,,
0:33.0,,,87-86,,Defensive rebound by L. Babbitt
0:24.0,,,87-88,2,T. Frazier makes 2-pt shot from 1 ft
0:03.0,D. McDermott makes 2-pt shot at rim (assist by A. Brooks),2,89-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,89-88,,T. Frazier misses 2-pt shot from 2 ft (block by A. Brooks)
11:38.0,,,89-88,,Offensive rebound by T. Frazier
11:36.0,,,89-91,3,J. Ennis makes 3-pt shot from 23 ft (assist by T. Frazier)
11:20.0,D. McDermott makes 2-pt shot at rim (assist by N. Mirotic),2,91-91,,
10:56.0,,,91-91,,Turnover by J. Hamilton (lost ball)
10:44.0,N. Mirotic misses 2-pt shot from 20 ft,,91-91,,
10:42.0,Offensive rebound by D. McDermott,,91-91,,
10:42.0,D. McDermott makes 2-pt shot from 2 ft,2,93-91,,
10:24.0,Personal foul by A. Brooks,,93-91,,
10:21.0,,,93-93,2,J. Ennis makes 2-pt shot at rim (assist by K. Perkins)
10:06.0,N. Mirotic misses 3-pt shot from 24 ft,,93-93,,
10:05.0,,,93-93,,Defensive rebound by J. Hamilton
9:55.0,,,93-96,3,J. Ennis makes 3-pt shot from 23 ft (assist by T. Frazier)
9:42.0,A. Brooks makes 3-pt shot from 23 ft (assist by D. McDermott),3,96-96,,
9:20.0,,,96-96,,T. Frazier misses 2-pt shot from 4 ft
9:19.0,Defensive rebound by A. Brooks,,96-96,,
9:10.0,B. Portis makes 2-pt shot from 6 ft (assist by D. McDermott),2,98-96,,
8:56.0,,,98-96,,J. Ennis misses 3-pt shot from 27 ft
8:54.0,Defensive rebound by B. Portis,,98-96,,
8:38.0,N. Mirotic makes 2-pt shot from 1 ft,2,100-96,,
8:13.0,,,100-96,,L. Babbitt misses 2-pt shot from 1 ft
8:09.0,,,100-96,,Offensive rebound by J. Ennis
8:04.0,,,100-96,,Offensive foul by K. Perkins
8:04.0,,,100-96,,Turnover by K. Perkins (offensive foul)
8:04.0,Official timeout,,100-96,,
7:47.0,D. McDermott misses 2-pt shot from 2 ft,,100-96,,
7:46.0,Offensive rebound by B. Portis,,100-96,,
7:45.0,Shooting foul by T. Frazier (drawn by B. Portis),,100-96,,
7:45.0,B. Portis makes free throw 1 of 2,1,101-96,,
7:45.0,B. Portis makes free throw 2 of 2,1,102-96,,
7:30.0,,,102-96,,Turnover by L. Babbitt (lost ball; steal by B. Portis)
7:30.0,,,102-96,,Personal foul by L. Babbitt
7:30.0,,,102-96,,D. Cunningham enters the game for K. Perkins
7:09.0,A. Brooks misses 2-pt shot from 1 ft,,102-96,,
7:07.0,,,102-96,,Defensive rebound by T. Frazier
6:46.0,,,102-96,,J. Hamilton misses 2-pt shot from 1 ft
6:45.0,Defensive rebound by N. Mirotic,,102-96,,
6:36.0,D. McDermott makes 2-pt shot from 1 ft (assist by N. Mirotic),2,104-96,,
6:26.0,,,104-98,2,T. Frazier makes 2-pt shot from 1 ft
6:09.0,Turnover by N. Mirotic (lost ball; steal by J. Ennis),,104-98,,
6:04.0,,,104-100,2,D. Cunningham makes 2-pt shot at rim (assist by J. Hamilton)
6:04.0,Chicago full timeout,,104-100,,
6:04.0,J. Butler enters the game for A. Brooks,,104-100,,
6:04.0,,,104-100,,T. Douglas enters the game for J. Hamilton
5:41.0,J. Butler misses 2-pt shot from 16 ft,,104-100,,
5:40.0,,,104-100,,Defensive rebound by T. Frazier
5:34.0,,,104-100,,L. Babbitt misses 3-pt shot from 24 ft
5:33.0,Defensive rebound by B. Portis,,104-100,,
5:24.0,Shooting foul by L. Babbitt (drawn by J. Butler),,104-100,,
5:24.0,J. Butler misses free throw 1 of 2,,104-100,,
5:24.0,Offensive rebound by Team,,104-100,,
5:24.0,J. Holiday enters the game for T. Snell,,104-100,,
5:24.0,,,104-100,,J. Hamilton enters the game for L. Babbitt
5:24.0,J. Butler makes free throw 2 of 2,1,105-100,,
5:15.0,,,105-100,,T. Frazier misses 2-pt shot from 1 ft
5:14.0,Defensive rebound by D. McDermott,,105-100,,
4:55.0,D. McDermott misses 2-pt shot from 8 ft,,105-100,,
4:54.0,,,105-100,,Defensive rebound by J. Hamilton
4:31.0,,,105-103,3,T. Douglas makes 3-pt shot from 24 ft (assist by T. Frazier)
4:17.0,Shooting foul by J. Hamilton (drawn by N. Mirotic),,105-103,,
4:17.0,N. Mirotic misses free throw 1 of 2,,105-103,,
4:17.0,Offensive rebound by Team,,105-103,,
4:17.0,N. Mirotic makes free throw 2 of 2,1,106-103,,
3:55.0,,,106-106,3,J. Hamilton makes 3-pt shot from 27 ft (assist by T. Frazier)
3:30.0,J. Butler makes 2-pt shot from 2 ft,2,108-106,,
3:07.0,,,108-108,2,T. Frazier makes 2-pt shot from 1 ft (assist by T. Douglas)
2:40.0,J. Butler makes 3-pt shot from 24 ft (assist by J. Holiday),3,111-108,,
2:12.0,,,111-108,,T. Douglas misses 3-pt shot from 25 ft
2:11.0,Defensive rebound by J. Holiday,,111-108,,
1:53.0,,,111-108,,Personal foul by T. Frazier
1:53.0,,,111-108,,New Orleans full timeout
1:53.0,J. Butler makes free throw 1 of 2,1,112-108,,
1:53.0,J. Butler makes free throw 2 of 2,1,113-108,,
1:40.0,,,113-108,,J. Hamilton misses 3-pt shot from 24 ft
1:39.0,Defensive rebound by B. Portis,,113-108,,
1:26.0,J. Butler misses 2-pt shot from 14 ft,,113-108,,
1:26.0,Offensive rebound by Team,,113-108,,
1:08.0,J. Butler makes 2-pt shot from 18 ft,2,115-108,,
1:01.0,Violation by J. Holiday (kicked ball),,115-108,,
1:01.0,,,115-108,,New Orleans full timeout
0:55.0,,,115-110,2,J. Ennis makes 2-pt shot from 1 ft (assist by J. Hamilton)
0:55.0,,,115-110,,Shooting foul by N. Mirotic (drawn by J. Ennis)
0:55.0,,,115-111,1,J. Ennis makes free throw 1 of 1
0:51.0,,,115-111,,Personal foul by J. Ennis
0:51.0,J. Butler makes free throw 1 of 2,1,116-111,,
0:51.0,J. Butler makes free throw 2 of 2,1,117-111,,
0:43.0,,,117-111,,T. Frazier misses 3-pt shot from 26 ft
0:42.0,Defensive rebound by D. McDermott,,117-111,,
0:42.0,,,117-111,,Personal take foul by D. Cunningham
0:42.0,D. McDermott makes free throw 1 of 2,1,118-111,,
0:42.0,D. McDermott makes free throw 2 of 2,1,119-111,,
0:42.0,,,119-111,,New Orleans full timeout
0:32.0,,,119-113,2,J. Hamilton makes 2-pt shot from 1 ft (assist by J. Ennis)
0:25.0,Chicago full timeout,,119-113,,
0:18.0,,,119-113,,Personal take foul by D. Cunningham
0:18.0,N. Mirotic makes free throw 1 of 2,1,120-113,,
0:18.0,N. Mirotic makes free throw 2 of 2,1,121-113,,
0:09.0,,,121-115,2,J. Hamilton makes 2-pt shot from 2 ft
0:09.0,,,121-115,,Shooting foul by J. Holiday (drawn by J. Hamilton)
0:09.0,,,121-116,1,J. Hamilton makes free throw 1 of 1
