time,Phoenix,pts.away,score,pts.home,Memphis
7:48.0,,,12-4,,T. Allen misses 2-pt shot from 20 ft
7:47.0,Defensive rebound by P. Tucker,,12-4,,
7:36.0,E. Bledsoe misses 3-pt shot from 25 ft,,12-4,,
7:35.0,,,12-4,,Defensive rebound by J. Green
7:29.0,Personal foul by A. Len (drawn by J. Green),,12-4,,
7:29.0,,,12-4,,C. Lee enters the game for T. Allen
7:19.0,,,12-6,2,M. Conley makes 2-pt shot from 9 ft
7:06.0,Turnover by P. Tucker (traveling),,12-6,,
6:55.0,,,12-6,,M. Gasol misses 2-pt shot from 7 ft
6:52.0,Defensive rebound by E. Bledsoe,,12-6,,
6:48.0,Turnover by E. Bledsoe (lost ball; steal by M. Conley),,12-6,,
6:42.0,,,12-8,2,J. Green makes 2-pt shot at rim (assist by C. Lee)
6:24.0,P. Tucker misses 3-pt shot from 23 ft,,12-8,,
6:23.0,,,12-8,,Defensive rebound by C. Lee
6:12.0,,,12-10,2,Z. Randolph makes 2-pt shot from 16 ft (assist by C. Lee)
5:53.0,E. Bledsoe misses 3-pt shot from 22 ft,,12-10,,
5:53.0,,,12-10,,Defensive rebound by Z. Randolph
5:31.0,,,12-10,,C. Lee misses 2-pt shot from 17 ft
5:29.0,Defensive rebound by A. Len,,12-10,,
5:18.0,Offensive charge foul by B. Knight,,12-10,,
5:18.0,Turnover by B. Knight (offensive foul),,12-10,,
5:18.0,T. Warren enters the game for P. Tucker,,12-10,,
5:18.0,M. Teletovic enters the game for A. Len,,12-10,,
5:18.0,,,12-10,,J. Green enters the game for M. Gasol
5:05.0,,,12-10,,M. Conley misses 2-pt shot from 5 ft (block by J. Leuer)
5:03.0,Defensive rebound by J. Leuer,,12-10,,
4:49.0,M. Teletovic misses 3-pt shot from 24 ft,,12-10,,
4:48.0,,,12-10,,Defensive rebound by J. Green
4:35.0,,,12-10,,C. Lee misses 2-pt shot from 1 ft
4:33.0,Defensive rebound by M. Teletovic,,12-10,,
4:23.0,B. Knight misses 3-pt shot from 24 ft,,12-10,,
4:22.0,,,12-10,,Defensive rebound by Z. Randolph
4:11.0,,,12-10,,J. Green misses 2-pt shot from 1 ft
4:10.0,,,12-10,,Offensive rebound by J. Green
4:10.0,,,12-12,2,J. Green makes 2-pt shot at rim
4:10.0,Phoenix full timeout,,12-12,,
4:10.0,D. Booker enters the game for E. Bledsoe,,12-12,,
4:10.0,,,12-12,,M. Barnes enters the game for J. Green
3:48.0,D. Booker misses 2-pt shot from 15 ft,,12-12,,
3:46.0,,,12-12,,Defensive rebound by J. Green
3:32.0,,,12-15,3,M. Conley makes 3-pt shot from 23 ft
3:16.0,B. Knight misses 2-pt shot from 3 ft (block by M. Conley),,12-15,,
3:14.0,,,12-15,,Defensive rebound by Z. Randolph
2:57.0,,,12-15,,Z. Randolph misses 2-pt shot from 4 ft
2:55.0,Defensive rebound by B. Knight,,12-15,,
2:52.0,D. Booker misses 2-pt shot from 2 ft (block by M. Barnes),,12-15,,
2:52.0,Offensive rebound by Team,,12-15,,
2:38.0,M. Teletovic misses 3-pt shot from 24 ft,,12-15,,
2:38.0,,,12-15,,Defensive rebound by M. Barnes
2:29.0,Def 3 sec tech foul by T. Warren,,12-15,,
2:29.0,,,12-16,1,C. Lee makes technical free throw
2:13.0,,,12-16,,Z. Randolph misses 2-pt shot from 7 ft
2:11.0,Defensive rebound by M. Teletovic,,12-16,,
2:06.0,T. Warren makes 2-pt shot from 2 ft (assist by B. Knight),2,14-16,,
1:42.0,,,14-16,,M. Conley misses 2-pt shot from 9 ft
1:37.0,Defensive rebound by M. Teletovic,,14-16,,
1:31.0,Turnover by T. Warren (offensive foul),,14-16,,
1:31.0,Offensive charge foul by T. Warren,,14-16,,
1:31.0,,,14-16,,M. Chalmers enters the game for M. Conley
1:20.0,,,14-16,,Offensive foul by J. Green
1:20.0,,,14-16,,Turnover by J. Green (offensive foul)
0:59.0,B. Knight misses 3-pt shot from 24 ft,,14-16,,
0:58.0,,,14-16,,Defensive rebound by C. Lee
0:57.0,,,14-16,,Turnover by C. Lee (lost ball; steal by T. Warren)
0:55.0,J. Leuer misses 2-pt shot from 2 ft (block by C. Lee),,14-16,,
0:55.0,Offensive rebound by Team,,14-16,,
0:49.0,T. Warren makes 2-pt shot from 15 ft (assist by J. Leuer),2,16-16,,
0:36.0,,,16-18,2,Z. Randolph makes 2-pt shot from 4 ft (assist by J. Green)
0:26.0,T. Warren misses 3-pt shot from 23 ft,,16-18,,
0:26.0,,,16-18,,Defensive rebound by J. Green
0:07.0,,,16-20,2,M. Chalmers makes 2-pt shot from 4 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Turnover by E. Bledsoe (bad pass; steal by M. Barnes),,16-20,,
11:43.0,,,16-20,,Shooting foul by T. Warren (drawn by M. Barnes)
11:43.0,,,16-20,,M. Barnes misses free throw 1 of 2
11:43.0,,,16-20,,Offensive rebound by Team
11:43.0,,,16-21,1,M. Barnes makes free throw 2 of 2
11:30.0,M. Teletovic misses 3-pt shot from 24 ft,,16-21,,
11:28.0,,,16-21,,Defensive rebound by M. Chalmers
11:16.0,,,16-21,,C. Lee misses 2-pt shot from 19 ft
11:14.0,Defensive rebound by A. Len,,16-21,,
11:08.0,E. Bledsoe misses 2-pt shot from 11 ft,,16-21,,
11:05.0,,,16-21,,Defensive rebound by M. Chalmers
10:46.0,,,16-21,,M. Gasol misses 2-pt shot from 19 ft
10:45.0,Defensive rebound by E. Bledsoe,,16-21,,
10:35.0,Turnover by T. Warren (bad pass; steal by M. Chalmers),,16-21,,
10:29.0,,,16-23,2,C. Lee makes 2-pt shot from 1 ft (assist by M. Chalmers)
10:12.0,D. Booker misses 2-pt shot from 10 ft,,16-23,,
10:12.0,,,16-23,,Defensive rebound by Team
9:59.0,Personal foul by M. Teletovic (drawn by J. Green),,16-23,,
9:59.0,,,16-23,,V. Carter enters the game for J. Green
9:59.0,R. Price enters the game for T. Warren,,16-23,,
9:50.0,,,16-23,,Turnover by M. Gasol (lost ball; steal by A. Len)
9:47.0,Shooting foul by M. Barnes (drawn by E. Bledsoe),,16-23,,
9:47.0,E. Bledsoe makes free throw 1 of 2,1,17-23,,
9:47.0,E. Bledsoe makes free throw 2 of 2,1,18-23,,
9:25.0,,,18-25,2,M. Gasol makes 2-pt shot from 5 ft (assist by C. Lee)
9:10.0,D. Booker misses 2-pt shot from 17 ft,,18-25,,
9:08.0,Offensive rebound by R. Price,,18-25,,
8:59.0,M. Teletovic misses 3-pt shot from 24 ft,,18-25,,
8:58.0,,,18-25,,Defensive rebound by C. Lee
8:46.0,,,18-25,,Turnover by M. Chalmers (bad pass; steal by M. Teletovic)
8:38.0,E. Bledsoe makes 2-pt shot from 17 ft,2,20-25,,
8:18.0,,,20-27,2,C. Lee makes 2-pt shot from 14 ft
8:07.0,E. Bledsoe makes 2-pt shot from 3 ft,2,22-27,,
8:07.0,,,22-27,,Memphis full timeout
7:50.0,,,22-27,,M. Gasol misses 2-pt shot from 6 ft
7:47.0,Defensive rebound by M. Teletovic,,22-27,,
7:42.0,E. Bledsoe misses 2-pt shot from 2 ft,,22-27,,
7:39.0,,,22-27,,Defensive rebound by C. Lee
7:32.0,,,22-27,,Turnover by C. Lee (bad pass; steal by R. Price)
7:24.0,D. Booker makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,25-27,,
7:01.0,,,25-27,,M. Barnes misses 3-pt shot from 24 ft
7:00.0,,,25-27,,Offensive rebound by M. Gasol
6:48.0,,,25-29,2,M. Gasol makes 2-pt shot from 14 ft (assist by M. Barnes)
6:31.0,A. Len makes 2-pt shot from 5 ft (assist by E. Bledsoe),2,27-29,,
6:15.0,Personal foul by R. Price (drawn by V. Carter),,27-29,,
6:15.0,J. Leuer enters the game for M. Teletovic,,27-29,,
6:15.0,,,27-29,,J. Green enters the game for C. Lee
6:05.0,,,27-29,,V. Carter misses 3-pt shot from 24 ft
6:04.0,Defensive rebound by J. Leuer,,27-29,,
5:58.0,Offensive charge foul by E. Bledsoe,,27-29,,
5:58.0,Turnover by E. Bledsoe (offensive foul),,27-29,,
5:58.0,,,27-29,,Memphis full timeout
5:58.0,,,27-29,,M. Conley enters the game for M. Chalmers
5:42.0,,,27-29,,J. Green misses 2-pt shot from 14 ft
5:41.0,Defensive rebound by A. Len,,27-29,,
5:29.0,J. Leuer misses 3-pt shot from 23 ft,,27-29,,
5:29.0,,,27-29,,Defensive rebound by M. Conley
5:24.0,,,27-29,,Turnover by J. Green (bad pass; steal by R. Price)
5:23.0,B. Knight enters the game for R. Price,,27-29,,
5:09.0,Turnover by A. Len (bad pass),,27-29,,
5:09.0,,,27-29,,Z. Randolph enters the game for V. Carter
4:46.0,,,27-31,2,M. Gasol makes 2-pt shot from 6 ft (assist by M. Conley)
4:35.0,D. Booker makes 2-pt shot from 19 ft (assist by E. Bledsoe),2,29-31,,
4:27.0,,,29-33,2,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley)
4:27.0,,,29-33,,Shooting foul by D. Booker (drawn by M. Gasol)
4:27.0,P. Tucker enters the game for D. Booker,,29-33,,
4:27.0,,,29-34,1,M. Gasol makes free throw 1 of 1
4:12.0,E. Bledsoe misses 2-pt shot from 2 ft,,29-34,,
4:10.0,,,29-34,,Defensive rebound by M. Gasol
3:54.0,,,29-37,3,M. Conley makes 3-pt shot from 24 ft (assist by J. Green)
3:33.0,B. Knight misses 3-pt shot from 24 ft,,29-37,,
3:32.0,,,29-37,,Defensive rebound by M. Gasol
3:24.0,,,29-39,2,M. Gasol makes 2-pt shot from 20 ft (assist by J. Green)
3:01.0,J. Leuer makes 3-pt shot from 23 ft (assist by B. Knight),3,32-39,,
2:37.0,,,32-39,,M. Conley misses 3-pt shot from 23 ft
2:36.0,,,32-39,,Offensive rebound by M. Barnes
2:20.0,,,32-39,,J. Green misses 2-pt shot from 13 ft
2:20.0,Defensive rebound by Team,,32-39,,
2:20.0,,,32-39,,Loose ball foul by M. Barnes (drawn by J. Leuer)
2:20.0,Phoenix full timeout,,32-39,,
2:20.0,,,32-39,,C. Lee enters the game for M. Barnes
2:09.0,J. Leuer makes 2-pt shot from 1 ft,2,34-39,,
1:54.0,,,34-41,2,J. Green makes 2-pt shot from 4 ft
1:54.0,,,34-41,,Shooting foul by A. Len (drawn by J. Green)
1:54.0,,,34-41,,J. Green misses free throw 1 of 1
1:52.0,Defensive rebound by J. Leuer,,34-41,,
1:45.0,E. Bledsoe makes 3-pt shot from 24 ft,3,37-41,,
1:23.0,,,37-41,,C. Lee misses 2-pt shot from 15 ft
1:20.0,Defensive rebound by E. Bledsoe,,37-41,,
1:15.0,E. Bledsoe makes 2-pt shot from 19 ft,2,39-41,,
0:55.0,,,39-41,,Z. Randolph misses 2-pt shot from 19 ft
0:55.0,Defensive rebound by J. Leuer,,39-41,,
0:40.0,Shooting foul by Z. Randolph (drawn by J. Leuer),,39-41,,
0:40.0,J. Leuer makes free throw 1 of 2,1,40-41,,
0:40.0,J. Leuer makes free throw 2 of 2,1,41-41,,
0:23.0,,,41-43,2,M. Gasol makes 2-pt shot from 11 ft (assist by C. Lee)
0:00.0,E. Bledsoe misses 2-pt shot from 19 ft,,41-43,,
0:00.0,Offensive rebound by Team,,41-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,J. Leuer misses 2-pt shot from 2 ft (block by M. Gasol),,41-43,,
11:31.0,Offensive rebound by A. Len,,41-43,,
11:31.0,A. Len makes 2-pt shot at rim,2,43-43,,
11:16.0,,,43-43,,M. Gasol misses 2-pt shot from 7 ft
11:14.0,,,43-43,,Offensive rebound by J. Green
11:07.0,,,43-43,,T. Allen misses 2-pt shot from 3 ft
11:05.0,Defensive rebound by E. Bledsoe,,43-43,,
10:49.0,E. Bledsoe misses 2-pt shot from 19 ft,,43-43,,
10:48.0,Offensive rebound by P. Tucker,,43-43,,
10:44.0,P. Tucker makes 2-pt shot from 2 ft,2,45-43,,
10:30.0,,,45-43,,Shooting foul by J. Leuer (drawn by M. Gasol)
10:30.0,,,45-44,1,M. Gasol makes free throw 1 of 2
10:30.0,,,45-45,1,M. Gasol makes free throw 2 of 2
10:09.0,Turnover by P. Tucker (lost ball; steal by M. Conley),,45-45,,
10:04.0,,,45-45,,Shooting foul by B. Knight (drawn by M. Conley)
10:04.0,,,45-45,,M. Conley misses free throw 1 of 2
10:04.0,,,45-45,,Offensive rebound by Team
10:04.0,,,45-46,1,M. Conley makes free throw 2 of 2
9:44.0,Turnover by J. Leuer (bad pass; steal by T. Allen),,45-46,,
9:41.0,,,45-46,,Turnover by T. Allen (bad pass; steal by E. Bledsoe)
9:37.0,E. Bledsoe makes 3-pt shot from 25 ft,3,48-46,,
9:17.0,,,48-46,,Offensive charge foul by J. Green
9:17.0,,,48-46,,Turnover by J. Green (offensive foul)
9:17.0,,,48-46,,Violation by Team (delay of game)
9:05.0,B. Knight misses 2-pt shot from 23 ft,,48-46,,
9:05.0,,,48-46,,Defensive rebound by Team
9:05.0,Loose ball foul by A. Len (drawn by Z. Randolph),,48-46,,
8:50.0,,,48-46,,M. Gasol misses 2-pt shot from 6 ft
8:48.0,Defensive rebound by P. Tucker,,48-46,,
8:36.0,B. Knight makes 3-pt shot from 22 ft (assist by E. Bledsoe),3,51-46,,
8:31.0,,,51-46,,Memphis full timeout
8:31.0,,,51-46,,M. Chalmers enters the game for T. Allen
8:20.0,,,51-46,,Z. Randolph misses 2-pt shot from 7 ft
8:18.0,Defensive rebound by A. Len,,51-46,,
7:58.0,E. Bledsoe makes 2-pt shot from 18 ft,2,53-46,,
7:40.0,,,53-48,2,M. Conley makes 2-pt shot from 3 ft
7:22.0,Turnover by B. Knight (bad pass; steal by M. Chalmers),,53-48,,
7:22.0,,,53-48,,Turnover by M. Chalmers (bad pass; steal by B. Knight)
7:18.0,E. Bledsoe misses 3-pt shot from 23 ft,,53-48,,
7:15.0,Offensive rebound by B. Knight,,53-48,,
7:12.0,P. Tucker misses 3-pt shot from 24 ft,,53-48,,
7:11.0,,,53-48,,Defensive rebound by M. Gasol
6:52.0,,,53-50,2,J. Green makes 2-pt shot from 1 ft (assist by Z. Randolph)
6:34.0,Turnover by P. Tucker (bad pass),,53-50,,
6:11.0,,,53-50,,Z. Randolph misses 2-pt shot from 6 ft
6:09.0,Defensive rebound by B. Knight,,53-50,,
5:57.0,,,53-50,,Personal foul by M. Chalmers (drawn by E. Bledsoe)
5:57.0,E. Bledsoe makes free throw 1 of 3,1,54-50,,
5:57.0,E. Bledsoe makes free throw 2 of 3,1,55-50,,
5:57.0,M. Teletovic enters the game for J. Leuer,,55-50,,
5:57.0,,,55-50,,M. Barnes enters the game for J. Green
5:57.0,E. Bledsoe makes free throw 3 of 3,1,56-50,,
5:31.0,,,56-50,,M. Conley misses 3-pt shot from 24 ft
5:31.0,Defensive rebound by E. Bledsoe,,56-50,,
5:26.0,Shooting foul by M. Barnes (drawn by A. Len),,56-50,,
5:26.0,,,56-50,,Technical foul by M. Barnes (drawn by A. Len)
5:26.0,Technical foul by A. Len,,56-50,,
5:26.0,A. Len makes free throw 1 of 2,1,57-50,,
5:26.0,A. Len makes free throw 2 of 2,1,58-50,,
5:11.0,,,58-50,,M. Gasol misses 2-pt shot from 5 ft
5:10.0,,,58-50,,Offensive rebound by M. Chalmers
5:05.0,,,58-50,,M. Chalmers misses 3-pt shot from 25 ft
5:05.0,,,58-50,,Offensive rebound by Z. Randolph
4:59.0,,,58-50,,Z. Randolph misses 2-pt shot from 5 ft
4:55.0,,,58-50,,Offensive rebound by M. Barnes
4:55.0,,,58-52,2,M. Barnes makes 2-pt shot from 1 ft
4:39.0,M. Teletovic makes 2-pt shot from 9 ft (assist by B. Knight),2,60-52,,
4:24.0,,,60-52,,Shooting foul by A. Len (drawn by M. Barnes)
4:24.0,,,60-53,1,M. Barnes makes free throw 1 of 2
4:24.0,,,60-53,,J. Green enters the game for Z. Randolph
4:24.0,T. Warren enters the game for A. Len,,60-53,,
4:24.0,J. Leuer enters the game for P. Tucker,,60-53,,
4:24.0,,,60-54,1,M. Barnes makes free throw 2 of 2
4:08.0,E. Bledsoe misses 3-pt shot from 22 ft,,60-54,,
4:06.0,,,60-54,,Defensive rebound by J. Green
3:51.0,,,60-56,2,M. Gasol makes 2-pt shot from 5 ft
3:51.0,,,60-56,,Shooting foul by J. Leuer (drawn by M. Gasol)
3:51.0,,,60-56,,M. Gasol misses free throw 1 of 1
3:50.0,Defensive rebound by J. Leuer,,60-56,,
3:44.0,Shooting foul by M. Conley (drawn by E. Bledsoe),,60-56,,
3:44.0,E. Bledsoe misses free throw 1 of 2,,60-56,,
3:44.0,Offensive rebound by Team,,60-56,,
3:44.0,E. Bledsoe misses free throw 2 of 2,,60-56,,
3:43.0,,,60-56,,Defensive rebound by M. Gasol
3:32.0,,,60-56,,M. Conley misses 2-pt shot from 4 ft (block by J. Leuer)
3:32.0,,,60-56,,Offensive rebound by Team
3:20.0,,,60-59,3,M. Chalmers makes 3-pt shot from 22 ft (assist by M. Barnes)
3:13.0,Phoenix full timeout,,60-59,,
3:13.0,R. Price enters the game for B. Knight,,60-59,,
3:04.0,J. Leuer misses 3-pt shot from 23 ft,,60-59,,
3:03.0,,,60-59,,Defensive rebound by M. Chalmers
2:47.0,,,60-59,,M. Conley misses 3-pt shot from 25 ft
2:47.0,Defensive rebound by M. Teletovic,,60-59,,
2:27.0,R. Price misses 3-pt shot from 26 ft,,60-59,,
2:26.0,,,60-59,,Defensive rebound by J. Green
2:23.0,Personal foul by R. Price (drawn by M. Conley),,60-59,,
2:23.0,,,60-60,1,M. Conley makes free throw 1 of 2
2:23.0,,,60-60,,M. Conley misses free throw 2 of 2
2:22.0,Defensive rebound by J. Leuer,,60-60,,
2:01.0,J. Leuer misses 2-pt shot from 2 ft (block by M. Gasol),,60-60,,
2:00.0,Offensive rebound by J. Leuer,,60-60,,
2:00.0,Turnover by J. Leuer (lost ball),,60-60,,
2:00.0,Jump ball: M. Conley vs. J. Leuer,,,,Jump ball: M. Conley vs. J. Leuer
1:45.0,,,60-60,,M. Chalmers misses 2-pt shot from 1 ft
1:42.0,Defensive rebound by J. Leuer,,60-60,,
1:35.0,E. Bledsoe misses 2-pt shot from 18 ft,,60-60,,
1:35.0,,,60-60,,Defensive rebound by Team
1:35.0,Loose ball foul by M. Teletovic (drawn by M. Chalmers),,60-60,,
1:35.0,,,60-61,1,M. Chalmers makes free throw 1 of 2
1:35.0,D. Booker enters the game for E. Bledsoe,,60-61,,
1:35.0,,,60-62,1,M. Chalmers makes free throw 2 of 2
1:14.0,M. Teletovic makes 3-pt shot from 22 ft (assist by D. Booker),3,63-62,,
0:55.0,,,63-64,2,J. Green makes 2-pt shot from 3 ft (assist by M. Barnes)
0:55.0,,,63-64,,Shooting foul by J. Leuer (drawn by J. Green)
0:55.0,,,63-64,,C. Lee enters the game for M. Conley
0:55.0,,,63-65,1,J. Green makes free throw 1 of 1
0:41.0,,,63-65,,Personal foul by M. Chalmers (drawn by R. Price)
0:35.0,M. Teletovic makes 3-pt shot from 25 ft (assist by R. Price),3,66-65,,
0:29.0,,,66-65,,M. Chalmers misses 3-pt shot from 25 ft
0:26.0,Defensive rebound by D. Booker,,66-65,,
0:06.0,T. Warren makes 2-pt shot from 11 ft,2,68-65,,
0:03.0,,,68-65,,Shooting foul by R. Price (drawn by M. Chalmers)
0:03.0,,,68-66,1,M. Chalmers makes free throw 1 of 2
0:03.0,,,68-67,1,M. Chalmers makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,Personal foul by M. Teletovic (drawn by J. Green),,68-67,,
11:40.0,,,68-68,1,J. Green makes free throw 1 of 2
11:40.0,,,68-69,1,J. Green makes free throw 2 of 2
11:17.0,M. Teletovic makes 3-pt shot from 24 ft (assist by J. Leuer),3,71-69,,
11:07.0,Personal foul by D. Booker (drawn by C. Lee),,71-69,,
11:07.0,B. Knight enters the game for R. Price,,71-69,,
10:55.0,,,71-69,,M. Barnes misses 3-pt shot from 22 ft
10:54.0,Defensive rebound by D. Booker,,71-69,,
10:44.0,Turnover by B. Knight (bad pass; steal by M. Chalmers),,71-69,,
10:44.0,Personal take foul by B. Knight (drawn by M. Chalmers),,71-69,,
10:32.0,,,71-69,,M. Barnes misses 2-pt shot from 2 ft
10:30.0,,,71-69,,Offensive rebound by J. Green
10:30.0,,,71-69,,J. Green misses 2-pt shot from 2 ft
10:28.0,,,71-69,,Offensive rebound by M. Barnes
10:26.0,,,71-71,2,C. Lee makes 2-pt shot from 11 ft
10:26.0,,,71-71,,Shooting foul by T. Warren (drawn by C. Lee)
10:26.0,,,71-72,1,C. Lee makes free throw 1 of 1
10:15.0,B. Knight makes 2-pt shot from 1 ft,2,73-72,,
9:56.0,,,73-72,,J. Green misses 2-pt shot from 2 ft
9:56.0,,,73-72,,Offensive rebound by Team
9:56.0,E. Bledsoe enters the game for D. Booker,,73-72,,
9:56.0,P. Tucker enters the game for T. Warren,,73-72,,
9:53.0,,,73-74,2,Z. Randolph makes 2-pt shot from 2 ft (assist by M. Chalmers)
9:44.0,Turnover by B. Knight (step out of bounds),,73-74,,
9:31.0,,,73-77,3,C. Lee makes 3-pt shot from 25 ft (assist by Z. Randolph)
9:11.0,M. Teletovic makes 2-pt shot from 5 ft,2,75-77,,
8:58.0,,,75-79,2,M. Chalmers makes 2-pt shot from 1 ft
8:47.0,Shooting foul by Z. Randolph (drawn by M. Teletovic),,75-79,,
8:47.0,Phoenix full timeout,,75-79,,
8:47.0,M. Teletovic makes free throw 1 of 2,1,76-79,,
8:47.0,M. Teletovic misses free throw 2 of 2,,76-79,,
8:46.0,,,76-79,,Defensive rebound by J. Green
8:23.0,,,76-81,2,C. Lee makes 2-pt shot from 6 ft (assist by Z. Randolph)
8:04.0,Offensive charge foul by E. Bledsoe,,76-81,,
8:04.0,Turnover by E. Bledsoe (offensive foul),,76-81,,
7:50.0,,,76-81,,C. Lee misses 2-pt shot from 15 ft
7:48.0,Defensive rebound by M. Teletovic,,76-81,,
7:38.0,M. Teletovic misses 3-pt shot from 24 ft,,76-81,,
7:38.0,,,76-81,,Defensive rebound by M. Barnes
7:26.0,,,76-81,,Z. Randolph misses 2-pt shot from 4 ft
7:25.0,,,76-81,,Offensive rebound by J. Green
7:24.0,,,76-81,,Turnover by M. Barnes (lost ball)
7:18.0,E. Bledsoe misses 2-pt shot from 5 ft,,76-81,,
7:16.0,,,76-81,,Defensive rebound by M. Barnes
7:04.0,,,76-81,,M. Chalmers misses 2-pt shot from 5 ft
7:01.0,Defensive rebound by J. Leuer,,76-81,,
6:56.0,J. Leuer makes 2-pt shot at rim (assist by B. Knight),2,78-81,,
6:56.0,Shooting foul by M. Barnes (drawn by J. Leuer),,78-81,,
6:56.0,,,78-81,,M. Conley enters the game for M. Chalmers
6:56.0,J. Leuer makes free throw 1 of 1,1,79-81,,
6:34.0,,,79-81,,Z. Randolph misses 2-pt shot from 7 ft
6:33.0,,,79-81,,Offensive rebound by Z. Randolph
6:29.0,,,79-83,2,Z. Randolph makes 2-pt shot from 1 ft
6:17.0,B. Knight makes 2-pt shot from 17 ft (assist by E. Bledsoe),2,81-83,,
6:01.0,,,81-85,2,C. Lee makes 2-pt shot from 17 ft (assist by M. Conley)
5:48.0,,,81-85,,Personal foul by M. Conley (drawn by B. Knight)
5:48.0,,,81-85,,Memphis full timeout
5:48.0,,,81-85,,M. Gasol enters the game for J. Green
5:48.0,A. Len enters the game for M. Teletovic,,81-85,,
5:43.0,,,81-85,,Personal foul by M. Barnes (drawn by B. Knight)
5:43.0,,,81-85,,J. Green enters the game for M. Barnes
5:31.0,B. Knight misses 3-pt shot from 25 ft,,81-85,,
5:30.0,Offensive rebound by P. Tucker,,81-85,,
5:23.0,E. Bledsoe makes 2-pt shot from 16 ft (assist by P. Tucker),2,83-85,,
4:56.0,,,83-85,,M. Conley misses 2-pt shot from 12 ft
4:54.0,Defensive rebound by J. Leuer,,83-85,,
4:52.0,Turnover by J. Leuer (lost ball; steal by M. Conley),,83-85,,
4:41.0,,,83-87,2,M. Gasol makes 2-pt shot from 19 ft (assist by C. Lee)
4:16.0,B. Knight makes 2-pt shot from 15 ft (assist by J. Leuer),2,85-87,,
4:03.0,,,85-87,,M. Conley misses 2-pt shot from 4 ft (block by J. Leuer)
4:02.0,Defensive rebound by B. Knight,,85-87,,
3:51.0,P. Tucker misses 3-pt shot from 24 ft,,85-87,,
3:50.0,,,85-87,,Defensive rebound by M. Gasol
3:43.0,,,85-87,,Memphis full timeout
3:32.0,,,85-87,,Z. Randolph misses 2-pt shot from 16 ft
3:29.0,,,85-87,,Offensive rebound by J. Green
3:29.0,,,85-89,2,J. Green makes 2-pt shot at rim
3:04.0,P. Tucker makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,87-89,,
2:41.0,,,87-89,,J. Green misses 2-pt shot from 18 ft
2:39.0,Defensive rebound by P. Tucker,,87-89,,
2:31.0,E. Bledsoe misses 2-pt shot from 2 ft,,87-89,,
2:30.0,,,87-89,,Defensive rebound by M. Gasol
