time,Memphis,pts.away,score,pts.home,Sacramento
5:00.0,,,17-13,,Turnover by R. Gay (offensive foul)
5:00.0,,,17-13,,Sacramento full timeout
5:00.0,J. Green enters the game for T. Allen,,17-13,,
4:50.0,M. Gasol misses 2-pt shot from 10 ft,,17-13,,
4:49.0,,,17-13,,Defensive rebound by R. Rondo
4:28.0,,,17-13,,D. Collison enters the game for B. McLemore
4:27.0,,,17-13,,O. Casspi misses 2-pt shot from 6 ft (block by M. Gasol)
4:27.0,,,17-13,,Offensive rebound by Team
4:23.0,,,17-16,3,O. Casspi makes 3-pt shot from 22 ft (assist by R. Rondo)
4:05.0,J. Green makes 2-pt shot from 7 ft (assist by M. Conley),2,19-16,,
3:54.0,,,19-18,2,R. Gay makes 2-pt shot from 14 ft (assist by R. Rondo)
3:34.0,C. Lee misses 2-pt shot from 11 ft,,19-18,,
3:33.0,,,19-18,,Defensive rebound by K. Koufos
3:25.0,,,19-18,,Turnover by R. Rondo (bad pass)
3:25.0,B. Udrih enters the game for M. Conley,,19-18,,
3:25.0,,,19-18,,M. Belinelli enters the game for R. Rondo
3:10.0,C. Lee misses 2-pt shot from 16 ft,,19-18,,
3:09.0,Offensive rebound by Z. Randolph,,19-18,,
3:06.0,Z. Randolph misses 2-pt shot from 1 ft,,19-18,,
3:04.0,Offensive rebound by Z. Randolph,,19-18,,
3:04.0,Z. Randolph makes 2-pt shot from 2 ft,2,21-18,,
3:00.0,,,21-18,,Turnover by D. Collison (lost ball)
3:00.0,,,21-18,,W. Cauley-Stein enters the game for K. Koufos
3:00.0,M. Barnes enters the game for C. Lee,,21-18,,
2:41.0,Turnover by Z. Randolph (lost ball),,21-18,,
2:41.0,Memphis full timeout,,21-18,,
2:27.0,,,21-21,3,M. Belinelli makes 3-pt shot from 25 ft (assist by R. Gay)
2:07.0,M. Gasol makes 2-pt shot from 21 ft (assist by B. Udrih),2,23-21,,
1:53.0,,,23-21,,D. Collison misses 3-pt shot from 24 ft
1:53.0,Defensive rebound by Z. Randolph,,23-21,,
1:39.0,M. Gasol makes 2-pt shot from 8 ft,2,25-21,,
1:32.0,,,25-24,3,M. Belinelli makes 3-pt shot from 26 ft (assist by R. Gay)
1:04.0,Z. Randolph misses 2-pt shot from 14 ft,,25-24,,
1:04.0,,,25-24,,Defensive rebound by R. Gay
0:58.0,,,25-26,2,R. Gay makes 2-pt shot from 8 ft
0:44.0,Turnover by M. Gasol (lost ball; steal by D. Collison),,25-26,,
0:43.0,J. Green enters the game for M. Gasol,,25-26,,
0:43.0,Personal foul by M. Gasol (drawn by D. Collison),,25-26,,
0:43.0,B. Wright enters the game for Z. Randolph,,25-26,,
0:38.0,Personal foul by J. Green (drawn by M. Belinelli),,25-26,,
0:38.0,,,25-27,1,M. Belinelli makes free throw 1 of 2
0:38.0,,,25-28,1,M. Belinelli makes free throw 2 of 2
0:27.0,M. Barnes misses 3-pt shot from 25 ft,,25-28,,
0:27.0,,,25-28,,Defensive rebound by Team
0:27.0,Personal foul by J. Green (drawn by W. Cauley-Stein),,25-28,,
0:27.0,,,25-28,,W. Cauley-Stein misses free throw 1 of 2
0:27.0,,,25-28,,Offensive rebound by Team
0:27.0,,,25-28,,C. Butler enters the game for R. Gay
0:27.0,Violation by M. Barnes (lane),,25-28,,
0:27.0,,,25-28,,W. Cauley-Stein misses free throw 2 of 2
0:27.0,Defensive rebound by M. Barnes,,25-28,,
0:07.0,J. Green misses 2-pt shot from 10 ft,,25-28,,
0:07.0,Offensive rebound by J. Green,,25-28,,
0:04.0,Turnover by J. Green (lost ball; steal by O. Casspi),,25-28,,
0:01.0,,,25-28,,Shooting foul by M. Barnes (drawn by W. Cauley-Stein)
0:01.0,,,25-29,1,W. Cauley-Stein makes free throw 1 of 2
0:01.0,,,25-29,,W. Cauley-Stein misses free throw 2 of 2
0:00.0,Defensive rebound by J. Green,,25-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,25-29,,Turnover by O. Casspi (step out of bounds)
11:25.0,J. Green misses 2-pt shot from 20 ft,,25-29,,
11:25.0,,,25-29,,Defensive rebound by W. Cauley-Stein
11:15.0,,,25-29,,D. Collison misses 2-pt shot from 20 ft
11:14.0,Defensive rebound by J. Green,,25-29,,
11:02.0,J. Green misses 2-pt shot from 4 ft,,25-29,,
11:02.0,Offensive rebound by J. Green,,25-29,,
11:02.0,J. Green makes 2-pt shot from 4 ft,2,27-29,,
10:39.0,,,27-29,,Turnover by W. Cauley-Stein (bad pass; steal by B. Udrih)
10:35.0,Offensive foul by J. Green,,27-29,,
10:35.0,Turnover by J. Green (offensive foul),,27-29,,
10:35.0,,,27-29,,K. Koufos enters the game for W. Cauley-Stein
10:28.0,,,27-29,,Shooting foul by B. Udrih (drawn by D. Collison)
10:28.0,,,27-30,1,D. Collison makes free throw 1 of 2
10:28.0,,,27-31,1,D. Collison makes free throw 2 of 2
10:07.0,J. Green misses 3-pt shot from 25 ft,,27-31,,
10:06.0,Offensive rebound by J. Green,,27-31,,
10:06.0,J. Green makes 2-pt shot at rim,2,29-31,,
10:06.0,Technical foul by J. Green,,29-31,,
10:06.0,,,29-31,,M. Belinelli misses technical free throw
10:06.0,,,29-31,,Offensive rebound by Team
9:55.0,,,29-31,,M. Belinelli misses 3-pt shot from 24 ft
9:55.0,Defensive rebound by B. Wright,,29-31,,
9:55.0,,,29-31,,Personal foul by K. Koufos (drawn by B. Wright)
9:43.0,,,29-31,,Personal foul by D. Collison (drawn by B. Udrih)
9:32.0,J. Green misses 2-pt shot from 7 ft,,29-31,,
9:32.0,Offensive rebound by Team,,29-31,,
9:32.0,,,29-31,,Loose ball foul by O. Casspi (drawn by B. Wright)
9:24.0,M. Barnes misses 2-pt shot from 20 ft,,29-31,,
9:24.0,,,29-31,,Defensive rebound by K. Koufos
9:07.0,,,29-31,,Turnover by M. Belinelli (traveling)
8:54.0,B. Udrih misses 2-pt shot from 19 ft,,29-31,,
8:53.0,Offensive rebound by J. Green,,29-31,,
8:53.0,J. Green makes 2-pt shot from 2 ft,2,31-31,,
8:31.0,,,31-31,,C. Butler misses 3-pt shot from 25 ft
8:31.0,Defensive rebound by J. Green,,31-31,,
8:25.0,Shooting foul by M. Belinelli (drawn by M. Barnes),,31-31,,
8:25.0,Official timeout,,31-31,,
8:25.0,M. Barnes makes free throw 1 of 2,1,32-31,,
8:25.0,M. Barnes makes free throw 2 of 2,1,33-31,,
7:59.0,,,33-31,,O. Casspi misses 3-pt shot from 23 ft
7:59.0,Defensive rebound by B. Wright,,33-31,,
7:39.0,B. Wright makes 2-pt shot from 2 ft (assist by M. Barnes),2,35-31,,
7:30.0,,,35-33,2,D. Collison makes 2-pt shot from 20 ft
7:12.0,B. Udrih misses 3-pt shot from 23 ft,,35-33,,
7:10.0,,,35-33,,Defensive rebound by C. Butler
7:04.0,,,35-33,,Turnover by C. Butler (bad pass; steal by J. Green)
6:57.0,J. Green misses 2-pt shot from 4 ft,,35-33,,
6:56.0,,,35-33,,Defensive rebound by D. Collison
6:54.0,,,35-33,,Shooting foul by B. Wright (drawn by O. Casspi)
6:54.0,,,35-33,,O. Casspi misses free throw 1 of 2
6:54.0,,,35-33,,Offensive rebound by Team
6:54.0,,,35-33,,R. Gay enters the game for C. Butler
6:54.0,C. Lee enters the game for J. Green,,35-33,,
6:54.0,M. Conley enters the game for B. Udrih,,35-33,,
6:54.0,,,35-33,,O. Casspi misses free throw 2 of 2
6:54.0,Defensive rebound by B. Wright,,35-33,,
6:40.0,M. Barnes misses 3-pt shot from 24 ft,,35-33,,
6:39.0,,,35-33,,Defensive rebound by R. Gay
6:21.0,,,35-33,,R. Gay misses 2-pt shot from 4 ft (block by M. Barnes)
6:21.0,Defensive rebound by Team,,35-33,,
6:21.0,,,35-33,,W. Cauley-Stein enters the game for K. Koufos
6:21.0,,,35-33,,R. Rondo enters the game for O. Casspi
6:21.0,M. Gasol enters the game for J. Green,,35-33,,
6:18.0,Jump ball: M. Barnes vs. R. Gay (M. Conley gains possession),,,,Jump ball: M. Barnes vs. R. Gay (M. Conley gains possession)
6:04.0,M. Barnes misses 3-pt shot from 24 ft,,35-33,,
6:04.0,,,35-33,,Defensive rebound by Team
5:54.0,,,35-33,,M. Belinelli misses 2-pt shot from 18 ft
5:54.0,Defensive rebound by M. Barnes,,35-33,,
5:40.0,M. Conley misses 3-pt shot from 24 ft,,35-33,,
5:40.0,,,35-33,,Defensive rebound by R. Rondo
5:32.0,,,35-33,,R. Gay misses 3-pt shot from 24 ft
5:31.0,Defensive rebound by C. Lee,,35-33,,
5:14.0,Offensive foul by B. Wright,,35-33,,
5:14.0,Turnover by B. Wright (offensive foul),,35-33,,
5:14.0,,,35-33,,Sacramento full timeout
5:14.0,T. Allen enters the game for M. Barnes,,35-33,,
5:02.0,,,35-33,,D. Collison misses 2-pt shot from 6 ft (block by B. Wright)
5:00.0,Defensive rebound by M. Conley,,35-33,,
4:45.0,M. Gasol misses 2-pt shot from 19 ft,,35-33,,
4:44.0,Offensive rebound by T. Allen,,35-33,,
4:29.0,Turnover by M. Conley (bad pass; steal by W. Cauley-Stein),,35-33,,
4:25.0,,,35-33,,Shooting foul by M. Conley (drawn by D. Collison)
4:25.0,,,35-34,1,D. Collison makes free throw 1 of 2
4:25.0,Z. Randolph enters the game for B. Wright,,35-34,,
4:25.0,,,35-35,1,D. Collison makes free throw 2 of 2
4:16.0,,,35-35,,Def 3 sec tech foul by R. Rondo
4:16.0,C. Lee makes technical free throw,1,36-35,,
4:16.0,,,36-35,,K. Koufos enters the game for M. Belinelli
4:07.0,C. Lee misses 3-pt shot from 22 ft,,36-35,,
4:07.0,,,36-35,,Defensive rebound by Team
4:07.0,Loose ball foul by Z. Randolph (drawn by K. Koufos),,36-35,,
3:48.0,,,36-35,,R. Rondo misses 2-pt shot from 9 ft
3:48.0,Defensive rebound by Team,,36-35,,
3:48.0,,,36-35,,Loose ball foul by K. Koufos (drawn by Z. Randolph)
3:48.0,Z. Randolph makes free throw 1 of 2,1,37-35,,
3:48.0,,,37-35,,B. McLemore enters the game for K. Koufos
3:48.0,Z. Randolph makes free throw 2 of 2,1,38-35,,
3:33.0,,,38-35,,R. Gay misses 3-pt shot from 24 ft
3:32.0,Defensive rebound by Team,,38-35,,
3:19.0,M. Conley makes 2-pt shot from 18 ft (assist by Z. Randolph),2,40-35,,
3:03.0,,,40-38,3,D. Collison makes 3-pt shot from 25 ft
2:50.0,Turnover by C. Lee (bad pass; steal by R. Rondo),,40-38,,
2:49.0,Personal foul by C. Lee (drawn by R. Rondo),,40-38,,
2:49.0,Memphis full timeout,,40-38,,
2:49.0,,,40-38,,R. Rondo misses free throw 1 of 2
2:49.0,,,40-38,,Offensive rebound by Team
2:49.0,,,40-38,,R. Rondo misses free throw 2 of 2
2:48.0,Defensive rebound by T. Allen,,40-38,,
2:28.0,M. Gasol misses 2-pt shot from 16 ft,,40-38,,
2:28.0,,,40-38,,Defensive rebound by R. Gay
2:18.0,,,40-38,,Turnover by R. Gay (bad pass; steal by C. Lee)
2:01.0,Z. Randolph makes 2-pt shot from 8 ft (assist by M. Conley),2,42-38,,
1:51.0,,,42-38,,R. Rondo misses 2-pt shot from 14 ft
1:50.0,Defensive rebound by C. Lee,,42-38,,
1:36.0,Turnover by C. Lee (traveling),,42-38,,
1:36.0,M. Barnes enters the game for M. Conley,,42-38,,
1:18.0,,,42-38,,D. Collison misses 2-pt shot from 4 ft (block by M. Barnes)
1:16.0,Defensive rebound by C. Lee,,42-38,,
1:14.0,,,42-38,,Personal foul by R. Rondo (drawn by M. Barnes)
1:14.0,M. Barnes makes free throw 1 of 2,1,43-38,,
1:14.0,M. Barnes makes free throw 2 of 2,1,44-38,,
1:03.0,,,44-38,,R. Gay misses 2-pt shot from 10 ft
1:03.0,Defensive rebound by C. Lee,,44-38,,
0:49.0,Z. Randolph makes 2-pt shot from 3 ft,2,46-38,,
0:43.0,,,46-38,,Shooting foul by T. Allen (drawn by R. Gay)
0:43.0,,,46-39,1,R. Gay makes free throw 1 of 2
0:43.0,,,46-40,1,R. Gay makes free throw 2 of 2
0:21.0,M. Barnes misses 3-pt shot from 25 ft,,46-40,,
0:21.0,Offensive rebound by C. Lee,,46-40,,
0:21.0,C. Lee makes 2-pt shot at rim,2,48-40,,
0:04.0,,,48-40,,Turnover by B. McLemore (lost ball; steal by M. Barnes)
0:00.0,T. Allen makes 2-pt shot from 2 ft (assist by M. Barnes),2,50-40,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,50-42,2,R. Gay makes 2-pt shot from 13 ft
11:11.0,Z. Randolph makes 2-pt shot from 22 ft (assist by C. Lee),2,52-42,,
10:56.0,,,52-42,,R. Gay misses 2-pt shot from 9 ft
10:56.0,Defensive rebound by Z. Randolph,,52-42,,
10:41.0,Z. Randolph makes 2-pt shot from 16 ft,2,54-42,,
10:26.0,,,54-42,,B. McLemore misses 2-pt shot from 14 ft
10:25.0,Defensive rebound by Z. Randolph,,54-42,,
10:15.0,B. Wright makes 2-pt shot from 3 ft (assist by Z. Randolph),2,56-42,,
10:15.0,Shooting foul by W. Cauley-Stein (drawn by B. Wright),,56-42,,
10:15.0,B. Wright misses free throw 1 of 1,,56-42,,
10:12.0,,,56-42,,Defensive rebound by K. Koufos
10:04.0,Personal foul by T. Allen (drawn by R. Gay),,56-42,,
9:55.0,,,56-42,,R. Rondo misses 2-pt shot from 9 ft (block by B. Wright)
9:54.0,,,56-42,,Offensive rebound by R. Rondo
9:52.0,,,56-44,2,W. Cauley-Stein makes 2-pt shot at rim (assist by R. Rondo)
9:37.0,Z. Randolph makes 2-pt shot from 18 ft (assist by M. Conley),2,58-44,,
9:28.0,,,58-44,,Turnover by R. Rondo (bad pass; steal by M. Conley)
9:24.0,C. Lee makes 2-pt shot from 2 ft (assist by M. Conley),2,60-44,,
9:24.0,Shooting foul by B. McLemore (drawn by C. Lee),,60-44,,
9:24.0,,,60-44,,Sacramento full timeout
9:24.0,C. Lee makes free throw 1 of 1,1,61-44,,
9:07.0,,,61-47,3,R. Gay makes 3-pt shot from 22 ft (assist by R. Rondo)
8:51.0,Z. Randolph misses 2-pt shot from 21 ft,,61-47,,
8:51.0,,,61-47,,Defensive rebound by R. Rondo
8:33.0,,,61-47,,R. Rondo misses 2-pt shot from 18 ft
8:32.0,Defensive rebound by Z. Randolph,,61-47,,
8:18.0,Turnover by Z. Randolph (lost ball),,61-47,,
8:18.0,Loose ball foul by Z. Randolph (drawn by K. Koufos),,61-47,,
8:02.0,,,61-49,2,R. Rondo makes 2-pt shot from 5 ft
7:45.0,M. Conley misses 2-pt shot from 4 ft,,61-49,,
7:44.0,,,61-49,,Defensive rebound by W. Cauley-Stein
7:39.0,,,61-49,,R. Rondo misses 2-pt shot from 4 ft
7:38.0,,,61-49,,Offensive rebound by K. Koufos
7:38.0,,,61-51,2,K. Koufos makes 2-pt shot from 2 ft
7:27.0,Memphis full timeout,,61-51,,
7:27.0,,,61-51,,Violation by Team (delay of game)
7:16.0,T. Allen makes 3-pt shot from 24 ft (assist by B. Wright),3,64-51,,
6:55.0,,,64-51,,Shooting foul by B. Wright (drawn by K. Koufos)
6:55.0,,,64-52,1,K. Koufos makes free throw 1 of 2
6:55.0,,,64-52,,K. Koufos misses free throw 2 of 2
6:52.0,Defensive rebound by Z. Randolph,,64-52,,
6:40.0,C. Lee makes 2-pt shot from 20 ft (assist by B. Wright),2,66-52,,
6:24.0,,,66-52,,B. McLemore misses 3-pt shot from 23 ft
6:23.0,Defensive rebound by T. Allen,,66-52,,
6:18.0,M. Conley makes 2-pt shot from 3 ft (assist by T. Allen),2,68-52,,
5:59.0,,,68-52,,Turnover by B. McLemore (step out of bounds)
5:59.0,,,68-52,,O. Casspi enters the game for W. Cauley-Stein
5:46.0,C. Lee misses 2-pt shot from 19 ft,,68-52,,
5:45.0,,,68-52,,Defensive rebound by R. Gay
5:38.0,,,68-52,,B. McLemore misses 2-pt shot from 17 ft
5:37.0,Defensive rebound by M. Conley,,68-52,,
5:33.0,,,68-52,,Personal foul by B. McLemore (drawn by B. Wright)
5:33.0,,,68-52,,D. Collison enters the game for B. McLemore
5:22.0,Shooting foul by O. Casspi (drawn by B. Wright),,68-52,,
5:22.0,B. Wright misses free throw 1 of 2,,68-52,,
5:22.0,Offensive rebound by Team,,68-52,,
5:22.0,B. Wright makes free throw 2 of 2,1,69-52,,
5:09.0,,,69-55,3,D. Collison makes 3-pt shot from 25 ft (assist by O. Casspi)
4:58.0,Turnover by Z. Randolph (bad pass; steal by R. Gay),,69-55,,
4:52.0,,,69-57,2,K. Koufos makes 2-pt shot from 1 ft (assist by D. Collison)
4:29.0,M. Conley misses 3-pt shot from 23 ft,,69-57,,
4:27.0,Offensive rebound by B. Wright,,69-57,,
4:27.0,Shooting foul by K. Koufos (drawn by B. Wright),,69-57,,
4:27.0,B. Wright makes free throw 1 of 2,1,70-57,,
4:27.0,B. Udrih enters the game for M. Conley,,70-57,,
4:27.0,,,70-57,,W. Cauley-Stein enters the game for R. Gay
4:27.0,,,70-57,,M. Belinelli enters the game for K. Koufos
4:27.0,B. Wright misses free throw 2 of 2,,70-57,,
4:26.0,,,70-57,,Defensive rebound by W. Cauley-Stein
4:07.0,,,70-57,,O. Casspi misses 2-pt shot from 12 ft
4:07.0,,,70-57,,Offensive rebound by W. Cauley-Stein
4:07.0,,,70-57,,Shooting foul by T. Allen (drawn by W. Cauley-Stein)
4:07.0,,,70-58,1,W. Cauley-Stein makes free throw 1 of 2
4:07.0,J. Green enters the game for T. Allen,,70-58,,
4:07.0,,,70-59,1,W. Cauley-Stein makes free throw 2 of 2
3:48.0,Z. Randolph makes 2-pt shot from 6 ft,2,72-59,,
3:44.0,,,72-59,,Shooting foul by C. Lee (drawn by D. Collison)
3:44.0,,,72-60,1,D. Collison makes free throw 1 of 2
3:44.0,,,72-61,1,D. Collison makes free throw 2 of 2
3:29.0,B. Udrih makes 2-pt shot from 4 ft,2,74-61,,
3:17.0,,,74-61,,R. Rondo misses 3-pt shot from 24 ft
3:16.0,Defensive rebound by Z. Randolph,,74-61,,
3:11.0,C. Lee misses 2-pt shot from 3 ft (block by W. Cauley-Stein),,74-61,,
3:11.0,Offensive rebound by Team,,74-61,,
3:11.0,M. Barnes enters the game for Z. Randolph,,74-61,,
3:06.0,M. Barnes misses 2-pt shot from 7 ft,,74-61,,
3:06.0,,,74-61,,Defensive rebound by O. Casspi
2:59.0,,,74-61,,M. Belinelli misses 3-pt shot from 23 ft
2:59.0,Defensive rebound by J. Green,,74-61,,
2:46.0,B. Udrih makes 2-pt shot from 3 ft (assist by J. Green),2,76-61,,
2:39.0,Personal foul by C. Lee (drawn by M. Belinelli),,76-61,,
2:39.0,,,76-62,1,M. Belinelli makes free throw 1 of 2
2:39.0,,,76-62,,C. Butler enters the game for R. Rondo
2:39.0,,,76-63,1,M. Belinelli makes free throw 2 of 2
2:18.0,C. Lee makes 2-pt shot from 17 ft (assist by J. Green),2,78-63,,
1:57.0,,,78-65,2,C. Butler makes 2-pt shot from 21 ft (assist by M. Belinelli)
1:39.0,Turnover by B. Udrih (bad pass; steal by O. Casspi),,78-65,,
1:36.0,,,78-65,,Shooting foul by M. Barnes (drawn by O. Casspi)
1:36.0,,,78-65,,O. Casspi misses free throw 1 of 2
1:36.0,,,78-65,,Offensive rebound by Team
1:36.0,J. Green enters the game for C. Lee,,78-65,,
1:36.0,,,78-66,1,O. Casspi makes free throw 2 of 2
1:19.0,Turnover by B. Udrih (kicked ball),,78-66,,
1:08.0,,,78-66,,O. Casspi misses 2-pt shot from 9 ft
1:07.0,,,78-66,,Offensive rebound by O. Casspi
1:05.0,,,78-66,,O. Casspi misses 2-pt shot from 1 ft (block by B. Wright)
1:04.0,,,78-66,,Offensive rebound by W. Cauley-Stein
1:03.0,,,78-66,,W. Cauley-Stein misses 2-pt shot from 4 ft
1:02.0,Defensive rebound by M. Barnes,,78-66,,
0:56.0,J. Green makes 3-pt shot from 25 ft (assist by B. Udrih),3,81-66,,
0:48.0,,,81-66,,Shooting foul by B. Udrih (drawn by D. Collison)
0:48.0,,,81-66,,D. Collison misses free throw 1 of 2
0:48.0,,,81-66,,Offensive rebound by Team
0:48.0,,,81-67,1,D. Collison makes free throw 2 of 2
0:31.0,B. Udrih makes 2-pt shot from 19 ft,2,83-67,,
0:05.0,,,83-67,,M. Belinelli misses 3-pt shot from 23 ft
0:05.0,Defensive rebound by J. Green,,83-67,,
0:00.0,J. Green misses 3-pt shot from 24 ft,,83-67,,
0:00.0,Offensive rebound by Team,,83-67,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,Offensive charge foul by J. Green,,83-67,,
11:42.0,Turnover by J. Green (offensive foul),,83-67,,
11:28.0,,,83-70,3,D. Collison makes 3-pt shot from 24 ft (assist by M. Belinelli)
11:18.0,,,83-70,,Personal foul by M. Belinelli (drawn by B. Udrih)
11:10.0,B. Wright makes 2-pt shot from 4 ft (assist by B. Udrih),2,85-70,,
11:02.0,Personal foul by M. Barnes (drawn by M. Belinelli),,85-70,,
10:54.0,Violation by J. Green (kicked ball),,85-70,,
10:49.0,,,85-70,,M. Belinelli misses 2-pt shot from 21 ft
10:48.0,Defensive rebound by J. Green,,85-70,,
10:34.0,J. Green misses 3-pt shot from 23 ft,,85-70,,
10:24.0,,,85-70,,Defensive rebound by C. Butler
10:24.0,,,85-70,,D. Collison misses 2-pt shot from 3 ft
10:21.0,,,85-70,,Offensive rebound by C. Butler
10:15.0,,,85-70,,Turnover by O. Casspi (bad pass)
10:15.0,,,85-70,,R. Gay enters the game for C. Butler
9:55.0,B. Wright misses 2-pt shot from 17 ft,,85-70,,
9:54.0,,,85-70,,Defensive rebound by O. Casspi
9:42.0,,,85-72,2,K. Koufos makes 2-pt shot from 6 ft
9:22.0,M. Barnes misses 2-pt shot from 6 ft,,85-72,,
9:22.0,,,85-72,,Defensive rebound by K. Koufos
9:16.0,,,85-72,,O. Casspi misses 2-pt shot from 3 ft
9:15.0,Defensive rebound by J. Green,,85-72,,
9:09.0,Shooting foul by K. Koufos (drawn by B. Wright),,85-72,,
9:09.0,B. Wright misses free throw 1 of 2,,85-72,,
9:09.0,Offensive rebound by Team,,85-72,,
9:09.0,,,85-72,,W. Cauley-Stein enters the game for K. Koufos
9:09.0,B. Wright misses free throw 2 of 2,,85-72,,
9:08.0,Offensive rebound by J. Green,,85-72,,
8:45.0,B. Wright makes 2-pt shot from 7 ft,2,87-72,,
8:23.0,,,87-72,,R. Gay misses 2-pt shot from 17 ft
8:22.0,,,87-72,,Offensive rebound by W. Cauley-Stein
8:07.0,,,87-74,2,W. Cauley-Stein makes 2-pt shot at rim (assist by M. Belinelli)
7:53.0,M. Barnes makes 2-pt shot from 3 ft (assist by B. Wright),2,89-74,,
7:53.0,Shooting foul by M. Belinelli (drawn by M. Barnes),,89-74,,
7:53.0,Official timeout,,89-74,,
7:53.0,Z. Randolph enters the game for B. Wright,,89-74,,
7:53.0,M. Barnes makes free throw 1 of 1,1,90-74,,
7:45.0,Personal foul by M. Barnes (drawn by M. Belinelli),,90-74,,
7:45.0,Violation by J. Green (kicked ball),,90-74,,
7:33.0,Personal foul by J. Green (drawn by R. Gay),,90-74,,
7:21.0,,,90-76,2,R. Gay makes 2-pt shot from 3 ft (assist by O. Casspi)
6:58.0,B. Udrih misses 3-pt shot from 27 ft,,90-76,,
6:58.0,,,90-76,,Defensive rebound by Team
6:57.0,,,90-76,,R. Rondo enters the game for O. Casspi
6:43.0,Personal foul by B. Udrih (drawn by R. Gay),,90-76,,
6:43.0,M. Conley enters the game for B. Udrih,,90-76,,
6:28.0,,,90-76,,R. Gay misses 3-pt shot from 25 ft
6:28.0,,,90-76,,Offensive rebound by Team
6:28.0,,,90-76,,Turnover by Team (shot clock)
6:08.0,J. Green makes 2-pt shot from 2 ft,2,92-76,,
5:52.0,,,92-76,,D. Collison misses 2-pt shot from 6 ft
5:51.0,Defensive rebound by J. Green,,92-76,,
5:31.0,Shooting foul by R. Gay (drawn by M. Conley),,92-76,,
5:31.0,,,92-76,,Sacramento full timeout
5:31.0,,,92-76,,K. Koufos enters the game for W. Cauley-Stein
