time,Utah,pts.away,score,pts.home,Portland
3:40.0,G. Hayward makes free throw 1 of 2,1,68-69,,
3:40.0,D. Favors enters the game for R. Gobert,,68-69,,
3:40.0,,,68-69,,E. Davis enters the game for M. Plumlee
3:40.0,G. Hayward makes free throw 2 of 2,1,69-69,,
3:25.0,,,69-72,3,A. Crabbe makes 3-pt shot from 24 ft (assist by D. Lillard)
3:13.0,T. Booker makes 2-pt shot at rim (assist by C. Johnson),2,71-72,,
3:01.0,,,71-72,,A. Aminu misses 3-pt shot from 24 ft
3:00.0,,,71-72,,Offensive rebound by M. Harkless
2:58.0,,,71-74,2,M. Harkless makes 2-pt shot from 1 ft
2:44.0,S. Mack makes 2-pt shot from 2 ft (assist by T. Booker),2,73-74,,
2:44.0,,,73-74,,Portland full timeout
2:44.0,,,73-74,,G. Henderson enters the game for A. Aminu
2:26.0,,,73-74,,Turnover by A. Crabbe (bad pass; steal by G. Hayward)
2:13.0,Shooting foul by E. Davis (drawn by G. Hayward),,73-74,,
2:13.0,G. Hayward makes free throw 1 of 2,1,74-74,,
2:13.0,G. Hayward makes free throw 2 of 2,1,75-74,,
1:56.0,,,75-74,,D. Lillard misses 3-pt shot from 26 ft
1:55.0,,,75-74,,Offensive rebound by A. Crabbe
1:50.0,,,75-74,,M. Harkless misses 3-pt shot from 23 ft
1:50.0,,,75-74,,Offensive rebound by Team
1:50.0,Loose ball foul by S. Mack (drawn by E. Davis),,75-74,,
1:50.0,,,75-74,,E. Davis misses free throw 1 of 2
1:50.0,,,75-74,,Offensive rebound by Team
1:50.0,,,75-74,,C. McCollum enters the game for D. Lillard
1:50.0,,,75-74,,E. Davis misses free throw 2 of 2
1:48.0,Defensive rebound by G. Hayward,,75-74,,
1:36.0,Shooting foul by E. Davis (drawn by D. Favors),,75-74,,
1:36.0,D. Favors makes free throw 1 of 2,1,76-74,,
1:36.0,D. Favors makes free throw 2 of 2,1,77-74,,
1:24.0,,,77-74,,Shooting foul by D. Favors (drawn by M. Harkless)
1:24.0,,,77-74,,M. Harkless misses free throw 1 of 2
1:24.0,,,77-74,,Offensive rebound by Team
1:24.0,R. Gobert enters the game for D. Favors,,77-74,,
1:24.0,,,77-75,1,M. Harkless makes free throw 2 of 2
1:12.0,G. Hayward misses 2-pt shot from 19 ft,,77-75,,
1:11.0,,,77-75,,Defensive rebound by G. Henderson
1:05.0,,,77-75,,A. Crabbe misses 3-pt shot from 24 ft
1:03.0,,,77-75,,Offensive rebound by M. Harkless
0:58.0,,,77-77,2,G. Henderson makes 2-pt shot from 2 ft (assist by C. McCollum)
0:41.0,R. Gobert makes 2-pt shot at rim (assist by S. Mack),2,79-77,,
0:32.0,,,79-77,,Turnover by E. Davis (bad pass)
0:12.0,S. Mack makes 2-pt shot from 9 ft,2,81-77,,
0:11.0,Personal take foul by C. Johnson (drawn by E. Davis),,81-77,,
0:11.0,,,81-78,1,E. Davis makes free throw 1 of 2
0:11.0,R. Hood enters the game for C. Johnson,,81-78,,
0:11.0,,,81-79,1,E. Davis makes free throw 2 of 2
0:10.0,,,81-79,,Personal take foul by G. Henderson (drawn by R. Gobert)
0:10.0,R. Gobert makes free throw 1 of 2,1,82-79,,
0:10.0,C. Johnson enters the game for R. Hood,,82-79,,
0:10.0,R. Gobert misses free throw 2 of 2,,82-79,,
0:09.0,,,82-79,,Defensive rebound by E. Davis
0:09.0,Personal take foul by T. Booker (drawn by E. Davis),,82-79,,
0:09.0,,,82-80,1,E. Davis makes free throw 1 of 2
0:09.0,R. Hood enters the game for C. Johnson,,82-80,,
0:09.0,D. Favors enters the game for R. Gobert,,82-80,,
0:09.0,,,82-80,,E. Davis misses free throw 2 of 2
0:08.0,Defensive rebound by D. Favors,,82-80,,
0:00.0,S. Mack misses 2-pt shot from 16 ft,,82-80,,
0:00.0,,,82-80,,Defensive rebound by A. Crabbe
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,R. Hood makes 2-pt shot from 2 ft (assist by R. Gobert),2,84-80,,
11:22.0,,,84-80,,C. McCollum misses 2-pt shot from 2 ft (block by R. Gobert)
11:21.0,Defensive rebound by C. Johnson,,84-80,,
11:17.0,Shooting foul by E. Davis (drawn by T. Booker),,84-80,,
11:17.0,T. Booker misses free throw 1 of 2,,84-80,,
11:17.0,Offensive rebound by Team,,84-80,,
11:17.0,T. Booker makes free throw 2 of 2,1,85-80,,
10:55.0,,,85-80,,C. McCollum misses 3-pt shot from 25 ft
10:55.0,Defensive rebound by R. Gobert,,85-80,,
10:45.0,Turnover by T. Burke (bad pass; steal by C. McCollum),,85-80,,
10:39.0,,,85-82,2,C. McCollum makes 2-pt shot at rim
10:16.0,R. Hood misses 2-pt shot from 6 ft (block by E. Davis),,85-82,,
10:15.0,,,85-82,,Defensive rebound by A. Crabbe
10:10.0,,,85-82,,Shooting foul by C. Johnson (drawn by M. Harkless)
10:10.0,,,85-83,1,M. Harkless makes free throw 1 of 2
10:10.0,J. Ingles enters the game for C. Johnson,,85-83,,
10:10.0,,,85-84,1,M. Harkless makes free throw 2 of 2
9:46.0,J. Ingles makes 2-pt shot from 14 ft,2,87-84,,
9:31.0,,,87-86,2,C. McCollum makes 2-pt shot at rim
9:19.0,,,87-86,,Personal foul by C. McCollum (drawn by T. Burke)
9:19.0,,,87-86,,D. Lillard enters the game for A. Crabbe
9:13.0,T. Burke misses 2-pt shot from 1 ft,,87-86,,
9:12.0,,,87-86,,Defensive rebound by E. Davis
8:56.0,,,87-88,2,M. Harkless makes 2-pt shot at rim (assist by E. Davis)
8:37.0,T. Burke makes 3-pt shot from 24 ft (assist by R. Gobert),3,90-88,,
8:18.0,,,90-88,,D. Lillard misses 2-pt shot from 13 ft
8:17.0,Defensive rebound by R. Gobert,,90-88,,
8:03.0,R. Hood misses 3-pt shot from 24 ft,,90-88,,
8:02.0,,,90-88,,Defensive rebound by G. Henderson
7:58.0,,,90-88,,Shooting foul by J. Ingles (drawn by G. Henderson)
7:58.0,Official timeout,,90-88,,
7:58.0,,,90-88,,M. Plumlee enters the game for E. Davis
7:58.0,D. Favors enters the game for R. Gobert,,90-88,,
7:58.0,G. Hayward enters the game for J. Ingles,,90-88,,
7:58.0,,,90-89,1,G. Henderson makes free throw 1 of 2
7:58.0,,,90-90,1,G. Henderson makes free throw 2 of 2
7:35.0,T. Burke misses 2-pt shot from 20 ft,,90-90,,
7:34.0,,,90-90,,Defensive rebound by G. Henderson
7:30.0,,,90-90,,Turnover by G. Henderson (bad pass)
7:21.0,D. Favors makes 2-pt shot at rim (assist by R. Hood),2,92-90,,
7:02.0,,,92-90,,C. McCollum misses 2-pt shot from 21 ft
7:01.0,,,92-90,,Offensive rebound by M. Harkless
7:00.0,,,92-92,2,M. Harkless makes 2-pt shot from 1 ft
