time,New York,pts.away,score,pts.home,New Orleans
11:31.0,,,66-68,,Offensive rebound by Team
11:31.0,,,66-69,1,K. Perkins makes free throw 2 of 2
11:18.0,A. Afflalo makes 3-pt shot from 23 ft (assist by L. Galloway),3,69-69,,
10:58.0,,,69-72,3,J. Hamilton makes 3-pt shot from 25 ft (assist by J. Holiday)
10:34.0,A. Afflalo misses 2-pt shot from 12 ft,,69-72,,
10:33.0,Offensive rebound by K. O'Quinn,,69-72,,
10:23.0,C. Anthony makes 2-pt shot from 19 ft,2,71-72,,
9:56.0,,,71-75,3,L. Babbitt makes 3-pt shot from 23 ft (assist by J. Hamilton)
9:28.0,C. Anthony makes 2-pt shot from 16 ft (assist by L. Galloway),2,73-75,,
9:17.0,,,73-75,,J. Holiday misses 2-pt shot from 2 ft (block by K. O'Quinn)
9:16.0,Defensive rebound by K. O'Quinn,,73-75,,
9:05.0,C. Anthony makes 2-pt shot from 18 ft,2,75-75,,
8:40.0,,,75-75,,Shooting foul by L. Galloway (drawn by K. Perkins)
8:40.0,Official timeout,,75-75,,
8:40.0,J. Calderon enters the game for D. Williams,,75-75,,
8:40.0,,,75-75,,D. Cunningham enters the game for L. Babbitt
8:40.0,,,75-76,1,K. Perkins makes free throw 1 of 2
8:40.0,,,75-77,1,K. Perkins makes free throw 2 of 2
8:23.0,J. Calderon misses 3-pt shot from 25 ft,,75-77,,
8:22.0,,,75-77,,Defensive rebound by T. Frazier
8:09.0,,,75-77,,J. Hamilton misses 3-pt shot from 25 ft
8:08.0,Defensive rebound by K. O'Quinn,,75-77,,
8:00.0,Turnover by A. Afflalo (lost ball; steal by J. Hamilton),,75-77,,
7:55.0,,,75-77,,Turnover by J. Hamilton (lost ball; steal by L. Galloway)
7:34.0,K. O'Quinn misses 2-pt shot from 17 ft,,75-77,,
7:33.0,,,75-77,,Defensive rebound by T. Frazier
7:21.0,,,75-77,,J. Holiday misses 2-pt shot from 6 ft
7:20.0,,,75-77,,Offensive rebound by J. Holiday
7:17.0,,,75-77,,T. Frazier misses 3-pt shot from 25 ft
7:16.0,Defensive rebound by L. Galloway,,75-77,,
6:58.0,C. Anthony misses 2-pt shot from 16 ft,,75-77,,
6:58.0,,,75-77,,Defensive rebound by J. Hamilton
6:53.0,,,75-79,2,T. Frazier makes 2-pt shot at rim (assist by J. Hamilton)
6:53.0,New York full timeout,,75-79,,
6:53.0,,,75-79,,A. Ajinca enters the game for K. Perkins
6:53.0,K. Porzingis enters the game for K. O'Quinn,,75-79,,
6:43.0,L. Galloway misses 2-pt shot from 2 ft,,75-79,,
6:43.0,Offensive rebound by Team,,75-79,,
6:43.0,,,75-79,,Loose ball foul by T. Frazier
6:36.0,A. Afflalo makes 2-pt shot from 12 ft (assist by C. Anthony),2,77-79,,
6:20.0,,,77-81,2,J. Holiday makes 2-pt shot from 17 ft
6:02.0,Offensive foul by C. Anthony,,77-81,,
6:02.0,Turnover by C. Anthony (offensive foul),,77-81,,
5:43.0,,,77-81,,A. Ajinca misses 2-pt shot from 9 ft
5:43.0,,,77-81,,Offensive rebound by Team
5:43.0,Loose ball foul by A. Afflalo,,77-81,,
5:43.0,R. Lopez enters the game for J. Calderon,,77-81,,
5:33.0,,,77-83,2,J. Holiday makes 2-pt shot from 18 ft
5:14.0,Offensive foul by A. Afflalo,,77-83,,
5:14.0,Turnover by A. Afflalo (offensive foul),,77-83,,
5:14.0,New York full timeout,,77-83,,
5:14.0,J. Calderon enters the game for L. Galloway,,77-83,,
5:03.0,,,77-83,,Shooting foul by A. Afflalo (drawn by A. Ajinca)
5:03.0,,,77-83,,A. Ajinca misses free throw 1 of 2
5:03.0,,,77-83,,Offensive rebound by Team
5:03.0,,,77-84,1,A. Ajinca makes free throw 2 of 2
4:44.0,J. Calderon makes 3-pt shot from 24 ft (assist by C. Anthony),3,80-84,,
4:26.0,,,80-84,,J. Hamilton misses 3-pt shot from 24 ft
4:25.0,Defensive rebound by J. Calderon,,80-84,,
4:16.0,,,80-84,,Personal foul by J. Hamilton
4:04.0,Turnover by C. Anthony (lost ball; steal by J. Hamilton),,80-84,,
3:59.0,,,80-84,,T. Frazier misses 2-pt shot from 1 ft
3:58.0,Defensive rebound by J. Calderon,,80-84,,
3:44.0,C. Anthony misses 2-pt shot from 14 ft,,80-84,,
3:44.0,Offensive rebound by R. Lopez,,80-84,,
3:39.0,K. Porzingis misses 3-pt shot from 25 ft,,80-84,,
3:37.0,Offensive rebound by R. Lopez,,80-84,,
3:37.0,R. Lopez makes 2-pt shot at rim,2,82-84,,
3:21.0,,,82-84,,A. Ajinca misses 2-pt shot from 1 ft
3:20.0,Defensive rebound by K. Porzingis,,82-84,,
3:05.0,J. Calderon makes 3-pt shot from 26 ft (assist by C. Anthony),3,85-84,,
3:05.0,,,85-84,,New Orleans full timeout
3:05.0,,,85-84,,K. Perkins enters the game for A. Ajinca
3:05.0,,,85-84,,L. Babbitt enters the game for T. Frazier
3:05.0,,,85-84,,T. Douglas enters the game for J. Hamilton
2:59.0,Personal foul by C. Anthony,,85-84,,
2:59.0,,,85-85,1,L. Babbitt makes free throw 1 of 2
2:59.0,,,85-86,1,L. Babbitt makes free throw 2 of 2
2:45.0,Turnover by C. Anthony (lost ball; steal by J. Holiday),,85-86,,
2:40.0,,,85-86,,Shooting foul by J. Calderon (drawn by J. Holiday)
2:40.0,,,85-87,1,J. Holiday makes free throw 1 of 2
2:40.0,,,85-88,1,J. Holiday makes free throw 2 of 2
2:29.0,,,85-88,,Personal foul by D. Cunningham
2:20.0,A. Afflalo misses 2-pt shot from 21 ft,,85-88,,
2:18.0,,,85-88,,Defensive rebound by T. Douglas
2:04.0,,,85-90,2,J. Holiday makes 2-pt shot from 1 ft
