time,Houston,pts.away,score,pts.home,Oklahoma City
9:28.0,,,29-31,,Offensive rebound by K. Durant
9:28.0,,,29-33,2,K. Durant makes 2-pt shot from 2 ft
9:17.0,Turnover by J. Harden (bad pass),,29-33,,
9:03.0,,,29-35,2,D. Waiters makes 2-pt shot from 15 ft
9:02.0,Houston full timeout,,29-35,,
9:02.0,,,29-35,,R. Westbrook enters the game for K. Durant
9:02.0,,,29-35,,A. Roberson enters the game for C. Payne
8:47.0,Turnover by P. Beverley (bad pass),,29-35,,
8:36.0,Shooting block foul by T. Ariza (drawn by E. Kanter),,29-35,,
8:36.0,,,29-36,1,E. Kanter makes free throw 1 of 2
8:36.0,,,29-37,1,E. Kanter makes free throw 2 of 2
8:23.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,31-37,,
8:06.0,,,31-37,,R. Foye misses 3-pt shot from 23 ft
8:06.0,Defensive rebound by T. Ariza,,31-37,,
7:59.0,Shooting foul by A. Roberson (drawn by J. Harden),,31-37,,
7:59.0,J. Harden makes free throw 1 of 2,1,32-37,,
7:59.0,C. Brewer enters the game for T. Ariza,,32-37,,
7:59.0,J. Harden makes free throw 2 of 2,1,33-37,,
7:44.0,,,33-39,2,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook)
7:26.0,Turnover by J. Harden (lost ball; steal by A. Roberson),,33-39,,
7:21.0,,,33-41,2,D. Waiters makes 2-pt shot at rim (assist by A. Roberson)
7:13.0,D. Howard makes 2-pt shot at rim (assist by P. Beverley),2,35-41,,
7:13.0,Shooting foul by R. Foye (drawn by D. Howard),,35-41,,
7:13.0,K. McDaniels enters the game for J. Terry,,35-41,,
7:13.0,,,35-41,,S. Adams enters the game for E. Kanter
7:13.0,D. Howard misses free throw 1 of 1,,35-41,,
7:12.0,,,35-41,,Defensive rebound by R. Westbrook
6:58.0,,,35-41,,R. Westbrook misses 3-pt shot from 25 ft
6:57.0,Defensive rebound by P. Beverley,,35-41,,
6:53.0,J. Harden makes 2-pt shot from 1 ft (assist by P. Beverley),2,37-41,,
6:31.0,,,37-41,,D. Waiters misses 3-pt shot from 24 ft
6:31.0,Defensive rebound by D. Howard,,37-41,,
6:24.0,Shooting foul by A. Roberson (drawn by J. Harden),,37-41,,
6:24.0,J. Harden makes free throw 1 of 2,1,38-41,,
6:24.0,C. Capela enters the game for D. Howard,,38-41,,
6:24.0,,,38-41,,A. Morrow enters the game for A. Roberson
6:24.0,,,38-41,,S. Ibaka enters the game for D. Waiters
6:24.0,D. Motiejunas enters the game for C. Brewer,,38-41,,
6:24.0,J. Harden makes free throw 2 of 2,1,39-41,,
6:14.0,,,39-43,2,S. Ibaka makes 2-pt shot from 18 ft (assist by R. Westbrook)
6:01.0,K. McDaniels misses 3-pt shot from 24 ft,,39-43,,
6:00.0,Offensive rebound by C. Capela,,39-43,,
5:56.0,D. Motiejunas misses 2-pt shot from 3 ft (block by S. Ibaka),,39-43,,
5:54.0,Offensive rebound by D. Motiejunas,,39-43,,
5:53.0,D. Motiejunas misses 2-pt shot from 3 ft (block by S. Ibaka),,39-43,,
5:51.0,,,39-43,,Defensive rebound by S. Ibaka
5:42.0,,,39-43,,R. Foye misses 3-pt shot from 23 ft
5:41.0,,,39-43,,Offensive rebound by R. Westbrook
5:34.0,,,39-46,3,A. Morrow makes 3-pt shot from 23 ft (assist by R. Westbrook)
5:32.0,Houston full timeout,,39-46,,
5:32.0,Official timeout,,39-46,,
5:32.0,,,39-46,,K. Durant enters the game for R. Foye
5:32.0,T. Ariza enters the game for K. McDaniels,,39-46,,
5:29.0,,,39-46,,Personal take foul by A. Morrow
5:29.0,C. Capela makes free throw 1 of 2,1,40-46,,
5:29.0,C. Capela misses free throw 2 of 2,,40-46,,
5:28.0,Offensive rebound by Team,,40-46,,
5:14.0,D. Motiejunas makes 2-pt shot from 7 ft (assist by J. Harden),2,42-46,,
5:02.0,,,42-46,,A. Morrow misses 3-pt shot from 24 ft
5:02.0,Defensive rebound by C. Capela,,42-46,,
4:51.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,44-46,,
4:39.0,,,44-46,,S. Ibaka misses 3-pt shot from 24 ft
4:39.0,,,44-46,,Offensive rebound by S. Adams
4:24.0,,,44-46,,S. Ibaka misses 2-pt shot from 5 ft
4:24.0,Defensive rebound by D. Motiejunas,,44-46,,
4:18.0,T. Ariza misses 3-pt shot from 24 ft,,44-46,,
4:17.0,,,44-46,,Defensive rebound by S. Ibaka
4:06.0,,,44-48,2,R. Westbrook makes 2-pt shot from 12 ft
3:51.0,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden),2,46-48,,
3:36.0,,,46-50,2,A. Morrow makes 2-pt shot from 20 ft (assist by R. Westbrook)
3:10.0,P. Beverley misses 3-pt shot from 25 ft,,46-50,,
3:10.0,Offensive rebound by T. Ariza,,46-50,,
3:07.0,T. Ariza makes 2-pt shot at rim,2,48-50,,
2:45.0,,,48-53,3,A. Morrow makes 3-pt shot from 23 ft (assist by R. Westbrook)
2:29.0,J. Harden misses 2-pt shot from 5 ft (block by S. Adams),,48-53,,
2:28.0,,,48-53,,Defensive rebound by R. Westbrook
2:22.0,,,48-53,,K. Durant misses 3-pt shot from 24 ft
2:22.0,,,48-53,,Offensive rebound by S. Ibaka
2:18.0,,,48-53,,Turnover by S. Ibaka (lost ball; steal by J. Harden)
2:15.0,J. Harden makes 2-pt shot from 1 ft,2,50-53,,
1:58.0,,,50-53,,A. Morrow misses 3-pt shot from 22 ft
1:58.0,Defensive rebound by J. Harden,,50-53,,
1:44.0,J. Harden makes 3-pt shot from 24 ft,3,53-53,,
1:37.0,,,53-53,,Oklahoma City full timeout
1:36.0,D. Howard enters the game for C. Capela,,53-53,,
1:26.0,,,53-53,,S. Ibaka misses 3-pt shot from 22 ft
1:25.0,,,53-53,,Offensive rebound by R. Westbrook
1:19.0,,,53-53,,Turnover by A. Morrow (lost ball; steal by T. Ariza)
