time,Miami,pts.away,score,pts.home,Detroit
8:08.0,G. Dragic misses 3-pt shot from 26 ft,,6-5,,
8:07.0,,,6-5,,Defensive rebound by K. Caldwell-Pope
7:56.0,,,6-5,,R. Jackson misses 2-pt shot from 17 ft
7:55.0,,,6-5,,Offensive rebound by Team
7:43.0,,,6-5,,A. Drummond misses 2-pt shot from 6 ft
7:42.0,,,6-5,,Offensive rebound by M. Morris
7:38.0,,,6-5,,M. Morris misses 2-pt shot at rim
7:38.0,Defensive rebound by G. Green,,6-5,,
7:31.0,G. Green makes 2-pt shot at rim (assist by G. Dragic),2,8-5,,
7:06.0,,,8-7,2,A. Drummond makes 2-pt shot from 7 ft (assist by R. Jackson)
6:47.0,Turnover by G. Green (bad pass; steal by A. Drummond),,8-7,,
6:32.0,,,8-7,,K. Caldwell-Pope misses 3-pt shot from 23 ft
6:32.0,,,8-7,,Offensive rebound by A. Drummond
6:24.0,,,8-10,3,R. Jackson makes 3-pt shot from 25 ft (assist by E. Ilyasova)
6:06.0,Turnover by G. Dragic (bad pass),,8-10,,
6:06.0,J. Winslow enters the game for C. Bosh,,8-10,,
5:49.0,,,8-12,2,A. Drummond makes 2-pt shot from 4 ft (assist by E. Ilyasova)
5:34.0,H. Whiteside makes 2-pt shot at rim (assist by D. Wade),2,10-12,,
5:22.0,,,10-14,2,R. Jackson makes 2-pt shot from 6 ft
5:06.0,H. Whiteside misses 2-pt shot from 9 ft,,10-14,,
5:05.0,,,10-14,,Defensive rebound by A. Drummond
4:54.0,,,10-14,,E. Ilyasova misses 2-pt shot from 4 ft
4:53.0,,,10-14,,Offensive rebound by A. Drummond
4:50.0,,,10-16,2,A. Drummond makes 2-pt shot at rim
4:49.0,Miami full timeout,,10-16,,
4:49.0,,,10-16,,S. Johnson enters the game for M. Morris
4:38.0,D. Wade misses 2-pt shot from 18 ft,,10-16,,
4:38.0,,,10-16,,Defensive rebound by A. Drummond
4:20.0,,,10-19,3,R. Jackson makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope)
4:05.0,,,10-19,,Def 3 sec tech foul by A. Drummond
4:05.0,D. Wade misses technical free throw,,10-19,,
4:05.0,Offensive rebound by Team,,10-19,,
3:56.0,,,10-19,,Personal foul by K. Caldwell-Pope (drawn by D. Wade)
3:45.0,D. Wade misses 2-pt shot from 19 ft,,10-19,,
3:44.0,,,10-19,,Defensive rebound by A. Drummond
3:24.0,,,10-19,,K. Caldwell-Pope misses 2-pt shot from 7 ft (block by D. Wade)
3:22.0,,,10-19,,Offensive rebound by E. Ilyasova
3:18.0,,,10-19,,E. Ilyasova misses 2-pt shot from 6 ft
3:18.0,Defensive rebound by J. Winslow,,10-19,,
3:16.0,G. Green misses 3-pt shot from 28 ft,,10-19,,
3:16.0,,,10-19,,Defensive rebound by Team
3:16.0,C. Bosh enters the game for H. Whiteside,,10-19,,
2:59.0,,,10-19,,Shooting foul by J. Winslow (drawn by E. Ilyasova)
2:59.0,,,10-19,,Detroit full timeout
2:59.0,,,10-19,,S. Blake enters the game for R. Jackson
2:59.0,T. Johnson enters the game for D. Wade,,10-19,,
2:59.0,,,10-20,1,E. Ilyasova makes free throw 1 of 2
2:59.0,,,10-21,1,E. Ilyasova makes free throw 2 of 2
2:37.0,Turnover by C. Bosh (lost ball; steal by K. Caldwell-Pope),,10-21,,
2:29.0,,,10-21,,S. Johnson misses 3-pt shot from 24 ft
2:29.0,Defensive rebound by J. Winslow,,10-21,,
2:29.0,,,10-21,,Personal foul by E. Ilyasova (drawn by J. Winslow)
2:29.0,,,10-21,,A. Tolliver enters the game for E. Ilyasova
2:29.0,,,10-21,,M. Morris enters the game for K. Caldwell-Pope
2:17.0,G. Dragic makes 2-pt shot at rim (assist by C. Bosh),2,12-21,,
1:57.0,,,12-23,2,M. Morris makes 2-pt shot from 4 ft (assist by A. Tolliver)
1:40.0,C. Bosh makes 3-pt shot from 22 ft (assist by T. Johnson),3,15-23,,
1:16.0,,,15-25,2,S. Johnson makes 2-pt shot from 3 ft
1:01.0,G. Dragic makes 2-pt shot from 12 ft,2,17-25,,
0:50.0,,,17-25,,Offensive foul by S. Johnson
0:50.0,,,17-25,,Turnover by S. Johnson (offensive foul)
0:33.0,G. Green misses 3-pt shot from 25 ft,,17-25,,
0:33.0,,,17-25,,Defensive rebound by A. Drummond
0:23.0,Personal foul by G. Green (drawn by M. Morris),,17-25,,
0:10.0,,,17-25,,S. Johnson misses 2-pt shot from 11 ft
0:09.0,Defensive rebound by C. Bosh,,17-25,,
0:01.0,G. Dragic makes 2-pt shot from 10 ft,2,19-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,,,19-25,,A. Baynes misses 2-pt shot from 6 ft
11:32.0,Defensive rebound by J. Winslow,,19-25,,
11:20.0,T. Johnson misses 2-pt shot from 4 ft (block by S. Johnson),,19-25,,
11:19.0,,,19-25,,Defensive rebound by A. Baynes
11:11.0,,,19-27,2,S. Johnson makes 2-pt shot at rim
11:11.0,,,19-27,,Shooting foul by B. Udrih (drawn by S. Johnson)
11:11.0,,,19-28,1,S. Johnson makes free throw 1 of 1
10:51.0,C. Bosh makes 2-pt shot from 19 ft (assist by B. Udrih),2,21-28,,
10:30.0,,,21-28,,M. Morris misses 2-pt shot from 11 ft
10:29.0,,,21-28,,Offensive rebound by A. Baynes
10:18.0,,,21-30,2,A. Baynes makes 2-pt shot from 3 ft (assist by S. Blake)
10:03.0,J. McRoberts makes 3-pt shot from 27 ft (assist by B. Udrih),3,24-30,,
9:45.0,,,24-33,3,A. Tolliver makes 3-pt shot from 25 ft (assist by S. Johnson)
9:35.0,,,24-33,,Personal foul by S. Johnson (drawn by T. Johnson)
9:24.0,C. Bosh misses 2-pt shot from 4 ft,,24-33,,
9:24.0,Offensive rebound by J. Winslow,,24-33,,
9:13.0,J. McRoberts misses 3-pt shot from 27 ft,,24-33,,
9:13.0,,,24-33,,Defensive rebound by S. Johnson
9:09.0,Personal foul by J. McRoberts (drawn by A. Baynes),,24-33,,
8:57.0,,,24-36,3,A. Tolliver makes 3-pt shot from 23 ft (assist by S. Blake)
8:51.0,Miami full timeout,,24-36,,
8:51.0,,,24-36,,K. Caldwell-Pope enters the game for S. Johnson
8:44.0,Shooting foul by A. Tolliver (drawn by C. Bosh),,24-36,,
8:44.0,C. Bosh makes free throw 1 of 2,1,25-36,,
8:44.0,C. Bosh makes free throw 2 of 2,1,26-36,,
8:22.0,,,26-36,,K. Caldwell-Pope misses 2-pt shot from 20 ft
8:21.0,Defensive rebound by T. Johnson,,26-36,,
8:06.0,C. Bosh misses 2-pt shot from 18 ft,,26-36,,
8:05.0,,,26-36,,Defensive rebound by M. Morris
7:51.0,,,26-36,,A. Tolliver misses 3-pt shot from 22 ft
7:51.0,Defensive rebound by C. Bosh,,26-36,,
7:42.0,J. McRoberts misses 3-pt shot from 26 ft,,26-36,,
7:41.0,,,26-36,,Defensive rebound by S. Blake
7:35.0,,,26-38,2,A. Baynes makes 2-pt shot at rim (assist by S. Blake)
7:18.0,J. McRoberts misses 2-pt shot from 20 ft,,26-38,,
7:17.0,Offensive rebound by T. Johnson,,26-38,,
7:02.0,B. Udrih misses 3-pt shot from 22 ft,,26-38,,
7:01.0,,,26-38,,Defensive rebound by A. Baynes
6:49.0,,,26-41,3,A. Tolliver makes 3-pt shot from 24 ft (assist by S. Blake)
6:32.0,T. Johnson makes 2-pt shot at rim (assist by J. McRoberts),2,28-41,,
6:32.0,Shooting foul by A. Baynes (drawn by T. Johnson),,28-41,,
6:32.0,H. Whiteside enters the game for C. Bosh,,28-41,,
6:32.0,G. Green enters the game for J. McRoberts,,28-41,,
6:32.0,D. Wade enters the game for B. Udrih,,28-41,,
6:32.0,T. Johnson makes free throw 1 of 1,1,29-41,,
6:23.0,,,29-43,2,A. Baynes makes 2-pt shot at rim (assist by K. Caldwell-Pope)
6:05.0,T. Johnson makes 2-pt shot from 7 ft,2,31-43,,
6:05.0,Shooting foul by S. Blake (drawn by T. Johnson),,31-43,,
6:05.0,T. Johnson makes free throw 1 of 1,1,32-43,,
6:05.0,,,32-43,,Turnover by S. Blake (lost ball)
6:05.0,G. Dragic enters the game for T. Johnson,,32-43,,
5:49.0,G. Dragic misses 2-pt shot from 3 ft,,32-43,,
5:48.0,Offensive rebound by H. Whiteside,,32-43,,
5:47.0,Turnover by H. Whiteside (bad pass; steal by K. Caldwell-Pope),,32-43,,
5:47.0,Personal foul by G. Dragic (drawn by S. Blake),,32-43,,
5:47.0,,,32-43,,Detroit full timeout
5:47.0,,,32-43,,A. Drummond enters the game for S. Blake
5:47.0,,,32-43,,R. Jackson enters the game for A. Baynes
5:30.0,,,32-46,3,M. Morris makes 3-pt shot from 25 ft (assist by R. Jackson)
5:10.0,D. Wade misses 2-pt shot from 6 ft,,32-46,,
5:09.0,,,32-46,,Defensive rebound by A. Drummond
5:08.0,Personal foul by J. Winslow (drawn by K. Caldwell-Pope),,32-46,,
5:08.0,,,32-46,,E. Ilyasova enters the game for A. Tolliver
4:55.0,,,32-46,,M. Morris misses 2-pt shot from 17 ft
4:55.0,Defensive rebound by J. Winslow,,32-46,,
4:40.0,Turnover by D. Wade (bad pass; steal by A. Drummond),,32-46,,
4:26.0,,,32-48,2,A. Drummond makes 2-pt shot at rim
4:05.0,G. Green makes 2-pt shot from 8 ft (assist by G. Dragic),2,34-48,,
3:48.0,,,34-48,,A. Drummond misses 2-pt shot from 6 ft (block by H. Whiteside)
3:48.0,Defensive rebound by Team,,34-48,,
3:48.0,,,34-48,,S. Johnson enters the game for M. Morris
3:48.0,,,34-48,,Technical foul by A. Drummond
3:48.0,G. Green makes technical free throw,1,35-48,,
3:30.0,G. Green misses 2-pt shot from 3 ft (block by A. Drummond),,35-48,,
3:30.0,,,35-48,,Defensive rebound by R. Jackson
3:26.0,,,35-48,,A. Drummond misses 2-pt shot from 1 ft (block by D. Wade)
3:26.0,,,35-48,,Offensive rebound by Team
3:26.0,C. Bosh enters the game for J. Winslow,,35-48,,
3:17.0,,,35-48,,K. Caldwell-Pope misses 2-pt shot at rim (block by H. Whiteside)
3:17.0,,,35-48,,Offensive rebound by Team
3:12.0,,,35-48,,Turnover by A. Drummond (step out of bounds)
2:53.0,,,35-48,,Detroit full timeout
2:49.0,C. Bosh misses 2-pt shot from 6 ft,,35-48,,
2:47.0,,,35-48,,Defensive rebound by A. Drummond
2:39.0,,,35-48,,R. Jackson misses 3-pt shot from 26 ft
2:38.0,,,35-48,,Offensive rebound by S. Johnson
2:31.0,,,35-48,,S. Johnson misses 2-pt shot from 2 ft
2:27.0,,,35-48,,Offensive rebound by A. Drummond
2:22.0,,,35-50,2,A. Drummond makes 2-pt shot from 1 ft
2:16.0,G. Dragic makes 2-pt shot from 16 ft,2,37-50,,
2:01.0,,,37-50,,A. Drummond misses 2-pt shot at rim
2:00.0,Defensive rebound by C. Bosh,,37-50,,
1:59.0,Shooting foul by S. Johnson (drawn by G. Dragic),,37-50,,
1:59.0,G. Dragic makes free throw 1 of 2,1,38-50,,
1:59.0,,,38-50,,M. Morris enters the game for S. Johnson
1:59.0,G. Dragic makes free throw 2 of 2,1,39-50,,
1:37.0,Violation by H. Whiteside (def goaltending),,39-50,,
1:37.0,,,39-52,2,R. Jackson makes 2-pt shot from 4 ft
1:20.0,Turnover by G. Green (bad pass),,39-52,,
1:20.0,T. Johnson enters the game for G. Green,,39-52,,
1:06.0,,,39-54,2,R. Jackson makes 2-pt shot from 11 ft
0:57.0,G. Dragic misses 2-pt shot from 4 ft,,39-54,,
0:57.0,,,39-54,,Defensive rebound by R. Jackson
0:50.0,,,39-57,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by R. Jackson)
0:43.0,H. Whiteside makes 2-pt shot at rim (assist by D. Wade),2,41-57,,
0:31.0,,,41-60,3,M. Morris makes 3-pt shot from 27 ft (assist by R. Jackson)
0:11.0,T. Johnson misses 3-pt shot from 26 ft,,41-60,,
0:11.0,Offensive rebound by H. Whiteside,,41-60,,
0:10.0,H. Whiteside makes 2-pt shot from 1 ft,2,43-60,,
0:03.0,,,43-60,,R. Jackson misses 2-pt shot from 4 ft
0:02.0,,,43-60,,Offensive rebound by A. Drummond
0:02.0,,,43-60,,A. Drummond misses 2-pt shot from 2 ft
0:01.0,,,43-60,,Offensive rebound by A. Drummond
0:01.0,,,43-60,,A. Drummond misses 2-pt shot at rim (block by G. Dragic)
0:00.0,,,43-60,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,43-60,,K. Caldwell-Pope misses 3-pt shot from 23 ft
11:39.0,Defensive rebound by H. Whiteside,,43-60,,
11:29.0,D. Wade misses 2-pt shot from 18 ft,,43-60,,
11:28.0,,,43-60,,Defensive rebound by A. Drummond
11:17.0,,,43-62,2,M. Morris makes 2-pt shot from 13 ft (assist by K. Caldwell-Pope)
10:51.0,D. Wade misses 2-pt shot from 5 ft,,43-62,,
10:49.0,,,43-62,,Defensive rebound by A. Drummond
10:38.0,,,43-65,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by R. Jackson)
10:16.0,C. Bosh misses 2-pt shot from 12 ft,,43-65,,
10:16.0,Offensive rebound by H. Whiteside,,43-65,,
10:13.0,H. Whiteside makes 2-pt shot at rim,2,45-65,,
10:04.0,,,45-68,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by R. Jackson)
9:41.0,G. Green misses 2-pt shot from 11 ft,,45-68,,
9:39.0,,,45-68,,Defensive rebound by A. Drummond
9:31.0,,,45-68,,K. Caldwell-Pope misses 2-pt shot from 11 ft
9:31.0,Defensive rebound by H. Whiteside,,45-68,,
9:11.0,Turnover by H. Whiteside (3 sec),,45-68,,
9:00.0,,,45-68,,R. Jackson misses 2-pt shot at rim
8:59.0,Defensive rebound by H. Whiteside,,45-68,,
8:50.0,G. Dragic misses 2-pt shot from 13 ft,,45-68,,
8:50.0,,,45-68,,Defensive rebound by E. Ilyasova
8:40.0,Personal foul by C. Bosh (drawn by E. Ilyasova),,45-68,,
8:27.0,,,45-71,3,R. Jackson makes 3-pt shot from 26 ft
8:27.0,Miami full timeout,,45-71,,
8:18.0,,,45-71,,Personal foul by R. Jackson (drawn by D. Wade)
8:09.0,C. Bosh misses 2-pt shot from 14 ft,,45-71,,
8:08.0,,,45-71,,Defensive rebound by K. Caldwell-Pope
8:03.0,,,45-71,,Turnover by R. Jackson (bad pass; steal by D. Wade)
7:57.0,Shooting foul by M. Morris (drawn by H. Whiteside),,45-71,,
7:57.0,H. Whiteside misses free throw 1 of 2,,45-71,,
7:57.0,Offensive rebound by Team,,45-71,,
7:57.0,H. Whiteside makes free throw 2 of 2,1,46-71,,
7:41.0,,,46-71,,K. Caldwell-Pope misses 2-pt shot from 14 ft
7:41.0,Defensive rebound by H. Whiteside,,46-71,,
7:22.0,D. Wade misses 2-pt shot from 18 ft,,46-71,,
7:22.0,,,46-71,,Defensive rebound by E. Ilyasova
7:15.0,,,46-71,,K. Caldwell-Pope misses 2-pt shot at rim
7:13.0,Defensive rebound by G. Green,,46-71,,
7:12.0,D. Wade misses 2-pt shot from 16 ft,,46-71,,
7:10.0,,,46-71,,Defensive rebound by R. Jackson
6:56.0,,,46-74,3,R. Jackson makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
6:42.0,G. Green makes 3-pt shot from 25 ft (assist by C. Bosh),3,49-74,,
6:10.0,,,49-74,,A. Drummond misses 2-pt shot from 8 ft
6:08.0,Defensive rebound by C. Bosh,,49-74,,
6:01.0,G. Dragic misses 3-pt shot from 22 ft,,49-74,,
6:00.0,,,49-74,,Defensive rebound by A. Drummond
5:40.0,,,49-74,,K. Caldwell-Pope misses 2-pt shot from 16 ft
5:40.0,,,49-74,,Offensive rebound by A. Drummond
5:37.0,,,49-76,2,A. Drummond makes 2-pt shot at rim
5:20.0,G. Dragic misses 2-pt shot at rim (block by A. Drummond),,49-76,,
5:19.0,,,49-76,,Defensive rebound by M. Morris
5:13.0,,,49-76,,K. Caldwell-Pope misses 3-pt shot from 26 ft
5:13.0,Defensive rebound by Team,,49-76,,
5:13.0,J. Winslow enters the game for C. Bosh,,49-76,,
5:00.0,,,49-76,,Personal foul by K. Caldwell-Pope (drawn by D. Wade)
5:00.0,,,49-76,,S. Johnson enters the game for M. Morris
4:48.0,G. Green makes 3-pt shot from 27 ft (assist by G. Dragic),3,52-76,,
4:24.0,,,52-79,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by R. Jackson)
4:07.0,,,52-79,,Personal foul by E. Ilyasova (drawn by J. Winslow)
4:07.0,T. Johnson enters the game for D. Wade,,52-79,,
4:02.0,G. Green misses 2-pt shot from 17 ft,,52-79,,
4:01.0,Offensive rebound by H. Whiteside,,52-79,,
3:58.0,H. Whiteside makes 2-pt shot at rim,2,54-79,,
3:44.0,Personal foul by G. Dragic (drawn by R. Jackson),,54-79,,
3:44.0,,,54-79,,A. Tolliver enters the game for E. Ilyasova
3:38.0,,,54-79,,Turnover by S. Johnson (traveling)
3:29.0,G. Green makes 2-pt shot from 12 ft (assist by G. Dragic),2,56-79,,
3:13.0,,,56-79,,S. Johnson misses 3-pt shot from 24 ft
3:12.0,Defensive rebound by J. Winslow,,56-79,,
3:09.0,Shooting foul by S. Johnson (drawn by G. Green),,56-79,,
3:09.0,G. Green misses free throw 1 of 3,,56-79,,
3:09.0,Offensive rebound by Team,,56-79,,
3:09.0,G. Green makes free throw 2 of 3,1,57-79,,
3:09.0,Turnover by H. Whiteside (offensive goaltending),,57-79,,
2:55.0,,,57-79,,Detroit full timeout
2:55.0,,,57-79,,S. Blake enters the game for R. Jackson
2:51.0,,,57-79,,A. Tolliver misses 2-pt shot from 17 ft
2:51.0,Defensive rebound by H. Whiteside,,57-79,,
2:27.0,G. Dragic makes 2-pt shot from 5 ft,2,59-79,,
2:12.0,,,59-81,2,A. Drummond makes 2-pt shot at rim
2:12.0,,,59-81,,Shooting foul by H. Whiteside (drawn by A. Drummond)
2:12.0,,,59-81,,A. Drummond misses free throw 1 of 1
2:11.0,Defensive rebound by H. Whiteside,,59-81,,
1:54.0,G. Green misses 3-pt shot from 26 ft,,59-81,,
1:54.0,,,59-81,,Defensive rebound by A. Drummond
1:34.0,,,59-81,,S. Johnson misses 2-pt shot from 19 ft
1:34.0,Defensive rebound by H. Whiteside,,59-81,,
1:30.0,Shooting foul by S. Blake (drawn by G. Dragic),,59-81,,
1:30.0,G. Dragic makes free throw 1 of 2,1,60-81,,
1:30.0,G. Dragic misses free throw 2 of 2,,60-81,,
1:28.0,,,60-81,,Defensive rebound by S. Johnson
1:07.0,,,60-81,,A. Tolliver misses 3-pt shot from 26 ft
1:07.0,,,60-81,,Offensive rebound by A. Drummond
1:04.0,,,60-83,2,A. Drummond makes 2-pt shot at rim
0:53.0,J. Winslow makes 2-pt shot from 19 ft,2,62-83,,
0:35.0,,,62-83,,S. Blake misses 3-pt shot from 26 ft
0:34.0,Defensive rebound by H. Whiteside,,62-83,,
0:19.0,T. Johnson misses 2-pt shot from 20 ft,,62-83,,
0:19.0,,,62-83,,Defensive rebound by A. Drummond
0:02.0,,,62-83,,K. Caldwell-Pope misses 3-pt shot from 25 ft
0:01.0,,,62-83,,Offensive rebound by A. Tolliver
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,C. Bosh makes 2-pt shot at rim (assist by G. Green),2,64-83,,
11:15.0,,,64-85,2,M. Morris makes 2-pt shot from 11 ft
11:02.0,J. Winslow misses 2-pt shot from 2 ft (block by A. Baynes),,64-85,,
11:00.0,,,64-85,,Defensive rebound by A. Tolliver
10:45.0,,,64-85,,S. Johnson misses 2-pt shot from 4 ft
10:44.0,Defensive rebound by C. Bosh,,64-85,,
10:31.0,G. Green misses 2-pt shot from 5 ft,,64-85,,
10:30.0,,,64-85,,Defensive rebound by A. Tolliver
10:08.0,,,64-85,,S. Johnson misses 2-pt shot at rim
10:07.0,Defensive rebound by C. Bosh,,64-85,,
9:55.0,,,64-85,,Violation by A. Tolliver (kicked ball)
9:43.0,G. Green misses 3-pt shot from 26 ft,,64-85,,
9:43.0,,,64-85,,Defensive rebound by S. Johnson
9:30.0,,,64-85,,Turnover by S. Blake (lost ball)
9:22.0,T. Johnson makes 2-pt shot at rim (assist by C. Bosh),2,66-85,,
9:01.0,,,66-85,,M. Morris misses 2-pt shot from 11 ft
9:01.0,Defensive rebound by J. Winslow,,66-85,,
8:57.0,Turnover by J. Winslow (bad pass; steal by M. Morris),,66-85,,
8:48.0,,,66-88,3,S. Blake makes 3-pt shot from 25 ft (assist by S. Johnson)
8:26.0,Official timeout,,66-88,,
8:26.0,Offensive foul by G. Green,,66-88,,
8:26.0,Turnover by G. Green (offensive foul),,66-88,,
8:08.0,,,66-88,,S. Johnson misses 2-pt shot at rim (block by G. Green)
8:07.0,,,66-88,,Offensive rebound by S. Johnson
8:05.0,,,66-90,2,S. Johnson makes 2-pt shot at rim
7:54.0,T. Johnson misses 3-pt shot from 26 ft,,66-90,,
7:53.0,,,66-90,,Defensive rebound by A. Baynes
7:33.0,,,66-90,,S. Blake misses 3-pt shot from 27 ft
7:32.0,Defensive rebound by C. Bosh,,66-90,,
7:14.0,G. Green misses 3-pt shot from 25 ft,,66-90,,
7:14.0,,,66-90,,Defensive rebound by Team
7:14.0,Personal foul by T. Johnson (drawn by S. Blake),,66-90,,
7:01.0,,,66-90,,M. Morris misses 2-pt shot from 18 ft
7:00.0,Defensive rebound by J. McRoberts,,66-90,,
6:52.0,Turnover by J. McRoberts (bad pass; steal by S. Johnson),,66-90,,
6:36.0,,,66-90,,S. Johnson misses 2-pt shot from 17 ft
6:36.0,Defensive rebound by J. Winslow,,66-90,,
6:33.0,Shooting foul by S. Johnson (drawn by J. Winslow),,66-90,,
6:33.0,J. Winslow makes free throw 1 of 2,1,67-90,,
6:33.0,,,67-90,,K. Caldwell-Pope enters the game for S. Johnson
6:33.0,,,67-90,,R. Jackson enters the game for S. Blake
6:33.0,H. Whiteside enters the game for C. Bosh,,67-90,,
6:33.0,J. Winslow misses free throw 2 of 2,,67-90,,
6:33.0,,,67-90,,Defensive rebound by A. Baynes
6:17.0,,,67-93,3,A. Tolliver makes 3-pt shot from 25 ft (assist by A. Baynes)
6:01.0,J. McRoberts misses 3-pt shot from 25 ft,,67-93,,
6:00.0,,,67-93,,Defensive rebound by R. Jackson
5:39.0,Violation by H. Whiteside (def goaltending),,67-93,,
5:39.0,,,67-95,2,K. Caldwell-Pope makes 2-pt shot from 6 ft
5:39.0,Miami full timeout,,67-95,,
5:39.0,,,67-95,,A. Drummond enters the game for A. Baynes
5:39.0,J. Richardson enters the game for G. Green,,67-95,,
5:28.0,,,67-95,,Personal foul by K. Caldwell-Pope (drawn by T. Johnson)
5:12.0,J. McRoberts misses 3-pt shot from 26 ft,,67-95,,
5:11.0,Offensive rebound by T. Johnson,,67-95,,
5:08.0,T. Johnson misses 2-pt shot at rim,,67-95,,
5:05.0,,,67-95,,Defensive rebound by M. Morris
4:47.0,,,67-97,2,M. Morris makes 2-pt shot from 15 ft
4:29.0,H. Whiteside makes 2-pt shot from 12 ft (assist by J. Winslow),2,69-97,,
4:12.0,Personal foul by T. Johnson (drawn by R. Jackson),,69-97,,
4:12.0,,,69-97,,S. Blake enters the game for R. Jackson
4:12.0,U. Haslem enters the game for H. Whiteside,,69-97,,
4:12.0,B. Udrih enters the game for T. Johnson,,69-97,,
4:12.0,C. Andersen enters the game for J. McRoberts,,69-97,,
4:01.0,,,69-97,,K. Caldwell-Pope misses 2-pt shot at rim
3:59.0,Defensive rebound by J. Richardson,,69-97,,
3:49.0,J. Richardson misses 2-pt shot from 2 ft (block by A. Drummond),,69-97,,
3:47.0,,,69-97,,Defensive rebound by S. Blake
3:31.0,,,69-97,,Turnover by S. Blake (bad pass; steal by U. Haslem)
3:25.0,J. Winslow misses 2-pt shot from 1 ft,,69-97,,
3:23.0,,,69-97,,Defensive rebound by A. Tolliver
3:09.0,,,69-97,,M. Morris misses 3-pt shot from 26 ft
3:08.0,Defensive rebound by U. Haslem,,69-97,,
2:52.0,B. Udrih makes 2-pt shot from 19 ft (assist by U. Haslem),2,71-97,,
2:45.0,,,71-97,,Detroit full timeout
2:45.0,G. Green enters the game for J. Winslow,,71-97,,
2:45.0,,,71-97,,D. Hilliard enters the game for M. Morris
2:45.0,,,71-97,,R. Bullock enters the game for A. Drummond
2:45.0,,,71-97,,J. Anthony enters the game for K. Caldwell-Pope
2:33.0,Personal foul by G. Green (drawn by D. Hilliard),,71-97,,
2:23.0,,,71-97,,D. Hilliard misses 2-pt shot from 21 ft
2:21.0,,,71-97,,Offensive rebound by A. Tolliver
2:20.0,,,71-97,,A. Tolliver misses 2-pt shot from 1 ft
2:18.0,,,71-97,,Offensive rebound by J. Anthony
2:17.0,,,71-99,2,J. Anthony makes 2-pt shot from 1 ft
1:57.0,U. Haslem makes 2-pt shot from 15 ft (assist by B. Udrih),2,73-99,,
