time,Indiana,pts.away,score,pts.home,Miami
3:13.0,,,25-17,,L. Deng misses 2-pt shot from 17 ft
3:12.0,Defensive rebound by M. Turner,,25-17,,
3:05.0,J. Hill misses 2-pt shot from 8 ft,,25-17,,
3:04.0,,,25-17,,Defensive rebound by G. Dragic
2:58.0,,,25-17,,T. Johnson enters the game for D. Wade
2:58.0,,,25-17,,C. Bosh enters the game for L. Deng
2:42.0,,,25-17,,C. Bosh misses 2-pt shot from 9 ft
2:41.0,Defensive rebound by M. Turner,,25-17,,
2:30.0,Turnover by J. Hill (lost ball; steal by A. Stoudemire),,25-17,,
2:19.0,,,25-17,,C. Bosh misses 3-pt shot from 24 ft
2:18.0,,,25-17,,Offensive rebound by G. Dragic
2:10.0,,,25-19,2,G. Dragic makes 2-pt shot from 1 ft
1:57.0,M. Turner misses 2-pt shot from 18 ft,,25-19,,
1:56.0,,,25-19,,Defensive rebound by A. Stoudemire
1:53.0,,,25-19,,Offensive charge foul by G. Dragic
1:53.0,,,25-19,,Turnover by G. Dragic (offensive foul)
1:53.0,J. Young enters the game for M. Ellis,,25-19,,
1:53.0,,,25-19,,B. Udrih enters the game for G. Dragic
1:32.0,J. Hill makes 2-pt shot from 14 ft (assist by J. Young),2,27-19,,
1:16.0,,,27-19,,T. Johnson misses 3-pt shot from 24 ft
1:15.0,Defensive rebound by M. Turner,,27-19,,
1:09.0,J. Young misses 2-pt shot from 18 ft,,27-19,,
1:08.0,,,27-19,,Defensive rebound by T. Johnson
0:58.0,,,27-19,,T. Johnson misses 2-pt shot from 2 ft (block by J. Hill)
0:57.0,Defensive rebound by Team,,27-19,,
0:34.0,P. George misses 3-pt shot from 23 ft,,27-19,,
0:33.0,,,27-19,,Defensive rebound by A. Stoudemire
0:17.0,,,27-19,,J. Winslow misses 3-pt shot from 25 ft
0:16.0,Defensive rebound by J. Young,,27-19,,
0:02.0,J. Young makes 2-pt shot from 9 ft,2,29-19,,
0:00.0,,,29-19,,B. Udrih misses 3-pt shot from 50 ft
0:00.0,,,29-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,29-21,2,C. Bosh makes 2-pt shot from 1 ft (assist by G. Green)
11:34.0,C. Budinger misses 2-pt shot from 18 ft,,29-21,,
11:33.0,,,29-21,,Defensive rebound by C. Bosh
11:21.0,,,29-21,,C. Bosh misses 3-pt shot from 24 ft
11:20.0,Defensive rebound by J. Young,,29-21,,
11:04.0,Turnover by R. Stuckey (bad pass; steal by G. Green),,29-21,,
10:58.0,,,29-21,,G. Green misses 3-pt shot from 24 ft
10:57.0,Defensive rebound by J. Young,,29-21,,
10:44.0,R. Stuckey misses 2-pt shot from 19 ft,,29-21,,
10:43.0,,,29-21,,Defensive rebound by C. Bosh
10:35.0,,,29-21,,B. Udrih misses 2-pt shot from 1 ft
10:34.0,,,29-21,,Offensive rebound by C. Bosh
10:33.0,,,29-23,2,C. Bosh makes 2-pt shot from 1 ft
10:33.0,,,29-23,,Shooting foul by S. Hill (drawn by C. Bosh)
10:33.0,,,29-23,,C. Bosh misses free throw 1 of 1
10:32.0,Defensive rebound by J. Hill,,29-23,,
10:13.0,J. Young misses 2-pt shot from 16 ft,,29-23,,
10:12.0,,,29-23,,Defensive rebound by T. Johnson
10:03.0,,,29-23,,G. Green misses 2-pt shot from 1 ft
10:02.0,Defensive rebound by J. Hill,,29-23,,
9:56.0,C. Budinger misses 2-pt shot from 6 ft,,29-23,,
9:55.0,Offensive rebound by J. Young,,29-23,,
9:53.0,J. Young misses 2-pt shot from 2 ft,,29-23,,
9:52.0,Offensive rebound by C. Budinger,,29-23,,
9:50.0,C. Budinger misses 2-pt shot from 2 ft,,29-23,,
9:49.0,,,29-23,,Defensive rebound by B. Udrih
9:43.0,,,29-23,,G. Green misses 3-pt shot from 24 ft
9:42.0,Defensive rebound by J. Young,,29-23,,
9:30.0,S. Hill makes 2-pt shot from 3 ft (assist by R. Stuckey),2,31-23,,
9:04.0,,,31-23,,C. Bosh misses 2-pt shot from 19 ft
9:03.0,Defensive rebound by C. Budinger,,31-23,,
8:57.0,J. Hill makes 2-pt shot from 14 ft (assist by R. Stuckey),2,33-23,,
8:40.0,Official timeout,,33-23,,
8:40.0,I. Mahinmi enters the game for J. Hill,,33-23,,
8:31.0,,,33-25,2,C. Bosh makes 2-pt shot from 6 ft (assist by B. Udrih)
8:08.0,S. Hill misses 3-pt shot from 23 ft,,33-25,,
8:07.0,,,33-25,,Defensive rebound by B. Udrih
7:59.0,,,33-28,3,G. Green makes 3-pt shot from 23 ft (assist by B. Udrih)
7:46.0,Turnover by C. Budinger (traveling),,33-28,,
7:32.0,,,33-28,,J. Winslow misses 3-pt shot from 23 ft
7:31.0,Defensive rebound by J. Young,,33-28,,
7:19.0,Shooting foul by T. Johnson (drawn by R. Stuckey),,33-28,,
7:19.0,R. Stuckey makes free throw 1 of 2,1,34-28,,
7:19.0,M. Ellis enters the game for J. Young,,34-28,,
7:19.0,R. Stuckey makes free throw 2 of 2,1,35-28,,
7:10.0,,,35-28,,B. Udrih misses 2-pt shot from 15 ft
7:09.0,Defensive rebound by C. Budinger,,35-28,,
7:03.0,R. Stuckey misses 3-pt shot from 24 ft,,35-28,,
7:02.0,Offensive rebound by Team,,35-28,,
7:02.0,,,35-28,,D. Wade enters the game for J. Winslow
7:02.0,,,35-28,,G. Dragic enters the game for B. Udrih
7:02.0,,,35-28,,A. Stoudemire enters the game for C. Bosh
6:40.0,M. Ellis misses 2-pt shot from 11 ft,,35-28,,
6:39.0,Offensive rebound by M. Ellis,,35-28,,
6:28.0,S. Hill misses 2-pt shot from 3 ft (block by G. Green),,35-28,,
6:27.0,,,35-28,,Defensive rebound by G. Green
6:17.0,,,35-30,2,G. Green makes 2-pt shot from 10 ft
6:16.0,Indiana full timeout,,35-30,,
6:16.0,,,35-30,,L. Deng enters the game for G. Green
5:55.0,Shooting foul by T. Johnson (drawn by R. Stuckey),,35-30,,
5:55.0,,,35-30,,Technical foul by T. Johnson (drawn by R. Stuckey)
5:55.0,R. Stuckey makes technical free throw,1,36-30,,
5:55.0,R. Stuckey makes free throw 1 of 2,1,37-30,,
5:55.0,R. Stuckey makes free throw 2 of 2,1,38-30,,
5:33.0,,,38-30,,T. Johnson misses 3-pt shot from 25 ft
5:32.0,Defensive rebound by C. Budinger,,38-30,,
5:26.0,Turnover by M. Ellis (bad pass),,38-30,,
5:07.0,,,38-32,2,A. Stoudemire makes 2-pt shot at rim (assist by D. Wade)
4:41.0,C. Budinger misses 3-pt shot from 22 ft,,38-32,,
4:40.0,,,38-32,,Defensive rebound by G. Dragic
4:24.0,,,38-35,3,G. Dragic makes 3-pt shot from 23 ft (assist by T. Johnson)
4:22.0,Indiana full timeout,,38-35,,
4:22.0,P. George enters the game for C. Budinger,,38-35,,
4:22.0,L. Allen enters the game for S. Hill,,38-35,,
4:05.0,Turnover by I. Mahinmi (3 sec),,38-35,,
3:43.0,,,38-35,,D. Wade misses 2-pt shot from 20 ft
3:42.0,Defensive rebound by R. Stuckey,,38-35,,
3:35.0,M. Ellis makes 2-pt shot from 1 ft,2,40-35,,
3:17.0,,,40-35,,G. Dragic misses 2-pt shot from 14 ft
3:16.0,Defensive rebound by I. Mahinmi,,40-35,,
3:10.0,R. Stuckey misses 2-pt shot from 1 ft,,40-35,,
3:09.0,Offensive rebound by Team,,40-35,,
3:09.0,,,40-35,,G. Green enters the game for T. Johnson
3:09.0,,,40-35,,C. Bosh enters the game for A. Stoudemire
2:59.0,R. Stuckey misses 2-pt shot from 20 ft,,40-35,,
2:58.0,,,40-35,,Defensive rebound by L. Deng
2:48.0,,,40-35,,Shooting foul by I. Mahinmi (drawn by L. Deng)
2:48.0,,,40-35,,Miami full timeout
2:48.0,G. Robinson enters the game for R. Stuckey,,40-35,,
2:48.0,,,40-36,1,L. Deng makes free throw 1 of 2
2:48.0,,,40-37,1,L. Deng makes free throw 2 of 2
2:36.0,P. George makes 2-pt shot from 18 ft (assist by M. Ellis),2,42-37,,
2:13.0,,,42-37,,D. Wade misses 2-pt shot from 16 ft
2:12.0,Defensive rebound by I. Mahinmi,,42-37,,
1:51.0,M. Ellis makes 3-pt shot from 24 ft,3,45-37,,
1:27.0,,,45-40,3,L. Deng makes 3-pt shot from 24 ft (assist by C. Bosh)
0:59.0,M. Ellis misses 3-pt shot from 26 ft,,45-40,,
0:58.0,,,45-40,,Defensive rebound by C. Bosh
0:51.0,,,45-40,,Shooting foul by I. Mahinmi (drawn by C. Bosh)
0:51.0,,,45-41,1,C. Bosh makes free throw 1 of 2
0:51.0,J. Hill enters the game for I. Mahinmi,,45-41,,
0:51.0,,,45-41,,B. Udrih enters the game for G. Dragic
0:51.0,C. Budinger enters the game for L. Allen,,45-41,,
0:51.0,,,45-41,,J. Winslow enters the game for D. Wade
0:51.0,,,45-42,1,C. Bosh makes free throw 2 of 2
0:33.0,J. Hill makes 2-pt shot from 13 ft,2,47-42,,
0:29.0,,,47-42,,Miami full timeout
0:29.0,,,47-42,,D. Wade enters the game for J. Winslow
0:17.0,Personal foul by J. Hill (drawn by C. Bosh),,47-42,,
0:17.0,,,47-43,1,C. Bosh makes free throw 1 of 2
0:17.0,,,47-43,,J. Winslow enters the game for D. Wade
0:17.0,,,47-44,1,C. Bosh makes free throw 2 of 2
0:04.0,,,47-44,,Personal foul by B. Udrih (drawn by M. Ellis)
0:01.0,P. George misses 3-pt shot from 26 ft,,47-44,,
0:00.0,Offensive rebound by Team,,47-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,47-44,,C. Bosh misses 2-pt shot from 18 ft
11:44.0,Defensive rebound by P. George,,47-44,,
11:28.0,M. Ellis makes 2-pt shot from 14 ft,2,49-44,,
11:10.0,,,49-46,2,C. Bosh makes 2-pt shot from 18 ft (assist by G. Dragic)
10:52.0,P. George makes 3-pt shot from 24 ft (assist by M. Ellis),3,52-46,,
10:32.0,,,52-46,,L. Deng misses 3-pt shot from 25 ft
10:31.0,Defensive rebound by M. Ellis,,52-46,,
10:17.0,M. Ellis makes 2-pt shot from 17 ft,2,54-46,,
9:58.0,,,54-46,,G. Dragic misses 2-pt shot from 18 ft
9:57.0,Defensive rebound by I. Mahinmi,,54-46,,
9:42.0,L. Allen makes 2-pt shot from 2 ft (assist by M. Ellis),2,56-46,,
9:42.0,,,56-46,,Miami full timeout
9:19.0,,,56-46,,Shooting foul by P. George (drawn by L. Deng)
9:19.0,,,56-47,1,L. Deng makes free throw 1 of 2
9:19.0,,,56-47,,L. Deng misses free throw 2 of 2
9:18.0,Defensive rebound by P. George,,56-47,,
9:01.0,I. Mahinmi misses 2-pt shot at rim (block by C. Andersen),,56-47,,
9:00.0,,,56-47,,Defensive rebound by C. Bosh
8:55.0,,,56-47,,Turnover by G. Dragic (bad pass; steal by P. George)
8:49.0,P. George makes 3-pt shot from 25 ft,3,59-47,,
8:22.0,,,59-47,,G. Dragic misses 3-pt shot from 23 ft
8:21.0,Defensive rebound by M. Ellis,,59-47,,
8:15.0,P. George makes 3-pt shot from 25 ft (assist by M. Ellis),3,62-47,,
7:56.0,,,62-47,,D. Wade misses 2-pt shot from 12 ft
7:55.0,Defensive rebound by I. Mahinmi,,62-47,,
7:47.0,M. Ellis misses 2-pt shot from 13 ft,,62-47,,
7:46.0,,,62-47,,Defensive rebound by C. Bosh
7:41.0,,,62-49,2,D. Wade makes 2-pt shot at rim (assist by C. Andersen)
7:19.0,P. George misses 2-pt shot from 11 ft,,62-49,,
7:18.0,Offensive rebound by P. George,,62-49,,
7:16.0,P. George makes 2-pt shot from 1 ft,2,64-49,,
6:53.0,,,64-49,,D. Wade misses 2-pt shot from 18 ft
6:52.0,Defensive rebound by G. Robinson,,64-49,,
6:45.0,Shooting foul by C. Bosh (drawn by I. Mahinmi),,64-49,,
6:45.0,I. Mahinmi makes free throw 1 of 2,1,65-49,,
6:45.0,,,65-49,,T. Johnson enters the game for G. Dragic
6:45.0,,,65-49,,J. Winslow enters the game for C. Andersen
6:45.0,I. Mahinmi makes free throw 2 of 2,1,66-49,,
6:24.0,,,66-51,2,D. Wade makes 2-pt shot from 3 ft
6:24.0,,,66-51,,Shooting foul by I. Mahinmi (drawn by D. Wade)
6:24.0,,,66-52,1,D. Wade makes free throw 1 of 1
6:02.0,I. Mahinmi makes 2-pt shot at rim (assist by M. Ellis),2,68-52,,
5:38.0,,,68-52,,C. Bosh misses 2-pt shot from 19 ft
5:37.0,Defensive rebound by P. George,,68-52,,
5:27.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by P. George),2,70-52,,
5:17.0,,,70-52,,Miami full timeout
5:00.0,,,70-52,,J. Winslow misses 2-pt shot from 16 ft
4:59.0,,,70-52,,Offensive rebound by D. Wade
4:58.0,,,70-54,2,D. Wade makes 2-pt shot from 1 ft
4:45.0,,,70-54,,Personal foul by C. Bosh (drawn by M. Ellis)
4:35.0,G. Robinson misses 3-pt shot from 25 ft,,70-54,,
4:34.0,Offensive rebound by L. Allen,,70-54,,
4:25.0,P. George misses 3-pt shot from 25 ft,,70-54,,
4:24.0,,,70-54,,Defensive rebound by C. Bosh
4:16.0,,,70-56,2,D. Wade makes 2-pt shot from 1 ft
4:04.0,P. George misses 2-pt shot from 12 ft,,70-56,,
4:03.0,,,70-56,,Defensive rebound by C. Bosh
3:58.0,,,70-56,,Shooting foul by L. Allen (drawn by J. Winslow)
3:58.0,,,70-57,1,J. Winslow makes free throw 1 of 2
3:58.0,Indiana full timeout,,70-57,,
3:58.0,R. Stuckey enters the game for G. Robinson,,70-57,,
3:58.0,,,70-58,1,J. Winslow makes free throw 2 of 2
3:45.0,,,70-58,,Personal foul by J. Winslow (drawn by P. George)
3:35.0,M. Ellis misses 2-pt shot from 1 ft,,70-58,,
3:34.0,Offensive rebound by R. Stuckey,,70-58,,
3:29.0,,,70-58,,Personal foul by T. Johnson (drawn by I. Mahinmi)
3:29.0,C. Budinger enters the game for L. Allen,,70-58,,
3:29.0,J. Hill enters the game for I. Mahinmi,,70-58,,
3:08.0,C. Budinger misses 3-pt shot from 25 ft,,70-58,,
3:07.0,,,70-58,,Defensive rebound by L. Deng
2:52.0,,,70-58,,D. Wade misses 2-pt shot from 4 ft
2:51.0,Defensive rebound by R. Stuckey,,70-58,,
2:29.0,M. Ellis misses 2-pt shot from 6 ft (block by C. Bosh),,70-58,,
2:28.0,,,70-58,,Defensive rebound by T. Johnson
2:10.0,,,70-60,2,T. Johnson makes 2-pt shot from 1 ft
1:56.0,M. Ellis misses 3-pt shot from 24 ft,,70-60,,
1:55.0,,,70-60,,Defensive rebound by D. Wade
1:49.0,,,70-60,,Shooting foul by J. Hill (drawn by D. Wade)
1:49.0,,,70-61,1,D. Wade makes free throw 1 of 2
1:49.0,J. Young enters the game for M. Ellis,,70-61,,
1:49.0,,,70-62,1,D. Wade makes free throw 2 of 2
1:33.0,P. George makes 2-pt shot at rim,2,72-62,,
1:11.0,,,72-62,,T. Johnson misses 2-pt shot from 2 ft (block by C. Budinger)
1:10.0,,,72-62,,Offensive rebound by T. Johnson
1:09.0,,,72-62,,T. Johnson misses 2-pt shot from 1 ft
1:08.0,,,72-62,,Offensive rebound by T. Johnson
1:07.0,,,72-64,2,T. Johnson makes 2-pt shot from 1 ft
0:56.0,J. Hill makes 2-pt shot from 17 ft (assist by J. Young),2,74-64,,
0:41.0,,,74-64,,C. Bosh misses 2-pt shot from 1 ft
0:40.0,Defensive rebound by J. Hill,,74-64,,
0:34.0,R. Stuckey misses 2-pt shot from 7 ft,,74-64,,
0:33.0,,,74-64,,Defensive rebound by J. Winslow
0:13.0,,,74-64,,Shooting foul by R. Stuckey (drawn by D. Wade)
0:13.0,,,74-65,1,D. Wade makes free throw 1 of 2
0:13.0,,,74-65,,G. Green enters the game for L. Deng
0:13.0,,,74-66,1,D. Wade makes free throw 2 of 2
0:01.0,P. George misses 3-pt shot from 25 ft,,74-66,,
0:00.0,Offensive rebound by Team,,74-66,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Shooting foul by G. Dragic (drawn by J. Young),,74-66,,
11:50.0,J. Young misses free throw 1 of 2,,74-66,,
11:50.0,Offensive rebound by Team,,74-66,,
11:50.0,J. Young makes free throw 2 of 2,1,75-66,,
11:28.0,,,75-68,2,T. Johnson makes 2-pt shot from 2 ft
11:28.0,,,75-68,,Shooting foul by R. Stuckey (drawn by T. Johnson)
11:28.0,,,75-68,,T. Johnson misses free throw 1 of 1
11:27.0,Defensive rebound by J. Hill,,75-68,,
11:04.0,J. Young misses 2-pt shot from 19 ft,,75-68,,
11:03.0,,,75-68,,Defensive rebound by G. Green
10:40.0,,,75-68,,G. Dragic misses 2-pt shot from 12 ft
10:39.0,,,75-68,,Offensive rebound by G. Dragic
10:38.0,,,75-70,2,G. Dragic makes 2-pt shot from 1 ft
10:22.0,R. Stuckey misses 2-pt shot from 16 ft,,75-70,,
10:21.0,,,75-70,,Defensive rebound by A. Stoudemire
10:12.0,,,75-70,,G. Green misses 3-pt shot from 24 ft
10:11.0,Defensive rebound by J. Hill,,75-70,,
9:55.0,S. Hill misses 2-pt shot from 12 ft (block by A. Stoudemire),,75-70,,
9:54.0,Offensive rebound by J. Hill,,75-70,,
9:53.0,Turnover by J. Hill (lost ball),,75-70,,
9:39.0,,,75-72,2,G. Dragic makes 2-pt shot from 1 ft
9:39.0,Indiana full timeout,,75-72,,
9:39.0,P. George enters the game for C. Budinger,,75-72,,
9:23.0,,,75-72,,Personal foul by J. Winslow (drawn by P. George)
9:16.0,P. George misses 2-pt shot from 14 ft,,75-72,,
9:15.0,,,75-72,,Defensive rebound by G. Dragic
9:09.0,,,75-72,,Shooting foul by R. Stuckey (drawn by A. Stoudemire)
9:09.0,,,75-72,,A. Stoudemire misses free throw 1 of 2
9:09.0,,,75-72,,Offensive rebound by Team
9:09.0,M. Ellis enters the game for J. Young,,75-72,,
9:09.0,,,75-72,,A. Stoudemire misses free throw 2 of 2
9:08.0,Defensive rebound by J. Hill,,75-72,,
8:49.0,R. Stuckey makes 2-pt shot from 11 ft (assist by J. Hill),2,77-72,,
8:30.0,,,77-72,,Turnover by G. Dragic (lost ball; steal by J. Hill)
8:28.0,,,77-72,,Personal foul by G. Dragic (drawn by J. Hill)
8:14.0,P. George makes 2-pt shot from 2 ft,2,79-72,,
8:12.0,,,79-72,,Miami full timeout
8:12.0,,,79-72,,C. Bosh enters the game for A. Stoudemire
8:12.0,I. Mahinmi enters the game for J. Hill,,79-72,,
8:02.0,Personal foul by I. Mahinmi (drawn by C. Bosh),,79-72,,
8:02.0,,,79-73,1,C. Bosh makes free throw 1 of 2
8:02.0,,,79-74,1,C. Bosh makes free throw 2 of 2
7:49.0,P. George misses 3-pt shot from 24 ft,,79-74,,
7:48.0,Offensive rebound by Team,,79-74,,
7:22.0,R. Stuckey misses 3-pt shot from 26 ft,,79-74,,
7:21.0,Offensive rebound by I. Mahinmi,,79-74,,
7:14.0,P. George makes 2-pt shot from 1 ft,2,81-74,,
6:51.0,,,81-76,2,J. Winslow makes 2-pt shot from 2 ft (assist by T. Johnson)
6:24.0,P. George misses 2-pt shot from 4 ft,,81-76,,
6:23.0,,,81-76,,Defensive rebound by J. Winslow
6:08.0,,,81-79,3,C. Bosh makes 3-pt shot from 25 ft (assist by G. Dragic)
5:50.0,P. George makes 2-pt shot from 2 ft,2,83-79,,
5:33.0,,,83-81,2,C. Bosh makes 2-pt shot from 9 ft
5:25.0,P. George misses 3-pt shot from 24 ft,,83-81,,
5:24.0,Offensive rebound by S. Hill,,83-81,,
5:23.0,Shooting foul by C. Bosh (drawn by S. Hill),,83-81,,
5:23.0,S. Hill makes free throw 1 of 2,1,84-81,,
5:23.0,,,84-81,,D. Wade enters the game for G. Green
5:23.0,C. Budinger enters the game for P. George,,84-81,,
5:23.0,S. Hill makes free throw 2 of 2,1,85-81,,
5:09.0,,,85-81,,G. Dragic misses 2-pt shot from 16 ft
5:08.0,,,85-81,,Offensive rebound by Team
5:08.0,Loose ball foul by S. Hill (drawn by D. Wade),,85-81,,
5:08.0,L. Allen enters the game for S. Hill,,85-81,,
4:54.0,,,85-81,,T. Johnson misses 3-pt shot from 25 ft
4:53.0,Defensive rebound by R. Stuckey,,85-81,,
4:47.0,L. Allen misses 2-pt shot from 2 ft (block by J. Winslow),,85-81,,
4:46.0,,,85-81,,Defensive rebound by T. Johnson
4:29.0,,,85-81,,D. Wade misses 2-pt shot from 2 ft
4:28.0,,,85-81,,Offensive rebound by J. Winslow
4:26.0,,,85-83,2,J. Winslow makes 2-pt shot from 2 ft
4:06.0,R. Stuckey makes 2-pt shot from 19 ft (assist by L. Allen),2,87-83,,
3:52.0,Personal foul by L. Allen (drawn by C. Bosh),,87-83,,
3:52.0,,,87-84,1,C. Bosh makes free throw 1 of 2
3:52.0,P. George enters the game for M. Ellis,,87-84,,
3:52.0,,,87-85,1,C. Bosh makes free throw 2 of 2
3:29.0,P. George misses 2-pt shot from 13 ft,,87-85,,
3:28.0,,,87-85,,Defensive rebound by D. Wade
3:23.0,Personal foul by P. George (drawn by D. Wade),,87-85,,
3:23.0,,,87-86,1,D. Wade makes free throw 1 of 2
3:23.0,,,87-87,1,D. Wade makes free throw 2 of 2
