time,LA Clippers,pts.away,score,pts.home,Phoenix
5:37.0,W. Johnson misses 2-pt shot from 8 ft,,8-12,,
5:35.0,,,8-12,,Defensive rebound by J. Leuer
5:30.0,,,8-12,,Phoenix full timeout
5:30.0,C. Wilcox enters the game for P. Prigioni,,8-12,,
5:30.0,,,8-12,,A. Goodwin enters the game for J. Leuer
5:30.0,,,8-12,,M. Teletovic enters the game for R. Price
5:29.0,Personal foul by W. Johnson,,8-12,,
5:29.0,,,8-13,1,A. Len makes free throw 1 of 2
5:29.0,,,8-14,1,A. Len makes free throw 2 of 2
5:16.0,A. Rivers misses 3-pt shot from 24 ft,,8-14,,
5:15.0,,,8-14,,Defensive rebound by M. Teletovic
5:08.0,,,8-16,2,P. Tucker makes 2-pt shot from 1 ft (assist by A. Goodwin)
5:08.0,,,8-16,,Shooting foul by J. Green (drawn by P. Tucker)
5:08.0,,,8-16,,P. Tucker misses free throw 1 of 1
5:07.0,Defensive rebound by J. Ayres,,8-16,,
4:53.0,,,8-16,,Def 3 sec tech foul by A. Len
4:53.0,A. Rivers makes technical free throw,1,9-16,,
4:44.0,C. Wilcox makes 3-pt shot from 24 ft (assist by A. Rivers),3,12-16,,
4:22.0,,,12-16,,A. Goodwin misses 2-pt shot from 19 ft
4:22.0,,,12-16,,Offensive rebound by Team
4:22.0,Loose ball foul by A. Rivers,,12-16,,
4:22.0,,,12-17,1,P. Tucker makes free throw 1 of 2
4:22.0,,,12-18,1,P. Tucker makes free throw 2 of 2
4:12.0,J. Ayres makes 2-pt shot from 14 ft (assist by A. Rivers),2,14-18,,
3:49.0,,,14-18,,A. Len misses 2-pt shot from 8 ft
3:48.0,Defensive rebound by J. Green,,14-18,,
3:43.0,Turnover by J. Green (lost ball; steal by A. Goodwin),,14-18,,
3:39.0,,,14-18,,Turnover by A. Goodwin (lost ball; steal by W. Johnson)
3:31.0,A. Rivers makes 3-pt shot from 23 ft (assist by J. Green),3,17-18,,
3:14.0,,,17-18,,Turnover by D. Booker (lost ball)
3:02.0,A. Rivers misses 2-pt shot from 2 ft,,17-18,,
3:01.0,Offensive rebound by A. Rivers,,17-18,,
2:58.0,A. Rivers misses 2-pt shot at rim,,17-18,,
2:57.0,,,17-18,,Defensive rebound by A. Len
2:45.0,,,17-18,,D. Booker misses 3-pt shot from 26 ft
2:45.0,Defensive rebound by A. Rivers,,17-18,,
2:32.0,C. Wilcox makes 3-pt shot from 23 ft (assist by A. Rivers),3,20-18,,
2:16.0,,,20-18,,D. Booker misses 3-pt shot from 24 ft
2:15.0,Defensive rebound by J. Green,,20-18,,
2:03.0,W. Johnson misses 3-pt shot from 23 ft,,20-18,,
2:02.0,,,20-18,,Defensive rebound by P. Tucker
1:59.0,,,20-18,,Shooting foul by W. Johnson (drawn by M. Teletovic)
1:59.0,LA Clippers full timeout,,20-18,,
1:59.0,,,20-18,,A. Williams enters the game for A. Len
1:59.0,,,20-18,,J. Jenkins enters the game for D. Booker
1:59.0,P. Prigioni enters the game for A. Rivers,,20-18,,
1:59.0,,,20-19,1,M. Teletovic makes free throw 1 of 2
1:59.0,,,20-20,1,M. Teletovic makes free throw 2 of 2
1:48.0,W. Johnson makes 3-pt shot from 22 ft (assist by P. Prigioni),3,23-20,,
1:30.0,,,23-20,,M. Teletovic misses 2-pt shot from 6 ft
1:27.0,Defensive rebound by J. Ayres,,23-20,,
1:20.0,P. Prigioni misses 2-pt shot from 15 ft,,23-20,,
1:19.0,Offensive rebound by P. Prigioni,,23-20,,
1:05.0,J. Ayres makes 2-pt shot from 1 ft (assist by J. Green),2,25-20,,
0:59.0,,,25-20,,M. Teletovic misses 3-pt shot from 25 ft
0:58.0,Defensive rebound by C. Wilcox,,25-20,,
0:46.0,,,25-20,,Personal foul by M. Teletovic
0:41.0,C. Wilcox misses 2-pt shot from 18 ft,,25-20,,
0:40.0,,,25-20,,Defensive rebound by A. Williams
0:30.0,,,25-23,3,P. Tucker makes 3-pt shot from 24 ft (assist by A. Goodwin)
0:20.0,Shooting foul by A. Williams (drawn by J. Ayres),,25-23,,
0:20.0,J. Ayres makes free throw 1 of 2,1,26-23,,
0:20.0,B. Dawson enters the game for W. Johnson,,26-23,,
0:20.0,J. Ayres makes free throw 2 of 2,1,27-23,,
0:03.0,,,27-25,2,A. Williams makes 2-pt shot from 1 ft
0:00.0,P. Prigioni misses 3-pt shot from 63 ft,,27-25,,
0:00.0,Offensive rebound by Team,,27-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,W. Johnson makes 2-pt shot from 18 ft (assist by J. Green),2,29-25,,
11:31.0,,,29-27,2,A. Williams makes 2-pt shot at rim (assist by M. Teletovic)
11:31.0,,,29-27,,Shooting foul by J. Ayres (drawn by A. Williams)
11:31.0,,,29-28,1,A. Williams makes free throw 1 of 1
11:10.0,J. Ayres misses 2-pt shot from 1 ft (block by A. Williams),,29-28,,
11:09.0,,,29-28,,Defensive rebound by C. Budinger
11:00.0,,,29-30,2,A. Williams makes 2-pt shot from 8 ft
10:49.0,Turnover by J. Green (lost ball; steal by A. Williams),,29-30,,
10:42.0,,,29-30,,A. Goodwin misses 2-pt shot from 1 ft
10:41.0,,,29-30,,Offensive rebound by C. Budinger
10:41.0,,,29-32,2,C. Budinger makes 2-pt shot at rim
10:17.0,J. Green misses 2-pt shot from 17 ft,,29-32,,
10:15.0,,,29-32,,Defensive rebound by A. Williams
10:03.0,,,29-34,2,M. Teletovic makes 2-pt shot from 3 ft
10:03.0,LA Clippers full timeout,,29-34,,
10:03.0,P. Pierce enters the game for J. Ayres,,29-34,,
9:57.0,,,29-34,,Shooting block foul by A. Williams (drawn by J. Green)
9:57.0,J. Green makes free throw 1 of 2,1,30-34,,
9:57.0,J. Green makes free throw 2 of 2,1,31-34,,
9:47.0,,,31-37,3,M. Teletovic makes 3-pt shot from 24 ft (assist by J. Jenkins)
9:32.0,J. Green makes 2-pt shot from 11 ft (assist by P. Prigioni),2,33-37,,
9:15.0,,,33-37,,A. Goodwin misses 2-pt shot from 4 ft
9:12.0,Defensive rebound by P. Pierce,,33-37,,
9:06.0,W. Johnson makes 3-pt shot from 23 ft (assist by P. Prigioni),3,36-37,,
8:56.0,A. Rivers enters the game for W. Johnson,,36-37,,
8:52.0,Personal foul by C. Wilcox,,36-37,,
8:45.0,,,36-37,,C. Budinger misses 3-pt shot from 24 ft
8:45.0,,,36-37,,Offensive rebound by A. Williams
8:42.0,,,36-39,2,A. Williams makes 2-pt shot from 1 ft
8:18.0,J. Green misses 2-pt shot from 1 ft,,36-39,,
8:16.0,Offensive rebound by J. Green,,36-39,,
8:16.0,J. Green makes 2-pt shot from 2 ft,2,38-39,,
8:03.0,,,38-39,,C. Budinger misses 2-pt shot from 2 ft (block by C. Wilcox)
8:00.0,Defensive rebound by C. Wilcox,,38-39,,
7:57.0,C. Wilcox makes 2-pt shot from 1 ft,2,40-39,,
7:56.0,,,40-39,,Phoenix full timeout
7:56.0,,,40-39,,D. Booker enters the game for J. Jenkins
7:56.0,,,40-39,,A. Len enters the game for C. Budinger
7:41.0,,,40-39,,M. Teletovic misses 3-pt shot from 25 ft
7:41.0,,,40-39,,Offensive rebound by A. Williams
7:40.0,,,40-39,,Shooting foul by P. Pierce (drawn by A. Williams)
7:40.0,,,40-40,1,A. Williams makes free throw 1 of 2
7:40.0,,,40-41,1,A. Williams makes free throw 2 of 2
7:27.0,P. Pierce misses 3-pt shot from 22 ft,,40-41,,
7:26.0,,,40-41,,Defensive rebound by A. Goodwin
7:20.0,,,40-43,2,A. Goodwin makes 2-pt shot at rim
7:04.0,A. Rivers makes 2-pt shot from 1 ft,2,42-43,,
6:50.0,,,42-43,,M. Teletovic misses 2-pt shot from 9 ft
6:48.0,Defensive rebound by P. Prigioni,,42-43,,
6:37.0,C. Wilcox misses 3-pt shot from 24 ft,,42-43,,
6:37.0,,,42-43,,Defensive rebound by M. Teletovic
6:29.0,,,42-43,,A. Williams misses 2-pt shot from 4 ft
6:28.0,Defensive rebound by J. Green,,42-43,,
6:19.0,J. Green misses 3-pt shot from 24 ft,,42-43,,
6:17.0,,,42-43,,Defensive rebound by A. Goodwin
6:03.0,,,42-45,2,A. Goodwin makes 2-pt shot from 7 ft
6:03.0,,,42-45,,Shooting foul by C. Wilcox (drawn by A. Goodwin)
6:03.0,C. Aldrich enters the game for J. Green,,42-45,,
6:03.0,,,42-45,,P. Tucker enters the game for A. Williams
6:03.0,,,42-45,,A. Goodwin misses free throw 1 of 1
6:03.0,Defensive rebound by C. Wilcox,,42-45,,
5:54.0,P. Prigioni misses 3-pt shot from 25 ft,,42-45,,
5:53.0,Offensive rebound by C. Aldrich,,42-45,,
5:49.0,C. Wilcox misses 3-pt shot from 24 ft,,42-45,,
5:48.0,,,42-45,,Defensive rebound by M. Teletovic
5:42.0,,,42-45,,A. Goodwin misses 2-pt shot at rim
5:41.0,,,42-45,,Offensive rebound by Team
5:41.0,,,42-45,,R. Price enters the game for A. Goodwin
5:41.0,W. Johnson enters the game for C. Wilcox,,42-45,,
5:37.0,,,42-47,2,D. Booker makes 2-pt shot from 19 ft (assist by P. Tucker)
5:11.0,P. Pierce makes 2-pt shot from 17 ft,2,44-47,,
4:59.0,,,44-47,,P. Tucker misses 2-pt shot from 2 ft (block by P. Pierce)
4:56.0,,,44-47,,Offensive rebound by M. Teletovic
4:56.0,,,44-49,2,M. Teletovic makes 2-pt shot at rim
4:44.0,W. Johnson misses 2-pt shot from 15 ft,,44-49,,
4:44.0,,,44-49,,Defensive rebound by P. Tucker
4:34.0,,,44-49,,A. Len misses 2-pt shot at rim
4:32.0,Defensive rebound by C. Aldrich,,44-49,,
4:21.0,Shooting foul by P. Tucker (drawn by A. Rivers),,44-49,,
4:21.0,A. Rivers makes 2-pt shot from 2 ft,2,46-49,,
4:21.0,,,46-49,,J. Leuer enters the game for M. Teletovic
4:21.0,A. Rivers misses free throw 1 of 1,,46-49,,
4:20.0,,,46-49,,Defensive rebound by J. Leuer
3:58.0,,,46-51,2,A. Len makes 2-pt shot at rim (assist by R. Price)
3:40.0,W. Johnson makes 3-pt shot from 25 ft (assist by P. Prigioni),3,49-51,,
3:25.0,,,49-51,,D. Booker misses 2-pt shot from 2 ft
3:24.0,Defensive rebound by C. Aldrich,,49-51,,
3:15.0,P. Pierce makes 2-pt shot from 10 ft,2,51-51,,
2:56.0,,,51-53,2,J. Leuer makes 2-pt shot from 17 ft (assist by R. Price)
2:35.0,A. Rivers makes 2-pt shot from 10 ft,2,53-53,,
2:23.0,,,53-53,,A. Len misses 2-pt shot from 11 ft (block by C. Aldrich)
2:22.0,Defensive rebound by C. Aldrich,,53-53,,
2:13.0,A. Rivers makes 2-pt shot from 2 ft,2,55-53,,
1:58.0,,,55-56,3,R. Price makes 3-pt shot from 23 ft (assist by P. Tucker)
1:46.0,A. Rivers misses 3-pt shot from 24 ft,,55-56,,
1:46.0,,,55-56,,Defensive rebound by Team
1:46.0,Official timeout,,55-56,,
1:46.0,J. Ayres enters the game for C. Aldrich,,55-56,,
1:35.0,,,55-58,2,A. Len makes 2-pt shot at rim (assist by D. Booker)
1:10.0,Turnover by W. Johnson (lost ball),,55-58,,
1:00.0,,,55-60,2,D. Booker makes 2-pt shot from 1 ft
0:57.0,Offensive foul by J. Ayres,,55-60,,
0:57.0,Turnover by J. Ayres (offensive foul),,55-60,,
0:57.0,J. Green enters the game for W. Johnson,,55-60,,
0:48.0,,,55-60,,D. Booker misses 2-pt shot from 19 ft
0:44.0,Defensive rebound by J. Ayres,,55-60,,
0:42.0,Turnover by P. Prigioni (lost ball; steal by R. Price),,55-60,,
0:38.0,,,55-62,2,P. Tucker makes 2-pt shot at rim (assist by R. Price)
0:38.0,LA Clippers full timeout,,55-62,,
0:38.0,W. Johnson enters the game for J. Green,,55-62,,
0:33.0,W. Johnson misses 3-pt shot from 25 ft,,55-62,,
0:32.0,,,55-62,,Defensive rebound by J. Leuer
0:09.0,,,55-62,,R. Price misses 3-pt shot from 25 ft
0:08.0,,,55-62,,Offensive rebound by J. Leuer
0:02.0,,,55-62,,A. Len misses 2-pt shot from 5 ft (block by W. Johnson)
0:01.0,Defensive rebound by P. Prigioni,,55-62,,
0:00.0,P. Prigioni misses 3-pt shot from 52 ft,,55-62,,
0:00.0,Offensive rebound by Team,,55-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,P. Prigioni misses 2-pt shot from 11 ft,,55-62,,
11:36.0,,,55-62,,Defensive rebound by D. Booker
11:22.0,,,55-62,,Turnover by J. Leuer (lost ball; steal by A. Rivers)
11:08.0,A. Rivers misses 2-pt shot from 2 ft,,55-62,,
11:07.0,,,55-62,,Defensive rebound by A. Len
10:48.0,,,55-62,,D. Booker misses 2-pt shot from 11 ft
10:47.0,,,55-62,,Offensive rebound by J. Leuer
10:36.0,,,55-64,2,J. Leuer makes 2-pt shot from 8 ft
10:11.0,P. Pierce misses 3-pt shot from 24 ft,,55-64,,
10:11.0,,,55-64,,Defensive rebound by R. Price
9:59.0,,,55-64,,Turnover by D. Booker (lost ball; steal by P. Prigioni)
9:56.0,Offensive charge foul by P. Prigioni,,55-64,,
9:56.0,Turnover by P. Prigioni (offensive foul),,55-64,,
9:41.0,,,55-64,,Turnover by A. Len (traveling)
9:26.0,A. Rivers misses 3-pt shot from 23 ft,,55-64,,
9:26.0,Offensive rebound by C. Aldrich,,55-64,,
9:20.0,P. Prigioni misses 3-pt shot from 24 ft,,55-64,,
9:19.0,,,55-64,,Defensive rebound by J. Leuer
9:13.0,,,55-64,,D. Booker misses 2-pt shot from 2 ft (block by C. Aldrich)
9:12.0,Defensive rebound by A. Rivers,,55-64,,
9:03.0,L. Mbah a Moute misses 2-pt shot from 1 ft,,55-64,,
9:01.0,,,55-64,,Defensive rebound by J. Leuer
8:56.0,,,55-64,,P. Tucker misses 3-pt shot from 22 ft
8:56.0,Defensive rebound by Team,,55-64,,
8:41.0,Turnover by P. Pierce (lost ball; steal by J. Leuer),,55-64,,
8:40.0,Personal foul by L. Mbah a Moute,,55-64,,
8:30.0,,,55-64,,D. Booker misses 2-pt shot from 20 ft
8:30.0,,,55-64,,Offensive rebound by J. Leuer
8:27.0,,,55-66,2,J. Leuer makes 2-pt shot from 1 ft
8:27.0,LA Clippers full timeout,,55-66,,
8:27.0,W. Johnson enters the game for L. Mbah a Moute,,55-66,,
8:10.0,A. Rivers makes 2-pt shot at rim (assist by C. Aldrich),2,57-66,,
7:54.0,,,57-69,3,D. Booker makes 3-pt shot from 24 ft (assist by P. Tucker)
7:48.0,P. Prigioni misses 2-pt shot from 4 ft (block by D. Booker),,57-69,,
7:48.0,Offensive rebound by Team,,57-69,,
7:36.0,W. Johnson misses 2-pt shot from 8 ft,,57-69,,
7:34.0,,,57-69,,Defensive rebound by J. Leuer
7:21.0,,,57-69,,D. Booker misses 3-pt shot from 24 ft
7:21.0,Defensive rebound by W. Johnson,,57-69,,
7:12.0,P. Prigioni makes 2-pt shot from 1 ft,2,59-69,,
6:58.0,,,59-71,2,A. Len makes 2-pt shot at rim (assist by J. Leuer)
6:40.0,C. Aldrich makes 2-pt shot from 3 ft,2,61-71,,
6:26.0,,,61-71,,Shooting foul by P. Pierce (drawn by J. Leuer)
6:26.0,,,61-72,1,J. Leuer makes free throw 1 of 2
6:26.0,J. Green enters the game for P. Pierce,,61-72,,
6:26.0,,,61-72,,A. Goodwin enters the game for R. Price
6:26.0,,,61-73,1,J. Leuer makes free throw 2 of 2
6:14.0,A. Rivers misses 2-pt shot from 12 ft,,61-73,,
6:13.0,,,61-73,,Defensive rebound by Team
6:13.0,,,61-73,,M. Teletovic enters the game for J. Leuer
6:06.0,,,61-73,,Turnover by D. Booker (lost ball; steal by A. Rivers)
6:02.0,A. Rivers makes 2-pt shot at rim,2,63-73,,
5:47.0,,,63-75,2,A. Goodwin makes 2-pt shot from 16 ft (assist by M. Teletovic)
5:32.0,P. Prigioni misses 3-pt shot from 24 ft,,63-75,,
5:32.0,,,63-75,,Defensive rebound by M. Teletovic
5:20.0,,,63-75,,Turnover by P. Tucker (lost ball; steal by P. Prigioni)
5:16.0,P. Prigioni makes 2-pt shot from 1 ft,2,65-75,,
5:02.0,,,65-75,,Shooting foul by A. Rivers (drawn by D. Booker)
5:02.0,,,65-76,1,D. Booker makes free throw 1 of 2
5:02.0,C. Wilcox enters the game for P. Prigioni,,65-76,,
5:02.0,,,65-77,1,D. Booker makes free throw 2 of 2
4:46.0,A. Rivers misses 3-pt shot from 25 ft,,65-77,,
4:45.0,,,65-77,,Defensive rebound by P. Tucker
4:39.0,,,65-79,2,A. Len makes 2-pt shot at rim (assist by D. Booker)
4:38.0,LA Clippers full timeout,,65-79,,
4:26.0,W. Johnson misses 2-pt shot from 18 ft,,65-79,,
4:25.0,,,65-79,,Defensive rebound by P. Tucker
4:04.0,,,65-79,,D. Booker misses 2-pt shot from 15 ft
4:03.0,Defensive rebound by J. Green,,65-79,,
3:57.0,J. Green misses 2-pt shot from 4 ft,,65-79,,
3:57.0,Offensive rebound by Team,,65-79,,
3:57.0,,,65-79,,Loose ball foul by D. Booker
3:46.0,C. Wilcox misses 2-pt shot from 7 ft,,65-79,,
3:46.0,Offensive rebound by Team,,65-79,,
3:46.0,,,65-79,,Loose ball foul by P. Tucker
3:39.0,,,65-79,,Def 3 sec tech foul by A. Len
3:39.0,A. Rivers misses technical free throw,,65-79,,
3:39.0,Offensive rebound by Team,,65-79,,
3:29.0,C. Wilcox makes 2-pt shot from 17 ft (assist by A. Rivers),2,67-79,,
3:15.0,Personal foul by W. Johnson,,67-79,,
3:15.0,,,67-79,,J. Jenkins enters the game for D. Booker
3:04.0,,,67-79,,M. Teletovic misses 3-pt shot from 22 ft
3:03.0,Defensive rebound by A. Rivers,,67-79,,
2:55.0,C. Aldrich makes 2-pt shot at rim (assist by A. Rivers),2,69-79,,
2:37.0,,,69-79,,A. Len misses 2-pt shot from 18 ft
2:36.0,Defensive rebound by C. Aldrich,,69-79,,
2:25.0,A. Rivers misses 2-pt shot from 16 ft,,69-79,,
2:25.0,,,69-79,,Defensive rebound by M. Teletovic
2:22.0,,,69-79,,Phoenix full timeout
2:22.0,,,69-79,,A. Williams enters the game for A. Len
2:11.0,,,69-79,,A. Williams misses 2-pt shot from 1 ft
2:10.0,Defensive rebound by J. Green,,69-79,,
1:47.0,J. Green makes 2-pt shot from 18 ft (assist by C. Wilcox),2,71-79,,
1:28.0,,,71-79,,M. Teletovic misses 3-pt shot from 23 ft
1:28.0,,,71-79,,Offensive rebound by A. Goodwin
1:22.0,,,71-81,2,A. Goodwin makes 2-pt shot from 13 ft
1:09.0,J. Green makes 2-pt shot from 1 ft,2,73-81,,
0:49.0,Personal foul by C. Wilcox,,73-81,,
0:49.0,,,73-82,1,M. Teletovic makes free throw 1 of 2
0:49.0,,,73-83,1,M. Teletovic makes free throw 2 of 2
0:31.0,J. Green makes 2-pt shot from 4 ft,2,75-83,,
0:11.0,,,75-85,2,A. Goodwin makes 2-pt shot from 1 ft
0:01.0,J. Green misses 3-pt shot from 25 ft,,75-85,,
0:01.0,,,75-85,,Defensive rebound by A. Williams
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,75-85,,Turnover by M. Teletovic (lost ball)
11:22.0,J. Ayres misses 2-pt shot from 4 ft,,75-85,,
11:21.0,,,75-85,,Defensive rebound by A. Williams
11:18.0,,,75-85,,Offensive foul by M. Teletovic
11:18.0,,,75-85,,Turnover by M. Teletovic (offensive foul)
11:06.0,C. Wilcox makes 2-pt shot from 18 ft,2,77-85,,
10:52.0,,,77-85,,Turnover by A. Williams (lost ball; steal by W. Johnson)
10:45.0,W. Johnson misses 2-pt shot from 1 ft,,77-85,,
10:42.0,Offensive rebound by W. Johnson,,77-85,,
10:42.0,W. Johnson misses 2-pt shot at rim,,77-85,,
10:39.0,,,77-85,,Defensive rebound by A. Williams
10:39.0,,,77-85,,Offensive foul by A. Williams
10:39.0,,,77-85,,Turnover by A. Williams (offensive foul)
10:22.0,J. Green misses 2-pt shot from 18 ft,,77-85,,
10:21.0,,,77-85,,Defensive rebound by A. Williams
10:10.0,,,77-87,2,M. Teletovic makes 2-pt shot from 3 ft
9:54.0,J. Ayres misses 2-pt shot at rim (block by A. Williams),,77-87,,
9:53.0,,,77-87,,Defensive rebound by C. Budinger
9:47.0,Personal foul by P. Prigioni,,77-87,,
9:42.0,,,77-87,,J. Jenkins misses 3-pt shot from 24 ft
9:41.0,,,77-87,,Offensive rebound by C. Budinger
9:36.0,,,77-87,,A. Goodwin misses 3-pt shot from 24 ft
9:35.0,,,77-87,,Offensive rebound by C. Budinger
9:31.0,,,77-90,3,J. Jenkins makes 3-pt shot from 24 ft (assist by C. Budinger)
9:17.0,Turnover by P. Prigioni (lost ball),,77-90,,
9:02.0,,,77-90,,M. Teletovic misses 2-pt shot from 9 ft
9:02.0,Defensive rebound by Team,,77-90,,
9:02.0,,,77-90,,Personal foul by A. Williams
8:48.0,J. Ayres makes 2-pt shot at rim (assist by J. Green),2,79-90,,
8:39.0,,,79-90,,A. Goodwin misses 2-pt shot from 1 ft
8:38.0,Defensive rebound by P. Prigioni,,79-90,,
8:34.0,P. Prigioni misses 2-pt shot from 1 ft,,79-90,,
8:31.0,,,79-90,,Defensive rebound by J. Jenkins
8:30.0,Personal foul by J. Green,,79-90,,
8:30.0,Official timeout,,79-90,,
8:27.0,,,79-90,,Shooting foul by J. Ayres (drawn by A. Williams)
8:27.0,,,79-90,,A. Williams misses free throw 1 of 2
8:27.0,,,79-90,,Offensive rebound by Team
8:27.0,,,79-91,1,A. Williams makes free throw 2 of 2
8:17.0,Turnover by J. Ayres (lost ball; steal by C. Budinger),,79-91,,
8:12.0,,,79-91,,A. Goodwin misses 2-pt shot from 3 ft
8:11.0,,,79-91,,Offensive rebound by M. Teletovic
8:11.0,,,79-93,2,M. Teletovic makes 2-pt shot at rim
7:59.0,W. Johnson makes 2-pt shot at rim (assist by J. Green),2,81-93,,
7:45.0,,,81-93,,M. Teletovic misses 3-pt shot from 25 ft
7:45.0,Defensive rebound by J. Green,,81-93,,
7:41.0,Turnover by J. Green (lost ball; steal by C. Budinger),,81-93,,
7:35.0,,,81-95,2,C. Budinger makes 2-pt shot at rim (assist by A. Goodwin)
7:23.0,P. Prigioni makes 2-pt shot from 4 ft,2,83-95,,
7:07.0,,,83-98,3,M. Teletovic makes 3-pt shot from 24 ft (assist by A. Williams)
6:54.0,J. Ayres misses 2-pt shot at rim (block by A. Williams),,83-98,,
6:53.0,,,83-98,,Defensive rebound by J. Jenkins
6:41.0,,,83-100,2,M. Teletovic makes 2-pt shot at rim (assist by A. Williams)
6:29.0,W. Johnson misses 3-pt shot from 24 ft,,83-100,,
6:29.0,,,83-100,,Defensive rebound by A. Williams
6:12.0,,,83-100,,A. Goodwin misses 3-pt shot from 24 ft
6:11.0,Defensive rebound by J. Ayres,,83-100,,
6:11.0,LA Clippers full timeout,,83-100,,
6:11.0,B. Dawson enters the game for J. Green,,83-100,,
5:51.0,W. Johnson makes 3-pt shot from 24 ft (assist by P. Prigioni),3,86-100,,
5:26.0,,,86-100,,A. Williams misses 2-pt shot at rim
5:25.0,,,86-100,,Offensive rebound by A. Williams
5:25.0,,,86-102,2,A. Williams makes 2-pt shot at rim
