time,Boston,pts.away,score,pts.home,Atlanta
2:48.0,I. Thomas misses 2-pt shot from 1 ft (block by K. Bazemore),,56-58,,
2:45.0,,,56-58,,Defensive rebound by P. Millsap
2:37.0,,,56-58,,M. Scott misses 2-pt shot from 1 ft
2:36.0,Defensive rebound by K. Olynyk,,56-58,,
2:32.0,A. Bradley makes 3-pt shot from 25 ft (assist by K. Olynyk),3,59-58,,
2:31.0,,,59-58,,Atlanta full timeout
2:31.0,,,59-58,,K. Korver enters the game for T. Sefolosha
2:31.0,,,59-58,,A. Horford enters the game for M. Scott
2:14.0,,,59-58,,Turnover by P. Millsap (lost ball; steal by A. Johnson)
2:14.0,,,59-58,,Personal foul by P. Millsap
2:14.0,A. Johnson makes free throw 1 of 2,1,60-58,,
2:14.0,,,60-58,,T. Sefolosha enters the game for K. Bazemore
2:14.0,A. Johnson makes free throw 2 of 2,1,61-58,,
2:01.0,,,61-60,2,A. Horford makes 2-pt shot from 17 ft (assist by J. Teague)
1:35.0,A. Johnson makes 2-pt shot from 2 ft (assist by A. Bradley),2,63-60,,
1:20.0,,,63-63,3,P. Millsap makes 3-pt shot from 24 ft (assist by A. Horford)
1:07.0,M. Smart makes 3-pt shot from 23 ft (assist by I. Thomas),3,66-63,,
0:44.0,,,66-65,2,J. Teague makes 2-pt shot from 1 ft
0:34.0,A. Johnson makes 2-pt shot from 5 ft (assist by I. Thomas),2,68-65,,
0:30.0,,,68-65,,J. Teague misses 3-pt shot from 25 ft
0:29.0,Defensive rebound by A. Johnson,,68-65,,
0:06.0,I. Thomas makes 3-pt shot from 24 ft,3,71-65,,
0:03.0,,,71-65,,Shooting foul by A. Bradley (drawn by J. Teague)
0:03.0,,,71-66,1,J. Teague makes free throw 1 of 2
0:03.0,,,71-66,,D. Schroder enters the game for K. Korver
0:03.0,,,71-66,,K. Humphries enters the game for A. Horford
0:03.0,J. Sullinger enters the game for A. Johnson,,71-66,,
0:03.0,,,71-67,1,J. Teague makes free throw 2 of 2
0:00.0,J. Sullinger misses 2-pt shot from 13 ft,,71-67,,
0:00.0,Offensive rebound by Team,,71-67,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,J. Crowder misses 3-pt shot from 24 ft,,71-67,,
11:45.0,,,71-67,,Defensive rebound by J. Teague
11:40.0,,,71-67,,A. Horford misses 2-pt shot at rim (block by A. Bradley)
11:37.0,Defensive rebound by J. Crowder,,71-67,,
11:33.0,A. Johnson makes 2-pt shot at rim (assist by M. Smart),2,73-67,,
11:18.0,Personal foul by J. Crowder,,73-67,,
11:14.0,,,73-67,,Offensive charge foul by A. Horford
11:14.0,,,73-67,,Turnover by A. Horford (offensive foul)
10:55.0,A. Bradley misses 2-pt shot from 18 ft,,73-67,,
10:53.0,,,73-67,,Defensive rebound by A. Horford
10:45.0,,,73-70,3,P. Millsap makes 3-pt shot from 22 ft (assist by J. Teague)
10:28.0,I. Thomas misses 2-pt shot at rim (block by P. Millsap),,73-70,,
10:26.0,,,73-70,,Defensive rebound by J. Teague
10:15.0,,,73-70,,A. Horford misses 2-pt shot from 6 ft
10:14.0,,,73-70,,Offensive rebound by A. Horford
10:10.0,,,73-70,,K. Bazemore misses 3-pt shot from 22 ft
10:09.0,Defensive rebound by A. Johnson,,73-70,,
10:03.0,Shooting foul by K. Bazemore (drawn by I. Thomas),,73-70,,
10:03.0,I. Thomas makes free throw 1 of 2,1,74-70,,
10:03.0,I. Thomas makes free throw 2 of 2,1,75-70,,
9:59.0,Personal foul by A. Johnson,,75-70,,
9:47.0,,,75-70,,P. Millsap misses 2-pt shot from 4 ft
9:46.0,Defensive rebound by A. Bradley,,75-70,,
9:42.0,A. Bradley misses 2-pt shot from 17 ft,,75-70,,
9:40.0,Offensive rebound by A. Johnson,,75-70,,
9:40.0,A. Johnson makes 2-pt shot at rim,2,77-70,,
9:27.0,,,77-70,,Atlanta full timeout
9:24.0,,,77-70,,Offensive foul by K. Korver
9:24.0,,,77-70,,Turnover by K. Korver (offensive foul)
9:13.0,I. Thomas misses 2-pt shot from 1 ft,,77-70,,
9:13.0,,,77-70,,Defensive rebound by A. Horford
9:13.0,Personal foul by A. Johnson,,77-70,,
8:48.0,,,77-70,,J. Teague misses 3-pt shot from 25 ft
8:47.0,Defensive rebound by M. Smart,,77-70,,
8:32.0,M. Smart misses 3-pt shot from 23 ft,,77-70,,
8:30.0,,,77-70,,Defensive rebound by A. Horford
8:24.0,,,77-70,,Turnover by J. Teague (lost ball; steal by M. Smart)
8:17.0,A. Bradley misses 3-pt shot from 22 ft,,77-70,,
8:15.0,,,77-70,,Defensive rebound by K. Bazemore
8:14.0,,,77-70,,Turnover by K. Bazemore (lost ball; steal by A. Bradley)
8:07.0,M. Smart makes 2-pt shot at rim (assist by A. Bradley),2,79-70,,
7:56.0,,,79-72,2,K. Bazemore makes 2-pt shot at rim
7:56.0,,,79-72,,Shooting foul by A. Johnson (drawn by K. Bazemore)
7:56.0,,,79-72,,T. Sefolosha enters the game for K. Korver
7:56.0,,,79-73,1,K. Bazemore makes free throw 1 of 1
7:47.0,I. Thomas makes 2-pt shot from 1 ft,2,81-73,,
7:34.0,,,81-75,2,J. Teague makes 2-pt shot from 2 ft
7:16.0,J. Crowder misses 3-pt shot from 23 ft,,81-75,,
7:15.0,,,81-75,,Defensive rebound by K. Bazemore
6:59.0,,,81-75,,K. Bazemore misses 3-pt shot from 25 ft
6:57.0,Defensive rebound by I. Thomas,,81-75,,
6:51.0,I. Thomas misses 2-pt shot at rim,,81-75,,
6:50.0,,,81-75,,Defensive rebound by T. Sefolosha
6:41.0,,,81-75,,A. Horford misses 2-pt shot from 2 ft (block by A. Johnson)
6:39.0,Defensive rebound by A. Johnson,,81-75,,
6:35.0,Shooting foul by A. Horford (drawn by J. Crowder),,81-75,,
6:35.0,J. Crowder makes free throw 1 of 2,1,82-75,,
6:35.0,J. Sullinger enters the game for A. Johnson,,82-75,,
6:35.0,,,82-75,,K. Humphries enters the game for A. Horford
6:35.0,J. Crowder makes free throw 2 of 2,1,83-75,,
6:19.0,,,83-75,,Turnover by K. Bazemore (lost ball; steal by A. Bradley)
6:15.0,A. Bradley misses 2-pt shot from 1 ft (block by P. Millsap),,83-75,,
6:15.0,Offensive rebound by Team,,83-75,,
6:15.0,,,83-75,,D. Schroder enters the game for J. Teague
5:56.0,Turnover by J. Crowder (lost ball; steal by T. Sefolosha),,83-75,,
5:56.0,,,83-75,,Turnover by K. Bazemore (lost ball; steal by J. Crowder)
5:56.0,J. Crowder makes 2-pt shot at rim,2,85-75,,
5:41.0,,,85-75,,Turnover by D. Schroder (lost ball; steal by I. Thomas)
5:36.0,J. Crowder makes 2-pt shot at rim (assist by I. Thomas),2,87-75,,
5:36.0,,,87-75,,Atlanta full timeout
5:36.0,,,87-75,,K. Korver enters the game for K. Bazemore
5:13.0,,,87-77,2,P. Millsap makes 2-pt shot from 19 ft (assist by T. Sefolosha)
4:47.0,J. Sullinger misses 2-pt shot from 4 ft,,87-77,,
4:46.0,,,87-77,,Defensive rebound by P. Millsap
4:41.0,,,87-80,3,K. Korver makes 3-pt shot from 24 ft (assist by D. Schroder)
4:16.0,M. Smart misses 2-pt shot from 14 ft,,87-80,,
4:14.0,,,87-80,,Defensive rebound by P. Millsap
4:02.0,,,87-83,3,P. Millsap makes 3-pt shot from 24 ft (assist by D. Schroder)
4:01.0,Boston full timeout,,87-83,,
4:01.0,E. Turner enters the game for J. Crowder,,87-83,,
4:01.0,J. Jerebko enters the game for A. Bradley,,87-83,,
3:49.0,I. Thomas makes 2-pt shot at rim (assist by M. Smart),2,89-83,,
3:30.0,,,89-83,,Turnover by K. Korver (lost ball; steal by I. Thomas)
3:24.0,I. Thomas misses 3-pt shot from 25 ft,,89-83,,
3:22.0,,,89-83,,Defensive rebound by P. Millsap
3:08.0,,,89-85,2,K. Korver makes 2-pt shot from 16 ft (assist by D. Schroder)
2:48.0,M. Smart misses 2-pt shot from 15 ft,,89-85,,
2:47.0,,,89-85,,Defensive rebound by K. Humphries
2:40.0,,,89-85,,D. Schroder misses 2-pt shot from 2 ft
2:38.0,Defensive rebound by E. Turner,,89-85,,
2:25.0,I. Thomas misses 2-pt shot at rim (block by T. Sefolosha),,89-85,,
2:23.0,Offensive rebound by M. Smart,,89-85,,
2:23.0,M. Smart makes 2-pt shot at rim,2,91-85,,
2:06.0,,,91-87,2,D. Schroder makes 2-pt shot from 1 ft
1:45.0,J. Sullinger misses 2-pt shot from 1 ft (block by T. Sefolosha),,91-87,,
1:43.0,,,91-87,,Defensive rebound by T. Sefolosha
1:43.0,Personal foul by J. Sullinger,,91-87,,
1:43.0,,,91-88,1,T. Sefolosha makes free throw 1 of 2
1:43.0,,,91-88,,A. Horford enters the game for K. Humphries
1:43.0,K. Olynyk enters the game for J. Sullinger,,91-88,,
1:43.0,,,91-88,,T. Sefolosha misses free throw 2 of 2
1:41.0,Defensive rebound by E. Turner,,91-88,,
1:32.0,,,91-88,,Personal foul by K. Korver
1:32.0,,,91-88,,K. Bazemore enters the game for K. Korver
1:20.0,Turnover by I. Thomas (bad pass),,91-88,,
1:05.0,,,91-88,,D. Schroder misses 2-pt shot from 18 ft
1:03.0,Defensive rebound by J. Jerebko,,91-88,,
0:53.0,E. Turner misses 2-pt shot at rim,,91-88,,
0:52.0,,,91-88,,Defensive rebound by P. Millsap
0:47.0,,,91-91,3,P. Millsap makes 3-pt shot from 24 ft (assist by D. Schroder)
0:34.0,Turnover by I. Thomas (lost ball; steal by D. Schroder),,91-91,,
0:30.0,,,91-93,2,P. Millsap makes 2-pt shot from 1 ft (assist by D. Schroder)
0:30.0,I. Thomas misses 2-pt shot at rim,,91-93,,
0:29.0,,,91-93,,Defensive rebound by P. Millsap
0:03.0,,,91-93,,K. Bazemore misses 3-pt shot from 23 ft
0:02.0,Defensive rebound by E. Turner,,91-93,,
0:00.0,E. Turner misses 3-pt shot from 31 ft,,91-93,,
0:00.0,Offensive rebound by Team,,91-93,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,91-93,,Turnover by D. Schroder (bad pass)
11:35.0,A. Bradley makes 2-pt shot at rim (assist by K. Olynyk),2,93-93,,
11:19.0,,,93-96,3,D. Schroder makes 3-pt shot from 24 ft (assist by T. Sefolosha)
10:57.0,E. Turner makes 2-pt shot from 14 ft,2,95-96,,
10:40.0,Def 3 sec tech foul by K. Olynyk,,95-96,,
10:40.0,,,95-97,1,T. Hardaway makes technical free throw
10:27.0,,,95-97,,A. Horford misses 3-pt shot from 23 ft
10:27.0,Defensive rebound by Team,,95-97,,
10:27.0,,,95-97,,Loose ball foul by M. Scott
10:10.0,,,95-97,,Personal foul by T. Hardaway
10:01.0,Turnover by J. Jerebko (3 sec),,95-97,,
9:50.0,,,95-97,,M. Scott misses 3-pt shot from 25 ft
9:48.0,Defensive rebound by J. Crowder,,95-97,,
9:39.0,J. Crowder makes 2-pt shot at rim (assist by J. Jerebko),2,97-97,,
9:29.0,,,97-99,2,D. Schroder makes 2-pt shot from 18 ft
9:13.0,E. Turner misses 2-pt shot from 19 ft,,97-99,,
9:11.0,,,97-99,,Defensive rebound by A. Horford
9:08.0,,,97-99,,P. Millsap enters the game for A. Horford
9:08.0,,,97-99,,K. Bazemore enters the game for T. Hardaway
9:05.0,,,97-101,2,K. Bazemore makes 2-pt shot at rim (assist by D. Schroder)
8:47.0,K. Olynyk misses 2-pt shot from 11 ft,,97-101,,
8:43.0,Offensive rebound by A. Bradley,,97-101,,
8:40.0,Turnover by J. Jerebko (offensive foul),,97-101,,
8:40.0,Offensive foul by J. Jerebko,,97-101,,
8:40.0,Official timeout,,97-101,,
8:40.0,T. Rozier enters the game for J. Jerebko,,97-101,,
8:24.0,,,97-101,,D. Schroder misses 2-pt shot from 2 ft
8:22.0,Defensive rebound by E. Turner,,97-101,,
8:11.0,A. Bradley misses 3-pt shot from 24 ft,,97-101,,
8:10.0,,,97-101,,Defensive rebound by P. Millsap
8:01.0,,,97-101,,P. Millsap misses 2-pt shot from 9 ft
8:00.0,Defensive rebound by J. Crowder,,97-101,,
7:46.0,J. Crowder misses 2-pt shot from 7 ft,,97-101,,
7:43.0,,,97-101,,Defensive rebound by D. Schroder
7:37.0,,,97-101,,T. Sefolosha misses 2-pt shot at rim
7:37.0,,,97-101,,Offensive rebound by Team
7:37.0,,,97-101,,Turnover by T. Sefolosha (traveling)
7:34.0,,,97-101,,J. Teague enters the game for D. Schroder
7:34.0,,,97-101,,A. Horford enters the game for M. Scott
7:21.0,A. Bradley misses 2-pt shot from 10 ft,,97-101,,
7:20.0,,,97-101,,Defensive rebound by K. Bazemore
7:10.0,,,97-103,2,P. Millsap makes 2-pt shot from 13 ft
6:53.0,E. Turner makes 2-pt shot at rim,2,99-103,,
6:40.0,,,99-103,,P. Millsap misses 2-pt shot from 16 ft
6:37.0,Defensive rebound by E. Turner,,99-103,,
6:30.0,A. Bradley makes 2-pt shot from 1 ft (assist by J. Crowder),2,101-103,,
6:18.0,,,101-103,,Atlanta full timeout
6:18.0,I. Thomas enters the game for A. Bradley,,101-103,,
6:18.0,A. Johnson enters the game for K. Olynyk,,101-103,,
6:18.0,M. Smart enters the game for T. Rozier,,101-103,,
6:18.0,,,101-103,,K. Korver enters the game for T. Sefolosha
6:10.0,,,101-103,,P. Millsap misses 2-pt shot from 3 ft
6:07.0,Defensive rebound by I. Thomas,,101-103,,
5:51.0,Turnover by E. Turner (bad pass),,101-103,,
5:41.0,,,101-105,2,P. Millsap makes 2-pt shot at rim (assist by K. Bazemore)
5:19.0,Shooting foul by P. Millsap (drawn by I. Thomas),,101-105,,
