time,Denver,pts.away,score,pts.home,Sacramento
4:24.0,,,16-20,,D. Collison enters the game for B. McLemore
4:12.0,Turnover by E. Mudiay (lost ball; steal by R. Rondo),,16-20,,
4:07.0,,,16-20,,D. Collison misses 2-pt shot from 1 ft (block by K. Faried)
4:07.0,,,16-20,,Offensive rebound by Team
4:00.0,Personal foul by J. Nurkic,,16-20,,
4:00.0,,,16-21,1,D. Cousins makes free throw 1 of 2
4:00.0,,,16-22,1,D. Cousins makes free throw 2 of 2
3:47.0,,,16-22,,Personal foul by R. Rondo
3:47.0,W. Barton enters the game for G. Harris,,16-22,,
3:38.0,E. Mudiay makes 2-pt shot from 22 ft (assist by J. Nurkic),2,18-22,,
3:25.0,,,18-24,2,D. Cousins makes 2-pt shot from 20 ft (assist by R. Rondo)
3:10.0,W. Barton misses 3-pt shot from 25 ft,,18-24,,
3:09.0,,,18-24,,Defensive rebound by D. Cousins
3:02.0,,,18-26,2,D. Cousins makes 2-pt shot from 2 ft
2:41.0,D. Gallinari makes 2-pt shot from 20 ft,2,20-26,,
2:26.0,,,20-28,2,W. Cauley-Stein makes 2-pt shot at rim (assist by R. Rondo)
2:19.0,Denver full timeout,,20-28,,
2:19.0,,,20-28,,Sacramento full timeout
2:19.0,,,20-28,,J. Anderson enters the game for R. Gay
2:19.0,D. Arthur enters the game for K. Faried,,20-28,,
2:19.0,J. Lauvergne enters the game for J. Nurkic,,20-28,,
2:00.0,E. Mudiay misses 2-pt shot from 3 ft (block by W. Cauley-Stein),,20-28,,
1:58.0,,,20-28,,Defensive rebound by R. Rondo
1:37.0,,,20-28,,D. Cousins misses 2-pt shot from 1 ft (block by J. Lauvergne)
1:37.0,Defensive rebound by E. Mudiay,,20-28,,
1:31.0,D. Gallinari makes 2-pt shot from 22 ft (assist by E. Mudiay),2,22-28,,
1:24.0,,,22-28,,D. Cousins misses 2-pt shot from 5 ft
1:23.0,Defensive rebound by D. Arthur,,22-28,,
1:14.0,D. Gallinari misses 3-pt shot from 24 ft,,22-28,,
1:13.0,Offensive rebound by J. Lauvergne,,22-28,,
1:01.0,D. Arthur misses 2-pt shot from 19 ft,,22-28,,
1:00.0,,,22-28,,Defensive rebound by R. Rondo
0:42.0,,,22-28,,R. Rondo misses 3-pt shot from 25 ft
0:42.0,Defensive rebound by D. Gallinari,,22-28,,
0:30.0,W. Barton makes 2-pt shot from 20 ft,2,24-28,,
0:06.0,,,24-28,,J. Anderson misses 3-pt shot from 25 ft
0:04.0,,,24-28,,Offensive rebound by R. Rondo
0:00.0,,,24-31,3,D. Collison makes 3-pt shot from 25 ft (assist by R. Rondo)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,24-34,3,R. Rondo makes 3-pt shot from 23 ft (assist by D. Collison)
11:34.0,Turnover by D. Augustin (lost ball; steal by D. Collison),,24-34,,
11:31.0,,,24-36,2,D. Collison makes 2-pt shot at rim
11:16.0,J. Lauvergne misses 2-pt shot from 16 ft,,24-36,,
11:16.0,,,24-36,,Defensive rebound by D. Collison
11:01.0,,,24-36,,Turnover by W. Cauley-Stein (lost ball; steal by D. Augustin)
11:00.0,,,24-36,,Personal foul by D. Collison
10:51.0,W. Barton makes 2-pt shot from 4 ft,2,26-36,,
10:35.0,,,26-36,,K. Koufos misses 2-pt shot from 7 ft
10:34.0,Defensive rebound by J. Lauvergne,,26-36,,
10:28.0,D. Arthur makes 2-pt shot from 1 ft (assist by D. Augustin),2,28-36,,
10:13.0,,,28-36,,R. Rondo misses 2-pt shot from 2 ft
10:11.0,,,28-36,,Offensive rebound by W. Cauley-Stein
10:11.0,,,28-38,2,W. Cauley-Stein makes 2-pt shot from 2 ft
10:01.0,,,28-38,,Violation by D. Collison (kicked ball)
10:01.0,,,28-38,,B. McLemore enters the game for R. Rondo
9:56.0,Shooting foul by J. Anderson (drawn by J. Lauvergne),,28-38,,
9:56.0,J. Lauvergne makes free throw 1 of 2,1,29-38,,
9:56.0,J. Lauvergne misses free throw 2 of 2,,29-38,,
9:55.0,Offensive rebound by W. Barton,,29-38,,
9:49.0,G. Harris makes 3-pt shot from 25 ft (assist by W. Barton),3,32-38,,
9:36.0,,,32-38,,Turnover by K. Koufos (lost ball; steal by D. Arthur)
9:31.0,J. Lauvergne makes 2-pt shot at rim (assist by D. Augustin),2,34-38,,
9:29.0,,,34-38,,Sacramento full timeout
9:29.0,,,34-38,,R. Gay enters the game for W. Cauley-Stein
9:19.0,,,34-38,,R. Gay misses 2-pt shot from 20 ft
9:19.0,Defensive rebound by W. Barton,,34-38,,
9:12.0,Turnover by D. Arthur (bad pass),,34-38,,
8:59.0,,,34-40,2,R. Gay makes 2-pt shot from 15 ft
8:43.0,J. Lauvergne makes 2-pt shot from 2 ft (assist by D. Augustin),2,36-40,,
8:24.0,,,36-40,,J. Anderson misses 2-pt shot from 3 ft
8:23.0,Defensive rebound by D. Arthur,,36-40,,
8:17.0,D. Arthur misses 2-pt shot from 7 ft (block by K. Koufos),,36-40,,
8:15.0,,,36-40,,Defensive rebound by B. McLemore
8:12.0,,,36-42,2,D. Collison makes 2-pt shot from 2 ft (assist by B. McLemore)
8:01.0,,,36-42,,Personal foul by K. Koufos
7:58.0,,,36-42,,Personal foul by D. Collison
7:52.0,J. Lauvergne makes 2-pt shot at rim (assist by D. Augustin),2,38-42,,
7:40.0,,,38-45,3,R. Gay makes 3-pt shot from 25 ft
7:22.0,J. Lauvergne makes 2-pt shot from 3 ft (assist by D. Augustin),2,40-45,,
7:09.0,,,40-48,3,R. Gay makes 3-pt shot from 24 ft (assist by D. Collison)
6:55.0,D. Augustin misses 2-pt shot from 10 ft,,40-48,,
6:54.0,,,40-48,,Defensive rebound by R. Gay
6:50.0,,,40-48,,Turnover by R. Gay (bad pass)
6:50.0,,,40-48,,D. Cousins enters the game for K. Koufos
6:37.0,D. Arthur makes 2-pt shot from 1 ft (assist by W. Barton),2,42-48,,
6:30.0,,,42-50,2,D. Collison makes 2-pt shot from 2 ft
6:29.0,Turnover by W. Barton (traveling),,42-50,,
6:21.0,,,42-52,2,D. Collison makes 2-pt shot from 6 ft
6:20.0,Denver full timeout,,42-52,,
6:20.0,D. Gallinari enters the game for D. Arthur,,42-52,,
6:03.0,J. Lauvergne misses 2-pt shot from 10 ft,,42-52,,
6:01.0,,,42-52,,Defensive rebound by D. Cousins
5:54.0,,,42-54,2,D. Cousins makes 2-pt shot at rim
5:54.0,,,42-54,,Shooting foul by J. Lauvergne (drawn by D. Cousins)
5:54.0,,,42-55,1,D. Cousins makes free throw 1 of 1
5:43.0,J. Lauvergne makes 2-pt shot at rim (assist by G. Harris),2,44-55,,
5:26.0,,,44-55,,R. Gay misses 2-pt shot from 8 ft
5:26.0,Defensive rebound by W. Barton,,44-55,,
5:21.0,Offensive charge foul by W. Barton,,44-55,,
5:21.0,Turnover by W. Barton (offensive foul),,44-55,,
5:21.0,K. Faried enters the game for J. Lauvergne,,44-55,,
5:16.0,Technical foul by Team,,44-55,,
5:16.0,,,44-56,1,D. Collison makes technical free throw
5:03.0,,,44-58,2,D. Cousins makes 2-pt shot from 3 ft
4:51.0,D. Augustin misses 2-pt shot from 4 ft (block by D. Cousins),,44-58,,
4:50.0,Offensive rebound by K. Faried,,44-58,,
4:49.0,K. Faried misses 2-pt shot from 3 ft,,44-58,,
4:49.0,,,44-58,,Defensive rebound by Team
4:49.0,Loose ball foul by D. Augustin,,44-58,,
4:49.0,,,44-58,,R. Rondo enters the game for J. Anderson
4:49.0,E. Mudiay enters the game for D. Augustin,,44-58,,
4:38.0,,,44-60,2,D. Cousins makes 2-pt shot at rim (assist by R. Rondo)
4:23.0,Shooting foul by R. Rondo (drawn by D. Gallinari),,44-60,,
4:23.0,D. Gallinari makes free throw 1 of 2,1,45-60,,
4:23.0,D. Gallinari makes free throw 2 of 2,1,46-60,,
4:04.0,,,46-60,,D. Collison misses 3-pt shot from 22 ft
4:03.0,Defensive rebound by K. Faried,,46-60,,
3:57.0,Shooting foul by B. McLemore (drawn by D. Gallinari),,46-60,,
3:57.0,D. Gallinari makes free throw 1 of 2,1,47-60,,
3:57.0,,,47-60,,J. Anderson enters the game for B. McLemore
3:57.0,D. Gallinari makes free throw 2 of 2,1,48-60,,
3:41.0,,,48-60,,R. Rondo misses 2-pt shot from 4 ft
3:41.0,Defensive rebound by D. Gallinari,,48-60,,
3:32.0,K. Faried misses 2-pt shot from 1 ft,,48-60,,
3:31.0,,,48-60,,Defensive rebound by R. Gay
3:23.0,,,48-60,,Turnover by R. Rondo (lost ball; steal by E. Mudiay)
3:18.0,G. Harris makes 2-pt shot at rim (assist by E. Mudiay),2,50-60,,
3:00.0,,,50-60,,R. Gay misses 2-pt shot from 15 ft
2:59.0,Defensive rebound by W. Barton,,50-60,,
2:50.0,Shooting foul by R. Gay (drawn by D. Gallinari),,50-60,,
2:50.0,Official timeout,,50-60,,
2:50.0,D. Gallinari misses free throw 1 of 2,,50-60,,
2:50.0,Offensive rebound by Team,,50-60,,
2:50.0,D. Gallinari makes free throw 2 of 2,1,51-60,,
2:39.0,,,51-62,2,D. Cousins makes 2-pt shot from 3 ft
2:39.0,,,51-62,,Shooting foul by W. Barton (drawn by D. Cousins)
2:39.0,,,51-62,,D. Cousins misses free throw 1 of 1
2:37.0,Defensive rebound by K. Faried,,51-62,,
2:22.0,Turnover by D. Gallinari (lost ball; steal by R. Rondo),,51-62,,
2:12.0,,,51-65,3,D. Cousins makes 3-pt shot from 25 ft (assist by R. Rondo)
1:55.0,E. Mudiay misses 3-pt shot from 24 ft,,51-65,,
1:55.0,,,51-65,,Defensive rebound by D. Cousins
1:43.0,,,51-65,,Turnover by R. Gay (lost ball; steal by D. Gallinari)
1:38.0,Turnover by D. Gallinari (lost ball; steal by J. Anderson),,51-65,,
1:34.0,,,51-65,,Turnover by J. Anderson (lost ball; steal by D. Gallinari)
1:34.0,K. Faried makes 2-pt shot from 3 ft (assist by D. Gallinari),2,53-65,,
1:34.0,Shooting foul by J. Anderson (drawn by K. Faried),,53-65,,
1:34.0,K. Faried misses free throw 1 of 1,,53-65,,
1:32.0,,,53-65,,Defensive rebound by D. Cousins
1:11.0,,,53-65,,Turnover by D. Cousins (lost ball)
1:11.0,,,53-65,,Loose ball foul by D. Cousins
1:11.0,G. Harris misses free throw 1 of 2,,53-65,,
1:11.0,Offensive rebound by Team,,53-65,,
1:11.0,D. Augustin enters the game for W. Barton,,53-65,,
1:11.0,,,53-65,,S. Curry enters the game for D. Collison
1:11.0,G. Harris makes free throw 2 of 2,1,54-65,,
0:53.0,,,54-68,3,R. Rondo makes 3-pt shot from 23 ft (assist by J. Anderson)
0:45.0,D. Augustin makes 3-pt shot from 24 ft (assist by K. Faried),3,57-68,,
0:30.0,,,57-70,2,S. Curry makes 2-pt shot from 2 ft
0:07.0,K. Faried misses 2-pt shot from 4 ft (block by D. Cousins),,57-70,,
0:06.0,,,57-70,,Defensive rebound by S. Curry
0:03.0,,,57-70,,Turnover by J. Anderson (lost ball; steal by D. Augustin)
0:00.0,D. Augustin misses 3-pt shot from 25 ft,,57-70,,
0:00.0,Offensive rebound by Team,,57-70,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,57-70,,Turnover by R. Gay (lost ball; steal by D. Gallinari)
11:44.0,Shooting foul by R. Gay (drawn by D. Gallinari),,57-70,,
11:44.0,D. Gallinari makes free throw 1 of 2,1,58-70,,
11:44.0,D. Gallinari makes free throw 2 of 2,1,59-70,,
11:27.0,,,59-70,,B. McLemore misses 2-pt shot from 19 ft
11:26.0,Defensive rebound by N. Jokic,,59-70,,
11:09.0,K. Faried misses 2-pt shot from 6 ft,,59-70,,
11:08.0,,,59-70,,Defensive rebound by D. Cousins
11:01.0,,,59-72,2,D. Cousins makes 2-pt shot from 7 ft (assist by R. Rondo)
11:01.0,,,59-72,,Shooting foul by N. Jokic (drawn by D. Cousins)
11:01.0,,,59-73,1,D. Cousins makes free throw 1 of 1
10:47.0,E. Mudiay misses 2-pt shot from 20 ft,,59-73,,
10:46.0,,,59-73,,Defensive rebound by D. Cousins
10:27.0,,,59-73,,B. McLemore misses 3-pt shot from 24 ft
10:26.0,Defensive rebound by G. Harris,,59-73,,
10:25.0,,,59-73,,Personal foul by D. Cousins
10:25.0,Personal foul by N. Jokic,,59-73,,
10:25.0,J. Nurkic enters the game for N. Jokic,,59-73,,
10:03.0,E. Mudiay misses 3-pt shot from 26 ft,,59-73,,
10:03.0,,,59-73,,Defensive rebound by R. Rondo
9:56.0,,,59-73,,B. McLemore misses 3-pt shot from 23 ft
9:55.0,Defensive rebound by G. Harris,,59-73,,
9:41.0,G. Harris misses 3-pt shot from 23 ft,,59-73,,
9:41.0,,,59-73,,Defensive rebound by Team
9:41.0,Loose ball foul by K. Faried,,59-73,,
9:25.0,,,59-73,,Turnover by D. Cousins (lost ball)
9:06.0,D. Gallinari makes 2-pt shot from 17 ft,2,61-73,,
8:51.0,,,61-75,2,R. Rondo makes 2-pt shot from 20 ft
8:40.0,K. Faried makes 2-pt shot from 17 ft (assist by E. Mudiay),2,63-75,,
8:30.0,Violation by G. Harris (kicked ball),,63-75,,
8:21.0,,,63-75,,B. McLemore misses 2-pt shot from 7 ft
8:20.0,Defensive rebound by K. Faried,,63-75,,
8:13.0,E. Mudiay misses 2-pt shot from 2 ft (block by D. Cousins),,63-75,,
8:12.0,,,63-75,,Defensive rebound by B. McLemore
8:08.0,,,63-75,,B. McLemore misses 2-pt shot from 4 ft
8:07.0,Defensive rebound by K. Faried,,63-75,,
8:03.0,K. Faried makes 2-pt shot from 2 ft (assist by G. Harris),2,65-75,,
8:03.0,Shooting foul by D. Cousins (drawn by K. Faried),,65-75,,
8:03.0,K. Faried misses free throw 1 of 1,,65-75,,
8:01.0,,,65-75,,Defensive rebound by D. Cousins
7:45.0,,,65-75,,Shooting foul by J. Nurkic (drawn by D. Cousins)
7:45.0,,,65-76,1,D. Cousins makes free throw 1 of 2
7:45.0,,,65-77,1,D. Cousins makes free throw 2 of 2
7:29.0,D. Gallinari misses 2-pt shot from 3 ft,,65-77,,
7:28.0,Offensive rebound by J. Nurkic,,65-77,,
7:28.0,J. Nurkic misses 2-pt shot from 3 ft,,65-77,,
7:26.0,,,65-77,,Defensive rebound by D. Cousins
7:21.0,,,65-77,,Offensive charge foul by Q. Acy
7:21.0,,,65-77,,Turnover by Q. Acy (offensive foul)
7:21.0,,,65-77,,Violation by Team (jump ball)
7:10.0,E. Mudiay makes 2-pt shot from 18 ft,2,67-77,,
6:50.0,,,67-79,2,D. Cousins makes 2-pt shot from 6 ft (assist by R. Rondo)
6:39.0,J. Nurkic makes 2-pt shot from 1 ft (assist by G. Harris),2,69-79,,
6:21.0,,,69-79,,R. Rondo misses 3-pt shot from 25 ft
6:21.0,Defensive rebound by D. Gallinari,,69-79,,
6:13.0,D. Gallinari makes 3-pt shot from 25 ft,3,72-79,,
6:13.0,,,72-79,,Sacramento full timeout
6:13.0,,,72-79,,D. Collison enters the game for B. McLemore
5:59.0,,,72-79,,R. Gay misses 2-pt shot from 20 ft
5:58.0,Defensive rebound by K. Faried,,72-79,,
5:43.0,E. Mudiay misses 2-pt shot from 19 ft,,72-79,,
5:43.0,,,72-79,,Defensive rebound by Q. Acy
5:27.0,,,72-79,,R. Gay misses 3-pt shot from 22 ft
5:26.0,Defensive rebound by J. Nurkic,,72-79,,
5:14.0,Turnover by G. Harris (lost ball; steal by R. Gay),,72-79,,
5:09.0,,,72-81,2,R. Gay makes 2-pt shot at rim
4:50.0,K. Faried misses 2-pt shot from 8 ft,,72-81,,
4:49.0,,,72-81,,Defensive rebound by D. Cousins
4:42.0,,,72-81,,Shooting foul by J. Nurkic (drawn by D. Cousins)
4:42.0,,,72-82,1,D. Cousins makes free throw 1 of 2
4:42.0,,,72-82,,K. Koufos enters the game for Q. Acy
4:42.0,W. Barton enters the game for G. Harris,,72-82,,
4:42.0,,,72-83,1,D. Cousins makes free throw 2 of 2
4:29.0,J. Nurkic misses 2-pt shot from 5 ft (block by D. Cousins),,72-83,,
4:29.0,,,72-83,,Defensive rebound by Team
4:28.0,Jump ball: D. Cousins vs. J. Nurkic,,,,Jump ball: D. Cousins vs. J. Nurkic
4:15.0,,,72-83,,D. Collison misses 2-pt shot from 21 ft
4:15.0,Defensive rebound by J. Nurkic,,72-83,,
4:00.0,Turnover by E. Mudiay (lost ball; steal by R. Rondo),,72-83,,
3:55.0,,,72-83,,Shooting foul by J. Nurkic (drawn by R. Gay)
3:55.0,,,72-83,,R. Gay misses free throw 1 of 2
3:55.0,,,72-83,,Offensive rebound by Team
3:55.0,D. Arthur enters the game for K. Faried,,72-83,,
3:55.0,J. Lauvergne enters the game for J. Nurkic,,72-83,,
3:55.0,,,72-84,1,R. Gay makes free throw 2 of 2
3:39.0,D. Arthur misses 3-pt shot from 23 ft,,72-84,,
3:38.0,,,72-84,,Defensive rebound by D. Cousins
3:30.0,,,72-84,,R. Rondo misses 2-pt shot from 8 ft
3:29.0,Defensive rebound by J. Lauvergne,,72-84,,
3:20.0,W. Barton misses 3-pt shot from 24 ft,,72-84,,
3:19.0,,,72-84,,Defensive rebound by D. Cousins
3:02.0,,,72-84,,D. Cousins misses 2-pt shot from 21 ft
3:01.0,Defensive rebound by E. Mudiay,,72-84,,
3:00.0,D. Augustin enters the game for E. Mudiay,,72-84,,
3:00.0,,,72-84,,J. Anderson enters the game for R. Gay
3:00.0,,,72-84,,W. Cauley-Stein enters the game for D. Cousins
2:54.0,W. Barton misses 2-pt shot from 6 ft (block by W. Cauley-Stein),,72-84,,
2:52.0,,,72-84,,Defensive rebound by D. Collison
2:46.0,,,72-86,2,R. Rondo makes 2-pt shot from 2 ft
2:46.0,Denver full timeout,,72-86,,
2:30.0,,,72-86,,Def 3 sec tech foul by K. Koufos
2:30.0,D. Gallinari makes technical free throw,1,73-86,,
2:20.0,D. Arthur misses 2-pt shot from 19 ft,,73-86,,
2:19.0,Offensive rebound by J. Lauvergne,,73-86,,
2:15.0,J. Lauvergne makes 2-pt shot from 3 ft,2,75-86,,
1:50.0,,,75-86,,D. Collison misses 2-pt shot from 16 ft
1:50.0,Defensive rebound by W. Barton,,75-86,,
1:42.0,W. Barton misses 2-pt shot from 4 ft,,75-86,,
1:42.0,Offensive rebound by Team,,75-86,,
1:22.0,J. Lauvergne misses 2-pt shot from 5 ft (block by W. Cauley-Stein),,75-86,,
1:21.0,Offensive rebound by D. Arthur,,75-86,,
1:20.0,Shooting foul by K. Koufos (drawn by D. Arthur),,75-86,,
1:20.0,D. Arthur misses free throw 1 of 2,,75-86,,
1:20.0,Offensive rebound by Team,,75-86,,
1:20.0,D. Arthur misses free throw 2 of 2,,75-86,,
1:19.0,,,75-86,,Defensive rebound by W. Cauley-Stein
1:08.0,,,75-88,2,W. Cauley-Stein makes 2-pt shot at rim (assist by R. Rondo)
0:53.0,Turnover by D. Augustin (lost ball; steal by R. Rondo),,75-88,,
0:49.0,,,75-88,,Turnover by J. Anderson (step out of bounds)
0:36.0,J. Lauvergne misses 2-pt shot from 8 ft,,75-88,,
0:35.0,,,75-88,,Defensive rebound by J. Anderson
0:22.0,,,75-88,,Turnover by R. Rondo (lost ball; steal by D. Augustin)
0:20.0,,,75-88,,Personal foul by R. Rondo
0:20.0,D. Augustin makes free throw 1 of 2,1,76-88,,
0:20.0,,,76-88,,R. Gay enters the game for K. Koufos
0:20.0,D. Augustin makes free throw 2 of 2,1,77-88,,
0:00.0,,,77-88,,R. Gay misses 2-pt shot from 17 ft
0:00.0,,,77-88,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,D. Augustin makes 3-pt shot from 25 ft,3,80-88,,
11:24.0,,,80-90,2,W. Cauley-Stein makes 2-pt shot from 6 ft
10:59.0,D. Arthur misses 3-pt shot from 22 ft,,80-90,,
10:58.0,,,80-90,,Defensive rebound by R. Gay
10:53.0,,,80-92,2,D. Collison makes 2-pt shot from 5 ft
10:53.0,,,80-92,,Shooting foul by D. Augustin (drawn by D. Collison)
10:53.0,,,80-92,,D. Cousins enters the game for R. Rondo
10:53.0,,,80-93,1,D. Collison makes free throw 1 of 1
10:41.0,Turnover by J. Lauvergne (offensive goaltending),,80-93,,
10:32.0,,,80-93,,Offensive foul by D. Cousins
10:32.0,,,80-93,,Turnover by D. Cousins (offensive foul)
10:16.0,J. Lauvergne makes 2-pt shot from 15 ft (assist by D. Arthur),2,82-93,,
10:06.0,,,82-93,,Turnover by D. Collison (lost ball; steal by W. Barton)
10:03.0,W. Barton makes 2-pt shot from 2 ft (assist by G. Harris),2,84-93,,
9:46.0,,,84-95,2,D. Cousins makes 2-pt shot from 4 ft
9:18.0,W. Barton misses 3-pt shot from 25 ft,,84-95,,
9:18.0,,,84-95,,Defensive rebound by W. Cauley-Stein
9:03.0,,,84-95,,R. Gay misses 2-pt shot from 3 ft
9:01.0,Defensive rebound by D. Arthur,,84-95,,
8:56.0,G. Harris misses 2-pt shot from 5 ft,,84-95,,
8:56.0,Offensive rebound by G. Harris,,84-95,,
8:55.0,G. Harris makes 2-pt shot from 5 ft,2,86-95,,
8:39.0,Personal foul by W. Barton,,86-95,,
8:39.0,Official timeout,,86-95,,
8:31.0,,,86-97,2,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Cousins)
8:15.0,W. Barton makes 2-pt shot from 5 ft,2,88-97,,
8:01.0,,,88-97,,Shooting foul by D. Arthur (drawn by R. Gay)
8:01.0,,,88-98,1,R. Gay makes free throw 1 of 2
8:01.0,,,88-99,1,R. Gay makes free throw 2 of 2
7:51.0,W. Barton makes 3-pt shot from 24 ft (assist by D. Augustin),3,91-99,,
7:33.0,Personal foul by W. Barton,,91-99,,
7:33.0,,,91-99,,R. Rondo enters the game for W. Cauley-Stein
7:33.0,D. Gallinari enters the game for D. Arthur,,91-99,,
7:16.0,,,91-99,,D. Collison misses 3-pt shot from 22 ft
7:14.0,Defensive rebound by J. Lauvergne,,91-99,,
7:06.0,Offensive charge foul by W. Barton,,91-99,,
7:06.0,Turnover by W. Barton (offensive foul),,91-99,,
6:47.0,,,91-99,,D. Collison misses 2-pt shot from 6 ft
6:46.0,Defensive rebound by J. Lauvergne,,91-99,,
6:46.0,W. Barton makes 2-pt shot from 7 ft (assist by J. Lauvergne),2,93-99,,
6:46.0,Shooting foul by J. Anderson (drawn by W. Barton),,93-99,,
6:46.0,W. Barton misses free throw 1 of 1,,93-99,,
6:45.0,,,93-99,,Defensive rebound by D. Cousins
6:26.0,,,93-99,,R. Gay misses 2-pt shot from 20 ft
6:25.0,,,93-99,,Offensive rebound by D. Cousins
6:25.0,,,93-101,2,D. Cousins makes 2-pt shot from 1 ft
