time,Indiana,pts.away,score,pts.home,Toronto
9:05.0,Indiana full timeout,,32-36,,
8:53.0,P. George misses 2-pt shot from 17 ft (block by N. Powell),,32-36,,
8:52.0,,,32-36,,Defensive rebound by C. Joseph
8:37.0,,,32-38,2,C. Joseph makes 2-pt shot from 19 ft
8:22.0,Turnover by I. Mahinmi (3 sec),,32-38,,
7:59.0,,,32-38,,N. Powell misses 3-pt shot from 22 ft
7:58.0,Defensive rebound by R. Stuckey,,32-38,,
7:46.0,S. Hill enters the game for T. Lawson,,32-38,,
7:46.0,G. Hill enters the game for C. Miles,,32-38,,
7:30.0,R. Stuckey makes 2-pt shot from 19 ft (assist by I. Mahinmi),2,34-38,,
7:10.0,,,34-38,,T. Ross misses 3-pt shot from 23 ft
7:09.0,,,34-38,,Offensive rebound by C. Joseph
7:02.0,,,34-38,,C. Joseph misses 3-pt shot from 24 ft
7:00.0,Defensive rebound by R. Stuckey,,34-38,,
6:54.0,,,34-38,,Personal foul by K. Lowry
6:54.0,,,34-38,,D. DeRozan enters the game for T. Ross
6:42.0,P. George misses 2-pt shot from 16 ft,,34-38,,
6:41.0,,,34-38,,Defensive rebound by C. Joseph
6:18.0,,,34-38,,C. Joseph misses 2-pt shot from 20 ft
6:18.0,Defensive rebound by S. Hill,,34-38,,
6:07.0,,,34-38,,Personal block foul by D. DeRozan
6:00.0,G. Hill misses 3-pt shot from 24 ft,,34-38,,
5:58.0,,,34-38,,Defensive rebound by D. DeRozan
5:38.0,,,34-38,,Turnover by K. Lowry (lost ball; steal by R. Stuckey)
5:32.0,R. Stuckey misses 2-pt shot from 14 ft,,34-38,,
5:32.0,,,34-38,,Defensive rebound by D. DeRozan
5:23.0,,,34-40,2,K. Lowry makes 2-pt shot from 2 ft (assist by N. Powell)
5:19.0,Indiana full timeout,,34-40,,
5:19.0,Official timeout,,34-40,,
5:19.0,,,34-40,,D. Carroll enters the game for B. Biyombo
5:19.0,,,34-40,,J. Valanciunas enters the game for C. Joseph
5:19.0,M. Turner enters the game for I. Mahinmi,,34-40,,
5:19.0,M. Ellis enters the game for R. Stuckey,,34-40,,
5:08.0,M. Turner misses 2-pt shot from 3 ft,,34-40,,
5:08.0,,,34-40,,Defensive rebound by J. Valanciunas
4:57.0,,,34-40,,J. Valanciunas misses 2-pt shot from 18 ft
4:56.0,Defensive rebound by M. Ellis,,34-40,,
4:46.0,M. Turner misses 2-pt shot from 6 ft (block by J. Valanciunas),,34-40,,
4:45.0,,,34-40,,Defensive rebound by K. Lowry
4:36.0,,,34-40,,Turnover by J. Valanciunas (lost ball; steal by P. George)
4:34.0,,,34-40,,Personal foul by K. Lowry
4:14.0,G. Hill makes 2-pt shot from 9 ft,2,36-40,,
3:58.0,,,36-42,2,D. DeRozan makes 2-pt shot from 7 ft (assist by K. Lowry)
3:36.0,G. Hill makes 2-pt shot from 3 ft,2,38-42,,
3:21.0,Personal foul by M. Turner,,38-42,,
3:21.0,,,38-42,,Toronto full timeout
3:11.0,,,38-44,2,N. Powell makes 2-pt shot from 5 ft
2:54.0,M. Turner misses 2-pt shot from 16 ft,,38-44,,
2:53.0,,,38-44,,Defensive rebound by N. Powell
2:41.0,,,38-46,2,J. Valanciunas makes 2-pt shot from 4 ft (assist by K. Lowry)
2:23.0,M. Turner makes 2-pt shot from 18 ft (assist by G. Hill),2,40-46,,
1:59.0,,,40-46,,K. Lowry misses 3-pt shot from 28 ft
1:58.0,,,40-46,,Offensive rebound by N. Powell
1:48.0,,,40-48,2,N. Powell makes 2-pt shot from 20 ft (assist by J. Valanciunas)
1:32.0,G. Hill makes 2-pt shot from 14 ft,2,42-48,,
1:14.0,,,42-48,,D. DeRozan misses 2-pt shot from 16 ft
1:13.0,Defensive rebound by M. Turner,,42-48,,
1:00.0,P. George makes 2-pt shot from 3 ft,2,44-48,,
0:58.0,,,44-48,,Toronto full timeout
0:58.0,R. Stuckey enters the game for P. George,,44-48,,
0:58.0,,,44-48,,C. Joseph enters the game for K. Lowry
0:50.0,,,44-48,,D. DeRozan misses 2-pt shot from 20 ft
0:47.0,,,44-48,,Offensive rebound by Team
0:38.0,,,44-48,,D. DeRozan misses 2-pt shot from 14 ft
0:37.0,,,44-48,,Offensive rebound by J. Valanciunas
0:35.0,,,44-48,,Shooting foul by G. Hill (drawn by J. Valanciunas)
0:35.0,,,44-49,1,J. Valanciunas makes free throw 1 of 2
0:35.0,,,44-50,1,J. Valanciunas makes free throw 2 of 2
0:20.0,G. Hill misses 2-pt shot from 15 ft,,44-50,,
0:19.0,,,44-50,,Defensive rebound by J. Valanciunas
0:03.0,,,44-50,,D. DeRozan misses 2-pt shot from 6 ft (block by M. Turner)
0:01.0,Defensive rebound by M. Turner,,44-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,M. Turner misses 2-pt shot from 15 ft,,44-50,,
11:37.0,,,44-50,,Defensive rebound by J. Valanciunas
11:16.0,,,44-50,,P. Patterson misses 3-pt shot from 25 ft
11:15.0,Defensive rebound by P. George,,44-50,,
11:09.0,P. George misses 3-pt shot from 24 ft,,44-50,,
11:06.0,,,44-50,,Defensive rebound by D. DeRozan
11:00.0,,,44-50,,D. Carroll misses 3-pt shot from 25 ft
10:59.0,Defensive rebound by M. Turner,,44-50,,
10:34.0,M. Ellis misses 3-pt shot from 24 ft,,44-50,,
10:34.0,,,44-50,,Defensive rebound by J. Valanciunas
10:14.0,,,44-50,,D. DeRozan misses 2-pt shot from 15 ft
10:13.0,Defensive rebound by P. George,,44-50,,
9:57.0,M. Turner misses 2-pt shot from 6 ft,,44-50,,
9:53.0,,,44-50,,Defensive rebound by J. Valanciunas
9:45.0,,,44-53,3,P. Patterson makes 3-pt shot from 24 ft (assist by K. Lowry)
9:25.0,I. Mahinmi makes 2-pt shot at rim (assist by M. Ellis),2,46-53,,
9:04.0,,,46-53,,P. Patterson misses 2-pt shot from 9 ft (block by M. Turner)
9:03.0,Defensive rebound by M. Turner,,46-53,,
8:57.0,M. Ellis misses 3-pt shot from 24 ft,,46-53,,
8:56.0,Offensive rebound by I. Mahinmi,,46-53,,
8:54.0,I. Mahinmi misses 2-pt shot from 2 ft (block by D. DeRozan),,46-53,,
8:53.0,,,46-53,,Defensive rebound by J. Valanciunas
8:45.0,,,46-55,2,K. Lowry makes 2-pt shot from 1 ft
8:26.0,Turnover by M. Ellis (lost ball; steal by D. DeRozan),,46-55,,
8:17.0,,,46-58,3,D. Carroll makes 3-pt shot from 23 ft (assist by D. DeRozan)
8:17.0,Indiana full timeout,,46-58,,
8:00.0,Turnover by M. Ellis (bad pass),,46-58,,
7:38.0,,,46-58,,D. DeRozan misses 3-pt shot from 26 ft
7:37.0,,,46-58,,Offensive rebound by D. Carroll
7:31.0,,,46-61,3,P. Patterson makes 3-pt shot from 24 ft (assist by D. Carroll)
7:16.0,P. George makes 3-pt shot from 25 ft,3,49-61,,
6:57.0,Personal foul by I. Mahinmi,,49-61,,
6:57.0,S. Hill enters the game for M. Turner,,49-61,,
6:44.0,,,49-61,,K. Lowry misses 2-pt shot from 21 ft
6:44.0,Defensive rebound by Team,,49-61,,
6:43.0,,,49-61,,Loose ball foul by J. Valanciunas
6:31.0,M. Ellis makes 2-pt shot from 4 ft,2,51-61,,
6:15.0,,,51-61,,D. DeRozan misses 2-pt shot from 2 ft
6:15.0,,,51-61,,Offensive rebound by J. Valanciunas
6:13.0,,,51-61,,J. Valanciunas misses 2-pt shot from 1 ft
6:12.0,Defensive rebound by M. Ellis,,51-61,,
6:05.0,S. Hill makes 2-pt shot from 1 ft,2,53-61,,
6:05.0,,,53-61,,Toronto full timeout
5:45.0,,,53-61,,Shooting foul by M. Ellis (drawn by D. DeRozan)
5:45.0,,,53-62,1,D. DeRozan makes free throw 1 of 2
5:45.0,,,53-63,1,D. DeRozan makes free throw 2 of 2
5:29.0,G. Hill makes 2-pt shot from 9 ft,2,55-63,,
5:22.0,Personal block foul by S. Hill,,55-63,,
5:10.0,,,55-63,,K. Lowry misses 3-pt shot from 25 ft
5:10.0,Defensive rebound by I. Mahinmi,,55-63,,
5:00.0,I. Mahinmi makes 2-pt shot from 2 ft (assist by P. George),2,57-63,,
4:37.0,,,57-66,3,P. Patterson makes 3-pt shot from 23 ft (assist by K. Lowry)
4:14.0,P. George misses 2-pt shot from 7 ft,,57-66,,
4:13.0,,,57-66,,Defensive rebound by K. Lowry
4:09.0,,,57-68,2,D. DeRozan makes 2-pt shot from 3 ft (assist by K. Lowry)
4:09.0,,,57-68,,Shooting foul by S. Hill (drawn by D. DeRozan)
4:09.0,,,57-68,,B. Biyombo enters the game for J. Valanciunas
4:09.0,,,57-68,,C. Joseph enters the game for K. Lowry
4:09.0,,,57-69,1,D. DeRozan makes free throw 1 of 1
3:52.0,G. Hill misses 2-pt shot from 3 ft,,57-69,,
3:51.0,,,57-69,,Defensive rebound by D. DeRozan
3:44.0,,,57-71,2,D. DeRozan makes 2-pt shot from 20 ft
3:44.0,Indiana full timeout,,57-71,,
3:31.0,M. Ellis makes 2-pt shot from 15 ft,2,59-71,,
3:14.0,,,59-71,,D. DeRozan misses 2-pt shot from 16 ft
3:13.0,Defensive rebound by P. George,,59-71,,
2:53.0,G. Hill makes 3-pt shot from 25 ft (assist by M. Ellis),3,62-71,,
2:29.0,,,62-73,2,D. DeRozan makes 2-pt shot from 15 ft (assist by C. Joseph)
2:14.0,P. George misses 2-pt shot from 16 ft,,62-73,,
2:13.0,,,62-73,,Defensive rebound by B. Biyombo
2:03.0,,,62-75,2,D. DeRozan makes 2-pt shot from 2 ft
1:53.0,M. Ellis misses 2-pt shot from 7 ft,,62-75,,
1:52.0,,,62-75,,Defensive rebound by P. Patterson
1:46.0,Personal foul by P. George,,62-75,,
1:46.0,,,62-76,1,D. DeRozan makes free throw 1 of 2
1:46.0,M. Turner enters the game for I. Mahinmi,,62-76,,
1:46.0,R. Stuckey enters the game for G. Hill,,62-76,,
1:46.0,,,62-76,,N. Powell enters the game for P. Patterson
1:46.0,,,62-77,1,D. DeRozan makes free throw 2 of 2
1:27.0,R. Stuckey makes 2-pt shot from 7 ft,2,64-77,,
1:04.0,,,64-77,,D. DeRozan misses 2-pt shot from 12 ft
1:02.0,,,64-77,,Offensive rebound by B. Biyombo
1:01.0,Jump ball: B. Biyombo vs. S. Hill,,,,Jump ball: B. Biyombo vs. S. Hill
0:59.0,,,64-77,,D. DeRozan misses 3-pt shot from 29 ft
0:58.0,,,64-77,,Offensive rebound by Team
0:58.0,,,64-77,,Turnover by Team (shot clock)
0:44.0,Turnover by P. George (lost ball; steal by D. Carroll),,64-77,,
0:30.0,,,64-77,,D. DeRozan misses 2-pt shot from 3 ft (block by M. Turner)
0:29.0,,,64-77,,Offensive rebound by B. Biyombo
0:29.0,,,64-77,,Shooting foul by S. Hill (drawn by B. Biyombo)
0:29.0,,,64-77,,B. Biyombo misses free throw 1 of 2
0:29.0,,,64-77,,Offensive rebound by Team
0:29.0,,,64-78,1,B. Biyombo makes free throw 2 of 2
0:08.0,S. Hill misses 3-pt shot from 23 ft,,64-78,,
0:08.0,,,64-78,,Defensive rebound by B. Biyombo
0:00.0,,,64-78,,D. DeRozan misses 3-pt shot from 27 ft
0:00.0,,,64-78,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,64-78,,D. DeRozan misses 2-pt shot from 2 ft
11:36.0,Defensive rebound by P. George,,64-78,,
11:21.0,S. Hill misses 2-pt shot from 2 ft (block by D. DeRozan),,64-78,,
11:21.0,Offensive rebound by Team,,64-78,,
11:17.0,P. George misses 3-pt shot from 26 ft,,64-78,,
11:15.0,Offensive rebound by G. Hill,,64-78,,
11:09.0,S. Hill misses 2-pt shot from 1 ft,,64-78,,
11:08.0,Offensive rebound by P. George,,64-78,,
10:52.0,G. Hill makes 3-pt shot from 24 ft,3,67-78,,
10:27.0,,,67-78,,D. DeRozan misses 2-pt shot from 15 ft
10:26.0,Defensive rebound by M. Turner,,67-78,,
10:10.0,R. Stuckey misses 2-pt shot from 6 ft,,67-78,,
10:10.0,,,67-78,,Defensive rebound by B. Biyombo
9:53.0,,,67-78,,D. DeRozan misses 2-pt shot from 2 ft
9:52.0,Defensive rebound by S. Hill,,67-78,,
9:35.0,,,67-78,,Personal foul by C. Joseph
9:35.0,,,67-78,,K. Lowry enters the game for D. DeRozan
9:23.0,M. Turner misses 2-pt shot from 19 ft,,67-78,,
9:22.0,Offensive rebound by Team,,67-78,,
9:22.0,,,67-78,,Loose ball foul by B. Biyombo
9:22.0,,,67-78,,P. Patterson enters the game for D. Carroll
9:13.0,,,67-78,,Personal foul by B. Biyombo
8:59.0,Official timeout,,67-78,,
8:59.0,C. Miles enters the game for S. Hill,,67-78,,
8:59.0,M. Ellis enters the game for R. Stuckey,,67-78,,
8:58.0,Turnover by Team (shot clock),,67-78,,
8:34.0,,,67-78,,C. Joseph misses 2-pt shot from 1 ft
8:34.0,,,67-78,,Offensive rebound by B. Biyombo
8:31.0,,,67-78,,B. Biyombo misses 2-pt shot from 1 ft
8:31.0,,,67-78,,Offensive rebound by K. Lowry
8:30.0,,,67-78,,Toronto full timeout
8:30.0,S. Hill enters the game for C. Miles,,67-78,,
8:19.0,,,67-81,3,N. Powell makes 3-pt shot from 24 ft (assist by P. Patterson)
8:00.0,Turnover by P. George (lost ball; steal by N. Powell),,67-81,,
7:40.0,,,67-81,,K. Lowry misses 3-pt shot from 25 ft
7:40.0,,,67-81,,Offensive rebound by Team
7:40.0,Loose ball foul by M. Turner,,67-81,,
7:31.0,,,67-83,2,C. Joseph makes 2-pt shot from 20 ft
7:31.0,Indiana full timeout,,67-83,,
7:31.0,I. Mahinmi enters the game for M. Turner,,67-83,,
7:09.0,I. Mahinmi makes 2-pt shot from 2 ft (assist by M. Ellis),2,69-83,,
6:43.0,,,69-83,,C. Joseph misses 2-pt shot from 15 ft
6:42.0,Defensive rebound by P. George,,69-83,,
6:35.0,Shooting foul by N. Powell (drawn by P. George),,69-83,,
6:35.0,P. George makes free throw 1 of 2,1,70-83,,
6:35.0,,,70-83,,J. Valanciunas enters the game for B. Biyombo
6:35.0,,,70-83,,D. DeRozan enters the game for P. Patterson
6:35.0,P. George makes free throw 2 of 2,1,71-83,,
6:10.0,,,71-83,,K. Lowry misses 3-pt shot from 25 ft
6:09.0,Defensive rebound by P. George,,71-83,,
6:00.0,P. George makes 2-pt shot from 13 ft,2,73-83,,
5:35.0,,,73-85,2,K. Lowry makes 2-pt shot from 1 ft
5:13.0,G. Hill makes 2-pt shot from 2 ft,2,75-85,,
4:47.0,,,75-85,,Turnover by C. Joseph (bad pass)
4:47.0,,,75-85,,D. Carroll enters the game for N. Powell
4:25.0,P. George misses 2-pt shot from 7 ft (block by D. Carroll),,75-85,,
4:23.0,Offensive rebound by M. Ellis,,75-85,,
4:22.0,Turnover by Team (shot clock),,75-85,,
4:08.0,,,75-85,,Turnover by C. Joseph (lost ball; steal by G. Hill)
4:02.0,M. Ellis makes 2-pt shot from 5 ft (assist by G. Hill),2,77-85,,
3:52.0,,,77-85,,Turnover by D. DeRozan (lost ball; steal by P. George)
3:51.0,Offensive foul by P. George,,77-85,,
3:51.0,Turnover by P. George (offensive foul),,77-85,,
3:51.0,,,77-85,,Toronto full timeout
3:35.0,,,77-85,,D. Carroll misses 2-pt shot from 7 ft
3:35.0,,,77-85,,Offensive rebound by J. Valanciunas
3:32.0,,,77-85,,J. Valanciunas misses 2-pt shot from 2 ft
3:28.0,,,77-85,,Offensive rebound by J. Valanciunas
3:27.0,,,77-85,,J. Valanciunas misses 2-pt shot from 2 ft
3:25.0,Defensive rebound by P. George,,77-85,,
3:20.0,S. Hill makes 2-pt shot at rim,2,79-85,,
3:03.0,,,79-85,,J. Valanciunas misses 2-pt shot from 2 ft
3:02.0,,,79-85,,Offensive rebound by D. Carroll
2:59.0,,,79-85,,Turnover by D. Carroll (bad pass)
2:36.0,M. Ellis makes 3-pt shot from 25 ft,3,82-85,,
2:10.0,,,82-87,2,K. Lowry makes 2-pt shot from 2 ft
1:55.0,Turnover by M. Ellis (lost ball; steal by K. Lowry),,82-87,,
1:49.0,,,82-87,,Toronto full timeout
1:33.0,,,82-87,,K. Lowry misses 2-pt shot from 20 ft
1:32.0,Defensive rebound by I. Mahinmi,,82-87,,
1:26.0,Turnover by P. George (lost ball),,82-87,,
1:16.0,Personal foul by G. Hill,,82-87,,
1:00.0,,,82-87,,D. Carroll misses 2-pt shot from 7 ft
0:59.0,,,82-87,,Offensive rebound by J. Valanciunas
0:57.0,,,82-87,,J. Valanciunas misses 2-pt shot from 4 ft
0:56.0,Defensive rebound by P. George,,82-87,,
0:52.0,,,82-87,,Personal foul by D. DeRozan
0:52.0,P. George makes free throw 1 of 2,1,83-87,,
0:52.0,P. George makes free throw 2 of 2,1,84-87,,
0:30.0,,,84-87,,D. DeRozan misses 3-pt shot from 26 ft
0:27.0,Defensive rebound by S. Hill,,84-87,,
0:27.0,Indiana full timeout,,84-87,,
0:27.0,,,84-87,,B. Biyombo enters the game for J. Valanciunas
0:15.0,Turnover by P. George (lost ball; steal by D. DeRozan),,84-87,,
0:07.0,Personal foul by G. Hill,,84-87,,
0:07.0,,,84-88,1,D. DeRozan makes free throw 1 of 2
0:07.0,M. Turner enters the game for I. Mahinmi,,84-88,,
0:07.0,,,84-89,1,D. DeRozan makes free throw 2 of 2
0:07.0,Indiana full timeout,,84-89,,
0:04.0,P. George misses 3-pt shot from 25 ft,,84-89,,
0:03.0,,,84-89,,Defensive rebound by B. Biyombo
0:00.0,End of 4th quarter,,,,End of 4th quarter
