time,San Antonio,pts.away,score,pts.home,Orlando
4:48.0,L. Aldridge makes 2-pt shot from 12 ft,2,12-13,,
4:39.0,,,12-15,2,E. Fournier makes 2-pt shot from 2 ft (assist by E. Payton)
4:28.0,,,12-15,,Personal foul by E. Payton (drawn by P. Mills)
4:28.0,J. Simmons enters the game for D. Green,,12-15,,
4:16.0,K. Leonard makes 2-pt shot from 14 ft,2,14-15,,
4:02.0,,,14-17,2,N. Vucevic makes 2-pt shot from 7 ft
3:43.0,K. Leonard makes 3-pt shot from 25 ft (assist by P. Mills),3,17-17,,
3:19.0,,,17-19,2,V. Oladipo makes 2-pt shot from 16 ft
3:07.0,L. Aldridge makes 2-pt shot from 2 ft (assist by B. Diaw),2,19-19,,
3:07.0,Shooting foul by N. Vucevic (drawn by L. Aldridge),,19-19,,
3:07.0,K. Anderson enters the game for K. Leonard,,19-19,,
3:07.0,,,19-19,,M. Hezonja enters the game for V. Oladipo
3:07.0,L. Aldridge makes free throw 1 of 1,1,20-19,,
2:52.0,,,20-19,,Offensive charge foul by A. Gordon
2:52.0,,,20-19,,Turnover by A. Gordon (offensive foul)
2:52.0,,,20-19,,Orlando full timeout
2:52.0,D. West enters the game for L. Aldridge,,20-19,,
2:42.0,Turnover by D. West (bad pass; steal by N. Vucevic),,20-19,,
2:33.0,,,20-19,,N. Vucevic misses 2-pt shot from 2 ft
2:31.0,,,20-19,,Offensive rebound by N. Vucevic
2:30.0,,,20-19,,Turnover by N. Vucevic (traveling)
2:10.0,Turnover by B. Diaw (traveling),,20-19,,
1:55.0,,,20-21,2,N. Vucevic makes 2-pt shot from 15 ft (assist by E. Fournier)
1:32.0,P. Mills makes 3-pt shot from 25 ft (assist by B. Diaw),3,23-21,,
1:32.0,Shooting foul by E. Fournier (drawn by P. Mills),,23-21,,
1:32.0,P. Mills misses free throw 1 of 1,,23-21,,
1:31.0,,,23-21,,Defensive rebound by A. Gordon
1:17.0,,,23-21,,Offensive foul by N. Vucevic
1:17.0,,,23-21,,Turnover by N. Vucevic (offensive foul)
1:17.0,,,23-21,,D. Dedmon enters the game for N. Vucevic
0:57.0,D. West makes 2-pt shot from 9 ft,2,25-21,,
0:41.0,,,25-23,2,E. Payton makes 2-pt shot from 15 ft
0:32.0,P. Mills makes 2-pt shot from 16 ft,2,27-23,,
0:09.0,,,27-23,,E. Fournier misses 2-pt shot from 11 ft
0:07.0,,,27-23,,Offensive rebound by D. Dedmon
0:07.0,,,27-23,,D. Dedmon misses 2-pt shot from 1 ft
0:05.0,,,27-23,,Offensive rebound by D. Dedmon
0:05.0,,,27-23,,D. Dedmon misses 2-pt shot from 2 ft
0:03.0,,,27-23,,Offensive rebound by D. Dedmon
0:03.0,,,27-23,,D. Dedmon misses 2-pt shot from 1 ft (block by K. Anderson)
0:03.0,Defensive rebound by Team,,27-23,,
0:00.0,P. Mills makes 2-pt shot from 10 ft,2,29-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,29-23,,Turnover by M. Hezonja (bad pass)
11:31.0,Shooting foul by M. Hezonja (drawn by K. Anderson),,29-23,,
11:31.0,K. Anderson makes free throw 1 of 2,1,30-23,,
11:31.0,K. Anderson makes free throw 2 of 2,1,31-23,,
11:15.0,,,31-23,,M. Hezonja misses 3-pt shot from 25 ft
11:14.0,Defensive rebound by D. West,,31-23,,
10:57.0,J. Simmons misses 2-pt shot from 2 ft,,31-23,,
10:56.0,,,31-23,,Defensive rebound by V. Oladipo
10:41.0,,,31-25,2,M. Hezonja makes 2-pt shot from 3 ft
10:26.0,D. West misses 2-pt shot from 18 ft,,31-25,,
10:25.0,,,31-25,,Defensive rebound by D. Dedmon
10:13.0,,,31-25,,S. Napier misses 2-pt shot from 17 ft (block by P. Mills)
10:11.0,,,31-25,,Offensive rebound by D. Dedmon
10:02.0,,,31-27,2,V. Oladipo makes 2-pt shot at rim (assist by A. Nicholson)
9:43.0,D. West misses 2-pt shot from 1 ft (block by D. Dedmon),,31-27,,
9:40.0,Offensive rebound by D. West,,31-27,,
9:38.0,J. Simmons misses 3-pt shot from 24 ft,,31-27,,
9:37.0,,,31-27,,Defensive rebound by D. Dedmon
9:17.0,,,31-27,,S. Napier misses 3-pt shot from 24 ft
9:16.0,Defensive rebound by K. Anderson,,31-27,,
9:14.0,Turnover by K. Anderson (bad pass),,31-27,,
9:14.0,,,31-27,,Orlando full timeout
9:14.0,T. Duncan enters the game for B. Diaw,,31-27,,
9:14.0,R. McCallum enters the game for P. Mills,,31-27,,
9:14.0,D. Green enters the game for J. Simmons,,31-27,,
9:05.0,,,31-27,,V. Oladipo misses 2-pt shot from 18 ft
9:03.0,Defensive rebound by R. McCallum,,31-27,,
8:54.0,Turnover by D. West (lost ball; steal by V. Oladipo),,31-27,,
8:48.0,,,31-29,2,M. Hezonja makes 2-pt shot from 1 ft (assist by D. Dedmon)
8:30.0,K. Anderson misses 2-pt shot from 8 ft,,31-29,,
8:28.0,,,31-29,,Defensive rebound by D. Dedmon
8:19.0,,,31-29,,V. Oladipo misses 3-pt shot from 25 ft
8:18.0,Defensive rebound by R. McCallum,,31-29,,
8:05.0,T. Duncan makes 2-pt shot from 2 ft (assist by K. Anderson),2,33-29,,
7:47.0,,,33-29,,A. Nicholson misses 2-pt shot from 19 ft
7:46.0,Defensive rebound by T. Duncan,,33-29,,
7:35.0,Turnover by D. Green (lost ball; steal by M. Hezonja),,33-29,,
7:33.0,Personal foul by D. West (drawn by V. Oladipo),,33-29,,
7:33.0,K. Leonard enters the game for K. Anderson,,33-29,,
7:18.0,,,33-32,3,M. Hezonja makes 3-pt shot from 25 ft (assist by D. Dedmon)
7:01.0,D. West makes 2-pt shot from 1 ft (assist by D. Green),2,35-32,,
6:44.0,,,35-35,3,A. Nicholson makes 3-pt shot from 24 ft (assist by S. Napier)
6:18.0,R. McCallum makes 2-pt shot from 15 ft,2,37-35,,
6:01.0,,,37-35,,A. Nicholson misses 3-pt shot from 26 ft
6:00.0,Defensive rebound by Team,,37-35,,
6:00.0,L. Aldridge enters the game for D. West,,37-35,,
5:50.0,Shooting foul by M. Hezonja (drawn by R. McCallum),,37-35,,
5:50.0,Official timeout,,37-35,,
5:50.0,,,37-35,,E. Fournier enters the game for D. Dedmon
5:50.0,,,37-35,,N. Vucevic enters the game for S. Napier
5:50.0,,,37-35,,E. Payton enters the game for M. Hezonja
5:50.0,R. McCallum makes free throw 1 of 2,1,38-35,,
5:50.0,R. McCallum makes free throw 2 of 2,1,39-35,,
5:29.0,,,39-37,2,N. Vucevic makes 2-pt shot from 13 ft (assist by V. Oladipo)
5:16.0,K. Leonard makes 2-pt shot from 2 ft (assist by T. Duncan),2,41-37,,
5:03.0,,,41-37,,Shooting foul by R. McCallum (drawn by E. Payton)
5:03.0,,,41-37,,E. Payton misses free throw 1 of 2
5:03.0,,,41-37,,Offensive rebound by Team
5:03.0,,,41-38,1,E. Payton makes free throw 2 of 2
4:47.0,K. Leonard misses 2-pt shot from 15 ft,,41-38,,
4:45.0,,,41-38,,Defensive rebound by A. Nicholson
4:35.0,,,41-38,,E. Fournier misses 3-pt shot from 26 ft
4:34.0,Defensive rebound by D. Green,,41-38,,
4:26.0,L. Aldridge makes 2-pt shot from 2 ft (assist by T. Duncan),2,43-38,,
4:04.0,,,43-40,2,E. Fournier makes 2-pt shot from 1 ft
3:45.0,T. Duncan misses 2-pt shot from 9 ft (block by A. Nicholson),,43-40,,
3:43.0,,,43-40,,Defensive rebound by N. Vucevic
3:39.0,,,43-40,,E. Payton misses 2-pt shot at rim (block by T. Duncan)
3:36.0,Defensive rebound by K. Leonard,,43-40,,
3:29.0,T. Duncan makes 2-pt shot from 2 ft (assist by L. Aldridge),2,45-40,,
3:29.0,Shooting foul by A. Nicholson (drawn by T. Duncan),,45-40,,
3:29.0,P. Mills enters the game for R. McCallum,,45-40,,
3:29.0,T. Duncan makes free throw 1 of 1,1,46-40,,
3:13.0,,,46-40,,A. Nicholson misses 2-pt shot from 10 ft
3:12.0,Defensive rebound by L. Aldridge,,46-40,,
3:04.0,K. Leonard makes 2-pt shot from 8 ft,2,48-40,,
2:46.0,,,48-40,,N. Vucevic misses 2-pt shot from 7 ft (block by K. Leonard)
2:44.0,Defensive rebound by K. Leonard,,48-40,,
2:40.0,K. Leonard makes 2-pt shot from 1 ft (assist by P. Mills),2,50-40,,
2:39.0,,,50-40,,Orlando full timeout
2:39.0,San Antonio full timeout,,50-40,,
2:39.0,,,50-40,,A. Gordon enters the game for A. Nicholson
2:39.0,B. Diaw enters the game for T. Duncan,,50-40,,
2:22.0,,,50-40,,Turnover by N. Vucevic (traveling)
2:07.0,,,50-40,,Personal foul by E. Fournier (drawn by K. Leonard)
1:59.0,K. Leonard misses 2-pt shot from 17 ft,,50-40,,
1:57.0,,,50-40,,Defensive rebound by A. Gordon
1:45.0,,,50-43,3,V. Oladipo makes 3-pt shot from 26 ft (assist by E. Payton)
1:27.0,B. Diaw misses 2-pt shot from 1 ft (block by A. Gordon),,50-43,,
1:25.0,,,50-43,,Defensive rebound by E. Payton
1:21.0,,,50-43,,V. Oladipo misses 2-pt shot from 16 ft
1:19.0,,,50-43,,Offensive rebound by A. Gordon
1:08.0,,,50-45,2,E. Fournier makes 2-pt shot from 20 ft (assist by N. Vucevic)
0:54.0,B. Diaw misses 2-pt shot from 5 ft,,50-45,,
0:52.0,,,50-45,,Defensive rebound by E. Payton
0:48.0,,,50-45,,Turnover by V. Oladipo (lost ball; steal by P. Mills)
0:40.0,D. Green misses 3-pt shot from 24 ft,,50-45,,
0:38.0,,,50-45,,Defensive rebound by N. Vucevic
0:30.0,,,50-48,3,E. Fournier makes 3-pt shot from 25 ft (assist by N. Vucevic)
0:15.0,D. Green misses 3-pt shot from 23 ft,,50-48,,
0:13.0,,,50-48,,Defensive rebound by E. Fournier
0:07.0,Personal take foul by P. Mills (drawn by E. Payton),,50-48,,
0:00.0,,,50-51,3,V. Oladipo makes 3-pt shot from 23 ft (assist by E. Fournier)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,50-51,,Turnover by V. Oladipo (bad pass; steal by K. Leonard)
11:42.0,Turnover by D. Green (step out of bounds),,50-51,,
11:31.0,,,50-51,,V. Oladipo misses 2-pt shot from 11 ft
11:30.0,,,50-51,,Offensive rebound by N. Vucevic
11:30.0,,,50-51,,N. Vucevic misses 2-pt shot from 1 ft
11:27.0,,,50-51,,Offensive rebound by N. Vucevic
11:27.0,,,50-51,,N. Vucevic misses 2-pt shot from 1 ft
11:26.0,Defensive rebound by K. Leonard,,50-51,,
11:16.0,Turnover by T. Duncan (bad pass),,50-51,,
11:06.0,,,50-51,,V. Oladipo misses 2-pt shot from 1 ft
11:05.0,Defensive rebound by K. Leonard,,50-51,,
10:58.0,Turnover by K. Leonard (bad pass; steal by E. Payton),,50-51,,
10:56.0,,,50-51,,Turnover by E. Payton (bad pass; steal by K. Leonard)
10:51.0,L. Aldridge makes 2-pt shot from 2 ft (assist by K. Leonard),2,52-51,,
10:32.0,,,52-51,,N. Vucevic misses 2-pt shot from 2 ft (block by T. Duncan)
10:32.0,,,52-51,,Offensive rebound by Team
10:28.0,,,52-51,,N. Vucevic misses 2-pt shot from 2 ft
10:27.0,Defensive rebound by R. McCallum,,52-51,,
10:14.0,K. Leonard makes 3-pt shot from 25 ft (assist by L. Aldridge),3,55-51,,
9:55.0,,,55-51,,N. Vucevic misses 2-pt shot from 5 ft
9:54.0,Defensive rebound by T. Duncan,,55-51,,
9:44.0,T. Duncan misses 2-pt shot from 8 ft (block by A. Gordon),,55-51,,
9:42.0,,,55-51,,Defensive rebound by E. Payton
9:34.0,,,55-51,,Shooting foul by T. Duncan (drawn by E. Payton)
9:34.0,,,55-52,1,E. Payton makes free throw 1 of 2
9:34.0,,,55-53,1,E. Payton makes free throw 2 of 2
9:15.0,L. Aldridge misses 2-pt shot from 8 ft,,55-53,,
9:14.0,,,55-53,,Defensive rebound by A. Gordon
9:07.0,,,55-53,,A. Gordon misses 2-pt shot from 12 ft
9:06.0,Defensive rebound by T. Duncan,,55-53,,
8:57.0,L. Aldridge makes 2-pt shot from 2 ft (assist by T. Duncan),2,57-53,,
8:36.0,,,57-53,,E. Payton misses 2-pt shot from 16 ft
8:35.0,Defensive rebound by R. McCallum,,57-53,,
8:20.0,T. Duncan misses 2-pt shot from 2 ft (block by N. Vucevic),,57-53,,
8:18.0,Offensive rebound by T. Duncan,,57-53,,
8:18.0,T. Duncan misses 2-pt shot from 2 ft,,57-53,,
8:18.0,Offensive rebound by L. Aldridge,,57-53,,
8:18.0,L. Aldridge misses 2-pt shot from 1 ft,,57-53,,
8:18.0,,,57-53,,Defensive rebound by Team
8:01.0,,,57-55,2,N. Vucevic makes 2-pt shot from 7 ft (assist by E. Fournier)
7:44.0,D. Green misses 2-pt shot from 16 ft,,57-55,,
7:43.0,,,57-55,,Defensive rebound by N. Vucevic
7:34.0,,,57-57,2,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Payton)
7:19.0,R. McCallum misses 2-pt shot from 1 ft,,57-57,,
7:17.0,,,57-57,,Defensive rebound by A. Gordon
7:07.0,,,57-57,,V. Oladipo misses 3-pt shot from 25 ft
7:06.0,Defensive rebound by T. Duncan,,57-57,,
6:55.0,R. McCallum misses 3-pt shot from 25 ft,,57-57,,
6:54.0,Offensive rebound by T. Duncan,,57-57,,
6:49.0,D. Green makes 3-pt shot from 25 ft (assist by T. Duncan),3,60-57,,
6:38.0,,,60-57,,A. Gordon misses 3-pt shot from 24 ft
6:37.0,Defensive rebound by D. Green,,60-57,,
6:32.0,L. Aldridge misses 2-pt shot from 2 ft,,60-57,,
6:30.0,,,60-57,,Defensive rebound by A. Gordon
6:18.0,,,60-60,3,E. Fournier makes 3-pt shot from 24 ft (assist by N. Vucevic)
6:10.0,San Antonio full timeout,,60-60,,
6:10.0,P. Mills enters the game for T. Duncan,,60-60,,
6:10.0,J. Simmons enters the game for D. Green,,60-60,,
6:10.0,B. Diaw enters the game for R. McCallum,,60-60,,
5:54.0,Turnover by J. Simmons (bad pass; steal by A. Gordon),,60-60,,
5:47.0,,,60-62,2,V. Oladipo makes 2-pt shot from 2 ft (assist by A. Gordon)
5:28.0,B. Diaw misses 2-pt shot from 2 ft (block by N. Vucevic),,60-62,,
5:26.0,,,60-62,,Defensive rebound by N. Vucevic
5:23.0,Personal foul by J. Simmons (drawn by V. Oladipo),,60-62,,
5:09.0,,,60-64,2,E. Fournier makes 2-pt shot from 1 ft
5:09.0,Shooting block foul by J. Simmons (drawn by E. Fournier),,60-64,,
5:09.0,,,60-65,1,E. Fournier makes free throw 1 of 1
4:58.0,K. Leonard misses 2-pt shot from 9 ft,,60-65,,
4:56.0,Offensive rebound by P. Mills,,60-65,,
4:47.0,P. Mills makes 3-pt shot from 25 ft (assist by K. Leonard),3,63-65,,
4:31.0,,,63-65,,Shooting foul by J. Simmons (drawn by E. Fournier)
4:31.0,,,63-66,1,E. Fournier makes free throw 1 of 2
4:31.0,K. Anderson enters the game for K. Leonard,,63-66,,
4:31.0,,,63-67,1,E. Fournier makes free throw 2 of 2
4:17.0,L. Aldridge misses 2-pt shot from 6 ft,,63-67,,
4:16.0,,,63-67,,Defensive rebound by N. Vucevic
4:07.0,,,63-69,2,A. Gordon makes 2-pt shot from 2 ft (assist by E. Fournier)
4:07.0,,,63-69,,Shooting foul by L. Aldridge (drawn by A. Gordon)
4:07.0,,,63-70,1,A. Gordon makes free throw 1 of 1
3:54.0,L. Aldridge misses 2-pt shot from 18 ft,,63-70,,
3:51.0,,,63-70,,Defensive rebound by V. Oladipo
3:45.0,,,63-70,,V. Oladipo misses 2-pt shot from 2 ft
3:42.0,Defensive rebound by B. Diaw,,63-70,,
3:37.0,J. Simmons misses 2-pt shot from 7 ft,,63-70,,
3:35.0,,,63-70,,Defensive rebound by E. Fournier
3:31.0,,,63-70,,Orlando full timeout
3:31.0,D. West enters the game for L. Aldridge,,63-70,,
3:21.0,,,63-70,,A. Gordon misses 3-pt shot from 23 ft
3:20.0,,,63-70,,Offensive rebound by N. Vucevic
3:20.0,,,63-70,,N. Vucevic misses 2-pt shot from 2 ft
3:18.0,Defensive rebound by B. Diaw,,63-70,,
3:10.0,B. Diaw misses 2-pt shot from 7 ft,,63-70,,
3:09.0,,,63-70,,Defensive rebound by A. Gordon
2:45.0,,,63-70,,E. Payton misses 2-pt shot from 14 ft
2:43.0,Defensive rebound by B. Diaw,,63-70,,
2:25.0,K. Anderson misses 3-pt shot from 23 ft,,63-70,,
2:24.0,,,63-70,,Defensive rebound by A. Gordon
2:12.0,,,63-70,,A. Gordon misses 2-pt shot from 2 ft (block by D. West)
2:12.0,,,63-70,,Offensive rebound by Team
2:12.0,,,63-70,,M. Hezonja enters the game for V. Oladipo
2:12.0,,,63-70,,A. Nicholson enters the game for A. Gordon
2:06.0,,,63-72,2,E. Fournier makes 2-pt shot from 12 ft (assist by M. Hezonja)
1:55.0,B. Diaw makes 2-pt shot from 2 ft (assist by P. Mills),2,65-72,,
1:43.0,,,65-75,3,M. Hezonja makes 3-pt shot from 25 ft (assist by N. Vucevic)
1:11.0,B. Diaw makes 2-pt shot from 18 ft,2,67-75,,
0:47.0,,,67-77,2,E. Payton makes 2-pt shot from 9 ft
0:33.0,B. Diaw misses 3-pt shot from 26 ft,,67-77,,
0:32.0,Offensive rebound by P. Mills,,67-77,,
0:31.0,,,67-77,,Personal foul by M. Hezonja (drawn by P. Mills)
0:22.0,K. Anderson misses 2-pt shot from 12 ft,,67-77,,
0:20.0,,,67-77,,Defensive rebound by A. Nicholson
0:05.0,Personal foul by K. Anderson (drawn by M. Hezonja),,67-77,,
0:05.0,,,67-78,1,M. Hezonja makes free throw 1 of 2
0:05.0,,,67-78,,D. Dedmon enters the game for N. Vucevic
0:05.0,,,67-79,1,M. Hezonja makes free throw 2 of 2
0:00.0,J. Simmons misses 2-pt shot from 13 ft,,67-79,,
0:00.0,Offensive rebound by Team,,67-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,P. Mills misses 3-pt shot from 26 ft,,67-79,,
11:43.0,,,67-79,,Defensive rebound by E. Payton
11:25.0,,,67-79,,A. Nicholson misses 2-pt shot from 11 ft
11:23.0,,,67-79,,Offensive rebound by D. Dedmon
11:23.0,,,67-81,2,D. Dedmon makes 2-pt shot from 2 ft
11:02.0,P. Mills misses 2-pt shot from 11 ft,,67-81,,
11:00.0,,,67-81,,Defensive rebound by E. Payton
10:44.0,,,67-81,,E. Fournier misses 2-pt shot from 18 ft
10:43.0,,,67-81,,Offensive rebound by D. Dedmon
10:42.0,,,67-81,,D. Dedmon misses 2-pt shot from 2 ft
10:41.0,,,67-81,,Offensive rebound by Team
10:31.0,,,67-81,,M. Hezonja misses 3-pt shot from 25 ft
10:30.0,Defensive rebound by P. Mills,,67-81,,
10:22.0,K. Anderson misses 2-pt shot from 3 ft (block by A. Nicholson),,67-81,,
10:22.0,Offensive rebound by Team,,67-81,,
10:19.0,D. Green makes 2-pt shot from 12 ft (assist by P. Mills),2,69-81,,
10:03.0,,,69-81,,Turnover by D. Dedmon (lost ball; steal by K. Anderson)
9:58.0,D. Green makes 3-pt shot from 25 ft (assist by K. Anderson),3,72-81,,
9:31.0,,,72-81,,E. Fournier misses 2-pt shot from 20 ft
9:30.0,,,72-81,,Offensive rebound by A. Nicholson
9:14.0,,,72-83,2,E. Payton makes 2-pt shot from 8 ft
9:00.0,Turnover by P. Mills (bad pass; steal by E. Payton),,72-83,,
8:56.0,,,72-83,,Offensive charge foul by M. Hezonja
8:56.0,,,72-83,,Turnover by M. Hezonja (offensive foul)
8:56.0,Official timeout,,72-83,,
8:56.0,,,72-83,,N. Vucevic enters the game for M. Hezonja
8:56.0,,,72-83,,V. Oladipo enters the game for D. Dedmon
8:56.0,K. Leonard enters the game for J. Simmons,,72-83,,
8:56.0,L. Aldridge enters the game for B. Marjanovic,,72-83,,
8:46.0,D. Green makes 2-pt shot from 1 ft (assist by P. Mills),2,74-83,,
8:41.0,,,74-83,,Turnover by A. Nicholson (bad pass)
8:33.0,Turnover by L. Aldridge (bad pass; steal by V. Oladipo),,74-83,,
8:13.0,,,74-85,2,N. Vucevic makes 2-pt shot from 14 ft
7:51.0,D. Green misses 3-pt shot from 25 ft,,74-85,,
7:50.0,Offensive rebound by P. Mills,,74-85,,
7:47.0,P. Mills makes 2-pt shot from 13 ft,2,76-85,,
7:29.0,,,76-87,2,E. Fournier makes 2-pt shot from 2 ft (assist by N. Vucevic)
7:17.0,K. Leonard makes 2-pt shot from 15 ft,2,78-87,,
6:58.0,,,78-87,,Turnover by E. Payton (bad pass; steal by K. Anderson)
6:58.0,Jump ball: K. Anderson vs. N. Vucevic (L. Aldridge gains possession),,,,Jump ball: K. Anderson vs. N. Vucevic (L. Aldridge gains possession)
6:43.0,K. Leonard makes 2-pt shot from 20 ft (assist by P. Mills),2,80-87,,
6:29.0,,,80-87,,Shooting foul by P. Mills (drawn by N. Vucevic)
6:29.0,,,80-88,1,N. Vucevic makes free throw 1 of 2
6:29.0,,,80-89,1,N. Vucevic makes free throw 2 of 2
6:14.0,,,80-89,,Personal foul by A. Nicholson (drawn by L. Aldridge)
6:11.0,P. Mills misses 3-pt shot from 26 ft,,80-89,,
6:09.0,,,80-89,,Defensive rebound by N. Vucevic
5:53.0,,,80-89,,E. Fournier misses 2-pt shot from 2 ft
5:52.0,Defensive rebound by D. Green,,80-89,,
5:45.0,P. Mills makes 3-pt shot from 23 ft (assist by K. Anderson),3,83-89,,
5:38.0,,,83-89,,Orlando full timeout
5:38.0,,,83-89,,A. Gordon enters the game for A. Nicholson
5:38.0,R. Butler enters the game for K. Anderson,,83-89,,
5:29.0,,,83-89,,N. Vucevic misses 2-pt shot from 9 ft
5:28.0,Defensive rebound by L. Aldridge,,83-89,,
5:12.0,K. Leonard misses 2-pt shot from 11 ft,,83-89,,
5:11.0,Offensive rebound by D. Green,,83-89,,
5:06.0,K. Leonard makes 3-pt shot from 24 ft (assist by D. Green),3,86-89,,
4:45.0,,,86-91,2,N. Vucevic makes 2-pt shot from 10 ft (assist by E. Payton)
4:31.0,P. Mills makes 2-pt shot from 1 ft,2,88-91,,
4:16.0,Personal foul by K. Leonard (drawn by N. Vucevic),,88-91,,
4:10.0,,,88-91,,E. Fournier misses 2-pt shot from 22 ft
4:08.0,Defensive rebound by L. Aldridge,,88-91,,
4:02.0,,,88-91,,Personal foul by E. Payton (drawn by P. Mills)
3:52.0,D. Green misses 3-pt shot from 25 ft,,88-91,,
3:50.0,,,88-91,,Defensive rebound by A. Gordon
3:37.0,,,88-91,,N. Vucevic misses 2-pt shot from 2 ft (block by R. Butler)
3:36.0,Defensive rebound by K. Leonard,,88-91,,
3:28.0,P. Mills misses 2-pt shot from 2 ft,,88-91,,
3:27.0,,,88-91,,Defensive rebound by A. Gordon
3:09.0,,,88-93,2,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Fournier)
3:09.0,San Antonio full timeout,,88-93,,
2:54.0,D. Green misses 3-pt shot from 23 ft,,88-93,,
2:52.0,,,88-93,,Defensive rebound by A. Gordon
2:33.0,,,88-93,,Turnover by V. Oladipo (step out of bounds)
2:23.0,Shooting foul by N. Vucevic (drawn by L. Aldridge),,88-93,,
2:23.0,L. Aldridge makes free throw 1 of 2,1,89-93,,
2:23.0,L. Aldridge makes free throw 2 of 2,1,90-93,,
