time,LA Lakers,pts.away,score,pts.home,Milwaukee
5:16.0,,,11-15,,K. Middleton misses 3-pt shot from 23 ft
5:14.0,Defensive rebound by K. Bryant,,11-15,,
5:06.0,R. Hibbert misses 2-pt shot from 7 ft,,11-15,,
5:01.0,,,11-15,,Defensive rebound by G. Monroe
4:57.0,,,11-17,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Carter-Williams)
4:41.0,Turnover by L. Williams (kicked ball),,11-17,,
4:41.0,B. Bass enters the game for R. Hibbert,,11-17,,
4:25.0,,,11-17,,K. Middleton misses 3-pt shot from 25 ft
4:22.0,Defensive rebound by D. Russell,,11-17,,
4:15.0,L. Williams misses 2-pt shot from 2 ft,,11-17,,
4:15.0,,,11-17,,Defensive rebound by J. Parker
4:15.0,Loose ball foul by L. Williams,,11-17,,
4:01.0,,,11-19,2,K. Middleton makes 2-pt shot from 13 ft
3:40.0,K. Bryant misses 3-pt shot from 28 ft,,11-19,,
3:39.0,,,11-19,,Defensive rebound by G. Monroe
3:25.0,,,11-21,2,K. Middleton makes 2-pt shot from 6 ft
3:07.0,L. Williams misses 3-pt shot from 23 ft,,11-21,,
3:06.0,,,11-21,,Defensive rebound by M. Carter-Williams
3:03.0,,,11-21,,Shooting foul by B. Bass (drawn by G. Antetokounmpo)
3:03.0,,,11-21,,G. Antetokounmpo misses free throw 1 of 2
3:03.0,,,11-21,,Offensive rebound by Team
3:03.0,N. Young enters the game for K. Bryant,,11-21,,
3:03.0,L. Nance enters the game for J. Randle,,11-21,,
3:03.0,,,11-22,1,G. Antetokounmpo makes free throw 2 of 2
2:45.0,L. Nance makes 2-pt shot from 4 ft (assist by D. Russell),2,13-22,,
2:29.0,,,13-22,,K. Middleton misses 2-pt shot from 13 ft
2:27.0,Defensive rebound by N. Young,,13-22,,
2:09.0,B. Bass makes 2-pt shot at rim (assist by L. Nance),2,15-22,,
1:55.0,Personal foul by L. Nance,,15-22,,
1:55.0,LA Lakers full timeout,,15-22,,
1:55.0,,,15-22,,R. Vaughn enters the game for J. Parker
1:55.0,,,15-22,,G. Antetokounmpo misses free throw 1 of 2
1:55.0,,,15-22,,Offensive rebound by Team
1:55.0,,,15-23,1,G. Antetokounmpo makes free throw 2 of 2
1:38.0,N. Young misses 2-pt shot from 21 ft,,15-23,,
1:36.0,Offensive rebound by L. Nance,,15-23,,
1:29.0,B. Bass makes 2-pt shot from 13 ft (assist by D. Russell),2,17-23,,
1:11.0,,,17-25,2,G. Monroe makes 2-pt shot from 3 ft
0:54.0,Turnover by B. Bass (lost ball; steal by G. Monroe),,17-25,,
0:50.0,,,17-27,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton)
0:45.0,Shooting foul by G. Antetokounmpo (drawn by L. Williams),,17-27,,
0:45.0,L. Williams makes free throw 1 of 2,1,18-27,,
0:45.0,L. Williams makes free throw 2 of 2,1,19-27,,
0:24.0,,,19-29,2,G. Monroe makes 2-pt shot from 9 ft
0:01.0,L. Williams misses 3-pt shot from 23 ft,,19-29,,
0:00.0,Offensive rebound by Team,,19-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,19-32,3,O. Mayo makes 3-pt shot from 26 ft (assist by R. Vaughn)
11:27.0,L. Williams misses 2-pt shot from 17 ft,,19-32,,
11:25.0,Offensive rebound by L. Nance,,19-32,,
11:11.0,N. Young misses 3-pt shot from 25 ft,,19-32,,
11:09.0,,,19-32,,Defensive rebound by J. Parker
11:02.0,,,19-32,,J. Parker misses 2-pt shot from 18 ft
11:01.0,Defensive rebound by B. Bass,,19-32,,
10:50.0,N. Young makes 2-pt shot from 18 ft (assist by J. Clarkson),2,21-32,,
10:36.0,,,21-32,,M. Carter-Williams misses 2-pt shot from 7 ft
10:33.0,Defensive rebound by J. Clarkson,,21-32,,
10:31.0,,,21-32,,Shooting block foul by O. Mayo (drawn by N. Young)
10:31.0,N. Young misses free throw 1 of 3,,21-32,,
10:31.0,Offensive rebound by Team,,21-32,,
10:31.0,N. Young makes free throw 2 of 3,1,22-32,,
10:31.0,N. Young misses free throw 3 of 3,,22-32,,
10:29.0,,,22-32,,Defensive rebound by G. Monroe
10:15.0,,,22-34,2,J. Parker makes 2-pt shot from 17 ft (assist by O. Mayo)
9:56.0,Offensive foul by J. Clarkson,,22-34,,
9:56.0,Turnover by J. Clarkson (offensive foul),,22-34,,
9:46.0,,,22-34,,M. Carter-Williams misses 2-pt shot from 14 ft
9:46.0,Defensive rebound by Team,,22-34,,
9:36.0,L. Williams misses 2-pt shot at rim (block by J. Parker),,22-34,,
9:31.0,,,22-34,,Defensive rebound by G. Monroe
9:25.0,,,22-34,,O. Mayo misses 3-pt shot from 23 ft
9:23.0,Defensive rebound by L. Nance,,22-34,,
9:20.0,Shooting foul by R. Vaughn (drawn by B. Bass),,22-34,,
9:20.0,B. Bass makes free throw 1 of 2,1,23-34,,
9:20.0,B. Bass makes free throw 2 of 2,1,24-34,,
9:05.0,,,24-34,,R. Vaughn misses 3-pt shot from 26 ft
9:04.0,Defensive rebound by Team,,24-34,,
8:48.0,N. Young misses 3-pt shot from 26 ft,,24-34,,
8:47.0,Offensive rebound by B. Bass,,24-34,,
8:47.0,Shooting foul by R. Vaughn (drawn by B. Bass),,24-34,,
8:47.0,Official timeout,,24-34,,
8:47.0,B. Bass makes free throw 1 of 2,1,25-34,,
8:47.0,B. Bass misses free throw 2 of 2,,25-34,,
8:46.0,,,25-34,,Defensive rebound by M. Carter-Williams
8:38.0,Personal foul by J. Clarkson,,25-34,,
8:30.0,,,25-34,,J. Parker misses 2-pt shot from 17 ft
8:29.0,Defensive rebound by B. Bass,,25-34,,
8:07.0,L. Williams misses 3-pt shot from 28 ft,,25-34,,
8:05.0,,,25-34,,Defensive rebound by J. Parker
7:59.0,,,25-34,,G. Monroe misses 2-pt shot from 1 ft
7:56.0,Defensive rebound by B. Bass,,25-34,,
7:50.0,J. Clarkson misses 2-pt shot from 2 ft (block by G. Monroe),,25-34,,
7:30.0,,,25-34,,Defensive rebound by J. Parker
7:30.0,,,25-36,2,J. Parker makes 2-pt shot at rim (assist by G. Monroe)
7:29.0,,,25-36,,Personal foul by R. Vaughn
7:19.0,J. Clarkson makes 3-pt shot from 24 ft (assist by L. Williams),3,28-36,,
7:08.0,,,28-36,,Turnover by R. Vaughn (lost ball; steal by J. Clarkson)
6:50.0,L. Nance misses 2-pt shot from 15 ft,,28-36,,
6:49.0,,,28-36,,Defensive rebound by J. Parker
6:43.0,,,28-36,,Shooting foul by L. Nance (drawn by M. Carter-Williams)
6:43.0,,,28-38,2,M. Carter-Williams makes 2-pt shot from 1 ft (assist by J. Parker)
6:43.0,K. Bryant enters the game for N. Young,,28-38,,
6:43.0,J. Randle enters the game for L. Nance,,28-38,,
6:43.0,,,28-38,,M. Carter-Williams misses free throw 1 of 1
6:35.0,Defensive rebound by L. Williams,,28-38,,
6:22.0,J. Clarkson makes 3-pt shot from 25 ft (assist by L. Williams),3,31-38,,
6:04.0,,,31-38,,Turnover by G. Monroe (lost ball; steal by J. Clarkson)
5:44.0,J. Clarkson makes 3-pt shot from 25 ft (assist by J. Randle),3,34-38,,
5:44.0,,,34-38,,Milwaukee full timeout
5:44.0,R. Hibbert enters the game for B. Bass,,34-38,,
5:44.0,,,34-38,,M. Plumlee enters the game for O. Mayo
5:44.0,,,34-38,,K. Middleton enters the game for G. Monroe
5:44.0,,,34-38,,G. Antetokounmpo enters the game for R. Vaughn
5:29.0,,,34-38,,G. Antetokounmpo misses 2-pt shot from 21 ft
5:27.0,Defensive rebound by J. Randle,,34-38,,
5:09.0,L. Williams misses 2-pt shot from 18 ft,,34-38,,
5:08.0,,,34-38,,Defensive rebound by M. Carter-Williams
5:01.0,,,34-38,,Shooting foul by L. Williams (drawn by M. Carter-Williams)
5:01.0,,,34-39,1,M. Carter-Williams makes free throw 1 of 2
5:01.0,D. Russell enters the game for L. Williams,,34-39,,
5:01.0,,,34-40,1,M. Carter-Williams makes free throw 2 of 2
4:48.0,J. Clarkson makes 3-pt shot from 27 ft (assist by K. Bryant),3,37-40,,
4:48.0,Shooting foul by M. Plumlee (drawn by J. Clarkson),,37-40,,
4:48.0,J. Clarkson makes free throw 1 of 1,1,38-40,,
4:36.0,,,38-40,,Shooting foul by J. Randle (drawn by M. Plumlee)
4:36.0,,,38-40,,M. Plumlee misses free throw 1 of 2
4:36.0,,,38-40,,Offensive rebound by Team
4:36.0,,,38-40,,M. Plumlee misses free throw 2 of 2
4:34.0,Defensive rebound by J. Clarkson,,38-40,,
4:22.0,Turnover by K. Bryant (bad pass),,38-40,,
4:06.0,,,38-40,,Shooting foul by R. Hibbert (drawn by M. Plumlee)
4:06.0,,,38-40,,M. Plumlee misses free throw 1 of 2
4:06.0,,,38-40,,Offensive rebound by Team
4:06.0,,,38-40,,M. Plumlee misses free throw 2 of 2
4:05.0,Defensive rebound by D. Russell,,38-40,,
3:48.0,J. Randle misses 2-pt shot from 20 ft,,38-40,,
3:46.0,,,38-40,,Defensive rebound by M. Plumlee
3:32.0,,,38-40,,G. Antetokounmpo misses 2-pt shot from 8 ft
3:30.0,Defensive rebound by D. Russell,,38-40,,
3:22.0,J. Clarkson misses 3-pt shot from 25 ft,,38-40,,
3:21.0,,,38-40,,Defensive rebound by G. Antetokounmpo
3:15.0,,,38-42,2,J. Parker makes 2-pt shot from 1 ft
3:03.0,K. Bryant misses 2-pt shot from 21 ft,,38-42,,
3:03.0,,,38-42,,Defensive rebound by Team
2:43.0,,,38-42,,K. Middleton misses 2-pt shot from 21 ft
2:39.0,,,38-42,,Offensive rebound by G. Antetokounmpo
2:39.0,,,38-44,2,G. Antetokounmpo makes 2-pt shot from 1 ft
2:27.0,LA Lakers full timeout,,38-44,,
2:22.0,K. Bryant makes 2-pt shot from 14 ft,2,40-44,,
2:06.0,,,40-46,2,K. Middleton makes 2-pt shot from 15 ft (assist by G. Antetokounmpo)
1:54.0,Turnover by J. Randle (lost ball; steal by K. Middleton),,40-46,,
1:54.0,Personal foul by J. Randle,,40-46,,
1:54.0,,,40-47,1,K. Middleton makes free throw 1 of 2
1:54.0,,,40-48,1,K. Middleton makes free throw 2 of 2
1:34.0,K. Bryant makes 3-pt shot from 24 ft (assist by J. Clarkson),3,43-48,,
1:21.0,,,43-50,2,M. Plumlee makes 2-pt shot at rim (assist by M. Carter-Williams)
1:00.0,K. Bryant misses 3-pt shot from 25 ft,,43-50,,
1:00.0,,,43-50,,Defensive rebound by G. Antetokounmpo
0:48.0,,,43-52,2,M. Plumlee makes 2-pt shot from 4 ft (assist by G. Antetokounmpo)
0:33.0,,,43-52,,Personal foul by M. Carter-Williams
0:33.0,K. Bryant makes free throw 1 of 2,1,44-52,,
0:33.0,K. Bryant makes free throw 2 of 2,1,45-52,,
0:15.0,,,45-54,2,M. Plumlee makes 2-pt shot at rim (assist by G. Antetokounmpo)
0:01.0,D. Russell makes 3-pt shot from 24 ft,3,48-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,48-54,,J. Parker misses 2-pt shot from 19 ft
11:41.0,Defensive rebound by J. Randle,,48-54,,
11:27.0,,,48-54,,Shooting block foul by O. Mayo (drawn by J. Randle)
11:27.0,J. Randle makes free throw 1 of 2,1,49-54,,
11:27.0,J. Randle misses free throw 2 of 2,,49-54,,
11:23.0,,,49-54,,Defensive rebound by G. Antetokounmpo
11:12.0,,,49-56,2,K. Middleton makes 2-pt shot from 6 ft (assist by M. Plumlee)
11:05.0,Turnover by K. Bryant (lost ball; steal by G. Antetokounmpo),,49-56,,
10:59.0,,,49-58,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
10:45.0,,,49-58,,Personal foul by O. Mayo
10:38.0,J. Clarkson misses 3-pt shot from 23 ft,,49-58,,
10:36.0,Offensive rebound by J. Clarkson,,49-58,,
10:24.0,,,49-58,,Personal foul by J. Parker
10:18.0,J. Randle makes 2-pt shot from 11 ft (assist by K. Bryant),2,51-58,,
10:10.0,,,51-58,,K. Middleton misses 3-pt shot from 24 ft
10:07.0,,,51-58,,Offensive rebound by J. Parker
9:58.0,,,51-58,,J. Parker misses 2-pt shot from 15 ft
9:56.0,Defensive rebound by K. Bryant,,51-58,,
9:50.0,D. Russell misses 2-pt shot from 21 ft,,51-58,,
9:49.0,Offensive rebound by R. Hibbert,,51-58,,
9:49.0,Turnover by R. Hibbert (traveling),,51-58,,
9:39.0,,,51-58,,K. Middleton misses 2-pt shot from 8 ft
9:37.0,Defensive rebound by J. Randle,,51-58,,
9:18.0,J. Clarkson misses 2-pt shot from 5 ft (block by M. Plumlee),,51-58,,
9:17.0,,,51-58,,Defensive rebound by M. Plumlee
9:12.0,,,51-60,2,J. Parker makes 2-pt shot at rim (assist by O. Mayo)
8:57.0,D. Russell misses 3-pt shot from 24 ft,,51-60,,
8:56.0,,,51-60,,Defensive rebound by Team
8:50.0,,,51-62,2,G. Antetokounmpo makes 2-pt shot from 20 ft
8:28.0,K. Bryant misses 3-pt shot from 25 ft,,51-62,,
8:28.0,,,51-62,,Defensive rebound by Team
8:28.0,Personal foul by J. Randle,,51-62,,
8:13.0,,,51-64,2,M. Plumlee makes 2-pt shot at rim (assist by K. Middleton)
8:03.0,Shooting foul by J. Parker (drawn by K. Bryant),,51-64,,
8:03.0,K. Bryant makes free throw 1 of 2,1,52-64,,
8:03.0,K. Bryant makes free throw 2 of 2,1,53-64,,
7:48.0,,,53-67,3,O. Mayo makes 3-pt shot from 23 ft (assist by K. Middleton)
7:22.0,K. Bryant misses 2-pt shot from 7 ft,,53-67,,
7:20.0,,,53-67,,Defensive rebound by G. Antetokounmpo
7:13.0,,,53-70,3,O. Mayo makes 3-pt shot from 24 ft (assist by G. Antetokounmpo)
7:08.0,LA Lakers full timeout,,53-70,,
6:49.0,Turnover by J. Randle (bad pass),,53-70,,
6:32.0,,,53-70,,Turnover by J. Parker (bad pass)
6:12.0,J. Randle misses 2-pt shot from 5 ft,,53-70,,
6:11.0,,,53-70,,Defensive rebound by O. Mayo
6:11.0,Loose ball foul by D. Russell,,53-70,,
5:58.0,,,53-72,2,M. Plumlee makes 2-pt shot at rim (assist by K. Middleton)
5:39.0,K. Bryant misses 2-pt shot from 16 ft,,53-72,,
5:37.0,,,53-72,,Defensive rebound by O. Mayo
5:28.0,,,53-72,,Shooting foul by R. Hibbert (drawn by J. Parker)
5:28.0,,,53-73,1,J. Parker makes free throw 1 of 2
5:28.0,L. Williams enters the game for J. Clarkson,,53-73,,
5:28.0,,,53-73,,J. Parker misses free throw 2 of 2
5:26.0,Defensive rebound by J. Randle,,53-73,,
5:07.0,,,53-73,,Shooting block foul by M. Plumlee (drawn by J. Randle)
5:07.0,J. Randle makes free throw 1 of 2,1,54-73,,
5:07.0,J. Randle misses free throw 2 of 2,,54-73,,
5:05.0,Offensive rebound by R. Hibbert,,54-73,,
5:03.0,Shooting foul by J. Parker (drawn by L. Williams),,54-73,,
5:03.0,L. Williams makes free throw 1 of 3,1,55-73,,
5:03.0,L. Williams makes free throw 2 of 3,1,56-73,,
5:03.0,,,56-73,,M. Carter-Williams enters the game for J. Parker
5:03.0,,,56-73,,G. Monroe enters the game for M. Plumlee
5:03.0,L. Williams makes free throw 3 of 3,1,57-73,,
4:55.0,Shooting block foul by K. Bryant (drawn by K. Middleton),,57-73,,
4:55.0,,,57-73,,K. Middleton misses free throw 1 of 2
4:55.0,,,57-73,,Offensive rebound by Team
4:55.0,,,57-74,1,K. Middleton makes free throw 2 of 2
4:37.0,R. Hibbert misses 2-pt shot from 14 ft,,57-74,,
4:35.0,,,57-74,,Defensive rebound by G. Antetokounmpo
4:26.0,,,57-74,,K. Middleton misses 2-pt shot from 3 ft (block by R. Hibbert)
4:24.0,,,57-74,,Offensive rebound by K. Middleton
4:15.0,,,57-74,,O. Mayo misses 3-pt shot from 25 ft
4:13.0,Defensive rebound by J. Randle,,57-74,,
4:06.0,Turnover by D. Russell (lost ball; steal by M. Carter-Williams),,57-74,,
4:00.0,,,57-76,2,G. Antetokounmpo makes 2-pt shot at rim (assist by O. Mayo)
3:39.0,Shooting foul by K. Middleton (drawn by K. Bryant),,57-76,,
3:39.0,K. Bryant makes free throw 1 of 3,1,58-76,,
3:39.0,K. Bryant misses free throw 2 of 3,,58-76,,
3:39.0,Offensive rebound by Team,,58-76,,
3:39.0,B. Bass enters the game for R. Hibbert,,58-76,,
3:39.0,,,58-76,,R. Vaughn enters the game for O. Mayo
3:39.0,K. Bryant makes free throw 3 of 3,1,59-76,,
3:26.0,,,59-76,,G. Antetokounmpo misses 2-pt shot from 21 ft
3:25.0,Defensive rebound by D. Russell,,59-76,,
3:17.0,Turnover by L. Williams (lost ball; steal by K. Middleton),,59-76,,
3:13.0,,,59-76,,Shooting foul by B. Bass (drawn by K. Middleton)
3:13.0,,,59-77,1,K. Middleton makes free throw 1 of 2
3:13.0,N. Young enters the game for K. Bryant,,59-77,,
3:13.0,,,59-78,1,K. Middleton makes free throw 2 of 2
3:00.0,B. Bass misses 2-pt shot from 2 ft,,59-78,,
2:57.0,Offensive rebound by D. Russell,,59-78,,
2:50.0,Shooting foul by G. Monroe (drawn by J. Randle),,59-78,,
2:50.0,,,59-78,,Milwaukee full timeout
2:50.0,J. Randle makes free throw 1 of 2,1,60-78,,
2:50.0,J. Randle misses free throw 2 of 2,,60-78,,
2:48.0,,,60-78,,Defensive rebound by G. Monroe
2:33.0,,,60-80,2,G. Monroe makes 2-pt shot at rim (assist by G. Antetokounmpo)
2:08.0,J. Randle misses 2-pt shot from 2 ft,,60-80,,
2:07.0,,,60-80,,Defensive rebound by G. Monroe
2:01.0,,,60-82,2,G. Antetokounmpo makes 2-pt shot at rim (assist by R. Vaughn)
1:41.0,B. Bass makes 2-pt shot from 12 ft (assist by D. Russell),2,62-82,,
1:14.0,,,62-82,,G. Monroe misses 2-pt shot from 1 ft (block by J. Randle)
1:14.0,,,62-82,,Offensive rebound by Team
1:14.0,L. Nance enters the game for J. Randle,,62-82,,
1:14.0,,,62-82,,Turnover by Team (shot clock)
1:00.0,Turnover by L. Williams (lost ball; steal by G. Antetokounmpo),,62-82,,
0:56.0,,,62-84,2,G. Antetokounmpo makes 2-pt shot at rim (assist by R. Vaughn)
0:40.0,Turnover by L. Williams (lost ball; steal by G. Monroe),,62-84,,
0:36.0,,,62-86,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
0:28.0,L. Williams misses 2-pt shot from 15 ft,,62-86,,
0:25.0,,,62-86,,Defensive rebound by K. Middleton
0:16.0,Personal foul by L. Williams,,62-86,,
0:16.0,,,62-87,1,K. Middleton makes free throw 1 of 2
0:16.0,,,62-88,1,K. Middleton makes free throw 2 of 2
0:03.0,D. Russell makes 3-pt shot from 26 ft,3,65-88,,
0:00.0,,,65-90,2,G. Monroe makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Turnover by B. Bass (lost ball; steal by M. Carter-Williams),,65-90,,
11:42.0,,,65-92,2,G. Monroe makes 2-pt shot at rim (assist by R. Vaughn)
11:37.0,,,65-92,,Personal foul by R. Vaughn
11:36.0,Turnover by N. Young (lost ball; steal by G. Antetokounmpo),,65-92,,
11:35.0,Personal foul by B. Bass,,65-92,,
11:25.0,,,65-92,,M. Carter-Williams misses 2-pt shot from 16 ft
11:23.0,Defensive rebound by L. Williams,,65-92,,
11:17.0,L. Williams misses 2-pt shot from 2 ft,,65-92,,
11:14.0,Offensive rebound by T. Black,,65-92,,
11:12.0,T. Black makes 2-pt shot from 1 ft,2,67-92,,
11:12.0,Violation by Team (delay of game),,67-92,,
11:04.0,,,67-95,3,O. Mayo makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
10:47.0,N. Young makes 3-pt shot from 25 ft,3,70-95,,
10:26.0,Personal foul by L. Williams,,70-95,,
10:16.0,,,70-95,,G. Monroe misses 2-pt shot from 16 ft
10:14.0,Defensive rebound by L. Williams,,70-95,,
10:09.0,,,70-95,,Shooting block foul by O. Mayo (drawn by L. Williams)
10:09.0,L. Williams misses free throw 1 of 2,,70-95,,
10:09.0,Offensive rebound by Team,,70-95,,
10:09.0,L. Williams makes free throw 2 of 2,1,71-95,,
9:53.0,,,71-95,,M. Carter-Williams misses 2-pt shot from 6 ft
9:52.0,,,71-95,,Offensive rebound by M. Carter-Williams
9:46.0,,,71-97,2,M. Carter-Williams makes 2-pt shot from 11 ft
9:36.0,L. Williams makes 2-pt shot at rim,2,73-97,,
9:20.0,,,73-97,,M. Carter-Williams misses 3-pt shot from 25 ft
9:18.0,Defensive rebound by M. Huertas,,73-97,,
9:12.0,B. Bass makes 2-pt shot at rim (assist by M. Huertas),2,75-97,,
8:48.0,,,75-97,,R. Vaughn misses 2-pt shot from 15 ft
8:46.0,Defensive rebound by L. Williams,,75-97,,
8:40.0,,,75-97,,Personal foul by M. Carter-Williams
8:40.0,Official timeout,,75-97,,
8:40.0,,,75-97,,J. Parker enters the game for O. Mayo
8:31.0,,,75-97,,Personal foul by G. Antetokounmpo
8:18.0,B. Bass misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,75-97,,
8:17.0,,,75-97,,Defensive rebound by G. Antetokounmpo
8:16.0,Personal foul by B. Bass,,75-97,,
7:57.0,,,75-97,,R. Vaughn misses 2-pt shot from 14 ft
7:55.0,Defensive rebound by M. Huertas,,75-97,,
7:50.0,T. Black misses 2-pt shot from 2 ft (block by M. Carter-Williams),,75-97,,
7:47.0,,,75-97,,Defensive rebound by M. Carter-Williams
7:38.0,,,75-97,,J. Parker misses 2-pt shot from 12 ft
7:38.0,Defensive rebound by Team,,75-97,,
7:34.0,Shooting foul by G. Antetokounmpo (drawn by L. Williams),,75-97,,
7:34.0,L. Williams makes free throw 1 of 2,1,76-97,,
7:34.0,R. Kelly enters the game for B. Bass,,76-97,,
7:34.0,L. Williams makes free throw 2 of 2,1,77-97,,
7:19.0,,,77-97,,Turnover by R. Vaughn (lost ball; steal by L. Williams)
7:10.0,L. Williams misses 3-pt shot from 24 ft,,77-97,,
7:09.0,,,77-97,,Defensive rebound by G. Antetokounmpo
7:09.0,Personal foul by R. Kelly,,77-97,,
6:58.0,,,77-97,,M. Carter-Williams misses 2-pt shot from 15 ft
6:55.0,,,77-97,,Offensive rebound by G. Monroe
6:55.0,,,77-97,,G. Monroe misses 2-pt shot from 1 ft
6:54.0,Defensive rebound by R. Kelly,,77-97,,
6:44.0,M. Huertas makes 3-pt shot from 24 ft (assist by L. Williams),3,80-97,,
6:44.0,,,80-97,,Milwaukee full timeout
6:44.0,,,80-97,,K. Middleton enters the game for R. Vaughn
6:21.0,,,80-97,,Shooting foul by R. Kelly (drawn by G. Monroe)
6:21.0,,,80-98,1,G. Monroe makes free throw 1 of 2
6:21.0,,,80-99,1,G. Monroe makes free throw 2 of 2
6:09.0,,,80-99,,Personal foul by M. Carter-Williams
6:09.0,L. Williams misses free throw 1 of 2,,80-99,,
6:09.0,Offensive rebound by Team,,80-99,,
6:09.0,L. Williams makes free throw 2 of 2,1,81-99,,
5:57.0,,,81-99,,Turnover by G. Antetokounmpo (lost ball; steal by L. Williams)
5:52.0,L. Williams makes 2-pt shot from 1 ft,2,83-99,,
5:33.0,,,83-101,2,G. Antetokounmpo makes 2-pt shot from 5 ft (assist by J. Parker)
5:16.0,N. Young makes 2-pt shot from 16 ft (assist by R. Kelly),2,85-101,,
5:01.0,,,85-103,2,M. Carter-Williams makes 2-pt shot from 17 ft
4:45.0,N. Young makes 3-pt shot from 25 ft (assist by L. Williams),3,88-103,,
4:26.0,,,88-103,,Shooting foul by T. Black (drawn by G. Antetokounmpo)
4:26.0,,,88-103,,G. Antetokounmpo misses free throw 1 of 2
