time,Portland,pts.away,score,pts.home,San Antonio
4:52.0,M. Harkless enters the game for N. Vonleh,,14-16,,
4:52.0,,,14-17,1,D. Green makes free throw 2 of 2
4:37.0,A. Crabbe makes 2-pt shot from 21 ft (assist by D. Lillard),2,16-17,,
4:16.0,,,16-17,,M. Ginobili misses 2-pt shot from 11 ft
4:15.0,Defensive rebound by G. Henderson,,16-17,,
4:05.0,E. Davis makes 2-pt shot from 2 ft (assist by D. Lillard),2,18-17,,
4:05.0,Shooting foul by P. Mills (drawn by E. Davis),,18-17,,
4:05.0,,,18-17,,K. Leonard enters the game for D. Green
4:05.0,E. Davis misses free throw 1 of 1,,18-17,,
4:04.0,,,18-17,,Defensive rebound by K. Leonard
3:47.0,,,18-17,,P. Mills misses 2-pt shot from 22 ft
3:45.0,Defensive rebound by D. Lillard,,18-17,,
3:38.0,Shooting foul by L. Aldridge (drawn by D. Lillard),,18-17,,
3:38.0,D. Lillard makes free throw 1 of 2,1,19-17,,
3:38.0,D. Lillard makes free throw 2 of 2,1,20-17,,
3:28.0,,,20-17,,D. West enters the game for L. Aldridge
3:20.0,,,20-19,2,K. Leonard makes 2-pt shot from 5 ft (assist by P. Mills)
3:10.0,M. Harkless misses 3-pt shot from 25 ft,,20-19,,
3:09.0,,,20-19,,Defensive rebound by M. Ginobili
3:02.0,Personal foul by G. Henderson,,20-19,,
2:52.0,,,20-19,,K. Leonard misses 2-pt shot from 13 ft
2:51.0,Defensive rebound by M. Harkless,,20-19,,
2:42.0,D. Lillard misses 2-pt shot from 1 ft (block by D. West),,20-19,,
2:42.0,Offensive rebound by Team,,20-19,,
2:42.0,,,20-19,,San Antonio full timeout
2:42.0,,,20-19,,K. Martin enters the game for K. Leonard
2:39.0,A. Crabbe misses 2-pt shot from 19 ft,,20-19,,
2:38.0,,,20-19,,Defensive rebound by B. Diaw
2:20.0,,,20-21,2,D. West makes 2-pt shot from 18 ft (assist by K. Martin)
2:05.0,,,20-21,,Personal foul by K. Martin
1:53.0,M. Harkless makes 2-pt shot from 2 ft (assist by A. Crabbe),2,22-21,,
1:36.0,,,22-23,2,B. Diaw makes 2-pt shot from 4 ft (assist by D. West)
1:18.0,G. Henderson misses 2-pt shot from 17 ft,,22-23,,
1:17.0,,,22-23,,Defensive rebound by M. Ginobili
1:09.0,,,22-23,,K. Martin misses 3-pt shot from 25 ft
1:08.0,Defensive rebound by A. Crabbe,,22-23,,
0:59.0,M. Harkless misses 3-pt shot from 25 ft,,22-23,,
0:56.0,Offensive rebound by E. Davis,,22-23,,
0:52.0,Shooting foul by M. Ginobili (drawn by D. Lillard),,22-23,,
0:52.0,D. Lillard makes free throw 1 of 2,1,23-23,,
0:52.0,D. Lillard makes free throw 2 of 2,1,24-23,,
0:40.0,,,24-23,,Turnover by D. West (lost ball; steal by M. Harkless)
0:34.0,G. Henderson makes 2-pt shot from 1 ft,2,26-23,,
0:16.0,,,26-23,,M. Ginobili misses 2-pt shot from 1 ft
0:14.0,Defensive rebound by E. Davis,,26-23,,
0:03.0,D. Lillard makes 2-pt shot from 1 ft,2,28-23,,
0:00.0,,,28-23,,D. West misses 3-pt shot from 23 ft (block by M. Harkless)
0:00.0,,,28-23,,Offensive rebound by K. Martin
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Personal foul by G. Henderson,,28-23,,
11:45.0,,,28-25,2,P. Mills makes 2-pt shot from 19 ft
11:34.0,Turnover by G. Henderson (offensive foul),,28-25,,
11:34.0,Offensive foul by G. Henderson,,28-25,,
11:22.0,,,28-25,,Shooting foul by A. Crabbe (drawn by K. Martin)
11:22.0,,,28-25,,K. Martin misses free throw 1 of 2
11:22.0,,,28-25,,Offensive rebound by Team
11:22.0,B. Roberts enters the game for G. Henderson,,28-25,,
11:22.0,,,28-26,1,K. Martin makes free throw 2 of 2
11:04.0,A. Crabbe makes 2-pt shot from 22 ft (assist by B. Roberts),2,30-26,,
10:53.0,,,30-26,,P. Mills misses 3-pt shot from 24 ft
10:51.0,,,30-26,,Offensive rebound by B. Diaw
10:49.0,,,30-28,2,B. Diaw makes 2-pt shot at rim
10:41.0,C. McCollum makes 2-pt shot from 2 ft,2,32-28,,
10:33.0,,,32-28,,D. West misses 2-pt shot from 16 ft
10:32.0,Defensive rebound by C. McCollum,,32-28,,
10:25.0,Shooting foul by D. West (drawn by E. Davis),,32-28,,
10:25.0,E. Davis makes free throw 1 of 2,1,33-28,,
10:25.0,E. Davis makes free throw 2 of 2,1,34-28,,
10:09.0,,,34-28,,D. West misses 2-pt shot from 5 ft
10:08.0,Defensive rebound by E. Davis,,34-28,,
9:59.0,M. Harkless misses 2-pt shot from 1 ft (block by D. West),,34-28,,
9:59.0,Offensive rebound by Team,,34-28,,
9:59.0,,,34-28,,D. Green enters the game for M. Ginobili
9:52.0,C. McCollum misses 3-pt shot from 24 ft,,34-28,,
9:51.0,Jump ball: E. Davis vs. D. West (D. Green gains possession),,,,Jump ball: E. Davis vs. D. West (D. Green gains possession)
9:51.0,,,34-28,,Offensive rebound by Team
9:34.0,,,34-30,2,B. Diaw makes 2-pt shot from 2 ft (assist by K. Martin)
9:13.0,B. Roberts misses 2-pt shot from 7 ft,,34-30,,
9:12.0,,,34-30,,Defensive rebound by D. Green
9:00.0,,,34-30,,K. Martin misses 2-pt shot from 17 ft
8:59.0,Defensive rebound by E. Davis,,34-30,,
8:52.0,C. McCollum misses 2-pt shot from 2 ft (block by D. Green),,34-30,,
8:50.0,,,34-30,,Defensive rebound by B. Diaw
8:43.0,,,34-30,,K. Martin misses 3-pt shot from 23 ft
8:42.0,Defensive rebound by E. Davis,,34-30,,
8:29.0,Turnover by C. McCollum (bad pass),,34-30,,
8:29.0,Official timeout,,34-30,,
8:29.0,,,34-30,,K. Leonard enters the game for K. Martin
8:29.0,A. Aminu enters the game for B. Roberts,,34-30,,
8:20.0,,,34-30,,D. West misses 2-pt shot from 16 ft
8:19.0,Defensive rebound by E. Davis,,34-30,,
8:03.0,Shooting foul by D. Green (drawn by E. Davis),,34-30,,
8:03.0,E. Davis makes free throw 1 of 2,1,35-30,,
8:03.0,,,35-30,,T. Parker enters the game for P. Mills
8:03.0,,,35-30,,L. Aldridge enters the game for D. West
8:03.0,E. Davis misses free throw 2 of 2,,35-30,,
8:02.0,,,35-30,,Defensive rebound by L. Aldridge
7:47.0,,,35-32,2,B. Diaw makes 2-pt shot at rim (assist by D. Green)
7:47.0,,,35-32,,Shooting foul by M. Harkless (drawn by B. Diaw)
7:47.0,M. Plumlee enters the game for M. Harkless,,35-32,,
7:47.0,,,35-33,1,B. Diaw makes free throw 1 of 1
7:32.0,C. McCollum misses 2-pt shot from 8 ft,,35-33,,
7:32.0,,,35-33,,Defensive rebound by Team
7:32.0,Loose ball foul by C. McCollum,,35-33,,
7:32.0,,,35-33,,T. Duncan enters the game for B. Diaw
7:32.0,C. Kaman enters the game for E. Davis,,35-33,,
7:14.0,,,35-36,3,D. Green makes 3-pt shot from 25 ft (assist by T. Parker)
6:58.0,Turnover by A. Aminu (lost ball; steal by D. Green),,35-36,,
6:54.0,,,35-38,2,D. Green makes 2-pt shot from 1 ft
6:54.0,Portland full timeout,,35-38,,
6:54.0,D. Lillard enters the game for A. Crabbe,,35-38,,
6:39.0,Shooting foul by D. Green (drawn by C. McCollum),,35-38,,
6:39.0,C. McCollum makes free throw 1 of 2,1,36-38,,
6:39.0,C. McCollum makes free throw 2 of 2,1,37-38,,
6:26.0,,,37-40,2,L. Aldridge makes 2-pt shot from 19 ft (assist by T. Parker)
6:06.0,C. Kaman makes 2-pt shot from 18 ft (assist by M. Plumlee),2,39-40,,
5:48.0,,,39-40,,L. Aldridge misses 2-pt shot from 19 ft
5:47.0,Defensive rebound by A. Aminu,,39-40,,
5:40.0,,,39-40,,Personal foul by T. Duncan
5:40.0,,,39-40,,M. Ginobili enters the game for D. Green
5:33.0,C. McCollum misses 2-pt shot from 1 ft (block by T. Duncan),,39-40,,
5:32.0,,,39-40,,Defensive rebound by Team
5:23.0,Personal foul by D. Lillard,,39-40,,
5:23.0,,,39-41,1,T. Parker makes free throw 1 of 2
5:23.0,,,39-42,1,T. Parker makes free throw 2 of 2
5:08.0,Turnover by D. Lillard (lost ball; steal by M. Ginobili),,39-42,,
5:08.0,Personal take foul by C. Kaman,,39-42,,
5:08.0,,,39-43,1,M. Ginobili makes free throw 1 of 2
5:08.0,,,39-44,1,M. Ginobili makes free throw 2 of 2
4:57.0,A. Aminu makes 2-pt shot from 1 ft (assist by M. Plumlee),2,41-44,,
4:43.0,,,41-44,,T. Parker misses 2-pt shot at rim (block by C. Kaman)
4:41.0,Defensive rebound by M. Plumlee,,41-44,,
4:35.0,C. McCollum makes 3-pt shot from 25 ft (assist by A. Aminu),3,44-44,,
4:35.0,,,44-44,,San Antonio full timeout
4:21.0,,,44-46,2,L. Aldridge makes 2-pt shot from 6 ft (assist by T. Parker)
4:00.0,M. Plumlee makes 2-pt shot from 4 ft (assist by C. McCollum),2,46-46,,
4:00.0,Shooting foul by K. Leonard (drawn by M. Plumlee),,46-46,,
4:00.0,M. Plumlee misses free throw 1 of 1,,46-46,,
3:59.0,,,46-46,,Defensive rebound by L. Aldridge
3:48.0,,,46-48,2,T. Parker makes 2-pt shot from 4 ft
3:34.0,A. Aminu misses 2-pt shot from 1 ft (block by L. Aldridge),,46-48,,
3:32.0,,,46-48,,Defensive rebound by T. Duncan
3:17.0,,,46-50,2,L. Aldridge makes 2-pt shot from 19 ft (assist by T. Parker)
3:16.0,Portland full timeout,,46-50,,
3:05.0,D. Lillard misses 2-pt shot from 21 ft,,46-50,,
3:04.0,Offensive rebound by M. Plumlee,,46-50,,
3:00.0,Shooting foul by T. Duncan (drawn by D. Lillard),,46-50,,
3:00.0,D. Lillard makes free throw 1 of 2,1,47-50,,
3:00.0,D. Lillard makes free throw 2 of 2,1,48-50,,
2:44.0,,,48-50,,L. Aldridge misses 2-pt shot from 19 ft
2:42.0,Defensive rebound by Team,,48-50,,
2:42.0,,,48-50,,B. Diaw enters the game for T. Duncan
2:29.0,,,48-50,,P. Mills enters the game for T. Parker
2:20.0,C. McCollum makes 2-pt shot from 5 ft (assist by M. Plumlee),2,50-50,,
2:10.0,,,50-50,,M. Ginobili misses 3-pt shot from 24 ft
2:09.0,Defensive rebound by D. Lillard,,50-50,,
2:04.0,M. Plumlee misses 2-pt shot from 1 ft,,50-50,,
2:03.0,Offensive rebound by C. Kaman,,50-50,,
2:03.0,C. Kaman misses 2-pt shot at rim,,50-50,,
2:01.0,Offensive rebound by C. Kaman,,50-50,,
2:01.0,C. Kaman makes 2-pt shot at rim,2,52-50,,
1:49.0,,,52-50,,Turnover by L. Aldridge (traveling)
1:49.0,,,52-50,,K. Martin enters the game for M. Ginobili
1:38.0,Turnover by C. McCollum (step out of bounds),,52-50,,
1:24.0,Personal foul by D. Lillard,,52-50,,
1:24.0,,,52-51,1,K. Leonard makes free throw 1 of 2
1:24.0,,,52-52,1,K. Leonard makes free throw 2 of 2
1:00.0,Turnover by M. Plumlee (lost ball; steal by L. Aldridge),,52-52,,
0:51.0,,,52-52,,B. Diaw misses 3-pt shot from 25 ft
0:50.0,Defensive rebound by M. Plumlee,,52-52,,
0:33.0,D. Lillard misses 2-pt shot at rim,,52-52,,
0:31.0,,,52-52,,Defensive rebound by P. Mills
0:14.0,,,52-52,,Shooting foul by C. Kaman (drawn by L. Aldridge)
0:14.0,,,52-53,1,L. Aldridge makes free throw 1 of 2
0:14.0,,,52-53,,D. Green enters the game for K. Martin
0:14.0,A. Crabbe enters the game for C. Kaman,,52-53,,
0:14.0,,,52-53,,K. Anderson enters the game for B. Diaw
0:14.0,,,52-54,1,L. Aldridge makes free throw 2 of 2
0:04.0,D. Lillard misses 2-pt shot from 2 ft (block by K. Leonard),,52-54,,
0:04.0,Offensive rebound by Team,,52-54,,
0:04.0,C. Kaman enters the game for A. Crabbe,,52-54,,
0:02.0,Shooting foul by L. Aldridge (drawn by C. Kaman),,52-54,,
0:02.0,C. Kaman makes free throw 1 of 2,1,53-54,,
0:02.0,C. Kaman makes free throw 2 of 2,1,54-54,,
0:00.0,Personal block foul by D. Lillard,,54-54,,
0:00.0,,,54-55,1,P. Mills makes free throw 1 of 2
0:00.0,,,54-56,1,P. Mills makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,54-59,3,K. Leonard makes 3-pt shot from 24 ft (assist by D. Green)
11:27.0,M. Plumlee misses 2-pt shot from 6 ft,,54-59,,
11:26.0,Offensive rebound by A. Aminu,,54-59,,
11:19.0,A. Aminu misses 2-pt shot from 7 ft (block by K. Leonard),,54-59,,
11:19.0,Offensive rebound by Team,,54-59,,
11:17.0,Turnover by N. Vonleh (lost ball; steal by T. Parker),,54-59,,
11:07.0,,,54-61,2,L. Aldridge makes 2-pt shot from 17 ft (assist by T. Parker)
10:51.0,C. McCollum misses 2-pt shot from 9 ft,,54-61,,
10:50.0,,,54-61,,Defensive rebound by L. Aldridge
10:37.0,,,54-63,2,L. Aldridge makes 2-pt shot at rim (assist by T. Parker)
10:37.0,,,54-63,,Shooting foul by N. Vonleh (drawn by L. Aldridge)
10:37.0,,,54-64,1,L. Aldridge makes free throw 1 of 1
10:22.0,D. Lillard misses 3-pt shot from 25 ft,,54-64,,
10:21.0,,,54-64,,Defensive rebound by T. Duncan
10:12.0,,,54-66,2,L. Aldridge makes 2-pt shot from 18 ft (assist by T. Parker)
10:12.0,Portland full timeout,,54-66,,
9:57.0,N. Vonleh misses 2-pt shot from 20 ft,,54-66,,
9:56.0,,,54-66,,Defensive rebound by T. Duncan
9:49.0,,,54-66,,T. Parker misses 2-pt shot at rim
9:48.0,Defensive rebound by M. Plumlee,,54-66,,
9:39.0,D. Lillard misses 2-pt shot from 1 ft,,54-66,,
9:38.0,Offensive rebound by N. Vonleh,,54-66,,
9:38.0,N. Vonleh makes 2-pt shot at rim,2,56-66,,
9:30.0,Personal foul by M. Plumlee,,56-66,,
9:19.0,,,56-66,,Turnover by T. Parker (lost ball; steal by C. McCollum)
9:12.0,N. Vonleh makes 2-pt shot from 14 ft (assist by D. Lillard),2,58-66,,
9:12.0,,,58-66,,San Antonio full timeout
9:01.0,,,58-68,2,L. Aldridge makes 2-pt shot from 15 ft (assist by T. Parker)
8:44.0,Turnover by M. Plumlee (bad pass),,58-68,,
8:29.0,,,58-70,2,K. Leonard makes 2-pt shot from 16 ft (assist by T. Parker)
8:14.0,C. McCollum makes 2-pt shot from 2 ft (assist by D. Lillard),2,60-70,,
7:59.0,,,60-72,2,T. Duncan makes 2-pt shot from 2 ft (assist by T. Parker)
7:59.0,,,60-72,,Shooting foul by D. Lillard (drawn by T. Duncan)
7:59.0,C. Kaman enters the game for N. Vonleh,,60-72,,
7:59.0,,,60-73,1,T. Duncan makes free throw 1 of 1
7:42.0,A. Aminu misses 3-pt shot from 24 ft,,60-73,,
7:41.0,Offensive rebound by C. McCollum,,60-73,,
7:38.0,C. McCollum misses 2-pt shot from 2 ft (block by D. Green),,60-73,,
7:37.0,Offensive rebound by C. Kaman,,60-73,,
7:32.0,C. Kaman makes 2-pt shot from 15 ft (assist by A. Aminu),2,62-73,,
7:23.0,,,62-73,,K. Leonard misses 2-pt shot at rim
7:21.0,Defensive rebound by A. Aminu,,62-73,,
7:14.0,C. McCollum makes 3-pt shot from 25 ft (assist by A. Aminu),3,65-73,,
7:13.0,,,65-73,,San Antonio full timeout
7:13.0,G. Henderson enters the game for A. Aminu,,65-73,,
7:13.0,E. Davis enters the game for M. Plumlee,,65-73,,
7:01.0,,,65-75,2,T. Duncan makes 2-pt shot from 8 ft (assist by D. Green)
6:48.0,D. Lillard misses 2-pt shot from 21 ft,,65-75,,
6:47.0,,,65-75,,Defensive rebound by K. Leonard
6:38.0,,,65-75,,L. Aldridge misses 2-pt shot from 6 ft
6:37.0,Defensive rebound by C. McCollum,,65-75,,
6:26.0,E. Davis misses 2-pt shot from 6 ft,,65-75,,
6:25.0,,,65-75,,Defensive rebound by T. Parker
6:15.0,,,65-78,3,K. Leonard makes 3-pt shot from 25 ft (assist by T. Parker)
5:52.0,C. Kaman makes 2-pt shot from 17 ft (assist by E. Davis),2,67-78,,
5:36.0,,,67-80,2,T. Parker makes 2-pt shot from 16 ft
5:20.0,,,67-80,,D. West enters the game for L. Aldridge
5:13.0,E. Davis misses 2-pt shot at rim,,67-80,,
5:12.0,,,67-80,,Defensive rebound by T. Duncan
5:06.0,,,67-82,2,T. Parker makes 2-pt shot from 18 ft
4:53.0,,,67-82,,Personal foul by T. Parker
4:53.0,,,67-82,,M. Ginobili enters the game for D. Green
4:42.0,Turnover by C. Kaman (bad pass),,67-82,,
4:27.0,,,67-82,,D. West misses 2-pt shot from 18 ft
4:26.0,Defensive rebound by C. McCollum,,67-82,,
4:14.0,C. Kaman makes 2-pt shot from 19 ft (assist by E. Davis),2,69-82,,
3:49.0,,,69-84,2,T. Duncan makes 2-pt shot at rim (assist by K. Leonard)
3:27.0,C. McCollum misses 3-pt shot from 24 ft,,69-84,,
3:26.0,,,69-84,,Defensive rebound by D. West
3:18.0,,,69-84,,T. Parker misses 2-pt shot from 2 ft (block by C. McCollum)
3:17.0,Defensive rebound by C. Kaman,,69-84,,
3:06.0,E. Davis misses 2-pt shot from 5 ft,,69-84,,
3:04.0,,,69-84,,Defensive rebound by T. Duncan
2:58.0,,,69-87,3,K. Leonard makes 3-pt shot from 24 ft (assist by T. Parker)
2:58.0,Portland full timeout,,69-87,,
2:58.0,,,69-87,,K. Anderson enters the game for T. Duncan
2:58.0,,,69-87,,P. Mills enters the game for T. Parker
2:58.0,A. Crabbe enters the game for E. Davis,,69-87,,
2:58.0,A. Aminu enters the game for D. Lillard,,69-87,,
2:39.0,C. McCollum makes 2-pt shot from 17 ft (assist by C. Kaman),2,71-87,,
2:26.0,Violation by A. Aminu (kicked ball),,71-87,,
2:22.0,Personal foul by A. Aminu,,71-87,,
2:17.0,,,71-87,,P. Mills misses 2-pt shot from 16 ft
2:16.0,Defensive rebound by A. Aminu,,71-87,,
2:11.0,,,71-87,,Personal foul by D. West
2:11.0,,,71-87,,K. Martin enters the game for K. Leonard
1:55.0,A. Aminu misses 2-pt shot from 20 ft,,71-87,,
1:54.0,,,71-87,,Defensive rebound by K. Anderson
1:45.0,,,71-90,3,P. Mills makes 3-pt shot from 25 ft (assist by M. Ginobili)
1:20.0,G. Henderson makes 2-pt shot from 14 ft,2,73-90,,
1:08.0,,,73-90,,P. Mills misses 2-pt shot from 18 ft (block by C. McCollum)
1:07.0,,,73-90,,Offensive rebound by Team
1:04.0,,,73-90,,M. Ginobili misses 2-pt shot from 10 ft
1:03.0,Defensive rebound by C. Kaman,,73-90,,
0:53.0,C. McCollum makes 2-pt shot from 11 ft,2,75-90,,
0:39.0,,,75-92,2,P. Mills makes 2-pt shot from 1 ft (assist by D. West)
0:27.0,,,75-92,,Personal foul by P. Mills
0:27.0,E. Davis enters the game for C. Kaman,,75-92,,
0:12.0,A. Aminu makes 3-pt shot from 23 ft (assist by C. McCollum),3,78-92,,
0:03.0,,,78-95,3,P. Mills makes 3-pt shot from 25 ft (assist by M. Ginobili)
0:00.0,A. Aminu misses 3-pt shot from 38 ft,,78-95,,
0:00.0,Offensive rebound by Team,,78-95,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,78-95,,Personal foul by M. Ginobili
11:43.0,D. Lillard misses 3-pt shot from 25 ft,,78-95,,
11:41.0,,,78-95,,Defensive rebound by K. Anderson
11:33.0,,,78-95,,Offensive foul by M. Ginobili
11:33.0,,,78-95,,Turnover by M. Ginobili (offensive foul)
11:21.0,D. Lillard misses 2-pt shot from 4 ft,,78-95,,
11:21.0,Offensive rebound by E. Davis,,78-95,,
11:21.0,Shooting foul by K. Anderson (drawn by E. Davis),,78-95,,
11:21.0,E. Davis misses free throw 1 of 2,,78-95,,
11:21.0,Offensive rebound by Team,,78-95,,
11:21.0,E. Davis misses free throw 2 of 2,,78-95,,
11:20.0,,,78-95,,Defensive rebound by K. Martin
10:55.0,,,78-95,,D. West misses 2-pt shot from 5 ft
10:54.0,Defensive rebound by E. Davis,,78-95,,
10:40.0,A. Aminu misses 3-pt shot from 26 ft,,78-95,,
10:39.0,Offensive rebound by E. Davis,,78-95,,
10:34.0,D. Lillard makes 3-pt shot from 25 ft (assist by E. Davis),3,81-95,,
10:16.0,,,81-95,,Turnover by M. Ginobili (lost ball; steal by E. Davis)
10:07.0,A. Crabbe misses 2-pt shot from 12 ft,,81-95,,
10:05.0,,,81-95,,Defensive rebound by K. Martin
9:54.0,,,81-98,3,P. Mills makes 3-pt shot from 25 ft (assist by M. Ginobili)
9:40.0,,,81-98,,Personal foul by K. Martin
9:40.0,,,81-98,,D. Green enters the game for M. Ginobili
9:32.0,Turnover by A. Aminu (lost ball; steal by K. Martin),,81-98,,
9:27.0,,,81-100,2,K. Martin makes 2-pt shot at rim (assist by P. Mills)
9:08.0,D. Lillard makes 2-pt shot from 1 ft,2,83-100,,
8:44.0,,,83-100,,K. Martin misses 2-pt shot from 2 ft (block by A. Aminu)
8:44.0,Defensive rebound by Team,,83-100,,
8:44.0,Official timeout,,83-100,,
8:44.0,M. Plumlee enters the game for E. Davis,,83-100,,
8:44.0,C. McCollum enters the game for A. Aminu,,83-100,,
8:34.0,Turnover by C. McCollum (lost ball; steal by D. Green),,83-100,,
8:29.0,,,83-100,,P. Mills misses 2-pt shot from 1 ft
8:27.0,Defensive rebound by G. Henderson,,83-100,,
8:12.0,Shooting foul by K. Anderson (drawn by G. Henderson),,83-100,,
8:12.0,G. Henderson makes free throw 1 of 2,1,84-100,,
8:12.0,G. Henderson makes free throw 2 of 2,1,85-100,,
8:01.0,,,85-100,,Shooting foul by A. Crabbe (drawn by K. Martin)
8:01.0,,,85-102,2,K. Martin makes 2-pt shot from 16 ft (assist by K. Anderson)
8:01.0,,,85-103,1,K. Martin makes free throw 1 of 1
7:48.0,Shooting foul by K. Anderson (drawn by M. Plumlee),,85-103,,
7:48.0,M. Plumlee makes free throw 1 of 2,1,86-103,,
7:48.0,,,86-103,,B. Diaw enters the game for D. West
7:48.0,M. Plumlee misses free throw 2 of 2,,86-103,,
7:47.0,,,86-103,,Defensive rebound by D. Green
7:35.0,,,86-105,2,K. Martin makes 2-pt shot from 8 ft (assist by K. Anderson)
7:27.0,Shooting foul by B. Diaw (drawn by M. Plumlee),,86-105,,
7:27.0,M. Plumlee makes free throw 1 of 2,1,87-105,,
7:27.0,M. Plumlee makes free throw 2 of 2,1,88-105,,
7:19.0,Personal foul by G. Henderson,,88-105,,
7:14.0,,,88-105,,P. Mills misses 2-pt shot from 17 ft (block by D. Lillard)
7:13.0,Defensive rebound by C. McCollum,,88-105,,
7:06.0,A. Crabbe misses 3-pt shot from 25 ft,,88-105,,
7:05.0,,,88-105,,Defensive rebound by D. Green
6:44.0,,,88-105,,K. Martin misses 3-pt shot from 25 ft
6:43.0,,,88-105,,Offensive rebound by P. Mills
6:38.0,,,88-105,,D. Green misses 3-pt shot from 22 ft
6:37.0,Defensive rebound by G. Henderson,,88-105,,
6:30.0,Shooting foul by K. Anderson (drawn by M. Plumlee),,88-105,,
6:30.0,M. Plumlee makes free throw 1 of 2,1,89-105,,
6:30.0,M. Plumlee makes free throw 2 of 2,1,90-105,,
6:16.0,,,90-105,,B. Diaw misses 2-pt shot from 16 ft
6:14.0,,,90-105,,Offensive rebound by D. Green
6:04.0,,,90-107,2,P. Mills makes 2-pt shot from 20 ft
5:52.0,D. Lillard makes 3-pt shot from 25 ft,3,93-107,,
5:32.0,,,93-107,,B. Diaw misses 2-pt shot from 5 ft
5:31.0,Defensive rebound by M. Plumlee,,93-107,,
5:17.0,Shooting foul by D. Green (drawn by M. Plumlee),,93-107,,
