time,Philadelphia,pts.away,score,pts.home,Sacramento
4:42.0,Offensive charge foul by J. Okafor,,18-18,,
4:42.0,Turnover by J. Okafor (offensive foul),,18-18,,
4:29.0,,,18-20,2,M. Belinelli makes 2-pt shot from 17 ft (assist by R. Rondo)
4:07.0,J. Okafor misses 2-pt shot from 3 ft (block by D. Cousins),,18-20,,
4:06.0,,,18-20,,Defensive rebound by D. Cousins
3:59.0,,,18-20,,D. Cousins misses 3-pt shot from 25 ft
3:58.0,Defensive rebound by N. Stauskas,,18-20,,
3:56.0,Turnover by N. Stauskas (bad pass; steal by D. Collison),,18-20,,
3:54.0,,,18-20,,D. Collison misses 2-pt shot from 2 ft
3:53.0,Defensive rebound by H. Thompson,,18-20,,
3:39.0,H. Thompson makes 3-pt shot from 24 ft (assist by J. Okafor),3,21-20,,
3:28.0,,,21-20,,Turnover by R. Rondo (bad pass)
3:28.0,T. McConnell enters the game for I. Smith,,21-20,,
3:14.0,N. Stauskas misses 3-pt shot from 25 ft,,21-20,,
3:13.0,,,21-20,,Defensive rebound by R. Gay
3:07.0,,,21-20,,Shooting foul by R. Covington (drawn by D. Cousins)
3:07.0,,,21-20,,D. Cousins misses free throw 1 of 2
3:07.0,,,21-20,,Offensive rebound by Team
3:07.0,,,21-20,,O. Casspi enters the game for R. Gay
3:07.0,,,21-21,1,D. Cousins makes free throw 2 of 2
2:55.0,N. Stauskas makes 3-pt shot from 23 ft (assist by T. McConnell),3,24-21,,
2:39.0,,,24-23,2,M. Belinelli makes 2-pt shot from 20 ft (assist by R. Rondo)
2:26.0,J. Okafor misses 2-pt shot from 5 ft (block by D. Cousins),,24-23,,
2:24.0,,,24-23,,Defensive rebound by M. Belinelli
2:17.0,,,24-23,,Shooting foul by J. Okafor (drawn by D. Cousins)
2:17.0,,,24-23,,Sacramento full timeout
2:17.0,,,24-24,1,D. Cousins makes free throw 1 of 2
2:17.0,,,24-25,1,D. Cousins makes free throw 2 of 2
1:53.0,H. Thompson makes 2-pt shot from 15 ft,2,26-25,,
1:35.0,,,26-27,2,M. Belinelli makes 2-pt shot from 21 ft (assist by R. Rondo)
1:15.0,J. Okafor misses 2-pt shot from 8 ft,,26-27,,
1:14.0,,,26-27,,Defensive rebound by O. Casspi
1:10.0,,,26-29,2,D. Collison makes 2-pt shot from 2 ft (assist by M. Belinelli)
0:53.0,Shooting foul by O. Casspi (drawn by R. Covington),,26-29,,
0:53.0,R. Covington makes free throw 1 of 3,1,27-29,,
0:53.0,R. Covington makes free throw 2 of 3,1,28-29,,
0:53.0,,,28-29,,K. Koufos enters the game for D. Cousins
0:53.0,R. Covington misses free throw 3 of 3,,28-29,,
0:53.0,,,28-29,,Defensive rebound by R. Rondo
0:45.0,,,28-29,,Shooting foul by R. Covington (drawn by O. Casspi)
0:45.0,,,28-30,1,O. Casspi makes free throw 1 of 2
0:45.0,,,28-31,1,O. Casspi makes free throw 2 of 2
0:20.0,H. Thompson misses 3-pt shot from 24 ft,,28-31,,
0:20.0,Offensive rebound by J. Okafor,,28-31,,
0:19.0,J. Okafor makes 2-pt shot from 2 ft,2,30-31,,
0:00.0,,,30-31,,M. Belinelli misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by J. Okafor,,30-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,H. Thompson misses 3-pt shot from 24 ft,,30-31,,
11:41.0,,,30-31,,Defensive rebound by Team
11:36.0,,,30-31,,Turnover by B. McLemore (lost ball)
11:21.0,Turnover by T. McConnell (bad pass; steal by M. Belinelli),,30-31,,
11:09.0,,,30-31,,O. Casspi misses 3-pt shot from 30 ft
11:09.0,Defensive rebound by J. Okafor,,30-31,,
10:56.0,H. Thompson misses 2-pt shot from 6 ft,,30-31,,
10:55.0,Offensive rebound by J. Okafor,,30-31,,
10:55.0,J. Okafor misses 2-pt shot from 1 ft,,30-31,,
10:53.0,Offensive rebound by J. Okafor,,30-31,,
10:51.0,J. Okafor misses 2-pt shot from 4 ft,,30-31,,
10:50.0,,,30-31,,Defensive rebound by O. Casspi
10:44.0,,,30-33,2,D. Collison makes 2-pt shot at rim
10:28.0,J. Okafor makes 2-pt shot from 5 ft,2,32-33,,
10:28.0,Shooting foul by K. Koufos (drawn by J. Okafor),,32-33,,
10:28.0,J. Sampson enters the game for N. Stauskas,,32-33,,
10:28.0,J. Okafor makes free throw 1 of 1,1,33-33,,
10:10.0,,,33-35,2,K. Koufos makes 2-pt shot from 6 ft
9:53.0,R. Covington misses 3-pt shot from 24 ft,,33-35,,
9:51.0,,,33-35,,Defensive rebound by D. Collison
9:43.0,,,33-37,2,O. Casspi makes 2-pt shot from 3 ft (assist by D. Collison)
9:43.0,Philadelphia full timeout,,33-37,,
9:43.0,N. Noel enters the game for J. Okafor,,33-37,,
9:32.0,J. Sampson makes 2-pt shot from 2 ft (assist by T. McConnell),2,35-37,,
9:19.0,,,35-39,2,K. Koufos makes 2-pt shot from 8 ft (assist by D. Collison)
8:56.0,H. Thompson misses 2-pt shot from 19 ft,,35-39,,
8:56.0,,,35-39,,Defensive rebound by D. Collison
8:50.0,,,35-41,2,B. McLemore makes 2-pt shot from 2 ft (assist by D. Collison)
8:36.0,Turnover by T. McConnell (traveling),,35-41,,
8:36.0,I. Canaan enters the game for H. Thompson,,35-41,,
8:28.0,,,35-41,,Shooting foul by T. McConnell (drawn by D. Collison)
8:28.0,,,35-42,1,D. Collison makes free throw 1 of 2
8:28.0,,,35-43,1,D. Collison makes free throw 2 of 2
8:13.0,J. Sampson misses 3-pt shot from 23 ft,,35-43,,
8:13.0,,,35-43,,Defensive rebound by Team
8:00.0,,,35-43,,Shooting foul by R. Covington (drawn by K. Koufos)
8:00.0,,,35-43,,K. Koufos misses free throw 1 of 2
8:00.0,,,35-43,,Offensive rebound by Team
8:00.0,I. Smith enters the game for R. Covington,,35-43,,
8:00.0,J. Grant enters the game for T. McConnell,,35-43,,
8:00.0,,,35-44,1,K. Koufos makes free throw 2 of 2
7:43.0,Turnover by J. Grant (lost ball),,35-44,,
7:43.0,,,35-44,,R. Gay enters the game for O. Casspi
7:25.0,,,35-44,,M. Belinelli misses 3-pt shot from 27 ft
7:23.0,Defensive rebound by N. Noel,,35-44,,
7:11.0,J. Sampson misses 2-pt shot from 5 ft,,35-44,,
7:10.0,Offensive rebound by N. Noel,,35-44,,
7:10.0,N. Noel makes 2-pt shot at rim,2,37-44,,
6:55.0,,,37-44,,Shooting foul by I. Canaan (drawn by B. McLemore)
6:55.0,,,37-44,,B. McLemore misses free throw 1 of 2
6:55.0,,,37-44,,Offensive rebound by Team
6:55.0,,,37-44,,D. Cousins enters the game for K. Koufos
6:55.0,,,37-45,1,B. McLemore makes free throw 2 of 2
6:42.0,I. Smith makes 2-pt shot from 6 ft,2,39-45,,
6:27.0,,,39-45,,R. Gay misses 3-pt shot from 24 ft
6:26.0,Defensive rebound by J. Grant,,39-45,,
6:19.0,Shooting foul by D. Cousins (drawn by N. Noel),,39-45,,
6:19.0,N. Noel makes free throw 1 of 2,1,40-45,,
6:19.0,,,40-45,,R. Rondo enters the game for B. McLemore
6:19.0,N. Noel makes free throw 2 of 2,1,41-45,,
6:06.0,,,41-47,2,M. Belinelli makes 2-pt shot from 20 ft (assist by R. Rondo)
5:51.0,N. Noel misses 2-pt shot from 16 ft,,41-47,,
5:51.0,,,41-47,,Defensive rebound by D. Cousins
5:35.0,,,41-47,,D. Cousins misses 2-pt shot from 3 ft (block by J. Grant)
5:33.0,Defensive rebound by I. Canaan,,41-47,,
5:32.0,,,41-47,,Violation by R. Gay (def goaltending)
5:32.0,I. Canaan makes 2-pt shot from 2 ft,2,43-47,,
5:25.0,,,43-47,,D. Cousins misses 2-pt shot from 4 ft (block by J. Grant)
5:23.0,Defensive rebound by I. Smith,,43-47,,
5:19.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,45-47,,
5:16.0,,,45-47,,Sacramento full timeout
5:00.0,,,45-47,,Turnover by R. Rondo (bad pass)
4:40.0,I. Canaan misses 2-pt shot from 3 ft,,45-47,,
4:38.0,Offensive rebound by N. Noel,,45-47,,
4:38.0,N. Noel misses 2-pt shot at rim,,45-47,,
4:37.0,,,45-47,,Defensive rebound by R. Rondo
4:31.0,,,45-47,,Turnover by D. Collison (bad pass; steal by J. Grant)
4:27.0,J. Sampson misses 2-pt shot from 4 ft (block by R. Gay),,45-47,,
4:25.0,,,45-47,,Defensive rebound by R. Gay
4:17.0,,,45-50,3,M. Belinelli makes 3-pt shot from 23 ft (assist by R. Gay)
4:09.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,47-50,,
3:52.0,Personal foul by J. Sampson (drawn by R. Rondo),,47-50,,
3:52.0,H. Thompson enters the game for J. Sampson,,47-50,,
3:52.0,,,47-50,,O. Casspi enters the game for D. Collison
3:38.0,,,47-50,,O. Casspi misses 3-pt shot from 25 ft
3:36.0,Defensive rebound by H. Thompson,,47-50,,
3:30.0,H. Thompson makes 2-pt shot from 1 ft,2,49-50,,
3:19.0,,,49-50,,Turnover by R. Rondo (bad pass; steal by J. Grant)
3:08.0,H. Thompson makes 2-pt shot from 21 ft (assist by I. Smith),2,51-50,,
2:51.0,,,51-50,,Turnover by D. Cousins (lost ball; steal by N. Noel)
2:43.0,I. Canaan makes 2-pt shot from 2 ft (assist by J. Grant),2,53-50,,
2:39.0,,,53-50,,Sacramento full timeout
2:39.0,Official timeout,,53-50,,
2:31.0,,,53-50,,R. Rondo misses 2-pt shot from 2 ft (block by J. Grant)
2:31.0,,,53-50,,Offensive rebound by Team
2:26.0,,,53-50,,M. Belinelli misses 2-pt shot from 19 ft
2:25.0,Defensive rebound by J. Grant,,53-50,,
2:15.0,I. Canaan makes 2-pt shot from 19 ft,2,55-50,,
2:05.0,,,55-50,,Turnover by R. Gay (bad pass; steal by N. Noel)
1:55.0,N. Noel misses 2-pt shot from 2 ft,,55-50,,
1:54.0,,,55-50,,Defensive rebound by O. Casspi
1:46.0,,,55-50,,Shooting foul by H. Thompson (drawn by D. Cousins)
1:46.0,,,55-51,1,D. Cousins makes free throw 1 of 2
1:46.0,,,55-51,,D. Cousins misses free throw 2 of 2
1:43.0,Defensive rebound by J. Grant,,55-51,,
1:31.0,H. Thompson misses 3-pt shot from 24 ft,,55-51,,
1:30.0,,,55-51,,Defensive rebound by R. Rondo
1:22.0,,,55-54,3,M. Belinelli makes 3-pt shot from 24 ft (assist by R. Rondo)
1:07.0,I. Canaan misses 2-pt shot from 4 ft,,55-54,,
1:06.0,,,55-54,,Defensive rebound by D. Cousins
1:02.0,,,55-54,,D. Collison enters the game for M. Belinelli
0:58.0,,,55-56,2,R. Gay makes 2-pt shot from 3 ft
0:54.0,Philadelphia full timeout,,55-56,,
0:46.0,I. Smith misses 3-pt shot from 24 ft,,55-56,,
0:45.0,,,55-56,,Defensive rebound by O. Casspi
0:37.0,Personal foul by N. Noel (drawn by D. Cousins),,55-56,,
0:37.0,,,55-57,1,D. Cousins makes free throw 1 of 2
0:37.0,,,55-57,,M. Belinelli enters the game for R. Gay
0:37.0,,,55-57,,D. Cousins misses free throw 2 of 2
0:36.0,Defensive rebound by J. Grant,,55-57,,
0:31.0,I. Smith makes 2-pt shot from 2 ft,2,57-57,,
0:14.0,,,57-57,,R. Rondo misses 2-pt shot from 3 ft
0:13.0,Defensive rebound by N. Noel,,57-57,,
0:06.0,,,57-57,,Personal take foul by D. Collison (drawn by I. Smith)
0:06.0,,,57-57,,K. Koufos enters the game for D. Cousins
0:06.0,R. Covington enters the game for J. Grant,,57-57,,
0:00.0,I. Smith misses 3-pt shot from 25 ft,,57-57,,
0:00.0,Offensive rebound by Team,,57-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,I. Smith makes 2-pt shot from 9 ft,2,59-57,,
11:24.0,,,59-57,,Shooting foul by J. Sampson (drawn by D. Cousins)
11:24.0,,,59-58,1,D. Cousins makes free throw 1 of 2
11:24.0,,,59-59,1,D. Cousins makes free throw 2 of 2
11:16.0,J. Grant makes 3-pt shot from 24 ft (assist by I. Canaan),3,62-59,,
11:02.0,,,62-59,,Turnover by R. Gay (lost ball; steal by N. Noel)
11:01.0,,,62-59,,Personal foul by R. Rondo (drawn by J. Grant)
10:56.0,I. Canaan makes 3-pt shot from 24 ft (assist by I. Smith),3,65-59,,
10:47.0,,,65-59,,Turnover by R. Rondo (bad pass)
10:26.0,I. Smith misses 2-pt shot from 20 ft,,65-59,,
10:25.0,,,65-59,,Defensive rebound by D. Cousins
9:59.0,,,65-59,,R. Gay misses 3-pt shot from 24 ft
9:58.0,Defensive rebound by N. Noel,,65-59,,
9:53.0,I. Canaan makes 3-pt shot from 25 ft,3,68-59,,
9:53.0,,,68-59,,Sacramento full timeout
9:53.0,,,68-59,,D. Collison enters the game for R. Gay
9:53.0,,,68-59,,Q. Acy enters the game for B. McLemore
9:48.0,,,68-59,,Turnover by D. Cousins (lost ball; steal by I. Smith)
9:43.0,Shooting foul by D. Cousins (drawn by J. Sampson),,68-59,,
9:43.0,J. Sampson makes free throw 1 of 2,1,69-59,,
9:43.0,J. Sampson misses free throw 2 of 2,,69-59,,
9:42.0,,,69-59,,Defensive rebound by Team
9:42.0,Loose ball foul by J. Sampson (drawn by Q. Acy),,69-59,,
9:27.0,,,69-61,2,R. Rondo makes 2-pt shot from 2 ft (assist by D. Cousins)
9:03.0,J. Grant makes 3-pt shot from 22 ft (assist by N. Noel),3,72-61,,
8:54.0,,,72-61,,Turnover by R. Rondo (lost ball)
8:54.0,R. Covington enters the game for J. Sampson,,72-61,,
8:42.0,Shooting foul by Q. Acy (drawn by J. Grant),,72-61,,
8:42.0,J. Grant misses free throw 1 of 2,,72-61,,
8:42.0,Offensive rebound by Team,,72-61,,
8:42.0,J. Grant makes free throw 2 of 2,1,73-61,,
8:33.0,,,73-63,2,D. Collison makes 2-pt shot from 11 ft
8:24.0,,,73-63,,Personal foul by O. Casspi (drawn by R. Covington)
8:10.0,Turnover by J. Grant (lost ball; steal by Q. Acy),,73-63,,
7:58.0,,,73-66,3,D. Collison makes 3-pt shot from 25 ft (assist by O. Casspi)
7:38.0,,,73-66,,Personal foul by D. Cousins (drawn by N. Noel)
7:38.0,N. Noel misses free throw 1 of 2,,73-66,,
7:38.0,Offensive rebound by Team,,73-66,,
7:38.0,N. Noel misses free throw 2 of 2,,73-66,,
7:36.0,,,73-66,,Defensive rebound by O. Casspi
7:25.0,,,73-66,,D. Collison misses 2-pt shot from 15 ft
7:24.0,Defensive rebound by J. Grant,,73-66,,
7:19.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,75-66,,
7:12.0,,,75-69,3,O. Casspi makes 3-pt shot from 26 ft (assist by R. Rondo)
6:55.0,I. Canaan misses 2-pt shot from 5 ft (block by D. Cousins),,75-69,,
6:53.0,,,75-69,,Defensive rebound by R. Rondo
6:45.0,,,75-69,,D. Collison misses 3-pt shot from 24 ft
6:45.0,,,75-69,,Offensive rebound by Q. Acy
6:39.0,,,75-71,2,R. Rondo makes 2-pt shot from 17 ft
6:30.0,Philadelphia full timeout,,75-71,,
6:25.0,I. Canaan makes 3-pt shot from 27 ft (assist by N. Noel),3,78-71,,
6:09.0,,,78-71,,Turnover by D. Cousins (lost ball; steal by N. Noel)
6:05.0,,,78-71,,Personal foul by O. Casspi (drawn by J. Grant)
6:05.0,J. Grant makes free throw 1 of 2,1,79-71,,
6:05.0,J. Okafor enters the game for N. Noel,,79-71,,
6:05.0,J. Grant makes free throw 2 of 2,1,80-71,,
5:53.0,,,80-71,,Shooting foul by J. Grant (drawn by D. Cousins)
5:53.0,,,80-72,1,D. Cousins makes free throw 1 of 2
5:53.0,,,80-72,,D. Cousins misses free throw 2 of 2
5:51.0,,,80-72,,Offensive rebound by R. Rondo
5:45.0,,,80-72,,O. Casspi misses 3-pt shot from 28 ft
5:45.0,Defensive rebound by Team,,80-72,,
5:45.0,,,80-72,,Personal foul by R. Rondo (drawn by I. Smith)
5:45.0,I. Smith makes free throw 1 of 2,1,81-72,,
5:45.0,I. Smith makes free throw 2 of 2,1,82-72,,
5:33.0,,,82-72,,D. Cousins misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by R. Covington,,82-72,,
5:20.0,I. Smith misses 2-pt shot from 5 ft,,82-72,,
5:20.0,,,82-72,,Defensive rebound by Team
5:20.0,Loose ball foul by J. Grant (drawn by Q. Acy),,82-72,,
5:04.0,,,82-72,,Shooting foul by J. Okafor (drawn by D. Cousins)
5:04.0,,,82-73,1,D. Cousins makes free throw 1 of 2
5:04.0,N. Stauskas enters the game for J. Grant,,82-73,,
5:04.0,,,82-73,,D. Cousins misses free throw 2 of 2
5:03.0,,,82-73,,Offensive rebound by Team
5:03.0,Loose ball foul by R. Covington (drawn by Q. Acy),,82-73,,
5:03.0,,,82-74,1,Q. Acy makes free throw 1 of 2
5:03.0,R. Holmes enters the game for R. Covington,,82-74,,
5:03.0,,,82-75,1,Q. Acy makes free throw 2 of 2
4:38.0,J. Okafor misses 2-pt shot from 9 ft,,82-75,,
4:38.0,Offensive rebound by R. Holmes,,82-75,,
4:35.0,N. Stauskas misses 3-pt shot from 24 ft,,82-75,,
4:34.0,,,82-75,,Defensive rebound by Q. Acy
4:27.0,,,82-75,,D. Collison misses 2-pt shot from 3 ft (block by I. Smith)
4:26.0,Defensive rebound by J. Okafor,,82-75,,
4:20.0,I. Canaan misses 3-pt shot from 24 ft,,82-75,,
4:19.0,,,82-75,,Defensive rebound by D. Cousins
4:09.0,,,82-75,,D. Collison misses 2-pt shot from 2 ft (block by N. Stauskas)
4:08.0,Defensive rebound by J. Okafor,,82-75,,
4:00.0,I. Canaan misses 3-pt shot from 23 ft,,82-75,,
3:59.0,,,82-75,,Defensive rebound by D. Cousins
3:44.0,,,82-75,,D. Cousins misses 2-pt shot from 5 ft
3:43.0,,,82-75,,Offensive rebound by Q. Acy
3:43.0,,,82-75,,Q. Acy misses 2-pt shot from 2 ft
3:42.0,,,82-75,,Offensive rebound by O. Casspi
3:36.0,,,82-75,,Turnover by R. Rondo (bad pass; steal by J. Okafor)
3:29.0,Turnover by I. Smith (bad pass; steal by R. Rondo),,82-75,,
3:23.0,,,82-77,2,D. Collison makes 2-pt shot from 2 ft (assist by R. Rondo)
3:02.0,I. Canaan misses 2-pt shot from 8 ft,,82-77,,
3:01.0,,,82-77,,Defensive rebound by Q. Acy
2:54.0,,,82-77,,O. Casspi misses 2-pt shot from 2 ft
2:53.0,,,82-77,,Offensive rebound by D. Collison
2:49.0,,,82-77,,R. Rondo misses 3-pt shot from 24 ft
2:48.0,Defensive rebound by J. Okafor,,82-77,,
2:29.0,I. Smith misses 2-pt shot from 7 ft,,82-77,,
2:27.0,,,82-77,,Defensive rebound by D. Cousins
2:10.0,,,82-79,2,R. Rondo makes 2-pt shot from 7 ft
1:46.0,I. Canaan misses 3-pt shot from 23 ft,,82-79,,
1:46.0,Offensive rebound by Team,,82-79,,
1:46.0,Violation by Team (delay of game),,82-79,,
1:46.0,T. McConnell enters the game for I. Smith,,82-79,,
1:46.0,,,82-79,,M. Belinelli enters the game for O. Casspi
1:46.0,,,82-79,,R. Gay enters the game for D. Cousins
1:46.0,,,82-79,,K. Koufos enters the game for Q. Acy
1:37.0,T. McConnell misses 2-pt shot from 19 ft,,82-79,,
1:37.0,Offensive rebound by R. Holmes,,82-79,,
1:37.0,R. Covington enters the game for I. Canaan,,82-79,,
1:36.0,Jump ball: R. Holmes vs. R. Rondo (R. Covington gains possession),,,,Jump ball: R. Holmes vs. R. Rondo (R. Covington gains possession)
1:29.0,N. Stauskas misses 3-pt shot from 24 ft,,82-79,,
1:28.0,,,82-79,,Defensive rebound by D. Collison
1:11.0,,,82-79,,D. Collison misses 3-pt shot from 24 ft
1:11.0,Defensive rebound by T. McConnell,,82-79,,
1:00.0,Shooting foul by M. Belinelli (drawn by J. Okafor),,82-79,,
1:00.0,J. Okafor misses free throw 1 of 2,,82-79,,
1:00.0,Offensive rebound by Team,,82-79,,
1:00.0,J. Grant enters the game for R. Covington,,82-79,,
1:00.0,J. Sampson enters the game for N. Stauskas,,82-79,,
1:00.0,J. Okafor makes free throw 2 of 2,1,83-79,,
0:51.0,,,83-79,,Turnover by R. Rondo (bad pass)
0:51.0,N. Stauskas enters the game for J. Sampson,,83-79,,
0:51.0,R. Covington enters the game for J. Grant,,83-79,,
0:34.0,Shooting foul by K. Koufos (drawn by J. Okafor),,83-79,,
0:34.0,J. Okafor misses free throw 1 of 2,,83-79,,
0:34.0,Offensive rebound by Team,,83-79,,
0:34.0,J. Sampson enters the game for N. Stauskas,,83-79,,
0:34.0,J. Grant enters the game for R. Covington,,83-79,,
0:34.0,J. Okafor misses free throw 2 of 2,,83-79,,
0:32.0,,,83-79,,Defensive rebound by Team
0:23.0,,,83-81,2,R. Gay makes 2-pt shot from 20 ft
0:00.0,R. Holmes makes 2-pt shot from 1 ft (assist by J. Grant),2,85-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,85-81,,M. Belinelli misses 3-pt shot from 24 ft
11:43.0,Defensive rebound by N. Stauskas,,85-81,,
11:30.0,N. Stauskas misses 3-pt shot from 24 ft,,85-81,,
11:29.0,,,85-81,,Defensive rebound by D. Collison
11:27.0,,,85-81,,Shooting foul by N. Stauskas (drawn by M. Belinelli)
11:27.0,,,85-83,2,M. Belinelli makes 2-pt shot from 1 ft (assist by D. Collison)
11:27.0,,,85-83,,M. Belinelli misses free throw 1 of 1
11:26.0,Defensive rebound by R. Covington,,85-83,,
11:12.0,R. Covington misses 2-pt shot from 7 ft,,85-83,,
11:11.0,,,85-83,,Defensive rebound by R. Gay
11:03.0,,,85-83,,K. Koufos misses 2-pt shot from 6 ft
11:02.0,Defensive rebound by J. Grant,,85-83,,
10:42.0,J. Okafor makes 2-pt shot from 6 ft (assist by N. Stauskas),2,87-83,,
10:21.0,,,87-83,,R. Gay misses 2-pt shot from 5 ft (block by J. Grant)
10:21.0,,,87-83,,Offensive rebound by Team
10:15.0,,,87-85,2,R. Gay makes 2-pt shot from 8 ft
