time,Charlotte,pts.away,score,pts.home,Chicago
7:20.0,,,30-36,1,J. Butler makes free throw 1 of 2
7:20.0,A. Jefferson enters the game for S. Hawes,,30-36,,
7:20.0,,,30-36,,J. Butler misses free throw 2 of 2
7:17.0,Defensive rebound by M. Williams,,30-36,,
7:01.0,J. Lamb misses 2-pt shot from 21 ft,,30-36,,
7:01.0,,,30-36,,Defensive rebound by Team
6:48.0,,,30-36,,D. Rose misses 3-pt shot from 24 ft
6:45.0,Defensive rebound by J. Lamb,,30-36,,
6:29.0,J. Lin misses 3-pt shot from 25 ft,,30-36,,
6:27.0,,,30-36,,Defensive rebound by E. Moore
6:20.0,,,30-36,,E. Moore misses 2-pt shot from 22 ft
6:18.0,Defensive rebound by M. Williams,,30-36,,
6:12.0,Turnover by J. Lamb (bad pass; steal by J. Butler),,30-36,,
6:06.0,,,30-38,2,E. Moore makes 2-pt shot from 1 ft (assist by J. Butler)
5:57.0,Charlotte full timeout,,30-38,,
5:57.0,,,30-38,,P. Gasol enters the game for T. Gibson
5:57.0,K. Walker enters the game for J. Lin,,30-38,,
5:49.0,A. Jefferson misses 2-pt shot from 7 ft,,30-38,,
5:47.0,Offensive rebound by N. Batum,,30-38,,
5:47.0,N. Batum makes 2-pt shot from 2 ft,2,32-38,,
5:28.0,,,32-38,,Shooting foul by A. Jefferson (drawn by J. Butler)
5:28.0,,,32-39,1,J. Butler makes free throw 1 of 2
5:28.0,,,32-40,1,J. Butler makes free throw 2 of 2
5:16.0,M. Williams makes 3-pt shot from 24 ft (assist by K. Walker),3,35-40,,
5:02.0,,,35-40,,Turnover by P. Gasol (lost ball; steal by N. Batum)
4:51.0,K. Walker misses 2-pt shot from 1 ft,,35-40,,
4:50.0,Offensive rebound by J. Lamb,,35-40,,
4:50.0,J. Lamb makes 2-pt shot from 2 ft,2,37-40,,
4:32.0,,,37-40,,P. Gasol misses 2-pt shot from 18 ft
4:32.0,,,37-40,,Offensive rebound by Team
4:32.0,Loose ball foul by J. Lamb (drawn by N. Mirotic),,37-40,,
4:32.0,,,37-40,,K. Hinrich enters the game for D. Rose
4:29.0,,,37-40,,N. Mirotic misses 3-pt shot from 24 ft
4:27.0,Defensive rebound by A. Jefferson,,37-40,,
4:13.0,M. Williams misses 2-pt shot from 6 ft,,37-40,,
4:12.0,,,37-40,,Defensive rebound by N. Mirotic
4:07.0,,,37-42,2,E. Moore makes 2-pt shot from 2 ft (assist by N. Mirotic)
3:53.0,N. Batum makes 3-pt shot from 24 ft,3,40-42,,
3:40.0,,,40-45,3,K. Hinrich makes 3-pt shot from 24 ft (assist by P. Gasol)
3:15.0,A. Jefferson makes 2-pt shot from 19 ft (assist by N. Batum),2,42-45,,
2:57.0,,,42-45,,P. Gasol misses 2-pt shot from 10 ft
2:56.0,Defensive rebound by N. Batum,,42-45,,
2:41.0,A. Jefferson misses 2-pt shot from 13 ft,,42-45,,
2:39.0,,,42-45,,Defensive rebound by E. Moore
2:31.0,,,42-45,,P. Gasol misses 2-pt shot from 17 ft
2:30.0,Defensive rebound by K. Walker,,42-45,,
2:22.0,K. Walker misses 3-pt shot from 25 ft,,42-45,,
2:21.0,,,42-45,,Defensive rebound by P. Gasol
2:12.0,,,42-47,2,P. Gasol makes 2-pt shot from 19 ft (assist by K. Hinrich)
2:03.0,Charlotte full timeout,,42-47,,
2:03.0,,,42-47,,Chicago full timeout
2:03.0,,,42-47,,D. Rose enters the game for P. Gasol
2:03.0,,,42-47,,J. Noah enters the game for E. Moore
2:03.0,F. Kaminsky enters the game for M. Williams,,42-47,,
2:03.0,T. Daniels enters the game for J. Lamb,,42-47,,
1:52.0,A. Jefferson misses 2-pt shot from 11 ft,,42-47,,
1:50.0,,,42-47,,Defensive rebound by N. Mirotic
1:38.0,,,42-47,,Turnover by D. Rose (step out of bounds)
1:12.0,F. Kaminsky misses 2-pt shot from 8 ft,,42-47,,
1:11.0,,,42-47,,Defensive rebound by J. Noah
1:05.0,Personal foul by F. Kaminsky (drawn by N. Mirotic),,42-47,,
1:05.0,,,42-48,1,N. Mirotic makes free throw 1 of 2
1:05.0,,,42-48,,N. Mirotic misses free throw 2 of 2
1:04.0,Defensive rebound by A. Jefferson,,42-48,,
0:50.0,T. Daniels makes 3-pt shot from 24 ft,3,45-48,,
0:36.0,,,45-48,,N. Mirotic misses 3-pt shot from 24 ft
0:35.0,Defensive rebound by F. Kaminsky,,45-48,,
0:25.0,,,45-48,,Personal foul by J. Noah (drawn by A. Jefferson)
0:14.0,Shooting foul by N. Mirotic (drawn by T. Daniels),,45-48,,
0:14.0,T. Daniels makes free throw 1 of 2,1,46-48,,
0:14.0,,,46-48,,D. McDermott enters the game for K. Hinrich
0:14.0,,,46-48,,P. Gasol enters the game for J. Noah
0:14.0,M. Williams enters the game for F. Kaminsky,,46-48,,
0:14.0,T. Daniels misses free throw 2 of 2,,46-48,,
0:12.0,,,46-48,,Defensive rebound by P. Gasol
0:00.0,,,46-50,2,P. Gasol makes 2-pt shot from 16 ft (assist by D. Rose)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,M. Williams makes 3-pt shot from 23 ft (assist by K. Walker),3,49-50,,
11:30.0,,,49-50,,J. Butler misses 2-pt shot from 2 ft
11:25.0,Defensive rebound by K. Walker,,49-50,,
11:14.0,K. Walker misses 2-pt shot from 10 ft,,49-50,,
11:14.0,,,49-50,,Defensive rebound by D. Rose
11:08.0,,,49-50,,D. Rose misses 2-pt shot from 5 ft
11:07.0,Defensive rebound by K. Walker,,49-50,,
11:04.0,P. Hairston misses 3-pt shot from 22 ft,,49-50,,
11:02.0,,,49-50,,Defensive rebound by J. Butler
10:49.0,,,49-50,,D. Rose misses 3-pt shot from 25 ft
10:49.0,,,49-50,,Offensive rebound by N. Mirotic
10:49.0,,,49-50,,Shooting foul by M. Williams (drawn by N. Mirotic)
10:49.0,,,49-51,1,N. Mirotic makes free throw 1 of 2
10:49.0,,,49-52,1,N. Mirotic makes free throw 2 of 2
10:36.0,,,49-52,,Personal foul by N. Mirotic (drawn by A. Jefferson)
10:21.0,N. Batum misses 2-pt shot from 19 ft,,49-52,,
10:19.0,,,49-52,,Defensive rebound by N. Mirotic
10:11.0,,,49-54,2,P. Gasol makes 2-pt shot at rim (assist by D. Rose)
9:47.0,P. Hairston makes 3-pt shot from 22 ft (assist by M. Williams),3,52-54,,
9:36.0,,,52-56,2,D. Rose makes 2-pt shot from 2 ft
9:10.0,N. Batum makes 2-pt shot from 21 ft (assist by A. Jefferson),2,54-56,,
8:54.0,,,54-56,,Shooting foul by A. Jefferson (drawn by P. Gasol)
8:54.0,,,54-57,1,P. Gasol makes free throw 1 of 2
8:54.0,,,54-58,1,P. Gasol makes free throw 2 of 2
8:32.0,Turnover by K. Walker (bad pass; steal by N. Mirotic),,54-58,,
8:14.0,,,54-58,,D. Rose misses 2-pt shot from 8 ft
8:12.0,Defensive rebound by K. Walker,,54-58,,
8:07.0,,,54-58,,Personal foul by D. McDermott (drawn by P. Hairston)
7:59.0,K. Walker misses 2-pt shot from 21 ft,,54-58,,
7:58.0,,,54-58,,Defensive rebound by P. Gasol
7:48.0,,,54-58,,P. Gasol misses 2-pt shot from 18 ft
7:47.0,Defensive rebound by M. Williams,,54-58,,
7:32.0,M. Williams misses 3-pt shot from 23 ft,,54-58,,
7:31.0,,,54-58,,Defensive rebound by N. Mirotic
7:20.0,,,54-58,,D. McDermott misses 3-pt shot from 24 ft
7:19.0,Defensive rebound by K. Walker,,54-58,,
7:16.0,N. Batum makes 2-pt shot at rim (assist by K. Walker),2,56-58,,
7:07.0,,,56-58,,Shooting foul by P. Hairston (drawn by J. Butler)
7:07.0,,,56-58,,J. Butler misses free throw 1 of 2
7:07.0,,,56-58,,Offensive rebound by Team
7:07.0,,,56-59,1,J. Butler makes free throw 2 of 2
6:49.0,K. Walker misses 2-pt shot from 11 ft,,56-59,,
6:48.0,,,56-59,,Defensive rebound by J. Butler
6:40.0,,,56-61,2,J. Butler makes 2-pt shot from 7 ft
6:31.0,M. Williams misses 2-pt shot from 1 ft (block by J. Butler),,56-61,,
6:29.0,,,56-61,,Defensive rebound by N. Mirotic
6:22.0,Personal foul by K. Walker (drawn by J. Butler),,56-61,,
6:22.0,Technical foul by Team,,56-61,,
6:22.0,,,56-61,,D. McDermott misses technical free throw
6:22.0,,,56-61,,Offensive rebound by Team
6:22.0,,,56-61,,J. Butler misses free throw 1 of 2
6:22.0,,,56-61,,Offensive rebound by Team
6:22.0,,,56-62,1,J. Butler makes free throw 2 of 2
6:02.0,P. Hairston makes 3-pt shot from 24 ft (assist by A. Jefferson),3,59-62,,
5:47.0,,,59-62,,J. Butler misses 3-pt shot from 24 ft
5:46.0,Defensive rebound by A. Jefferson,,59-62,,
5:29.0,K. Walker misses 2-pt shot from 20 ft,,59-62,,
5:29.0,Offensive rebound by M. Williams,,59-62,,
5:29.0,M. Williams makes 2-pt shot from 2 ft,2,61-62,,
5:29.0,Shooting foul by J. Butler (drawn by M. Williams),,61-62,,
5:29.0,,,61-62,,Chicago full timeout
5:29.0,,,61-62,,T. Gibson enters the game for N. Mirotic
5:29.0,M. Williams makes free throw 1 of 1,1,62-62,,
5:12.0,,,62-62,,J. Butler misses 3-pt shot from 25 ft
5:11.0,Defensive rebound by N. Batum,,62-62,,
5:04.0,Shooting foul by P. Gasol (drawn by N. Batum),,62-62,,
5:04.0,N. Batum makes free throw 1 of 2,1,63-62,,
5:04.0,F. Kaminsky enters the game for M. Williams,,63-62,,
5:04.0,,,63-62,,J. Noah enters the game for D. McDermott
5:04.0,,,63-62,,T. Snell enters the game for P. Gasol
5:04.0,,,63-62,,Violation by Team (delay of game)
5:04.0,N. Batum makes free throw 2 of 2,1,64-62,,
4:56.0,,,64-62,,Shooting foul by A. Jefferson (drawn by J. Butler)
4:56.0,,,64-63,1,J. Butler makes free throw 1 of 2
4:56.0,,,64-63,,A. Brooks enters the game for D. Rose
4:56.0,,,64-64,1,J. Butler makes free throw 2 of 2
4:31.0,P. Hairston misses 3-pt shot from 25 ft,,64-64,,
4:30.0,Offensive rebound by Team,,64-64,,
4:25.0,N. Batum makes 3-pt shot from 26 ft (assist by F. Kaminsky),3,67-64,,
4:06.0,,,67-64,,T. Snell misses 2-pt shot from 3 ft (block by F. Kaminsky)
4:06.0,,,67-64,,Offensive rebound by Team
4:06.0,J. Lamb enters the game for P. Hairston,,67-64,,
4:06.0,S. Hawes enters the game for A. Jefferson,,67-64,,
3:59.0,,,67-66,2,J. Butler makes 2-pt shot from 21 ft
3:43.0,N. Batum makes 3-pt shot from 24 ft (assist by J. Lamb),3,70-66,,
3:30.0,,,70-68,2,T. Gibson makes 2-pt shot from 5 ft (assist by A. Brooks)
3:12.0,S. Hawes misses 3-pt shot from 25 ft,,70-68,,
3:11.0,,,70-68,,Defensive rebound by T. Gibson
2:58.0,,,70-70,2,J. Butler makes 2-pt shot from 1 ft (assist by J. Noah)
2:42.0,Shooting foul by T. Gibson (drawn by K. Walker),,70-70,,
2:42.0,Charlotte full timeout,,70-70,,
2:42.0,J. Lin enters the game for N. Batum,,70-70,,
2:42.0,K. Walker makes free throw 1 of 2,1,71-70,,
2:42.0,K. Walker makes free throw 2 of 2,1,72-70,,
2:26.0,,,72-70,,T. Snell misses 3-pt shot from 25 ft
2:22.0,,,72-70,,Offensive rebound by J. Noah
2:07.0,,,72-70,,J. Butler misses 3-pt shot from 24 ft
2:06.0,Defensive rebound by J. Lamb,,72-70,,
1:51.0,J. Lamb misses 3-pt shot from 24 ft,,72-70,,
1:50.0,,,72-70,,Defensive rebound by J. Noah
1:37.0,,,72-70,,T. Snell misses 2-pt shot from 5 ft
1:36.0,,,72-70,,Offensive rebound by J. Noah
1:36.0,,,72-70,,J. Noah misses 2-pt shot from 1 ft
1:35.0,Defensive rebound by J. Lamb,,72-70,,
1:17.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by J. Lin),3,75-70,,
1:00.0,,,75-70,,A. Brooks misses 3-pt shot from 25 ft (block by K. Walker)
0:57.0,,,75-70,,Offensive rebound by A. Brooks
0:42.0,,,75-72,2,J. Butler makes 2-pt shot from 1 ft
0:31.0,K. Walker misses 3-pt shot from 24 ft,,75-72,,
0:30.0,,,75-72,,Defensive rebound by J. Butler
0:13.0,,,75-72,,Turnover by J. Butler (lost ball; steal by K. Walker)
0:08.0,K. Walker misses 2-pt shot from 1 ft,,75-72,,
0:08.0,,,75-72,,Defensive rebound by Team
0:08.0,Loose ball foul by J. Lamb (drawn by A. Brooks),,75-72,,
0:08.0,,,75-73,1,A. Brooks makes free throw 1 of 2
0:08.0,,,75-73,,E. Moore enters the game for J. Butler
0:08.0,,,75-73,,A. Brooks misses free throw 2 of 2
0:07.0,,,75-73,,Offensive rebound by A. Brooks
0:00.0,,,75-73,,A. Brooks misses 2-pt shot from 14 ft
0:00.0,,,75-73,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,75-75,2,E. Moore makes 2-pt shot from 20 ft (assist by T. Gibson)
11:30.0,J. Lin makes 2-pt shot at rim,2,77-75,,
11:14.0,,,77-77,2,E. Moore makes 2-pt shot from 5 ft (assist by J. Noah)
11:02.0,J. Lin misses 2-pt shot from 7 ft,,77-77,,
11:00.0,,,77-77,,Defensive rebound by A. Brooks
10:56.0,Personal foul by F. Kaminsky (drawn by A. Brooks),,77-77,,
10:56.0,,,77-77,,D. Rose enters the game for A. Brooks
10:46.0,,,77-79,2,T. Gibson makes 2-pt shot from 6 ft (assist by D. Rose)
10:27.0,Turnover by M. Williams (bad pass; steal by J. Noah),,77-79,,
10:16.0,,,77-82,3,T. Snell makes 3-pt shot from 24 ft (assist by J. Noah)
10:15.0,Charlotte full timeout,,77-82,,
10:01.0,,,77-82,,Personal block foul by T. Snell (drawn by M. Williams)
9:48.0,F. Kaminsky misses 2-pt shot from 2 ft,,77-82,,
9:47.0,,,77-82,,Defensive rebound by J. Noah
9:38.0,,,77-82,,Turnover by D. Rose (bad pass; steal by J. Lin)
9:35.0,,,77-82,,Personal foul by E. Moore (drawn by J. Lamb)
9:25.0,J. Lamb misses 2-pt shot from 1 ft,,77-82,,
9:24.0,,,77-82,,Defensive rebound by J. Noah
9:02.0,,,77-82,,D. Rose misses 2-pt shot from 5 ft
9:00.0,,,77-82,,Offensive rebound by J. Noah
9:00.0,,,77-82,,J. Noah misses 2-pt shot from 1 ft
8:59.0,Defensive rebound by S. Hawes,,77-82,,
8:46.0,F. Kaminsky misses 2-pt shot from 2 ft,,77-82,,
8:45.0,Offensive rebound by F. Kaminsky,,77-82,,
8:43.0,F. Kaminsky misses 2-pt shot from 1 ft,,77-82,,
8:42.0,,,77-82,,Defensive rebound by J. Noah
8:28.0,,,77-84,2,T. Gibson makes 2-pt shot from 18 ft (assist by J. Noah)
8:10.0,J. Lin makes 2-pt shot from 20 ft,2,79-84,,
7:54.0,,,79-84,,T. Gibson misses 2-pt shot from 3 ft
7:53.0,Defensive rebound by S. Hawes,,79-84,,
7:44.0,J. Lamb misses 2-pt shot from 9 ft,,79-84,,
7:42.0,Offensive rebound by J. Lamb,,79-84,,
7:41.0,J. Lamb misses 2-pt shot from 3 ft (block by J. Noah),,79-84,,
7:39.0,,,79-84,,Defensive rebound by E. Moore
7:29.0,Personal foul by S. Hawes (drawn by J. Noah),,79-84,,
7:29.0,N. Batum enters the game for F. Kaminsky,,79-84,,
7:29.0,A. Jefferson enters the game for S. Hawes,,79-84,,
7:29.0,,,79-84,,P. Gasol enters the game for J. Noah
7:22.0,,,79-86,2,D. Rose makes 2-pt shot from 21 ft
7:00.0,J. Lamb makes 3-pt shot from 24 ft (assist by A. Jefferson),3,82-86,,
6:51.0,Personal foul by J. Lin (drawn by D. Rose),,82-86,,
6:51.0,K. Walker enters the game for J. Lin,,82-86,,
6:51.0,,,82-86,,J. Butler enters the game for T. Snell
6:42.0,,,82-88,2,T. Gibson makes 2-pt shot from 13 ft (assist by J. Butler)
6:15.0,J. Lamb makes 3-pt shot from 25 ft (assist by A. Jefferson),3,85-88,,
6:00.0,,,85-88,,Turnover by D. Rose (bad pass; steal by K. Walker)
5:54.0,J. Lamb makes 2-pt shot at rim (assist by K. Walker),2,87-88,,
5:54.0,,,87-88,,Chicago full timeout
5:30.0,,,87-90,2,J. Butler makes 2-pt shot from 18 ft
5:14.0,Turnover by N. Batum (bad pass; steal by D. Rose),,87-90,,
5:10.0,,,87-90,,Shooting foul by M. Williams (drawn by J. Butler)
5:10.0,,,87-91,1,J. Butler makes free throw 1 of 2
5:10.0,,,87-91,,J. Noah enters the game for T. Gibson
5:10.0,,,87-92,1,J. Butler makes free throw 2 of 2
4:47.0,A. Jefferson misses 2-pt shot from 12 ft,,87-92,,
4:45.0,Offensive rebound by N. Batum,,87-92,,
4:45.0,N. Batum misses 2-pt shot from 2 ft,,87-92,,
