time,Indiana,pts.away,score,pts.home,Charlotte
3:28.0,P. George misses 2-pt shot from 1 ft (block by N. Batum),,20-18,,
3:28.0,Offensive rebound by P. George,,20-18,,
3:28.0,Shooting foul by A. Jefferson (drawn by P. George),,20-18,,
3:28.0,P. George makes free throw 1 of 2,1,21-18,,
3:28.0,,,21-18,,J. Lin enters the game for C. Lee
3:28.0,P. George makes free throw 2 of 2,1,22-18,,
3:14.0,,,22-20,2,N. Batum makes 2-pt shot from 1 ft
3:00.0,R. Stuckey makes 2-pt shot from 9 ft (assist by P. George),2,24-20,,
3:00.0,Shooting foul by J. Lin (drawn by R. Stuckey),,24-20,,
3:00.0,,,24-20,,F. Kaminsky enters the game for M. Williams
3:00.0,M. Turner enters the game for S. Hill,,24-20,,
3:00.0,R. Stuckey makes free throw 1 of 1,1,25-20,,
2:46.0,,,25-20,,N. Batum misses 3-pt shot from 26 ft
2:45.0,Defensive rebound by I. Mahinmi,,25-20,,
2:39.0,M. Ellis misses 2-pt shot from 6 ft,,25-20,,
2:38.0,,,25-20,,Defensive rebound by A. Jefferson
2:29.0,,,25-23,3,F. Kaminsky makes 3-pt shot from 25 ft (assist by K. Walker)
2:14.0,Turnover by M. Ellis (bad pass),,25-23,,
2:10.0,,,25-25,2,K. Walker makes 2-pt shot from 1 ft
2:10.0,,,25-25,,Shooting foul by M. Turner (drawn by K. Walker)
2:10.0,J. Hill enters the game for I. Mahinmi,,25-25,,
2:10.0,,,25-26,1,K. Walker makes free throw 1 of 1
1:53.0,M. Ellis misses 3-pt shot from 25 ft,,25-26,,
1:51.0,,,25-26,,Defensive rebound by N. Batum
1:32.0,Personal foul by M. Ellis (drawn by K. Walker),,25-26,,
1:32.0,G. Hill enters the game for M. Ellis,,25-26,,
1:23.0,,,25-29,3,F. Kaminsky makes 3-pt shot from 26 ft (assist by K. Walker)
1:03.0,P. George makes 3-pt shot from 24 ft (assist by M. Turner),3,28-29,,
0:50.0,,,28-31,2,K. Walker makes 2-pt shot from 12 ft
0:33.0,Shooting foul by A. Jefferson (drawn by M. Turner),,28-31,,
0:33.0,M. Turner makes free throw 1 of 2,1,29-31,,
0:33.0,M. Turner makes free throw 2 of 2,1,30-31,,
0:24.0,,,30-31,,F. Kaminsky misses 2-pt shot from 6 ft
0:22.0,,,30-31,,Offensive rebound by N. Batum
0:00.0,,,30-31,,K. Walker misses 3-pt shot from 25 ft
0:00.0,,,30-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,R. Stuckey misses 2-pt shot from 3 ft,,30-31,,
11:44.0,,,30-31,,Defensive rebound by F. Kaminsky
11:33.0,,,30-31,,A. Jefferson misses 2-pt shot from 8 ft
11:32.0,Defensive rebound by J. Hill,,30-31,,
11:19.0,J. Hill makes 2-pt shot from 17 ft (assist by R. Stuckey),2,32-31,,
10:56.0,,,32-33,2,A. Jefferson makes 2-pt shot from 5 ft
10:38.0,G. Hill misses 3-pt shot from 24 ft,,32-33,,
10:37.0,,,32-33,,Defensive rebound by F. Kaminsky
10:27.0,,,32-33,,Shooting foul by C. Budinger (drawn by J. Lamb)
10:27.0,,,32-33,,J. Lamb misses free throw 1 of 2
10:27.0,,,32-33,,Offensive rebound by Team
10:27.0,,,32-34,1,J. Lamb makes free throw 2 of 2
10:15.0,M. Turner misses 2-pt shot from 14 ft,,32-34,,
10:14.0,,,32-34,,Defensive rebound by K. Walker
9:58.0,,,32-34,,A. Jefferson misses 2-pt shot from 4 ft
9:57.0,Defensive rebound by J. Hill,,32-34,,
9:49.0,Offensive foul by M. Turner,,32-34,,
9:49.0,Turnover by M. Turner (offensive foul),,32-34,,
9:48.0,,,32-34,,N. Batum enters the game for K. Walker
9:30.0,,,32-34,,Shooting foul by R. Stuckey (drawn by F. Kaminsky)
9:30.0,,,32-35,1,F. Kaminsky makes free throw 1 of 2
9:30.0,,,32-36,1,F. Kaminsky makes free throw 2 of 2
9:17.0,R. Stuckey makes 2-pt shot from 20 ft (assist by J. Hill),2,34-36,,
9:03.0,,,34-36,,J. Lin misses 2-pt shot from 18 ft
9:02.0,Defensive rebound by J. Hill,,34-36,,
8:45.0,C. Budinger makes 2-pt shot from 7 ft (assist by R. Stuckey),2,36-36,,
8:24.0,,,36-36,,A. Jefferson misses 2-pt shot from 6 ft
8:22.0,Defensive rebound by C. Budinger,,36-36,,
8:16.0,R. Stuckey misses 2-pt shot from 2 ft,,36-36,,
8:16.0,,,36-36,,Defensive rebound by Team
8:16.0,Official timeout,,36-36,,
8:16.0,,,36-36,,C. Zeller enters the game for A. Jefferson
8:05.0,,,36-36,,N. Batum misses 2-pt shot from 15 ft
8:03.0,Defensive rebound by C. Budinger,,36-36,,
7:41.0,C. Budinger misses 3-pt shot from 22 ft,,36-36,,
7:41.0,Offensive rebound by Team,,36-36,,
7:30.0,J. Hill makes 2-pt shot from 1 ft (assist by C. Budinger),2,38-36,,
7:19.0,,,38-36,,J. Lin misses 2-pt shot from 17 ft
7:18.0,Defensive rebound by R. Stuckey,,38-36,,
6:59.0,M. Turner misses 2-pt shot from 5 ft,,38-36,,
6:58.0,,,38-36,,Defensive rebound by J. Lamb
6:42.0,,,38-36,,J. Lin misses 2-pt shot from 14 ft
6:39.0,Defensive rebound by R. Stuckey,,38-36,,
6:32.0,R. Stuckey misses 2-pt shot from 18 ft,,38-36,,
6:31.0,,,38-36,,Defensive rebound by J. Lamb
6:16.0,,,38-38,2,C. Zeller makes 2-pt shot from 1 ft (assist by N. Batum)
6:16.0,Indiana full timeout,,38-38,,
6:16.0,M. Ellis enters the game for R. Stuckey,,38-38,,
6:16.0,,,38-38,,C. Lee enters the game for J. Lamb
6:04.0,G. Hill misses 2-pt shot from 2 ft (block by C. Zeller),,38-38,,
6:02.0,Offensive rebound by G. Hill,,38-38,,
5:59.0,C. Budinger misses 3-pt shot from 23 ft,,38-38,,
5:58.0,,,38-38,,Defensive rebound by C. Lee
5:50.0,Personal block foul by C. Budinger (drawn by J. Lin),,38-38,,
5:40.0,,,38-38,,F. Kaminsky misses 3-pt shot from 23 ft
5:39.0,Defensive rebound by J. Hill,,38-38,,
5:17.0,J. Hill makes 2-pt shot from 7 ft,2,40-38,,
4:59.0,,,40-41,3,J. Lin makes 3-pt shot from 25 ft (assist by C. Zeller)
4:40.0,M. Turner misses 3-pt shot from 25 ft,,40-41,,
4:39.0,,,40-41,,Defensive rebound by J. Lin
4:35.0,,,40-41,,J. Lin misses 2-pt shot from 2 ft (block by M. Turner)
4:30.0,,,40-41,,Offensive rebound by N. Batum
4:30.0,,,40-43,2,N. Batum makes 2-pt shot at rim
4:13.0,Shooting foul by N. Batum (drawn by M. Turner),,40-43,,
4:13.0,M. Turner makes free throw 1 of 2,1,41-43,,
4:13.0,S. Hill enters the game for J. Hill,,41-43,,
4:13.0,P. George enters the game for C. Budinger,,41-43,,
4:13.0,,,41-43,,K. Walker enters the game for J. Lin
4:13.0,,,41-43,,M. Williams enters the game for F. Kaminsky
4:13.0,M. Turner makes free throw 2 of 2,1,42-43,,
3:57.0,,,42-45,2,N. Batum makes 2-pt shot at rim
3:39.0,G. Hill misses 3-pt shot from 22 ft,,42-45,,
3:39.0,,,42-45,,Defensive rebound by Team
3:39.0,I. Mahinmi enters the game for M. Turner,,42-45,,
3:26.0,,,42-47,2,N. Batum makes 2-pt shot from 12 ft (assist by K. Walker)
3:15.0,,,42-47,,Personal foul by C. Zeller (drawn by I. Mahinmi)
2:58.0,P. George misses 2-pt shot from 20 ft,,42-47,,
2:55.0,,,42-47,,Defensive rebound by C. Zeller
2:45.0,,,42-47,,C. Lee misses 2-pt shot from 13 ft
2:43.0,Defensive rebound by I. Mahinmi,,42-47,,
2:34.0,G. Hill misses 3-pt shot from 24 ft,,42-47,,
2:33.0,,,42-47,,Defensive rebound by M. Williams
2:24.0,,,42-47,,C. Zeller misses 2-pt shot from 2 ft
2:23.0,Defensive rebound by I. Mahinmi,,42-47,,
2:19.0,Offensive charge foul by G. Hill,,42-47,,
2:19.0,Turnover by G. Hill (offensive foul),,42-47,,
2:19.0,,,42-47,,Charlotte full timeout
2:05.0,,,42-47,,C. Lee misses 2-pt shot at rim (block by I. Mahinmi)
2:03.0,Defensive rebound by I. Mahinmi,,42-47,,
1:49.0,S. Hill makes 3-pt shot from 23 ft (assist by P. George),3,45-47,,
1:37.0,,,45-50,3,K. Walker makes 3-pt shot from 25 ft
1:18.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by M. Ellis),2,47-50,,
1:01.0,,,47-52,2,K. Walker makes 2-pt shot from 15 ft
0:43.0,I. Mahinmi misses 2-pt shot from 2 ft,,47-52,,
0:42.0,,,47-52,,Defensive rebound by C. Zeller
0:33.0,,,47-52,,C. Zeller misses 2-pt shot from 3 ft (block by P. George)
0:32.0,Defensive rebound by S. Hill,,47-52,,
0:25.0,P. George makes 3-pt shot from 23 ft (assist by M. Ellis),3,50-52,,
0:04.0,,,50-55,3,K. Walker makes 3-pt shot from 25 ft
0:00.0,P. George misses 3-pt shot from 40 ft,,50-55,,
0:00.0,Offensive rebound by Team,,50-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Turnover by I. Mahinmi (traveling),,50-55,,
11:33.0,,,50-58,3,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum)
11:15.0,P. George makes 2-pt shot from 2 ft (assist by I. Mahinmi),2,52-58,,
11:01.0,,,52-58,,Turnover by K. Walker (bad pass; steal by P. George)
10:50.0,Shooting foul by C. Zeller (drawn by I. Mahinmi),,52-58,,
10:50.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by P. George),2,54-58,,
10:50.0,I. Mahinmi misses free throw 1 of 1,,54-58,,
10:49.0,,,54-58,,Defensive rebound by C. Zeller
10:31.0,,,54-60,2,K. Walker makes 2-pt shot at rim (assist by N. Batum)
10:13.0,G. Hill makes 2-pt shot from 1 ft (assist by P. George),2,56-60,,
10:05.0,,,56-60,,Shooting foul by P. George (drawn by N. Batum)
10:05.0,,,56-61,1,N. Batum makes free throw 1 of 2
10:05.0,,,56-62,1,N. Batum makes free throw 2 of 2
9:55.0,M. Ellis misses 2-pt shot from 16 ft,,56-62,,
9:54.0,,,56-62,,Defensive rebound by C. Zeller
9:45.0,,,56-62,,Turnover by N. Batum (lost ball; steal by S. Hill)
9:42.0,,,56-62,,Personal foul by C. Lee (drawn by S. Hill)
9:22.0,G. Hill misses 2-pt shot from 14 ft,,56-62,,
9:21.0,,,56-62,,Defensive rebound by M. Williams
9:14.0,,,56-65,3,N. Batum makes 3-pt shot from 26 ft (assist by K. Walker)
8:58.0,M. Ellis makes 2-pt shot from 19 ft (assist by P. George),2,58-65,,
8:26.0,,,58-65,,Turnover by C. Zeller (lost ball; steal by P. George)
8:21.0,P. George misses 3-pt shot from 25 ft (block by C. Lee),,58-65,,
8:19.0,,,58-65,,Defensive rebound by C. Zeller
8:14.0,,,58-65,,K. Walker misses 3-pt shot from 24 ft
8:11.0,Defensive rebound by G. Hill,,58-65,,
7:51.0,Shooting foul by M. Williams (drawn by P. George),,58-65,,
7:51.0,P. George makes free throw 1 of 2,1,59-65,,
7:51.0,P. George makes free throw 2 of 2,1,60-65,,
7:38.0,,,60-65,,N. Batum misses 3-pt shot from 25 ft
7:37.0,Defensive rebound by M. Ellis,,60-65,,
7:25.0,G. Hill misses 2-pt shot from 2 ft,,60-65,,
7:24.0,,,60-65,,Defensive rebound by C. Zeller
7:13.0,,,60-67,2,N. Batum makes 2-pt shot from 9 ft
6:51.0,P. George makes 2-pt shot from 11 ft,2,62-67,,
6:36.0,,,62-67,,Personal foul by N. Batum (drawn by P. George)
6:36.0,Personal foul by P. George,,62-67,,
6:31.0,Jump ball: N. Batum vs. P. George (K. Walker gains possession),,,,Jump ball: N. Batum vs. P. George (K. Walker gains possession)
6:25.0,,,62-69,2,N. Batum makes 2-pt shot at rim (assist by K. Walker)
6:15.0,P. George makes 3-pt shot from 23 ft (assist by S. Hill),3,65-69,,
6:08.0,,,65-69,,Charlotte full timeout
6:02.0,,,65-69,,C. Zeller misses 2-pt shot from 1 ft
6:01.0,Defensive rebound by I. Mahinmi,,65-69,,
5:41.0,G. Hill misses 3-pt shot from 24 ft,,65-69,,
5:41.0,,,65-69,,Defensive rebound by Team
5:41.0,Loose ball foul by S. Hill (drawn by C. Zeller),,65-69,,
5:41.0,,,65-69,,A. Jefferson enters the game for C. Zeller
5:26.0,,,65-69,,Shooting foul by G. Hill (drawn by K. Walker)
5:26.0,,,65-70,1,K. Walker makes free throw 1 of 2
5:26.0,,,65-71,1,K. Walker makes free throw 2 of 2
5:13.0,I. Mahinmi makes 2-pt shot from 6 ft,2,67-71,,
4:50.0,,,67-71,,K. Walker misses 3-pt shot from 25 ft
4:49.0,Defensive rebound by P. George,,67-71,,
4:43.0,P. George makes 2-pt shot from 5 ft,2,69-71,,
4:43.0,Shooting foul by N. Batum (drawn by P. George),,69-71,,
4:43.0,P. George makes free throw 1 of 1,1,70-71,,
4:29.0,,,70-71,,N. Batum misses 2-pt shot from 2 ft (block by I. Mahinmi)
4:26.0,Defensive rebound by S. Hill,,70-71,,
4:10.0,P. George misses 2-pt shot from 16 ft,,70-71,,
4:09.0,,,70-71,,Defensive rebound by M. Williams
3:58.0,,,70-71,,K. Walker misses 3-pt shot from 25 ft
3:57.0,Defensive rebound by I. Mahinmi,,70-71,,
3:45.0,M. Ellis makes 2-pt shot from 1 ft (assist by I. Mahinmi),2,72-71,,
3:20.0,,,72-71,,N. Batum misses 3-pt shot from 26 ft
3:19.0,Defensive rebound by G. Hill,,72-71,,
3:17.0,P. George makes 2-pt shot from 1 ft (assist by G. Hill),2,74-71,,
3:17.0,Shooting foul by N. Batum (drawn by P. George),,74-71,,
3:17.0,,,74-71,,F. Kaminsky enters the game for N. Batum
3:17.0,,,74-71,,J. Lin enters the game for M. Williams
3:17.0,M. Turner enters the game for S. Hill,,74-71,,
3:17.0,R. Stuckey enters the game for G. Hill,,74-71,,
3:17.0,P. George misses free throw 1 of 1,,74-71,,
3:15.0,,,74-71,,Defensive rebound by F. Kaminsky
3:04.0,,,74-73,2,A. Jefferson makes 2-pt shot at rim (assist by K. Walker)
2:57.0,Shooting foul by A. Jefferson (drawn by M. Ellis),,74-73,,
2:57.0,Indiana full timeout,,74-73,,
2:57.0,J. Hill enters the game for I. Mahinmi,,74-73,,
2:57.0,M. Ellis misses free throw 1 of 2,,74-73,,
2:57.0,Offensive rebound by Team,,74-73,,
2:57.0,M. Ellis makes free throw 2 of 2,1,75-73,,
2:43.0,,,75-73,,Turnover by J. Lin (bad pass; steal by P. George)
2:39.0,M. Ellis makes 2-pt shot at rim (assist by R. Stuckey),2,77-73,,
2:39.0,Shooting foul by A. Jefferson (drawn by M. Ellis),,77-73,,
2:39.0,M. Ellis makes free throw 1 of 1,1,78-73,,
2:25.0,,,78-73,,C. Lee misses 3-pt shot from 25 ft
2:24.0,Defensive rebound by M. Turner,,78-73,,
2:12.0,M. Ellis makes 2-pt shot from 10 ft,2,80-73,,
2:05.0,,,80-73,,Shooting foul by M. Turner (drawn by K. Walker)
2:05.0,,,80-74,1,K. Walker makes free throw 1 of 2
2:05.0,,,80-75,1,K. Walker makes free throw 2 of 2
1:44.0,R. Stuckey makes 2-pt shot from 16 ft,2,82-75,,
1:24.0,,,82-75,,J. Lin misses 2-pt shot from 10 ft
1:23.0,Defensive rebound by P. George,,82-75,,
1:17.0,M. Ellis misses 2-pt shot from 12 ft,,82-75,,
1:14.0,,,82-75,,Defensive rebound by A. Jefferson
1:11.0,,,82-75,,Shooting foul by M. Ellis (drawn by K. Walker)
1:11.0,,,82-76,1,K. Walker makes free throw 1 of 2
1:11.0,,,82-77,1,K. Walker makes free throw 2 of 2
0:52.0,J. Hill misses 2-pt shot from 7 ft (block by A. Jefferson),,82-77,,
0:51.0,,,82-77,,Defensive rebound by J. Lin
0:40.0,,,82-77,,Shooting foul by J. Hill (drawn by A. Jefferson)
0:40.0,,,82-78,1,A. Jefferson makes free throw 1 of 2
0:40.0,,,82-78,,A. Jefferson misses free throw 2 of 2
0:39.0,Defensive rebound by M. Turner,,82-78,,
0:27.0,M. Ellis misses 2-pt shot from 1 ft,,82-78,,
0:26.0,Offensive rebound by J. Hill,,82-78,,
0:05.0,Turnover by R. Stuckey (bad pass; steal by J. Lin),,82-78,,
0:01.0,,,82-80,2,J. Lin makes 2-pt shot at rim (assist by F. Kaminsky)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,82-82,2,A. Jefferson makes 2-pt shot from 16 ft (assist by C. Lee)
11:21.0,R. Stuckey misses 2-pt shot from 3 ft (block by J. Lin),,82-82,,
11:18.0,Offensive rebound by J. Hill,,82-82,,
11:16.0,J. Hill misses 2-pt shot from 1 ft,,82-82,,
11:16.0,,,82-82,,Defensive rebound by Team
11:13.0,Personal foul by G. Hill (drawn by J. Lin),,82-82,,
11:00.0,,,82-84,2,A. Jefferson makes 2-pt shot from 13 ft (assist by J. Lamb)
10:44.0,J. Hill makes 2-pt shot from 6 ft,2,84-84,,
10:25.0,,,84-86,2,A. Jefferson makes 2-pt shot from 1 ft
10:02.0,J. Hill misses 2-pt shot from 6 ft,,84-86,,
10:01.0,,,84-86,,Defensive rebound by A. Jefferson
9:52.0,,,84-88,2,J. Lin makes 2-pt shot from 16 ft
9:52.0,Indiana full timeout,,84-88,,
9:52.0,I. Mahinmi enters the game for J. Hill,,84-88,,
9:38.0,M. Turner misses 2-pt shot from 17 ft,,84-88,,
9:37.0,Offensive rebound by G. Hill,,84-88,,
9:30.0,,,84-88,,Personal foul by J. Lin (drawn by G. Hill)
9:25.0,Turnover by I. Mahinmi (bad pass; steal by A. Jefferson),,84-88,,
9:09.0,,,84-88,,A. Jefferson misses 2-pt shot from 2 ft
9:08.0,Defensive rebound by I. Mahinmi,,84-88,,
8:50.0,R. Stuckey misses 3-pt shot from 25 ft,,84-88,,
8:48.0,Offensive rebound by G. Hill,,84-88,,
8:42.0,Turnover by R. Stuckey (bad pass; steal by J. Lamb),,84-88,,
8:40.0,,,84-88,,Turnover by J. Lamb (bad pass; steal by C. Budinger)
8:21.0,G. Hill misses 2-pt shot from 9 ft,,84-88,,
8:20.0,,,84-88,,Defensive rebound by A. Jefferson
8:11.0,Personal foul by G. Hill (drawn by J. Lin),,84-88,,
8:11.0,P. George enters the game for R. Stuckey,,84-88,,
8:11.0,M. Ellis enters the game for M. Turner,,84-88,,
8:11.0,S. Hill enters the game for C. Budinger,,84-88,,
8:11.0,,,84-88,,N. Batum enters the game for C. Lee
8:06.0,,,84-88,,Turnover by J. Lin (bad pass; steal by M. Ellis)
8:03.0,,,84-88,,Personal foul by J. Lamb (drawn by M. Ellis)
7:54.0,I. Mahinmi misses 2-pt shot from 3 ft (block by F. Kaminsky),,84-88,,
7:54.0,Offensive rebound by Team,,84-88,,
7:53.0,Turnover by P. George (bad pass; steal by A. Jefferson),,84-88,,
7:47.0,,,84-88,,J. Lamb misses 3-pt shot from 25 ft
7:45.0,,,84-88,,Offensive rebound by F. Kaminsky
7:35.0,,,84-90,2,J. Lamb makes 2-pt shot from 1 ft (assist by A. Jefferson)
7:19.0,G. Hill makes 3-pt shot from 23 ft (assist by I. Mahinmi),3,87-90,,
7:12.0,,,87-90,,Charlotte full timeout
7:12.0,R. Stuckey enters the game for G. Hill,,87-90,,
6:57.0,,,87-93,3,N. Batum makes 3-pt shot from 22 ft
6:39.0,M. Ellis makes 3-pt shot from 26 ft,3,90-93,,
6:17.0,Personal foul by P. George (drawn by J. Lin),,90-93,,
6:17.0,,,90-93,,K. Walker enters the game for J. Lamb
6:10.0,,,90-96,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
5:46.0,M. Ellis misses 2-pt shot from 2 ft,,90-96,,
5:45.0,,,90-96,,Defensive rebound by F. Kaminsky
5:30.0,,,90-96,,J. Lin misses 3-pt shot from 26 ft
5:28.0,Defensive rebound by I. Mahinmi,,90-96,,
5:24.0,Turnover by M. Ellis (offensive foul),,90-96,,
5:24.0,Offensive charge foul by M. Ellis,,90-96,,
5:24.0,,,90-96,,C. Zeller enters the game for A. Jefferson
5:24.0,,,90-96,,M. Williams enters the game for F. Kaminsky
5:24.0,G. Hill enters the game for R. Stuckey,,90-96,,
5:12.0,,,90-96,,M. Williams misses 3-pt shot from 25 ft
5:10.0,,,90-96,,Offensive rebound by C. Zeller
5:00.0,,,90-98,2,K. Walker makes 2-pt shot from 6 ft
4:52.0,G. Hill misses 3-pt shot from 25 ft,,90-98,,
4:51.0,,,90-98,,Defensive rebound by C. Zeller
4:39.0,,,90-101,3,M. Williams makes 3-pt shot from 22 ft (assist by K. Walker)
4:39.0,Indiana full timeout,,90-101,,
4:32.0,Offensive foul by I. Mahinmi,,90-101,,
4:32.0,Turnover by I. Mahinmi (offensive foul),,90-101,,
4:26.0,,,90-101,,Turnover by M. Williams (offensive foul)
4:26.0,,,90-101,,Offensive foul by M. Williams
4:12.0,P. George makes 2-pt shot from 16 ft,2,92-101,,
3:55.0,,,92-101,,M. Williams misses 3-pt shot from 24 ft
3:54.0,Defensive rebound by I. Mahinmi,,92-101,,
3:45.0,Shooting foul by J. Lin (drawn by M. Ellis),,92-101,,
3:45.0,M. Ellis makes free throw 1 of 2,1,93-101,,
3:45.0,,,93-101,,C. Lee enters the game for J. Lin
3:45.0,M. Ellis makes free throw 2 of 2,1,94-101,,
3:25.0,,,94-103,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
3:09.0,M. Ellis misses 3-pt shot from 23 ft,,94-103,,
3:08.0,,,94-103,,Defensive rebound by M. Williams
2:50.0,,,94-103,,K. Walker misses 3-pt shot from 25 ft
2:47.0,,,94-103,,Offensive rebound by M. Williams
2:43.0,Personal foul by P. George (drawn by N. Batum),,94-103,,
2:43.0,Official timeout,,94-103,,
2:32.0,,,94-103,,N. Batum misses 2-pt shot from 11 ft
2:30.0,Defensive rebound by P. George,,94-103,,
2:14.0,G. Hill makes 3-pt shot from 22 ft (assist by P. George),3,97-103,,
1:57.0,,,97-103,,N. Batum misses 3-pt shot from 26 ft
1:54.0,,,97-103,,Offensive rebound by C. Zeller
1:32.0,,,97-103,,C. Zeller misses 2-pt shot from 3 ft
1:32.0,,,97-103,,Offensive rebound by Team
1:19.0,,,97-103,,Shooting foul by I. Mahinmi (drawn by K. Walker)
1:19.0,,,97-104,1,K. Walker makes free throw 1 of 2
1:19.0,,,97-105,1,K. Walker makes free throw 2 of 2
1:01.0,Shooting foul by C. Zeller (drawn by P. George),,97-105,,
1:01.0,P. George makes free throw 1 of 2,1,98-105,,
1:01.0,P. George makes free throw 2 of 2,1,99-105,,
0:50.0,,,99-105,,K. Walker misses 3-pt shot from 26 ft
0:48.0,Defensive rebound by I. Mahinmi,,99-105,,
0:41.0,P. George misses 3-pt shot from 25 ft,,99-105,,
0:39.0,,,99-105,,Defensive rebound by N. Batum
