time,Atlanta,pts.away,score,pts.home,Chicago
0:24.0,D. Schroder misses 2-pt shot from 13 ft,,25-27,,
0:23.0,Offensive rebound by T. Sefolosha,,25-27,,
0:23.0,Shooting foul by K. Hinrich (drawn by T. Sefolosha),,25-27,,
0:23.0,T. Sefolosha makes 2-pt shot from 2 ft,2,27-27,,
0:23.0,T. Sefolosha makes free throw 1 of 1,1,28-27,,
0:03.0,,,28-29,2,P. Gasol makes 2-pt shot from 5 ft (assist by K. Hinrich)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,D. Schroder misses 3-pt shot from 24 ft,,28-29,,
11:39.0,Offensive rebound by M. Scott,,28-29,,
11:26.0,A. Horford makes 2-pt shot from 2 ft (assist by T. Sefolosha),2,30-29,,
10:58.0,,,30-29,,Turnover by Team (shot clock)
10:43.0,A. Horford makes 2-pt shot from 20 ft (assist by D. Schroder),2,32-29,,
10:19.0,,,32-31,2,B. Portis makes 2-pt shot from 15 ft
10:08.0,M. Scott makes 3-pt shot from 25 ft (assist by D. Schroder),3,35-31,,
9:42.0,,,35-31,,Shooting foul by T. Sefolosha (drawn by D. McDermott)
9:42.0,,,35-32,1,D. McDermott makes free throw 1 of 3
9:42.0,,,35-33,1,D. McDermott makes free throw 2 of 3
9:42.0,,,35-33,,D. Rose enters the game for K. Hinrich
9:42.0,,,35-34,1,D. McDermott makes free throw 3 of 3
9:22.0,M. Scott misses 2-pt shot from 4 ft,,35-34,,
9:21.0,,,35-34,,Defensive rebound by C. Bairstow
9:06.0,,,35-34,,C. Bairstow misses 2-pt shot from 17 ft
9:05.0,,,35-34,,Offensive rebound by B. Portis
8:52.0,,,35-34,,Turnover by B. Portis (lost ball; steal by M. Scott)
8:40.0,T. Sefolosha makes 2-pt shot from 5 ft,2,37-34,,
8:13.0,,,37-34,,B. Portis misses 2-pt shot from 22 ft
8:12.0,Defensive rebound by D. Schroder,,37-34,,
8:06.0,T. Sefolosha makes 3-pt shot from 26 ft (assist by D. Schroder),3,40-34,,
8:06.0,,,40-34,,Chicago full timeout
8:06.0,,,40-34,,T. Gibson enters the game for T. Snell
8:06.0,,,40-34,,E. Moore enters the game for C. Bairstow
8:06.0,M. Muscala enters the game for A. Horford,,40-34,,
8:06.0,K. Bazemore enters the game for T. Hardaway,,40-34,,
8:01.0,Personal foul by D. Schroder (drawn by D. Rose),,40-34,,
7:41.0,,,40-34,,E. Moore misses 3-pt shot from 27 ft
7:40.0,Defensive rebound by D. Schroder,,40-34,,
7:34.0,K. Korver enters the game for D. Schroder,,40-34,,
7:34.0,J. Teague enters the game for T. Sefolosha,,40-34,,
7:34.0,,,40-34,,M. Dunleavy enters the game for D. McDermott
7:24.0,Turnover by J. Teague (lost ball; steal by E. Moore),,40-34,,
7:16.0,,,40-36,2,D. Rose makes 2-pt shot from 20 ft (assist by E. Moore)
6:52.0,M. Scott misses 3-pt shot from 24 ft,,40-36,,
6:51.0,,,40-36,,Defensive rebound by T. Gibson
6:37.0,,,40-36,,E. Moore misses 2-pt shot from 16 ft
6:36.0,,,40-36,,Offensive rebound by B. Portis
6:36.0,,,40-38,2,B. Portis makes 2-pt shot at rim
6:14.0,M. Scott makes 3-pt shot from 23 ft (assist by K. Korver),3,43-38,,
5:56.0,,,43-38,,Turnover by D. Rose (bad pass; steal by M. Scott)
5:56.0,,,43-38,,Personal foul by M. Dunleavy (drawn by K. Korver)
5:56.0,Atlanta full timeout,,43-38,,
5:56.0,,,43-38,,P. Gasol enters the game for B. Portis
5:56.0,A. Horford enters the game for M. Muscala,,43-38,,
5:41.0,J. Teague misses 3-pt shot from 24 ft,,43-38,,
5:40.0,,,43-38,,Defensive rebound by M. Dunleavy
5:30.0,,,43-38,,Turnover by D. Rose (bad pass; steal by J. Teague)
5:26.0,J. Teague makes 2-pt shot from 2 ft,2,45-38,,
5:08.0,,,45-38,,M. Dunleavy misses 2-pt shot from 17 ft
5:06.0,,,45-38,,Offensive rebound by D. Rose
5:05.0,,,45-38,,D. Rose misses 2-pt shot from 2 ft
5:04.0,Defensive rebound by A. Horford,,45-38,,
4:56.0,A. Horford makes 2-pt shot from 20 ft (assist by K. Korver),2,47-38,,
4:39.0,,,47-40,2,T. Gibson makes 2-pt shot from 13 ft (assist by D. Rose)
4:25.0,Shooting foul by D. Rose (drawn by M. Scott),,47-40,,
4:25.0,M. Scott makes free throw 1 of 2,1,48-40,,
4:25.0,M. Scott makes free throw 2 of 2,1,49-40,,
4:10.0,,,49-40,,M. Dunleavy misses 2-pt shot from 3 ft (block by A. Horford)
4:08.0,Defensive rebound by K. Korver,,49-40,,
4:04.0,Turnover by K. Bazemore (lost ball; steal by E. Moore),,49-40,,
3:55.0,,,49-42,2,P. Gasol makes 2-pt shot from 19 ft (assist by D. Rose)
3:41.0,J. Teague misses 2-pt shot from 11 ft,,49-42,,
3:40.0,Offensive rebound by M. Scott,,49-42,,
3:40.0,M. Scott misses 2-pt shot from 2 ft,,49-42,,
3:39.0,,,49-42,,Defensive rebound by P. Gasol
3:26.0,,,49-44,2,E. Moore makes 2-pt shot from 5 ft
3:26.0,Violation by A. Horford (def goaltending),,49-44,,
3:26.0,Atlanta full timeout,,49-44,,
3:09.0,K. Bazemore misses 2-pt shot from 1 ft,,49-44,,
3:08.0,Offensive rebound by A. Horford,,49-44,,
3:05.0,M. Scott misses 2-pt shot at rim,,49-44,,
3:04.0,,,49-44,,Defensive rebound by P. Gasol
2:59.0,,,49-44,,D. Rose misses 2-pt shot from 2 ft (block by K. Bazemore)
2:58.0,Defensive rebound by Team,,49-44,,
2:58.0,,,49-44,,Personal foul by M. Dunleavy (drawn by M. Scott)
2:58.0,,,49-44,,Technical foul by D. Rose
2:58.0,J. Teague makes technical free throw,1,50-44,,
2:58.0,P. Millsap enters the game for M. Scott,,50-44,,
2:58.0,,,50-44,,D. McDermott enters the game for M. Dunleavy
2:44.0,K. Bazemore misses 3-pt shot from 23 ft,,50-44,,
2:43.0,,,50-44,,Defensive rebound by D. Rose
2:34.0,,,50-46,2,P. Gasol makes 2-pt shot from 5 ft (assist by E. Moore)
2:22.0,Offensive foul by A. Horford,,50-46,,
2:22.0,Turnover by A. Horford (offensive foul),,50-46,,
2:02.0,,,50-46,,P. Gasol misses 2-pt shot from 14 ft (block by A. Horford)
2:01.0,Defensive rebound by K. Bazemore,,50-46,,
1:57.0,Turnover by K. Bazemore (lost ball),,50-46,,
1:47.0,,,50-46,,Turnover by E. Moore (lost ball; steal by K. Korver)
1:40.0,K. Korver misses 3-pt shot from 24 ft,,50-46,,
1:38.0,,,50-46,,Defensive rebound by D. McDermott
1:27.0,,,50-46,,P. Gasol misses 3-pt shot from 24 ft
1:26.0,Defensive rebound by J. Teague,,50-46,,
1:14.0,P. Millsap misses 2-pt shot from 2 ft,,50-46,,
1:13.0,,,50-46,,Defensive rebound by P. Gasol
1:03.0,,,50-46,,D. Rose misses 2-pt shot from 21 ft
1:02.0,Defensive rebound by K. Bazemore,,50-46,,
0:51.0,A. Horford makes 3-pt shot from 24 ft (assist by J. Teague),3,53-46,,
0:51.0,,,53-46,,Chicago full timeout
0:51.0,T. Sefolosha enters the game for K. Bazemore,,53-46,,
0:51.0,M. Muscala enters the game for P. Millsap,,53-46,,
0:36.0,,,53-48,2,P. Gasol makes 2-pt shot from 6 ft
0:36.0,Atlanta full timeout,,53-48,,
0:36.0,M. Scott enters the game for M. Muscala,,53-48,,
0:36.0,K. Bazemore enters the game for T. Sefolosha,,53-48,,
0:30.0,J. Teague misses 2-pt shot from 2 ft,,53-48,,
0:29.0,,,53-48,,Defensive rebound by D. McDermott
0:16.0,,,53-48,,D. Rose misses 2-pt shot from 1 ft
0:14.0,Defensive rebound by K. Bazemore,,53-48,,
0:00.0,M. Scott misses 3-pt shot from 24 ft,,53-48,,
0:00.0,Offensive rebound by Team,,53-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,K. Bazemore misses 2-pt shot at rim,,53-48,,
11:43.0,,,53-48,,Defensive rebound by D. Rose
11:29.0,,,53-51,3,D. Rose makes 3-pt shot from 24 ft (assist by P. Gasol)
11:14.0,Shooting foul by M. Dunleavy (drawn by K. Korver),,53-51,,
11:14.0,K. Korver makes free throw 1 of 2,1,54-51,,
11:14.0,,,54-51,,D. McDermott enters the game for M. Dunleavy
11:14.0,K. Korver makes free throw 2 of 2,1,55-51,,
10:59.0,,,55-51,,P. Gasol misses 3-pt shot from 23 ft
10:58.0,Defensive rebound by J. Teague,,55-51,,
10:45.0,A. Horford misses 3-pt shot from 23 ft,,55-51,,
10:44.0,,,55-51,,Defensive rebound by E. Moore
10:35.0,,,55-51,,Turnover by E. Moore (bad pass; steal by J. Teague)
10:29.0,J. Teague makes 2-pt shot from 1 ft (assist by A. Horford),2,57-51,,
10:13.0,,,57-53,2,E. Moore makes 2-pt shot from 22 ft (assist by D. McDermott)
9:59.0,,,57-53,,Personal foul by D. Rose (drawn by P. Millsap)
9:51.0,K. Korver makes 3-pt shot from 23 ft (assist by J. Teague),3,60-53,,
9:50.0,,,60-53,,Technical foul by T. Gibson
9:50.0,J. Teague makes technical free throw,1,61-53,,
9:37.0,,,61-53,,P. Gasol misses 2-pt shot from 20 ft
9:36.0,Defensive rebound by K. Bazemore,,61-53,,
9:31.0,J. Teague makes 2-pt shot from 1 ft,2,63-53,,
9:30.0,,,63-53,,Chicago full timeout
9:21.0,,,63-53,,D. Rose misses 2-pt shot from 1 ft
9:20.0,Defensive rebound by J. Teague,,63-53,,
9:08.0,J. Teague misses 2-pt shot from 1 ft (block by T. Gibson),,63-53,,
9:06.0,,,63-53,,Defensive rebound by D. Rose
9:02.0,,,63-53,,Shooting foul by K. Korver (drawn by E. Moore)
9:02.0,,,63-53,,E. Moore misses free throw 1 of 2
9:02.0,,,63-53,,Offensive rebound by Team
9:02.0,,,63-53,,E. Moore misses free throw 2 of 2
9:01.0,Defensive rebound by A. Horford,,63-53,,
8:53.0,K. Korver makes 3-pt shot from 25 ft (assist by J. Teague),3,66-53,,
8:33.0,,,66-53,,Turnover by P. Gasol (bad pass; steal by K. Korver)
8:23.0,,,66-53,,Personal foul by E. Moore (drawn by P. Millsap)
8:16.0,P. Millsap makes 2-pt shot from 16 ft,2,68-53,,
8:07.0,Personal foul by P. Millsap (drawn by T. Gibson),,68-53,,
8:01.0,,,68-56,3,D. McDermott makes 3-pt shot from 24 ft (assist by P. Gasol)
7:45.0,,,68-56,,Personal foul by E. Moore (drawn by P. Millsap)
7:33.0,A. Horford makes 3-pt shot from 25 ft (assist by J. Teague),3,71-56,,
7:16.0,,,71-58,2,E. Moore makes 2-pt shot from 19 ft
7:07.0,J. Teague makes 2-pt shot from 1 ft,2,73-58,,
6:53.0,,,73-58,,P. Gasol misses 2-pt shot from 19 ft
6:52.0,Defensive rebound by K. Bazemore,,73-58,,
6:35.0,P. Millsap makes 2-pt shot from 2 ft (assist by K. Korver),2,75-58,,
6:27.0,,,75-58,,Chicago full timeout
6:23.0,,,75-58,,D. Rose misses 2-pt shot from 18 ft
6:22.0,Defensive rebound by K. Bazemore,,75-58,,
6:11.0,Turnover by P. Millsap (bad pass; steal by D. Rose),,75-58,,
5:58.0,,,75-58,,D. Rose misses 2-pt shot from 16 ft
5:57.0,,,75-58,,Offensive rebound by P. Gasol
5:55.0,,,75-60,2,P. Gasol makes 2-pt shot from 13 ft
5:33.0,P. Millsap misses 2-pt shot from 4 ft,,75-60,,
5:30.0,,,75-60,,Defensive rebound by P. Gasol
5:14.0,,,75-63,3,D. McDermott makes 3-pt shot from 23 ft (assist by D. Rose)
4:55.0,J. Teague misses 2-pt shot from 18 ft,,75-63,,
4:54.0,,,75-63,,Defensive rebound by P. Gasol
4:48.0,M. Muscala enters the game for P. Millsap,,75-63,,
4:48.0,,,75-63,,B. Portis enters the game for D. Rose
4:48.0,,,75-63,,A. Brooks enters the game for T. Gibson
4:48.0,D. Schroder enters the game for K. Bazemore,,75-63,,
4:48.0,T. Sefolosha enters the game for A. Horford,,75-63,,
4:48.0,M. Scott enters the game for J. Teague,,75-63,,
4:35.0,,,75-63,,E. Moore misses 2-pt shot from 2 ft
4:33.0,,,75-63,,Offensive rebound by E. Moore
4:32.0,,,75-63,,E. Moore misses 2-pt shot from 1 ft
4:31.0,Defensive rebound by M. Scott,,75-63,,
4:25.0,M. Muscala makes 2-pt shot from 1 ft (assist by M. Scott),2,77-63,,
4:01.0,,,77-63,,Shooting foul by M. Muscala (drawn by P. Gasol)
4:01.0,,,77-64,1,P. Gasol makes free throw 1 of 2
4:01.0,,,77-65,1,P. Gasol makes free throw 2 of 2
3:39.0,T. Sefolosha misses 2-pt shot from 16 ft,,77-65,,
3:38.0,,,77-65,,Defensive rebound by B. Portis
3:32.0,,,77-67,2,A. Brooks makes 2-pt shot from 2 ft
3:31.0,Atlanta full timeout,,77-67,,
3:31.0,A. Horford enters the game for M. Muscala,,77-67,,
3:15.0,,,77-67,,Personal foul by A. Brooks (drawn by D. Schroder)
3:15.0,D. Schroder makes free throw 1 of 2,1,78-67,,
3:15.0,T. Hardaway enters the game for K. Korver,,78-67,,
3:15.0,D. Schroder makes free throw 2 of 2,1,79-67,,
2:57.0,,,79-69,2,P. Gasol makes 2-pt shot from 11 ft
2:42.0,T. Sefolosha makes 2-pt shot from 2 ft (assist by A. Horford),2,81-69,,
2:29.0,,,81-69,,P. Gasol misses 2-pt shot from 19 ft
2:27.0,,,81-69,,Offensive rebound by E. Moore
2:23.0,,,81-69,,K. Hinrich enters the game for E. Moore
2:15.0,,,81-69,,B. Portis misses 2-pt shot from 7 ft
2:13.0,Defensive rebound by T. Hardaway,,81-69,,
2:00.0,D. Schroder makes 3-pt shot from 24 ft,3,84-69,,
1:45.0,,,84-69,,A. Brooks misses 2-pt shot from 11 ft
1:45.0,Defensive rebound by T. Hardaway,,84-69,,
1:45.0,,,84-69,,Personal foul by A. Brooks (drawn by T. Hardaway)
1:45.0,T. Hardaway makes free throw 1 of 2,1,85-69,,
1:45.0,T. Hardaway makes free throw 2 of 2,1,86-69,,
1:33.0,Personal foul by T. Hardaway (drawn by K. Hinrich),,86-69,,
1:21.0,,,86-69,,P. Gasol misses 2-pt shot from 5 ft
1:20.0,Defensive rebound by M. Scott,,86-69,,
1:10.0,Turnover by D. Schroder (bad pass),,86-69,,
1:05.0,,,86-71,2,D. McDermott makes 2-pt shot from 2 ft (assist by P. Gasol)
0:54.0,D. Schroder makes 2-pt shot from 20 ft,2,88-71,,
0:42.0,,,88-71,,Turnover by D. McDermott (bad pass; steal by T. Sefolosha)
0:39.0,M. Scott makes 2-pt shot at rim (assist by D. Schroder),2,90-71,,
0:28.0,,,90-73,2,A. Brooks makes 2-pt shot from 5 ft
0:09.0,Shooting foul by P. Gasol (drawn by D. Schroder),,90-73,,
0:09.0,D. Schroder misses free throw 1 of 2,,90-73,,
0:09.0,Offensive rebound by Team,,90-73,,
0:09.0,D. Schroder makes free throw 2 of 2,1,91-73,,
0:01.0,,,91-73,,A. Brooks misses 2-pt shot from 14 ft
0:00.0,Defensive rebound by T. Hardaway,,91-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,91-73,,B. Portis misses 2-pt shot from 2 ft (block by M. Muscala)
11:45.0,Defensive rebound by T. Hardaway,,91-73,,
11:45.0,Offensive charge foul by T. Hardaway,,91-73,,
11:45.0,Turnover by T. Hardaway (offensive foul),,91-73,,
11:28.0,,,91-75,2,B. Portis makes 2-pt shot from 5 ft
11:10.0,D. Schroder makes 3-pt shot from 24 ft (assist by M. Scott),3,94-75,,
11:01.0,,,94-77,2,A. Brooks makes 2-pt shot from 12 ft
10:44.0,,,94-77,,Personal foul by D. McDermott (drawn by M. Muscala)
10:44.0,P. Millsap enters the game for M. Scott,,94-77,,
10:31.0,T. Hardaway misses 3-pt shot from 24 ft,,94-77,,
10:29.0,Offensive rebound by M. Muscala,,94-77,,
10:27.0,M. Muscala makes 2-pt shot from 1 ft,2,96-77,,
10:19.0,,,96-77,,Shooting foul by M. Muscala (drawn by B. Portis)
10:19.0,,,96-78,1,B. Portis makes free throw 1 of 2
10:19.0,,,96-78,,C. Bairstow enters the game for K. Hinrich
10:19.0,,,96-79,1,B. Portis makes free throw 2 of 2
10:03.0,D. Schroder misses 2-pt shot from 10 ft,,96-79,,
10:02.0,,,96-79,,Defensive rebound by B. Portis
9:44.0,,,96-81,2,T. Snell makes 2-pt shot from 21 ft (assist by B. Portis)
9:20.0,P. Millsap misses 3-pt shot from 24 ft,,96-81,,
9:19.0,,,96-81,,Defensive rebound by T. Snell
9:11.0,,,96-81,,D. McDermott misses 3-pt shot from 26 ft
9:10.0,,,96-81,,Offensive rebound by B. Portis
8:58.0,,,96-81,,B. Portis misses 3-pt shot from 25 ft
8:57.0,Defensive rebound by P. Millsap,,96-81,,
8:49.0,T. Hardaway misses 3-pt shot from 25 ft,,96-81,,
8:48.0,,,96-81,,Defensive rebound by C. Bairstow
8:41.0,,,96-81,,A. Brooks misses 3-pt shot from 25 ft
8:40.0,Defensive rebound by T. Sefolosha,,96-81,,
8:26.0,P. Millsap makes 2-pt shot from 15 ft,2,98-81,,
7:59.0,,,98-83,2,B. Portis makes 2-pt shot from 6 ft
7:48.0,,,98-83,,Personal foul by A. Brooks (drawn by D. Schroder)
7:48.0,Atlanta full timeout,,98-83,,
7:48.0,,,98-83,,D. Rose enters the game for A. Brooks
7:48.0,K. Korver enters the game for T. Sefolosha,,98-83,,
7:48.0,K. Bazemore enters the game for T. Hardaway,,98-83,,
7:39.0,P. Millsap makes 2-pt shot from 15 ft,2,100-83,,
7:21.0,,,100-83,,C. Bairstow misses 2-pt shot from 2 ft (block by K. Korver)
7:21.0,,,100-83,,Offensive rebound by Team
7:21.0,J. Teague enters the game for D. Schroder,,100-83,,
7:18.0,,,100-83,,D. McDermott misses 2-pt shot from 19 ft
7:16.0,Defensive rebound by M. Muscala,,100-83,,
6:59.0,P. Millsap misses 2-pt shot from 6 ft,,100-83,,
6:58.0,,,100-83,,Defensive rebound by B. Portis
6:46.0,,,100-83,,B. Portis misses 2-pt shot from 17 ft
6:45.0,Defensive rebound by M. Muscala,,100-83,,
6:33.0,M. Muscala misses 3-pt shot from 25 ft,,100-83,,
6:31.0,,,100-83,,Defensive rebound by T. Snell
6:27.0,,,100-83,,Turnover by T. Snell (bad pass; steal by P. Millsap)
6:18.0,K. Bazemore misses 3-pt shot from 23 ft,,100-83,,
6:17.0,,,100-83,,Defensive rebound by B. Portis
6:12.0,,,100-83,,D. McDermott misses 2-pt shot from 2 ft
6:11.0,,,100-83,,Offensive rebound by B. Portis
6:11.0,,,100-85,2,B. Portis makes 2-pt shot from 1 ft
5:53.0,,,100-85,,Chicago full timeout
5:53.0,,,100-85,,E. Moore enters the game for T. Snell
5:45.0,Turnover by Team (shot clock),,100-85,,
5:36.0,,,100-85,,D. Rose misses 2-pt shot from 17 ft
5:35.0,Defensive rebound by P. Millsap,,100-85,,
5:30.0,M. Muscala makes 2-pt shot from 1 ft (assist by J. Teague),2,102-85,,
5:17.0,,,102-85,,B. Portis misses 2-pt shot from 9 ft
5:16.0,Defensive rebound by K. Korver,,102-85,,
5:04.0,J. Teague misses 2-pt shot from 1 ft,,102-85,,
5:03.0,Offensive rebound by M. Muscala,,102-85,,
5:03.0,M. Muscala makes 2-pt shot from 1 ft,2,104-85,,
4:47.0,,,104-85,,Turnover by B. Portis (bad pass; steal by K. Bazemore)
4:33.0,K. Korver misses 2-pt shot at rim,,104-85,,
4:32.0,,,104-85,,Defensive rebound by E. Moore
4:23.0,,,104-85,,E. Moore misses 2-pt shot from 13 ft
4:21.0,Defensive rebound by K. Korver,,104-85,,
4:15.0,Turnover by K. Bazemore (lost ball; steal by C. Bairstow),,104-85,,
4:10.0,,,104-85,,E. Moore misses 2-pt shot from 2 ft
4:09.0,Defensive rebound by K. Korver,,104-85,,
3:55.0,J. Teague misses 3-pt shot from 24 ft,,104-85,,
3:54.0,,,104-85,,Defensive rebound by C. Bairstow
3:50.0,,,104-85,,Chicago full timeout
3:50.0,T. Hardaway enters the game for K. Bazemore,,104-85,,
3:50.0,M. Scott enters the game for M. Muscala,,104-85,,
3:50.0,,,104-85,,C. Felicio enters the game for E. Moore
3:50.0,,,104-85,,T. Snell enters the game for D. Rose
3:50.0,,,104-85,,A. Brooks enters the game for B. Portis
3:43.0,,,104-87,2,D. McDermott makes 2-pt shot from 3 ft (assist by C. Bairstow)
