time,Atlanta,pts.away,score,pts.home,LA Clippers
5:43.0,,,17-21,2,P. Pierce makes 2-pt shot from 2 ft (assist by C. Paul)
5:43.0,,,17-21,,Shooting foul by K. Korver (drawn by P. Pierce)
5:43.0,,,17-21,,LA Clippers full timeout
5:43.0,T. Sefolosha enters the game for K. Bazemore,,17-21,,
5:43.0,,,17-22,1,P. Pierce makes free throw 1 of 1
5:23.0,T. Sefolosha misses 2-pt shot from 18 ft,,17-22,,
5:22.0,,,17-22,,Defensive rebound by J. Redick
5:12.0,,,17-22,,P. Pierce misses 3-pt shot from 27 ft
5:11.0,Defensive rebound by T. Sefolosha,,17-22,,
5:00.0,K. Humphries misses 3-pt shot from 26 ft,,17-22,,
5:00.0,,,17-22,,Defensive rebound by Team
5:00.0,,,17-22,,W. Johnson enters the game for P. Pierce
5:00.0,T. Hardaway enters the game for K. Korver,,17-22,,
4:52.0,,,17-22,,C. Paul misses 2-pt shot from 18 ft
4:50.0,Defensive rebound by P. Millsap,,17-22,,
4:33.0,J. Teague makes 2-pt shot from 1 ft,2,19-22,,
4:20.0,,,19-24,2,C. Paul makes 2-pt shot from 2 ft
4:06.0,T. Hardaway misses 3-pt shot from 23 ft,,19-24,,
4:05.0,,,19-24,,Defensive rebound by D. Jordan
3:49.0,,,19-27,3,J. Redick makes 3-pt shot from 26 ft (assist by W. Johnson)
3:47.0,Atlanta full timeout,,19-27,,
3:47.0,D. Schroder enters the game for J. Teague,,19-27,,
3:36.0,P. Millsap misses 2-pt shot from 3 ft (block by J. Green),,19-27,,
3:34.0,,,19-27,,Defensive rebound by D. Jordan
3:27.0,,,19-30,3,J. Green makes 3-pt shot from 26 ft (assist by C. Paul)
3:09.0,,,19-30,,Personal foul by W. Johnson (drawn by P. Millsap)
3:09.0,A. Horford enters the game for K. Humphries,,19-30,,
3:09.0,,,19-30,,J. Crawford enters the game for J. Redick
2:56.0,Offensive foul by T. Sefolosha,,19-30,,
2:56.0,Turnover by T. Sefolosha (offensive foul),,19-30,,
2:38.0,,,19-30,,W. Johnson misses 3-pt shot from 25 ft
2:37.0,Defensive rebound by D. Schroder,,19-30,,
2:29.0,T. Hardaway makes 2-pt shot from 17 ft (assist by D. Schroder),2,21-30,,
2:01.0,,,21-33,3,J. Green makes 3-pt shot from 27 ft (assist by C. Paul)
1:48.0,Turnover by D. Schroder (lost ball; steal by D. Jordan),,21-33,,
1:44.0,,,21-35,2,C. Paul makes 2-pt shot from 1 ft (assist by D. Jordan)
1:26.0,D. Schroder makes 2-pt shot from 12 ft,2,23-35,,
1:09.0,,,23-37,2,D. Jordan makes 2-pt shot from 1 ft
0:50.0,P. Millsap misses 2-pt shot from 4 ft (block by W. Johnson),,23-37,,
0:47.0,,,23-37,,Defensive rebound by D. Jordan
0:39.0,,,23-37,,C. Paul misses 2-pt shot from 13 ft
0:35.0,Defensive rebound by P. Millsap,,23-37,,
0:31.0,,,23-37,,A. Rivers enters the game for J. Green
0:31.0,M. Scott enters the game for P. Millsap,,23-37,,
0:29.0,D. Schroder makes 2-pt shot from 17 ft (assist by T. Hardaway),2,25-37,,
0:05.0,,,25-37,,C. Paul misses 2-pt shot from 6 ft
0:03.0,Defensive rebound by A. Horford,,25-37,,
0:01.0,T. Sefolosha misses 3-pt shot from 31 ft,,25-37,,
0:00.0,Offensive rebound by Team,,25-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,D. Schroder misses 2-pt shot from 4 ft (block by C. Aldrich),,25-37,,
11:41.0,,,25-37,,Defensive rebound by C. Aldrich
11:19.0,,,25-37,,Turnover by Team (shot clock)
11:08.0,D. Schroder misses 2-pt shot from 17 ft,,25-37,,
11:05.0,,,25-37,,Defensive rebound by W. Johnson
10:57.0,,,25-40,3,P. Prigioni makes 3-pt shot from 28 ft
10:41.0,Turnover by M. Scott (bad pass; steal by C. Aldrich),,25-40,,
10:20.0,,,25-42,2,C. Aldrich makes 2-pt shot from 3 ft (assist by A. Rivers)
10:08.0,,,25-42,,Personal foul by W. Johnson (drawn by T. Hardaway)
10:00.0,A. Horford misses 2-pt shot from 19 ft,,25-42,,
9:59.0,,,25-42,,Defensive rebound by W. Johnson
9:40.0,,,25-42,,W. Johnson misses 2-pt shot from 22 ft
9:38.0,Defensive rebound by T. Sefolosha,,25-42,,
9:33.0,T. Hardaway misses 2-pt shot from 3 ft (block by C. Aldrich),,25-42,,
9:29.0,,,25-42,,Defensive rebound by A. Rivers
9:15.0,,,25-42,,A. Rivers misses 3-pt shot from 23 ft
9:14.0,Defensive rebound by A. Horford,,25-42,,
9:03.0,Shooting foul by C. Aldrich (drawn by D. Schroder),,25-42,,
9:03.0,D. Schroder makes free throw 1 of 2,1,26-42,,
9:03.0,K. Korver enters the game for T. Hardaway,,26-42,,
9:03.0,P. Millsap enters the game for A. Horford,,26-42,,
9:03.0,D. Schroder makes free throw 2 of 2,1,27-42,,
8:42.0,,,27-42,,Turnover by P. Prigioni (bad pass; steal by M. Scott)
8:37.0,D. Schroder makes 2-pt shot at rim (assist by M. Scott),2,29-42,,
8:20.0,,,29-42,,W. Johnson misses 2-pt shot from 12 ft
8:17.0,,,29-42,,Offensive rebound by C. Aldrich
8:16.0,,,29-42,,C. Aldrich misses 2-pt shot from 2 ft
8:14.0,Defensive rebound by P. Millsap,,29-42,,
8:06.0,M. Scott misses 2-pt shot from 16 ft,,29-42,,
8:05.0,Offensive rebound by P. Millsap,,29-42,,
8:00.0,T. Sefolosha misses 2-pt shot from 20 ft,,29-42,,
7:59.0,,,29-42,,Defensive rebound by W. Johnson
7:39.0,,,29-42,,P. Prigioni misses 3-pt shot from 27 ft
7:38.0,Defensive rebound by P. Millsap,,29-42,,
7:34.0,,,29-42,,Personal foul by P. Prigioni (drawn by D. Schroder)
7:34.0,Official timeout,,29-42,,
7:25.0,M. Scott misses 3-pt shot from 27 ft,,29-42,,
7:23.0,,,29-42,,Defensive rebound by J. Crawford
7:05.0,,,29-44,2,W. Johnson makes 2-pt shot from 18 ft (assist by A. Rivers)
6:50.0,D. Schroder makes 2-pt shot from 2 ft,2,31-44,,
6:29.0,,,31-44,,A. Rivers misses 3-pt shot from 27 ft
6:27.0,Defensive rebound by T. Sefolosha,,31-44,,
6:21.0,K. Korver makes 3-pt shot from 25 ft (assist by T. Sefolosha),3,34-44,,
6:20.0,,,34-44,,LA Clippers full timeout
6:20.0,,,34-44,,J. Redick enters the game for W. Johnson
6:20.0,,,34-44,,C. Paul enters the game for J. Crawford
6:20.0,,,34-44,,J. Green enters the game for P. Prigioni
6:20.0,,,34-44,,D. Jordan enters the game for C. Aldrich
6:20.0,J. Teague enters the game for T. Sefolosha,,34-44,,
6:20.0,K. Bazemore enters the game for D. Schroder,,34-44,,
6:12.0,,,34-44,,Turnover by A. Rivers (lost ball; steal by K. Korver)
6:10.0,Turnover by K. Bazemore (step out of bounds),,34-44,,
5:59.0,,,34-44,,A. Rivers misses 2-pt shot from 6 ft
5:56.0,Defensive rebound by K. Bazemore,,34-44,,
5:34.0,M. Scott misses 2-pt shot from 3 ft,,34-44,,
5:32.0,Offensive rebound by P. Millsap,,34-44,,
5:32.0,P. Millsap misses 2-pt shot from 2 ft,,34-44,,
5:29.0,,,34-44,,Defensive rebound by D. Jordan
5:23.0,,,34-47,3,C. Paul makes 3-pt shot from 27 ft (assist by A. Rivers)
5:02.0,M. Scott makes 2-pt shot from 2 ft (assist by K. Korver),2,36-47,,
4:50.0,,,36-47,,J. Redick misses 2-pt shot from 19 ft
4:49.0,Defensive rebound by P. Millsap,,36-47,,
4:43.0,P. Millsap misses 2-pt shot from 2 ft (block by D. Jordan),,36-47,,
4:39.0,,,36-47,,Defensive rebound by J. Green
4:20.0,,,36-47,,C. Paul misses 3-pt shot from 28 ft
4:19.0,Defensive rebound by M. Scott,,36-47,,
4:14.0,Turnover by P. Millsap (bad pass; steal by A. Rivers),,36-47,,
4:08.0,,,36-47,,A. Rivers misses 2-pt shot from 2 ft
4:06.0,Defensive rebound by K. Bazemore,,36-47,,
4:02.0,Turnover by P. Millsap (bad pass),,36-47,,
4:02.0,A. Horford enters the game for M. Scott,,36-47,,
4:02.0,,,36-47,,P. Pierce enters the game for A. Rivers
3:51.0,,,36-49,2,C. Paul makes 2-pt shot from 3 ft (assist by J. Redick)
3:51.0,,,36-49,,Shooting foul by J. Teague (drawn by C. Paul)
3:51.0,,,36-50,1,C. Paul makes free throw 1 of 1
3:39.0,K. Korver makes 2-pt shot from 21 ft (assist by J. Teague),2,38-50,,
3:21.0,,,38-53,3,P. Pierce makes 3-pt shot from 27 ft (assist by C. Paul)
3:16.0,Atlanta full timeout,,38-53,,
3:05.0,K. Korver misses 3-pt shot from 25 ft,,38-53,,
3:04.0,Offensive rebound by J. Teague,,38-53,,
2:59.0,A. Horford makes 2-pt shot from 3 ft (assist by J. Teague),2,40-53,,
2:49.0,Personal foul by J. Teague (drawn by C. Paul),,40-53,,
2:49.0,K. Humphries enters the game for P. Millsap,,40-53,,
2:42.0,,,40-53,,J. Redick misses 2-pt shot from 1 ft (block by K. Bazemore)
2:39.0,Defensive rebound by A. Horford,,40-53,,
2:29.0,,,40-53,,Personal foul by P. Pierce (drawn by K. Bazemore)
2:22.0,J. Teague makes 3-pt shot from 25 ft,3,43-53,,
2:06.0,,,43-53,,J. Redick misses 2-pt shot from 18 ft
2:04.0,Defensive rebound by J. Teague,,43-53,,
1:59.0,J. Teague misses 3-pt shot from 25 ft,,43-53,,
1:56.0,,,43-53,,Defensive rebound by J. Green
1:51.0,,,43-55,2,J. Green makes 2-pt shot from 2 ft
1:41.0,A. Horford makes 3-pt shot from 24 ft (assist by J. Teague),3,46-55,,
1:22.0,,,46-55,,C. Paul misses 3-pt shot from 25 ft
1:21.0,Defensive rebound by K. Humphries,,46-55,,
1:11.0,K. Bazemore misses 3-pt shot from 25 ft,,46-55,,
1:10.0,,,46-55,,Defensive rebound by D. Jordan
0:59.0,,,46-55,,P. Pierce misses 3-pt shot from 28 ft
0:58.0,Defensive rebound by A. Horford,,46-55,,
0:52.0,Shooting foul by J. Redick (drawn by K. Bazemore),,46-55,,
0:52.0,K. Bazemore makes free throw 1 of 2,1,47-55,,
0:52.0,T. Sefolosha enters the game for K. Korver,,47-55,,
0:52.0,K. Bazemore makes free throw 2 of 2,1,48-55,,
0:43.0,,,48-55,,Turnover by D. Jordan (3 sec)
0:43.0,K. Korver enters the game for K. Humphries,,48-55,,
0:34.0,J. Teague makes 2-pt shot from 15 ft,2,50-55,,
0:34.0,,,50-55,,LA Clippers full timeout
0:34.0,,,50-55,,J. Crawford enters the game for P. Pierce
0:34.0,P. Millsap enters the game for K. Korver,,50-55,,
0:34.0,D. Schroder enters the game for J. Teague,,50-55,,
0:26.0,,,50-55,,Turnover by J. Redick (bad pass; steal by P. Millsap)
0:20.0,K. Bazemore misses 3-pt shot from 23 ft,,50-55,,
0:15.0,,,50-55,,Defensive rebound by C. Paul
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,P. Millsap makes 2-pt shot from 3 ft (assist by J. Teague),2,52-55,,
11:24.0,Personal foul by K. Bazemore (drawn by D. Jordan),,52-55,,
11:18.0,,,52-55,,Turnover by J. Redick (bad pass)
11:04.0,K. Korver misses 3-pt shot from 25 ft,,52-55,,
11:03.0,Offensive rebound by A. Horford,,52-55,,
10:44.0,Turnover by J. Teague (bad pass; steal by D. Jordan),,52-55,,
10:37.0,Personal foul by K. Bazemore (drawn by D. Jordan),,52-55,,
10:27.0,,,52-57,2,D. Jordan makes 2-pt shot from 3 ft (assist by C. Paul)
10:27.0,,,52-57,,Shooting foul by K. Korver (drawn by D. Jordan)
10:27.0,,,52-57,,D. Jordan misses free throw 1 of 1
10:25.0,Defensive rebound by P. Millsap,,52-57,,
10:16.0,J. Teague misses 2-pt shot from 2 ft (block by J. Green),,52-57,,
10:16.0,Offensive rebound by Team,,52-57,,
10:07.0,K. Bazemore makes 3-pt shot from 24 ft (assist by J. Teague),3,55-57,,
9:57.0,,,55-57,,Turnover by D. Jordan (offensive goaltending)
9:35.0,Shooting foul by J. Redick (drawn by J. Teague),,55-57,,
9:35.0,J. Teague makes free throw 1 of 2,1,56-57,,
9:35.0,J. Teague makes free throw 2 of 2,1,57-57,,
9:27.0,,,57-57,,Turnover by D. Jordan (offensive foul)
9:27.0,,,57-57,,Offensive foul by D. Jordan
9:03.0,J. Teague makes 2-pt shot from 2 ft,2,59-57,,
8:54.0,,,59-57,,Turnover by P. Pierce (bad pass; steal by P. Millsap)
8:50.0,Turnover by K. Bazemore (bad pass; steal by C. Paul),,59-57,,
8:48.0,Clear path foul by J. Teague,,59-57,,
8:48.0,,,59-58,1,D. Jordan makes clear path free throw 1 of 2
8:48.0,,,59-58,,D. Jordan misses clear path free throw 2 of 2
8:48.0,,,59-58,,Offensive rebound by Team
8:38.0,,,59-58,,Turnover by C. Paul (bad pass)
8:26.0,J. Teague misses 2-pt shot from 18 ft,,59-58,,
8:23.0,Offensive rebound by A. Horford,,59-58,,
8:14.0,Turnover by A. Horford (bad pass),,59-58,,
8:14.0,,,59-58,,J. Crawford enters the game for P. Pierce
7:53.0,,,59-60,2,J. Crawford makes 2-pt shot from 13 ft (assist by C. Paul)
7:42.0,A. Horford misses 3-pt shot from 26 ft,,59-60,,
7:41.0,,,59-60,,Defensive rebound by J. Redick
7:33.0,,,59-60,,Turnover by J. Redick (bad pass; steal by K. Bazemore)
7:30.0,K. Bazemore makes 2-pt shot from 1 ft,2,61-60,,
7:30.0,Shooting foul by J. Crawford (drawn by K. Bazemore),,61-60,,
7:30.0,K. Bazemore makes free throw 1 of 1,1,62-60,,
7:18.0,,,62-60,,J. Green misses 3-pt shot from 24 ft
7:17.0,Defensive rebound by K. Bazemore,,62-60,,
7:10.0,Turnover by K. Korver (bad pass; steal by J. Green),,62-60,,
7:05.0,,,62-60,,J. Redick misses 3-pt shot from 26 ft
7:02.0,Defensive rebound by K. Korver,,62-60,,
6:50.0,A. Horford misses 2-pt shot from 2 ft,,62-60,,
6:49.0,,,62-60,,Defensive rebound by C. Paul
6:39.0,,,62-60,,C. Paul misses 2-pt shot from 11 ft
6:37.0,,,62-60,,Offensive rebound by D. Jordan
6:37.0,,,62-62,2,D. Jordan makes 2-pt shot from 1 ft
6:26.0,P. Millsap makes 2-pt shot at rim (assist by J. Teague),2,64-62,,
6:02.0,,,64-64,2,J. Redick makes 2-pt shot from 15 ft (assist by D. Jordan)
5:49.0,J. Teague makes 3-pt shot from 25 ft (assist by K. Korver),3,67-64,,
5:31.0,,,67-64,,J. Crawford misses 3-pt shot from 25 ft
5:30.0,Defensive rebound by K. Bazemore,,67-64,,
5:19.0,A. Horford makes 2-pt shot at rim (assist by P. Millsap),2,69-64,,
5:18.0,,,69-64,,LA Clippers full timeout
5:18.0,K. Humphries enters the game for A. Horford,,69-64,,
5:18.0,T. Sefolosha enters the game for K. Korver,,69-64,,
5:18.0,,,69-64,,W. Johnson enters the game for J. Green
5:15.0,,,69-64,,Turnover by W. Johnson (bad pass; steal by J. Teague)
5:09.0,Turnover by K. Bazemore (bad pass; steal by D. Jordan),,69-64,,
5:05.0,,,69-64,,J. Redick misses 2-pt shot from 1 ft (block by T. Sefolosha)
5:02.0,Defensive rebound by J. Teague,,69-64,,
4:58.0,J. Teague misses 2-pt shot from 1 ft (block by D. Jordan),,69-64,,
4:55.0,,,69-64,,Defensive rebound by W. Johnson
4:47.0,,,69-66,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
4:23.0,J. Teague misses 2-pt shot from 18 ft,,69-66,,
4:22.0,,,69-66,,Defensive rebound by D. Jordan
4:16.0,,,69-66,,Shooting foul by J. Teague (drawn by W. Johnson)
4:16.0,,,69-67,1,W. Johnson makes free throw 1 of 2
4:16.0,D. Schroder enters the game for J. Teague,,69-67,,
4:16.0,,,69-68,1,W. Johnson makes free throw 2 of 2
4:00.0,,,69-68,,Personal foul by W. Johnson (drawn by P. Millsap)
3:52.0,Turnover by P. Millsap (lost ball; steal by J. Crawford),,69-68,,
3:46.0,,,69-70,2,J. Crawford makes 2-pt shot from 5 ft
3:46.0,,,69-70,,Shooting foul by K. Bazemore (drawn by J. Crawford)
3:46.0,,,69-71,1,J. Crawford makes free throw 1 of 1
3:31.0,P. Millsap makes 3-pt shot from 24 ft (assist by K. Bazemore),3,72-71,,
3:21.0,Personal take foul by K. Humphries (drawn by D. Jordan),,72-71,,
3:21.0,,,72-72,1,D. Jordan makes free throw 1 of 2
3:21.0,K. Korver enters the game for K. Bazemore,,72-72,,
3:21.0,,,72-72,,A. Rivers enters the game for J. Redick
3:21.0,,,72-72,,D. Jordan misses free throw 2 of 2
3:20.0,Defensive rebound by P. Millsap,,72-72,,
3:11.0,K. Humphries makes 2-pt shot at rim (assist by D. Schroder),2,74-72,,
3:06.0,Personal take foul by K. Humphries (drawn by D. Jordan),,74-72,,
3:06.0,,,74-73,1,D. Jordan makes free throw 1 of 2
3:06.0,,,74-74,1,D. Jordan makes free throw 2 of 2
2:54.0,Turnover by K. Korver (bad pass; steal by A. Rivers),,74-74,,
2:53.0,Personal foul by K. Korver (drawn by D. Jordan),,74-74,,
2:53.0,Atlanta full timeout,,74-74,,
2:53.0,,,74-75,1,D. Jordan makes free throw 1 of 2
2:53.0,,,74-75,,D. Jordan misses free throw 2 of 2
2:52.0,Defensive rebound by T. Sefolosha,,74-75,,
2:40.0,K. Humphries misses 2-pt shot from 12 ft,,74-75,,
2:39.0,,,74-75,,Defensive rebound by C. Paul
2:30.0,,,74-78,3,A. Rivers makes 3-pt shot from 23 ft (assist by C. Paul)
2:13.0,D. Schroder makes 2-pt shot from 2 ft,2,76-78,,
1:58.0,,,76-78,,Turnover by W. Johnson (bad pass; steal by P. Millsap)
1:51.0,Shooting foul by W. Johnson (drawn by P. Millsap),,76-78,,
1:51.0,P. Millsap makes free throw 1 of 2,1,77-78,,
1:51.0,P. Millsap makes free throw 2 of 2,1,78-78,,
1:48.0,Personal take foul by K. Humphries (drawn by D. Jordan),,78-78,,
1:48.0,,,78-78,,D. Jordan misses free throw 1 of 2
1:48.0,,,78-78,,Offensive rebound by Team
1:48.0,,,78-78,,J. Green enters the game for W. Johnson
1:48.0,,,78-78,,D. Jordan misses free throw 2 of 2
1:47.0,Defensive rebound by P. Millsap,,78-78,,
1:35.0,D. Schroder makes 2-pt shot from 2 ft,2,80-78,,
1:29.0,Personal take foul by K. Humphries (drawn by D. Jordan),,80-78,,
1:29.0,,,80-78,,D. Jordan misses free throw 1 of 2
1:29.0,,,80-78,,Offensive rebound by Team
1:29.0,M. Scott enters the game for P. Millsap,,80-78,,
1:29.0,A. Horford enters the game for K. Humphries,,80-78,,
1:29.0,,,80-79,1,D. Jordan makes free throw 2 of 2
1:19.0,Turnover by D. Schroder (lost ball; steal by D. Jordan),,80-79,,
1:15.0,,,80-79,,Turnover by J. Crawford (step out of bounds)
1:15.0,,,80-79,,C. Aldrich enters the game for D. Jordan
1:02.0,M. Scott misses 3-pt shot from 27 ft,,80-79,,
1:01.0,,,80-79,,Defensive rebound by A. Rivers
0:52.0,,,80-79,,C. Paul misses 2-pt shot from 6 ft
0:47.0,Defensive rebound by A. Horford,,80-79,,
0:44.0,K. Korver misses 3-pt shot from 26 ft,,80-79,,
0:41.0,,,80-79,,Defensive rebound by C. Paul
0:37.0,,,80-79,,Turnover by C. Paul (bad pass; steal by K. Korver)
0:26.0,M. Scott misses 2-pt shot from 7 ft,,80-79,,
0:22.0,,,80-79,,Defensive rebound by C. Aldrich
0:05.0,,,80-79,,C. Paul misses 2-pt shot from 14 ft
0:03.0,Defensive rebound by T. Sefolosha,,80-79,,
0:00.0,T. Sefolosha misses 3-pt shot from 49 ft,,80-79,,
0:00.0,Offensive rebound by Team,,80-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,80-79,,J. Green misses 3-pt shot from 24 ft
11:37.0,,,80-79,,Offensive rebound by C. Aldrich
11:25.0,,,80-79,,J. Crawford misses 2-pt shot from 2 ft
11:22.0,Defensive rebound by T. Sefolosha,,80-79,,
11:19.0,K. Korver makes 2-pt shot at rim (assist by D. Schroder),2,82-79,,
11:05.0,,,82-81,2,A. Rivers makes 2-pt shot from 2 ft
11:05.0,,,82-81,,Shooting foul by K. Korver (drawn by A. Rivers)
11:05.0,,,82-82,1,A. Rivers makes free throw 1 of 1
10:51.0,M. Scott misses 3-pt shot from 24 ft,,82-82,,
10:49.0,,,82-82,,Defensive rebound by J. Crawford
10:35.0,,,82-82,,Turnover by J. Crawford (lost ball)
10:35.0,K. Bazemore enters the game for K. Korver,,82-82,,
10:13.0,K. Bazemore misses 2-pt shot from 11 ft,,82-82,,
10:11.0,,,82-82,,Defensive rebound by J. Green
9:50.0,,,82-85,3,P. Prigioni makes 3-pt shot from 24 ft (assist by J. Green)
9:34.0,Turnover by D. Schroder (lost ball),,82-85,,
9:13.0,,,82-85,,A. Rivers misses 2-pt shot from 2 ft
9:11.0,Defensive rebound by A. Horford,,82-85,,
8:48.0,D. Schroder misses 2-pt shot from 21 ft,,82-85,,
8:46.0,,,82-85,,Defensive rebound by C. Aldrich
8:26.0,,,82-88,3,A. Rivers makes 3-pt shot from 24 ft (assist by J. Green)
8:26.0,Atlanta full timeout,,82-88,,
8:26.0,K. Korver enters the game for K. Bazemore,,82-88,,
8:26.0,P. Millsap enters the game for D. Schroder,,82-88,,
8:26.0,J. Teague enters the game for M. Scott,,82-88,,
8:16.0,Offensive foul by K. Korver,,82-88,,
8:16.0,Turnover by K. Korver (offensive foul),,82-88,,
8:03.0,,,82-88,,J. Crawford misses 2-pt shot from 3 ft
8:03.0,Defensive rebound by Team,,82-88,,
7:53.0,T. Sefolosha makes 3-pt shot from 24 ft (assist by P. Millsap),3,85-88,,
7:30.0,Personal foul by T. Sefolosha (drawn by A. Rivers),,85-88,,
7:30.0,K. Bazemore enters the game for K. Korver,,85-88,,
7:22.0,,,85-90,2,A. Rivers makes 2-pt shot from 2 ft (assist by P. Prigioni)
7:06.0,K. Bazemore makes 2-pt shot from 18 ft (assist by T. Sefolosha),2,87-90,,
6:44.0,,,87-90,,J. Green misses 2-pt shot from 2 ft
6:42.0,,,87-90,,Offensive rebound by C. Aldrich
6:41.0,,,87-90,,Offensive foul by C. Aldrich
6:41.0,,,87-90,,Turnover by C. Aldrich (offensive foul)
6:41.0,K. Humphries enters the game for A. Horford,,87-90,,
6:41.0,,,87-90,,C. Paul enters the game for P. Prigioni
6:41.0,,,87-90,,D. Jordan enters the game for C. Aldrich
6:26.0,J. Teague misses 2-pt shot from 20 ft,,87-90,,
6:25.0,,,87-90,,Defensive rebound by J. Crawford
6:15.0,,,87-90,,J. Crawford misses 2-pt shot from 4 ft
6:14.0,Defensive rebound by J. Teague,,87-90,,
6:11.0,J. Teague misses 2-pt shot from 1 ft (block by D. Jordan),,87-90,,
6:09.0,Offensive rebound by Team,,87-90,,
6:09.0,,,87-90,,J. Redick enters the game for J. Crawford
6:02.0,K. Bazemore makes 3-pt shot from 23 ft (assist by P. Millsap),3,90-90,,
5:39.0,,,90-90,,A. Rivers misses 3-pt shot from 26 ft
5:38.0,Defensive rebound by P. Millsap,,90-90,,
5:30.0,J. Teague makes 2-pt shot from 2 ft (assist by P. Millsap),2,92-90,,
5:08.0,,,92-90,,D. Jordan misses 2-pt shot from 3 ft
5:08.0,,,92-90,,Offensive rebound by Team
5:08.0,Loose ball foul by P. Millsap (drawn by D. Jordan),,92-90,,
5:08.0,Official timeout,,92-90,,
5:08.0,,,92-90,,J. Crawford enters the game for A. Rivers
5:08.0,Personal take foul by K. Humphries (drawn by D. Jordan),,92-90,,
5:07.0,Personal take foul by P. Millsap (drawn by D. Jordan),,92-90,,
