time,Atlanta,pts.away,score,pts.home,Orlando
5:34.0,,,12-15,,A. Gordon enters the game for T. Harris
5:22.0,T. Splitter makes 2-pt shot from 1 ft,2,14-15,,
5:06.0,,,14-15,,E. Fournier misses 3-pt shot from 24 ft
5:04.0,Defensive rebound by P. Millsap,,14-15,,
4:52.0,Turnover by T. Splitter (lost ball),,14-15,,
4:52.0,,,14-15,,A. Nicholson enters the game for C. Frye
4:52.0,D. Schroder enters the game for J. Teague,,14-15,,
4:39.0,,,14-15,,Turnover by A. Nicholson (3 sec)
4:39.0,,,14-15,,V. Oladipo enters the game for E. Fournier
4:29.0,P. Millsap misses 2-pt shot from 6 ft (block by A. Nicholson),,14-15,,
4:25.0,Offensive rebound by P. Millsap,,14-15,,
4:25.0,P. Millsap makes 2-pt shot from 2 ft,2,16-15,,
4:10.0,,,16-15,,A. Gordon misses 2-pt shot from 18 ft
4:08.0,,,16-15,,Offensive rebound by A. Nicholson
4:05.0,,,16-15,,Shooting foul by P. Millsap (drawn by A. Nicholson)
4:05.0,,,16-16,1,A. Nicholson makes free throw 1 of 2
4:05.0,,,16-17,1,A. Nicholson makes free throw 2 of 2
3:51.0,K. Bazemore misses 2-pt shot from 19 ft,,16-17,,
3:49.0,,,16-17,,Defensive rebound by A. Nicholson
3:35.0,,,16-17,,A. Nicholson misses 3-pt shot from 25 ft
3:34.0,,,16-17,,Offensive rebound by N. Vucevic
3:28.0,,,16-19,2,E. Payton makes 2-pt shot from 8 ft (assist by N. Vucevic)
3:28.0,,,16-19,,Shooting foul by D. Schroder (drawn by E. Payton)
3:28.0,,,16-20,1,E. Payton makes free throw 1 of 1
3:08.0,Turnover by D. Schroder (bad pass),,16-20,,
2:56.0,,,16-22,2,N. Vucevic makes 2-pt shot from 13 ft (assist by A. Gordon)
2:54.0,Atlanta full timeout,,16-22,,
2:54.0,,,16-22,,J. Smith enters the game for N. Vucevic
2:54.0,,,16-22,,M. Hezonja enters the game for E. Payton
2:39.0,P. Millsap makes 2-pt shot from 15 ft (assist by K. Bazemore),2,18-22,,
2:21.0,,,18-24,2,V. Oladipo makes 2-pt shot from 20 ft
1:58.0,T. Splitter makes 2-pt shot at rim (assist by K. Bazemore),2,20-24,,
1:39.0,,,20-27,3,A. Nicholson makes 3-pt shot from 23 ft (assist by V. Oladipo)
1:16.0,T. Sefolosha makes 3-pt shot from 22 ft (assist by P. Millsap),3,23-27,,
0:59.0,,,23-27,,A. Nicholson misses 2-pt shot from 2 ft
0:58.0,Defensive rebound by T. Sefolosha,,23-27,,
0:50.0,P. Millsap misses 2-pt shot from 18 ft,,23-27,,
0:47.0,Offensive rebound by T. Sefolosha,,23-27,,
0:47.0,T. Sefolosha misses 2-pt shot from 2 ft,,23-27,,
0:47.0,Offensive rebound by Team,,23-27,,
0:47.0,M. Scott enters the game for K. Bazemore,,23-27,,
0:47.0,A. Horford enters the game for P. Millsap,,23-27,,
0:47.0,K. Korver enters the game for T. Splitter,,23-27,,
0:32.0,Turnover by D. Schroder (lost ball; steal by M. Hezonja),,23-27,,
0:28.0,,,23-29,2,M. Hezonja makes 2-pt shot at rim
0:13.0,,,23-29,,Personal foul by V. Oladipo (drawn by D. Schroder)
0:04.0,A. Horford makes 2-pt shot at rim (assist by D. Schroder),2,25-29,,
0:00.0,Personal foul by T. Sefolosha (drawn by V. Oladipo),,25-29,,
0:00.0,,,25-29,,Turnover by A. Gordon (bad pass)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Personal foul by M. Scott (drawn by A. Nicholson),,25-29,,
11:41.0,,,25-31,2,M. Hezonja makes 2-pt shot from 8 ft (assist by V. Oladipo)
11:18.0,M. Scott makes 3-pt shot from 25 ft (assist by D. Schroder),3,28-31,,
11:00.0,,,28-31,,V. Oladipo misses 2-pt shot from 14 ft
10:59.0,Defensive rebound by L. Patterson,,28-31,,
10:50.0,M. Scott makes 3-pt shot from 25 ft (assist by L. Patterson),3,31-31,,
10:30.0,,,31-31,,A. Gordon misses 2-pt shot from 13 ft
10:28.0,Defensive rebound by M. Scott,,31-31,,
10:13.0,A. Horford makes 2-pt shot at rim (assist by L. Patterson),2,33-31,,
9:58.0,,,33-31,,Offensive foul by A. Nicholson
9:58.0,,,33-31,,Turnover by A. Nicholson (offensive foul)
9:58.0,,,33-31,,T. Harris enters the game for A. Nicholson
9:33.0,D. Schroder misses 3-pt shot from 25 ft,,33-31,,
9:31.0,,,33-31,,Defensive rebound by M. Hezonja
9:24.0,,,33-31,,E. Fournier enters the game for A. Gordon
9:09.0,,,33-31,,V. Oladipo misses 2-pt shot from 17 ft
9:08.0,Defensive rebound by D. Schroder,,33-31,,
8:58.0,A. Horford makes 2-pt shot at rim (assist by K. Korver),2,35-31,,
8:57.0,,,35-31,,Orlando full timeout
8:57.0,,,35-31,,E. Payton enters the game for V. Oladipo
8:57.0,,,35-31,,C. Frye enters the game for M. Hezonja
8:57.0,,,35-31,,N. Vucevic enters the game for J. Smith
8:43.0,,,35-31,,N. Vucevic misses 2-pt shot from 9 ft
8:43.0,,,35-31,,Offensive rebound by Team
8:43.0,Loose ball foul by M. Scott (drawn by C. Frye),,35-31,,
8:28.0,,,35-31,,E. Payton misses 3-pt shot from 24 ft
8:27.0,Defensive rebound by A. Horford,,35-31,,
8:18.0,M. Scott makes 2-pt shot from 10 ft (assist by K. Korver),2,37-31,,
7:57.0,,,37-31,,T. Harris misses 2-pt shot from 2 ft (block by L. Patterson)
7:55.0,Defensive rebound by L. Patterson,,37-31,,
7:39.0,M. Scott misses 2-pt shot from 5 ft (block by C. Frye),,37-31,,
7:38.0,,,37-31,,Defensive rebound by N. Vucevic
7:27.0,,,37-31,,N. Vucevic misses 2-pt shot from 2 ft
7:26.0,Defensive rebound by M. Scott,,37-31,,
7:17.0,K. Korver misses 3-pt shot from 25 ft,,37-31,,
7:16.0,,,37-31,,Defensive rebound by N. Vucevic
6:58.0,,,37-31,,E. Payton misses 2-pt shot from 19 ft
6:56.0,Defensive rebound by A. Horford,,37-31,,
6:47.0,A. Horford misses 3-pt shot from 25 ft,,37-31,,
6:45.0,,,37-31,,Defensive rebound by T. Harris
6:38.0,,,37-31,,Turnover by N. Vucevic (bad pass; steal by K. Korver)
6:32.0,A. Horford makes 2-pt shot at rim (assist by M. Scott),2,39-31,,
6:08.0,,,39-33,2,E. Payton makes 2-pt shot from 13 ft (assist by T. Harris)
5:51.0,D. Schroder misses 2-pt shot from 17 ft,,39-33,,
5:50.0,,,39-33,,Defensive rebound by T. Harris
5:44.0,,,39-33,,Offensive foul by C. Frye
5:44.0,,,39-33,,Turnover by C. Frye (offensive foul)
5:44.0,Official timeout,,39-33,,
5:44.0,K. Bazemore enters the game for A. Horford,,39-33,,
5:44.0,J. Teague enters the game for K. Korver,,39-33,,
5:44.0,P. Millsap enters the game for D. Schroder,,39-33,,
5:19.0,P. Millsap misses 3-pt shot from 25 ft,,39-33,,
5:18.0,,,39-33,,Defensive rebound by E. Fournier
5:06.0,,,39-33,,T. Harris misses 2-pt shot from 19 ft
5:05.0,Defensive rebound by P. Millsap,,39-33,,
4:55.0,J. Teague misses 2-pt shot from 12 ft,,39-33,,
4:53.0,Offensive rebound by P. Millsap,,39-33,,
4:47.0,K. Bazemore misses 2-pt shot from 5 ft (block by C. Frye),,39-33,,
4:47.0,Offensive rebound by Team,,39-33,,
4:47.0,T. Splitter enters the game for M. Scott,,39-33,,
4:47.0,T. Sefolosha enters the game for L. Patterson,,39-33,,
4:35.0,Shooting foul by C. Frye (drawn by P. Millsap),,39-33,,
4:35.0,P. Millsap makes free throw 1 of 2,1,40-33,,
4:35.0,,,40-33,,A. Nicholson enters the game for C. Frye
4:35.0,P. Millsap makes free throw 2 of 2,1,41-33,,
4:26.0,,,41-33,,Turnover by E. Payton (bad pass; steal by K. Bazemore)
4:22.0,K. Bazemore makes 2-pt shot from 1 ft,2,43-33,,
4:04.0,Jump ball: P. Millsap vs. A. Nicholson (N. Vucevic gains possession),,,,Jump ball: P. Millsap vs. A. Nicholson (N. Vucevic gains possession)
3:56.0,,,43-33,,T. Harris misses 2-pt shot from 16 ft
3:54.0,Defensive rebound by K. Bazemore,,43-33,,
3:44.0,Shooting foul by T. Harris (drawn by P. Millsap),,43-33,,
3:44.0,P. Millsap misses free throw 1 of 2,,43-33,,
3:44.0,Offensive rebound by Team,,43-33,,
3:44.0,,,43-33,,A. Gordon enters the game for T. Harris
3:44.0,P. Millsap makes free throw 2 of 2,1,44-33,,
3:22.0,,,44-35,2,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Fournier)
3:11.0,J. Teague makes 2-pt shot from 2 ft,2,46-35,,
3:07.0,,,46-37,2,A. Nicholson makes 2-pt shot from 2 ft (assist by E. Fournier)
3:07.0,,,46-37,,Shooting foul by T. Sefolosha (drawn by A. Nicholson)
3:07.0,Atlanta full timeout,,46-37,,
3:07.0,,,46-38,1,A. Nicholson makes free throw 1 of 1
2:47.0,T. Splitter misses 2-pt shot from 2 ft,,46-38,,
2:45.0,,,46-38,,Defensive rebound by N. Vucevic
2:28.0,,,46-38,,E. Payton misses 2-pt shot from 13 ft
2:27.0,Defensive rebound by J. Teague,,46-38,,
2:14.0,T. Splitter misses 2-pt shot from 7 ft,,46-38,,
2:13.0,,,46-38,,Defensive rebound by A. Gordon
1:56.0,,,46-38,,E. Payton misses 2-pt shot from 6 ft
1:54.0,Defensive rebound by P. Millsap,,46-38,,
1:46.0,J. Teague makes 2-pt shot from 1 ft,2,48-38,,
1:29.0,,,48-38,,N. Vucevic misses 2-pt shot from 18 ft
1:28.0,,,48-38,,Offensive rebound by A. Gordon
1:20.0,,,48-38,,Shooting foul by J. Teague (drawn by A. Nicholson)
1:20.0,,,48-39,1,A. Nicholson makes free throw 1 of 2
1:20.0,A. Horford enters the game for T. Splitter,,48-39,,
1:20.0,K. Korver enters the game for T. Sefolosha,,48-39,,
1:20.0,,,48-39,,V. Oladipo enters the game for E. Payton
1:20.0,,,48-40,1,A. Nicholson makes free throw 2 of 2
1:08.0,J. Teague makes 2-pt shot from 7 ft,2,50-40,,
0:45.0,,,50-42,2,N. Vucevic makes 2-pt shot from 20 ft
0:26.0,P. Millsap misses 2-pt shot from 2 ft,,50-42,,
0:26.0,Offensive rebound by A. Horford,,50-42,,
0:26.0,A. Horford makes 2-pt shot at rim,2,52-42,,
0:05.0,,,52-42,,V. Oladipo misses 2-pt shot from 17 ft
0:03.0,Defensive rebound by Team,,52-42,,
0:03.0,Atlanta full timeout,,52-42,,
0:00.0,A. Horford misses 3-pt shot from 25 ft,,52-42,,
0:00.0,Offensive rebound by Team,,52-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,52-45,3,C. Frye makes 3-pt shot from 23 ft (assist by T. Harris)
11:35.0,P. Millsap makes 2-pt shot from 2 ft (assist by A. Horford),2,54-45,,
11:18.0,Personal foul by J. Teague (drawn by E. Fournier),,54-45,,
11:10.0,,,54-47,2,E. Fournier makes 2-pt shot from 15 ft (assist by E. Payton)
10:59.0,Turnover by J. Teague (lost ball; steal by E. Payton),,54-47,,
10:46.0,,,54-49,2,N. Vucevic makes 2-pt shot from 1 ft (assist by E. Fournier)
10:38.0,,,54-49,,Personal foul by C. Frye (drawn by P. Millsap)
10:38.0,,,54-49,,Technical foul by C. Frye (drawn by P. Millsap)
10:38.0,J. Teague makes technical free throw,1,55-49,,
10:28.0,A. Horford misses 2-pt shot from 15 ft,,55-49,,
10:27.0,,,55-49,,Defensive rebound by C. Frye
10:13.0,,,55-49,,N. Vucevic misses 2-pt shot from 19 ft
10:12.0,Defensive rebound by J. Teague,,55-49,,
10:02.0,K. Korver makes 3-pt shot from 23 ft (assist by A. Horford),3,58-49,,
9:48.0,,,58-51,2,E. Payton makes 2-pt shot from 2 ft
9:48.0,,,58-51,,Shooting foul by K. Korver (drawn by E. Payton)
9:48.0,,,58-52,1,E. Payton makes free throw 1 of 1
9:32.0,K. Korver makes 3-pt shot from 23 ft (assist by A. Horford),3,61-52,,
9:13.0,,,61-52,,E. Payton misses 2-pt shot from 1 ft (block by A. Horford)
9:13.0,Defensive rebound by K. Korver,,61-52,,
9:13.0,,,61-52,,Personal foul by E. Payton (drawn by K. Korver)
9:02.0,J. Teague makes 2-pt shot from 20 ft,2,63-52,,
8:42.0,,,63-55,3,E. Fournier makes 3-pt shot from 22 ft (assist by N. Vucevic)
8:27.0,Turnover by J. Teague (bad pass; steal by C. Frye),,63-55,,
8:24.0,,,63-55,,Shooting foul by P. Millsap (drawn by E. Fournier)
8:24.0,,,63-56,1,E. Fournier makes free throw 1 of 2
8:24.0,,,63-56,,V. Oladipo enters the game for E. Payton
8:24.0,,,63-57,1,E. Fournier makes free throw 2 of 2
8:14.0,,,63-57,,Personal foul by V. Oladipo (drawn by J. Teague)
8:10.0,,,63-57,,Violation by C. Frye (kicked ball)
8:06.0,A. Horford misses 2-pt shot from 19 ft,,63-57,,
8:03.0,,,63-57,,Defensive rebound by T. Harris
7:54.0,,,63-59,2,N. Vucevic makes 2-pt shot from 8 ft (assist by C. Frye)
7:36.0,K. Bazemore misses 2-pt shot from 16 ft,,63-59,,
7:35.0,,,63-59,,Defensive rebound by Team
7:35.0,Loose ball foul by A. Horford (drawn by N. Vucevic),,63-59,,
7:23.0,,,63-59,,E. Fournier misses 2-pt shot from 7 ft
7:22.0,,,63-59,,Offensive rebound by N. Vucevic
7:22.0,,,63-61,2,N. Vucevic makes 2-pt shot from 2 ft
7:22.0,,,63-61,,N. Vucevic misses 2-pt shot from 2 ft
7:22.0,,,63-61,,Offensive rebound by N. Vucevic
7:22.0,Atlanta full timeout,,63-61,,
7:08.0,Turnover by P. Millsap (bad pass; steal by C. Frye),,63-61,,
6:52.0,,,63-61,,Shooting foul by K. Korver (drawn by E. Fournier)
6:52.0,,,63-62,1,E. Fournier makes free throw 1 of 2
6:52.0,,,63-63,1,E. Fournier makes free throw 2 of 2
6:36.0,P. Millsap misses 2-pt shot from 10 ft,,63-63,,
6:35.0,,,63-63,,Defensive rebound by Team
6:19.0,,,63-63,,Shooting foul by P. Millsap (drawn by C. Frye)
6:19.0,,,63-64,1,C. Frye makes free throw 1 of 3
6:19.0,,,63-65,1,C. Frye makes free throw 2 of 3
6:19.0,,,63-66,1,C. Frye makes free throw 3 of 3
6:11.0,Turnover by J. Teague (bad pass; steal by E. Fournier),,63-66,,
6:03.0,,,63-68,2,E. Fournier makes 2-pt shot from 17 ft
6:02.0,Atlanta full timeout,,63-68,,
6:02.0,T. Splitter enters the game for A. Horford,,63-68,,
6:02.0,T. Sefolosha enters the game for K. Korver,,63-68,,
5:50.0,,,63-68,,Personal foul by T. Harris (drawn by T. Sefolosha)
5:50.0,,,63-68,,M. Hezonja enters the game for T. Harris
5:35.0,Turnover by Team (shot clock),,63-68,,
5:18.0,,,63-68,,N. Vucevic misses 2-pt shot from 9 ft
5:16.0,Defensive rebound by K. Bazemore,,63-68,,
5:09.0,T. Sefolosha makes 2-pt shot from 2 ft (assist by P. Millsap),2,65-68,,
5:09.0,Shooting foul by M. Hezonja (drawn by T. Sefolosha),,65-68,,
5:09.0,T. Sefolosha makes free throw 1 of 1,1,66-68,,
4:59.0,,,66-68,,V. Oladipo misses 2-pt shot from 13 ft
4:57.0,Defensive rebound by K. Bazemore,,66-68,,
4:53.0,K. Bazemore makes 2-pt shot from 3 ft,2,68-68,,
4:53.0,Shooting foul by M. Hezonja (drawn by K. Bazemore),,68-68,,
4:53.0,,,68-68,,A. Gordon enters the game for M. Hezonja
4:53.0,K. Bazemore misses free throw 1 of 1,,68-68,,
4:51.0,,,68-68,,Defensive rebound by C. Frye
4:32.0,,,68-68,,V. Oladipo misses 3-pt shot from 25 ft
4:30.0,Defensive rebound by P. Millsap,,68-68,,
4:15.0,Shooting foul by E. Fournier (drawn by J. Teague),,68-68,,
4:15.0,J. Teague misses free throw 1 of 2,,68-68,,
4:15.0,Offensive rebound by Team,,68-68,,
4:15.0,J. Teague makes free throw 2 of 2,1,69-68,,
4:06.0,,,69-68,,V. Oladipo misses 2-pt shot from 2 ft
4:03.0,Defensive rebound by T. Splitter,,69-68,,
3:49.0,K. Bazemore misses 2-pt shot from 2 ft,,69-68,,
3:46.0,Offensive rebound by T. Splitter,,69-68,,
3:46.0,T. Splitter makes 2-pt shot from 2 ft,2,71-68,,
3:33.0,,,71-68,,N. Vucevic misses 2-pt shot from 5 ft
3:31.0,,,71-68,,Offensive rebound by A. Gordon
3:31.0,,,71-70,2,A. Gordon makes 2-pt shot from 2 ft
3:31.0,,,71-70,,Technical foul by Team
3:31.0,J. Teague makes technical free throw,1,72-70,,
3:31.0,D. Schroder enters the game for J. Teague,,72-70,,
3:16.0,Turnover by K. Bazemore (bad pass; steal by C. Frye),,72-70,,
3:04.0,,,72-70,,V. Oladipo misses 2-pt shot from 2 ft (block by T. Splitter)
3:01.0,Defensive rebound by K. Bazemore,,72-70,,
2:53.0,,,72-70,,Def 3 sec tech foul by V. Oladipo
2:53.0,,,72-70,,Orlando full timeout
2:53.0,D. Schroder makes technical free throw,1,73-70,,
2:45.0,P. Millsap misses 2-pt shot from 5 ft,,73-70,,
2:44.0,Offensive rebound by T. Splitter,,73-70,,
2:44.0,T. Splitter misses 2-pt shot from 2 ft,,73-70,,
2:41.0,,,73-70,,Defensive rebound by A. Gordon
2:34.0,Personal foul by K. Bazemore (drawn by C. Frye),,73-70,,
2:34.0,,,73-71,1,C. Frye makes free throw 1 of 2
2:34.0,,,73-71,,J. Smith enters the game for N. Vucevic
2:34.0,,,73-72,1,C. Frye makes free throw 2 of 2
2:24.0,Turnover by K. Bazemore (bad pass; steal by V. Oladipo),,73-72,,
2:20.0,,,73-72,,V. Oladipo misses 2-pt shot from 2 ft (block by T. Sefolosha)
2:20.0,,,73-72,,Offensive rebound by E. Fournier
2:20.0,Personal foul by D. Schroder (drawn by E. Fournier),,73-72,,
2:20.0,,,73-73,1,E. Fournier makes free throw 1 of 2
2:20.0,,,73-73,,A. Nicholson enters the game for C. Frye
2:20.0,K. Korver enters the game for K. Bazemore,,73-73,,
2:20.0,,,73-74,1,E. Fournier makes free throw 2 of 2
2:04.0,P. Millsap misses 2-pt shot from 14 ft,,73-74,,
2:02.0,,,73-74,,Defensive rebound by J. Smith
1:54.0,,,73-74,,Offensive foul by J. Smith
1:54.0,,,73-74,,Turnover by J. Smith (offensive foul)
1:44.0,D. Schroder makes 2-pt shot from 2 ft,2,75-74,,
1:20.0,,,75-74,,A. Gordon misses 2-pt shot from 8 ft
1:18.0,Defensive rebound by P. Millsap,,75-74,,
1:05.0,P. Millsap makes 2-pt shot from 1 ft,2,77-74,,
0:43.0,,,77-74,,A. Gordon misses 2-pt shot from 8 ft
0:42.0,Defensive rebound by P. Millsap,,77-74,,
0:32.0,T. Sefolosha misses 3-pt shot from 25 ft,,77-74,,
0:31.0,,,77-74,,Defensive rebound by A. Nicholson
0:25.0,Personal foul by T. Splitter (drawn by A. Nicholson),,77-74,,
0:25.0,,,77-75,1,A. Nicholson makes free throw 1 of 2
0:25.0,A. Horford enters the game for T. Splitter,,77-75,,
0:25.0,M. Scott enters the game for P. Millsap,,77-75,,
0:25.0,,,77-76,1,A. Nicholson makes free throw 2 of 2
0:05.0,Turnover by D. Schroder (bad pass; steal by V. Oladipo),,77-76,,
0:01.0,,,77-78,2,E. Fournier makes 2-pt shot from 2 ft (assist by V. Oladipo)
0:01.0,Turnover by K. Korver (bad pass; steal by A. Nicholson),,77-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,Turnover by D. Schroder (traveling),,77-78,,
11:43.0,,,77-78,,V. Oladipo misses 2-pt shot from 1 ft (block by D. Schroder)
11:42.0,,,77-78,,Offensive rebound by Team
11:32.0,,,77-80,2,J. Smith makes 2-pt shot from 19 ft (assist by V. Oladipo)
11:15.0,Shooting foul by A. Nicholson (drawn by M. Scott),,77-80,,
11:15.0,M. Scott makes 2-pt shot from 9 ft,2,79-80,,
11:15.0,M. Scott misses free throw 1 of 1,,79-80,,
11:14.0,,,79-80,,Defensive rebound by A. Nicholson
11:02.0,,,79-82,2,J. Smith makes 2-pt shot from 18 ft (assist by V. Oladipo)
10:42.0,Shooting foul by V. Oladipo (drawn by K. Korver),,79-82,,
10:42.0,K. Korver makes free throw 1 of 2,1,80-82,,
10:42.0,K. Korver misses free throw 2 of 2,,80-82,,
10:41.0,,,80-82,,Defensive rebound by A. Nicholson
10:30.0,Personal foul by D. Schroder (drawn by V. Oladipo),,80-82,,
10:23.0,,,80-82,,T. Harris misses 2-pt shot from 16 ft
10:21.0,Defensive rebound by L. Patterson,,80-82,,
10:14.0,K. Korver makes 3-pt shot from 23 ft (assist by L. Patterson),3,83-82,,
9:50.0,,,83-84,2,J. Smith makes 2-pt shot from 9 ft (assist by E. Payton)
9:37.0,K. Korver misses 3-pt shot from 25 ft,,83-84,,
9:36.0,,,83-84,,Defensive rebound by T. Harris
9:32.0,,,83-84,,Shooting foul by A. Horford (drawn by E. Payton)
9:32.0,,,83-84,,E. Payton misses free throw 1 of 2
9:32.0,,,83-84,,Offensive rebound by Team
9:32.0,,,83-84,,E. Payton misses free throw 2 of 2
9:32.0,Defensive rebound by K. Korver,,83-84,,
9:23.0,M. Scott misses 3-pt shot from 27 ft,,83-84,,
9:22.0,,,83-84,,Defensive rebound by A. Nicholson
9:04.0,,,83-86,2,E. Payton makes 2-pt shot from 2 ft (assist by V. Oladipo)
8:49.0,A. Horford misses 3-pt shot from 25 ft,,83-86,,
8:48.0,Offensive rebound by A. Horford,,83-86,,
8:44.0,M. Scott makes 2-pt shot from 15 ft (assist by A. Horford),2,85-86,,
8:33.0,,,85-86,,Offensive foul by A. Nicholson
8:33.0,,,85-86,,Turnover by A. Nicholson (offensive foul)
8:33.0,Official timeout,,85-86,,
8:33.0,,,85-86,,C. Frye enters the game for A. Nicholson
8:20.0,K. Korver makes 3-pt shot from 25 ft (assist by D. Schroder),3,88-86,,
8:00.0,,,88-86,,C. Frye misses 3-pt shot from 23 ft
7:59.0,Defensive rebound by L. Patterson,,88-86,,
7:43.0,K. Korver makes 3-pt shot from 23 ft (assist by A. Horford),3,91-86,,
7:25.0,,,91-88,2,E. Payton makes 2-pt shot from 1 ft (assist by J. Smith)
7:14.0,M. Scott misses 3-pt shot from 25 ft,,91-88,,
7:13.0,,,91-88,,Defensive rebound by T. Harris
7:02.0,,,91-90,2,J. Smith makes 2-pt shot from 19 ft (assist by E. Payton)
6:37.0,Turnover by L. Patterson (lost ball; steal by T. Harris),,91-90,,
6:19.0,,,91-92,2,J. Smith makes 2-pt shot from 20 ft (assist by E. Payton)
6:18.0,Atlanta full timeout,,91-92,,
6:18.0,,,91-92,,N. Vucevic enters the game for E. Payton
6:18.0,,,91-92,,E. Fournier enters the game for J. Smith
6:18.0,K. Bazemore enters the game for A. Horford,,91-92,,
6:18.0,J. Teague enters the game for D. Schroder,,91-92,,
6:18.0,P. Millsap enters the game for L. Patterson,,91-92,,
5:54.0,K. Bazemore makes 3-pt shot from 23 ft (assist by K. Korver),3,94-92,,
5:29.0,,,94-92,,E. Fournier misses 3-pt shot from 25 ft
5:28.0,Defensive rebound by P. Millsap,,94-92,,
5:14.0,J. Teague misses 2-pt shot from 5 ft,,94-92,,
5:13.0,,,94-92,,Defensive rebound by N. Vucevic
4:56.0,,,94-94,2,C. Frye makes 2-pt shot from 6 ft (assist by T. Harris)
4:38.0,Shooting foul by N. Vucevic (drawn by J. Teague),,94-94,,
4:38.0,J. Teague misses free throw 1 of 2,,94-94,,
4:38.0,Offensive rebound by Team,,94-94,,
4:38.0,,,94-94,,E. Payton enters the game for V. Oladipo
4:38.0,J. Teague makes free throw 2 of 2,1,95-94,,
4:23.0,,,95-96,2,N. Vucevic makes 2-pt shot from 9 ft (assist by E. Payton)
4:10.0,,,95-96,,Personal foul by T. Harris (drawn by K. Bazemore)
4:05.0,J. Teague misses 2-pt shot from 19 ft (block by E. Payton),,95-96,,
4:02.0,,,95-96,,Defensive rebound by N. Vucevic
