time,Minnesota,pts.away,score,pts.home,Miami
7:40.0,,,10-11,,D. Wade misses 2-pt shot from 1 ft
7:39.0,Defensive rebound by K. Garnett,,10-11,,
7:31.0,A. Wiggins misses 2-pt shot from 9 ft,,10-11,,
7:30.0,Offensive rebound by K. Towns,,10-11,,
7:29.0,K. Towns misses 2-pt shot from 1 ft (block by H. Whiteside),,10-11,,
7:28.0,Offensive rebound by K. Towns,,10-11,,
7:27.0,K. Towns misses 2-pt shot from 1 ft,,10-11,,
7:25.0,,,10-11,,Defensive rebound by L. Deng
7:21.0,Personal foul by R. Rubio (drawn by G. Dragic),,10-11,,
7:15.0,,,10-11,,J. Winslow enters the game for C. Bosh
7:12.0,,,10-11,,D. Wade misses 2-pt shot from 1 ft (block by A. Wiggins)
7:11.0,,,10-11,,Offensive rebound by D. Wade
7:09.0,,,10-11,,Turnover by D. Wade (bad pass; steal by R. Rubio)
7:03.0,Turnover by T. Prince (lost ball; steal by J. Winslow),,10-11,,
6:54.0,,,10-13,2,H. Whiteside makes 2-pt shot from 1 ft (assist by G. Dragic)
6:54.0,Minnesota full timeout,,10-13,,
6:54.0,N. Bjelica enters the game for K. Garnett,,10-13,,
6:40.0,K. Towns misses 2-pt shot from 3 ft,,10-13,,
6:39.0,,,10-13,,Defensive rebound by H. Whiteside
6:26.0,,,10-13,,L. Deng misses 3-pt shot from 24 ft
6:25.0,Defensive rebound by T. Prince,,10-13,,
6:17.0,Shooting foul by J. Winslow (drawn by A. Wiggins),,10-13,,
6:17.0,A. Wiggins misses free throw 1 of 2,,10-13,,
6:17.0,Offensive rebound by Team,,10-13,,
6:17.0,A. Wiggins makes free throw 2 of 2,1,11-13,,
5:51.0,,,11-16,3,J. Winslow makes 3-pt shot from 23 ft (assist by L. Deng)
5:38.0,T. Prince misses 2-pt shot from 19 ft,,11-16,,
5:37.0,,,11-16,,Defensive rebound by H. Whiteside
5:29.0,,,11-16,,Shooting foul by K. Towns (drawn by G. Dragic)
5:29.0,,,11-16,,G. Dragic misses free throw 1 of 2
5:29.0,,,11-16,,Offensive rebound by Team
5:29.0,K. Martin enters the game for T. Prince,,11-16,,
5:29.0,G. Dieng enters the game for K. Towns,,11-16,,
5:29.0,,,11-17,1,G. Dragic makes free throw 2 of 2
5:13.0,A. Wiggins misses 2-pt shot from 19 ft,,11-17,,
5:12.0,,,11-17,,Defensive rebound by J. Winslow
4:57.0,,,11-17,,Shooting foul by N. Bjelica (drawn by J. Winslow)
4:57.0,,,11-18,1,J. Winslow makes free throw 1 of 2
4:57.0,Z. LaVine enters the game for R. Rubio,,11-18,,
4:57.0,,,11-19,1,J. Winslow makes free throw 2 of 2
4:39.0,K. Martin misses 3-pt shot from 25 ft,,11-19,,
4:38.0,Offensive rebound by G. Dieng,,11-19,,
4:35.0,G. Dieng misses 2-pt shot from 4 ft (block by H. Whiteside),,11-19,,
4:35.0,Offensive rebound by Team,,11-19,,
4:30.0,N. Bjelica misses 2-pt shot from 3 ft (block by H. Whiteside),,11-19,,
4:30.0,Offensive rebound by Team,,11-19,,
4:24.0,Offensive foul by G. Dieng,,11-19,,
4:24.0,Turnover by G. Dieng (offensive foul),,11-19,,
4:13.0,,,11-21,2,L. Deng makes 2-pt shot from 2 ft (assist by D. Wade)
4:01.0,A. Wiggins misses 2-pt shot from 18 ft,,11-21,,
3:59.0,Offensive rebound by A. Wiggins,,11-21,,
3:55.0,A. Wiggins misses 2-pt shot from 5 ft (block by H. Whiteside),,11-21,,
3:54.0,,,11-21,,Defensive rebound by H. Whiteside
3:46.0,,,11-21,,G. Dragic misses 3-pt shot from 25 ft
3:45.0,Defensive rebound by N. Bjelica,,11-21,,
3:34.0,A. Wiggins makes 2-pt shot from 7 ft,2,13-21,,
3:25.0,,,13-21,,Miami full timeout
3:25.0,,,13-21,,T. Johnson enters the game for D. Wade
3:10.0,,,13-21,,H. Whiteside misses 2-pt shot from 10 ft
3:07.0,Defensive rebound by Z. LaVine,,13-21,,
2:53.0,G. Dieng misses 2-pt shot from 15 ft,,13-21,,
2:52.0,,,13-21,,Defensive rebound by H. Whiteside
2:41.0,,,13-21,,J. Winslow misses 3-pt shot from 23 ft
2:40.0,Defensive rebound by A. Wiggins,,13-21,,
2:26.0,,,13-21,,Violation by H. Whiteside (def goaltending)
2:26.0,K. Martin makes 2-pt shot from 8 ft,2,15-21,,
2:20.0,,,15-21,,Turnover by T. Johnson (lost ball; steal by A. Wiggins)
2:17.0,Turnover by A. Wiggins (lost ball; steal by G. Dragic),,15-21,,
2:06.0,,,15-23,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
1:53.0,K. Martin misses 2-pt shot from 19 ft,,15-23,,
1:51.0,,,15-23,,Defensive rebound by J. Winslow
1:46.0,,,15-25,2,G. Dragic makes 2-pt shot from 1 ft
1:41.0,Minnesota full timeout,,15-25,,
1:41.0,,,15-25,,C. Bosh enters the game for L. Deng
1:41.0,,,15-25,,J. McRoberts enters the game for H. Whiteside
1:41.0,,,15-25,,G. Green enters the game for G. Dragic
1:41.0,S. Muhammad enters the game for A. Wiggins,,15-25,,
1:26.0,S. Muhammad misses 2-pt shot from 10 ft,,15-25,,
1:25.0,,,15-25,,Defensive rebound by J. Winslow
1:13.0,,,15-25,,Turnover by C. Bosh (step out of bounds)
1:00.0,N. Bjelica misses 2-pt shot from 4 ft,,15-25,,
1:00.0,,,15-25,,Defensive rebound by J. McRoberts
0:52.0,,,15-25,,T. Johnson misses 2-pt shot from 3 ft (block by N. Bjelica)
0:50.0,,,15-25,,Offensive rebound by T. Johnson
0:45.0,,,15-25,,G. Green misses 3-pt shot from 24 ft
0:44.0,Defensive rebound by K. Martin,,15-25,,
0:43.0,K. Martin makes 2-pt shot from 17 ft,2,17-25,,
0:27.0,,,17-25,,T. Johnson misses 3-pt shot from 23 ft
0:27.0,Defensive rebound by Team,,17-25,,
0:27.0,,,17-25,,Loose ball foul by C. Bosh (drawn by N. Bjelica)
0:07.0,S. Muhammad makes 3-pt shot from 25 ft (assist by Z. LaVine),3,20-25,,
0:01.0,,,20-25,,T. Johnson misses 2-pt shot from 21 ft
0:00.0,Defensive rebound by G. Dieng,,20-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,N. Bjelica misses 3-pt shot from 24 ft,,20-25,,
11:48.0,,,20-25,,Defensive rebound by Team
11:34.0,,,20-25,,Turnover by J. Winslow (lost ball; steal by K. Martin)
11:26.0,G. Dieng misses 2-pt shot from 3 ft,,20-25,,
11:25.0,,,20-25,,Defensive rebound by J. Winslow
11:18.0,,,20-25,,G. Green misses 3-pt shot from 22 ft
11:17.0,Defensive rebound by G. Dieng,,20-25,,
11:02.0,N. Bjelica misses 3-pt shot from 24 ft,,20-25,,
11:01.0,,,20-25,,Defensive rebound by Team
10:36.0,,,20-25,,C. Bosh misses 2-pt shot from 12 ft
10:35.0,Defensive rebound by K. Martin,,20-25,,
10:27.0,K. Martin misses 2-pt shot from 8 ft,,20-25,,
10:26.0,Offensive rebound by K. Martin,,20-25,,
10:22.0,S. Muhammad misses 3-pt shot from 22 ft,,20-25,,
10:21.0,,,20-25,,Defensive rebound by C. Bosh
10:14.0,,,20-25,,G. Green misses 2-pt shot at rim (block by N. Bjelica)
10:13.0,,,20-25,,Offensive rebound by Team
10:07.0,,,20-27,2,C. Bosh makes 2-pt shot from 18 ft (assist by J. McRoberts)
9:51.0,S. Muhammad makes 2-pt shot from 3 ft,2,22-27,,
9:39.0,,,22-27,,J. McRoberts misses 2-pt shot from 4 ft
9:37.0,Defensive rebound by N. Bjelica,,22-27,,
9:34.0,K. Martin misses 2-pt shot at rim,,22-27,,
9:32.0,,,22-27,,Defensive rebound by G. Green
9:31.0,,,22-27,,Shooting foul by N. Bjelica (drawn by J. Winslow)
9:31.0,,,22-27,,J. Winslow misses free throw 1 of 2
9:31.0,,,22-27,,Offensive rebound by Team
9:31.0,,,22-27,,J. Winslow misses free throw 2 of 2
9:30.0,Defensive rebound by K. Martin,,22-27,,
9:15.0,Shooting foul by G. Green (drawn by S. Muhammad),,22-27,,
9:15.0,S. Muhammad makes free throw 1 of 2,1,23-27,,
9:15.0,A. Payne enters the game for N. Bjelica,,23-27,,
9:15.0,S. Muhammad makes free throw 2 of 2,1,24-27,,
8:59.0,,,24-27,,Turnover by J. Winslow (lost ball; steal by G. Dieng)
8:50.0,A. Payne makes 2-pt shot from 20 ft (assist by S. Muhammad),2,26-27,,
8:36.0,,,26-27,,T. Johnson misses 2-pt shot from 6 ft
8:35.0,Defensive rebound by G. Dieng,,26-27,,
8:26.0,Z. LaVine makes 2-pt shot from 19 ft,2,28-27,,
8:20.0,,,28-27,,Miami full timeout
8:02.0,,,28-27,,T. Johnson misses 3-pt shot from 23 ft
8:01.0,,,28-27,,Offensive rebound by C. Bosh
8:00.0,,,28-29,2,C. Bosh makes 2-pt shot at rim
7:44.0,,,28-29,,Personal foul by J. McRoberts (drawn by A. Payne)
7:44.0,,,28-29,,D. Wade enters the game for G. Green
7:33.0,K. Martin misses 2-pt shot from 18 ft,,28-29,,
7:32.0,,,28-29,,Defensive rebound by T. Johnson
7:25.0,,,28-29,,C. Bosh misses 3-pt shot from 23 ft
7:24.0,Defensive rebound by A. Payne,,28-29,,
7:17.0,Shooting foul by T. Johnson (drawn by Z. LaVine),,28-29,,
7:17.0,Z. LaVine makes free throw 1 of 2,1,29-29,,
7:17.0,,,29-29,,G. Dragic enters the game for T. Johnson
7:17.0,Z. LaVine misses free throw 2 of 2,,29-29,,
7:16.0,,,29-29,,Defensive rebound by J. McRoberts
7:04.0,,,29-29,,D. Wade misses 2-pt shot from 17 ft
7:03.0,Defensive rebound by A. Payne,,29-29,,
6:48.0,S. Muhammad makes 2-pt shot from 3 ft,2,31-29,,
6:38.0,,,31-29,,H. Whiteside enters the game for J. McRoberts
6:24.0,,,31-31,2,D. Wade makes 2-pt shot from 6 ft
6:15.0,Z. LaVine misses 2-pt shot from 2 ft,,31-31,,
6:14.0,Offensive rebound by G. Dieng,,31-31,,
6:12.0,G. Dieng makes 2-pt shot at rim,2,33-31,,
5:53.0,,,33-31,,Turnover by D. Wade (lost ball; steal by A. Payne)
5:53.0,,,33-31,,Personal foul by G. Dragic (drawn by Z. LaVine)
5:53.0,Official timeout,,33-31,,
5:53.0,,,33-31,,L. Deng enters the game for C. Bosh
5:53.0,R. Rubio enters the game for Z. LaVine,,33-31,,
5:53.0,A. Wiggins enters the game for S. Muhammad,,33-31,,
5:41.0,K. Martin misses 3-pt shot from 23 ft,,33-31,,
5:40.0,,,33-31,,Defensive rebound by H. Whiteside
5:40.0,Personal foul by R. Rubio (drawn by H. Whiteside),,33-31,,
5:15.0,,,33-33,2,H. Whiteside makes 2-pt shot from 5 ft (assist by D. Wade)
4:55.0,G. Dieng misses 2-pt shot from 8 ft (block by H. Whiteside),,33-33,,
4:52.0,,,33-33,,Defensive rebound by J. Winslow
4:48.0,,,33-33,,L. Deng misses 3-pt shot from 25 ft
4:47.0,Defensive rebound by G. Dieng,,33-33,,
4:40.0,,,33-33,,Personal foul by J. Winslow (drawn by R. Rubio)
4:40.0,R. Rubio misses free throw 1 of 2,,33-33,,
4:40.0,Offensive rebound by Team,,33-33,,
4:40.0,S. Muhammad enters the game for K. Martin,,33-33,,
4:40.0,K. Towns enters the game for G. Dieng,,33-33,,
4:40.0,R. Rubio misses free throw 2 of 2,,33-33,,
4:39.0,,,33-33,,Defensive rebound by J. Winslow
4:34.0,,,33-35,2,L. Deng makes 2-pt shot from 2 ft (assist by G. Dragic)
4:34.0,,,33-35,,Shooting foul by A. Payne (drawn by L. Deng)
4:34.0,,,33-35,,L. Deng misses free throw 1 of 1
4:33.0,Defensive rebound by K. Towns,,33-35,,
4:18.0,A. Wiggins misses 2-pt shot from 1 ft,,33-35,,
4:16.0,Offensive rebound by A. Wiggins,,33-35,,
4:08.0,A. Wiggins misses 2-pt shot from 7 ft,,33-35,,
4:06.0,,,33-35,,Defensive rebound by H. Whiteside
4:03.0,,,33-37,2,D. Wade makes 2-pt shot at rim (assist by G. Dragic)
3:59.0,,,33-37,,Violation by H. Whiteside (kicked ball)
3:53.0,A. Wiggins makes 2-pt shot from 22 ft (assist by R. Rubio),2,35-37,,
3:38.0,,,35-39,2,G. Dragic makes 2-pt shot from 1 ft
3:21.0,A. Payne makes 2-pt shot from 2 ft,2,37-39,,
3:11.0,,,37-41,2,D. Wade makes 2-pt shot from 1 ft
2:55.0,A. Payne misses 2-pt shot from 7 ft (block by L. Deng),,37-41,,
2:54.0,Offensive rebound by Team,,37-41,,
2:54.0,Minnesota full timeout,,37-41,,
2:54.0,,,37-41,,Technical foul by L. Deng
2:54.0,Technical foul by A. Payne,,37-41,,
2:47.0,,,37-41,,Personal foul by J. Winslow (drawn by A. Wiggins)
2:47.0,A. Wiggins makes free throw 1 of 2,1,38-41,,
2:47.0,,,38-41,,T. Johnson enters the game for J. Winslow
2:47.0,Z. LaVine enters the game for S. Muhammad,,38-41,,
2:47.0,A. Wiggins makes free throw 2 of 2,1,39-41,,
2:32.0,,,39-41,,L. Deng misses 3-pt shot from 22 ft
2:31.0,,,39-41,,Offensive rebound by H. Whiteside
2:27.0,,,39-41,,H. Whiteside misses 2-pt shot at rim
2:25.0,,,39-41,,Offensive rebound by H. Whiteside
2:22.0,,,39-41,,H. Whiteside misses 2-pt shot at rim
2:21.0,Defensive rebound by R. Rubio,,39-41,,
2:09.0,A. Payne misses 2-pt shot from 21 ft,,39-41,,
2:08.0,,,39-41,,Defensive rebound by L. Deng
1:57.0,,,39-43,2,H. Whiteside makes 2-pt shot from 5 ft (assist by D. Wade)
1:57.0,,,39-43,,Shooting foul by A. Payne (drawn by H. Whiteside)
1:57.0,,,39-43,,H. Whiteside misses free throw 1 of 1
1:56.0,Defensive rebound by A. Payne,,39-43,,
1:45.0,A. Wiggins makes 2-pt shot from 9 ft,2,41-43,,
1:30.0,,,41-45,2,H. Whiteside makes 2-pt shot from 1 ft
1:11.0,Z. LaVine makes 2-pt shot from 17 ft,2,43-45,,
0:56.0,,,43-48,3,G. Dragic makes 3-pt shot from 23 ft
0:43.0,Z. LaVine misses 2-pt shot from 20 ft,,43-48,,
0:42.0,,,43-48,,Defensive rebound by D. Wade
0:41.0,,,43-50,2,L. Deng makes 2-pt shot at rim (assist by D. Wade)
0:32.0,,,43-50,,Personal foul by G. Dragic (drawn by R. Rubio)
0:32.0,R. Rubio makes free throw 1 of 2,1,44-50,,
0:32.0,G. Dieng enters the game for K. Towns,,44-50,,
0:32.0,,,44-50,,C. Bosh enters the game for G. Dragic
0:32.0,R. Rubio makes free throw 2 of 2,1,45-50,,
0:13.0,,,45-50,,Turnover by H. Whiteside (3 sec)
0:13.0,K. Martin enters the game for A. Payne,,45-50,,
0:03.0,R. Rubio misses 3-pt shot from 23 ft,,45-50,,
0:02.0,Offensive rebound by R. Rubio,,45-50,,
0:00.0,R. Rubio misses 3-pt shot from 25 ft,,45-50,,
0:00.0,Offensive rebound by Team,,45-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,K. Towns makes 2-pt shot from 17 ft (assist by K. Garnett),2,47-50,,
11:20.0,,,47-50,,G. Dragic misses 3-pt shot from 23 ft
11:19.0,Defensive rebound by K. Garnett,,47-50,,
11:07.0,A. Wiggins misses 2-pt shot from 21 ft,,47-50,,
11:06.0,,,47-50,,Defensive rebound by L. Deng
10:51.0,,,47-50,,C. Bosh misses 3-pt shot from 23 ft
10:50.0,,,47-50,,Offensive rebound by H. Whiteside
10:45.0,,,47-50,,Turnover by D. Wade (bad pass; steal by A. Wiggins)
10:37.0,A. Wiggins misses 2-pt shot at rim,,47-50,,
10:36.0,Offensive rebound by K. Towns,,47-50,,
10:33.0,K. Towns makes 2-pt shot from 4 ft,2,49-50,,
10:12.0,,,49-50,,D. Wade misses 2-pt shot from 17 ft
10:11.0,Defensive rebound by R. Rubio,,49-50,,
10:03.0,Offensive charge foul by K. Towns,,49-50,,
10:03.0,Turnover by K. Towns (offensive foul),,49-50,,
9:48.0,,,49-50,,C. Bosh misses 3-pt shot from 23 ft
9:47.0,Defensive rebound by K. Towns,,49-50,,
9:34.0,Turnover by K. Towns (bad pass),,49-50,,
9:29.0,Personal foul by K. Garnett (drawn by G. Dragic),,49-50,,
9:18.0,,,49-52,2,L. Deng makes 2-pt shot from 20 ft (assist by D. Wade)
9:05.0,K. Towns misses 2-pt shot from 20 ft,,49-52,,
9:04.0,Offensive rebound by T. Prince,,49-52,,
9:00.0,K. Towns makes 2-pt shot from 15 ft (assist by T. Prince),2,51-52,,
8:43.0,,,51-52,,G. Dragic misses 2-pt shot from 1 ft (block by K. Towns)
8:41.0,Defensive rebound by K. Towns,,51-52,,
8:36.0,K. Garnett makes 2-pt shot from 6 ft (assist by R. Rubio),2,53-52,,
8:20.0,,,53-52,,Turnover by H. Whiteside (lost ball; steal by R. Rubio)
8:15.0,Shooting foul by H. Whiteside (drawn by K. Towns),,53-52,,
8:15.0,K. Towns makes free throw 1 of 2,1,54-52,,
8:15.0,K. Towns makes free throw 2 of 2,1,55-52,,
8:02.0,,,55-52,,Shooting foul by T. Prince (drawn by L. Deng)
8:02.0,,,55-53,1,L. Deng makes free throw 1 of 2
8:02.0,,,55-53,,L. Deng misses free throw 2 of 2
8:01.0,Defensive rebound by K. Towns,,55-53,,
7:47.0,R. Rubio misses 2-pt shot from 11 ft,,55-53,,
7:46.0,,,55-53,,Defensive rebound by C. Bosh
7:35.0,,,55-53,,Turnover by D. Wade (bad pass; steal by K. Towns)
7:28.0,R. Rubio misses 2-pt shot from 2 ft (block by H. Whiteside),,55-53,,
7:25.0,,,55-53,,Defensive rebound by G. Dragic
7:24.0,,,55-53,,Turnover by G. Dragic (bad pass)
7:06.0,K. Towns misses 2-pt shot from 8 ft (block by H. Whiteside),,55-53,,
7:05.0,Offensive rebound by Team,,55-53,,
7:00.0,K. Garnett misses 2-pt shot from 1 ft (block by H. Whiteside),,55-53,,
6:58.0,,,55-53,,Defensive rebound by G. Dragic
6:51.0,,,55-53,,Shooting foul by T. Prince (drawn by H. Whiteside)
6:51.0,,,55-54,1,H. Whiteside makes free throw 1 of 2
6:51.0,,,55-54,,J. Winslow enters the game for C. Bosh
6:51.0,,,55-54,,H. Whiteside misses free throw 2 of 2
6:50.0,Defensive rebound by K. Garnett,,55-54,,
6:46.0,Minnesota full timeout,,55-54,,
6:46.0,N. Bjelica enters the game for K. Garnett,,55-54,,
6:37.0,A. Wiggins misses 2-pt shot from 18 ft,,55-54,,
6:36.0,Offensive rebound by K. Towns,,55-54,,
6:35.0,K. Towns makes 2-pt shot at rim,2,57-54,,
6:35.0,Violation by Team (delay of game),,57-54,,
6:18.0,,,57-54,,G. Dragic misses 2-pt shot at rim
6:17.0,Defensive rebound by K. Towns,,57-54,,
6:12.0,Offensive foul by K. Towns,,57-54,,
6:12.0,Turnover by K. Towns (offensive foul),,57-54,,
6:12.0,G. Dieng enters the game for K. Towns,,57-54,,
6:01.0,,,57-54,,Shooting foul by N. Bjelica (drawn by J. Winslow)
6:01.0,,,57-55,1,J. Winslow makes free throw 1 of 2
6:01.0,,,57-55,,J. Winslow misses free throw 2 of 2
6:00.0,Defensive rebound by T. Prince,,57-55,,
5:46.0,Shooting foul by D. Wade (drawn by G. Dieng),,57-55,,
5:46.0,G. Dieng misses free throw 1 of 2,,57-55,,
5:46.0,Offensive rebound by Team,,57-55,,
5:46.0,K. Martin enters the game for T. Prince,,57-55,,
5:46.0,G. Dieng makes free throw 2 of 2,1,58-55,,
5:29.0,,,58-55,,G. Dragic misses 2-pt shot from 10 ft
5:28.0,Defensive rebound by N. Bjelica,,58-55,,
5:15.0,A. Wiggins misses 2-pt shot at rim,,58-55,,
5:14.0,,,58-55,,Defensive rebound by J. Winslow
5:07.0,,,58-55,,H. Whiteside misses 2-pt shot from 1 ft (block by R. Rubio)
5:07.0,,,58-55,,Offensive rebound by Team
4:55.0,,,58-57,2,D. Wade makes 2-pt shot from 16 ft
4:37.0,G. Dieng misses 2-pt shot from 4 ft (block by H. Whiteside),,58-57,,
4:36.0,,,58-57,,Defensive rebound by J. Winslow
4:24.0,,,58-60,3,L. Deng makes 3-pt shot from 23 ft (assist by G. Dragic)
4:07.0,Turnover by R. Rubio (bad pass; steal by D. Wade),,58-60,,
4:00.0,,,58-60,,Turnover by G. Dragic (lost ball; steal by A. Wiggins)
3:52.0,K. Martin misses 3-pt shot from 24 ft,,58-60,,
3:51.0,,,58-60,,Defensive rebound by J. Winslow
3:51.0,Personal foul by K. Martin (drawn by J. Winslow),,58-60,,
3:51.0,,,58-61,1,J. Winslow makes free throw 1 of 2
3:51.0,,,58-61,,T. Johnson enters the game for D. Wade
3:51.0,,,58-62,1,J. Winslow makes free throw 2 of 2
3:40.0,Shooting foul by T. Johnson (drawn by K. Martin),,58-62,,
3:40.0,K. Martin makes free throw 1 of 2,1,59-62,,
3:40.0,K. Martin makes free throw 2 of 2,1,60-62,,
3:27.0,,,60-62,,Turnover by J. Winslow (step out of bounds)
3:27.0,S. Muhammad enters the game for A. Wiggins,,60-62,,
3:15.0,K. Martin misses 2-pt shot from 17 ft,,60-62,,
3:13.0,,,60-62,,Defensive rebound by H. Whiteside
3:02.0,,,60-64,2,H. Whiteside makes 2-pt shot from 5 ft (assist by T. Johnson)
2:39.0,N. Bjelica misses 3-pt shot from 23 ft,,60-64,,
2:38.0,,,60-64,,Defensive rebound by Team
2:38.0,,,60-64,,Miami full timeout
2:38.0,Z. LaVine enters the game for R. Rubio,,60-64,,
2:22.0,,,60-64,,Turnover by J. Winslow (bad pass; steal by G. Dieng)
2:05.0,G. Dieng misses 2-pt shot from 20 ft (block by H. Whiteside),,60-64,,
2:03.0,,,60-64,,Defensive rebound by L. Deng
1:56.0,,,60-67,3,L. Deng makes 3-pt shot from 25 ft (assist by G. Dragic)
1:40.0,N. Bjelica misses 3-pt shot from 26 ft,,60-67,,
1:39.0,,,60-67,,Defensive rebound by H. Whiteside
1:30.0,,,60-67,,L. Deng misses 3-pt shot from 22 ft
1:29.0,Defensive rebound by N. Bjelica,,60-67,,
1:18.0,N. Bjelica misses 3-pt shot from 25 ft,,60-67,,
1:17.0,,,60-67,,Defensive rebound by H. Whiteside
1:17.0,Personal foul by G. Dieng (drawn by H. Whiteside),,60-67,,
1:17.0,,,60-67,,H. Whiteside misses free throw 1 of 2
1:17.0,,,60-67,,Offensive rebound by Team
1:17.0,,,60-67,,C. Bosh enters the game for L. Deng
1:17.0,,,60-67,,G. Green enters the game for T. Johnson
1:17.0,A. Payne enters the game for N. Bjelica,,60-67,,
1:17.0,,,60-67,,H. Whiteside misses free throw 2 of 2
1:16.0,,,60-67,,Offensive rebound by J. Winslow
0:55.0,,,60-67,,C. Bosh misses 2-pt shot from 16 ft
0:54.0,Defensive rebound by Z. LaVine,,60-67,,
0:33.0,S. Muhammad makes 2-pt shot from 12 ft,2,62-67,,
0:11.0,,,62-69,2,H. Whiteside makes 2-pt shot from 2 ft (assist by J. Winslow)
0:02.0,Z. LaVine misses 3-pt shot from 25 ft,,62-69,,
0:00.0,,,62-69,,Defensive rebound by G. Green
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,62-71,2,C. Bosh makes 2-pt shot from 11 ft (assist by G. Green)
11:21.0,S. Muhammad makes 2-pt shot from 1 ft (assist by G. Dieng),2,64-71,,
11:08.0,Personal foul by G. Dieng (drawn by C. Bosh),,64-71,,
11:03.0,Personal foul by G. Dieng (drawn by C. Bosh),,64-71,,
10:54.0,,,64-71,,Turnover by J. McRoberts (lost ball)
10:42.0,G. Dieng makes 2-pt shot at rim (assist by Z. LaVine),2,66-71,,
10:30.0,,,66-73,2,T. Johnson makes 2-pt shot from 1 ft
10:30.0,,,66-73,,Shooting foul by A. Payne (drawn by T. Johnson)
10:30.0,,,66-74,1,T. Johnson makes free throw 1 of 1
10:05.0,K. Martin misses 3-pt shot from 25 ft,,66-74,,
10:04.0,,,66-74,,Defensive rebound by G. Green
9:58.0,,,66-74,,Turnover by J. Winslow (step out of bounds)
9:47.0,S. Muhammad makes 3-pt shot from 23 ft (assist by Z. LaVine),3,69-74,,
9:35.0,,,69-74,,Offensive foul by J. McRoberts
9:35.0,,,69-74,,Turnover by J. McRoberts (offensive foul)
9:35.0,K. Towns enters the game for G. Dieng,,69-74,,
9:23.0,A. Payne misses 3-pt shot from 24 ft,,69-74,,
9:22.0,,,69-74,,Defensive rebound by J. McRoberts
9:15.0,Personal foul by A. Payne (drawn by J. McRoberts),,69-74,,
9:06.0,,,69-74,,Turnover by J. Winslow (bad pass; steal by K. Towns)
9:04.0,Shooting foul by G. Green (drawn by K. Martin),,69-74,,
9:04.0,K. Martin makes free throw 1 of 2,1,70-74,,
9:04.0,K. Martin makes free throw 2 of 2,1,71-74,,
8:56.0,,,71-74,,Offensive foul by J. McRoberts
8:56.0,,,71-74,,Turnover by J. McRoberts (offensive foul)
8:56.0,Official timeout,,71-74,,
8:29.0,Z. LaVine misses 3-pt shot from 27 ft,,71-74,,
8:28.0,,,71-74,,Defensive rebound by J. Winslow
8:14.0,,,71-74,,Shooting foul by S. Muhammad (drawn by J. Winslow)
8:14.0,,,71-74,,J. Winslow misses free throw 1 of 2
8:14.0,,,71-74,,Offensive rebound by Team
8:14.0,A. Wiggins enters the game for K. Martin,,71-74,,
