time,New York,pts.away,score,pts.home,Utah
7:20.0,,,4-13,,G. Hayward misses 2-pt shot from 18 ft
7:20.0,,,4-13,,Offensive rebound by Team
7:15.0,,,4-13,,Shooting foul by R. Lopez (drawn by G. Hayward)
7:15.0,,,4-14,1,G. Hayward makes free throw 1 of 2
7:15.0,New York full timeout,,4-14,,
7:15.0,L. Thomas enters the game for K. Porzingis,,4-14,,
7:15.0,,,4-15,1,G. Hayward makes free throw 2 of 2
7:00.0,A. Afflalo misses 2-pt shot from 22 ft,,4-15,,
6:59.0,,,4-15,,Defensive rebound by R. Hood
6:47.0,,,4-15,,Shooting foul by R. Lopez (drawn by D. Favors)
6:47.0,,,4-17,2,D. Favors makes 2-pt shot at rim (assist by R. Hood)
6:47.0,K. Seraphin enters the game for R. Lopez,,4-17,,
6:47.0,,,4-18,1,D. Favors makes free throw 1 of 1
6:33.0,J. Calderon makes 2-pt shot from 15 ft (assist by K. Seraphin),2,6-18,,
6:16.0,,,6-18,,D. Favors misses 2-pt shot from 1 ft
6:15.0,,,6-18,,Offensive rebound by D. Favors
6:15.0,,,6-18,,D. Favors misses 2-pt shot from 1 ft
6:14.0,Defensive rebound by K. Seraphin,,6-18,,
6:07.0,J. Calderon makes 2-pt shot from 17 ft,2,8-18,,
5:55.0,,,8-20,2,T. Lyles makes 2-pt shot from 20 ft (assist by R. Neto)
5:37.0,J. Calderon misses 3-pt shot from 24 ft,,8-20,,
5:36.0,,,8-20,,Defensive rebound by R. Hood
5:25.0,,,8-23,3,G. Hayward makes 3-pt shot from 24 ft (assist by R. Neto)
5:13.0,C. Anthony misses 2-pt shot from 21 ft,,8-23,,
5:12.0,,,8-23,,Defensive rebound by D. Favors
4:51.0,,,8-23,,R. Neto misses 3-pt shot from 24 ft
4:49.0,Defensive rebound by C. Anthony,,8-23,,
4:38.0,L. Thomas misses 2-pt shot from 18 ft,,8-23,,
4:37.0,,,8-23,,Defensive rebound by T. Lyles
4:27.0,,,8-23,,G. Hayward misses 2-pt shot from 3 ft
4:27.0,Defensive rebound by K. Seraphin,,8-23,,
4:16.0,Shooting foul by G. Hayward (drawn by C. Anthony),,8-23,,
4:16.0,C. Anthony makes free throw 1 of 2,1,9-23,,
4:16.0,,,9-23,,A. Burks enters the game for R. Hood
4:16.0,,,9-23,,T. Booker enters the game for T. Lyles
4:16.0,L. Galloway enters the game for A. Afflalo,,9-23,,
4:16.0,C. Anthony misses free throw 2 of 2,,9-23,,
4:15.0,Offensive rebound by K. Seraphin,,9-23,,
4:10.0,Turnover by C. Anthony (lost ball; steal by G. Hayward),,9-23,,
4:04.0,,,9-25,2,G. Hayward makes 2-pt shot from 2 ft (assist by R. Neto)
3:50.0,Turnover by K. Seraphin (lost ball; steal by A. Burks),,9-25,,
3:48.0,Personal foul by C. Anthony (drawn by G. Hayward),,9-25,,
3:48.0,,,9-25,,J. Withey enters the game for D. Favors
3:48.0,,,9-25,,T. Burke enters the game for R. Neto
3:48.0,J. Grant enters the game for J. Calderon,,9-25,,
3:24.0,,,9-25,,T. Burke misses 2-pt shot from 4 ft
3:24.0,,,9-25,,Offensive rebound by T. Booker
3:21.0,,,9-25,,T. Booker misses 2-pt shot from 1 ft
3:19.0,Defensive rebound by C. Anthony,,9-25,,
3:12.0,C. Anthony misses 3-pt shot from 24 ft,,9-25,,
3:12.0,,,9-25,,Defensive rebound by G. Hayward
3:03.0,,,9-27,2,J. Withey makes 2-pt shot at rim (assist by G. Hayward)
2:44.0,L. Galloway misses 2-pt shot from 15 ft,,9-27,,
2:44.0,,,9-27,,Defensive rebound by T. Booker
2:36.0,,,9-27,,A. Burks misses 2-pt shot from 22 ft
2:35.0,Defensive rebound by L. Thomas,,9-27,,
2:26.0,,,9-27,,Personal foul by A. Burks (drawn by C. Anthony)
2:26.0,,,9-27,,Utah full timeout
2:26.0,D. Williams enters the game for C. Anthony,,9-27,,
2:26.0,,,9-27,,E. Millsap enters the game for G. Hayward
2:15.0,D. Williams misses 2-pt shot from 13 ft,,9-27,,
2:15.0,,,9-27,,Defensive rebound by E. Millsap
1:54.0,,,9-27,,T. Booker misses 2-pt shot from 4 ft
1:54.0,Defensive rebound by L. Thomas,,9-27,,
1:46.0,L. Thomas misses 2-pt shot from 16 ft,,9-27,,
1:46.0,,,9-27,,Defensive rebound by T. Booker
1:34.0,,,9-27,,T. Burke misses 2-pt shot from 21 ft
1:34.0,Defensive rebound by K. Seraphin,,9-27,,
1:15.0,L. Thomas makes 2-pt shot from 2 ft (assist by D. Williams),2,11-27,,
1:09.0,,,11-27,,Utah full timeout
0:51.0,,,11-27,,A. Burks misses 2-pt shot from 2 ft
0:50.0,,,11-27,,Offensive rebound by Team
0:50.0,,,11-27,,Turnover by Team (shot clock)
0:38.0,K. Seraphin misses 2-pt shot from 3 ft (block by J. Withey),,11-27,,
0:36.0,,,11-27,,Defensive rebound by J. Withey
0:32.0,,,11-29,2,T. Burke makes 2-pt shot from 2 ft
0:22.0,D. Williams misses 2-pt shot from 2 ft,,11-29,,
0:21.0,,,11-29,,Defensive rebound by J. Withey
0:00.0,,,11-29,,E. Millsap misses 3-pt shot from 24 ft
0:00.0,,,11-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,11-32,3,T. Burke makes 3-pt shot from 25 ft (assist by T. Booker)
11:20.0,J. Grant misses 3-pt shot from 23 ft,,11-32,,
11:19.0,,,11-32,,Defensive rebound by E. Millsap
10:56.0,,,11-34,2,E. Millsap makes 2-pt shot from 2 ft (assist by A. Burks)
10:34.0,,,11-34,,Personal foul by T. Booker (drawn by K. Porzingis)
10:31.0,,,11-34,,Personal foul by T. Burke (drawn by J. Grant)
10:21.0,L. Galloway misses 2-pt shot from 22 ft,,11-34,,
10:20.0,,,11-34,,Defensive rebound by Team
10:02.0,,,11-36,2,T. Burke makes 2-pt shot from 8 ft
9:51.0,Turnover by K. Porzingis (lost ball; steal by E. Millsap),,11-36,,
9:38.0,,,11-38,2,J. Withey makes 2-pt shot from 2 ft (assist by T. Burke)
9:37.0,New York full timeout,,11-38,,
9:37.0,A. Afflalo enters the game for D. Williams,,11-38,,
9:37.0,S. Vujacic enters the game for L. Galloway,,11-38,,
9:37.0,C. Anthony enters the game for J. Grant,,11-38,,
9:22.0,K. Porzingis makes 2-pt shot from 2 ft (assist by A. Afflalo),2,13-38,,
9:03.0,,,13-38,,T. Burke misses 2-pt shot from 19 ft
9:02.0,Defensive rebound by L. Thomas,,13-38,,
8:49.0,L. Thomas makes 2-pt shot from 3 ft,2,15-38,,
8:22.0,,,15-40,2,T. Burke makes 2-pt shot from 2 ft
8:04.0,L. Thomas misses 3-pt shot from 22 ft,,15-40,,
8:04.0,,,15-40,,Defensive rebound by E. Millsap
7:53.0,,,15-42,2,T. Booker makes 2-pt shot at rim (assist by T. Burke)
7:46.0,Shooting foul by J. Withey (drawn by L. Thomas),,15-42,,
7:46.0,L. Thomas makes free throw 1 of 2,1,16-42,,
7:46.0,R. Lopez enters the game for K. Porzingis,,16-42,,
7:46.0,,,16-42,,R. Hood enters the game for A. Burks
7:46.0,,,16-42,,T. Lyles enters the game for T. Booker
7:46.0,,,16-42,,D. Favors enters the game for J. Withey
7:46.0,L. Thomas misses free throw 2 of 2,,16-42,,
7:46.0,,,16-42,,Defensive rebound by T. Lyles
7:24.0,,,16-42,,E. Millsap misses 2-pt shot from 2 ft
7:23.0,Defensive rebound by A. Afflalo,,16-42,,
7:11.0,Shooting foul by E. Millsap (drawn by R. Lopez),,16-42,,
7:11.0,R. Lopez misses free throw 1 of 2,,16-42,,
7:11.0,Offensive rebound by Team,,16-42,,
7:11.0,,,16-42,,G. Hayward enters the game for E. Millsap
7:11.0,J. Calderon enters the game for L. Thomas,,16-42,,
7:11.0,R. Lopez misses free throw 2 of 2,,16-42,,
7:10.0,,,16-42,,Defensive rebound by D. Favors
6:50.0,,,16-44,2,R. Hood makes 2-pt shot from 12 ft
6:33.0,C. Anthony makes 2-pt shot from 8 ft,2,18-44,,
6:33.0,Shooting foul by T. Lyles (drawn by C. Anthony),,18-44,,
6:33.0,,,18-44,,R. Neto enters the game for T. Burke
6:33.0,C. Anthony misses free throw 1 of 1,,18-44,,
6:33.0,,,18-44,,Defensive rebound by T. Lyles
6:11.0,,,18-46,2,D. Favors makes 2-pt shot from 7 ft
5:59.0,C. Anthony misses 2-pt shot from 17 ft,,18-46,,
5:59.0,,,18-46,,Defensive rebound by R. Neto
5:46.0,Personal foul by S. Vujacic (drawn by R. Hood),,18-46,,
5:46.0,,,18-46,,Utah full timeout
5:39.0,,,18-49,3,G. Hayward makes 3-pt shot from 24 ft (assist by R. Hood)
5:18.0,Turnover by C. Anthony (traveling),,18-49,,
5:00.0,,,18-49,,D. Favors misses 2-pt shot from 10 ft
4:59.0,Defensive rebound by C. Anthony,,18-49,,
4:50.0,J. Calderon makes 3-pt shot from 24 ft (assist by C. Anthony),3,21-49,,
4:29.0,,,21-51,2,D. Favors makes 2-pt shot from 2 ft (assist by R. Neto)
4:29.0,,,21-51,,Shooting foul by J. Calderon (drawn by D. Favors)
4:29.0,,,21-52,1,D. Favors makes free throw 1 of 1
4:15.0,C. Anthony makes 3-pt shot from 24 ft (assist by J. Calderon),3,24-52,,
3:49.0,,,24-52,,R. Hood misses 3-pt shot from 25 ft
3:48.0,,,24-52,,Offensive rebound by R. Hood
3:35.0,,,24-52,,R. Hood misses 3-pt shot from 24 ft
3:33.0,,,24-52,,Offensive rebound by T. Lyles
3:15.0,,,24-52,,R. Neto misses 2-pt shot from 5 ft
3:14.0,,,24-52,,Offensive rebound by R. Hood
3:11.0,,,24-52,,R. Hood misses 3-pt shot from 24 ft
3:09.0,Defensive rebound by C. Anthony,,24-52,,
3:00.0,Offensive foul by C. Anthony,,24-52,,
3:00.0,Turnover by C. Anthony (offensive foul),,24-52,,
3:00.0,,,24-52,,Utah full timeout
3:00.0,,,24-52,,T. Booker enters the game for T. Lyles
3:00.0,,,24-52,,A. Burks enters the game for R. Neto
2:35.0,,,24-54,2,G. Hayward makes 2-pt shot from 14 ft
2:22.0,C. Anthony misses 3-pt shot from 24 ft,,24-54,,
2:21.0,,,24-54,,Defensive rebound by G. Hayward
2:11.0,,,24-56,2,D. Favors makes 2-pt shot from 1 ft (assist by G. Hayward)
1:50.0,J. Calderon makes 2-pt shot from 16 ft (assist by A. Afflalo),2,26-56,,
1:39.0,Personal foul by A. Afflalo (drawn by G. Hayward),,26-56,,
1:31.0,,,26-58,2,D. Favors makes 2-pt shot from 9 ft (assist by G. Hayward)
1:19.0,Shooting foul by T. Booker (drawn by C. Anthony),,26-58,,
1:19.0,C. Anthony makes free throw 1 of 2,1,27-58,,
1:19.0,,,27-58,,T. Burke enters the game for T. Booker
1:19.0,C. Anthony makes free throw 2 of 2,1,28-58,,
1:07.0,,,28-58,,T. Burke misses 2-pt shot from 13 ft (block by J. Calderon)
1:06.0,Defensive rebound by J. Calderon,,28-58,,
0:57.0,S. Vujacic makes 3-pt shot from 24 ft (assist by J. Calderon),3,31-58,,
0:37.0,,,31-58,,R. Hood misses 2-pt shot from 17 ft
0:36.0,Defensive rebound by C. Anthony,,31-58,,
0:29.0,C. Anthony makes 2-pt shot from 17 ft,2,33-58,,
0:13.0,,,33-58,,A. Burks misses 2-pt shot from 18 ft
0:12.0,Defensive rebound by S. Vujacic,,33-58,,
0:07.0,R. Lopez makes 2-pt shot from 2 ft (assist by S. Vujacic),2,35-58,,
0:01.0,,,35-60,2,A. Burks makes 2-pt shot from 18 ft (assist by G. Hayward)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,Personal foul by A. Afflalo (drawn by D. Favors),,35-60,,
11:35.0,,,35-62,2,G. Hayward makes 2-pt shot from 18 ft
11:13.0,K. Porzingis misses 3-pt shot from 25 ft,,35-62,,
11:13.0,,,35-62,,Defensive rebound by G. Hayward
11:01.0,,,35-62,,D. Favors misses 2-pt shot from 15 ft
11:01.0,Defensive rebound by K. Porzingis,,35-62,,
10:36.0,Turnover by Team (shot clock),,35-62,,
10:17.0,,,35-64,2,G. Hayward makes 2-pt shot from 19 ft
9:59.0,A. Afflalo misses 2-pt shot from 10 ft,,35-64,,
9:59.0,,,35-64,,Defensive rebound by D. Favors
9:35.0,,,35-64,,Turnover by Team (shot clock)
9:22.0,K. Porzingis misses 2-pt shot from 8 ft,,35-64,,
9:21.0,,,35-64,,Defensive rebound by D. Favors
9:03.0,,,35-66,2,D. Favors makes 2-pt shot from 11 ft (assist by G. Hayward)
8:52.0,Turnover by C. Anthony (bad pass; steal by R. Neto),,35-66,,
8:45.0,,,35-66,,R. Hood misses 3-pt shot from 24 ft
8:44.0,Defensive rebound by A. Afflalo,,35-66,,
8:25.0,A. Afflalo makes 2-pt shot from 4 ft,2,37-66,,
8:04.0,,,37-66,,Shooting foul by K. Porzingis (drawn by D. Favors)
8:04.0,,,37-67,1,D. Favors makes free throw 1 of 2
8:04.0,,,37-68,1,D. Favors makes free throw 2 of 2
7:51.0,C. Anthony misses 2-pt shot from 19 ft,,37-68,,
7:51.0,,,37-68,,Defensive rebound by T. Lyles
7:47.0,,,37-70,2,G. Hayward makes 2-pt shot from 2 ft (assist by T. Lyles)
7:43.0,New York full timeout,,37-70,,
7:43.0,S. Vujacic enters the game for A. Afflalo,,37-70,,
7:43.0,L. Thomas enters the game for K. Porzingis,,37-70,,
7:31.0,S. Vujacic makes 3-pt shot from 23 ft (assist by C. Anthony),3,40-70,,
7:06.0,,,40-70,,Turnover by T. Lyles (lost ball; steal by C. Anthony)
7:04.0,,,40-70,,Personal foul by G. Hayward (drawn by S. Vujacic)
6:51.0,L. Thomas misses 2-pt shot from 19 ft,,40-70,,
6:51.0,,,40-70,,Defensive rebound by G. Hayward
6:40.0,,,40-70,,G. Hayward misses 2-pt shot at rim
6:38.0,Defensive rebound by L. Thomas,,40-70,,
6:33.0,C. Anthony misses 3-pt shot from 24 ft,,40-70,,
6:32.0,,,40-70,,Defensive rebound by D. Favors
6:17.0,,,40-70,,R. Neto misses 3-pt shot from 25 ft
6:16.0,Defensive rebound by J. Calderon,,40-70,,
6:14.0,Shooting foul by R. Hood (drawn by C. Anthony),,40-70,,
6:14.0,C. Anthony makes free throw 1 of 2,1,41-70,,
6:14.0,,,41-70,,A. Burks enters the game for R. Hood
6:14.0,L. Galloway enters the game for J. Calderon,,41-70,,
6:14.0,K. O'Quinn enters the game for R. Lopez,,41-70,,
6:14.0,C. Anthony makes free throw 2 of 2,1,42-70,,
5:55.0,,,42-70,,T. Lyles misses 2-pt shot from 11 ft
5:55.0,Defensive rebound by K. O'Quinn,,42-70,,
5:43.0,L. Thomas makes 3-pt shot from 22 ft (assist by S. Vujacic),3,45-70,,
5:21.0,,,45-72,2,A. Burks makes 2-pt shot from 11 ft
5:21.0,,,45-72,,Shooting foul by S. Vujacic (drawn by A. Burks)
5:21.0,,,45-72,,T. Burke enters the game for R. Neto
5:21.0,,,45-72,,T. Booker enters the game for T. Lyles
5:21.0,D. Williams enters the game for C. Anthony,,45-72,,
5:21.0,,,45-72,,A. Burks misses free throw 1 of 1
5:21.0,Defensive rebound by D. Williams,,45-72,,
5:05.0,L. Thomas misses 2-pt shot from 9 ft,,45-72,,
5:04.0,Offensive rebound by K. O'Quinn,,45-72,,
5:03.0,Shooting foul by D. Favors (drawn by K. O'Quinn),,45-72,,
5:03.0,K. O'Quinn makes free throw 1 of 2,1,46-72,,
5:03.0,K. O'Quinn makes free throw 2 of 2,1,47-72,,
4:51.0,,,47-72,,A. Burks misses 2-pt shot from 19 ft
4:51.0,,,47-72,,Offensive rebound by D. Favors
4:51.0,Loose ball foul by K. O'Quinn (drawn by D. Favors),,47-72,,
4:46.0,,,47-72,,Turnover by G. Hayward (bad pass; steal by S. Vujacic)
4:39.0,S. Vujacic makes 2-pt shot from 20 ft (assist by L. Thomas),2,49-72,,
4:27.0,,,49-72,,Offensive foul by G. Hayward
4:27.0,,,49-72,,Turnover by G. Hayward (offensive foul)
4:11.0,D. Williams makes 2-pt shot from 18 ft (assist by S. Vujacic),2,51-72,,
4:06.0,,,51-72,,Utah full timeout
3:58.0,,,51-72,,T. Burke misses 3-pt shot from 24 ft
3:58.0,Defensive rebound by D. Williams,,51-72,,
3:47.0,D. Williams misses 3-pt shot from 24 ft,,51-72,,
3:46.0,,,51-72,,Defensive rebound by T. Booker
3:32.0,Jump ball: A. Burks vs. K. O'Quinn (D. Williams gains possession),,,,Jump ball: A. Burks vs. K. O'Quinn (D. Williams gains possession)
3:32.0,,,51-72,,Turnover by A. Burks (lost ball; steal by K. O'Quinn)
3:19.0,D. Williams makes 2-pt shot at rim (assist by S. Vujacic),2,53-72,,
3:01.0,,,53-72,,G. Hayward misses 2-pt shot from 9 ft
2:59.0,Defensive rebound by Team,,53-72,,
2:44.0,,,53-72,,Personal foul by A. Burks (drawn by D. Williams)
2:28.0,K. O'Quinn makes 2-pt shot from 8 ft,2,55-72,,
2:14.0,,,55-72,,Shooting foul by K. O'Quinn (drawn by A. Burks)
2:14.0,,,55-73,1,A. Burks makes free throw 1 of 2
2:14.0,,,55-73,,A. Burks misses free throw 2 of 2
2:13.0,Defensive rebound by K. O'Quinn,,55-73,,
1:52.0,L. Thomas misses 3-pt shot from 22 ft,,55-73,,
1:51.0,,,55-73,,Defensive rebound by T. Burke
1:44.0,,,55-75,2,T. Booker makes 2-pt shot at rim (assist by T. Burke)
1:30.0,Turnover by S. Vujacic (step out of bounds),,55-75,,
1:30.0,,,55-75,,E. Millsap enters the game for G. Hayward
1:18.0,,,55-75,,Turnover by T. Burke (bad pass)
1:10.0,,,55-75,,Personal foul by D. Favors (drawn by K. O'Quinn)
1:10.0,K. O'Quinn misses free throw 1 of 2,,55-75,,
1:10.0,Offensive rebound by Team,,55-75,,
1:10.0,K. O'Quinn makes free throw 2 of 2,1,56-75,,
1:04.0,Personal foul by L. Thomas (drawn by A. Burks),,56-75,,
1:04.0,,,56-76,1,A. Burks makes free throw 1 of 2
1:04.0,,,56-76,,J. Withey enters the game for D. Favors
1:04.0,,,56-77,1,A. Burks makes free throw 2 of 2
0:49.0,S. Vujacic misses 2-pt shot from 14 ft,,56-77,,
0:49.0,,,56-77,,Defensive rebound by J. Withey
0:36.0,,,56-77,,Shooting foul by D. Williams (drawn by A. Burks)
0:36.0,,,56-78,1,A. Burks makes free throw 1 of 2
0:36.0,J. Grant enters the game for S. Vujacic,,56-78,,
0:36.0,,,56-79,1,A. Burks makes free throw 2 of 2
0:26.0,L. Galloway makes 3-pt shot from 22 ft (assist by J. Grant),3,59-79,,
0:04.0,,,59-82,3,T. Burke makes 3-pt shot from 25 ft
0:01.0,J. Grant misses 2-pt shot from 4 ft (block by T. Booker),,59-82,,
0:00.0,Offensive rebound by Team,,59-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,D. Williams misses 2-pt shot from 23 ft,,59-82,,
11:35.0,,,59-82,,Defensive rebound by Team
11:34.0,Loose ball foul by K. O'Quinn (drawn by A. Burks),,59-82,,
11:14.0,,,59-82,,Shooting foul by D. Williams (drawn by A. Burks)
11:14.0,,,59-82,,A. Burks misses free throw 1 of 2
11:14.0,,,59-82,,Offensive rebound by Team
11:14.0,,,59-83,1,A. Burks makes free throw 2 of 2
10:50.0,J. Grant misses 2-pt shot from 15 ft,,59-83,,
10:50.0,,,59-83,,Defensive rebound by J. Withey
10:48.0,,,59-83,,Turnover by J. Withey (bad pass)
10:48.0,,,59-83,,R. Hood enters the game for A. Burks
10:43.0,,,59-83,,Personal foul by E. Millsap (drawn by L. Thomas)
10:26.0,L. Thomas misses 2-pt shot from 20 ft,,59-83,,
10:25.0,,,59-83,,Defensive rebound by T. Booker
10:19.0,,,59-85,2,J. Withey makes 2-pt shot at rim (assist by E. Millsap)
10:08.0,J. Grant misses 2-pt shot from 2 ft,,59-85,,
10:07.0,,,59-85,,Defensive rebound by J. Withey
9:57.0,,,59-87,2,T. Booker makes 2-pt shot at rim (assist by T. Burke)
9:57.0,,,59-87,,Shooting foul by L. Thomas (drawn by T. Booker)
9:57.0,New York full timeout,,59-87,,
9:57.0,L. Amundson enters the game for L. Thomas,,59-87,,
9:57.0,S. Vujacic enters the game for J. Grant,,59-87,,
9:57.0,,,59-88,1,T. Booker makes free throw 1 of 1
9:54.0,,,59-88,,Personal foul by T. Booker (drawn by L. Galloway)
9:54.0,,,59-88,,T. Lyles enters the game for T. Booker
9:42.0,L. Amundson misses 2-pt shot from 5 ft,,59-88,,
9:41.0,,,59-88,,Defensive rebound by E. Millsap
9:24.0,,,59-88,,T. Burke misses 3-pt shot from 24 ft
9:24.0,Defensive rebound by L. Amundson,,59-88,,
9:13.0,K. O'Quinn makes 2-pt shot from 15 ft (assist by S. Vujacic),2,61-88,,
8:58.0,,,61-88,,Turnover by J. Withey (bad pass; steal by S. Vujacic)
8:56.0,,,61-88,,Personal foul by E. Millsap (drawn by S. Vujacic)
8:45.0,K. O'Quinn misses 2-pt shot from 12 ft,,61-88,,
8:44.0,,,61-88,,Defensive rebound by E. Millsap
8:38.0,Personal foul by L. Amundson,,61-88,,
8:30.0,,,61-88,,E. Millsap misses 3-pt shot from 24 ft
8:30.0,Defensive rebound by L. Amundson,,61-88,,
8:19.0,D. Williams makes 3-pt shot from 22 ft (assist by S. Vujacic),3,64-88,,
7:56.0,,,64-90,2,T. Lyles makes 2-pt shot from 7 ft (assist by T. Burke)
7:40.0,S. Vujacic misses 2-pt shot from 16 ft,,64-90,,
7:39.0,,,64-90,,Defensive rebound by E. Millsap
7:26.0,,,64-90,,Turnover by T. Burke (bad pass; steal by L. Amundson)
7:24.0,,,64-90,,Personal foul by T. Lyles (drawn by L. Galloway)
7:24.0,K. Seraphin enters the game for K. O'Quinn,,64-90,,
7:24.0,,,64-90,,D. Favors enters the game for J. Withey
7:17.0,,,64-90,,Personal foul by R. Hood (drawn by S. Vujacic)
7:17.0,S. Vujacic misses free throw 1 of 2,,64-90,,
7:17.0,Offensive rebound by Team,,64-90,,
7:17.0,S. Vujacic makes free throw 2 of 2,1,65-90,,
6:59.0,,,65-92,2,R. Hood makes 2-pt shot from 15 ft
6:59.0,,,65-92,,Shooting foul by S. Vujacic (drawn by R. Hood)
6:59.0,,,65-93,1,R. Hood makes free throw 1 of 1
6:47.0,Turnover by K. Seraphin (bad pass; steal by R. Hood),,65-93,,
6:40.0,,,65-93,,T. Burke misses 3-pt shot from 22 ft
6:39.0,Defensive rebound by L. Amundson,,65-93,,
6:30.0,L. Amundson makes 2-pt shot from 2 ft (assist by S. Vujacic),2,67-93,,
6:30.0,Shooting foul by D. Favors (drawn by L. Amundson),,67-93,,
6:30.0,L. Amundson misses free throw 1 of 1,,67-93,,
6:28.0,Offensive rebound by K. Seraphin,,67-93,,
6:26.0,K. Seraphin makes 2-pt shot from 3 ft,2,69-93,,
6:11.0,Personal foul by D. Williams (drawn by E. Millsap),,69-93,,
6:11.0,,,69-94,1,E. Millsap makes free throw 1 of 2
6:11.0,,,69-94,,J. Withey enters the game for D. Favors
6:11.0,,,69-95,1,E. Millsap makes free throw 2 of 2
5:54.0,D. Williams misses 2-pt shot from 8 ft,,69-95,,
5:54.0,,,69-95,,Defensive rebound by E. Millsap
5:45.0,,,69-97,2,J. Withey makes 2-pt shot from 16 ft (assist by E. Millsap)
5:29.0,K. Seraphin misses 2-pt shot from 9 ft,,69-97,,
5:28.0,Offensive rebound by L. Amundson,,69-97,,
5:26.0,L. Amundson makes 2-pt shot from 3 ft,2,71-97,,
5:21.0,,,71-97,,Utah full timeout
5:21.0,,,71-97,,J. Ingles enters the game for E. Millsap
5:21.0,K. O'Quinn enters the game for L. Galloway,,71-97,,
5:21.0,J. Grant enters the game for K. Seraphin,,71-97,,
5:05.0,,,71-97,,T. Lyles misses 2-pt shot from 11 ft
5:05.0,,,71-97,,Offensive rebound by J. Withey
5:01.0,,,71-100,3,T. Burke makes 3-pt shot from 24 ft (assist by J. Withey)
4:41.0,L. Amundson makes 2-pt shot from 1 ft (assist by K. O'Quinn),2,73-100,,
4:41.0,Shooting foul by T. Burke (drawn by L. Amundson),,73-100,,
4:41.0,L. Amundson makes free throw 1 of 1,1,74-100,,
4:35.0,,,74-100,,Offensive foul by R. Hood
4:35.0,,,74-100,,Turnover by R. Hood (offensive foul)
4:35.0,,,74-100,,R. Neto enters the game for T. Burke
4:18.0,,,74-100,,Shooting block foul by T. Lyles (drawn by L. Amundson)
4:18.0,L. Amundson makes free throw 1 of 2,1,75-100,,
4:18.0,L. Amundson misses free throw 2 of 2,,75-100,,
4:17.0,,,75-100,,Defensive rebound by J. Withey
4:03.0,,,75-103,3,J. Ingles makes 3-pt shot from 24 ft (assist by J. Withey)
3:43.0,J. Grant misses 2-pt shot from 18 ft,,75-103,,
3:43.0,,,75-103,,Defensive rebound by J. Ingles
3:28.0,,,75-103,,Turnover by J. Withey (bad pass; steal by J. Grant)
3:22.0,L. Amundson makes 2-pt shot at rim (assist by K. O'Quinn),2,77-103,,
3:03.0,,,77-103,,Turnover by R. Hood (lost ball; steal by L. Amundson)
3:01.0,,,77-103,,C. Johnson enters the game for R. Hood
3:01.0,,,77-103,,Flagrant foul type 1 by R. Hood (drawn by S. Vujacic)
