time,Charlotte,pts.away,score,pts.home,Brooklyn
6:53.0,,,57-45,1,R. Hollis-Jefferson makes free throw 2 of 2
6:46.0,Turnover by C. Zeller (offensive foul),,57-45,,
6:46.0,Offensive foul by C. Zeller,,57-45,,
6:26.0,,,57-45,,T. Young misses 2-pt shot from 2 ft
6:25.0,Defensive rebound by C. Zeller,,57-45,,
6:13.0,K. Walker misses 3-pt shot from 27 ft,,57-45,,
6:12.0,,,57-45,,Defensive rebound by T. Young
6:08.0,,,57-45,,Offensive charge foul by T. Young
6:08.0,,,57-45,,Turnover by T. Young (offensive foul)
5:57.0,F. Kaminsky misses 3-pt shot from 22 ft,,57-45,,
5:56.0,Offensive rebound by Team,,57-45,,
5:56.0,,,57-45,,Loose ball foul by B. Lopez
5:50.0,N. Batum makes 3-pt shot from 24 ft (assist by F. Kaminsky),3,60-45,,
5:34.0,,,60-45,,B. Lopez misses 2-pt shot from 3 ft
5:33.0,,,60-45,,Offensive rebound by B. Lopez
5:32.0,,,60-45,,B. Lopez misses 2-pt shot from 2 ft
5:31.0,,,60-45,,Offensive rebound by B. Lopez
5:30.0,,,60-47,2,B. Lopez makes 2-pt shot from 2 ft
5:30.0,,,60-47,,Violation by Team (jump ball)
5:20.0,N. Batum misses 2-pt shot from 15 ft,,60-47,,
5:19.0,,,60-47,,Defensive rebound by R. Hollis-Jefferson
5:18.0,Personal foul by C. Zeller,,60-47,,
5:18.0,A. Jefferson enters the game for C. Zeller,,60-47,,
5:06.0,,,60-47,,Turnover by B. Lopez (lost ball)
4:50.0,,,60-47,,Loose ball foul by B. Lopez
4:50.0,N. Batum makes free throw 1 of 2,1,61-47,,
4:50.0,N. Batum makes free throw 2 of 2,1,62-47,,
4:36.0,,,62-49,2,T. Young makes 2-pt shot from 5 ft
4:17.0,N. Batum misses 3-pt shot from 23 ft,,62-49,,
4:16.0,,,62-49,,Defensive rebound by Team
4:16.0,Personal foul by A. Jefferson,,62-49,,
4:16.0,J. Lin enters the game for C. Lee,,62-49,,
3:54.0,,,62-51,2,B. Lopez makes 2-pt shot from 4 ft (assist by S. Larkin)
3:54.0,,,62-51,,Shooting foul by A. Jefferson (drawn by B. Lopez)
3:54.0,,,62-52,1,B. Lopez makes free throw 1 of 1
3:41.0,K. Walker misses 3-pt shot from 24 ft,,62-52,,
3:40.0,,,62-52,,Defensive rebound by R. Hollis-Jefferson
3:30.0,,,62-55,3,S. Larkin makes 3-pt shot from 23 ft (assist by R. Hollis-Jefferson)
3:30.0,Charlotte full timeout,,62-55,,
3:30.0,S. Hawes enters the game for F. Kaminsky,,62-55,,
3:05.0,S. Hawes misses 2-pt shot from 19 ft,,62-55,,
3:04.0,,,62-55,,Defensive rebound by T. Young
2:47.0,,,62-55,,S. Kilpatrick misses 3-pt shot from 25 ft
2:46.0,Defensive rebound by S. Hawes,,62-55,,
2:38.0,Turnover by J. Lin (lost ball; steal by S. Larkin),,62-55,,
2:36.0,,,62-57,2,S. Kilpatrick makes 2-pt shot at rim (assist by R. Hollis-Jefferson)
2:36.0,,,62-57,,Shooting foul by S. Hawes (drawn by S. Kilpatrick)
2:36.0,,,62-57,,B. Bogdanovic enters the game for R. Hollis-Jefferson
2:36.0,,,62-58,1,S. Kilpatrick makes free throw 1 of 1
2:12.0,S. Hawes misses 2-pt shot from 12 ft,,62-58,,
2:10.0,,,62-58,,Defensive rebound by S. Kilpatrick
1:48.0,,,62-61,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by B. Lopez)
1:25.0,J. Lin makes 2-pt shot from 1 ft,2,64-61,,
1:14.0,,,64-61,,Shooting foul by S. Hawes (drawn by S. Larkin)
1:14.0,Technical foul by S. Hawes,,64-61,,
1:14.0,,,64-62,1,B. Bogdanovic makes technical free throw
1:14.0,,,64-63,1,S. Larkin makes free throw 1 of 2
1:14.0,C. Lee enters the game for N. Batum,,64-63,,
1:14.0,,,64-64,1,S. Larkin makes free throw 2 of 2
0:54.0,Shooting foul by B. Lopez (drawn by J. Lin),,64-64,,
0:54.0,J. Lin makes free throw 1 of 2,1,65-64,,
0:54.0,J. Lin misses free throw 2 of 2,,65-64,,
0:53.0,,,65-64,,Defensive rebound by T. Young
0:43.0,,,65-64,,Turnover by T. Young (lost ball; steal by J. Lin)
0:35.0,C. Lee makes 2-pt shot from 2 ft (assist by J. Lin),2,67-64,,
0:19.0,,,67-64,,Turnover by B. Bogdanovic (bad pass)
0:19.0,,,67-64,,T. Robinson enters the game for B. Lopez
0:03.0,K. Walker misses 2-pt shot from 3 ft (block by T. Robinson),,67-64,,
0:01.0,Offensive rebound by S. Hawes,,67-64,,
0:01.0,S. Hawes misses 2-pt shot from 11 ft,,67-64,,
0:00.0,Offensive rebound by Team,,67-64,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,67-64,,Shooting foul by N. Batum (drawn by B. Bogdanovic)
11:44.0,,,67-65,1,B. Bogdanovic makes free throw 1 of 2
11:44.0,,,67-66,1,B. Bogdanovic makes free throw 2 of 2
11:30.0,N. Batum misses 2-pt shot from 22 ft,,67-66,,
11:29.0,,,67-66,,Defensive rebound by S. Larkin
11:22.0,,,67-68,2,S. Larkin makes 2-pt shot from 2 ft
11:07.0,J. Lin makes 2-pt shot from 22 ft,2,69-68,,
10:54.0,,,69-70,2,S. Kilpatrick makes 2-pt shot from 11 ft (assist by S. Larkin)
10:45.0,,,69-70,,Personal foul by S. Larkin
10:31.0,J. Lin makes 2-pt shot from 3 ft (assist by A. Jefferson),2,71-70,,
10:16.0,,,71-70,,S. Kilpatrick misses 2-pt shot from 10 ft (block by J. Lamb)
10:14.0,Defensive rebound by J. Lin,,71-70,,
10:07.0,J. Lamb makes 3-pt shot from 24 ft (assist by J. Lin),3,74-70,,
9:50.0,,,74-70,,S. Larkin misses 2-pt shot from 19 ft
9:49.0,Defensive rebound by S. Hawes,,74-70,,
9:28.0,A. Jefferson makes 2-pt shot from 2 ft (assist by S. Hawes),2,76-70,,
9:28.0,,,76-70,,Brooklyn full timeout
9:28.0,,,76-70,,B. Lopez enters the game for H. Sims
9:28.0,,,76-70,,M. Brown enters the game for S. Kilpatrick
9:07.0,,,76-70,,B. Lopez misses 2-pt shot from 18 ft
9:06.0,Defensive rebound by N. Batum,,76-70,,
8:59.0,,,76-70,,Personal foul by S. Larkin
8:49.0,J. Lamb misses 3-pt shot from 22 ft,,76-70,,
8:48.0,,,76-70,,Defensive rebound by S. Larkin
8:41.0,,,76-70,,Turnover by M. Brown (traveling)
8:27.0,Shooting foul by T. Robinson (drawn by J. Lin),,76-70,,
8:27.0,J. Lin makes free throw 1 of 2,1,77-70,,
8:27.0,,,77-70,,T. Young enters the game for T. Robinson
8:27.0,,,77-70,,R. Hollis-Jefferson enters the game for B. Bogdanovic
8:27.0,J. Lin misses free throw 2 of 2,,77-70,,
8:25.0,,,77-70,,Defensive rebound by B. Lopez
8:11.0,,,77-70,,Turnover by R. Hollis-Jefferson (lost ball; steal by N. Batum)
8:09.0,J. Lin makes 2-pt shot from 22 ft,2,79-70,,
8:06.0,,,79-70,,Brooklyn full timeout
7:57.0,,,79-72,2,B. Lopez makes 2-pt shot from 1 ft (assist by S. Larkin)
7:41.0,,,79-72,,Personal foul by R. Hollis-Jefferson
7:41.0,K. Walker enters the game for J. Lamb,,79-72,,
7:36.0,Turnover by J. Lin (lost ball; steal by M. Brown),,79-72,,
7:32.0,,,79-72,,T. Young misses 2-pt shot from 2 ft (block by S. Hawes)
7:31.0,,,79-72,,Offensive rebound by Team
7:25.0,,,79-72,,Turnover by M. Brown (lost ball; steal by K. Walker)
7:25.0,,,79-72,,Loose ball foul by B. Lopez
7:25.0,K. Walker makes free throw 1 of 2,1,80-72,,
7:25.0,,,80-72,,D. Sloan enters the game for S. Larkin
7:25.0,,,80-72,,S. Kilpatrick enters the game for M. Brown
7:25.0,K. Walker makes free throw 2 of 2,1,81-72,,
7:01.0,,,81-74,2,B. Lopez makes 2-pt shot from 5 ft
6:44.0,A. Jefferson makes 2-pt shot from 5 ft,2,83-74,,
6:28.0,,,83-74,,R. Hollis-Jefferson misses 2-pt shot from 17 ft
6:27.0,Defensive rebound by A. Jefferson,,83-74,,
6:11.0,A. Jefferson makes 2-pt shot from 10 ft,2,85-74,,
5:55.0,,,85-76,2,B. Lopez makes 2-pt shot from 2 ft (assist by D. Sloan)
5:32.0,A. Jefferson makes 2-pt shot from 9 ft,2,87-76,,
5:14.0,,,87-79,3,S. Kilpatrick makes 3-pt shot from 24 ft (assist by B. Lopez)
5:14.0,Charlotte full timeout,,87-79,,
5:14.0,C. Zeller enters the game for S. Hawes,,87-79,,
5:14.0,F. Kaminsky enters the game for A. Jefferson,,87-79,,
5:04.0,Turnover by K. Walker (bad pass),,87-79,,
4:49.0,,,87-81,2,R. Hollis-Jefferson makes 2-pt shot at rim (assist by B. Lopez)
4:31.0,K. Walker misses 2-pt shot from 3 ft (block by S. Kilpatrick),,87-81,,
4:28.0,,,87-81,,Defensive rebound by R. Hollis-Jefferson
4:23.0,,,87-84,3,S. Kilpatrick makes 3-pt shot from 24 ft (assist by T. Young)
4:11.0,Shooting foul by R. Hollis-Jefferson (drawn by N. Batum),,87-84,,
4:11.0,N. Batum makes 3-pt shot from 24 ft (assist by C. Zeller),3,90-84,,
4:11.0,,,90-84,,B. Bogdanovic enters the game for R. Hollis-Jefferson
4:11.0,N. Batum makes free throw 1 of 1,1,91-84,,
3:50.0,,,91-84,,Shooting foul by F. Kaminsky (drawn by B. Bogdanovic)
3:50.0,,,91-85,1,B. Bogdanovic makes free throw 1 of 2
3:50.0,,,91-86,1,B. Bogdanovic makes free throw 2 of 2
3:31.0,C. Zeller makes 2-pt shot at rim (assist by N. Batum),2,93-86,,
3:13.0,,,93-88,2,B. Lopez makes 2-pt shot at rim (assist by D. Sloan)
2:56.0,N. Batum makes 3-pt shot from 24 ft,3,96-88,,
2:44.0,,,96-88,,Shooting foul by N. Batum (drawn by B. Bogdanovic)
2:44.0,Official timeout,,96-88,,
2:44.0,,,96-89,1,B. Bogdanovic makes free throw 1 of 2
2:44.0,,,96-90,1,B. Bogdanovic makes free throw 2 of 2
2:20.0,F. Kaminsky misses 2-pt shot from 18 ft,,96-90,,
2:19.0,,,96-90,,Defensive rebound by B. Lopez
1:58.0,,,96-92,2,B. Lopez makes 2-pt shot from 14 ft
1:37.0,N. Batum makes 2-pt shot from 17 ft,2,98-92,,
1:25.0,,,98-92,,D. Sloan misses 2-pt shot from 2 ft
1:24.0,,,98-92,,Offensive rebound by B. Lopez
1:19.0,,,98-95,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by S. Kilpatrick)
0:57.0,N. Batum misses 3-pt shot from 25 ft,,98-95,,
0:56.0,,,98-95,,Defensive rebound by S. Kilpatrick
0:50.0,,,98-97,2,B. Bogdanovic makes 2-pt shot at rim
0:40.0,,,98-97,,Personal foul by T. Young
0:40.0,K. Walker makes free throw 1 of 2,1,99-97,,
0:40.0,K. Walker makes free throw 2 of 2,1,100-97,,
0:40.0,,,100-97,,Brooklyn full timeout
0:36.0,,,100-97,,B. Bogdanovic misses 3-pt shot from 24 ft
0:35.0,Defensive rebound by K. Walker,,100-97,,
0:35.0,,,100-97,,Personal foul by T. Young
0:35.0,K. Walker misses free throw 1 of 2,,100-97,,
0:35.0,Offensive rebound by Team,,100-97,,
0:35.0,K. Walker makes free throw 2 of 2,1,101-97,,
