time,Detroit,pts.away,score,pts.home,Golden State
6:34.0,,,31-37,,Defensive rebound by S. Curry
6:25.0,,,31-37,,S. Curry misses 2-pt shot from 16 ft
6:23.0,,,31-37,,Offensive rebound by M. Speights
6:23.0,,,31-37,,M. Speights misses 2-pt shot from 1 ft
6:21.0,Defensive rebound by A. Baynes,,31-37,,
6:11.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,31-37,,
6:10.0,Offensive rebound by A. Baynes,,31-37,,
6:10.0,A. Baynes misses 2-pt shot at rim,,31-37,,
6:10.0,Offensive rebound by Team,,31-37,,
6:10.0,,,31-37,,Loose ball foul by M. Speights (drawn by A. Baynes)
5:56.0,S. Johnson makes 2-pt shot from 14 ft,2,33-37,,
5:54.0,Violation by Team (delay of game),,33-37,,
5:41.0,,,33-37,,K. Thompson misses 3-pt shot from 24 ft
5:40.0,Defensive rebound by M. Morris,,33-37,,
5:27.0,M. Morris misses 2-pt shot from 13 ft,,33-37,,
5:27.0,,,33-37,,Defensive rebound by M. Speights
5:14.0,,,33-39,2,M. Speights makes 2-pt shot from 18 ft (assist by D. Green)
5:06.0,Detroit full timeout,,33-39,,
5:06.0,,,33-39,,F. Ezeli enters the game for M. Speights
5:06.0,,,33-39,,A. Iguodala enters the game for L. Barbosa
5:06.0,R. Jackson enters the game for S. Blake,,33-39,,
5:06.0,A. Drummond enters the game for A. Baynes,,33-39,,
4:58.0,R. Jackson makes 2-pt shot from 6 ft,2,35-39,,
4:44.0,,,35-41,2,S. Curry makes 2-pt shot from 2 ft
4:18.0,A. Drummond misses 2-pt shot from 6 ft,,35-41,,
4:16.0,,,35-41,,Defensive rebound by Team
4:08.0,,,35-41,,S. Curry misses 3-pt shot from 24 ft
4:08.0,,,35-41,,Offensive rebound by Team
4:02.0,,,35-43,2,K. Thompson makes 2-pt shot from 20 ft (assist by F. Ezeli)
3:46.0,S. Johnson misses 3-pt shot from 24 ft,,35-43,,
3:46.0,Offensive rebound by K. Caldwell-Pope,,35-43,,
3:39.0,K. Caldwell-Pope makes 2-pt shot from 6 ft,2,37-43,,
3:25.0,,,37-43,,A. Iguodala misses 2-pt shot from 2 ft
3:23.0,Defensive rebound by K. Caldwell-Pope,,37-43,,
3:16.0,S. Johnson makes 2-pt shot at rim (assist by M. Morris),2,39-43,,
2:56.0,,,39-45,2,A. Iguodala makes 2-pt shot from 14 ft (assist by F. Ezeli)
2:42.0,R. Jackson misses 2-pt shot from 12 ft,,39-45,,
2:42.0,,,39-45,,Defensive rebound by K. Thompson
2:34.0,,,39-45,,D. Green misses 2-pt shot from 8 ft
2:33.0,Defensive rebound by R. Jackson,,39-45,,
2:28.0,S. Johnson makes 2-pt shot at rim (assist by R. Jackson),2,41-45,,
2:24.0,,,41-45,,Golden State full timeout
2:24.0,,,41-45,,Golden State full timeout
2:15.0,,,41-45,,F. Ezeli misses 2-pt shot from 7 ft
2:15.0,,,41-45,,Offensive rebound by F. Ezeli
2:15.0,,,41-45,,Shooting foul by A. Drummond (drawn by F. Ezeli)
2:15.0,,,41-46,1,F. Ezeli makes free throw 1 of 2
2:15.0,,,41-47,1,F. Ezeli makes free throw 2 of 2
1:51.0,A. Drummond makes 2-pt shot from 6 ft,2,43-47,,
1:39.0,,,43-47,,K. Thompson misses 2-pt shot from 12 ft
1:39.0,Defensive rebound by A. Drummond,,43-47,,
1:28.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,43-47,,
1:28.0,,,43-47,,Defensive rebound by Team
1:28.0,E. Ilyasova enters the game for M. Morris,,43-47,,
1:28.0,A. Baynes enters the game for A. Drummond,,43-47,,
1:11.0,,,43-49,2,A. Iguodala makes 2-pt shot at rim (assist by D. Green)
1:11.0,,,43-49,,Shooting foul by E. Ilyasova (drawn by A. Iguodala)
1:11.0,,,43-50,1,A. Iguodala makes free throw 1 of 1
1:00.0,R. Jackson makes 3-pt shot from 24 ft,3,46-50,,
0:54.0,,,46-53,3,K. Thompson makes 3-pt shot from 24 ft (assist by A. Iguodala)
0:40.0,,,46-53,,H. Barnes enters the game for F. Ezeli
0:40.0,R. Bullock enters the game for A. Baynes,,46-53,,
0:40.0,Jump ball: R. Jackson vs. K. Thompson (S. Curry gains possession),,,,Jump ball: R. Jackson vs. K. Thompson (S. Curry gains possession)
0:40.0,Turnover by R. Jackson (lost ball; steal by K. Thompson),,46-53,,
0:28.0,,,46-53,,Turnover by A. Iguodala (bad pass; steal by K. Caldwell-Pope)
0:24.0,Offensive foul by R. Bullock,,46-53,,
0:24.0,Turnover by R. Bullock (offensive foul),,46-53,,
0:07.0,,,46-55,2,S. Curry makes 2-pt shot from 2 ft
0:01.0,R. Jackson misses 3-pt shot from 24 ft,,46-55,,
0:00.0,Offensive rebound by Team,,46-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,R. Jackson misses 2-pt shot from 6 ft,,46-55,,
11:46.0,,,46-55,,Defensive rebound by D. Green
11:40.0,,,46-58,3,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry)
11:19.0,Turnover by R. Jackson (bad pass; steal by S. Curry),,46-58,,
11:15.0,,,46-60,2,D. Green makes 2-pt shot at rim (assist by S. Curry)
11:14.0,Detroit full timeout,,46-60,,
10:48.0,M. Morris makes 3-pt shot from 26 ft (assist by A. Drummond),3,49-60,,
10:46.0,,,49-60,,Turnover by S. Curry (traveling)
10:37.0,,,49-60,,Personal foul by K. Thompson (drawn by M. Morris)
10:21.0,M. Morris misses 2-pt shot from 16 ft,,49-60,,
10:20.0,,,49-60,,Defensive rebound by S. Curry
10:13.0,,,49-60,,S. Curry misses 2-pt shot from 3 ft (block by K. Caldwell-Pope)
10:13.0,,,49-60,,Offensive rebound by Team
10:09.0,,,49-60,,S. Curry misses 3-pt shot from 22 ft
10:09.0,Defensive rebound by Team,,49-60,,
10:09.0,,,49-60,,Loose ball foul by F. Ezeli (drawn by A. Drummond)
9:55.0,K. Caldwell-Pope makes 2-pt shot from 19 ft (assist by E. Ilyasova),2,51-60,,
9:39.0,,,51-60,,Turnover by S. Curry (lost ball; steal by K. Caldwell-Pope)
9:30.0,R. Jackson misses 3-pt shot from 25 ft,,51-60,,
9:29.0,,,51-60,,Defensive rebound by H. Barnes
9:17.0,,,51-60,,H. Barnes misses 2-pt shot from 11 ft
9:17.0,,,51-60,,Offensive rebound by S. Curry
9:04.0,,,51-60,,K. Thompson misses 2-pt shot from 19 ft
9:03.0,Defensive rebound by Team,,51-60,,
8:47.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,51-60,,
8:46.0,,,51-60,,Defensive rebound by D. Green
8:40.0,,,51-63,3,S. Curry makes 3-pt shot from 26 ft (assist by D. Green)
8:16.0,R. Jackson misses 2-pt shot from 10 ft,,51-63,,
8:15.0,,,51-63,,Defensive rebound by D. Green
8:08.0,,,51-66,3,K. Thompson makes 3-pt shot from 23 ft (assist by H. Barnes)
7:52.0,E. Ilyasova misses 3-pt shot from 25 ft,,51-66,,
7:50.0,,,51-66,,Defensive rebound by K. Thompson
7:34.0,Personal foul by K. Caldwell-Pope (drawn by H. Barnes),,51-66,,
7:29.0,,,51-66,,Shooting foul by E. Ilyasova (drawn by F. Ezeli)
7:29.0,,,51-67,1,F. Ezeli makes free throw 1 of 2
7:29.0,,,51-68,1,F. Ezeli makes free throw 2 of 2
7:18.0,Shooting foul by F. Ezeli (drawn by A. Drummond),,51-68,,
7:18.0,A. Drummond misses free throw 1 of 2,,51-68,,
7:18.0,Offensive rebound by Team,,51-68,,
7:18.0,A. Drummond misses free throw 2 of 2,,51-68,,
7:17.0,Offensive rebound by A. Drummond,,51-68,,
7:15.0,Turnover by A. Drummond (lost ball; steal by K. Thompson),,51-68,,
7:13.0,,,51-68,,Turnover by K. Thompson (lost ball; steal by A. Drummond)
7:10.0,Detroit full timeout,,51-68,,
6:54.0,R. Jackson misses 2-pt shot from 4 ft (block by D. Green),,51-68,,
6:53.0,Offensive rebound by A. Drummond,,51-68,,
6:53.0,A. Drummond makes 2-pt shot from 1 ft,2,53-68,,
6:42.0,,,53-68,,Turnover by H. Barnes (bad pass; steal by R. Jackson)
6:27.0,M. Morris misses 2-pt shot from 15 ft,,53-68,,
6:26.0,,,53-68,,Defensive rebound by S. Curry
6:23.0,,,53-70,2,H. Barnes makes 2-pt shot at rim (assist by S. Curry)
5:59.0,A. Drummond misses 2-pt shot from 2 ft,,53-70,,
5:56.0,Offensive rebound by E. Ilyasova,,53-70,,
5:56.0,E. Ilyasova makes 2-pt shot at rim,2,55-70,,
5:40.0,,,55-70,,H. Barnes misses 3-pt shot from 26 ft
5:40.0,Defensive rebound by A. Drummond,,55-70,,
5:20.0,M. Morris makes 2-pt shot from 5 ft,2,57-70,,
5:20.0,Shooting foul by F. Ezeli (drawn by M. Morris),,57-70,,
5:20.0,,,57-70,,A. Iguodala enters the game for F. Ezeli
5:20.0,S. Johnson enters the game for E. Ilyasova,,57-70,,
5:20.0,M. Morris makes free throw 1 of 1,1,58-70,,
5:07.0,,,58-70,,D. Green misses 2-pt shot from 1 ft
5:07.0,Defensive rebound by A. Drummond,,58-70,,
4:58.0,R. Jackson misses 3-pt shot from 25 ft,,58-70,,
4:58.0,,,58-70,,Defensive rebound by A. Iguodala
4:37.0,,,58-70,,S. Curry misses 3-pt shot from 24 ft
4:37.0,Defensive rebound by A. Drummond,,58-70,,
4:31.0,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by R. Jackson),2,60-70,,
4:26.0,,,60-70,,Golden State full timeout
4:21.0,,,60-70,,Turnover by D. Green (lost ball; steal by M. Morris)
4:11.0,Turnover by A. Drummond (lost ball; steal by D. Green),,60-70,,
4:05.0,,,60-70,,Shooting foul by S. Johnson (drawn by A. Iguodala)
4:05.0,,,60-70,,A. Iguodala misses free throw 1 of 2
4:05.0,,,60-70,,Offensive rebound by Team
4:05.0,,,60-70,,A. Bogut enters the game for H. Barnes
4:05.0,,,60-70,,S. Livingston enters the game for K. Thompson
4:05.0,,,60-71,1,A. Iguodala makes free throw 2 of 2
3:43.0,A. Drummond misses 2-pt shot from 13 ft,,60-71,,
3:40.0,,,60-71,,Defensive rebound by D. Green
3:33.0,,,60-71,,Shooting foul by K. Caldwell-Pope (drawn by S. Curry)
3:33.0,,,60-72,1,S. Curry makes free throw 1 of 3
3:33.0,,,60-73,1,S. Curry makes free throw 2 of 3
3:33.0,,,60-74,1,S. Curry makes free throw 3 of 3
3:12.0,S. Johnson makes 3-pt shot from 23 ft (assist by M. Morris),3,63-74,,
2:53.0,,,63-74,,A. Iguodala misses 2-pt shot from 1 ft (block by A. Drummond)
2:52.0,,,63-74,,Offensive rebound by A. Iguodala
2:51.0,,,63-74,,A. Iguodala misses 2-pt shot from 1 ft
