time,Portland,pts.away,score,pts.home,Denver
6:39.0,,,9-10,,N. Jokic misses 2-pt shot from 1 ft
6:39.0,Defensive rebound by C. McCollum,,9-10,,
6:39.0,,,9-10,,Personal foul by K. Faried (drawn by C. McCollum)
6:39.0,,,9-10,,D. Arthur enters the game for K. Faried
6:26.0,Turnover by A. Crabbe (bad pass; steal by N. Jokic),,9-10,,
6:15.0,,,9-12,2,J. Nelson makes 2-pt shot from 22 ft
6:02.0,N. Vonleh misses 3-pt shot from 24 ft,,9-12,,
6:02.0,,,9-12,,Defensive rebound by J. Nelson
5:52.0,,,9-12,,D. Arthur misses 3-pt shot from 24 ft
5:51.0,Defensive rebound by Team,,9-12,,
5:51.0,,,9-12,,Denver full timeout
5:39.0,A. Crabbe makes 3-pt shot from 23 ft (assist by C. McCollum),3,12-12,,
5:18.0,,,12-14,2,D. Gallinari makes 2-pt shot from 11 ft
5:08.0,Turnover by C. McCollum (lost ball; steal by N. Jokic),,12-14,,
5:03.0,M. Leonard enters the game for N. Vonleh,,12-14,,
5:03.0,M. Harkless enters the game for A. Aminu,,12-14,,
5:02.0,Personal foul by M. Harkless (drawn by D. Arthur),,12-14,,
4:55.0,,,12-14,,Turnover by N. Jokic (lost ball)
4:40.0,,,12-14,,Personal foul by D. Arthur (drawn by M. Leonard)
4:28.0,M. Harkless makes 2-pt shot from 1 ft (assist by M. Leonard),2,14-14,,
4:14.0,,,14-16,2,D. Gallinari makes 2-pt shot at rim (assist by N. Jokic)
3:59.0,C. McCollum misses 2-pt shot from 11 ft,,14-16,,
3:58.0,,,14-16,,Defensive rebound by D. Gallinari
3:54.0,,,14-16,,Turnover by D. Arthur (bad pass)
3:54.0,,,14-16,,W. Barton enters the game for G. Harris
3:54.0,,,14-16,,J. Nurkic enters the game for N. Jokic
3:33.0,Shooting foul by J. Nurkic (drawn by M. Plumlee),,14-16,,
3:33.0,M. Plumlee misses free throw 1 of 2,,14-16,,
3:33.0,Offensive rebound by Team,,14-16,,
3:33.0,G. Henderson enters the game for A. Crabbe,,14-16,,
3:33.0,M. Plumlee makes free throw 2 of 2,1,15-16,,
3:19.0,,,15-18,2,J. Nurkic makes 2-pt shot from 8 ft (assist by W. Barton)
3:19.0,,,15-18,,Shooting foul by M. Harkless (drawn by J. Nurkic)
3:19.0,E. Davis enters the game for M. Plumlee,,15-18,,
3:19.0,,,15-18,,J. Nurkic misses free throw 1 of 1
3:18.0,Defensive rebound by E. Davis,,15-18,,
3:03.0,Turnover by C. McCollum (lost ball; steal by J. Nelson),,15-18,,
2:58.0,,,15-20,2,J. Nelson makes 2-pt shot from 1 ft
2:58.0,Portland full timeout,,15-20,,
2:45.0,G. Henderson makes 2-pt shot from 20 ft (assist by C. McCollum),2,17-20,,
2:27.0,,,17-20,,D. Gallinari misses 2-pt shot from 18 ft
2:27.0,,,17-20,,Offensive rebound by Team
2:27.0,Loose ball foul by M. Leonard (drawn by J. Nurkic),,17-20,,
2:27.0,,,17-21,1,J. Nurkic makes free throw 1 of 2
2:27.0,,,17-21,,R. Foye enters the game for J. Nelson
2:27.0,,,17-22,1,J. Nurkic makes free throw 2 of 2
2:12.0,M. Harkless makes 2-pt shot at rim (assist by C. McCollum),2,19-22,,
1:54.0,,,19-22,,D. Gallinari misses 3-pt shot from 25 ft
1:54.0,Defensive rebound by M. Leonard,,19-22,,
1:38.0,G. Henderson makes 2-pt shot from 8 ft,2,21-22,,
1:35.0,,,21-22,,Denver full timeout
1:35.0,,,21-22,,K. Papanikolaou enters the game for D. Gallinari
1:26.0,,,21-22,,J. Nurkic misses 2-pt shot from 1 ft
1:26.0,Defensive rebound by E. Davis,,21-22,,
1:18.0,,,21-22,,Def 3 sec tech foul by D. Arthur
1:18.0,C. McCollum misses technical free throw,,21-22,,
1:18.0,Offensive rebound by Team,,21-22,,
1:07.0,C. McCollum makes 2-pt shot from 2 ft,2,23-22,,
0:57.0,,,23-22,,R. Foye misses 2-pt shot from 19 ft
0:56.0,Defensive rebound by G. Henderson,,23-22,,
0:46.0,M. Leonard misses 2-pt shot from 10 ft,,23-22,,
0:45.0,Offensive rebound by E. Davis,,23-22,,
0:45.0,Shooting foul by K. Papanikolaou (drawn by E. Davis),,23-22,,
0:45.0,E. Davis misses free throw 1 of 2,,23-22,,
0:45.0,Offensive rebound by Team,,23-22,,
0:45.0,T. Frazier enters the game for C. McCollum,,23-22,,
0:45.0,E. Davis misses free throw 2 of 2,,23-22,,
0:44.0,,,23-22,,Defensive rebound by J. Nurkic
0:22.0,,,23-22,,K. Papanikolaou misses 3-pt shot from 22 ft
0:21.0,,,23-22,,Offensive rebound by Team
0:21.0,,,23-22,,Turnover by Team (shot clock)
0:00.0,M. Harkless misses 3-pt shot from 25 ft,,23-22,,
0:00.0,Offensive rebound by Team,,23-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Turnover by T. Frazier (bad pass),,23-22,,
11:35.0,,,23-22,,W. Barton misses 3-pt shot from 23 ft
11:35.0,,,23-22,,Offensive rebound by Team
11:35.0,Loose ball foul by E. Davis (drawn by J. Nurkic),,23-22,,
11:26.0,,,23-24,2,J. Nurkic makes 2-pt shot from 1 ft
11:07.0,Shooting foul by J. Nurkic (drawn by M. Harkless),,23-24,,
11:07.0,M. Harkless makes free throw 1 of 2,1,24-24,,
11:07.0,M. Harkless misses free throw 2 of 2,,24-24,,
11:06.0,,,24-24,,Defensive rebound by J. Nurkic
10:51.0,,,24-24,,W. Barton misses 3-pt shot from 25 ft
10:51.0,Defensive rebound by M. Harkless,,24-24,,
10:48.0,Turnover by M. Harkless (bad pass; steal by D. Arthur),,24-24,,
10:39.0,,,24-26,2,J. Nurkic makes 2-pt shot from 2 ft (assist by W. Barton)
10:21.0,,,24-26,,Personal foul by K. Papanikolaou (drawn by M. Leonard)
10:06.0,T. Frazier misses 2-pt shot from 10 ft (block by R. Foye),,24-26,,
10:04.0,Offensive rebound by T. Frazier,,24-26,,
10:01.0,T. Frazier makes 2-pt shot from 1 ft,2,26-26,,
9:50.0,,,26-28,2,D. Arthur makes 2-pt shot from 20 ft (assist by R. Foye)
9:33.0,,,26-28,,Def 3 sec tech foul by D. Arthur
9:33.0,M. Leonard makes technical free throw,1,27-28,,
9:26.0,G. Henderson misses 2-pt shot from 18 ft,,27-28,,
9:25.0,,,27-28,,Defensive rebound by J. Nurkic
9:19.0,,,27-28,,R. Foye misses 2-pt shot from 1 ft
9:18.0,Defensive rebound by Team,,27-28,,
9:01.0,G. Henderson makes 2-pt shot from 20 ft,2,29-28,,
8:44.0,,,29-31,3,W. Barton makes 3-pt shot from 24 ft (assist by D. Arthur)
8:23.0,M. Harkless makes 3-pt shot from 25 ft (assist by G. Henderson),3,32-31,,
8:06.0,,,32-31,,J. Nurkic misses 2-pt shot from 5 ft
8:04.0,,,32-31,,Offensive rebound by J. Nurkic
8:03.0,,,32-33,2,J. Nurkic makes 2-pt shot from 1 ft
7:41.0,M. Harkless misses 3-pt shot from 24 ft,,32-33,,
7:40.0,,,32-33,,Defensive rebound by J. Nurkic
7:32.0,,,32-33,,W. Barton misses 2-pt shot from 4 ft
7:31.0,Defensive rebound by M. Leonard,,32-33,,
7:24.0,G. Henderson misses 3-pt shot from 24 ft,,32-33,,
7:21.0,,,32-33,,Defensive rebound by J. Nurkic
7:20.0,,,32-33,,Denver full timeout
7:20.0,,,32-33,,D. Gallinari enters the game for D. Arthur
7:20.0,,,32-33,,G. Harris enters the game for W. Barton
7:20.0,,,32-33,,N. Jokic enters the game for J. Nurkic
7:20.0,,,32-33,,K. Faried enters the game for K. Papanikolaou
7:10.0,,,32-33,,R. Foye misses 3-pt shot from 25 ft
7:08.0,Defensive rebound by M. Harkless,,32-33,,
6:55.0,Shooting foul by N. Jokic (drawn by M. Harkless),,32-33,,
6:55.0,M. Harkless makes free throw 1 of 2,1,33-33,,
6:55.0,M. Harkless makes free throw 2 of 2,1,34-33,,
6:45.0,Personal foul by M. Harkless (drawn by D. Gallinari),,34-33,,
6:45.0,A. Aminu enters the game for M. Harkless,,34-33,,
6:39.0,,,34-33,,Shooting foul by M. Leonard (drawn by R. Foye)
6:39.0,,,34-34,1,R. Foye makes free throw 1 of 2
6:39.0,,,34-35,1,R. Foye makes free throw 2 of 2
6:23.0,M. Leonard makes 2-pt shot from 9 ft,2,36-35,,
6:13.0,,,36-35,,Shooting foul by E. Davis (drawn by K. Faried)
6:13.0,,,36-35,,K. Faried misses free throw 1 of 2
6:13.0,,,36-35,,Offensive rebound by Team
6:13.0,,,36-35,,K. Faried misses free throw 2 of 2
6:12.0,Defensive rebound by T. Frazier,,36-35,,
5:58.0,Shooting foul by G. Harris (drawn by G. Henderson),,36-35,,
5:58.0,Official timeout,,36-35,,
5:58.0,M. Plumlee enters the game for E. Davis,,36-35,,
5:58.0,G. Henderson makes free throw 1 of 2,1,37-35,,
5:58.0,G. Henderson makes free throw 2 of 2,1,38-35,,
5:50.0,Personal foul by M. Plumlee (drawn by N. Jokic),,38-35,,
5:50.0,,,38-36,1,N. Jokic makes free throw 1 of 2
5:50.0,,,38-36,,J. Nelson enters the game for R. Foye
5:50.0,,,38-37,1,N. Jokic makes free throw 2 of 2
5:32.0,A. Aminu makes 2-pt shot from 3 ft,2,40-37,,
5:32.0,Shooting foul by D. Gallinari (drawn by A. Aminu),,40-37,,
5:32.0,A. Aminu makes free throw 1 of 1,1,41-37,,
5:17.0,,,41-40,3,D. Gallinari makes 3-pt shot from 24 ft (assist by K. Faried)
4:58.0,T. Frazier makes 3-pt shot from 25 ft (assist by M. Leonard),3,44-40,,
4:43.0,,,44-40,,K. Faried misses 2-pt shot from 1 ft
4:42.0,,,44-40,,Offensive rebound by K. Faried
4:42.0,,,44-40,,K. Faried misses 2-pt shot from 1 ft
4:40.0,,,44-40,,Offensive rebound by K. Faried
4:40.0,,,44-42,2,K. Faried makes 2-pt shot from 1 ft
4:23.0,G. Henderson misses 2-pt shot from 12 ft,,44-42,,
4:21.0,,,44-42,,Defensive rebound by K. Faried
4:05.0,,,44-42,,N. Jokic misses 3-pt shot from 25 ft
4:04.0,Defensive rebound by A. Aminu,,44-42,,
3:55.0,M. Leonard misses 3-pt shot from 24 ft,,44-42,,
3:54.0,,,44-42,,Defensive rebound by N. Jokic
3:41.0,,,44-44,2,N. Jokic makes 2-pt shot from 9 ft (assist by J. Nelson)
3:34.0,Portland full timeout,,44-44,,
3:34.0,C. McCollum enters the game for G. Henderson,,44-44,,
3:34.0,A. Crabbe enters the game for T. Frazier,,44-44,,
3:34.0,,,44-44,,W. Barton enters the game for N. Jokic
3:26.0,M. Plumlee makes 2-pt shot from 3 ft (assist by C. McCollum),2,46-44,,
3:26.0,Shooting foul by J. Nelson (drawn by M. Plumlee),,46-44,,
3:26.0,M. Plumlee makes free throw 1 of 1,1,47-44,,
3:14.0,,,47-46,2,K. Faried makes 2-pt shot from 2 ft (assist by D. Gallinari)
2:54.0,C. McCollum makes 2-pt shot from 4 ft,2,49-46,,
2:45.0,,,49-46,,Shooting foul by C. McCollum (drawn by J. Nelson)
2:45.0,,,49-46,,J. Nelson misses free throw 1 of 3
2:45.0,,,49-46,,Offensive rebound by Team
2:45.0,,,49-47,1,J. Nelson makes free throw 2 of 3
2:45.0,,,49-47,,N. Jokic enters the game for K. Faried
2:45.0,,,49-48,1,J. Nelson makes free throw 3 of 3
2:37.0,C. McCollum makes 2-pt shot from 2 ft,2,51-48,,
2:29.0,Personal foul by A. Aminu (drawn by D. Gallinari),,51-48,,
2:29.0,,,51-48,,D. Gallinari misses free throw 1 of 2
2:29.0,,,51-48,,Offensive rebound by Team
2:29.0,,,51-49,1,D. Gallinari makes free throw 2 of 2
2:17.0,C. McCollum makes 3-pt shot from 26 ft (assist by M. Plumlee),3,54-49,,
2:05.0,,,54-49,,Turnover by N. Jokic (traveling)
2:05.0,,,54-49,,R. Foye enters the game for W. Barton
1:48.0,A. Aminu makes 3-pt shot from 23 ft (assist by M. Leonard),3,57-49,,
1:34.0,,,57-49,,Shooting foul by M. Plumlee (drawn by G. Harris)
1:34.0,,,57-49,,G. Harris misses free throw 1 of 2
1:34.0,,,57-49,,Offensive rebound by Team
1:34.0,,,57-50,1,G. Harris makes free throw 2 of 2
1:20.0,A. Crabbe misses 2-pt shot from 18 ft,,57-50,,
1:19.0,,,57-50,,Defensive rebound by N. Jokic
1:00.0,,,57-50,,J. Nelson misses 2-pt shot from 7 ft
0:59.0,,,57-50,,Offensive rebound by N. Jokic
0:57.0,,,57-53,3,G. Harris makes 3-pt shot from 23 ft (assist by N. Jokic)
0:34.0,C. McCollum makes 2-pt shot from 1 ft,2,59-53,,
0:14.0,,,59-55,2,D. Gallinari makes 2-pt shot from 11 ft
0:14.0,,,59-55,,Shooting foul by C. McCollum (drawn by D. Gallinari)
0:14.0,,,59-56,1,D. Gallinari makes free throw 1 of 1
0:03.0,,,59-56,,Personal foul by G. Harris (drawn by C. McCollum)
0:03.0,C. McCollum makes free throw 1 of 2,1,60-56,,
0:03.0,C. McCollum makes free throw 2 of 2,1,61-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Shooting foul by N. Jokic (drawn by N. Vonleh),,61-56,,
11:43.0,N. Vonleh misses free throw 1 of 2,,61-56,,
11:43.0,Offensive rebound by Team,,61-56,,
11:43.0,N. Vonleh makes free throw 2 of 2,1,62-56,,
11:32.0,Personal foul by A. Aminu (drawn by D. Gallinari),,62-56,,
11:19.0,,,62-56,,K. Faried misses 2-pt shot from 1 ft (block by N. Vonleh)
11:17.0,Defensive rebound by A. Aminu,,62-56,,
11:12.0,A. Crabbe misses 3-pt shot from 25 ft,,62-56,,
11:11.0,,,62-56,,Defensive rebound by G. Harris
10:59.0,,,62-58,2,N. Jokic makes 2-pt shot from 16 ft (assist by J. Nelson)
10:40.0,Turnover by C. McCollum (lost ball; steal by G. Harris),,62-58,,
10:29.0,,,62-58,,Turnover by J. Nelson (bad pass; steal by A. Crabbe)
10:28.0,,,62-58,,Personal foul by N. Jokic (drawn by M. Plumlee)
10:14.0,A. Crabbe misses 2-pt shot from 17 ft,,62-58,,
10:14.0,,,62-58,,Defensive rebound by D. Gallinari
9:56.0,Personal foul by N. Vonleh (drawn by D. Gallinari),,62-58,,
9:49.0,,,62-58,,Shooting foul by C. McCollum (drawn by K. Faried)
9:49.0,,,62-59,1,K. Faried makes free throw 1 of 2
9:49.0,,,62-59,,K. Faried misses free throw 2 of 2
9:46.0,Defensive rebound by N. Vonleh,,62-59,,
9:26.0,,,62-59,,Personal foul by N. Jokic (drawn by C. McCollum)
9:12.0,A. Aminu makes 3-pt shot from 23 ft (assist by M. Plumlee),3,65-59,,
8:48.0,,,65-61,2,N. Jokic makes 2-pt shot from 3 ft
8:37.0,,,65-61,,Def 3 sec tech foul by N. Jokic
8:37.0,C. McCollum misses technical free throw,,65-61,,
8:37.0,Offensive rebound by Team,,65-61,,
8:37.0,,,65-61,,J. Nurkic enters the game for N. Jokic
8:21.0,A. Crabbe misses 2-pt shot from 18 ft,,65-61,,
8:20.0,,,65-61,,Defensive rebound by Team
8:07.0,Personal foul by N. Vonleh (drawn by K. Faried),,65-61,,
8:02.0,Personal foul by A. Aminu (drawn by D. Gallinari),,65-61,,
8:02.0,,,65-62,1,D. Gallinari makes free throw 1 of 2
8:02.0,M. Harkless enters the game for A. Aminu,,65-62,,
8:02.0,,,65-63,1,D. Gallinari makes free throw 2 of 2
7:49.0,N. Vonleh misses 2-pt shot from 2 ft (block by J. Nurkic),,65-63,,
7:48.0,Offensive rebound by Team,,65-63,,
7:40.0,C. McCollum misses 2-pt shot from 2 ft (block by K. Faried),,65-63,,
7:39.0,,,65-63,,Defensive rebound by J. Nelson
7:36.0,Personal foul by N. Vonleh (drawn by J. Nelson),,65-63,,
7:36.0,,,65-64,1,J. Nelson makes free throw 1 of 2
7:36.0,,,65-65,1,J. Nelson makes free throw 2 of 2
7:23.0,C. McCollum makes 2-pt shot from 14 ft,2,67-65,,
7:02.0,,,67-67,2,D. Gallinari makes 2-pt shot from 22 ft
6:49.0,,,67-67,,Def 3 sec tech foul by J. Nurkic
6:49.0,C. McCollum makes technical free throw,1,68-67,,
6:35.0,A. Crabbe misses 3-pt shot from 33 ft,,68-67,,
6:34.0,Offensive rebound by Team,,68-67,,
6:34.0,Turnover by Team (shot clock),,68-67,,
6:17.0,Shooting block foul by M. Harkless (drawn by D. Gallinari),,68-67,,
6:17.0,,,68-67,,D. Gallinari misses free throw 1 of 2
6:17.0,,,68-67,,Offensive rebound by Team
6:17.0,,,68-68,1,D. Gallinari makes free throw 2 of 2
6:02.0,C. McCollum makes 2-pt shot from 22 ft,2,70-68,,
5:49.0,,,70-68,,G. Harris misses 3-pt shot from 24 ft
5:49.0,,,70-68,,Offensive rebound by J. Nurkic
5:49.0,Loose ball foul by M. Plumlee (drawn by J. Nurkic),,70-68,,
5:49.0,,,70-68,,Denver full timeout
5:49.0,,,70-68,,J. Nurkic misses free throw 1 of 2
5:49.0,,,70-68,,Offensive rebound by Team
5:49.0,,,70-68,,J. Nurkic misses free throw 2 of 2
5:46.0,,,70-68,,Offensive rebound by K. Faried
5:46.0,,,70-68,,K. Faried misses 2-pt shot from 1 ft
5:44.0,Defensive rebound by N. Vonleh,,70-68,,
5:23.0,M. Harkless misses 3-pt shot from 23 ft,,70-68,,
5:21.0,,,70-68,,Defensive rebound by Team
5:04.0,,,70-68,,J. Nurkic misses 2-pt shot from 4 ft
5:04.0,,,70-68,,Offensive rebound by K. Faried
5:04.0,,,70-68,,Shooting foul by M. Plumlee (drawn by K. Faried)
5:04.0,,,70-70,2,K. Faried makes 2-pt shot from 1 ft
5:04.0,M. Leonard enters the game for A. Crabbe,,70-70,,
5:04.0,G. Henderson enters the game for N. Vonleh,,70-70,,
5:04.0,E. Davis enters the game for M. Plumlee,,70-70,,
5:04.0,,,70-70,,K. Faried misses free throw 1 of 1
5:02.0,Defensive rebound by E. Davis,,70-70,,
4:40.0,C. McCollum misses 2-pt shot from 11 ft,,70-70,,
4:40.0,,,70-70,,Defensive rebound by J. Nurkic
4:30.0,,,70-73,3,D. Gallinari makes 3-pt shot from 25 ft (assist by J. Nelson)
4:02.0,G. Henderson misses 2-pt shot from 18 ft,,70-73,,
4:02.0,,,70-73,,Defensive rebound by D. Gallinari
3:48.0,,,70-75,2,D. Gallinari makes 2-pt shot at rim (assist by J. Nelson)
3:48.0,Portland full timeout,,70-75,,
3:30.0,G. Henderson makes 2-pt shot from 19 ft (assist by C. McCollum),2,72-75,,
3:17.0,,,72-75,,Shooting foul by M. Leonard (drawn by J. Nurkic)
3:17.0,,,72-76,1,J. Nurkic makes free throw 1 of 2
3:17.0,,,72-77,1,J. Nurkic makes free throw 2 of 2
3:03.0,Loose ball foul by C. McCollum (drawn by J. Nurkic),,72-77,,
3:03.0,Turnover by C. McCollum (offensive foul),,72-77,,
3:03.0,,,72-77,,J. Nurkic misses free throw 1 of 2
3:03.0,,,72-77,,Offensive rebound by Team
3:03.0,,,72-77,,W. Barton enters the game for G. Harris
3:03.0,,,72-77,,J. Nurkic misses free throw 2 of 2
3:02.0,Defensive rebound by G. Henderson,,72-77,,
2:42.0,M. Leonard makes 2-pt shot from 13 ft (assist by C. McCollum),2,74-77,,
2:32.0,Def 3 sec tech foul by E. Davis,,74-77,,
2:32.0,,,74-78,1,D. Gallinari makes technical free throw
2:32.0,,,74-78,,D. Arthur enters the game for K. Faried
2:32.0,,,74-78,,N. Jokic enters the game for J. Nurkic
2:22.0,,,74-80,2,D. Arthur makes 2-pt shot from 16 ft (assist by J. Nelson)
2:05.0,M. Leonard misses 2-pt shot from 3 ft (block by N. Jokic),,74-80,,
2:03.0,,,74-80,,Defensive rebound by N. Jokic
1:47.0,,,74-80,,W. Barton misses 3-pt shot from 24 ft
1:47.0,Defensive rebound by M. Leonard,,74-80,,
1:47.0,,,74-80,,Loose ball foul by N. Jokic (drawn by M. Leonard)
1:47.0,,,74-80,,J. Lauvergne enters the game for N. Jokic
1:31.0,E. Davis makes 2-pt shot at rim (assist by G. Henderson),2,76-80,,
1:18.0,,,76-80,,D. Arthur misses 2-pt shot from 17 ft
1:18.0,Defensive rebound by M. Leonard,,76-80,,
1:05.0,Turnover by M. Leonard (offensive foul),,76-80,,
1:05.0,Offensive foul by M. Leonard,,76-80,,
0:47.0,,,76-80,,D. Arthur misses 3-pt shot from 26 ft
0:46.0,Defensive rebound by G. Henderson,,76-80,,
0:40.0,Shooting foul by D. Arthur (drawn by G. Henderson),,76-80,,
0:40.0,G. Henderson makes free throw 1 of 2,1,77-80,,
0:40.0,A. Crabbe enters the game for M. Leonard,,77-80,,
0:40.0,N. Vonleh enters the game for C. McCollum,,77-80,,
0:40.0,T. Frazier enters the game for M. Harkless,,77-80,,
0:40.0,,,77-80,,Violation by W. Barton (lane)
0:40.0,G. Henderson makes free throw 2 of 2,1,78-80,,
0:27.0,,,78-80,,J. Nelson misses 2-pt shot from 20 ft
0:25.0,,,78-80,,Offensive rebound by D. Arthur
0:11.0,,,78-80,,W. Barton misses 2-pt shot from 17 ft
0:10.0,Defensive rebound by E. Davis,,78-80,,
0:03.0,T. Frazier misses 2-pt shot from 17 ft,,78-80,,
0:02.0,Offensive rebound by G. Henderson,,78-80,,
0:01.0,G. Henderson misses 2-pt shot from 1 ft,,78-80,,
0:00.0,Offensive rebound by N. Vonleh,,78-80,,
0:00.0,N. Vonleh makes 2-pt shot from 2 ft,2,80-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,80-80,,Turnover by R. Foye (bad pass; steal by A. Crabbe)
11:42.0,A. Crabbe makes 2-pt shot at rim,2,82-80,,
11:25.0,,,82-80,,W. Barton misses 2-pt shot from 2 ft
11:25.0,Defensive rebound by T. Frazier,,82-80,,
11:21.0,T. Frazier makes 2-pt shot from 2 ft,2,84-80,,
11:21.0,,,84-80,,Denver full timeout
11:03.0,,,84-80,,R. Foye misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by N. Vonleh,,84-80,,
10:48.0,G. Henderson misses 2-pt shot from 20 ft,,84-80,,
10:47.0,Offensive rebound by N. Vonleh,,84-80,,
10:43.0,A. Crabbe makes 3-pt shot from 24 ft (assist by N. Vonleh),3,87-80,,
10:31.0,,,87-83,3,K. Papanikolaou makes 3-pt shot from 24 ft (assist by J. Lauvergne)
10:05.0,A. Crabbe makes 2-pt shot from 19 ft (assist by T. Frazier),2,89-83,,
9:45.0,,,89-86,3,D. Arthur makes 3-pt shot from 23 ft (assist by R. Foye)
9:29.0,A. Crabbe makes 2-pt shot from 12 ft (assist by T. Frazier),2,91-86,,
9:19.0,,,91-86,,Offensive foul by D. Arthur
9:19.0,,,91-86,,Turnover by D. Arthur (offensive foul)
9:06.0,A. Crabbe misses 2-pt shot from 17 ft,,91-86,,
9:06.0,,,91-86,,Defensive rebound by Team
9:06.0,Loose ball foul by E. Davis (drawn by J. Lauvergne),,91-86,,
8:53.0,,,91-88,2,R. Foye makes 2-pt shot from 3 ft
8:32.0,N. Vonleh misses 3-pt shot from 26 ft,,91-88,,
8:31.0,,,91-88,,Defensive rebound by Team
8:19.0,,,91-88,,R. Foye misses 2-pt shot from 1 ft
8:18.0,Defensive rebound by E. Davis,,91-88,,
8:06.0,N. Vonleh misses 2-pt shot from 6 ft,,91-88,,
8:05.0,Offensive rebound by T. Frazier,,91-88,,
8:04.0,,,91-88,,Personal foul by D. Arthur (drawn by T. Frazier)
8:04.0,,,91-88,,K. Faried enters the game for J. Lauvergne
7:52.0,Turnover by T. Frazier (lost ball; steal by D. Arthur),,91-88,,
7:52.0,Jump ball: D. Arthur vs. T. Frazier (W. Barton gains possession),,,,Jump ball: D. Arthur vs. T. Frazier (W. Barton gains possession)
7:41.0,,,91-88,,W. Barton misses 3-pt shot from 24 ft
7:40.0,Defensive rebound by N. Vonleh,,91-88,,
7:33.0,,,91-88,,Personal foul by R. Foye (drawn by E. Davis)
7:33.0,C. McCollum enters the game for T. Frazier,,91-88,,
7:21.0,G. Henderson misses 2-pt shot from 17 ft,,91-88,,
7:20.0,Offensive rebound by E. Davis,,91-88,,
7:19.0,Shooting foul by W. Barton (drawn by E. Davis),,91-88,,
7:19.0,E. Davis makes free throw 1 of 2,1,92-88,,
7:19.0,E. Davis misses free throw 2 of 2,,92-88,,
