time,Utah,pts.away,score,pts.home,Boston
7:49.0,,,7-7,2,A. Bradley makes 2-pt shot from 18 ft (assist by A. Johnson)
7:31.0,Turnover by D. Favors (bad pass; steal by A. Johnson),,7-7,,
7:25.0,,,7-7,,A. Johnson misses 2-pt shot from 1 ft
7:24.0,Defensive rebound by S. Mack,,7-7,,
7:15.0,R. Hood misses 3-pt shot from 25 ft,,7-7,,
7:14.0,,,7-7,,Defensive rebound by Team
6:55.0,,,7-7,,I. Thomas misses 3-pt shot from 25 ft
6:54.0,Defensive rebound by R. Gobert,,7-7,,
6:36.0,R. Hood misses 2-pt shot from 3 ft,,7-7,,
6:35.0,,,7-7,,Defensive rebound by J. Crowder
6:30.0,,,7-7,,A. Bradley misses 3-pt shot from 25 ft
6:29.0,Defensive rebound by D. Favors,,7-7,,
6:14.0,D. Favors makes 2-pt shot from 1 ft,2,9-7,,
6:13.0,,,9-7,,Boston full timeout
6:03.0,,,9-9,2,J. Crowder makes 2-pt shot at rim (assist by J. Sullinger)
5:41.0,G. Hayward misses 3-pt shot from 25 ft,,9-9,,
5:40.0,Offensive rebound by G. Hayward,,9-9,,
5:38.0,G. Hayward makes 2-pt shot from 1 ft,2,11-9,,
5:27.0,,,11-9,,J. Sullinger misses 2-pt shot from 20 ft
5:26.0,Defensive rebound by R. Gobert,,11-9,,
5:13.0,R. Hood makes 2-pt shot from 9 ft,2,13-9,,
5:06.0,,,13-9,,J. Crowder misses 2-pt shot from 18 ft
5:05.0,Defensive rebound by R. Gobert,,13-9,,
4:55.0,Turnover by G. Hayward (bad pass; steal by J. Crowder),,13-9,,
4:50.0,,,13-11,2,I. Thomas makes 2-pt shot at rim (assist by J. Crowder)
4:31.0,D. Favors makes 2-pt shot from 15 ft,2,15-11,,
4:14.0,,,15-14,3,A. Bradley makes 3-pt shot from 23 ft (assist by J. Crowder)
3:57.0,S. Mack makes 2-pt shot from 8 ft (assist by G. Hayward),2,17-14,,
3:40.0,,,17-14,,I. Thomas misses 2-pt shot from 21 ft
3:39.0,Defensive rebound by R. Hood,,17-14,,
3:21.0,R. Gobert misses 2-pt shot from 4 ft (block by A. Johnson),,17-14,,
3:20.0,Offensive rebound by Team,,17-14,,
3:20.0,,,17-14,,E. Turner enters the game for J. Sullinger
3:20.0,,,17-14,,M. Smart enters the game for A. Bradley
3:20.0,C. Johnson enters the game for R. Hood,,17-14,,
3:20.0,T. Lyles enters the game for D. Favors,,17-14,,
3:15.0,G. Hayward makes 3-pt shot from 24 ft (assist by C. Johnson),3,20-14,,
2:59.0,,,20-14,,Turnover by I. Thomas (lost ball; steal by S. Mack)
2:54.0,S. Mack makes 2-pt shot from 1 ft,2,22-14,,
2:47.0,Shooting block foul by T. Lyles (drawn by J. Crowder),,22-14,,
2:47.0,Utah full timeout,,22-14,,
2:47.0,,,22-15,1,J. Crowder makes free throw 1 of 2
2:47.0,,,22-15,,J. Crowder misses free throw 2 of 2
2:47.0,,,22-15,,Offensive rebound by A. Johnson
2:39.0,,,22-17,2,E. Turner makes 2-pt shot from 17 ft (assist by I. Thomas)
2:28.0,S. Mack makes 2-pt shot from 1 ft,2,24-17,,
2:28.0,,,24-17,,Shooting block foul by A. Johnson (drawn by S. Mack)
2:28.0,S. Mack misses free throw 1 of 1,,24-17,,
2:27.0,,,24-17,,Defensive rebound by E. Turner
2:17.0,,,24-17,,Turnover by A. Johnson (bad pass; steal by R. Gobert)
2:10.0,G. Hayward misses 2-pt shot from 6 ft (block by J. Crowder),,24-17,,
2:08.0,,,24-17,,Defensive rebound by A. Johnson
2:03.0,Personal foul by S. Mack (drawn by A. Johnson),,24-17,,
2:03.0,R. Neto enters the game for S. Mack,,24-17,,
1:54.0,,,24-17,,I. Thomas misses 2-pt shot from 16 ft
1:53.0,Defensive rebound by G. Hayward,,24-17,,
1:35.0,T. Lyles makes 2-pt shot from 8 ft (assist by R. Neto),2,26-17,,
1:25.0,,,26-19,2,I. Thomas makes 2-pt shot from 2 ft (assist by M. Smart)
1:25.0,,,26-19,,Shooting foul by G. Hayward (drawn by I. Thomas)
1:25.0,,,26-19,,T. Zeller enters the game for A. Johnson
1:25.0,,,26-19,,I. Thomas misses free throw 1 of 1
1:25.0,Defensive rebound by T. Lyles,,26-19,,
1:06.0,T. Lyles misses 2-pt shot from 13 ft,,26-19,,
1:05.0,,,26-19,,Defensive rebound by T. Zeller
1:00.0,,,26-21,2,I. Thomas makes 2-pt shot from 2 ft
0:43.0,G. Hayward misses 2-pt shot from 17 ft,,26-21,,
0:42.0,Offensive rebound by R. Gobert,,26-21,,
0:37.0,Turnover by G. Hayward (lost ball),,26-21,,
0:37.0,D. Favors enters the game for R. Gobert,,26-21,,
0:37.0,,,26-21,,J. Jerebko enters the game for J. Crowder
0:28.0,,,26-23,2,I. Thomas makes 2-pt shot from 2 ft
0:05.0,Shooting foul by J. Jerebko (drawn by T. Lyles),,26-23,,
0:05.0,T. Lyles makes 2-pt shot from 2 ft (assist by R. Neto),2,28-23,,
0:05.0,T. Lyles makes free throw 1 of 1,1,29-23,,
0:01.0,,,29-23,,I. Thomas misses 3-pt shot from 26 ft
0:00.0,,,29-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,D. Favors misses 2-pt shot from 5 ft,,29-23,,
11:44.0,Offensive rebound by T. Lyles,,29-23,,
11:44.0,T. Lyles misses 2-pt shot at rim,,29-23,,
11:43.0,Offensive rebound by T. Lyles,,29-23,,
11:34.0,T. Lyles makes 2-pt shot from 5 ft (assist by R. Hood),2,31-23,,
11:17.0,,,31-23,,M. Smart misses 2-pt shot from 16 ft
11:16.0,Defensive rebound by D. Favors,,31-23,,
11:01.0,R. Hood misses 3-pt shot from 24 ft,,31-23,,
11:00.0,,,31-23,,Defensive rebound by M. Smart
10:49.0,,,31-23,,T. Zeller misses 2-pt shot from 6 ft
10:48.0,Defensive rebound by D. Favors,,31-23,,
10:35.0,,,31-23,,Personal foul by T. Zeller (drawn by D. Favors)
10:23.0,T. Lyles makes 2-pt shot from 20 ft (assist by R. Hood),2,33-23,,
10:10.0,,,33-23,,A. Bradley misses 2-pt shot from 19 ft
10:08.0,Defensive rebound by R. Hood,,33-23,,
9:54.0,R. Hood misses 2-pt shot from 4 ft (block by J. Jerebko),,33-23,,
9:53.0,Offensive rebound by R. Hood,,33-23,,
9:52.0,R. Hood misses 2-pt shot from 2 ft,,33-23,,
9:52.0,Offensive rebound by Team,,33-23,,
9:43.0,T. Lyles makes 3-pt shot from 24 ft (assist by R. Hood),3,36-23,,
9:26.0,,,36-25,2,E. Turner makes 2-pt shot from 15 ft
9:10.0,R. Neto misses 2-pt shot from 5 ft (block by J. Jerebko),,36-25,,
9:09.0,Offensive rebound by Team,,36-25,,
9:09.0,,,36-25,,J. Mickey enters the game for J. Jerebko
9:03.0,T. Lyles misses 3-pt shot from 24 ft,,36-25,,
9:02.0,,,36-25,,Defensive rebound by T. Zeller
8:50.0,,,36-25,,Turnover by T. Zeller (bad pass; steal by C. Johnson)
8:45.0,C. Johnson makes 2-pt shot at rim,2,38-25,,
8:37.0,,,38-25,,T. Zeller misses 2-pt shot from 5 ft
8:36.0,,,38-25,,Offensive rebound by J. Mickey
8:35.0,,,38-25,,Shooting foul by C. Johnson (drawn by J. Mickey)
8:35.0,Official timeout,,38-25,,
8:35.0,,,38-26,1,J. Mickey makes free throw 1 of 2
8:35.0,,,38-26,,J. Mickey misses free throw 2 of 2
8:34.0,,,38-26,,Offensive rebound by E. Turner
8:24.0,,,38-26,,Turnover by E. Turner (bad pass)
8:01.0,T. Lyles misses 2-pt shot from 8 ft,,38-26,,
8:00.0,,,38-26,,Defensive rebound by J. Mickey
7:46.0,,,38-28,2,T. Zeller makes 2-pt shot from 17 ft (assist by M. Smart)
7:30.0,R. Hood misses 2-pt shot from 15 ft,,38-28,,
7:29.0,,,38-28,,Defensive rebound by E. Turner
7:21.0,,,38-30,2,E. Turner makes 2-pt shot from 16 ft
7:02.0,D. Favors misses 2-pt shot from 1 ft,,38-30,,
7:02.0,,,38-30,,Defensive rebound by M. Smart
6:55.0,,,38-30,,M. Smart misses 2-pt shot from 5 ft
6:54.0,Defensive rebound by D. Favors,,38-30,,
6:52.0,,,38-30,,Personal foul by M. Smart (drawn by R. Neto)
6:52.0,J. Ingles enters the game for R. Hood,,38-30,,
6:52.0,G. Hayward enters the game for C. Johnson,,38-30,,
6:52.0,R. Gobert enters the game for T. Lyles,,38-30,,
6:41.0,Turnover by D. Favors (bad pass; steal by E. Turner),,38-30,,
6:37.0,,,38-32,2,E. Turner makes 2-pt shot at rim
6:37.0,Utah full timeout,,38-32,,
6:37.0,S. Mack enters the game for R. Neto,,38-32,,
6:21.0,S. Mack misses 2-pt shot from 12 ft,,38-32,,
6:20.0,Offensive rebound by Team,,38-32,,
6:11.0,,,38-32,,Personal foul by M. Smart (drawn by J. Ingles)
6:11.0,,,38-32,,J. Sullinger enters the game for T. Zeller
5:56.0,Turnover by Team (shot clock),,38-32,,
5:35.0,,,38-32,,Turnover by J. Mickey (bad pass; steal by D. Favors)
5:26.0,,,38-32,,Violation by M. Smart (kicked ball)
5:26.0,T. Lyles enters the game for D. Favors,,38-32,,
5:13.0,T. Lyles misses 2-pt shot from 18 ft,,38-32,,
5:12.0,,,38-32,,Defensive rebound by J. Mickey
5:05.0,Personal foul by S. Mack (drawn by M. Smart),,38-32,,
5:05.0,,,38-32,,J. Crowder enters the game for E. Turner
4:58.0,,,38-32,,J. Sullinger misses 2-pt shot from 12 ft
4:56.0,Defensive rebound by T. Lyles,,38-32,,
4:53.0,Turnover by T. Lyles (bad pass; steal by A. Bradley),,38-32,,
4:48.0,,,38-34,2,J. Mickey makes 2-pt shot at rim (assist by J. Crowder)
4:24.0,T. Lyles misses 3-pt shot from 25 ft,,38-34,,
4:23.0,,,38-34,,Defensive rebound by M. Smart
4:16.0,,,38-34,,M. Smart misses 3-pt shot from 25 ft
4:15.0,Defensive rebound by T. Lyles,,38-34,,
3:58.0,G. Hayward misses 2-pt shot at rim (block by J. Mickey),,38-34,,
3:57.0,,,38-34,,Defensive rebound by J. Sullinger
3:54.0,,,38-34,,J. Crowder misses 2-pt shot at rim
3:52.0,Defensive rebound by S. Mack,,38-34,,
3:49.0,J. Ingles misses 3-pt shot from 26 ft,,38-34,,
3:48.0,Offensive rebound by Team,,38-34,,
3:48.0,,,38-34,,Loose ball foul by M. Smart (drawn by R. Gobert)
3:48.0,,,38-34,,I. Thomas enters the game for M. Smart
3:48.0,R. Hood enters the game for J. Ingles,,38-34,,
3:40.0,T. Lyles misses 2-pt shot from 16 ft,,38-34,,
3:39.0,,,38-34,,Defensive rebound by J. Sullinger
3:28.0,,,38-34,,I. Thomas misses 2-pt shot from 7 ft
3:27.0,Defensive rebound by T. Lyles,,38-34,,
3:21.0,R. Hood misses 2-pt shot from 2 ft (block by J. Mickey),,38-34,,
3:20.0,Offensive rebound by Team,,38-34,,
3:17.0,G. Hayward misses 2-pt shot from 10 ft,,38-34,,
3:16.0,Offensive rebound by R. Gobert,,38-34,,
3:16.0,R. Gobert misses 2-pt shot from 1 ft,,38-34,,
3:14.0,,,38-34,,Defensive rebound by J. Sullinger
3:09.0,,,38-36,2,A. Bradley makes 2-pt shot at rim (assist by I. Thomas)
2:48.0,S. Mack makes 2-pt shot from 6 ft (assist by R. Gobert),2,40-36,,
2:30.0,,,40-38,2,J. Sullinger makes 2-pt shot from 19 ft (assist by I. Thomas)
2:09.0,G. Hayward makes 2-pt shot from 8 ft,2,42-38,,
2:02.0,,,42-38,,Boston full timeout
2:02.0,,,42-38,,A. Johnson enters the game for J. Mickey
2:02.0,,,42-38,,E. Turner enters the game for A. Bradley
2:02.0,D. Favors enters the game for R. Gobert,,42-38,,
1:57.0,,,42-38,,J. Sullinger misses 2-pt shot from 19 ft
1:56.0,Defensive rebound by T. Lyles,,42-38,,
1:36.0,R. Hood misses 2-pt shot from 7 ft,,42-38,,
1:35.0,,,42-38,,Defensive rebound by J. Sullinger
1:19.0,,,42-38,,I. Thomas misses 2-pt shot from 1 ft
1:17.0,,,42-38,,Offensive rebound by A. Johnson
1:17.0,,,42-38,,A. Johnson misses 2-pt shot at rim
1:14.0,Defensive rebound by D. Favors,,42-38,,
0:59.0,T. Lyles makes 2-pt shot from 8 ft (assist by G. Hayward),2,44-38,,
0:48.0,,,44-40,2,J. Crowder makes 2-pt shot from 14 ft (assist by E. Turner)
0:32.0,Turnover by S. Mack (bad pass; steal by E. Turner),,44-40,,
0:28.0,Shooting block foul by T. Lyles (drawn by J. Crowder),,44-40,,
0:28.0,,,44-40,,J. Crowder misses free throw 1 of 2
0:28.0,,,44-40,,Offensive rebound by Team
0:28.0,,,44-40,,A. Bradley enters the game for I. Thomas
0:28.0,,,44-41,1,J. Crowder makes free throw 2 of 2
0:06.0,R. Hood makes 2-pt shot from 20 ft (assist by G. Hayward),2,46-41,,
0:06.0,,,46-41,,Boston full timeout
0:06.0,,,46-41,,I. Thomas enters the game for A. Johnson
0:06.0,C. Johnson enters the game for S. Mack,,46-41,,
0:02.0,,,46-43,2,I. Thomas makes 2-pt shot at rim
0:00.0,C. Johnson misses 3-pt shot from 55 ft,,46-43,,
0:00.0,Offensive rebound by Team,,46-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,D. Favors makes 2-pt shot from 15 ft,2,48-43,,
11:19.0,,,48-43,,Shooting foul by S. Mack (drawn by I. Thomas)
11:19.0,,,48-44,1,I. Thomas makes free throw 1 of 2
11:19.0,R. Neto enters the game for S. Mack,,48-44,,
11:19.0,,,48-45,1,I. Thomas makes free throw 2 of 2
11:09.0,,,48-45,,Personal foul by A. Johnson (drawn by R. Gobert)
10:53.0,G. Hayward makes 2-pt shot from 9 ft (assist by R. Hood),2,50-45,,
10:40.0,,,50-45,,A. Bradley misses 2-pt shot from 18 ft
10:39.0,Defensive rebound by R. Gobert,,50-45,,
10:27.0,R. Hood misses 3-pt shot from 25 ft,,50-45,,
10:26.0,,,50-45,,Defensive rebound by Team
10:12.0,,,50-47,2,I. Thomas makes 2-pt shot from 8 ft (assist by A. Johnson)
10:01.0,D. Favors makes 2-pt shot at rim (assist by G. Hayward),2,52-47,,
10:01.0,Shooting foul by J. Crowder (drawn by D. Favors),,52-47,,
10:01.0,D. Favors makes free throw 1 of 1,1,53-47,,
9:50.0,,,53-49,2,I. Thomas makes 2-pt shot from 1 ft (assist by A. Johnson)
9:40.0,R. Gobert misses 2-pt shot at rim,,53-49,,
9:39.0,,,53-49,,Defensive rebound by A. Johnson
9:37.0,Shooting block foul by G. Hayward (drawn by A. Johnson),,53-49,,
9:37.0,,,53-50,1,A. Johnson makes free throw 1 of 2
9:37.0,,,53-51,1,A. Johnson makes free throw 2 of 2
9:20.0,D. Favors makes 2-pt shot from 15 ft (assist by R. Hood),2,55-51,,
9:07.0,,,55-51,,A. Bradley misses 2-pt shot from 1 ft (block by D. Favors)
9:05.0,,,55-51,,Offensive rebound by A. Bradley
9:04.0,,,55-53,2,A. Bradley makes 2-pt shot at rim
8:45.0,R. Gobert makes 2-pt shot at rim (assist by R. Neto),2,57-53,,
8:32.0,,,57-53,,Shooting foul by G. Hayward (drawn by J. Crowder)
8:32.0,,,57-54,1,J. Crowder makes free throw 1 of 2
8:32.0,,,57-55,1,J. Crowder makes free throw 2 of 2
8:15.0,R. Neto makes 3-pt shot from 22 ft (assist by G. Hayward),3,60-55,,
7:59.0,,,60-55,,J. Sullinger misses 2-pt shot from 16 ft
7:58.0,Defensive rebound by G. Hayward,,60-55,,
7:48.0,G. Hayward misses 2-pt shot from 18 ft,,60-55,,
7:47.0,,,60-55,,Defensive rebound by Team
7:47.0,Loose ball foul by R. Gobert (drawn by J. Sullinger),,60-55,,
7:47.0,J. Ingles enters the game for G. Hayward,,60-55,,
7:34.0,,,60-57,2,J. Sullinger makes 2-pt shot from 8 ft
7:17.0,R. Hood misses 2-pt shot at rim,,60-57,,
7:16.0,,,60-57,,Defensive rebound by A. Johnson
7:10.0,,,60-57,,J. Crowder misses 2-pt shot from 1 ft
7:09.0,Defensive rebound by D. Favors,,60-57,,
7:01.0,R. Neto makes 2-pt shot from 17 ft,2,62-57,,
7:01.0,,,62-57,,Boston full timeout
6:48.0,,,62-60,3,J. Crowder makes 3-pt shot from 24 ft (assist by J. Sullinger)
6:29.0,D. Favors misses 2-pt shot from 18 ft,,62-60,,
6:27.0,,,62-60,,Defensive rebound by I. Thomas
6:20.0,,,62-60,,Turnover by I. Thomas (step out of bounds)
5:58.0,R. Neto misses 2-pt shot from 9 ft,,62-60,,
5:58.0,,,62-60,,Defensive rebound by Team
5:58.0,Loose ball foul by R. Gobert (drawn by J. Sullinger),,62-60,,
5:58.0,,,62-60,,J. Sullinger misses free throw 1 of 2
5:58.0,,,62-60,,Offensive rebound by Team
5:58.0,,,62-60,,J. Sullinger misses free throw 2 of 2
5:58.0,Defensive rebound by R. Gobert,,62-60,,
5:42.0,Shooting foul by A. Johnson (drawn by R. Hood),,62-60,,
5:42.0,R. Hood makes free throw 1 of 2,1,63-60,,
5:42.0,T. Lyles enters the game for R. Gobert,,63-60,,
5:42.0,,,63-60,,E. Turner enters the game for J. Sullinger
5:42.0,,,63-60,,M. Smart enters the game for A. Bradley
5:42.0,R. Hood makes free throw 2 of 2,1,64-60,,
5:31.0,,,64-60,,J. Crowder misses 3-pt shot from 25 ft
5:30.0,Defensive rebound by J. Ingles,,64-60,,
5:21.0,T. Lyles misses 2-pt shot from 20 ft,,64-60,,
5:20.0,Offensive rebound by D. Favors,,64-60,,
5:09.0,R. Neto makes 2-pt shot from 19 ft,2,66-60,,
4:49.0,,,66-60,,I. Thomas misses 2-pt shot from 5 ft (block by D. Favors)
4:48.0,,,66-60,,Offensive rebound by I. Thomas
4:45.0,,,66-60,,J. Crowder misses 3-pt shot from 24 ft
4:44.0,,,66-60,,Offensive rebound by A. Johnson
4:43.0,,,66-60,,A. Johnson misses 2-pt shot at rim
4:41.0,Defensive rebound by J. Ingles,,66-60,,
4:20.0,D. Favors misses 2-pt shot from 3 ft (block by M. Smart),,66-60,,
4:20.0,Offensive rebound by Team,,66-60,,
4:20.0,,,66-60,,T. Zeller enters the game for A. Johnson
4:20.0,Jump ball: D. Favors vs. M. Smart (R. Neto gains possession),,,,Jump ball: D. Favors vs. M. Smart (R. Neto gains possession)
4:18.0,R. Neto misses 3-pt shot from 26 ft,,66-60,,
4:16.0,,,66-60,,Defensive rebound by T. Zeller
4:06.0,,,66-63,3,M. Smart makes 3-pt shot from 25 ft (assist by I. Thomas)
3:46.0,T. Lyles makes 2-pt shot at rim (assist by D. Favors),2,68-63,,
3:35.0,,,68-63,,Shooting foul by J. Ingles (drawn by M. Smart)
3:35.0,,,68-63,,M. Smart misses free throw 1 of 3
3:35.0,,,68-63,,Offensive rebound by Team
3:35.0,,,68-64,1,M. Smart makes free throw 2 of 3
3:35.0,,,68-65,1,M. Smart makes free throw 3 of 3
3:24.0,D. Favors misses 2-pt shot from 1 ft (block by T. Zeller),,68-65,,
3:23.0,,,68-65,,Defensive rebound by M. Smart
3:17.0,,,68-65,,I. Thomas misses 2-pt shot from 1 ft
3:16.0,,,68-65,,Offensive rebound by T. Zeller
3:16.0,,,68-65,,T. Zeller misses 2-pt shot at rim
3:15.0,Defensive rebound by D. Favors,,68-65,,
3:11.0,Utah full timeout,,68-65,,
3:11.0,,,68-65,,J. Jerebko enters the game for I. Thomas
3:11.0,G. Hayward enters the game for R. Hood,,68-65,,
2:55.0,T. Lyles makes 2-pt shot at rim (assist by R. Neto),2,70-65,,
2:38.0,,,70-65,,T. Zeller misses 2-pt shot from 3 ft (block by D. Favors)
2:37.0,,,70-65,,Offensive rebound by T. Zeller
2:35.0,,,70-65,,T. Zeller misses 2-pt shot from 8 ft
2:34.0,Defensive rebound by J. Ingles,,70-65,,
2:12.0,T. Lyles misses 3-pt shot from 23 ft,,70-65,,
2:11.0,Offensive rebound by D. Favors,,70-65,,
2:09.0,,,70-65,,Personal block foul by J. Jerebko (drawn by G. Hayward)
2:09.0,S. Mack enters the game for R. Neto,,70-65,,
1:59.0,T. Lyles misses 2-pt shot from 12 ft,,70-65,,
1:58.0,,,70-65,,Defensive rebound by E. Turner
1:53.0,,,70-67,2,J. Crowder makes 2-pt shot from 1 ft (assist by E. Turner)
1:53.0,,,70-67,,Shooting foul by T. Lyles (drawn by J. Crowder)
1:53.0,,,70-68,1,J. Crowder makes free throw 1 of 1
1:44.0,Shooting foul by J. Jerebko (drawn by G. Hayward),,70-68,,
1:44.0,G. Hayward makes free throw 1 of 2,1,71-68,,
1:44.0,R. Gobert enters the game for D. Favors,,71-68,,
1:44.0,G. Hayward misses free throw 2 of 2,,71-68,,
1:44.0,,,71-68,,Defensive rebound by J. Jerebko
1:25.0,,,71-68,,Shooting foul by T. Lyles (drawn by T. Zeller)
1:25.0,,,71-69,1,T. Zeller makes free throw 1 of 2
1:25.0,C. Johnson enters the game for T. Lyles,,71-69,,
1:25.0,,,71-70,1,T. Zeller makes free throw 2 of 2
1:10.0,S. Mack misses 2-pt shot from 20 ft,,71-70,,
1:10.0,Offensive rebound by Team,,71-70,,
1:10.0,,,71-70,,Loose ball foul by T. Zeller (drawn by R. Gobert)
1:10.0,R. Gobert makes free throw 1 of 2,1,72-70,,
1:10.0,R. Gobert makes free throw 2 of 2,1,73-70,,
1:00.0,,,73-70,,Turnover by E. Turner (bad pass; steal by S. Mack)
0:55.0,S. Mack misses 2-pt shot from 1 ft (block by E. Turner),,73-70,,
0:53.0,Offensive rebound by J. Ingles,,73-70,,
0:50.0,J. Ingles misses 3-pt shot from 25 ft,,73-70,,
0:49.0,,,73-70,,Defensive rebound by Team
0:49.0,Personal foul by R. Gobert (drawn by T. Zeller),,73-70,,
0:49.0,,,73-71,1,T. Zeller makes free throw 1 of 2
0:49.0,,,73-72,1,T. Zeller makes free throw 2 of 2
0:28.0,G. Hayward misses 2-pt shot from 1 ft,,73-72,,
0:27.0,,,73-72,,Defensive rebound by J. Crowder
0:19.0,,,73-72,,Turnover by J. Jerebko (bad pass; steal by C. Johnson)
0:02.0,G. Hayward misses 2-pt shot from 16 ft,,73-72,,
0:01.0,Offensive rebound by Team,,73-72,,
0:01.0,D. Favors enters the game for J. Ingles,,73-72,,
0:01.0,R. Hood enters the game for C. Johnson,,73-72,,
0:01.0,,,73-72,,J. Mickey enters the game for J. Jerebko
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,73-72,,T. Zeller misses 2-pt shot from 18 ft
11:47.0,Defensive rebound by T. Lyles,,73-72,,
11:30.0,S. Mack makes 3-pt shot from 24 ft (assist by T. Lyles),3,76-72,,
11:11.0,,,76-72,,E. Turner misses 2-pt shot from 7 ft
11:10.0,Defensive rebound by R. Gobert,,76-72,,
10:58.0,Offensive charge foul by C. Johnson,,76-72,,
10:58.0,Turnover by C. Johnson (offensive foul),,76-72,,
10:39.0,,,76-75,3,J. Jerebko makes 3-pt shot from 26 ft (assist by M. Smart)
10:24.0,G. Hayward misses 3-pt shot from 25 ft,,76-75,,
10:23.0,,,76-75,,Defensive rebound by J. Jerebko
10:18.0,,,76-77,2,T. Zeller makes 2-pt shot from 1 ft (assist by E. Turner)
10:05.0,Offensive foul by S. Mack,,76-77,,
10:05.0,Turnover by S. Mack (offensive foul),,76-77,,
9:56.0,,,76-77,,M. Smart misses 3-pt shot from 25 ft
9:55.0,Defensive rebound by T. Lyles,,76-77,,
9:41.0,G. Hayward misses 2-pt shot from 6 ft,,76-77,,
9:40.0,Offensive rebound by T. Lyles,,76-77,,
9:39.0,R. Gobert misses 2-pt shot from 1 ft (block by T. Zeller),,76-77,,
9:38.0,,,76-77,,Defensive rebound by M. Smart
9:35.0,,,76-77,,A. Bradley misses 3-pt shot from 25 ft
9:34.0,Defensive rebound by Team,,76-77,,
9:34.0,,,76-77,,Loose ball foul by J. Jerebko (drawn by T. Lyles)
9:19.0,G. Hayward misses 2-pt shot from 9 ft,,76-77,,
9:17.0,,,76-77,,Defensive rebound by E. Turner
9:09.0,,,76-77,,T. Zeller misses 2-pt shot from 1 ft (block by T. Lyles)
9:08.0,,,76-77,,Offensive rebound by Team
9:08.0,D. Favors enters the game for R. Gobert,,76-77,,
9:04.0,,,76-79,2,A. Bradley makes 2-pt shot from 11 ft (assist by E. Turner)
8:40.0,D. Favors misses 2-pt shot from 18 ft,,76-79,,
8:38.0,,,76-79,,Defensive rebound by A. Bradley
8:34.0,,,76-81,2,A. Bradley makes 2-pt shot at rim
8:34.0,Utah full timeout,,76-81,,
8:34.0,R. Hood enters the game for C. Johnson,,76-81,,
8:09.0,R. Hood makes 3-pt shot from 23 ft (assist by G. Hayward),3,79-81,,
7:52.0,,,79-81,,Violation by J. Jerebko (kicked ball)
7:39.0,,,79-81,,J. Jerebko misses 3-pt shot from 24 ft
7:38.0,,,79-81,,Offensive rebound by T. Zeller
7:32.0,,,79-83,2,T. Zeller makes 2-pt shot at rim (assist by M. Smart)
7:03.0,G. Hayward makes 2-pt shot from 15 ft,2,81-83,,
6:38.0,,,81-83,,E. Turner misses 2-pt shot from 6 ft
6:37.0,Defensive rebound by Team,,81-83,,
6:37.0,R. Gobert enters the game for T. Lyles,,81-83,,
6:15.0,D. Favors misses 2-pt shot from 12 ft,,81-83,,
6:13.0,Offensive rebound by R. Gobert,,81-83,,
