time,Chicago,pts.away,score,pts.home,Cleveland
7:30.0,D. Rose makes 3-pt shot from 24 ft (assist by P. Gasol),3,7-10,,
7:12.0,,,7-10,,J. Smith misses 3-pt shot from 26 ft
7:12.0,Defensive rebound by P. Gasol,,7-10,,
7:01.0,Turnover by P. Gasol (bad pass; steal by T. Thompson),,7-10,,
6:51.0,,,7-13,3,K. Love makes 3-pt shot from 23 ft (assist by L. James)
6:51.0,Chicago full timeout,,7-13,,
6:42.0,,,7-13,,Personal foul by T. Thompson (drawn by P. Gasol)
6:31.0,M. Dunleavy misses 2-pt shot from 5 ft,,7-13,,
6:26.0,Offensive rebound by T. Gibson,,7-13,,
6:26.0,T. Gibson makes 2-pt shot at rim,2,9-13,,
6:20.0,,,9-13,,K. Love misses 3-pt shot from 24 ft
6:18.0,Defensive rebound by D. Rose,,9-13,,
6:05.0,E. Moore misses 2-pt shot from 7 ft,,9-13,,
6:04.0,,,9-13,,Defensive rebound by L. James
5:43.0,,,9-13,,T. Thompson misses 2-pt shot from 6 ft
5:43.0,,,9-13,,Offensive rebound by Team
5:43.0,,,9-13,,Turnover by Team (shot clock)
5:43.0,T. Snell enters the game for T. Gibson,,9-13,,
5:43.0,B. Portis enters the game for M. Dunleavy,,9-13,,
5:30.0,D. Rose misses 2-pt shot from 17 ft,,9-13,,
5:29.0,,,9-13,,Defensive rebound by K. Love
5:15.0,,,9-13,,Turnover by K. Irving (lost ball)
5:03.0,Shooting foul by J. Smith (drawn by E. Moore),,9-13,,
5:03.0,E. Moore makes 2-pt shot from 3 ft,2,11-13,,
5:03.0,,,11-13,,T. Mozgov enters the game for K. Love
5:03.0,E. Moore makes free throw 1 of 1,1,12-13,,
4:47.0,,,12-15,2,T. Thompson makes 2-pt shot from 8 ft (assist by K. Irving)
4:45.0,,,12-15,,M. Dellavedova enters the game for K. Irving
4:35.0,D. Rose misses 3-pt shot from 25 ft,,12-15,,
4:34.0,,,12-15,,Defensive rebound by T. Thompson
4:17.0,,,12-17,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
3:55.0,D. Rose makes 2-pt shot at rim (assist by T. Snell),2,14-17,,
3:55.0,Shooting foul by L. James (drawn by D. Rose),,14-17,,
3:55.0,D. Rose makes free throw 1 of 1,1,15-17,,
3:41.0,,,15-17,,Turnover by J. Smith (lost ball; steal by D. Rose)
3:34.0,B. Portis misses 2-pt shot from 2 ft (block by T. Mozgov),,15-17,,
3:31.0,,,15-17,,Defensive rebound by T. Thompson
3:23.0,,,15-17,,L. James misses 2-pt shot at rim
3:22.0,,,15-17,,Offensive rebound by T. Thompson
3:18.0,,,15-19,2,T. Thompson makes 2-pt shot from 1 ft
2:54.0,T. Snell misses 2-pt shot at rim (block by T. Mozgov),,15-19,,
2:52.0,Offensive rebound by B. Portis,,15-19,,
2:51.0,B. Portis makes 2-pt shot at rim,2,17-19,,
2:51.0,,,17-19,,Cleveland full timeout
2:51.0,D. McDermott enters the game for E. Moore,,17-19,,
2:51.0,A. Brooks enters the game for D. Rose,,17-19,,
2:51.0,,,17-19,,K. Love enters the game for L. James
2:51.0,,,17-19,,I. Shumpert enters the game for T. Thompson
2:30.0,,,17-22,3,I. Shumpert makes 3-pt shot from 24 ft (assist by J. Smith)
2:11.0,D. McDermott misses 3-pt shot from 25 ft,,17-22,,
2:11.0,,,17-22,,Defensive rebound by Team
1:55.0,,,17-22,,K. Love misses 2-pt shot from 3 ft
1:54.0,,,17-22,,Offensive rebound by T. Mozgov
1:54.0,,,17-24,2,T. Mozgov makes 2-pt shot at rim
1:32.0,A. Brooks misses 2-pt shot from 7 ft,,17-24,,
1:31.0,Offensive rebound by B. Portis,,17-24,,
1:28.0,B. Portis misses 2-pt shot from 4 ft,,17-24,,
1:27.0,,,17-24,,Defensive rebound by K. Love
1:12.0,,,17-24,,J. Smith misses 2-pt shot from 18 ft
1:12.0,Defensive rebound by Team,,17-24,,
1:00.0,B. Portis misses 2-pt shot from 11 ft,,17-24,,
0:59.0,,,17-24,,Defensive rebound by J. Smith
0:51.0,,,17-24,,M. Dellavedova misses 2-pt shot from 8 ft
0:49.0,,,17-24,,Offensive rebound by T. Mozgov
0:46.0,,,17-26,2,K. Love makes 2-pt shot from 20 ft (assist by J. Smith)
0:36.0,B. Portis makes 2-pt shot from 19 ft (assist by A. Brooks),2,19-26,,
0:24.0,Personal foul by T. Snell (drawn by J. Smith),,19-26,,
0:24.0,,,19-26,,R. Jefferson enters the game for J. Smith
0:21.0,,,19-26,,Turnover by M. Dellavedova (lost ball; steal by A. Brooks)
0:08.0,,,19-26,,Personal foul by M. Dellavedova (drawn by A. Brooks)
0:00.0,P. Gasol misses 2-pt shot from 16 ft,,19-26,,
0:00.0,Offensive rebound by Team,,19-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,19-26,,I. Shumpert misses 2-pt shot from 6 ft (block by T. Snell)
11:42.0,,,19-26,,Offensive rebound by T. Mozgov
11:36.0,,,19-26,,M. Dellavedova misses 2-pt shot from 6 ft
11:34.0,Defensive rebound by T. Snell,,19-26,,
11:28.0,T. Snell misses 2-pt shot from 16 ft,,19-26,,
11:27.0,Offensive rebound by T. Snell,,19-26,,
11:22.0,T. Snell makes 2-pt shot from 11 ft,2,21-26,,
11:05.0,,,21-26,,R. Jefferson misses 3-pt shot from 26 ft
11:04.0,,,21-26,,Offensive rebound by M. Dellavedova
10:58.0,,,21-26,,M. Dellavedova misses 3-pt shot from 24 ft
10:58.0,Defensive rebound by Team,,21-26,,
10:43.0,D. McDermott misses 3-pt shot from 24 ft,,21-26,,
10:43.0,,,21-26,,Defensive rebound by T. Mozgov
10:32.0,,,21-28,2,T. Mozgov makes 2-pt shot at rim (assist by M. Dellavedova)
10:12.0,T. Gibson makes 2-pt shot from 19 ft (assist by T. Snell),2,23-28,,
9:57.0,,,23-28,,I. Shumpert misses 3-pt shot from 25 ft
9:57.0,Defensive rebound by B. Portis,,23-28,,
9:51.0,Turnover by A. Brooks (traveling),,23-28,,
9:51.0,,,23-28,,K. Irving enters the game for M. Dellavedova
9:39.0,,,23-28,,K. Irving misses 2-pt shot from 15 ft
9:38.0,Defensive rebound by D. McDermott,,23-28,,
9:25.0,T. Gibson misses 2-pt shot from 1 ft,,23-28,,
9:22.0,,,23-28,,Defensive rebound by K. Love
9:10.0,,,23-28,,T. Mozgov misses 2-pt shot from 11 ft
9:08.0,Defensive rebound by T. Gibson,,23-28,,
8:56.0,A. Brooks misses 2-pt shot from 11 ft,,23-28,,
8:54.0,,,23-28,,Defensive rebound by T. Mozgov
8:46.0,,,23-28,,R. Jefferson misses 3-pt shot from 23 ft
8:45.0,Defensive rebound by A. Brooks,,23-28,,
8:34.0,Official timeout,,23-28,,
8:34.0,D. Rose enters the game for A. Brooks,,23-28,,
8:34.0,,,23-28,,L. James enters the game for K. Love
8:34.0,,,23-28,,T. Thompson enters the game for T. Mozgov
8:27.0,Turnover by D. McDermott (lost ball; steal by I. Shumpert),,23-28,,
8:20.0,,,23-30,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
8:03.0,Turnover by B. Portis (bad pass; steal by R. Jefferson),,23-30,,
7:58.0,,,23-32,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
7:58.0,,,23-32,,Shooting foul by D. McDermott (drawn by T. Thompson)
7:58.0,E. Moore enters the game for D. McDermott,,23-32,,
7:58.0,M. Dunleavy enters the game for T. Snell,,23-32,,
7:58.0,,,23-32,,T. Thompson misses free throw 1 of 1
7:57.0,Defensive rebound by T. Gibson,,23-32,,
7:43.0,D. Rose misses 2-pt shot from 18 ft,,23-32,,
7:42.0,,,23-32,,Defensive rebound by T. Thompson
7:41.0,Personal foul by T. Gibson (drawn by T. Thompson),,23-32,,
7:29.0,,,23-32,,T. Thompson misses 2-pt shot from 4 ft (block by E. Moore)
7:27.0,Defensive rebound by M. Dunleavy,,23-32,,
7:14.0,T. Gibson misses 2-pt shot from 6 ft,,23-32,,
7:13.0,,,23-32,,Defensive rebound by L. James
7:11.0,Personal block foul by T. Gibson (drawn by L. James),,23-32,,
7:11.0,P. Gasol enters the game for B. Portis,,23-32,,
7:05.0,,,23-35,3,R. Jefferson makes 3-pt shot from 23 ft (assist by I. Shumpert)
7:03.0,Chicago full timeout,,23-35,,
6:52.0,M. Dunleavy misses 2-pt shot from 1 ft (block by L. James),,23-35,,
6:52.0,Offensive rebound by Team,,23-35,,
6:49.0,M. Dunleavy misses 2-pt shot from 14 ft,,23-35,,
6:48.0,,,23-35,,Defensive rebound by T. Thompson
6:35.0,,,23-37,2,K. Irving makes 2-pt shot from 15 ft
6:12.0,D. Rose makes 3-pt shot from 25 ft (assist by P. Gasol),3,26-37,,
5:56.0,,,26-37,,Turnover by R. Jefferson (bad pass)
5:44.0,M. Dunleavy misses 2-pt shot from 15 ft,,26-37,,
5:43.0,,,26-37,,Defensive rebound by T. Thompson
5:29.0,,,26-37,,K. Irving misses 3-pt shot from 26 ft
5:29.0,Defensive rebound by D. Rose,,26-37,,
5:16.0,Turnover by E. Moore (bad pass),,26-37,,
5:16.0,,,26-37,,K. Love enters the game for R. Jefferson
5:16.0,,,26-37,,J. Smith enters the game for I. Shumpert
5:00.0,,,26-39,2,K. Love makes 2-pt shot from 20 ft (assist by L. James)
4:46.0,Turnover by M. Dunleavy (bad pass; steal by T. Thompson),,26-39,,
4:41.0,,,26-41,2,T. Thompson makes 2-pt shot at rim
4:41.0,Chicago full timeout,,26-41,,
4:31.0,Turnover by D. Rose (lost ball; steal by T. Thompson),,26-41,,
4:24.0,,,26-43,2,T. Thompson makes 2-pt shot from 1 ft
4:16.0,D. Rose makes 2-pt shot from 1 ft,2,28-43,,
4:16.0,Shooting foul by K. Love (drawn by D. Rose),,28-43,,
4:16.0,D. Rose makes free throw 1 of 1,1,29-43,,
4:02.0,,,29-43,,K. Irving misses 2-pt shot from 10 ft
4:01.0,Defensive rebound by P. Gasol,,29-43,,
3:48.0,M. Dunleavy makes 3-pt shot from 24 ft (assist by P. Gasol),3,32-43,,
3:48.0,,,32-43,,Cleveland full timeout
3:48.0,T. Snell enters the game for E. Moore,,32-43,,
3:33.0,,,32-43,,L. James misses 2-pt shot from 18 ft
3:32.0,Defensive rebound by P. Gasol,,32-43,,
3:11.0,M. Dunleavy misses 3-pt shot from 25 ft,,32-43,,
3:11.0,,,32-43,,Defensive rebound by T. Thompson
2:57.0,,,32-43,,J. Smith misses 2-pt shot from 13 ft
2:57.0,,,32-43,,Offensive rebound by K. Love
2:52.0,,,32-43,,J. Smith misses 3-pt shot from 26 ft
2:52.0,Defensive rebound by T. Gibson,,32-43,,
2:41.0,D. Rose makes 2-pt shot from 1 ft,2,34-43,,
2:23.0,,,34-43,,Shooting foul by P. Gasol (drawn by K. Love)
2:23.0,,,34-43,,K. Love misses free throw 1 of 2
2:23.0,,,34-43,,Offensive rebound by Team
2:23.0,B. Portis enters the game for T. Gibson,,34-43,,
2:23.0,D. McDermott enters the game for M. Dunleavy,,34-43,,
2:23.0,,,34-44,1,K. Love makes free throw 2 of 2
2:05.0,P. Gasol makes 2-pt shot from 6 ft,2,36-44,,
1:51.0,,,36-44,,J. Smith misses 3-pt shot from 23 ft
1:50.0,Defensive rebound by T. Snell,,36-44,,
1:36.0,D. Rose misses 2-pt shot from 14 ft,,36-44,,
1:35.0,,,36-44,,Defensive rebound by K. Love
1:19.0,,,36-46,2,L. James makes 2-pt shot from 1 ft (assist by K. Irving)
1:06.0,T. Snell misses 2-pt shot from 6 ft,,36-46,,
1:04.0,Offensive rebound by B. Portis,,36-46,,
1:04.0,B. Portis makes 2-pt shot from 1 ft,2,38-46,,
0:46.0,,,38-46,,K. Irving misses 2-pt shot from 16 ft
0:46.0,Defensive rebound by B. Portis,,38-46,,
0:36.0,D. Rose makes 2-pt shot from 5 ft,2,40-46,,
0:19.0,,,40-46,,Shooting foul by P. Gasol (drawn by K. Irving)
0:19.0,,,40-47,1,K. Irving makes free throw 1 of 2
0:19.0,M. Dunleavy enters the game for P. Gasol,,40-47,,
0:19.0,,,40-47,,T. Mozgov enters the game for T. Thompson
0:19.0,,,40-47,,I. Shumpert enters the game for K. Love
0:19.0,,,40-48,1,K. Irving makes free throw 2 of 2
0:05.0,,,40-48,,Personal foul by I. Shumpert (drawn by D. Rose)
0:00.0,M. Dunleavy makes 2-pt shot from 14 ft,2,42-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,42-51,3,J. Smith makes 3-pt shot from 24 ft (assist by L. James)
11:22.0,E. Moore misses 3-pt shot from 26 ft,,42-51,,
11:22.0,,,42-51,,Defensive rebound by T. Thompson
11:02.0,,,42-51,,K. Love misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by D. Rose,,42-51,,
10:59.0,E. Moore makes 2-pt shot from 1 ft (assist by D. Rose),2,44-51,,
10:59.0,Shooting foul by K. Love (drawn by E. Moore),,44-51,,
10:59.0,E. Moore misses free throw 1 of 1,,44-51,,
10:58.0,,,44-51,,Defensive rebound by J. Smith
10:45.0,Personal foul by M. Dunleavy (drawn by L. James),,44-51,,
10:33.0,,,44-54,3,K. Love makes 3-pt shot from 23 ft (assist by L. James)
10:17.0,D. Rose misses 2-pt shot from 14 ft,,44-54,,
10:17.0,Offensive rebound by T. Gibson,,44-54,,
10:11.0,D. Rose makes 2-pt shot from 6 ft,2,46-54,,
10:03.0,,,46-54,,Shooting foul by M. Dunleavy (drawn by L. James)
10:03.0,,,46-55,1,L. James makes free throw 1 of 2
10:03.0,,,46-56,1,L. James makes free throw 2 of 2
9:51.0,Turnover by D. Rose (bad pass; steal by K. Irving),,46-56,,
9:47.0,,,46-58,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
9:47.0,,,46-58,,Technical foul by J. Smith
9:47.0,Technical foul by T. Gibson,,46-58,,
9:27.0,E. Moore misses 2-pt shot from 7 ft,,46-58,,
9:26.0,,,46-58,,Defensive rebound by L. James
9:15.0,,,46-58,,K. Irving misses 2-pt shot from 16 ft
9:15.0,Defensive rebound by E. Moore,,46-58,,
9:09.0,M. Dunleavy misses 3-pt shot from 25 ft,,46-58,,
9:08.0,Offensive rebound by Team,,46-58,,
9:08.0,,,46-58,,Loose ball foul by K. Irving (drawn by M. Dunleavy)
8:59.0,P. Gasol misses 2-pt shot from 17 ft,,46-58,,
8:58.0,,,46-58,,Defensive rebound by L. James
8:51.0,,,46-58,,J. Smith misses 3-pt shot from 28 ft
8:51.0,,,46-58,,Offensive rebound by L. James
8:51.0,,,46-60,2,L. James makes 2-pt shot at rim
8:51.0,,,46-60,,Shooting foul by E. Moore (drawn by L. James)
8:51.0,,,46-61,1,L. James makes free throw 1 of 1
8:37.0,D. Rose makes 2-pt shot from 1 ft,2,48-61,,
8:17.0,,,48-63,2,K. Irving makes 2-pt shot from 5 ft
7:57.0,Turnover by D. Rose (lost ball; steal by K. Irving),,48-63,,
7:52.0,,,48-65,2,L. James makes 2-pt shot at rim (assist by J. Smith)
7:52.0,Chicago full timeout,,48-65,,
7:52.0,T. Snell enters the game for E. Moore,,48-65,,
7:52.0,A. Brooks enters the game for D. Rose,,48-65,,
7:34.0,P. Gasol makes 2-pt shot from 9 ft,2,50-65,,
7:25.0,,,50-65,,Offensive foul by K. Irving
7:25.0,,,50-65,,Turnover by K. Irving (offensive foul)
7:15.0,,,50-65,,Personal foul by T. Thompson (drawn by P. Gasol)
7:06.0,Turnover by T. Snell (illegal assist),,50-65,,
6:54.0,,,50-65,,Shooting foul by A. Brooks (drawn by K. Irving)
6:54.0,,,50-66,1,K. Irving makes free throw 1 of 2
6:54.0,E. Moore enters the game for M. Dunleavy,,50-66,,
6:54.0,,,50-67,1,K. Irving makes free throw 2 of 2
6:31.0,P. Gasol misses 2-pt shot from 23 ft,,50-67,,
6:30.0,,,50-67,,Defensive rebound by K. Love
6:16.0,,,50-67,,L. James misses 2-pt shot from 5 ft
6:15.0,Defensive rebound by T. Snell,,50-67,,
6:14.0,,,50-67,,Personal foul by L. James (drawn by T. Snell)
6:05.0,T. Snell makes 2-pt shot from 1 ft (assist by P. Gasol),2,52-67,,
5:51.0,,,52-69,2,K. Irving makes 2-pt shot from 17 ft
5:35.0,Shooting foul by T. Thompson (drawn by T. Gibson),,52-69,,
5:35.0,T. Gibson makes free throw 1 of 2,1,53-69,,
5:35.0,T. Gibson misses free throw 2 of 2,,53-69,,
5:33.0,,,53-69,,Defensive rebound by K. Love
5:14.0,,,53-69,,K. Irving misses 3-pt shot from 24 ft
5:13.0,Defensive rebound by T. Gibson,,53-69,,
5:02.0,Offensive foul by A. Brooks,,53-69,,
5:02.0,Turnover by A. Brooks (offensive foul),,53-69,,
5:02.0,,,53-69,,T. Mozgov enters the game for T. Thompson
4:45.0,,,53-69,,J. Smith misses 2-pt shot from 1 ft (block by P. Gasol)
4:44.0,Defensive rebound by P. Gasol,,53-69,,
4:35.0,Shooting foul by T. Mozgov (drawn by P. Gasol),,53-69,,
4:35.0,P. Gasol misses free throw 1 of 2,,53-69,,
4:35.0,Offensive rebound by Team,,53-69,,
4:35.0,B. Portis enters the game for T. Gibson,,53-69,,
4:35.0,P. Gasol makes free throw 2 of 2,1,54-69,,
4:34.0,,,54-69,,Offensive foul by L. James
4:34.0,,,54-69,,Turnover by L. James (offensive foul)
4:07.0,E. Moore misses 2-pt shot from 6 ft,,54-69,,
4:07.0,Offensive rebound by B. Portis,,54-69,,
3:56.0,A. Brooks misses 3-pt shot from 25 ft,,54-69,,
3:55.0,Offensive rebound by B. Portis,,54-69,,
3:50.0,B. Portis misses 2-pt shot from 4 ft,,54-69,,
3:48.0,,,54-69,,Defensive rebound by K. Love
3:39.0,,,54-69,,I. Shumpert enters the game for K. Love
3:27.0,,,54-71,2,L. James makes 2-pt shot from 17 ft
3:09.0,P. Gasol makes 2-pt shot from 3 ft,2,56-71,,
3:00.0,,,56-71,,K. Irving misses 2-pt shot from 22 ft
2:59.0,Defensive rebound by P. Gasol,,56-71,,
2:41.0,B. Portis misses 2-pt shot from 4 ft,,56-71,,
2:39.0,Offensive rebound by P. Gasol,,56-71,,
2:39.0,P. Gasol misses 2-pt shot from 1 ft,,56-71,,
2:37.0,Offensive rebound by P. Gasol,,56-71,,
2:37.0,P. Gasol makes 2-pt shot from 1 ft,2,58-71,,
2:34.0,,,58-71,,Cleveland full timeout
2:34.0,D. McDermott enters the game for E. Moore,,58-71,,
2:34.0,,,58-71,,M. Dellavedova enters the game for K. Irving
2:16.0,,,58-73,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
2:06.0,,,58-73,,Personal foul by T. Mozgov (drawn by P. Gasol)
2:06.0,P. Gasol makes free throw 1 of 2,1,59-73,,
2:06.0,P. Gasol misses free throw 2 of 2,,59-73,,
2:05.0,,,59-73,,Defensive rebound by I. Shumpert
1:56.0,,,59-73,,Turnover by L. James (bad pass)
1:41.0,P. Gasol makes 2-pt shot from 4 ft,2,61-73,,
1:31.0,,,61-75,2,M. Dellavedova makes 2-pt shot from 11 ft
1:12.0,B. Portis makes 2-pt shot from 7 ft,2,63-75,,
0:57.0,,,63-75,,M. Dellavedova misses 3-pt shot from 25 ft
0:57.0,Defensive rebound by T. Snell,,63-75,,
0:47.0,,,63-75,,Personal foul by I. Shumpert (drawn by A. Brooks)
0:47.0,A. Brooks misses free throw 1 of 2,,63-75,,
0:47.0,Offensive rebound by Team,,63-75,,
0:47.0,A. Brooks makes free throw 2 of 2,1,64-75,,
0:34.0,,,64-77,2,T. Mozgov makes 2-pt shot from 1 ft (assist by J. Smith)
0:34.0,,,64-77,,Shooting foul by D. McDermott (drawn by T. Mozgov)
0:34.0,,,64-78,1,T. Mozgov makes free throw 1 of 1
0:19.0,D. McDermott misses 2-pt shot from 4 ft,,64-78,,
0:19.0,,,64-78,,Defensive rebound by L. James
0:00.0,,,64-78,,L. James misses 2-pt shot from 22 ft
0:00.0,,,64-78,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,B. Portis makes 3-pt shot from 25 ft,3,67-78,,
11:19.0,,,67-78,,K. Love misses 3-pt shot from 23 ft
11:19.0,Defensive rebound by D. Rose,,67-78,,
11:12.0,T. Snell misses 3-pt shot from 25 ft,,67-78,,
11:11.0,,,67-78,,Defensive rebound by R. Jefferson
11:00.0,,,67-78,,Shooting foul by B. Portis (drawn by K. Love)
11:00.0,,,67-79,1,K. Love makes free throw 1 of 2
11:00.0,,,67-80,1,K. Love makes free throw 2 of 2
10:40.0,B. Portis misses 2-pt shot at rim (block by K. Love),,67-80,,
10:39.0,Offensive rebound by B. Portis,,67-80,,
10:38.0,Offensive foul by B. Portis,,67-80,,
10:38.0,Turnover by B. Portis (offensive foul),,67-80,,
10:24.0,,,67-80,,K. Love misses 3-pt shot from 24 ft
10:22.0,,,67-80,,Offensive rebound by T. Mozgov
10:21.0,Personal foul by T. Gibson (drawn by T. Mozgov),,67-80,,
10:10.0,,,67-82,2,K. Love makes 2-pt shot from 5 ft
9:51.0,D. McDermott misses 3-pt shot from 25 ft,,67-82,,
9:50.0,Offensive rebound by B. Portis,,67-82,,
9:44.0,B. Portis misses 2-pt shot from 16 ft,,67-82,,
9:43.0,,,67-82,,Defensive rebound by K. Love
9:38.0,,,67-82,,Turnover by M. Dellavedova (palming)
9:28.0,D. Rose misses 2-pt shot from 7 ft,,67-82,,
9:28.0,Offensive rebound by Team,,67-82,,
9:25.0,B. Portis misses 2-pt shot from 16 ft,,67-82,,
9:24.0,,,67-82,,Defensive rebound by I. Shumpert
9:16.0,,,67-84,2,I. Shumpert makes 2-pt shot at rim
9:07.0,T. Gibson misses 2-pt shot from 14 ft,,67-84,,
9:06.0,,,67-84,,Defensive rebound by I. Shumpert
9:01.0,,,67-84,,Shooting foul by D. McDermott (drawn by M. Dellavedova)
9:01.0,,,67-85,1,M. Dellavedova makes free throw 1 of 2
9:01.0,,,67-85,,T. Thompson enters the game for K. Love
9:01.0,,,67-86,1,M. Dellavedova makes free throw 2 of 2
8:45.0,T. Snell makes 3-pt shot from 24 ft (assist by B. Portis),3,70-86,,
8:20.0,,,70-88,2,R. Jefferson makes 2-pt shot from 14 ft
8:08.0,D. Rose makes 2-pt shot from 17 ft,2,72-88,,
7:49.0,,,72-88,,I. Shumpert misses 2-pt shot from 3 ft (block by D. McDermott)
7:48.0,,,72-88,,Offensive rebound by I. Shumpert
7:40.0,,,72-88,,T. Mozgov misses 2-pt shot from 17 ft
7:39.0,Defensive rebound by D. Rose,,72-88,,
7:29.0,Shooting foul by R. Jefferson (drawn by T. Gibson),,72-88,,
7:29.0,Official timeout,,72-88,,
7:29.0,,,72-88,,K. Irving enters the game for M. Dellavedova
7:29.0,,,72-88,,L. James enters the game for R. Jefferson
7:29.0,T. Gibson misses free throw 1 of 2,,72-88,,
7:29.0,Offensive rebound by Team,,72-88,,
7:29.0,T. Gibson misses free throw 2 of 2,,72-88,,
7:28.0,,,72-88,,Defensive rebound by I. Shumpert
7:11.0,,,72-90,2,K. Irving makes 2-pt shot from 1 ft
6:59.0,D. McDermott makes 3-pt shot from 24 ft (assist by D. Rose),3,75-90,,
6:42.0,,,75-92,2,L. James makes 2-pt shot from 15 ft (assist by K. Irving)
6:26.0,D. Rose misses 2-pt shot from 15 ft,,75-92,,
6:26.0,,,75-92,,Defensive rebound by L. James
6:17.0,,,75-92,,L. James misses 2-pt shot from 15 ft
6:17.0,Defensive rebound by D. Rose,,75-92,,
6:17.0,Shooting foul by I. Shumpert (drawn by D. Rose),,75-92,,
6:17.0,D. Rose makes free throw 1 of 2,1,76-92,,
6:17.0,D. Rose makes free throw 2 of 2,1,77-92,,
6:04.0,,,77-92,,K. Irving misses 2-pt shot from 1 ft
6:01.0,Defensive rebound by T. Snell,,77-92,,
5:52.0,B. Portis misses 2-pt shot at rim (block by T. Thompson),,77-92,,
5:49.0,,,77-92,,Defensive rebound by L. James
5:45.0,,,77-94,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
5:35.0,D. Rose makes 2-pt shot from 15 ft,2,79-94,,
5:27.0,,,79-94,,Shooting foul by B. Portis (drawn by K. Irving)
5:27.0,,,79-94,,Cleveland full timeout
5:27.0,,,79-95,1,K. Irving makes free throw 1 of 2
5:27.0,,,79-96,1,K. Irving makes free throw 2 of 2
5:05.0,T. Snell makes 2-pt shot from 12 ft,2,81-96,,
4:49.0,,,81-96,,L. James misses 3-pt shot from 25 ft
4:49.0,Defensive rebound by T. Snell,,81-96,,
4:39.0,B. Portis makes 2-pt shot from 1 ft (assist by T. Gibson),2,83-96,,
4:18.0,,,83-98,2,L. James makes 2-pt shot from 14 ft
4:00.0,T. Snell misses 2-pt shot from 2 ft (block by T. Mozgov),,83-98,,
3:59.0,Offensive rebound by T. Gibson,,83-98,,
3:58.0,T. Gibson makes 2-pt shot at rim,2,85-98,,
3:47.0,,,85-98,,K. Irving misses 2-pt shot from 5 ft
3:47.0,Defensive rebound by B. Portis,,85-98,,
3:41.0,B. Portis misses 2-pt shot at rim (block by T. Mozgov),,85-98,,
