time,Denver,pts.away,score,pts.home,Portland
0:00.0,,,27-26,,M. Harkless misses 3-pt shot from 49 ft
0:00.0,,,27-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,27-28,2,G. Henderson makes 2-pt shot from 13 ft
11:23.0,Turnover by R. Foye (bad pass; steal by T. Frazier),,27-28,,
11:19.0,,,27-30,2,M. Harkless makes 2-pt shot at rim (assist by T. Frazier)
11:00.0,N. Jokic misses 2-pt shot from 3 ft,,27-30,,
10:59.0,,,27-30,,Defensive rebound by M. Leonard
10:35.0,,,27-30,,M. Leonard misses 3-pt shot from 25 ft
10:34.0,Defensive rebound by J. Nelson,,27-30,,
10:16.0,W. Barton makes 2-pt shot from 17 ft,2,29-30,,
10:00.0,,,29-30,,G. Henderson misses 3-pt shot from 26 ft
9:59.0,Defensive rebound by N. Jokic,,29-30,,
9:44.0,J. Nelson misses 3-pt shot from 25 ft,,29-30,,
9:43.0,,,29-30,,Defensive rebound by G. Henderson
9:35.0,,,29-32,2,E. Davis makes 2-pt shot at rim (assist by T. Frazier)
9:35.0,,,29-32,,Shooting foul by D. Arthur (drawn by E. Davis)
9:35.0,,,29-33,1,E. Davis makes free throw 1 of 1
9:25.0,R. Foye misses 2-pt shot from 21 ft,,29-33,,
9:24.0,,,29-33,,Defensive rebound by T. Frazier
9:08.0,,,29-33,,Shooting foul by R. Foye (drawn by G. Henderson)
9:08.0,,,29-34,1,G. Henderson makes free throw 1 of 2
9:08.0,,,29-35,1,G. Henderson makes free throw 2 of 2
8:53.0,N. Jokic misses 2-pt shot from 2 ft,,29-35,,
8:52.0,,,29-35,,Defensive rebound by M. Leonard
8:35.0,,,29-35,,Shooting foul by W. Barton (drawn by T. Frazier)
8:35.0,Official timeout,,29-35,,
8:35.0,J. Lauvergne enters the game for N. Jokic,,29-35,,
8:35.0,,,29-35,,T. Frazier misses free throw 1 of 2
8:35.0,,,29-35,,Offensive rebound by Team
8:35.0,,,29-36,1,T. Frazier makes free throw 2 of 2
8:22.0,W. Barton misses 2-pt shot from 1 ft (block by E. Davis),,29-36,,
8:22.0,Offensive rebound by Team,,29-36,,
8:12.0,Turnover by J. Nelson (lost ball),,29-36,,
8:06.0,,,29-36,,G. Henderson misses 2-pt shot from 19 ft
8:06.0,Defensive rebound by W. Barton,,29-36,,
7:58.0,W. Barton misses 2-pt shot from 12 ft,,29-36,,
7:58.0,Offensive rebound by Team,,29-36,,
7:58.0,,,29-36,,Personal foul by E. Davis (drawn by J. Lauvergne)
7:40.0,J. Lauvergne misses 2-pt shot at rim (block by M. Leonard),,29-36,,
7:39.0,,,29-36,,Defensive rebound by G. Henderson
7:18.0,,,29-39,3,T. Frazier makes 3-pt shot from 26 ft (assist by M. Leonard)
7:10.0,Denver full timeout,,29-39,,
7:10.0,G. Harris enters the game for R. Foye,,29-39,,
7:10.0,K. Faried enters the game for D. Arthur,,29-39,,
7:10.0,,,29-39,,A. Crabbe enters the game for G. Henderson
7:01.0,W. Barton makes 2-pt shot from 21 ft (assist by J. Lauvergne),2,31-39,,
6:44.0,,,31-41,2,M. Harkless makes 2-pt shot from 13 ft (assist by T. Frazier)
6:31.0,Shooting foul by M. Leonard (drawn by J. Lauvergne),,31-41,,
6:31.0,J. Lauvergne makes free throw 1 of 2,1,32-41,,
6:31.0,J. Lauvergne makes free throw 2 of 2,1,33-41,,
6:17.0,,,33-44,3,M. Leonard makes 3-pt shot from 25 ft (assist by A. Crabbe)
6:02.0,W. Barton makes 2-pt shot from 12 ft,2,35-44,,
5:41.0,,,35-46,2,A. Crabbe makes 2-pt shot from 9 ft
5:26.0,J. Lauvergne makes 3-pt shot from 24 ft (assist by J. Nelson),3,38-46,,
5:08.0,,,38-46,,A. Crabbe misses 3-pt shot from 24 ft
5:07.0,,,38-46,,Offensive rebound by T. Frazier
4:58.0,,,38-46,,Portland full timeout
4:58.0,,,38-46,,C. McCollum enters the game for T. Frazier
4:58.0,,,38-46,,M. Plumlee enters the game for E. Davis
4:51.0,,,38-46,,A. Crabbe misses 3-pt shot from 25 ft
4:50.0,Defensive rebound by K. Faried,,38-46,,
4:38.0,K. Faried makes 2-pt shot from 5 ft (assist by J. Nelson),2,40-46,,
4:15.0,,,40-46,,Turnover by M. Leonard (lost ball; steal by W. Barton)
4:11.0,W. Barton makes 2-pt shot at rim,2,42-46,,
3:57.0,,,42-46,,Shooting foul by K. Faried (drawn by M. Plumlee)
3:57.0,,,42-47,1,M. Plumlee makes free throw 1 of 2
3:57.0,,,42-47,,A. Aminu enters the game for M. Leonard
3:57.0,,,42-48,1,M. Plumlee makes free throw 2 of 2
3:37.0,J. Lauvergne misses 3-pt shot from 24 ft,,42-48,,
3:36.0,,,42-48,,Defensive rebound by A. Aminu
3:30.0,,,42-48,,A. Aminu misses 2-pt shot from 3 ft
3:30.0,Defensive rebound by K. Faried,,42-48,,
3:23.0,Shooting foul by M. Plumlee (drawn by J. Lauvergne),,42-48,,
3:23.0,J. Lauvergne makes 2-pt shot from 4 ft (assist by J. Nelson),2,44-48,,
3:23.0,J. Lauvergne makes free throw 1 of 1,1,45-48,,
3:08.0,,,45-48,,C. McCollum misses 2-pt shot from 18 ft
3:07.0,,,45-48,,Offensive rebound by M. Harkless
3:07.0,,,45-48,,M. Harkless misses 2-pt shot at rim
3:05.0,Defensive rebound by J. Lauvergne,,45-48,,
3:02.0,,,45-48,,Personal foul by C. McCollum (drawn by K. Faried)
2:51.0,G. Harris misses 3-pt shot from 24 ft,,45-48,,
2:51.0,Offensive rebound by K. Faried,,45-48,,
2:51.0,K. Faried misses 2-pt shot from 1 ft,,45-48,,
2:48.0,,,45-48,,Defensive rebound by M. Harkless
2:41.0,,,45-50,2,C. McCollum makes 2-pt shot from 1 ft
2:41.0,,,45-50,,Shooting foul by J. Nelson (drawn by C. McCollum)
2:41.0,Denver full timeout,,45-50,,
2:41.0,,,45-51,1,C. McCollum makes free throw 1 of 1
2:24.0,J. Lauvergne misses 2-pt shot from 20 ft,,45-51,,
2:24.0,,,45-51,,Defensive rebound by A. Crabbe
2:10.0,,,45-51,,M. Plumlee misses 2-pt shot from 4 ft
2:09.0,Defensive rebound by K. Faried,,45-51,,
1:59.0,G. Harris makes 3-pt shot from 24 ft (assist by J. Lauvergne),3,48-51,,
1:39.0,,,48-53,2,C. McCollum makes 2-pt shot from 9 ft
1:25.0,Turnover by K. Faried (lost ball; steal by A. Crabbe),,48-53,,
1:19.0,,,48-55,2,M. Plumlee makes 2-pt shot at rim (assist by A. Aminu)
0:59.0,K. Faried misses 2-pt shot from 2 ft,,48-55,,
0:58.0,,,48-55,,Defensive rebound by M. Plumlee
0:48.0,Personal foul by K. Faried (drawn by C. McCollum),,48-55,,
0:48.0,,,48-56,1,C. McCollum makes free throw 1 of 2
0:48.0,D. Arthur enters the game for K. Faried,,48-56,,
0:48.0,,,48-56,,C. McCollum misses free throw 2 of 2
0:47.0,Defensive rebound by J. Lauvergne,,48-56,,
0:32.0,J. Nelson makes 3-pt shot from 24 ft,3,51-56,,
0:28.0,,,51-56,,C. McCollum misses 3-pt shot from 25 ft
0:28.0,Defensive rebound by D. Arthur,,51-56,,
0:07.0,W. Barton misses 2-pt shot from 2 ft (block by M. Plumlee),,51-56,,
0:06.0,,,51-56,,Defensive rebound by A. Aminu
0:02.0,,,51-58,2,A. Crabbe makes 2-pt shot at rim (assist by M. Harkless)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,51-60,2,M. Plumlee makes 2-pt shot from 8 ft (assist by A. Aminu)
11:19.0,J. Lauvergne misses 2-pt shot from 20 ft,,51-60,,
11:18.0,,,51-60,,Defensive rebound by N. Vonleh
11:03.0,,,51-62,2,M. Plumlee makes 2-pt shot from 6 ft
10:50.0,G. Harris makes 2-pt shot from 9 ft,2,53-62,,
10:30.0,,,53-62,,A. Crabbe misses 2-pt shot from 13 ft
10:29.0,Defensive rebound by J. Lauvergne,,53-62,,
10:11.0,J. Lauvergne makes 2-pt shot from 16 ft (assist by G. Harris),2,55-62,,
9:58.0,,,55-62,,C. McCollum misses 3-pt shot from 22 ft
9:58.0,Defensive rebound by K. Faried,,55-62,,
9:48.0,G. Harris misses 2-pt shot from 8 ft,,55-62,,
9:47.0,,,55-62,,Defensive rebound by M. Plumlee
9:32.0,,,55-62,,Turnover by M. Plumlee (lost ball; steal by J. Lauvergne)
9:26.0,J. Nelson misses 3-pt shot from 24 ft,,55-62,,
9:24.0,,,55-62,,Defensive rebound by N. Vonleh
9:10.0,,,55-62,,A. Aminu misses 3-pt shot from 24 ft
9:09.0,Defensive rebound by J. Nelson,,55-62,,
8:56.0,K. Papanikolaou misses 3-pt shot from 24 ft,,55-62,,
8:55.0,,,55-62,,Defensive rebound by A. Crabbe
8:47.0,,,55-62,,N. Vonleh misses 3-pt shot from 24 ft
8:46.0,Defensive rebound by K. Papanikolaou,,55-62,,
8:26.0,G. Harris makes 3-pt shot from 24 ft (assist by J. Lauvergne),3,58-62,,
8:04.0,,,58-62,,A. Aminu misses 2-pt shot from 16 ft
8:04.0,Defensive rebound by J. Lauvergne,,58-62,,
7:54.0,G. Harris misses 3-pt shot from 24 ft,,58-62,,
7:53.0,,,58-62,,Defensive rebound by C. McCollum
7:49.0,,,58-64,2,C. McCollum makes 2-pt shot from 17 ft
7:26.0,Turnover by K. Papanikolaou (bad pass; steal by C. McCollum),,58-64,,
7:10.0,,,58-66,2,A. Aminu makes 2-pt shot from 6 ft
6:55.0,K. Faried makes 2-pt shot from 2 ft (assist by J. Nelson),2,60-66,,
6:43.0,,,60-69,3,A. Crabbe makes 3-pt shot from 24 ft (assist by C. McCollum)
6:29.0,Turnover by K. Faried (lost ball; steal by N. Vonleh),,60-69,,
6:21.0,,,60-72,3,A. Crabbe makes 3-pt shot from 22 ft (assist by N. Vonleh)
6:21.0,Denver full timeout,,60-72,,
6:21.0,W. Barton enters the game for K. Papanikolaou,,60-72,,
6:16.0,,,60-72,,Personal foul by A. Crabbe (drawn by W. Barton)
6:09.0,K. Faried misses 2-pt shot from 20 ft,,60-72,,
6:08.0,,,60-72,,Defensive rebound by A. Aminu
5:55.0,,,60-74,2,M. Plumlee makes 2-pt shot from 4 ft (assist by C. McCollum)
5:42.0,K. Faried makes 2-pt shot from 3 ft (assist by J. Nelson),2,62-74,,
5:16.0,,,62-76,2,A. Crabbe makes 2-pt shot from 18 ft
5:04.0,Offensive foul by J. Lauvergne,,62-76,,
5:04.0,Turnover by J. Lauvergne (offensive foul),,62-76,,
5:04.0,N. Jokic enters the game for J. Lauvergne,,62-76,,
4:41.0,,,62-76,,A. Aminu misses 3-pt shot from 22 ft
4:40.0,Defensive rebound by N. Jokic,,62-76,,
4:32.0,J. Nelson misses 3-pt shot from 24 ft,,62-76,,
4:31.0,,,62-76,,Defensive rebound by A. Crabbe
4:16.0,,,62-78,2,C. McCollum makes 2-pt shot from 3 ft
4:08.0,W. Barton makes 3-pt shot from 24 ft (assist by K. Faried),3,65-78,,
4:08.0,Shooting foul by A. Aminu (drawn by W. Barton),,65-78,,
4:08.0,D. Arthur enters the game for K. Faried,,65-78,,
4:08.0,,,65-78,,G. Henderson enters the game for A. Aminu
4:08.0,,,65-78,,M. Leonard enters the game for N. Vonleh
4:08.0,W. Barton misses free throw 1 of 1,,65-78,,
4:06.0,,,65-78,,Defensive rebound by M. Plumlee
3:55.0,,,65-78,,M. Leonard misses 3-pt shot from 24 ft
3:55.0,,,65-78,,Offensive rebound by M. Plumlee
3:41.0,,,65-81,3,M. Leonard makes 3-pt shot from 24 ft (assist by M. Plumlee)
3:22.0,Turnover by N. Jokic (lost ball; steal by A. Crabbe),,65-81,,
3:19.0,,,65-81,,Turnover by A. Crabbe (bad pass; steal by J. Nelson)
3:17.0,Shooting foul by M. Leonard (drawn by W. Barton),,65-81,,
3:17.0,G. Harris makes free throw 1 of 2,1,66-81,,
3:17.0,,,66-81,,E. Davis enters the game for M. Plumlee
3:17.0,G. Harris makes free throw 2 of 2,1,67-81,,
3:17.0,Violation by Team (delay of game),,67-81,,
3:02.0,,,67-81,,M. Leonard misses 2-pt shot from 13 ft
3:01.0,,,67-81,,Offensive rebound by G. Henderson
3:01.0,,,67-81,,G. Henderson misses 2-pt shot at rim
3:00.0,Defensive rebound by G. Harris,,67-81,,
2:55.0,,,67-81,,Personal foul by A. Crabbe (drawn by W. Barton)
2:55.0,,,67-81,,Portland full timeout
2:55.0,R. Foye enters the game for G. Harris,,67-81,,
2:55.0,,,67-81,,T. Frazier enters the game for C. McCollum
2:45.0,J. Nelson misses 3-pt shot from 24 ft,,67-81,,
2:44.0,Offensive rebound by N. Jokic,,67-81,,
2:33.0,W. Barton misses 2-pt shot from 3 ft,,67-81,,
2:32.0,Offensive rebound by D. Arthur,,67-81,,
2:07.0,R. Foye misses 3-pt shot from 25 ft,,67-81,,
2:07.0,,,67-81,,Defensive rebound by A. Crabbe
2:07.0,,,67-81,,M. Leonard misses 3-pt shot from 25 ft
2:03.0,Defensive rebound by R. Foye,,67-81,,
2:00.0,D. Arthur misses 2-pt shot from 21 ft,,67-81,,
1:56.0,,,67-81,,Defensive rebound by A. Crabbe
1:34.0,,,67-81,,T. Frazier misses 2-pt shot from 20 ft
1:34.0,Defensive rebound by N. Jokic,,67-81,,
1:15.0,J. Nelson misses 2-pt shot from 21 ft,,67-81,,
1:14.0,,,67-81,,Defensive rebound by E. Davis
0:59.0,,,67-81,,Shooting foul by J. Nelson (drawn by M. Leonard)
0:59.0,,,67-82,1,M. Leonard makes free throw 1 of 2
0:59.0,,,67-82,,M. Harkless enters the game for A. Crabbe
0:59.0,,,67-82,,M. Leonard misses free throw 2 of 2
0:57.0,Defensive rebound by R. Foye,,67-82,,
0:40.0,Shooting foul by T. Frazier (drawn by N. Jokic),,67-82,,
0:40.0,N. Jokic makes free throw 1 of 2,1,68-82,,
0:40.0,,,68-82,,C. McCollum enters the game for E. Davis
0:40.0,N. Jokic makes free throw 2 of 2,1,69-82,,
0:32.0,,,69-82,,Turnover by C. McCollum (bad pass)
0:32.0,,,69-82,,E. Davis enters the game for C. McCollum
0:20.0,Shooting foul by E. Davis (drawn by N. Jokic),,69-82,,
0:20.0,N. Jokic makes free throw 1 of 2,1,70-82,,
0:20.0,,,70-82,,C. McCollum enters the game for E. Davis
0:20.0,G. Harris enters the game for D. Arthur,,70-82,,
0:20.0,N. Jokic makes free throw 2 of 2,1,71-82,,
0:01.0,,,71-84,2,C. McCollum makes 2-pt shot from 14 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,R. Foye misses 2-pt shot at rim (block by E. Davis),,71-84,,
11:44.0,Offensive rebound by N. Jokic,,71-84,,
11:44.0,N. Jokic makes 2-pt shot from 1 ft,2,73-84,,
11:21.0,,,73-84,,Turnover by T. Frazier (back court)
11:12.0,R. Foye misses 2-pt shot from 20 ft,,73-84,,
11:11.0,,,73-84,,Defensive rebound by M. Harkless
10:49.0,,,73-84,,Turnover by M. Leonard (lost ball; steal by M. Miller)
10:40.0,W. Barton makes 3-pt shot from 24 ft,3,76-84,,
10:19.0,,,76-84,,M. Leonard misses 3-pt shot from 24 ft
10:18.0,,,76-84,,Offensive rebound by E. Davis
10:05.0,,,76-87,3,M. Harkless makes 3-pt shot from 22 ft (assist by G. Henderson)
9:56.0,Shooting foul by E. Davis (drawn by R. Foye),,76-87,,
9:56.0,R. Foye makes free throw 1 of 2,1,77-87,,
9:56.0,,,77-87,,A. Aminu enters the game for E. Davis
9:56.0,,,77-87,,C. McCollum enters the game for T. Frazier
9:56.0,R. Foye makes free throw 2 of 2,1,78-87,,
9:40.0,,,78-89,2,C. McCollum makes 2-pt shot from 17 ft
9:31.0,Shooting foul by M. Leonard (drawn by R. Foye),,78-89,,
9:31.0,R. Foye makes free throw 1 of 2,1,79-89,,
9:31.0,R. Foye makes free throw 2 of 2,1,80-89,,
9:11.0,,,80-91,2,A. Aminu makes 2-pt shot from 21 ft (assist by M. Leonard)
8:55.0,G. Harris misses 2-pt shot at rim,,80-91,,
8:54.0,Offensive rebound by G. Harris,,80-91,,
8:54.0,G. Harris misses 2-pt shot at rim,,80-91,,
8:53.0,,,80-91,,Defensive rebound by A. Aminu
8:45.0,,,80-93,2,M. Harkless makes 2-pt shot at rim (assist by A. Aminu)
8:45.0,Denver full timeout,,80-93,,
8:36.0,R. Foye misses 3-pt shot from 24 ft,,80-93,,
8:34.0,,,80-93,,Defensive rebound by M. Harkless
8:26.0,,,80-93,,A. Aminu misses 2-pt shot from 20 ft
8:26.0,,,80-93,,Offensive rebound by M. Leonard
8:25.0,,,80-93,,Turnover by M. Leonard (bad pass; steal by R. Foye)
8:19.0,W. Barton misses 2-pt shot from 1 ft,,80-93,,
8:19.0,,,80-93,,Defensive rebound by A. Aminu
8:14.0,,,80-93,,C. McCollum misses 2-pt shot from 2 ft (block by N. Jokic)
8:14.0,,,80-93,,Offensive rebound by Team
8:14.0,J. Nelson enters the game for R. Foye,,80-93,,
8:02.0,,,80-96,3,M. Harkless makes 3-pt shot from 22 ft (assist by C. McCollum)
7:52.0,W. Barton makes 3-pt shot from 25 ft,3,83-96,,
7:38.0,,,83-96,,M. Harkless misses 2-pt shot at rim (block by N. Jokic)
7:37.0,Defensive rebound by G. Harris,,83-96,,
7:28.0,N. Jokic makes 2-pt shot from 1 ft (assist by G. Harris),2,85-96,,
7:01.0,,,85-96,,C. McCollum misses 2-pt shot from 22 ft
7:01.0,,,85-96,,Offensive rebound by Team
7:01.0,,,85-96,,Turnover by Team (shot clock)
7:01.0,K. Faried enters the game for N. Jokic,,85-96,,
7:01.0,,,85-96,,A. Crabbe enters the game for G. Henderson
6:46.0,W. Barton misses 2-pt shot from 5 ft,,85-96,,
6:44.0,Offensive rebound by W. Barton,,85-96,,
6:43.0,W. Barton misses 2-pt shot from 2 ft,,85-96,,
6:41.0,,,85-96,,Defensive rebound by A. Aminu
6:36.0,,,85-96,,Turnover by C. McCollum (lost ball; steal by J. Nelson)
6:31.0,W. Barton makes 2-pt shot at rim (assist by J. Nelson),2,87-96,,
6:09.0,,,87-96,,Turnover by M. Harkless (lost ball)
5:57.0,J. Nelson makes 2-pt shot from 14 ft,2,89-96,,
5:57.0,,,89-96,,Portland full timeout
5:57.0,,,89-96,,M. Plumlee enters the game for M. Leonard
5:45.0,,,89-96,,A. Aminu misses 3-pt shot from 24 ft
5:44.0,Defensive rebound by J. Nelson,,89-96,,
5:23.0,W. Barton misses 2-pt shot from 1 ft,,89-96,,
5:22.0,,,89-96,,Defensive rebound by A. Aminu
5:18.0,,,89-96,,Turnover by A. Crabbe (step out of bounds)
5:05.0,J. Nelson makes 2-pt shot from 2 ft (assist by W. Barton),2,91-96,,
4:43.0,,,91-98,2,C. McCollum makes 2-pt shot from 20 ft
4:26.0,W. Barton makes 2-pt shot from 17 ft,2,93-98,,
4:01.0,,,93-98,,M. Harkless misses 2-pt shot at rim (block by K. Faried)
4:00.0,Defensive rebound by K. Faried,,93-98,,
3:46.0,W. Barton misses 3-pt shot from 25 ft,,93-98,,
3:44.0,,,93-98,,Defensive rebound by A. Aminu
3:27.0,,,93-98,,M. Harkless misses 3-pt shot from 24 ft
3:25.0,Defensive rebound by K. Faried,,93-98,,
3:25.0,,,93-98,,Personal foul by A. Aminu (drawn by K. Faried)
3:12.0,Turnover by K. Faried (lost ball),,93-98,,
3:02.0,,,93-98,,Shooting foul by M. Miller (drawn by M. Plumlee)
3:02.0,,,93-99,1,M. Plumlee makes free throw 1 of 2
3:02.0,,,93-100,1,M. Plumlee makes free throw 2 of 2
2:55.0,Offensive foul by K. Faried,,93-100,,
2:55.0,Turnover by K. Faried (offensive foul),,93-100,,
2:55.0,Official timeout,,93-100,,
2:40.0,,,93-103,3,A. Crabbe makes 3-pt shot from 23 ft (assist by M. Plumlee)
2:26.0,,,93-103,,Personal foul by C. McCollum (drawn by J. Nelson)
2:18.0,J. Nelson makes 2-pt shot from 20 ft,2,95-103,,
1:59.0,,,95-103,,M. Plumlee misses 2-pt shot from 2 ft (block by K. Faried)
1:58.0,,,95-103,,Offensive rebound by M. Harkless
1:56.0,,,95-103,,M. Harkless misses 2-pt shot from 1 ft
1:55.0,Defensive rebound by K. Faried,,95-103,,
1:39.0,K. Faried misses 2-pt shot from 2 ft,,95-103,,
1:39.0,,,95-103,,Defensive rebound by Team
1:20.0,,,95-103,,M. Harkless misses 3-pt shot from 23 ft
